gene_id	TCGA-BH-A1FM-01A-11R-A13Q-07	gene_id	TCGA-BH-A1FM-11B-23R-A13Q-07
AGER	5.7997	AGER	59.8428
AGFG1	1940.734	AGFG1	1926.2652
AGFG2	254.4631	AGFG2	493.0921
AGGF1	1571.3638	AGGF1	904.6638
AGK	1043.9511	AGK	554.7668
AGL	3577.3448	AGL	1286.314
AGMAT	11.5995	AGMAT	8.549
AGPAT1	1436.0526	AGPAT1	1878.7635
AGPAT2	1128.4096	AGPAT2	2039.8443
AGPAT3	1314.3634	AGPAT3	1612.0907
AGPAT4	188.1287	AGPAT4	356.3087
AGPAT5	1716.357	AGPAT5	653.3852
AGPAT6	1871.1373	AGPAT6	1589.497
AGPAT9	42.048	AGPAT9	840.2412
AGPHD1	64.1595	AGPHD1	72.9715
AGPS	1523.1536	AGPS	1022.8227
AGR2	776.8011	AGR2	1167.8498
AGR3	4198.2782	AGR3	400.8854
AGRN	709.0168	AGRN	2306.3888
AGTPBP1	296.8736	AGTPBP1	448.5154
AGTR1	2447.4853	AGTR1	361.1938
AGTRAP	320.7975	AGTRAP	453.7058
AGT	21.749	AGT	67.4758
AGXT2L2	172.8826	AGXT2L2	519.8351
AHCTF1	3603.4436	AHCTF1	1711.3197
AHCYL1	5929.8595	AHCYL1	3966.7201
AHCYL2	802.1749	AHCYL2	666.2087
AHCY	2523.6067	AHCY	1998.9314
AHDC1	285.2741	AHDC1	823.1433
AHI1	387.1319	AHI1	508.6635
AHNAK2	475.5777	AHNAK2	1711.3197
AHNAK	25088.5365	AHNAK	109422.1815
AHRR	36.6108	AHRR	45.1874
AHR	1319.0757	AHR	5523.8531
AHSA1	847.1228	AHSA1	1348.294
AHSA2	156.9551	AHSA2	496.756
AIDA	2845.5786	AIDA	1110.7976
AIF1L	476.6652	AIF1L	1862.1479
AIF1	150.7929	AIF1	299.5191
AIFM1	531.4001	AIFM1	566.6743
AIFM2	129.044	AIFM2	1105.8698
AIFM3	12.3244	AIFM3	10.0389
AIG1	759.4019	AIG1	773.6814
AIM1L	5.7997	removed	removed
AIM1	1657.6348	AIM1	3084.0394
removed	removed	AIM2	10.0756
AIMP1	2299.9547	AIMP1	1194.6722
AIMP2	428.4187	AIMP2	196.2476
AIP	222.2021	AIP	672.9257
AJAP1	7.2497	AJAP1	8.2436
AK1	108.3824	AK1	361.4991
AK2	2506.9325	AK2	2089.0008
AK3L1	956.5927	AK3L1	545.6072
AK3	1219.7553	AK3	2005.0378
AK5	90.6208	AK5	1286.0087
AK7	58.7222	AK7	59.8428
AKAP10	511.101	AKAP10	582.551
AKAP11	3713.2759	AKAP11	2595.8324
AKAP12	709.0168	AKAP12	4001.2213
AKAP13	1765.6547	AKAP13	3912.9837
AKAP1	2421.024	AKAP1	2600.1069
AKAP2	255.4382	AKAP2	2341.6106
AKAP3	7.9746	AKAP3	74.1928
AKAP5	146.8056	AKAP5	83.6577
AKAP6	143.1808	AKAP6	343.4852
AKAP7	121.4318	AKAP7	231.1274
AKAP8L	183.7789	AKAP8L	653.6906
AKAP8	387.4943	AKAP8	715.3652
AKAP9	2432.6235	AKAP9	3665.9797
AKD1	113.0947	AKD1	156.0186
AKIRIN1	1385.4101	AKIRIN1	1933.8982
AKIRIN2	1383.9601	AKIRIN2	663.1555
removed	removed	AKNAD1	11.2968
AKNA	79.7463	AKNA	720.5557
AKR1A1	974.3543	AKR1A1	1083.8867
removed	removed	AKR1B15	178.6123
AKR1B1	547.7118	AKR1B1	921.1511
AKR1C1	36.9733	AKR1C1	1846.5766
AKR1C2	33.7109	AKR1C2	1329.0589
AKR1C3	85.546	AKR1C3	1482.3296
removed	removed	AKR1D1	57.0949
AKR1E2	34.4359	AKR1E2	31.7533
AKR7A2	1083.0992	AKR7A2	752.0037
AKR7A3	270.7748	AKR7A3	112.3578
AKR7L	14.1368	AKR7L	23.2043
AKT1S1	1291.8894	AKT1S1	636.2873
AKT1	1097.961	AKT1	2488.9703
AKT2	1080.5618	AKT2	2690.787
AKT3	886.6334	AKT3	1580.948
AKTIP	1192.0399	AKTIP	688.6711
ALAD	632.5329	ALAD	1845.966
ALAS1	557.1364	ALAS1	839.6306
ALB	7.9746	ALB	4031.448
ALCAM	2762.483	ALCAM	4012.2128
ALDH16A1	195.0159	ALDH16A1	286.6957
ALDH18A1	2668.9624	ALDH18A1	1321.4258
ALDH1A1	166.0172	ALDH1A1	3767.9566
ALDH1A2	39.8731	ALDH1A2	609.1138
ALDH1A3	318.4413	ALDH1A3	1732.1212
ALDH1B1	1009.5152	ALDH1B1	573.086
removed	removed	ALDH1L1	833.5242
ALDH1L2	855.8224	ALDH1L2	274.7882
ALDH2	553.5116	ALDH2	7020.8381
removed	removed	ALDH3A1	79.0779
ALDH3A2	1712.0072	ALDH3A2	3256.8506
ALDH3B1	118.5319	ALDH3B1	168.2314
ALDH3B2	860.5347	ALDH3B2	1336.6919
ALDH4A1	200.0906	ALDH4A1	850.3168
ALDH5A1	817.7617	ALDH5A1	558.736
ALDH6A1	400.0471	ALDH6A1	853.7791
ALDH7A1	1058.0879	ALDH7A1	2253.5684
removed	removed	ALDH8A1	9.7702
ALDH9A1	3496.5111	ALDH9A1	3052.2861
ALDOA	32741.6402	ALDOA	12535.2263
removed	removed	ALDOB	7.0224
ALDOC	563.6611	ALDOC	887.2605
ALG10B	956.5927	ALG10B	354.7821
ALG10	376.2574	ALG10	124.876
ALG11	31.8985	ALG11	13.1288
ALG12	136.2936	ALG12	407.6025
ALG13	1265.4282	ALG13	620.4107
ALG14	481.7399	ALG14	175.8644
ALG1L	45.256	ALG1L	9.5779
ALG1	381.2125	ALG1	348.694
ALG2	992.841	ALG2	811.2358
ALG3	1218.3054	ALG3	352.3395
ALG5	1034.164	ALG5	533.0891
ALG6	623.1083	ALG6	273.8722
ALG8	2147.3493	ALG8	620.1053
ALG9	959.13	ALG9	625.6011
ALKBH1	235.2515	ALKBH1	197.2369
ALKBH2	130.8564	ALKBH2	203.6486
ALKBH3	335.2968	ALKBH3	396.6109
ALKBH4	91.5487	ALKBH4	158.9497
ALKBH5	1676.1214	ALKBH5	2303.6715
ALKBH6	93.5206	ALKBH6	65.3385
ALKBH7	125.4191	ALKBH7	246.3934
ALKBH8	487.5396	ALKBH8	309.9
removed	removed	ALK	8.2436
ALMS1	756.8645	ALMS1	1142.2029
ALOX12B	5.0748	removed	removed
ALOX12P2	96.4205	ALOX12P2	24.1203
ALOX15B	83.0086	ALOX15B	1400.5038
ALOX15	242.5011	ALOX15	31.7533
ALOX5AP	553.1491	ALOX5AP	204.8699
ALOX5	246.126	ALOX5	382.5662
ALOXE3	69.2343	ALOXE3	12.5181
ALPK1	413.5931	ALPK1	859.4764
ALPK2	67.0594	ALPK2	9.4649
