gene_id	TCGA-GI-A2C9-01A-11R-A21T-07	gene_id	TCGA-GI-A2C9-11A-22R-A21T-07
ACTN2	56.4368	removed	removed
ACTN4	14983.286	ACTN4	10965.1225
ACTR10	1103.0222	ACTR10	1144.7661
ACTR1A	1744.5316	ACTR1A	2226.8533
ACTR1B	764.4014	ACTR1B	1375.1193
ACTR2	8419.7696	ACTR2	5237.0347
ACTR3B	444.1476	ACTR3B	210.6268
ACTR3C	32.0588	ACTR3C	20.999
ACTR3	5143.7636	ACTR3	3246.2615
ACTR5	170.6462	ACTR5	210.945
ACTR6	428.4522	ACTR6	601.9726
ACTR8	353.6484	ACTR8	456.8883
ACVR1B	521.9569	ACVR1B	931.9122
ACVR1C	37.4019	ACVR1C	237.3528
ACVR1	1714.8105	ACVR1	1332.1667
ACVR2A	368.6759	ACVR2A	574.2921
ACVR2B	223.0756	ACVR2B	242.1254
ACVRL1	238.1032	ACVRL1	1399.9364
ACY1	343.9539	ACY1	427.181
ACY3	5.3431	ACY3	8.9087
ACYP1	118.5507	ACYP1	92.9049
ACYP2	188.3453	ACYP2	132.3576
removed	removed	ADAD2	10.9736
ADAL	52.4295	ADAL	109.1314
ADAM10	1415.9292	ADAM10	1804.9634
ADAM11	40.7414	ADAM11	19.09
ADAM12	800.1336	ADAM12	318.8037
ADAM15	3207.3735	ADAM15	2937.7092
ADAM17	1123.0589	ADAM17	1074.4512
ADAM19	210.0518	ADAM19	122.4944
ADAM21P1	9.3505	removed	removed
ADAM21	34.7303	ADAM21	6.3633
ADAM22	94.1726	ADAM22	59.4973
ADAM23	9.6844	ADAM23	92.9049
ADAM28	98.8479	ADAM28	105.3134
ADAM32	26.3817	ADAM32	35.9529
ADAM33	42.8853	ADAM33	881.3045
ADAM6	522.2408	ADAM6	55627.7951
ADAM8	413.0907	ADAM8	104.0407
ADAM9	3403.9072	ADAM9	2187.4006
ADAMDEC1	147.9379	ADAMDEC1	22.2717
ADAMTS10	446.1513	ADAMTS10	225.2625
ADAMTS12	107.8644	ADAMTS12	115.1766
ADAMTS13	42.4111	ADAMTS13	82.7235
ADAMTS14	73.1341	ADAMTS14	10.4995
ADAMTS15	20.7046	ADAMTS15	157.811
ADAMTS16	127.9012	ADAMTS16	317.8492
ADAMTS17	20.0367	ADAMTS17	41.0436
ADAMTS18	29.7212	ADAMTS18	107.8587
ADAMTS19	5.0092	ADAMTS19	9.545
ADAMTS1	1354.4832	ADAMTS1	22968.1833
ADAMTS2	344.9658	ADAMTS2	529.4305
ADAMTS3	58.4405	ADAMTS3	138.721
ADAMTS4	292.8703	ADAMTS4	2234.1712
ADAMTS5	212.0554	ADAMTS5	2344.5752
ADAMTS6	27.3835	ADAMTS6	26.7261
ADAMTS7	192.0187	ADAMTS7	81.4508
removed	removed	ADAMTS8	73.4967
ADAMTS9	453.832	ADAMTS9	953.2294
ADAMTSL1	47.4203	ADAMTSL1	169.5832
ADAMTSL2	292.5363	ADAMTSL2	101.1772
ADAMTSL3	124.5617	ADAMTSL3	485.5234
ADAMTSL4	158.2902	ADAMTSL4	1748.966
