gene_id	TCGA-BH-A1F2-01A-31R-A13Q-07	gene_id	TCGA-BH-A1F2-11A-32R-A13Q-07
MCM7	894.1517	MCM7	1509.027
MCM8	464.3872	MCM8	264.1974
MCM9	44.9407	MCM9	81.8925
MCOLN1	265.3641	MCOLN1	463.5752
MCOLN2	138.185	MCOLN2	15.9155
MCOLN3	221.952	MCOLN3	158.5763
MCPH1	317.6145	MCPH1	581.0924
MCRS1	436.8725	MCRS1	645.0119
MCTP1	163.254	MCTP1	394.1257
MCTP2	34.2405	MCTP2	204.2972
MCTS1	1581.1787	MCTS1	684.656
MDC1	1089.8883	MDC1	1137.8138
MDFIC	1778.6732	MDFIC	2382.6955
MDFI	167.534	MDFI	500.9043
MDGA1	87.1299	MDGA1	245.9669
removed	removed	MDGA2	13.3111
MDH1B	9.1716	MDH1B	30.6735
MDH1	3442.7018	MDH1	3968.4584
MDH2	2624.5977	MDH2	2774.2169
MDK	1233.8819	MDK	1027.5628
MDM1	300.8275	MDM1	320.9144
MDM2	2450.0321	MDM2	2068.4367
MDM4	1125.3517	MDM4	1001.4324
MDN1	489.7619	MDN1	2049.6274
MDP1	93.5745	MDP1	137.8427
ME1	1388.5757	ME1	4338.2768
ME2	686.3392	ME2	583.3755
ME3	77.3469	ME3	434.9273
MEA1	741.3686	MEA1	733.56
MEAF6	2332.9418	MEAF6	1255.8779
MECOM	708.0452	MECOM	844.1004
MECP2	827.2756	MECP2	2303.4074
MECR	165.0883	MECR	526.0797
MED10	346.0739	MED10	397.3088
MED11	119.8419	MED11	211.2421
MED12L	18.0374	MED12L	18.2305
MED12	704.0709	MED12	2012.2983
MED13L	2509.3416	MED13L	5909.571
MED13	3663.4309	MED13	2593.9376
MED14	2189.8653	MED14	1066.0493
MED15	880.4707	MED15	1624.8282
MED16	512.9965	MED16	865.8034
MED17	663.4102	MED17	559.3576
MED18	402.0205	MED18	248.5712
MED19	242.1295	MED19	153.9463
MED1	19707.8702	MED1	1923.7503
MED20	834.6129	MED20	394.7045
MED21	802.2067	MED21	514.2154
MED22	305.719	MED22	605.3679
MED23	1146.752	MED23	1020.3284
MED24	2667.7041	MED24	1213.0507
MED25	448.4898	MED25	577.8775
MED26	172.1504	MED26	231.2089
MED27	274.5357	MED27	174.7812
MED28	559.7715	MED28	610.8659
MED29	1096.9198	MED29	1435.8678
MED30	169.9798	MED30	172.4662
MED31	229.3443	MED31	120.2865
MED4	1424.0391	MED4	852.4922
MED6	554.2686	MED6	307.8926
MED7	285.2358	MED7	219.3446
MED8	529.811	MED8	565.4344
MED9	208.1946	MED9	379.6571
MEF2A	2704.8703	MEF2A	2290.5245
MEF2B	5.9737	MEF2B	91.4505
MEF2C	773.1634	MEF2C	1704.4057
MEF2D	1144.3063	MEF2D	2434.4932
removed	removed	MEFV	18.5199
MEG3	44.3293	MEG3	227.7364
MEGF10	311.5277	MEGF10	67.4239
MEGF6	88.0471	MEGF6	551.2552
MEGF8	194.743	MEGF8	2202.4163
MEGF9	4390.7364	MEGF9	1474.6437
MEI1	8.2544	MEI1	41.6697
MEIS1	132.0706	MEIS1	368.0822
MEIS2	161.4196	MEIS2	426.8249
MEIS3P1	953.5376	MEIS3P1	690.7328
MEIS3	240.6009	MEIS3	179.4111
MELK	532.5625	MELK	8.9706
MEMO1	600.4321	MEMO1	263.908
MEN1	1287.9942	MEN1	586.2693
MEOX1	79.1812	MEOX1	701.4396
MEOX2	234.1808	MEOX2	773.2041
MEPCE	713.2424	MEPCE	1405.4836
MERTK	287.9873	MERTK	409.7519
MESDC1	651.4872	MESDC1	485.5675
MESDC2	1288.2999	MESDC2	1027.8521
MESP1	168.1455	MESP1	146.4226
MESP2	70.0097	MESP2	13.3111
MESTIT1	5.5029	MESTIT1	63.3726
MEST	2304.5099	MEST	2546.1911
METAP1	1395.913	METAP1	1115.8215
METAP2	2366.5708	METAP2	1958.7644
METRNL	166.6169	METRNL	392.6789
METRN	121.9819	METRN	43.6953
METT10D	946.8118	METT10D	1007.0173
METT11D1	455.827	METT11D1	481.5163
METT5D1	700.4022	METT5D1	331.6212
METTL10	237.1126	METTL10	334.758
METTL11A	85.1489	METTL11A	245.8714
METTL12	27.8571	METTL12	44.0396
METTL13	985.0266	METTL13	729.5088
METTL14	373.8943	METTL14	468.7839
METTL1	280.6501	METTL1	136.8733
METTL2A	719.9683	METTL2A	370.9759
METTL2B	412.1092	METTL2B	313.6801
METTL3	547.8087	METTL3	579.9146
METTL4	402.3262	METTL4	257.2524
METTL5	658.0969	METTL5	519.1406
METTL6	391.0146	METTL6	234.392
METTL7A	1328.0434	METTL7A	5946.9001
METTL7B	13.7574	METTL7B	24.0179
METTL8	457.6614	METTL8	384.8658
METTL9	2812.9206	METTL9	1837.2278
MET	265.3641	MET	2489.7634
MEX3A	289.5159	MEX3A	155.6826
MEX3B	141.5479	MEX3B	97.2293
MEX3C	1304.503	MEX3C	1427.1866
MEX3D	373.8943	MEX3D	189.8285
MFAP1	838.5872	MFAP1	723.7213
MFAP2	896.9796	MFAP2	156.84
MFAP3L	388.8746	MFAP3L	289.3728
MFAP3	1701.3263	MFAP3	1301.5988
MFAP4	1609.6106	MFAP4	5453.2301
MFAP5	3456.7648	MFAP5	1538.0163
MFF	1305.4202	MFF	1088.331
MFGE8	1245.1935	MFGE8	3846.0537
MFHAS1	163.5597	MFHAS1	222.5277
MFI2	37.6034	MFI2	323.2294
MFN1	1598.9104	MFN1	888.3744
MFN2	1108.2314	MFN2	3117.1236
MFNG	106.3902	MFNG	474.5714
MFRP	154.0824	MFRP	315.127
MFSD10	534.3968	MFSD10	542.2846
MFSD11	904.0478	MFSD11	498.0771
MFSD1	2228.6916	MFSD1	1336.3235
MFSD2A	107.6131	MFSD2A	27.7798
MFSD2B	12.5345	removed	removed
MFSD3	110.0588	MFSD3	114.0129
MFSD4	24.7632	MFSD4	172.7556
MFSD5	878.3307	MFSD5	437.2423
removed	removed	MFSD6L	19.6773
MFSD6	1428.9306	MFSD6	1437.604
MFSD7	102.6146	MFSD7	135.8026
MFSD8	357.997	MFSD8	355.0604
MFSD9	103.6387	MFSD9	188.6711
removed	removed	MGAM	38.1972
MGAT1	1473.2599	MGAT1	3075.1646
MGAT2	1303.5859	MGAT2	614.9172
MGAT3	30.5719	MGAT3	260.4355
MGAT4A	1886.2863	MGAT4A	950.3002
MGAT4B	1016.21	MGAT4B	967.952
MGAT5B	33.9348	MGAT5B	17.073
MGAT5	189.8515	MGAT5	296.6071
MGA	707.4338	MGA	1524.9946
removed	removed	MGC12916	7.2343
MGC12982	36.992	MGC12982	41.0909
removed	removed	MGC14436	37.9078
MGC16121	9.4773	MGC16121	10.128
MGC16142	11.0059	MGC16142	10.9962
MGC16275	30.8776	MGC16275	38.1972
removed	removed	MGC16384	7.5237
removed	removed	MGC16703	5.5126
MGC21881	184.6543	MGC21881	117.7747
MGC23270	17.426	MGC23270	30.6735
MGC23284	17.1203	MGC23284	49.1934
MGC2752	305.1076	MGC2752	581.3499
removed	removed	MGC29506	188.6711
MGC3771	17.7562	MGC3771	15.1168
MGC42105	6.1144	MGC42105	9.8387
MGC45800	41.5778	MGC45800	83.6287
MGC57346	174.2017	MGC57346	311.041
MGC70857	225.0092	MGC70857	326.7019
MGC72080	99.2303	MGC72080	40.6742
MGC87042	30.5719	MGC87042	22.2817
MGEA5	4067.8971	MGEA5	4891.8469
MGLL	1550.3011	MGLL	15696.4479
MGMT	66.0353	MGMT	261.3036
MGP	14034.0311	MGP	32885.7701
MGRN1	1202.0871	MGRN1	1280.1852
MGST1	14069.1888	MGST1	10344.7877
MGST2	855.0961	MGST2	576.72
MGST3	2760.3369	MGST3	2418.8671
removed	removed	MIA2	15.6261
MIA3	3615.7387	MIA3	3356.7243
MIAT	81.3213	MIAT	63.662
removed	removed	MIA	189.0328
MIB1	2341.1962	MIB1	2218.0424
MIB2	19.2603	MIB2	322.0719
MICAL1	94.1615	MICAL1	322.6507
MICAL2	4742.619	MICAL2	672.213
MICAL3	392.2375	MICAL3	1687.6221
MICALCL	99.3587	MICALCL	28.6479
MICALL1	262.6126	MICALL1	956.9558
MICALL2	152.5538	MICALL2	179.4111
MICA	199.9402	MICA	362.2947
MICB	345.4625	MICB	53.534
MID1IP1	584.229	MID1IP1	987.0506
MID1	110.0588	MID1	796.0645
MID2	1096.6141	MID2	1091.8035
MIDN	3317.357	MIDN	2428.9952
MIER1	2697.0531	MIER1	1321.2761
MIER2	224.7035	MIER2	399.9132
MIER3	762.1575	MIER3	622.7302
MIF4GD	383.4236	MIF4GD	318.203
MIF	1367.1846	MIF	603.4696
MIIP	54.418	MIIP	274.6148
MINA	622.9911	MINA	927.732
MINK1	710.1241	MINK1	2070.3928
MINPP1	562.8287	MINPP1	306.4458
MIOS	875.2735	MIOS	645.3013
MIPEP	1115.2629	MIPEP	358.8223
MIPOL1	229.2893	MIPOL1	114.3022
MIR155HG	14.3688	MIR155HG	6.0768
MIR17HG	16.8145	MIR17HG	44.5634
MIS12	730.3627	MIS12	471.6776
MITD1	217.6719	MITD1	211.8209
MITF	1007.0384	MITF	1137.235
MKI67IP	1469.5729	MKI67IP	447.9317
MKI67	1541.741	MKI67	171.5981
MKKS	1100.5884	MKKS	794.3283
MKL1	616.6352	MKL1	1136.0776
MKL2	2184.9738	MKL2	3091.9482
MKLN1	1734.3439	MKLN1	2665.4127
MKNK1	474.7816	MKNK1	723.16
MKNK2	1599.5219	MKNK2	5005.8598
MKRN1	3431.6959	MKRN1	2552.8467
MKRN2	633.4498	MKRN2	816.8994
MKRN3	8.8659	removed	removed
MKS1	769.8005	MKS1	290.8196
MKX	25.9861	MKX	102.438
removed	removed	MLC1	22.8604
MLEC	3393.481	MLEC	6649.7866
MLF1IP	835.5515	MLF1IP	83.0731
MLF1	749.9287	MLF1	501.7724
MLF2	2563.1482	MLF2	2580.6265
MLH1	1021.7129	MLH1	649.9313
MLH3	516.3594	MLH3	506.4024
MLKL	118.9247	MLKL	216.7402
MLL2	851.3938	MLL2	3215.8895
MLL3	2531.6591	MLL3	3730.3046
MLL4	395.2947	MLL4	1110.9021
MLL5	1813.2806	MLL5	3032.4937
MLLT10	723.6369	MLLT10	1057.0788
MLLT11	211.2518	MLLT11	66.8451
MLLT1	1156.535	MLLT1	1750.7053
MLLT3	527.671	MLLT3	399.6238
MLLT4	1772.8645	MLLT4	3425.8844
MLLT6	845.0073	MLLT6	5062.8662
MLL	1307.5602	MLL	4095.7824
MLPH	3382.4751	MLPH	1324.1699
MLST8	417.8904	MLST8	595.1964
MLXIPL	106.6959	MLXIPL	1892.2086
MLXIP	649.9586	MLXIP	1386.385
MLX	1115.425	MLX	1708.7868
MLYCD	157.751	MLYCD	493.9593
MMAA	335.3738	MMAA	275.7723
MMAB	180.6799	MMAB	731.245
MMACHC	81.627	MMACHC	175.0705
MMADHC	3034.8726	MMADHC	1763.4377
MMD	2291.6697	MMD	5822.4698
removed	removed	MMEL1	10.0181
MME	1814.4423	MME	13503.8704
MMGT1	1166.9295	MMGT1	1183.8241
MMP11	895.1453	MMP11	63.3726
MMP12	8.5601	removed	removed
MMP13	15172.223	removed	removed
MMP14	6239.1135	MMP14	4573.2475
MMP15	490.0676	MMP15	936.9891
MMP16	170.8969	MMP16	144.397
MMP17	44.635	MMP17	129.0603
MMP19	721.8026	MMP19	899.3706
MMP1	1430.4592	removed	removed
removed	removed	MMP23A	17.3624
MMP23B	30.2662	MMP23B	35.5929
MMP24	183.1257	MMP24	476.597
MMP25	28.1261	MMP25	52.9928
removed	removed	MMP27	10.4174
MMP28	157.1396	MMP28	438.1104
MMP2	12896.145	MMP2	12063.9514
MMP3	273.6185	removed	removed
MMP7	265.9755	MMP7	2787.2387
MMP9	1877.7262	MMP9	77.2625
MMRN1	407.5234	MMRN1	1614.9895
MMRN2	742.8972	MMRN2	3315.6334
MMS19	876.4964	MMS19	1263.6909
MN1	414.8607	MN1	187.5136
MNAT1	694.5936	MNAT1	275.4829
MND1	118.619	MND1	7.2343
MNDA	244.2695	MNDA	146.4226
MNS1	91.41	MNS1	120.0897
MNT	243.6581	MNT	687.8391
MNX1	18.6489	removed	removed
MOAP1	639.5642	MOAP1	889.5319
MOB2	182.5142	MOB2	514.2154
MOBKL1A	1237.5505	MOBKL1A	834.8405
MOBKL1B	1218.2903	MOBKL1B	738.19
MOBKL2A	1099.3656	MOBKL2A	1349.0559
MOBKL2B	146.1337	MOBKL2B	997.7574
MOBKL2C	174.8713	MOBKL2C	789.681
MOBKL3	2101.2067	MOBKL3	968.5307
MOCOS	177.317	MOCOS	219.0552
MOCS1	457.5268	MOCS1	2580.3747
MOCS2	787.2264	MOCS2	711.857
MOCS3	419.4465	MOCS3	154.2357
removed	removed	MOGAT1	10.7068
MOGAT2	5.5029	MOGAT2	21.9923
MOGS	436.5667	MOGS	860.884
MON1A	118.3133	MON1A	155.9719
MON1B	533.174	MON1B	733.2706
MON2	1529.2065	MON2	1772.4083
MORC2	735.2542	MORC2	817.4781
MORC3	1726.0895	MORC3	1316.9355
MORC4	1060.5392	MORC4	876.5102
MORF4L1	6394.7245	MORF4L1	4225.4214
MORF4L2	10460.7873	MORF4L2	3240.1071
removed	removed	MORN1	79.2881
MORN2	317.0306	MORN2	153.6569
MORN4	132.0706	MORN4	158.5763
MOSC1	981.0523	MOSC1	4405.99
MOSC2	337.8195	MOSC2	649.6419
MOSPD1	476.6159	MOSPD1	222.2383
MOSPD2	482.7303	MOSPD2	323.2294
MOSPD3	274.5357	MOSPD3	201.1141
MOV10L1	5.1972	MOV10L1	10.128
MOV10	419.7522	MOV10	717.9339
MOXD1	98.7472	MOXD1	87.3906
MPDU1	1335.0749	MPDU1	716.1976
MPDZ	733.4199	MPDZ	2571.0772
MPEG1	640.4813	MPEG1	1215.3657
MPG	212.169	MPG	418.7224
MPHOSPH10	811.3783	MPHOSPH10	778.4128
MPHOSPH6	460.4128	MPHOSPH6	257.5418
MPHOSPH8	950.1747	MPHOSPH8	1735.658
MPHOSPH9	286.4587	MPHOSPH9	234.392
MPI	523.0852	MPI	612.8916
MPL	19.8717	MPL	39.0653
MPND	140.325	MPND	222.5277
removed	removed	MPO	6.3662
MPP1	302.6618	MPP1	579.6137
MPP2	66.341	MPP2	250.8862
MPP3	57.1695	MPP3	116.3279
MPP5	1087.7482	MPP5	1015.1197
MPP6	37.9092	MPP6	124.1409
MPP7	1622.4508	MPP7	739.3475
MPPE1	474.4759	MPPE1	608.551
removed	removed	MPPED1	5.446
MPPED2	34.5462	MPPED2	331.0425
MPRIP	761.8518	MPRIP	3370.0354
MPST	187.1	MPST	886.0595
MPV17L2	282.4844	MPV17L2	137.7414
MPV17L	210.3347	MPV17L	156.84
MPV17	839.8101	MPV17	693.3372
MPZL1	5478.7904	MPZL1	3984.9526
MPZL2	1005.5098	MPZL2	684.0773
MPZL3	43.1064	MPZL3	73.5007
MPZ	11.0059	MPZ	58.7427
MR1	144.6051	MR1	142.082
MRAP2	8.2544	MRAP2	52.3765
MRAP	82.8682	MRAP	573.4732
MRAS	1337.5207	MRAS	4804.7457
MRC1	502.6021	MRC1	989.3656
MRC2	1915.6353	MRC2	3695.8692
MRE11A	488.539	MRE11A	650.51
MREG	1776.4353	MREG	365.1856
MRFAP1L1	1591.2674	MRFAP1L1	1135.2094
MRFAP1	6833.1256	MRFAP1	5092.0929
removed	removed	MRGPRE	5.2087
MRGPRF	60.2266	MRGPRF	257.2524
removed	removed	MRGPRX2	20.5455
removed	removed	MRGPRX3	11.5749
MRI1	546.3199	MRI1	397.0195
MRM1	18.3431	MRM1	61.347
MRO	60.5324	MRO	130.2178
MRP63	1014.0058	MRP63	459.2346
MRPL10	11517.0465	MRPL10	978.08
MRPL11	404.1605	MRPL11	432.3229
MRPL12	140.3678	MRPL12	510.4536
MRPL13	1861.8288	MRPL13	331.6212
MRPL14	398.0461	MRPL14	289.9515
MRPL15	1296.2486	MRPL15	541.4165
MRPL16	589.1205	MRPL16	700.5715
MRPL17	1153.7835	MRPL17	421.0374
MRPL18	505.6592	MRPL18	485.8569
MRPL19	1966.0789	MRPL19	1366.1289
MRPL1	418.2236	MRPL1	348.1155
MRPL20	529.542	MRPL20	937.5099
MRPL21	393.1546	MRPL21	381.3933
MRPL22	258.0268	MRPL22	306.4458
MRPL23	186.4886	MRPL23	260.1461
MRPL24	627.9468	MRPL24	822.6868
MRPL27	1951.7102	MRPL27	474.8607
MRPL28	201.1631	MRPL28	521.7391
MRPL2	241.518	MRPL2	452.8684
MRPL30	1746.3801	MRPL30	887.5439
MRPL32	712.9367	MRPL32	720.2489
MRPL33	765.5204	MRPL33	410.9094
MRPL34	338.4309	MRPL34	373.2909
MRPL35	1036.0817	MRPL35	766.2591
MRPL36	374.2001	MRPL36	195.9054
MRPL37	1361.6725	MRPL37	1188.7434
MRPL38	637.7329	MRPL38	724.2654
MRPL39	503.5192	MRPL39	417.8543
MRPL3	2356.7878	MRPL3	1065.76
MRPL40	518.1937	MRPL40	563.4088
MRPL41	219.5062	MRPL41	383.9977
MRPL42P5	5.4754	MRPL42P5	6.4733
MRPL42	1731.2867	MRPL42	492.5125
MRPL43	471.9629	MRPL43	907.5801
MRPL44	927.5515	MRPL44	519.1348
MRPL45	1012.5414	MRPL45	957.8239
MRPL46	337.5138	MRPL46	481.5163
MRPL47	817.4926	MRPL47	345.8005
MRPL48	357.3855	MRPL48	233.8132
MRPL49	1763.9987	MRPL49	1087.1736
MRPL4	397.4347	MRPL4	514.5048
MRPL50	759.406	MRPL50	351.8773
MRPL51	1202.3929	MRPL51	988.4974
MRPL52	363.1942	MRPL52	222.817
MRPL53	275.9542	MRPL53	349.3106
MRPL54	95.0786	MRPL54	365.4778
MRPL55	174.8713	MRPL55	310.7864
MRPL9	835.2671	MRPL9	693.7944
MRPS10	1541.4352	MRPS10	843.2323
MRPS11	306.6362	MRPS11	418.433
MRPS12	268.4213	MRPS12	212.3996
MRPS14	458.8842	MRPS14	347.2473
MRPS15	1049.8391	MRPS15	1160.9636
MRPS16	2465.9295	MRPS16	1268.3209
MRPS17	372.06	MRPS17	153.5325
MRPS18A	488.8447	MRPS18A	525.7903
MRPS18B	1634.0681	MRPS18B	1260.2185
MRPS18C	327.7185	MRPS18C	260.7104
MRPS21	726.0826	MRPS21	652.5356
MRPS22	514.2194	MRPS22	563.9876
MRPS23	2523.7104	MRPS23	392.1001
MRPS24	581.7833	MRPS24	595.5292
MRPS25	293.7776	MRPS25	734.3905
MRPS26	361.3599	MRPS26	398.177
MRPS27	1108.8428	MRPS27	1642.4799
MRPS28	347.7309	MRPS28	226.4226
MRPS2	541.7219	MRPS2	699.4053
MRPS30	757.8774	MRPS30	402.5175
MRPS31	329.8708	MRPS31	423.9311
MRPS33	917.7685	MRPS33	586.848
MRPS34	269.6442	MRPS34	458.0771
MRPS35	1962.716	MRPS35	936.4103
MRPS36	535.9254	MRPS36	378.4996
MRPS5	428.6181	MRPS5	702.5971
MRPS6	770.9775	MRPS6	633.1158
MRPS7	1511.1171	MRPS7	920.8913
MRPS9	453.0756	MRPS9	481.8057
MRRF	462.2471	MRRF	386.0233
MRS2	1326.8205	MRS2	748.0286
MRTO4	230.8179	MRTO4	545.7571
MRVI1	269.9499	MRVI1	934.6741
MS4A14	63.3083	MS4A14	28.1212
removed	removed	MS4A1	10.4174
MS4A2	95.69	MS4A2	129.0603
MS4A4A	378.7859	MS4A4A	242.205
MS4A6A	878.3307	MS4A6A	559.647
MS4A7	835.5056	MS4A7	331.8585
MSC	91.9052	MSC	84.7602
MSH2	1371.1498	MSH2	697.9672
MSH3	563.1956	MSH3	855.1487
MSH5	229.3198	MSH5	146.3445
MSH6	2115.8813	MSH6	1357.4477
MSI1	63.8953	MSI1	32.1204
MSI2	616.0238	MSI2	244.52
MSL1	1955.6845	MSL1	2037.7631
MSL2	977.9951	MSL2	952.0365
MSL3L2	257.7211	MSL3L2	52.9552
MSL3	904.3168	MSL3	482.3844
removed	removed	MSLN	5.7875
MSMB	661.5759	removed	removed
MSMP	17.426	MSMP	44.5634
MSN	7916.288	MSN	9322.723
MSR1	1683.5946	MSR1	202.5609
MSRA	62.061	MSRA	274.9041
MSRB2	341.4881	MSRB2	596.3973
MSRB3	1593.1018	MSRB3	2514.9389
removed	removed	MST1P2	94.9143
removed	removed	MST1P9	34.146
MST1R	322.2278	MST1R	135.1371
MST1	11.923	MST1	68.292
MST4	598.9035	MST4	269.4061
MSTN	14.6745	MSTN	14.1793
MSTO1	436.9367	MSTO1	673.9261
MSTO2P	23.6137	MSTO2P	133.0449
MSX1	125.9562	MSX1	131.954
MSX2	718.7454	MSX2	119.511
MT1A	14.0631	MT1A	15.9155
MT1E	403.8548	MT1E	665.8468
MT1F	36.992	MT1F	87.1012
MT1G	22.0118	MT1G	52.6658
MT1L	11.0059	MT1L	37.6185
MT1M	37.2977	MT1M	92.8887
MT1X	783.2521	MT1X	1643.348
MT2A	1748.1013	MT2A	1300.4413
MTA1	645.3728	MTA1	1008.4642
MTA2	1476.9285	MTA2	1615.2789
MTA3	1257.1166	MTA3	951.1683
MTAP	622.1382	MTAP	670.4767
MTBP	269.6442	MTBP	77.8413
MTCH1	2763.6998	MTCH1	3251.682
MTCH2	3599.2299	MTCH2	1158.0699
MTCP1NB	272.8206	MTCP1NB	210.3393
MTCP1	14.2496	MTCP1	19.1333
MTDH	5808.0497	MTDH	3267.0187
MTERFD1	542.0398	MTERFD1	245.0987
MTERFD2	410.2749	MTERFD2	541.9952
MTERFD3	411.8035	MTERFD3	519.1348
MTERF	228.0664	MTERF	138.3202
MTF1	533.174	MTF1	801.2732
MTF2	1132.6889	MTF2	491.9337
MTFMT	213.0861	MTFMT	225.132
MTFR1	2168.1592	MTFR1	393.2576
MTG1	153.1652	MTG1	377.6315
MTHFD1L	217.3662	MTHFD1L	191.2754
MTHFD1	2070.4912	MTHFD1	3999.6788
MTHFD2L	360.4397	MTHFD2L	192.132
MTHFD2	1485.4887	MTHFD2	560.5151
MTHFR	129.3191	MTHFR	831.7413
MTHFSD	171.2026	MTHFSD	316.8632
MTHFS	321.9221	MTHFS	294.0027
MTIF2	955.3719	MTIF2	834.5511
MTIF3	1203.0043	MTIF3	961.8751
MTL5	462.8586	MTL5	83.9181
MTM1	723.9426	MTM1	438.3998
MTMR10	762.8331	MTMR10	2230.2597
MTMR11	424.338	MTMR11	267.6698
MTMR12	1327.1262	MTMR12	1659.8423
MTMR14	720.8854	MTMR14	834.5511
MTMR15	420.6052	MTMR15	783.2685
MTMR1	1217.9845	MTMR1	670.7661
MTMR2	1258.9509	MTMR2	969.1095
MTMR3	937.6402	MTMR3	2334.6596
MTMR4	993.8925	MTMR4	1302.4669
MTMR6	1393.1615	MTMR6	997.468
MTMR7	24.1426	MTMR7	51.9106
removed	removed	MTMR8	19.3619
MTMR9L	14.6745	MTMR9L	179.4111
MTMR9	434.4175	MTMR9	571.1987
MTO1	526.1424	MTO1	421.9055
MTOR	629.1697	MTOR	1745.786
MTP18	111.5538	MTP18	66.7959
MTPAP	996.644	MTPAP	501.8187
MTRF1L	333.2337	MTRF1L	377.6315
MTRF1	134.2106	MTRF1	99.2549
MTRR	2145.536	MTRR	661.7956
MTR	1418.8419	MTR	1665.6297
MTSS1L	355.8569	MTSS1L	991.6805
MTSS1	2041.2828	MTSS1	1298.7051
MTTP	7.643	MTTP	5.4981
MTUS1	1543.5753	MTUS1	3181.9431
removed	removed	MTUS2	13.0218
MTX1	395.6004	MTX1	458.3665
MTX2	922.9657	MTX2	429.4292
MTX3	645.9843	MTX3	719.3807
MUC13	31.7948	removed	removed
MUC15	7.0315	MUC15	440.7148
MUC16	940.6974	MUC16	257.8312
MUC1	9490.4352	MUC1	1568.4005
MUC20	217.0605	MUC20	332.4893
removed	removed	MUC4	639.8032
MUC5B	1502.9146	MUC5B	115.7491
MUC6	36.992	MUC6	134.5583
MUCL1	885.0565	MUCL1	9626.8538
MUDENG	1433.8222	MUDENG	757.5779
MUL1	409.9692	MUL1	914.418
MUM1L1	619.3867	MUM1L1	61.0577
MUM1	474.7816	MUM1	1109.1659
MURC	11.0059	MURC	5.7875
MUS81	180.9857	MUS81	359.1116
MUSTN1	45.2434	MUSTN1	75.535
MUTED	538.6769	MUTED	364.031
MUTYH	50.2816	MUTYH	107.7711
MUT	1470.8142	MUT	1330.8254
MVD	76.7355	MVD	273.1679
MVK	112.1989	MVK	325.8338
MVP	1233.2705	MVP	1961.3687
MX1	927.5515	MX1	1136.3669
MX2	318.5592	MX2	446.5022
MXD1	638.3413	MXD1	706.9377
MXD3	100.1658	MXD3	59.0118
MXD4	535.9254	MXD4	2091.8759
MXI1	461.9414	MXI1	2105.4764
MXRA5	13688.5686	MXRA5	2597.6995
MXRA7	2118.0213	MXRA7	3105.5487
MXRA8	2156.2362	MXRA8	3270.4912
MYADM	6428.6593	MYADM	13975.2586
MYBBP1A	301.9006	MYBBP1A	967.8623
MYBL1	319.7821	MYBL1	72.9219
MYBL2	596.7635	MYBL2	36.7503
removed	removed	MYBPC1	512.1898
removed	removed	MYBPC2	5.2087
MYB	517.888	MYB	465.3114
MYCBP2	3458.2934	MYCBP2	5696.3033
MYCBPAP	9.1716	MYCBPAP	10.4174
MYCBP	1044.3361	MYCBP	361.8722
MYCL1	208.8061	MYCL1	98.3867
MYCN	57.4752	MYCN	14.1793
MYCT1	473.253	MYCT1	1162.4105
MYC	1264.7595	MYC	5574.4773
MYD88	2131.7787	MYD88	813.4269
MYEF2	199.0414	MYEF2	275.0893
MYEOV2	437.4839	MYEOV2	345.2217
MYEOV	7.0315	MYEOV	62.7939
MYH10	1239.6906	MYH10	4124.4303
MYH11	1216.3642	MYH11	13128.088
MYH14	1821.7796	MYH14	2368.2269
removed	removed	MYH15	6.0768
removed	removed	MYH1	105.0423
MYH3	5.5029	MYH3	68.292
removed	removed	MYH7B	52.3765
MYH9	12348.6022	MYH9	33096.4335
MYL12A	10392.3063	MYL12A	5221.1532
MYL12B	14018.1337	MYL12B	4675.3961
removed	removed	MYL3	15.6261
MYL5	31.5961	MYL5	140.5976
MYL6B	97.5244	MYL6B	418.7224
MYL6	5599.8551	MYL6	14529.4075
MYL9	3220.444	MYL9	11060.6959
MYLIP	1308.7831	MYLIP	1671.4172
MYLK2	6.4201	removed	removed
removed	removed	MYLK3	19.0986
MYLK4	18.3431	MYLK4	37.6185
MYLK	1901.878	MYLK	11330.0933
MYNN	560.3829	MYNN	559.647
MYO10	1066.3479	MYO10	1271.2146
removed	removed	MYO15A	15.9155
MYO15B	51.3608	MYO15B	1021.1966
MYO16	9.783	MYO16	109.3829
MYO18A	1514.5442	MYO18A	1774.3731
removed	removed	MYO18B	11.8643
MYO19	333.6954	MYO19	334.839
MYO1B	5889.6767	MYO1B	2275.6276
MYO1C	2730.9879	MYO1C	10145.1205
MYO1D	3342.1202	MYO1D	1722.3468
MYO1E	941.3088	MYO1E	937.5678
MYO1F	131.4592	MYO1F	252.0437
MYO1G	12.8402	MYO1G	66.8451
removed	removed	MYO1H	12.1537
removed	removed	MYO3A	6.3662
MYO3B	10.3944	MYO3B	8.1024
MYO5A	1106.7028	MYO5A	1184.4028
MYO5B	1388.8815	MYO5B	766.5485
MYO5C	1397.5669	MYO5C	1376.4161
MYO6	6775.9561	MYO6	2643.7098
MYO7A	42.1892	MYO7A	230.6301
removed	removed	MYO7B	18.2305
MYO9A	623.9725	MYO9A	1305.0713
MYO9B	672.2761	MYO9B	1480.4312
MYOCD	31.7948	MYOCD	46.2996
MYOC	51.6665	MYOC	54.6915
MYOF	4559.4933	MYOF	5368.4439
MYOM1	95.0786	MYOM1	1300.4413
MYOM2	7.0315	MYOM2	76.9732
MYOM3	12.8402	MYOM3	46.0103
