gene_id	TCGA-BH-A1F2-01A-31R-A13Q-07	gene_id	TCGA-BH-A1F2-11A-32R-A13Q-07
ADC	52.278	ADC	120.6685
ADD1	4003.6961	ADD1	7545.9741
ADD2	14.6745	ADD2	57.2958
ADD3	1743.8212	ADD3	3696.7373
ADH1A	60.5201	ADH1A	809.6303
ADH1B	12705.3763	ADH1B	90306.3011
ADH1C	56.2523	ADH1C	665.5574
removed	removed	ADH4	27.201
ADH5	2985.3461	ADH5	4562.2513
ADHFE1	107.0017	ADHFE1	634.5945
ADI1	1205.1443	ADI1	1658.1061
ADIPOQ	12931.6084	ADIPOQ	83495.6232
ADIPOR1	5020.8233	ADIPOR1	2194.0245
ADIPOR2	5276.0987	ADIPOR2	3962.3815
ADK	627.9468	ADK	342.9067
ADM2	152.8595	ADM2	58.1639
ADM	322.5336	ADM	871.5908
ADNP2	511.7736	ADNP2	767.9954
ADNP	4974.9654	ADNP	2733.7047
ADORA1	40.6606	ADORA1	385.1552
ADORA2A	80.4041	ADORA2A	61.347
ADORA2B	34.852	ADORA2B	35.3035
ADORA3	335.3738	ADORA3	31.5416
ADO	1045.559	ADO	517.6879
ADPGK	877.8446	ADPGK	767.243
ADPRHL1	143.6879	ADPRHL1	78.7094
ADPRHL2	225.6206	ADPRHL2	406.2794
ADPRH	315.1963	ADPRH	522.3179
removed	removed	ADRA1A	150.1845
ADRA1B	13.1459	ADRA1B	73.7901
removed	removed	ADRA1D	7.5237
ADRA2A	932.7487	ADRA2A	2184.7645
ADRA2B	10.3944	ADRA2B	141.2139
ADRA2C	11.3116	ADRA2C	77.2625
ADRB1	50.7494	ADRB1	228.6045
ADRB2	67.2582	ADRB2	647.3269
ADRB3	5.5029	ADRB3	25.1754
ADRBK1	878.3307	ADRBK1	1474.9331
ADRBK2	1071.2394	ADRBK2	5125.3708
ADRM1	612.3552	ADRM1	956.9558
ADSL	645.6785	ADSL	687.5497
ADSSL1	149.8023	ADSSL1	310.2076
ADSS	3816.9018	ADSS	898.5025
AEBP1	8358.3577	AEBP1	9135.2094
AEBP2	1028.4387	AEBP2	835.4192
AEN	238.4608	AEN	398.7557
AES	3615.7387	AES	5208.4207
AFAP1L1	191.6858	AFAP1L1	1271.504
AFAP1L2	130.8477	AFAP1L2	1062.2875
AFAP1	1470.5084	AFAP1	1321.5481
AFF1	3323.7771	AFF1	4827.8955
AFF2	108.2245	AFF2	108.2254
AFF3	1634.9853	AFF3	1349.0559
AFF4	3572.6323	AFF4	4074.6582
AFG3L1	129.9306	AFG3L1	234.392
AFG3L2	1484.5746	AFG3L2	1323.9528
AFMID	574.1403	AFMID	366.6353
removed	removed	AFP	89.7056
AFTPH	1968.5247	AFTPH	1421.3991
AG2	517.5823	AG2	629.0964
AGAP11	31.1833	AGAP11	371.8556
AGAP1	408.7463	AGAP1	491.6444
AGAP2	27.9152	AGAP2	169.5985
AGAP3	333.2337	AGAP3	1357.4477
AGAP4	72.1497	AGAP4	275.1935
AGAP5	19.8503	AGAP5	64.8774
AGAP6	47.3864	AGAP6	94.0462
AGAP7	5.8087	AGAP7	5.4981
AGAP8	18.3431	AGAP8	11.5749
AGA	756.9603	AGA	308.7608
AGBL2	36.0748	AGBL2	11.8643
AGBL3	5.5029	removed	removed
removed	removed	AGBL4	10.4174
AGBL5	544.7974	AGBL5	690.1657
AGER	10.7002	AGER	43.1165
AGFG1	3302.9882	AGFG1	1995.2253
AGFG2	173.037	AGFG2	572.09
AGGF1	1341.495	AGGF1	816.8994
