gene_id	TCGA-BH-A0HA-01A-11R-A12P-07	gene_id	TCGA-BH-A0HA-11A-31R-A12P-07
ADCYAP1	10.6691	removed	removed
removed	removed	ADC	233.1711
ADD1	5495.0713	ADD1	5557.5831
ADD2	26.4409	ADD2	55.9611
ADD3	1156.4421	ADD3	2008.5158
removed	removed	ADH1A	6.5004
ADH1B	240.7515	ADH1B	613.9497
ADH1C	6.0304	ADH1C	25.1419
ADH5	1970.5439	ADH5	3044.6067
ADHFE1	71.9007	ADHFE1	230.738
ADI1	950.4813	ADI1	1180.8597
ADIPOQ	261.6259	ADIPOQ	257.9075
ADIPOR1	3885.4227	ADIPOR1	2094.485
ADIPOR2	2495.1873	ADIPOR2	1590.4298
ADK	445.7845	ADK	361.7194
ADM2	483.8223	ADM2	97.3236
ADM	79.7866	ADM	70.9651
ADNP2	566.3922	ADNP2	875.5069
ADNP	2259.5384	ADNP	3824.412
ADORA1	140.0905	ADORA1	763.1792
ADORA2A	196.6833	ADORA2A	62.4493
ADORA2B	14.844	ADORA2B	53.9335
ADORA3	282.0364	ADORA3	71.3706
ADO	617.4185	ADO	705.1906
ADPGK	1164.4115	ADPGK	997.1168
ADPRHL1	144.7292	ADPRHL1	72.1817
ADPRHL2	1244.5785	ADPRHL2	649.635
ADPRH	412.3855	ADPRH	337.794
removed	removed	ADRA1A	6.0827
ADRA1B	25.0493	ADRA1B	8.9213
ADRA2A	970.8918	ADRA2A	379.1565
ADRA2B	6.4943	ADRA2B	32.4412
ADRA2C	147.9763	ADRA2C	15.4096
ADRB2	42.2127	ADRB2	193.8362
ADRBK1	2382.4655	ADRBK1	1436.7397
ADRBK2	348.8345	ADRBK2	1068.9376
ADRM1	1852.7195	ADRM1	701.1354
ADSL	566.8561	ADSL	1072.9927
ADSSL1	181.8393	ADSSL1	96.5126
ADSS	1159.6892	ADSS	1448.9051
AEBP1	31052.302	AEBP1	2641.5247
AEBP2	501.4496	AEBP2	1218.1671
AEN	489.8527	AEN	379.1565
AES	13767.8302	AES	4249.3917
AFAP1L1	337.7015	AFAP1L1	206.0016
AFAP1L2	675.8669	AFAP1L2	1502.8386
AFAP1	1079.8979	AFAP1	1823.1509
AFARP1	8.8136	removed	removed
AFF1	1669.0247	AFF1	2552.3114
AFF2	32.4713	AFF2	83.5361
AFF3	1443.5811	AFF3	1735.1987
AFF4	2161.6607	AFF4	4972.8305
AFG3L1	264.873	AFG3L1	343.0657
