gene_id	TCGA-BH-A0HA-01A-11R-A12P-07	gene_id	TCGA-BH-A0HA-11A-31R-A12P-07
LPPR5	12.0608	removed	removed
LPP	394.7582	LPP	1279.3998
LPXN	407.2828	LPXN	319.9513
LQK1	43.6043	LQK1	24.7364
LRAT	21.8022	LRAT	165.0446
LRBA	2696.0455	LRBA	2503.6496
LRCH1	605.3578	LRCH1	1165.8556
LRCH2	57.5206	LRCH2	90.8354
LRCH3	175.345	LRCH3	596.5126
LRCH4	852.1396	LRCH4	752.6358
LRDD	199.0027	LRDD	274.5337
LRFN1	129.8852	LRFN1	85.1582
LRFN2	24.5854	removed	removed
LRFN3	163.7481	LRFN3	142.3358
LRFN4	644.7872	LRFN4	125.3041
LRFN5	18.555	LRFN5	83.5361
LRG1	45.9237	LRG1	58.3942
LRGUK	26.9048	LRGUK	7.2993
LRIG1	2844.662	LRIG1	6122.356
LRIG2	158.1816	LRIG2	577.0479
LRIG3	332.5989	LRIG3	2033.6577
LRIT3	9.2775	LRIT3	8.9213
LRMP	78.395	LRMP	110.7056
LRP10	4689.3193	LRP10	3726.2774
LRP11	810.3676	LRP11	579.4809
LRP12	230.0823	LRP12	442.8224
removed	removed	LRP1B	19.4647
LRP1	7467.4707	LRP1	7200.3244
LRP2BP	99.2694	LRP2BP	83.1306
LRP2	1986.3157	LRP2	2698.2968
LRP3	854.4219	LRP3	526.3423
removed	removed	LRP4	855.0203
LRP5L	49.6347	LRP5L	161.8005
LRP5	923.5765	LRP5	3502.8386
LRP6	607.2133	LRP6	2611.5166
LRP8	75.6117	LRP8	49.4728
LRPAP1	2795.7787	LRPAP1	1254.6634
LRPPRC	2610.6923	LRPPRC	4967.5588
removed	removed	LRRC10B	35.2798
LRRC14	528.7348	LRRC14	620.8354
LRRC15	8380.8419	removed	removed
LRRC16A	395.2221	LRRC16A	733.5766
removed	removed	LRRC16B	26.3585
LRRC17	884.147	LRRC17	112.3277
LRRC19	5.1026	removed	removed
LRRC1	971.3557	LRRC1	1077.8589
LRRC20	258.3788	LRRC20	128.1427
LRRC23	426.3018	LRRC23	157.3398
LRRC24	12.1443	LRRC24	17.4453
LRRC25	106.6914	LRRC25	40.146
LRRC26	168.3869	LRRC26	28.3861
LRRC27	312.6522	LRRC27	291.8532
LRRC28	138.6988	LRRC28	184.5093
LRRC29	89.528	LRRC29	77.0479
LRRC2	10.2053	LRRC2	88.4023
LRRC31	62.1593	removed	removed
LRRC32	2011.365	LRRC32	257.502
LRRC33	117.8244	LRRC33	83.5361
LRRC34	24.5854	LRRC34	83.5361
LRRC36	7.422	removed	removed
LRRC37A2	45.9237	LRRC37A2	82.3195
LRRC37A3	207.3524	LRRC37A3	120.8435
LRRC37A4	59.84	LRRC37A4	658.1468
LRRC37A	246.7819	LRRC37A	357.2587
LRRC37B2	355.3288	LRRC37B2	684.9148
LRRC37B	96.4861	LRRC37B	351.5815
LRRC39	9.2033	LRRC39	8.8037
removed	removed	LRRC3B	79.8865
LRRC3	62.1593	LRRC3	80.6975
LRRC40	284.8197	LRRC40	413.2198
LRRC41	2133.3643	LRRC41	2071.7762
LRRC42	469.4422	LRRC42	455.3933
removed	removed	LRRC43	16.6261
LRRC45	401.2525	LRRC45	202.352
LRRC46	212.9189	LRRC46	12.1655
LRRC47	1197.727	LRRC47	1296.026
LRRC48	36.6462	LRRC48	109.0835
LRRC49	115.0412	LRRC49	169.5053
LRRC4B	14.844	LRRC4B	12.1655
LRRC4C	34.3268	LRRC4C	110.7056
LRRC4	213.3828	LRRC4	19.0592
LRRC50	52.8818	LRRC50	17.4371
LRRC55	27.8325	LRRC55	44.6067
LRRC56	288.9945	LRRC56	66.5045
LRRC57	239.8237	LRRC57	419.708
LRRC58	1010.3212	LRRC58	1943.2279
LRRC59	4575.011	LRRC59	1523.6821
LRRC61	546.4456	LRRC61	227.4939
removed	removed	LRRC66	16.6261
LRRC6	86.2809	LRRC6	64.8824
LRRC70	94.3338	LRRC70	93.8564
LRRC8A	1405.5433	LRRC8A	1675.9935
LRRC8B	414.241	LRRC8B	622.06
LRRC8C	497.7386	LRRC8C	487.429
LRRC8D	786.7332	LRRC8D	1201.541
LRRC8E	585.4111	LRRC8E	373.0738
LRRCC1	249.1012	LRRCC1	459.043
LRRFIP1	3586.2229	LRRFIP1	2534.0633
LRRFIP2	1182.4191	LRRFIP2	825.223
LRRIQ1	38.0378	LRRIQ1	39.335
LRRIQ3	16.6995	removed	removed
LRRK1	207.8163	LRRK1	593.2685
LRRK2	69.1175	LRRK2	147.2019
LRRN1	196.2194	LRRN1	1281.4274
LRRN2	327.0324	LRRN2	266.4234
LRRN3	94.1668	LRRN3	65.2879
LRRN4CL	49.1708	LRRN4CL	49.8783
LRRTM2	12.9885	LRRTM2	69.7486
LRSAM1	745.4482	LRSAM1	476.0746
LRTOMT	355.2685	LRTOMT	251.8978
LRWD1	341.8764	LRWD1	139.4972
LSAMP	22.7299	LSAMP	11.3544
LSG1	861.881	LSG1	1103.4063
LSM10	569.1755	LSM10	201.541
LSM11	155.3984	LSM11	357.2587
LSM12	1810.9707	LSM12	698.7024
LSM14A	3164.096	LSM14A	4187.3479
LSM14B	1370.7526	LSM14B	924.5742
LSM1	805.7521	LSM1	334.5499
LSM2	921.2571	LSM2	534.8743
LSM3	829.4097	LSM3	563.2603
LSM4	2795.3149	LSM4	675.588
LSM5	803.8966	LSM5	554.7445
LSM6	205.9608	LSM6	192.6196
LSM7	774.6724	LSM7	290.7543
LSMD1	557.1147	LSMD1	245.7421
LSP1	2077.6992	LSP1	510.1379
LSR	2807.8395	LSR	1173.1549
LSS	1067.3779	LSS	678.4266
LST1	200.8582	LST1	39.7405
LTA4H	1214.4265	LTA4H	2980.1298
LTA	34.3268	removed	removed
LTB4R2	27.9903	LTB4R2	84.4931
LTB4R	175.73	LTB4R	258.1671
LTBP1	667.981	LTBP1	609.8946
LTBP2	3801.9251	LTBP2	11047.4453
LTBP3	2251.8984	LTBP3	2483.4712
LTBP4	958.3672	LTBP4	1493.1062
LTBR	2657.0799	LTBR	1412.0032
LTB	290.3862	LTB	15.0041
LTC4S	25.8054	LTC4S	20.4461
LTF	770.0336	LTF	8965.5312
removed	removed	LTK	10.1379
LTV1	402.6441	LTV1	733.1711
LUC7L2	1964.9449	LUC7L2	3179.9797
LUC7L3	3392.7867	LUC7L3	3769.262
LUC7L	586.8027	LUC7L	866.5856
LUM	46075.3798	LUM	1648.4185
LUZP1	797.8662	LUZP1	1727.4939
LUZP2	46.3876	LUZP2	31.2247
LUZP6	3462.832	LUZP6	3637.8751
LXN	434.6515	LXN	231.9546
removed	removed	LY6D	251.8248
LY6E	10845.4134	LY6E	3796.026
LY6G5B	12.469	LY6G5B	108.678
LY6G5C	47.7792	LY6G5C	26.764
LY6G6C	51.9541	LY6G6C	5.2717
LY6H	23.6577	removed	removed
LY6K	43.6043	LY6K	146.3909
LY75	278.7893	LY75	3981.3504
LY86	190.6529	LY86	56.7721
LY96	158.6455	LY96	20.6813
LY9	59.3761	LY9	95.296
LYAR	252.8122	LYAR	315.8962
LYG1	16.6995	LYG1	19.8702
LYL1	102.5165	LYL1	34.4688
LYNX1	50.5624	LYNX1	480.9408
LYN	744.5205	LYN	802.1087
LYPD1	49.4491	LYPD1	14.6148
LYPD3	426.3018	LYPD3	367.3966
LYPD5	93.239	LYPD5	128.5483
LYPD6B	328.8879	LYPD6B	157.3398
LYPD6	211.5273	LYPD6	423.7632
LYPLA1	1517.8012	LYPLA1	1074.2092
LYPLA2P1	69.1175	LYPLA2P1	37.3074
LYPLA2	1640.7283	LYPLA2	730.738
LYPLAL1	507.9439	LYPLAL1	300.4866
LYRM1	542.2707	LYRM1	566.91
LYRM2	663.2216	LYRM2	1052.8386
LYRM4	381.3058	LYRM4	457.4209
LYRM5	471.7616	LYRM5	325.6285
LYRM7	340.0209	LYRM7	673.9659
LYSMD1	224.9797	LYSMD1	276.1557
LYSMD2	172.0979	LYSMD2	145.5799
LYSMD3	552.4759	LYSMD3	611.5166
LYSMD4	117.0312	LYSMD4	331.6302
LYST	918.9377	LYST	966.7478
LYVE1	44.0682	LYVE1	14.193
LYZ	1592.0213	LYZ	184.1038
LZIC	427.2295	LZIC	384.8337
LZTFL1	450.4233	LZTFL1	963.9092
LZTR1	611.968	LZTR1	766.4234
LZTS1	542.7345	LZTS1	1496.3504
LZTS2	2388.4959	LZTS2	1391.7275
M6PR	2269.4376	M6PR	2753.3658
MAB21L1	44.5321	MAB21L1	155.7178
MACC1	376.2032	MACC1	538.9294
MACF1	5082.222	MACF1	8132.1979
MACROD1	377.5948	MACROD1	209.2457
MACROD2	81.6421	MACROD2	266.8289
MAD1L1	579.3807	MAD1L1	294.8094
MAD2L1BP	538.5597	MAD2L1BP	244.9311
MAD2L1	214.3106	MAD2L1	167.0722
MAD2L2	481.9668	MAD2L2	253.8524
MADD	1199.5825	MADD	1549.8783
MAEA	1117.9404	MAEA	1047.0397
MAF1	2346.7471	MAF1	1658.9619
MAFB	1999.3042	MAFB	830.9002
MAFF	292.7056	MAFF	967.9643
MAFG	203.6414	MAFG	515.8151
MAFK	538.5179	MAFK	442.717
MAF	829.4097	MAF	918.086
removed	removed	MAGEB4	12.571
MAGED1	6752.6383	MAGED1	3055.5556
MAGED2	26933.5498	MAGED2	5716.1395
MAGED4B	266.093	MAGED4B	567.9359
MAGED4	124.0264	MAGED4	138.0657
MAGEE1	179.5199	MAGEE1	333.7388
removed	removed	MAGEE2	6.0827
MAGEF1	2037.342	MAGEF1	916.4639
MAGEH1	616.0269	MAGEH1	375.1014
MAGEL2	73.2924	MAGEL2	11.7599
MAGI1	413.3132	MAGI1	2102.1898
MAGI2	156.3261	MAGI2	352.7981
MAGI3	505.6245	MAGI3	910.7867
MAGIX	119.6799	MAGIX	30.4136
MAGOHB	391.5111	MAGOHB	259.1241
MAGOH	796.9384	MAGOH	363.3414
MAGT1	2359.2717	MAGT1	2626.5207
MAG	44.0682	MAG	39.335
MAK16	499.9977	MAK16	558.601
MAK	11.133	MAK	15.8151
MAL2	2463.1799	MAL2	2109.0835
MALAT1	2468.0552	MALAT1	5006.0908
MALL	460.1647	MALL	373.0738
MALT1	351.1539	MALT1	864.1525
MAL	28.7603	removed	removed
MAMDC2	141.3708	MAMDC2	1443.4347
MAMDC4	25.5132	MAMDC4	69.7486
MAML1	1320.3618	MAML1	1923.9984
MAML2	192.9723	MAML2	3171.1273
MAML3	386.4084	MAML3	1225.8719
MAMLD1	102.0526	MAMLD1	189.3755
MAMSTR	27.8325	MAMSTR	20.2758
MAN1A1	957.4394	MAN1A1	625.7097
MAN1A2	438.3625	MAN1A2	866.18
MAN1B1	2200.6262	MAN1B1	1652.8792
MAN1C1	211.0634	MAN1C1	123.2766
MAN2A1	311.7245	MAN2A1	523.9254
removed	removed	MAN2A2	1566.0989
MAN2B1	2207.5844	MAN2B1	1134.631
MAN2B2	2045.2279	MAN2B2	1039.335
MAN2C1	406.819	MAN2C1	1262.3682
MANBAL	1406.4711	MANBAL	1069.3431
MANBA	579.8446	MANBA	903.4874
MANEAL	449.0317	MANEAL	367.3966
MANEA	201.322	MANEA	457.8264
MANF	1447.2921	MANF	546.6342
MANSC1	557.1147	MANSC1	819.1403
MAOA	370.6367	MAOA	555.9611
MAOB	227.2991	MAOB	1814.6796
MAP1A	667.5171	MAP1A	246.1476
MAP1B	888.7858	MAP1B	1630.5758
MAP1D	22.7299	MAP1D	112.7332
MAP1LC3A	554.3314	MAP1LC3A	179.6431
MAP1LC3B2	238.4321	MAP1LC3B2	202.7575
MAP1LC3B	2726.1974	MAP1LC3B	1896.5937
MAP1LC3C	6.4943	removed	removed
MAP1S	943.987	MAP1S	607.867
MAP2K1	840.3897	MAP2K1	738.7348
MAP2K2	2341.1806	MAP2K2	1221.8167
MAP2K3	700.4523	MAP2K3	1168.2887
removed	removed	MAP2K4	995.1338
MAP2K5	185.5503	MAP2K5	518.2482
MAP2K6	113.1857	MAP2K6	589.6188
MAP2K7	958.3672	MAP2K7	1051.0949
MAP2	128.9574	MAP2	869.0187
MAP3K10	281.5725	MAP3K10	106.2449
MAP3K11	1640.2644	MAP3K11	1008.1103
MAP3K12	159.7727	MAP3K12	173.9943
MAP3K13	15.9341	MAP3K13	43.7956
MAP3K14	310.7967	MAP3K14	907.5426
removed	removed	MAP3K15	16.4355
MAP3K1	1355.9086	MAP3K1	2892.5385
MAP3K2	464.8034	MAP3K2	801.2976
MAP3K3	692.4365	MAP3K3	1091.3179
MAP3K4	405.4273	MAP3K4	1255.88
MAP3K5	209.2079	MAP3K5	719.7891
MAP3K6	619.274	MAP3K6	804.5418
MAP3K7	391.0472	MAP3K7	1026.3585
removed	removed	MAP3K8	124.8986
MAP3K9	49.6347	MAP3K9	110.7056
MAP4K1	141.4821	MAP4K1	78.2644
MAP4K2	505.6245	MAP4K2	254.2579
MAP4K3	648.0343	MAP4K3	1141.5247
MAP4K4	3001.2757	MAP4K4	2041.3625
MAP4K5	951.8729	MAP4K5	1589.2133
MAP4	5447.756	MAP4	4802.5142
MAP6D1	362.2869	MAP6D1	78.2644
MAP6	116.8967	MAP6	120.0324
MAP7D1	2147.2805	MAP7D1	983.7794
removed	removed	MAP7D2	18.6537
MAP7D3	136.8433	MAP7D3	217.356
MAP7	907.8047	MAP7	1166.6667
MAP9	241.6792	MAP9	704.7851
MAPK10	7.8859	MAPK10	62.4493
MAPK11	344.6596	MAPK11	151.6626
MAPK12	128.5492	MAPK12	108.8037
MAPK13	984.8081	MAPK13	634.2255
MAPK14	1021.4543	MAPK14	1446.8775
MAPK15	53.3457	MAPK15	63.2603
MAPK1IP1L	1510.3792	MAPK1IP1L	2323.601
MAPK1	2054.9693	MAPK1	3501.6221
MAPK3	2269.1082	MAPK3	1276.1557
MAPK4	12.0608	MAPK4	120.438
MAPK6	1155.9782	MAPK6	991.8897
MAPK7	268.584	MAPK7	358.9659
MAPK8IP1	148.9041	MAPK8IP1	339.4161
MAPK8IP2	849.3564	MAPK8IP2	138.6861
MAPK8IP3	515.3659	MAPK8IP3	1068.9376
MAPK8	235.6488	MAPK8	414.4363
MAPK9	1766.4386	MAPK9	1025.1419
MAPKAP1	1933.8977	MAPKAP1	1408.7591
MAPKAPK2	12780.2389	MAPKAPK2	1903.0819
MAPKAPK3	902.2382	MAPKAPK3	719.3836
MAPKAPK5	450.3212	MAPKAPK5	723.9578
MAPKBP1	401.2525	MAPKBP1	1180.4542
MAPKSP1	1280.7608	MAPKSP1	1236.4152
MAPRE1	3359.3877	MAPRE1	2331.7113
MAPRE2	684.6805	MAPRE2	858.4753
MAPRE3	340.4848	MAPRE3	319.1403
MAPT	5395.8019	MAPT	2239.6594
MARCH10	5.8912	removed	removed
MARCH11	17.6273	removed	removed
MARCH1	77.9311	MARCH1	64.4769
MARCH2	970.8918	MARCH2	266.8289
MARCH3	155.3984	MARCH3	35.2798
MARCH4	13.9163	removed	removed
MARCH5	1111.4461	MARCH5	1446.0665
MARCH6	1296.0687	MARCH6	2688.5645
MARCH7	1579.4967	MARCH7	2745.7421
MARCH8	98.3416	MARCH8	573.3982
MARCH9	414.241	MARCH9	188.97
MARCKSL1	13059.4921	MARCKSL1	3531.6302
MARCKS	5155.5143	MARCKS	4348.3374
MARCO	6.9581	MARCO	9.7324
MARK1	83.9615	MARK1	221.0057
MARK2	1438.4785	MARK2	1896.1882
MARK3	1188.4495	MARK3	1274.9392
MARK4	1099.3854	MARK4	778.9943
MARS2	145.657	MARS2	298.0535
MARS	1536.8712	MARS	1118.3658
MARVELD1	1667.7351	MARVELD1	1668.0738
MARVELD2	537.168	MARVELD2	339.0105
MARVELD3	514.466	MARVELD3	280.9448
MASP1	5.1026	MASP1	9.3268
MASP2	5.1026	MASP2	91.2409
MAST1	11.133	MAST1	15.0041
MAST2	1209.3239	MAST2	1102.5953
MAST3	243.0709	MAST3	390.9165
MAST4	470.3699	MAST4	1273.7226
MASTL	309.869	MASTL	442.8224
removed	removed	MAT1A	34.4688
MAT2A	3197.9589	MAT2A	4020.6813
MAT2B	1380.9579	MAT2B	2015.8151
MATK	37.5739	MATK	128.9538
MATN1	5.5665	MATN1	6.0503
MATN2	488.4611	MATN2	9754.6634
MATN3	1723.762	MATN3	75.0203
removed	removed	MATN4	5.2717
MATR3	5909.3123	MATR3	9962.648
MAVS	1693.1462	MAVS	2842.6602
MAX	2819.4364	MAX	1213.7064
MAZ	7825.5364	MAZ	2073.1346
removed	removed	MBD1	1248.1752
MBD2	3430.3607	MBD2	1107.4615
MBD3	2033.631	MBD3	876.3179
MBD4	900.3827	MBD4	833.7388
MBD5	295.0249	MBD5	449.3106
MBD6	1592.0213	MBD6	1707.2182
MBIP	372.0283	MBIP	557.9886
MBL1P	6.9581	MBL1P	9.7324
MBLAC1	85.3531	MBLAC1	30.0081
MBLAC2	133.5962	MBLAC2	572.5872
MBNL1	2923.4512	MBNL1	4075.7056
MBNL2	1260.8141	MBNL2	3564.0714
MBNL3	17.1634	MBNL3	121.6545
MBOAT1	495.8831	MBOAT1	547.8508
MBOAT2	513.5104	MBOAT2	379.1565
MBOAT7	3390.4674	MBOAT7	767.2344
MBP	542.7345	MBP	1367.8021
MBTD1	437.4348	MBTD1	1484.9959
MBTPS1	3669.2566	MBTPS1	4517.0316
MBTPS2	494.4915	MBTPS2	749.3917
MB	254.2039	MB	149.635
MC1R	157.0358	MC1R	28.8362
MCAM	3146.4687	MCAM	1687.3479
MCART1	361.3592	MCART1	105.0284
removed	removed	MCART2	5.2717
MCART6	22.266	MCART6	23.1144
MCAT	261.162	MCAT	283.0495
MCCC1	285.2835	MCCC1	783.8605
MCCC2	16463.8757	MCCC2	2557.5831
MCCD1	8.8136	removed	removed
MCC	361.3592	MCC	1841.8491
MCEE	190.6529	MCEE	160.5839
removed	removed	MCF2L2	19.4647
MCF2L	1131.7824	MCF2L	865.4177
MCFD2	2369.477	MCFD2	3536.0908
MCL1	6600.0232	MCL1	17160.5839
MCM10	37.1101	MCM10	38.9294
MCM2	765.3949	MCM2	905.9205
MCM3APAS	12.4736	MCM3APAS	70.7948
MCM3AP	1382.8644	MCM3AP	2410.146
MCM3	2146.8167	MCM3	2032.4412
MCM4	689.7831	MCM4	1247.3642
MCM5	565.0006	MCM5	1137.4696
MCM6	808.5353	MCM6	996.7559
MCM7	1108.9087	MCM7	2761.768
MCM8	96.4861	MCM8	287.5101
MCM9	13.4524	MCM9	166.6667
MCOLN1	418.4159	MCOLN1	328.4672
MCOLN2	44.9959	MCOLN2	44.2011
MCOLN3	9.7414	MCOLN3	115.9773
MCPH1	463.7597	MCPH1	750.8921
MCRS1	1234.8371	MCRS1	752.2303
MCTP1	133.5962	MCTP1	110.3001
MCTP2	35.2546	MCTP2	523.9254
MCTS1	944.4509	MCTS1	947.283
MDC1	588.6582	MDC1	1442.0114
MDFIC	912.9073	MDFIC	1060.8273
MDFI	311.2606	MDFI	235.1987
MDGA1	173.9534	MDGA1	61.2328
MDH1B	24.1215	MDH1B	47.8508
MDH1	2655.2244	MDH1	1669.0998
MDH2	2419.5756	MDH2	2542.9846
MDK	4912.9073	MDK	1393.3496
MDM1	165.6036	MDM1	460.665
MDM2	2317.059	MDM2	1710.0568
MDM4	592.8331	MDM4	1414.4363
MDN1	277.8615	MDN1	2420.5191
MDP1	406.9581	MDP1	182.7697
ME1	39.4294	ME1	39.335
ME2	509.7994	ME2	623.2766
ME3	130.3491	ME3	382.4006
MEA1	1982.5722	MEA1	667.0722
MEAF6	3460.0487	MEAF6	1452.9603
MECOM	385.0168	MECOM	254.6634
MECP2	1117.0126	MECP2	2240.8759
MECR	447.64	MECR	479.3187
MED10	482.4307	MED10	351.5815
MED11	316.3632	MED11	191.4031
removed	removed	MED12L	15.4096
MED12	868.3753	MED12	1897.4047
MED13L	3784.2978	MED13L	5190.9976
MED13	1593.8768	MED13	2391.322
MED14	1021.9181	MED14	1394.1606
MED15	1284.0079	MED15	1722.2222
MED16	1288.6466	MED16	975.6691
MED17	511.6549	MED17	1097.3236
MED18	319.1465	MED18	221.4112
MED19	319.6103	MED19	151.6626
MED1	1358.6919	MED1	2207.6237
MED20	521.8601	MED20	513.7875
MED21	431.4044	MED21	640.7137
MED22	633.6542	MED22	850.365
removed	removed	MED23	1463.9092
MED24	2876.0292	MED24	2028.3861
MED25	1535.8924	MED25	569.7486
MED26	441.1458	MED26	343.4712
MED27	298.7359	MED27	223.8443
MED28	652.6731	MED28	678.0211
MED29	2930.3027	MED29	1598.5401
MED30	160.9649	MED30	217.7616
MED31	146.0281	MED31	117.8589
MED4	1457.4974	MED4	976.8856
MED6	477.792	MED6	439.1727
MED7	278.7893	MED7	218.1671
MED8	885.5387	MED8	469.1809
MED9	351.1539	MED9	427.8183
MEF2A	1121.9807	MEF2A	2126.1963
MEF2B	13.522	MEF2B	23.9457
MEF2C	903.166	MEF2C	1263.9903
MEF2D	1369.8249	MEF2D	1779.3998
MEFV	6.4943	removed	removed
MEG3	18.0912	MEG3	438.3617
MEGF10	42.6766	MEGF10	401.0543
MEGF6	1043.2564	MEGF6	541.768
removed	removed	MEGF8	1101.3788
MEGF9	2274.3825	MEGF9	1578.2644
MEI1	38.5017	MEI1	43.7956
MEIS1	158.6455	MEIS1	267.2344
MEIS2	170.7063	MEIS2	363.747
MEIS3P1	488.925	MEIS3P1	738.0373
MEIS3	1547.4893	MEIS3	83.9416
MELK	159.1094	MELK	40.957
MEMO1	285.1026	MEMO1	271.4558
MEN1	1046.5035	MEN1	669.9108
MEOX1	143.8015	MEOX1	124.8986
MEOX2	127.5658	MEOX2	251.4193
MEPCE	1488.1132	MEPCE	1371.4517
MERTK	142.8737	MERTK	624.0876
MESDC1	1225.0957	MESDC1	212.0843
MESDC2	1987.7073	MESDC2	1214.5174
MESP1	30.1519	MESP1	111.5166
MESP2	36.6462	MESP2	10.9489
removed	removed	MESTIT1	17.0316
MEST	938.8844	MEST	2671.5328
METAP1	726.8932	METAP1	2004.0552
METAP2	1395.8019	METAP2	2106.2449
METRNL	637.3652	METRNL	80.6975
METRN	494.4915	METRN	94.485
METT10D	662.4145	METT10D	1788.3212
METT11D1	540.879	METT11D1	784.266
METT5D1	319.1465	METT5D1	412.8143
METTL10	289.3981	METTL10	404.3917
METTL11A	487.473	METTL11A	294.3431
METTL11B	10.6691	removed	removed
METTL12	69.3123	METTL12	63.4996
METTL13	635.5097	METTL13	881.5896
METTL14	363.2147	METTL14	595.7015
METTL1	444.8568	METTL1	328.4672
METTL2A	339.0931	METTL2A	358.8808
METTL2B	166.0675	METTL2B	319.5458
METTL3	459.0189	METTL3	938.1792
METTL4	141.4821	METTL4	259.1241
METTL5	880.9927	METTL5	418.0616
METTL6	180.9115	METTL6	263.9903
METTL7A	766.3226	METTL7A	2915.2474
METTL7B	28.2964	removed	removed
METTL8	285.2835	METTL8	506.4882
METTL9	1653.7168	METTL9	2029.1971
MET	393.8305	MET	1609.0835
MEX3A	487.5333	MEX3A	555.9611
MEX3B	126.6381	MEX3B	49.8783
MEX3C	1106.8074	MEX3C	1838.605
MEX3D	693.4941	MEX3D	290.7543
MFAP1	854.9229	MFAP1	940.7948
MFAP2	2967.8766	MFAP2	122.06
MFAP3L	150.2957	MFAP3L	889.2944
MFAP3	982.4887	MFAP3	902.2709
MFAP4	2402.4122	MFAP4	547.4453
MFAP5	2546.2136	MFAP5	173.1549
MFF	1302.5629	MFF	1223.8443
MFGE8	2703.0036	MFGE8	17011.3544
MFHAS1	89.528	MFHAS1	136.6586
MFI2	70.0452	MFI2	378.3455
MFN1	539.9513	MFN1	986.2125
MFN2	3003.1312	MFN2	2330.9002
MFNG	231.9378	MFNG	125.8881
MFRP	1458.889	MFRP	72.5872
MFSD10	1724.2259	MFSD10	973.6415
MFSD11	621.779	MFSD11	462.3601
MFSD1	1259.4225	MFSD1	1568.532
MFSD2A	103.4443	MFSD2A	353.6091
MFSD2B	15.3079	MFSD2B	11.7599
MFSD3	513.9743	MFSD3	227.4939
MFSD4	39.4294	MFSD4	250.6083
MFSD5	1156.9059	MFSD5	343.4712
MFSD6L	9.2775	MFSD6L	51.0949
MFSD6	1695.9295	MFSD6	1935.5231
MFSD7	139.8724	MFSD7	114.0633
MFSD8	288.9945	MFSD8	527.1695
MFSD9	106.2275	MFSD9	155.7178
MGAM	14.844	removed	removed
MGAT1	3781.0507	MGAT1	1640.3082
MGAT2	971.3557	MGAT2	460.2595
MGAT3	32.0074	MGAT3	60.8273
MGAT4A	1011.249	MGAT4A	1444.4444
MGAT4B	1340.6007	MGAT4B	983.3739
MGAT5B	29.688	MGAT5B	6.4882
MGAT5	44.9959	MGAT5	317.1127
MGA	738.954	MGA	2325.6285
MGC12916	12.5246	MGC12916	13.7875
MGC12982	51.4902	MGC12982	10.1379
removed	removed	MGC14436	6.8938
MGC16121	8.3498	MGC16121	7.2993
MGC16142	13.4524	MGC16142	16.6261
MGC16275	47.3153	MGC16275	48.6618
removed	removed	MGC16384	12.1655
removed	removed	MGC16703	10.7826
MGC21881	137.7711	MGC21881	233.9822
MGC23270	32.9352	MGC23270	44.6067
MGC23284	41.2849	MGC23284	23.5199
MGC2752	626.696	MGC2752	525.5474
MGC29506	900.3827	MGC29506	184.1038
MGC3771	32.8424	MGC3771	12.1776
MGC42105	7.8859	removed	removed
MGC45800	42.2127	removed	removed
MGC57346	105.1513	MGC57346	285.4907
MGC70857	562.2173	MGC70857	317.5182
MGC72080	150.3467	MGC72080	31.618
MGC87042	7.422	MGC87042	12.571
MGEA5	3960.1067	MGEA5	6323.1955
MGLL	987.1274	MGLL	1386.4558
MGMT	888.7858	MGMT	382.4006
MGP	4622.5212	MGP	39113.5442
MGRN1	1708.918	MGRN1	1194.2417
MGST1	933.3179	MGST1	1459.4485
MGST2	1788.2408	MGST2	455.3933
MGST3	1416.6763	MGST3	875.9124
MIA3	1463.9917	MIA3	2377.94
MIAT	89.0688	MIAT	136.8775
MIA	46.8514	MIA	431.2328
MIB1	1276.5859	MIB1	2549.0673
MIB2	257.9149	MIB2	368.6131
MICAL1	619.7333	MICAL1	525.1419
MICAL2	2037.8059	MICAL2	574.6148
MICAL3	261.6259	MICAL3	2439.9838
MICALCL	23.1938	MICALCL	48.6618
MICALL1	492.636	MICALL1	1386.0503
MICALL2	416.0965	MICALL2	311.841
MICA	381.3058	MICA	578.6699
MICB	265.3369	MICB	34.4688
MID1IP1	339.0931	MID1IP1	206.0016
MID1	110.8663	MID1	1346.7153
MID2	330.2795	MID2	1005.2717
MIDN	2672.8517	MIDN	840.2271
MIER1	1131.8567	MIER1	1125.3041
MIER2	607.6771	MIER2	381.1841
MIER3	553.4037	MIER3	738.4428
MIF4GD	581.38	MIF4GD	342.9075
MIF	5371.7453	MIF	1167.7656
MIIP	532.9932	MIIP	256.2855
MINA	341.7419	MINA	1322.4209
MINK1	861.0971	MINK1	2623.5848
MINPP1	358.5759	MINPP1	367.8021
MIOS	481.503	MIOS	772.9116
MIPEP	426.7656	MIPEP	545.0122
MIPOL1	162.8204	MIPOL1	172.3439
MIR155HG	25.5132	MIR155HG	10.9489
MIR17HG	11.5969	MIR17HG	35.2798
MIS12	352.0816	MIS12	442.4169
MITD1	347.9068	MITD1	265.2068
MITF	277.3977	MITF	143.9578
MKI67IP	878.5666	MKI67IP	1176.3869
MKI67	788.1248	MKI67	285.077
MKKS	699.5245	MKKS	714.923
MKL1	823.8432	MKL1	1990.6732
MKL2	1768.2941	MKL2	2246.5531
MKLN1	1291.8938	MKLN1	2536.4964
MKNK1	583.0917	MKNK1	442.0114
MKNK2	4261.6259	MKNK2	2878.3455
MKRN1	3041.6328	MKRN1	2991.0787
MKRN2	464.3396	MKRN2	827.6561
MKS1	340.0209	MKS1	414.8418
