gene_id	TCGA-BH-A0BT-01A-11R-A12P-07	gene_id	TCGA-BH-A0BT-11A-21R-A12P-07
removed	removed	ADAM29	6.4229
removed	removed	ADAM32	7.6272
ADAM33	57.9048	ADAM33	199.5113
ADAM6	3641.3279	ADAM6	12889.206
ADAM8	175.2482	ADAM8	63.8275
ADAM9	1445.7018	ADAM9	1975.8439
ADAMDEC1	57.5213	ADAMDEC1	16.4587
ADAMTS10	47.5509	ADAMTS10	48.1717
ADAMTS12	67.8751	ADAMTS12	28.1002
ADAMTS13	47.1675	ADAMTS13	65.4333
ADAMTS14	121.9451	removed	removed
ADAMTS15	61.7395	ADAMTS15	448.8
ADAMTS16	124.246	ADAMTS16	16.4587
ADAMTS17	13.0382	ADAMTS17	40.1431
ADAMTS18	16.106	ADAMTS18	42.5517
ADAMTS1	372.3545	ADAMTS1	2823.2649
ADAMTS2	271.117	ADAMTS2	213.1599
ADAMTS3	31.445	ADAMTS3	75.8705
ADAMTS4	691.0225	ADAMTS4	144.1138
ADAMTS5	105.0722	ADAMTS5	1837.3502
ADAMTS6	62.5065	ADAMTS6	14.4515
ADAMTS7	99.3201	ADAMTS7	21.2758
ADAMTS8	8.8199	ADAMTS8	44.1574
ADAMTS9	140.7354	ADAMTS9	428.327
ADAMTSL1	34.1293	ADAMTSL1	30.5088
ADAMTSL2	148.4049	ADAMTSL2	18.8673
ADAMTSL3	49.0848	ADAMTSL3	59.4118
ADAMTSL4	371.5875	ADAMTSL4	293.8476
ADAMTSL5	174.8647	ADAMTSL5	54.1932
ADAP1	270.6569	ADAP1	112.9547
ADAP2	126.5468	ADAP2	121.2322
ADARB1	221.6487	ADARB1	752.6833
ADAR	15770.8045	ADAR	7257.0715
ADAT1	138.0511	ADAT1	344.4279
ADAT2	77.0785	ADAT2	180.644
ADAT3	21.8581	ADAT3	12.0429
ADA	356.632	ADA	43.756
ADCK1	603.9736	ADCK1	152.5438
ADCK2	1359.4199	ADCK2	1000.3663
ADCK4	942.5822	ADCK4	494.5631
ADCK5	236.6042	ADCK5	57.8061
removed	removed	ADCY10	5.62
ADCY1	971.7264	ADCY1	1770.7126
ADCY2	133.4494	ADCY2	67.4404
ADCY3	306.3354	ADCY3	967.6938
ADCY4	108.907	ADCY4	309.5034
ADCY5	32.5954	ADCY5	348.8436
ADCY6	1310.335	ADCY6	2054.5244
ADCY7	302.1785	ADCY7	263.3388
ADCY9	937.2136	ADCY9	801.6579
removed	removed	ADCYAP1R1	12.4444
ADCYAP1	9.5869	ADCYAP1	6.4229
ADC	131.9155	ADC	144.1138
ADD1	3973.1874	ADD1	6349.8372
ADD2	15.339	ADD2	32.5159
ADD3	723.6179	ADD3	2220.7169
removed	removed	ADH1A	5.62
ADH1B	141.8859	ADH1B	757.5005
ADH1C	74.0107	ADH1C	52.5875
removed	removed	ADH4	16.8601
