gene_id	TCGA-BH-A0BT-01A-11R-A12P-07	gene_id	TCGA-BH-A0BT-11A-21R-A12P-07
OBP2B	980.5463	OBP2B	8.4301
OBSCN	284.6652	OBSCN	956.3213
OBSL1	2029.3512	OBSL1	1757.4654
removed	removed	OCA2	22.0787
OCEL1	721.7005	OCEL1	203.5256
OCIAD1	3016.8001	OCIAD1	2662.6925
OCIAD2	710.1962	OCIAD2	605.7595
OCLN	183.6847	OCLN	508.2118
OCRL	1394.6996	OCRL	1254.4722
removed	removed	ODAM	7.2258
ODC1	234.3034	ODC1	1490.9151
ODF2L	554.8887	ODF2L	626.2325
ODF2	1319.5384	ODF2	906.8329
ODF3B	227.7843	ODF3B	140.5009
removed	removed	ODF3L1	37.7345
ODZ1	16.4894	ODZ1	38.9388
ODZ2	160.6761	ODZ2	521.0576
ODZ3	154.924	ODZ3	201.9198
ODZ4	129.9981	ODZ4	30.1073
OFD1	954.8535	OFD1	1323.1169
removed	removed	OGDHL	8.4301
OGDH	1473.6955	OGDH	2239.5841
OGFOD1	814.5015	OGFOD1	835.7796
OGFOD2	385.9257	OGFOD2	183.4219
OGFRL1	172.9474	OGFRL1	767.1348
OGFR	1209.6038	OGFR	439.5671
OGG1	387.6935	OGG1	318.3349
OGN	345.1278	OGN	537.1148
OGT	3324.3472	OGT	4306.5529
OIP5	29.5736	OIP5	5.1825
OLA1	2004.4253	OLA1	2503.3244
OLFM1	80.5298	OLFM1	443.9828
OLFM2	378.4901	OLFM2	234.4358
OLFM4	19.1738	OLFM4	1340.3784
OLFML1	187.9029	OLFML1	177.834
OLFML2A	431.0262	OLFML2A	1455.5892
OLFML2B	1000.1035	OLFML2B	487.3374
OLFML3	2622.204	OLFML3	676.01
OLIG1	37.5806	removed	removed
OLR1	246.9581	OLR1	136.888
OMA1	626.5986	OMA1	511.0218
OMD	350.4964	OMD	140.5009
ONECUT2	6.5191	ONECUT2	6.0215
OPA1	1693.4269	OPA1	1448.3634
OPA3	557.9565	OPA3	453.2157
OPCML	5.3687	removed	removed
OPHN1	385.0092	OPHN1	518.2476
OPLAH	321.3523	OPLAH	196.2998
OPN3	774.6584	OPN3	375.9844
OPRL1	255.3945	OPRL1	87.9134
OPTN	1209.8645	OPTN	1661.5233
removed	removed	OR2A4	15.6558
OR2A7	120.4112	OR2A7	195.8984
OR2A9P	93.1845	OR2A9P	158.9667
OR2B6	6.5191	removed	removed
removed	removed	OR2L13	33.3188
OR2W3	23.392	OR2W3	18.4658
OR51E1	26.0763	OR51E1	6.8243
OR51E2	5.3687	removed	removed
removed	removed	OR52N4	6.0215
OR7E91P	7.286	OR7E91P	6.8243
ORAI1	449.433	ORAI1	352.8579
ORAI2	538.5489	ORAI2	511.2225
ORAI3	2111.0314	ORAI3	568.4264
ORAOV1	227.4008	ORAOV1	255.7116
ORC1L	26.4598	ORC1L	16.4587
ORC2L	359.6998	ORC2L	473.2873
ORC3L	546.0688	ORC3L	633.8597
ORC4L	650.3741	ORC4L	714.9488
ORC5L	602.4397	ORC5L	419.0941
ORC6L	30.678	ORC6L	19.2687
ORM1	10.7373	removed	removed
removed	removed	ORM2	9.6343
ORMDL1	498.9013	ORMDL1	650.7198
ORMDL2	1240.5157	ORMDL2	552.2167
ORMDL3	3868.4987	ORMDL3	2075.3988
OS9	6239.5263	OS9	6302.8697
OSBP2	159.5257	OSBP2	149.7338
OSBPL10	105.8392	OSBPL10	586.0894
OSBPL11	381.5579	OSBPL11	442.7785
OSBPL1A	897.7156	OSBPL1A	2370.4507
OSBPL2	946.417	OSBPL2	1238.4149
OSBPL3	276.8692	OSBPL3	305.0876
OSBPL5	1489.418	OSBPL5	727.3932
OSBPL6	172.5639	OSBPL6	187.4683
OSBPL7	185.2186	OSBPL7	219.1814
OSBPL8	751.2281	OSBPL8	1996.7183
OSBPL9	3069.7196	OSBPL9	2864.2109
OSBP	2728.4266	OSBP	2446.3211
OSCAR	70.9429	OSCAR	38.136
OSCP1	279.5535	OSCP1	301.4748
OSGEPL1	251.5598	OSGEPL1	219.1814
OSGEP	791.8765	OSGEP	455.2229
OSGIN1	86.6654	OSGIN1	356.4708
OSGIN2	537.2489	OSGIN2	866.6897
OSMR	419.1385	OSMR	973.8719
OSM	26.0763	OSM	22.0787
OSR1	24.1589	OSR1	690.8629
OSR2	75.1612	OSR2	308.2991
OST4	2557.7686	OST4	1810.0408
removed	removed	OSTCL	5.62
OSTC	2304.303	OSTC	1471.245
OSTF1	673.7661	OSTF1	670.3899
OSTM1	322.8862	OSTM1	608.971
OSTalpha	44.8666	OSTalpha	13.2472
OTOA	7.286	removed	removed
OTOF	12.6547	OTOF	18.4658
OTOR	242.7399	removed	removed
OTUB1	2947.0076	OTUB1	1784.3612
OTUB2	255.0111	OTUB2	65.4333
OTUD1	213.9792	OTUD1	536.312
OTUD3	88.1993	OTUD3	522.6633
OTUD4	804.5311	OTUD4	1288.1924
OTUD5	1788.5287	OTUD5	1363.6615
OTUD6B	199.0237	OTUD6B	250.8944
OTUD7A	9.9704	OTUD7A	10.0358
OTUD7B	2084.1882	OTUD7B	963.8361
OTX1	11.8877	OTX1	5.62
OVCA2	1000.5752	OVCA2	512.3385
removed	removed	OVCH2	35.3259
OVGP1	31.445	OVGP1	50.9817
OVOL1	171.7969	OVOL1	493.3588
OVOL2	528.8124	OVOL2	193.4898
OXA1L	5593.754	OXA1L	2251.2256
OXCT1	623.1473	OXCT1	990.732
OXCT2	7.6695	OXCT2	8.8315
OXER1	10.7373	OXER1	34.5231
OXGR1	35.2797	OXGR1	44.5589
OXNAD1	304.0959	OXNAD1	210.3499
OXR1	564.4756	OXR1	1311.8768
OXSM	494.2996	OXSM	213.9628
OXSR1	995.1184	OXSR1	1146.0858
OXTR	55.2204	OXTR	6632.8461
removed	removed	P2RX1	11.6415
removed	removed	P2RX2	5.2186
P2RX4	985.148	P2RX4	757.5005
P2RX5	21.4823	P2RX5	40.3559
P2RX7	16.4894	P2RX7	86.7091
P2RY10	22.625	P2RY10	9.6343
P2RY11	85.8908	P2RY11	9.9675
P2RY12	9.2034	P2RY12	148.9309
P2RY13	52.5361	P2RY13	160.9739
P2RY14	21.4746	P2RY14	23.283
P2RY1	6.1356	P2RY1	7.2258
P2RY2	241.5894	P2RY2	215.9699
P2RY6	143.0363	P2RY6	27.2973
P2RY8	78.229	P2RY8	35.3259
P4HA1	1108.627	P4HA1	1070.6167
P4HA2	449.8165	P4HA2	618.6053
P4HA3	227.7843	P4HA3	16.8601
P4HB	18465.8688	P4HB	13836.1258
P4HTM	597.4545	P4HTM	575.2508
P704P	16.8729	P704P	17.663
PA2G4P4	57.5213	PA2G4P4	33.3188
PA2G4	3934.4564	PA2G4	3164.0799
PAAF1	1137.7712	PAAF1	460.8429
PABPC1L	790.726	PABPC1L	311.1091
PABPC1	26223.9572	PABPC1	27432.9986
PABPC3	206.6932	PABPC3	234.4358
PABPC4L	24.5424	PABPC4L	65.4333
PABPC4	2676.6575	PABPC4	2401.7623
PABPC5	10.7373	PABPC5	36.5302
PABPN1	3905.8108	PABPN1	1979.3564
PACRGL	132.299	PACRGL	327.5678
removed	removed	PACRG	51.7846
PACS1	3319.3621	PACS1	2431.4682
PACS2	1546.9393	PACS2	930.9187
PACSIN1	192.8881	PACSIN1	11.2401
PACSIN2	472.0581	PACSIN2	1354.0271
PACSIN3	1936.1667	PACSIN3	415.0798
PADI2	1903.9548	PADI2	2296.5873
PADI3	217.814	PADI3	9.6343
PAF1	2624.8883	PAF1	1380.923
PAFAH1B1	2258.2859	PAFAH1B1	4099.4144
PAFAH1B2	181.0003	PAFAH1B2	760.3105
PAFAH1B3	2085.9828	PAFAH1B3	403.2375
PAFAH2	360.8502	PAFAH2	670.7914
PAG1	103.1549	PAG1	130.4651
removed	removed	PAH	8.8315
PAICS	3291.3684	PAICS	2160.9036
PAIP1	709.4293	PAIP1	1137.6557
PAIP2B	42.5658	PAIP2B	432.3413
PAIP2	2103.3619	PAIP2	2056.1301
PAK1IP1	718.2492	PAK1IP1	388.5853
PAK1	661.8783	PAK1	1549.5241
PAK2	2601.8798	PAK2	2541.4603
removed	removed	PAK3	72.659
PAK4	3027.5374	PAK4	1167.7631
PAK6	26.9775	PAK6	389.7896
removed	removed	PAK7	164.5868
PALB2	701.3763	PALB2	295.8547
PALLD	3623.8414	PALLD	8618.3243
PALM2-AKAP2	495.2698	PALM2-AKAP2	1750.5969
PALM2	48.7014	PALM2	39.3523
PALM3	44.8666	PALM3	48.1717
PALMD	254.2441	PALMD	1035.2908
PALM	389.9944	PALM	526.6776
PAMR1	116.5765	PAMR1	2182.5809
PAM	1686.5243	PAM	4022.7411
PAN2	582.1155	PAN2	936.9402
PAN3	1260.4833	PAN3	1307.8625
PANK1	156.0744	PANK1	67.4404
PANK2	563.7087	PANK2	437.9613
PANK3	292.5916	PANK3	817.3137
PANK4	210.1445	PANK4	290.6361
PANX1	585.5668	PANX1	429.5313
PANX2	10.7373	PANX2	36.9317
PANX3	12.6547	removed	removed
PAOX	198.6402	PAOX	106.7807
PAPD4	685.2703	PAPD4	1149.6987
PAPD5	236.6042	PAPD5	394.6068
PAPD7	243.5068	PAPD7	685.2429
PAPLN	969.809	PAPLN	329.1735
PAPOLA	4924.5896	PAPOLA	3752.1765
PAPOLG	253.0937	PAPOLG	428.327
removed	removed	PAPPA2	11.6415
PAPPA	62.5065	PAPPA	63.0247
PAPSS1	3569.0045	PAPSS1	3193.7858
PAPSS2	4022.6557	PAPSS2	610.9781
PAQR3	79.7744	PAQR3	425.5491
PAQR4	1292.8486	PAQR4	242.7093
PAQR5	75.5446	PAQR5	141.3037
PAQR6	202.4749	PAQR6	37.7345
PAQR7	460.1703	PAQR7	521.459
PAQR8	141.8859	PAQR8	214.7656
PAR-SN	7.6695	PAR-SN	195.0795
removed	removed	PAR5	61.8204
PARD3B	29.5276	PARD3B	100.7592
PARD3	582.499	PARD3	1267.318
PARD6A	53.6865	PARD6A	80.2862
PARD6B	254.2441	PARD6B	870.3026
PARD6G	117.3434	PARD6G	429.9327
PARG	435.2444	PARG	490.5488
PARK2	9.9704	PARK2	100.3578
PARK7	3573.9896	PARK7	3626.5286
PARL	1441.8671	PARL	861.0697
PARM1	138.8181	PARM1	917.6715
PARN	3140.6626	PARN	1106.3441
PARP10	3050.9294	PARP10	526.2762
PARP11	281.0874	PARP11	408.2554
PARP12	2147.8451	PARP12	560.3978
PARP14	4991.6978	PARP14	1388.5502
PARP15	12.2712	PARP15	5.62
PARP16	213.5957	PARP16	383.3667
PARP1	5181.9015	PARP1	2666.3054
PARP2	1114.7626	PARP2	429.5313
PARP3	1467.1764	PARP3	670.3899
PARP4	355.8651	PARP4	2089.0475
PARP6	647.3063	PARP6	762.3177
PARP8	95.8688	PARP8	382.5638
PARP9	4609.7947	PARP9	1230.8841
PARS2	325.954	PARS2	156.9596
removed	removed	PART1	69.4476
PARVA	1194.5255	PARVA	2758.2331
PARVB	152.2397	PARVB	183.0526
PARVG	158.7588	PARVG	80.6877
PASK	273.8014	PASK	174.2211
PATL1	1534.2846	PATL1	995.1477
PATL2	15.339	removed	removed
PATZ1	2412.8265	PATZ1	1915.2278
PAWR	250.4094	PAWR	445.99
removed	removed	PAX2	20.8744
removed	removed	PAX3	5.62
PAX6	26.4598	PAX6	73.0605
PAX8	187.5194	PAX8	87.512
PAX9	187.5194	PAX9	151.741
PAXIP1	377.4125	PAXIP1	472.8015
PBK	123.479	PBK	18.0644
PBLD	123.0956	PBLD	199.9127
PBRM1	1208.3306	PBRM1	1808.0457
PBX1	5734.1059	PBX1	4662.6222
PBX2	4245.8383	PBX2	1246.0421
PBX3	111.5913	PBX3	983.9076
PBX4	6.1356	PBX4	14.4515
PBXIP1	3044.0268	PBXIP1	2983.4359
PCBD1	1158.0954	PCBD1	1078.2439
PCBD2	186.3153	PCBD2	349.6465
PCBP1	7795.2856	PCBP1	6316.9198
PCBP2	10462.5479	PCBP2	11883.019
PCBP3	9.2034	PCBP3	22.8816
PCBP4	618.5456	PCBP4	571.2365
PCCA	1522.4966	PCCA	557.8568
PCCB	3168.7943	PCCB	1120.2136
PCDH10	5.3687	removed	removed
removed	removed	PCDH11X	30.9102
PCDH12	273.0344	PCDH12	266.1488
PCDH17	136.1337	PCDH17	55.3975
PCDH18	279.937	PCDH18	460.4415
PCDH19	62.8899	PCDH19	148.9309
PCDH1	977.862	PCDH1	2117.1476
PCDH20	33.3623	PCDH20	28.5016
PCDH7	349.7295	PCDH7	473.2873
removed	removed	PCDH8	10.8386
PCDH9	6.5191	PCDH9	27.6987
PCDHA10	25.0639	PCDHA10	44.868
PCDHA11	154.3296	PCDHA11	72.6109
PCDHA12	160.5151	PCDHA12	39.2319
PCDHA13	21.9233	PCDHA13	20.0555
PCDHA1	378.1795	PCDHA1	45.5102
PCDHA2	16.8729	PCDHA2	19.2165
PCDHA3	75.3682	PCDHA3	108.7918
PCDHA4	5.1808	PCDHA4	48.6976
PCDHA5	7.5123	PCDHA5	15.1139
PCDHA6	10.1698	PCDHA6	224.7452
PCDHA7	103.4808	PCDHA7	29.0315
PCDHA8	15.0744	PCDHA8	6.5915
PCDHA9	9.1842	PCDHA9	14.4997
removed	removed	PCDHAC1	11.7338
PCDHAC2	10.814	PCDHAC2	21.0751
PCDHB10	56.7543	PCDHB10	90.322
PCDHB11	12.2712	PCDHB11	26.4945
PCDHB12	23.7755	PCDHB12	37.7345
PCDHB13	98.5531	PCDHB13	123.6408
PCDHB14	97.7862	PCDHB14	199.1098
PCDHB15	12.6547	PCDHB15	43.3546
PCDHB16	189.0533	PCDHB16	187.0669
PCDHB17	23.392	removed	removed
removed	removed	PCDHB18	56.6018
removed	removed	PCDHB19P	27.6987
PCDHB2	194.0385	PCDHB2	220.3857
PCDHB3	19.9407	PCDHB3	66.6376
PCDHB4	46.4005	PCDHB4	310.3062
PCDHB5	587.4841	PCDHB5	157.361
PCDHB6	46.017	PCDHB6	158.5653
PCDHB7	146.871	PCDHB7	188.6726
PCDHB8	96.2523	PCDHB8	156.9596
PCDHB9	71.3264	PCDHB9	100.7592
PCDHGA10	180.103	PCDHGA10	206.2954
PCDHGA11	7.3397	PCDHGA11	44.7114
PCDHGA12	14.1886	PCDHGA12	20.473
removed	removed	PCDHGA1	15.2544
PCDHGA2	113.9267	PCDHGA2	255.7397
PCDHGA3	16.8729	PCDHGA3	29.3045
PCDHGA4	299.8048	PCDHGA4	92.3051
PCDHGA5	18.7903	PCDHGA5	87.8933
PCDHGA6	12.6547	PCDHGA6	112.766
PCDHGA7	12.6547	PCDHGA7	156.3414
PCDHGA8	6.1356	PCDHGA8	10.4372
PCDHGA9	12.6547	PCDHGA9	153.7762
PCDHGB1	14.5721	PCDHGB1	92.9554
PCDHGB2	19.9407	PCDHGB2	86.2595
removed	removed	PCDHGB3	39.2238
PCDHGB4	48.8011	PCDHGB4	65.9431
PCDHGB5	14.9555	PCDHGB5	272.1261
PCDHGB6	13.4216	PCDHGB6	182.9803
PCDHGB7	57.5098	PCDHGB7	501.2108
PCDHGC3	1910.5007	PCDHGC3	2296.8643
removed	removed	PCDHGC4	8.8315
removed	removed	PCDHGC5	28.4775
PCF11	1140.839	PCF11	1842.5688
PCGF1	261.1467	PCGF1	203.1241
PCGF2	2934.7133	PCGF2	746.6618
PCGF3	977.095	PCGF3	1565.1799
PCGF5	541.4671	PCGF5	1859.0274
PCGF6	154.924	PCGF6	145.3181
PCID2	1255.8816	PCID2	944.166
PCIF1	1460.2739	PCIF1	1182.616
PCK2	1907.0226	PCK2	671.1928
PCLO	605.124	PCLO	410.2626
PCM1	933.7623	PCM1	4143.5718
PCMT1	1098.6567	PCMT1	1704.4765
PCMTD1	1104.7923	PCMTD1	2479.6399
PCMTD2	996.6523	PCMTD2	1851.4002
PCNA	1977.582	PCNA	1261.698
PCNP	2010.9444	PCNP	3134.7755
PCNT	513.0899	PCNT	614.1896
PCNXL2	192.8881	PCNXL2	404.2411
PCNXL3	1310.335	PCNXL3	1344.3928
PCNX	1170.75	PCNX	2143.2407
PCOLCE2	8.8199	PCOLCE2	71.4547
PCOLCE	1731.6747	PCOLCE	728.9507
PCOTH	21.0413	PCOTH	20.77
PCP2	47.1675	PCP2	30.1073
PCP4L1	27.6102	PCP4L1	32.5159
PCP4	47.5509	PCP4	14.4515
PCSK1N	17.2564	PCSK1N	13.6487
removed	removed	PCSK1	7.2258
PCSK4	134.5998	PCSK4	48.1717
PCSK5	51.3857	PCSK5	82.6948
PCSK6	171.03	PCSK6	606.161
PCSK7	1029.148	PCSK7	619.7293
PCSK9	33.3623	removed	removed
PCTP	327.8714	PCTP	459.2372
PCYOX1L	208.994	PCYOX1L	355.668
PCYOX1	2280.144	PCYOX1	4225.0623
PCYT1A	249.6424	PCYT1A	367.3095
PCYT1B	8.8199	PCYT1B	77.8776
PCYT2	1479.0642	PCYT2	409.8612
PC	338.6087	PC	504.5989
PDAP1	3325.8811	PDAP1	1085.4697
PDCD10	1211.7819	PDCD10	671.9957
PDCD11	1156.9449	PDCD11	1145.2829
PDCD1LG2	58.2882	PDCD1LG2	60.2147
PDCD1	26.0763	removed	removed
PDCD2L	277.2526	PDCD2L	97.9492
PDCD2	515.3908	PDCD2	980.6962
PDCD4	12068.4695	PDCD4	7145.9272
PDCD5	567.9269	PDCD5	496.1688
PDCD6IP	5714.9321	PDCD6IP	4524.9314
PDCD6	1806.1686	PDCD6	1632.6203
PDCD7	533.0306	PDCD7	585.688
PDCL3	519.2255	PDCL3	379.7538
PDCL	362.7676	PDCL	561.6021
PDDC1	764.6497	PDDC1	873.9155
PDE10A	50.2353	PDE10A	71.4547
PDE11A	40.6484	PDE11A	71.0533
PDE12	706.7449	PDE12	786.805
PDE1A	26.4598	PDE1A	66.6376
PDE1B	72.0934	PDE1B	79.8848
removed	removed	PDE1C	240.4572
PDE2A	69.409	PDE2A	505.0003
PDE3A	13.0382	PDE3A	22.4801
PDE3B	25.6928	PDE3B	23.283
PDE4A	276.4857	PDE4A	354.8651
PDE4B	180.6169	PDE4B	1376.1058
PDE4DIP	1310.335	PDE4DIP	1074.6311
PDE4D	48.3179	PDE4D	173.8197
PDE5A	95.4853	PDE5A	1249.5185
PDE6B	171.4135	PDE6B	166.9953
PDE6D	410.702	PDE6D	311.5105
PDE6G	12.6547	removed	removed
PDE7A	867.8046	PDE7A	783.1921
PDE7B	22.625	PDE7B	103.5692
PDE8A	206.3097	PDE8A	466.8644
PDE8B	44.4831	PDE8B	200.7156
PDE9A	34.8963	PDE9A	297.8619
PDF	203.936	PDF	108.9685
PDGFA	188.6698	PDGFA	1370.4858
PDGFB	640.0202	PDGFB	815.708
PDGFC	432.1766	PDGFC	820.5252
PDGFD	159.9092	PDGFD	1501.3523
PDGFRA	566.0095	PDGFRA	2634.7007
PDGFRB	1915.8425	PDGFRB	1713.3079
PDGFRL	510.0221	PDGFRL	346.8365
PDHA1	2253.3008	PDHA1	1125.392
PDHB	3657.2038	PDHB	1144.4801
PDHX	1188.0064	PDHX	591.7697
PDIA3P	2970.783	PDIA3P	2284.143
PDIA3	12133.8942	PDIA3	9250.502
PDIA4	6136.3715	PDIA4	3406.9458
PDIA5	595.5371	PDIA5	397.8182
PDIA6	5007.8076	PDIA6	5276.294
PDIK1L	254.6276	PDIK1L	518.2476
PDK1	166.8117	PDK1	239.6544
PDK2	1098.6567	PDK2	1170.5731
PDK3	398.0473	PDK3	343.2236
PDK4	153.3901	PDK4	1018.4307
PDLIM1	3359.627	PDLIM1	5722.4004
PDLIM2	304.8629	PDLIM2	254.5073
PDLIM3	514.2404	PDLIM3	4664.6294
PDLIM4	369.6702	PDLIM4	1003.1763
PDLIM5	695.6242	PDLIM5	5625.6555
PDLIM7	1079.0994	PDLIM7	932.9259
PDP1	852.4656	PDP1	1432.3062
PDP2	82.0637	PDP2	154.9524
PDPK1	939.131	PDPK1	1687.2029
PDPN	398.8143	PDPN	664.3685
PDPR	392.5483	PDPR	1195.8994
PDRG1	1126.6504	PDRG1	484.1259
PDS5A	2419.729	PDS5A	3093.4281
PDS5B	950.2518	PDS5B	1154.9173
PDSS1	135.8806	PDSS1	59.0545
PDSS2	256.9284	PDSS2	466.4629
PDXDC1	6790.5803	PDXDC1	3311.4052
PDXDC2	270.7335	PDXDC2	297.4604
PDXK	1869.0585	PDXK	1908.002
PDXP	102.3879	PDXP	189.8769
PDZD11	1216.7671	PDZD11	621.4153
PDZD2	342.4434	PDZD2	637.0712
PDZD3	5.3687	removed	removed
PDZD4	18.0233	PDZD4	132.8737
PDZD8	184.0681	PDZD8	519.4518
PDZK1IP1	913.0546	PDZK1IP1	795.235
PDZK1P1	165.2778	PDZK1P1	24.8887
PDZK1	1267.0023	PDZK1	1110.7599
PDZRN3	567.1599	PDZRN3	527.8819
PDZRN4	5.3687	PDZRN4	45.7631
PEA15	4017.6705	PEA15	4453.4766
PEAR1	49.0848	PEAR1	228.0129
PEBP1	9822.3359	PEBP1	8520.7766
PEBP4	130.3816	PEBP4	61.8204
PECAM1	834.8257	PECAM1	1470.8436
PECI	8154.5635	PECI	1570.3945
PECR	119.2762	PECR	103.9707
PEF1	1687.6747	PEF1	2021.607
PEG10	14140.2676	PEG10	6361.4787
PEG3	172.5485	PEG3	750.2828
PELI1	271.5005	PELI1	1755.4582
PELI2	73.2438	PELI2	382.9653
PELI3	321.7358	PELI3	264.9445
PELO	260.9281	PELO	450.7389
PELP1	3437.8559	PELP1	1435.1162
PEMT	605.124	PEMT	283.8118
removed	removed	PENK	22.4801
PEPD	1468.3269	PEPD	950.5888
PER1	523.0603	PER1	1344.3928
PER2	416.8376	PER2	2167.3265
PER3	273.8014	PER3	738.6332
PERP	2638.6934	PERP	11785.6157
PES1	1352.1338	PES1	1203.8919
PET112L	987.8323	PET112L	387.381
PEX10	651.0183	PEX10	320.3741
PEX11A	432.9436	PEX11A	443.1799
PEX11B	2226.074	PEX11B	912.4529
PEX11G	110.4409	PEX11G	85.1034
PEX12	310.2315	PEX12	393.001
PEX13	866.6541	PEX13	880.3384
PEX14	384.2422	PEX14	339.2093
PEX16	708.2788	PEX16	311.5105
PEX19	2309.9554	PEX19	2367.1067
PEX1	353.1807	PEX1	616.5982
PEX26	215.1296	PEX26	515.4375
PEX2	1292.3117	PEX2	1333.9556
PEX3	256.1615	PEX3	553.9749
PEX5	1060.3092	PEX5	1117.5842
PEX6	2594.5938	PEX6	1290.601
PEX7	161.0596	PEX7	264.9445
PFAS	553.3548	PFAS	425.1155
PFDN1	1233.2565	PFDN1	1200.6804
PFDN2	1247.8286	PFDN2	351.2522
PFDN4	288.7569	PFDN4	289.4318
PFDN5	6138.6723	PFDN5	6526.4669
PFDN6	1873.2768	PFDN6	272.9731
PFKFB1	8.4365	PFKFB1	9.2329
PFKFB2	676.4504	PFKFB2	491.3517
PFKFB3	767.7175	PFKFB3	2191.8138
PFKFB4	270.3501	PFKFB4	195.0955
PFKL	3988.5264	PFKL	2021.607
PFKM	1147.358	PFKM	1104.337
PFKP	761.9654	PFKP	709.3288
PFN1	21373.7619	PFN1	6493.1481
PFN2	4289.171	PFN2	2231.1541
PFN4	6.9026	PFN4	8.8315
PGAM1	2945.8571	PGAM1	2448.3283
PGAM2	27.9937	PGAM2	20.0716
PGAM4	44.0997	PGAM4	42.5517
PGAM5	561.3695	PGAM5	378.5014
PGAP1	319.4349	PGAP1	651.5227
PGAP2	1476.7633	PGAP2	849.0268
PGAP3	1918.1434	PGAP3	1102.7312
PGBD1	236.2208	PGBD1	198.307
PGBD2	147.638	PGBD2	217.9771
PGBD3	60.7502	PGBD3	119.5261
PGBD4	24.1589	PGBD4	32.1145
PGBD5	28.7606	PGBD5	31.3116
PGCP	1275.4388	PGCP	861.4711
PGC	30.678	removed	removed
PGD	2113.3323	PGD	1783.157
PGF	114.6591	PGF	333.9907
PGGT1B	387.31	PGGT1B	577.6594
PGK1	5414.671	PGK1	5331.8079
PGLS	1118.2139	PGLS	767.1348
PGLYRP2	143.8032	PGLYRP2	33.7202
PGM1	1237.8582	PGM1	1952.1594
PGM2L1	389.6109	PGM2L1	450.0043
PGM2	671.4652	PGM2	758.3034
PGM3	307.5894	PGM3	298.1589
PGM5	48.7014	PGM5	562.8064
PGPEP1	366.6024	PGPEP1	903.22
PGP	815.6519	PGP	213.9628
PGRMC1	7955.5782	PGRMC1	3731.7035
PGRMC2	2684.7105	PGRMC2	2113.9362
PGR	6497.9963	PGR	4726.1608
PGS1	541.4671	PGS1	444.7857
PHACTR1	21.8581	PHACTR1	16.4587
PHACTR2	618.9291	PHACTR2	666.3756
PHACTR4	871.2558	PHACTR4	1160.1359
PHAX	314.8332	PHAX	521.8604
PHB2	3740.8014	PHB2	3549.8552
PHB	4482.4426	PHB	2372.8592
PHC1	497.099	PHC1	628.1233
PHC2	1445.7018	PHC2	2722.5057
PHC3	1218.301	PHC3	1655.9033
PHEX	23.392	PHEX	23.283
PHF10	902.4477	PHF10	2127.7213
PHF11	1275.0553	PHF11	730.2032
PHF12	1381.6614	PHF12	1330.3427
PHF13	667.6305	PHF13	1012.4092
PHF14	1902.8044	PHF14	911.2486
PHF15	419.522	PHF15	1634.226
PHF16	1101.7245	PHF16	647.1069
PHF17	670.3148	PHF17	1175.3903
PHF19	329.4053	PHF19	296.6576
PHF1	2016.6965	PHF1	1388.1488
PHF20L1	893.8809	PHF20L1	1026.0579
PHF20	1078.716	PHF20	1452.3777
PHF21A	964.8238	PHF21A	1067.8067
PHF21B	12.6547	PHF21B	19.6701
PHF23	2375.2459	PHF23	932.123
PHF2	833.6753	PHF2	1529.4525
PHF3	2857.2743	PHF3	2478.4356
PHF5A	434.094	PHF5A	492.556
PHF6	641.5541	PHF6	743.4504
PHF7	23.392	PHF7	122.8379
PHF8	1208.7141	PHF8	1342.3856
PHGDH	1407.7378	PHGDH	1847.7874
removed	removed	PHGR1	13.2472
PHIP	672.9493	PHIP	2099.3
PHKA1	345.8947	PHKA1	598.1323
PHKA2	1010.1851	PHKA2	759.9532
PHKB	917.2729	PHKB	2421.031
PHKG1	6.1356	PHKG1	18.8673
PHKG2	1427.6785	PHKG2	412.2697
PHLDA1	340.1426	PHLDA1	1426.6861
PHLDA2	33.7458	PHLDA2	161.7767
PHLDA3	894.6478	PHLDA3	756.6976
PHLDB1	1433.0471	PHLDB1	1755.4582
PHLDB2	320.9688	PHLDB2	976.2804
PHLDB3	382.3249	PHLDB3	124.8451
PHLPP1	377.3397	PHLPP1	752.2819
PHLPP2	138.4653	PHLPP2	460.0119
removed	removed	PHOSPHO1	5.62
PHOSPHO2	88.5828	PHOSPHO2	142.508
PHPT1	488.931	PHPT1	598.5338
PHRF1	1140.4555	PHRF1	781.5864
PHTF1	171.4135	PHTF1	185.8626
PHTF2	390.3778	PHTF2	370.9223
PHYHD1	868.188	PHYHD1	912.0394
PHYHIPL	13.8933	PHYHIPL	72.655
PHYHIP	24.1589	PHYHIP	100.7592
PHYH	646.1559	PHYH	535.5091
PI15	41.7988	PI15	16319.3786
PI16	81.2968	PI16	1392.1631
removed	removed	PI3	148.1281
PI4K2A	695.8619	PI4K2A	861.4711
PI4K2B	545.3019	PI4K2B	618.6053
PI4KAP1	85.515	PI4KAP1	238.4501
PI4KAP2	80.1463	PI4KAP2	68.6447
PI4KA	853.616	PI4KA	2204.6596
PI4KB	2075.7517	PI4KB	2115.1405
PIAS1	218.9644	PIAS1	471.6815
PIAS2	116.193	PIAS2	270.1631
PIAS3	1551.9245	PIAS3	1461.2092
PIAS4	201.708	PIAS4	249.2887
PIBF1	489.3145	PIBF1	446.1465
PICALM	2995.3254	PICALM	4011.9024
PICK1	208.2271	PICK1	380.9581
PID1	39.8814	PID1	153.3467
PIF1	9.9704	PIF1	5.2186
