gene_id	TCGA-E9-A1NG-01A-21R-A14M-07	gene_id	TCGA-E9-A1NG-11A-52R-A14M-07
HSPA8	29243.3009	HSPA8	21665.0268
HSPA9	5985.9927	HSPA9	4624.3292
HSPB11	332.5213	HSPB11	195.4383
HSPB1	7955.542	HSPB1	3912.3435
HSPB2	158.9525	HSPB2	727.4419
HSPB6	176.6139	HSPB6	9178.8909
HSPB7	87.3934	HSPB7	4896.2433
HSPB8	760.9622	HSPB8	2320.6619
HSPBAP1	158.039	HSPBAP1	159.6601
HSPBP1	712.2412	HSPBP1	306.7979
HSPC157	169.9147	HSPC157	187.3882
HSPC159	382.1559	HSPC159	599.2844
HSPD1	4203.4105	HSPD1	4171.7352
HSPE1	930.268	HSPE1	733.8998
HSPG2	18295.067	HSPG2	28633.2156
HSPH1	4723.5079	HSPH1	1717.7996
HTATIP2	745.1279	HTATIP2	740.161
HTATSF1	2013.7028	HTATSF1	2435.1521
HTR1B	8.8307	removed	removed
HTR1D	12.1803	removed	removed
HTR1F	56.9428	HTR1F	25.9392
HTR2A	6.3946	removed	removed
HTR2B	62.4239	HTR2B	83.6315
HTR7P1	100.4872	HTR7P1	159.2129
HTR7	28.0146	HTR7	12.5224
HTRA1	12235.0792	HTRA1	8591.2343
HTRA2	707.8898	HTRA2	592.1735
HTRA3	6017.3569	HTRA3	3449.0161
HTT	1369.9756	HTT	2495.0805
HUNK	73.0816	HUNK	313.9535
HUS1	245.1279	HUS1	267.4419
HUWE1	6052.6797	HUWE1	6576.4758
HVCN1	190.338	HVCN1	152.0572
HYAL1	19.7929	HYAL1	208.4079
HYAL2	1309.3788	HYAL2	1512.9696
HYAL3	60.3228	HYAL3	23.4839
HYDIN	49.9391	HYDIN	39.8032
HYI	435.679	HYI	472.5716
HYLS1	91.0475	HYLS1	84.9732
HYOU1	2724.1169	HYOU1	1995.0805
IAH1	694.5798	IAH1	791.1449
IARS2	3125.4568	IARS2	3029.9642
IARS	3183.313	IARS	1935.1521
IBSP	134.592	removed	removed
IBTK	1945.7978	IBTK	1588.1038
ICA1L	37.7588	ICA1L	162.7907
ICA1	890.6821	ICA1	433.8104
ICAM1	1717.1133	ICAM1	2307.2451
ICAM2	335.3502	ICAM2	1159.034
ICAM3	165.9562	ICAM3	208.8551
ICAM4	7.0037	ICAM4	7.6029
ICAM5	46.5895	removed	removed
ICK	1031.0597	ICK	1064.8479
ICMT	3031.6687	ICMT	2693.2021
ICOSLG	262.7893	ICOSLG	252.2361
ICOS	10.3532	removed	removed
ICT1	386.419	ICT1	244.6333
ID1	192.1437	ID1	495.0805
ID2	1366.9306	ID2	1174.8658
ID3	1512.7893	ID3	1122.093
ID4	237.5152	ID4	1297.8533
IDE	709.5006	IDE	577.8175
IDH1	1971.3764	IDH1	3194.0966
IDH2	2257.6127	IDH2	771.9141
IDH3A	784.4093	IDH3A	1414.1324
IDH3B	1137.637	IDH3B	1199.0161
IDH3G	766.7479	IDH3G	723.1664
IDI1	668.581	IDI1	695.9481
IDI2	36.5408	IDI2	46.0644
IDO1	95.9196	IDO1	59.4812
IDS	5933.6054	IDS	4791.9633
IDUA	161.0719	IDUA	107.3345
IER2	2722.2899	IER2	3183.3631
IER3IP1	1212.2412	IER3IP1	828.712
IER3	1597.4421	IER3	576.4758
IER5L	844.0926	IER5L	197.2272
IER5	996.0414	IER5	782.6476
IFFO1	577.6492	IFFO1	343.4705
IFFO2	320.341	IFFO2	1658.3184
IFI16	4074.6041	IFI16	4042.0394
IFI27L1	41.7174	IFI27L1	78.2648
IFI27L2	417.1742	IFI27L2	234.347
IFI27	3933.313	IFI27	1529.9642
IFI30	2668.8216	IFI30	1591.9723
IFI35	309.3788	IFI35	306.3506
IFI44L	577.3447	IFI44L	805.9034
IFI44	600.4872	IFI44	398.0322
IFI6	3075.8222	IFI6	980.322
IFIH1	794.458	IFIH1	589.8927
IFIT1	876.0658	IFIT1	1013.864
IFIT2	563.9464	IFIT2	618.9624
IFIT3	830.3898	IFIT3	1282.2004
IFIT5	565.1644	IFIT5	583.1843
IFITM1	3618.1486	IFITM1	3097.0483
IFITM2	4504.8721	IFITM2	3798.7478
IFITM3	10359.9269	IFITM3	8959.7496
IFNAR1	2931.1815	IFNAR1	3183.8104
IFNAR2	556.7996	IFNAR2	706.8113
IFNGR1	2401.0353	IFNGR1	3495.0805
IFNGR2	2605.3593	IFNGR2	2486.5832
IFRD1	464.0682	IFRD1	868.068
IFRD2	524.6011	IFRD2	653.4258
IFT122	681.1815	IFT122	748.6583
IFT140	643.7272	IFT140	441.4132
IFT172	554.5067	IFT172	509.839
IFT20	459.9543	IFT20	291.2075
IFT27	273.447	IFT27	275.9392
IFT46	532.8867	IFT46	510.7335
IFT52	899.2083	IFT52	692.3077
IFT57	754.8721	IFT57	721.8247
IFT74	486.6017	IFT74	301.4311
IFT80	672.2686	IFT80	457.3524
IFT81	312.4239	IFT81	214.2218
IFT88	433.6175	IFT88	233.8998
IGBP1	1636.7235	IGBP1	1329.6064
removed	removed	IGDCC3	11.6279
IGDCC4	54.2022	IGDCC4	58.5868
IGF1R	2740.5603	IGF1R	1580.9481
IGF1	424.4823	IGF1	1961.0912
IGF2AS	6.3946	IGF2AS	8.4973
IGF2BP1	35.3228	removed	removed
IGF2BP2	266.4434	IGF2BP2	139.5349
IGF2BP3	10.0487	IGF2BP3	8.4973
IGF2R	4609.3179	IGF2R	5545.6172
IGF2	5259.7808	IGF2	6448.059
IGFALS	26.7966	removed	removed
IGFBP2	1118.7576	IGFBP2	1260.7335
IGFBP3	6094.0926	IGFBP3	4260.2862
IGFBP4	25808.1608	IGFBP4	15554.1145
IGFBP5	23041.7174	IGFBP5	24995.0805
IGFBP6	142.2046	IGFBP6	2910.5546
IGFBP7	15547.503	IGFBP7	7205.2773
IGFBPL1	19.1839	removed	removed
IGFL1	322.7771	removed	removed
IGFL2	116.0171	removed	removed
IGFL3	84.9574	removed	removed
IGHMBP2	257.9172	IGHMBP2	354.6512
IGJ	204.0195	IGJ	2024.1503
IGLON5	14.0073	IGLON5	11.6279
IGSF10	50.8526	IGSF10	1243.7388
removed	removed	IGSF1	382.3792
IGSF21	476.8575	IGSF21	65.2952
IGSF22	19.9147	IGSF22	8.9758
IGSF3	1879.1108	IGSF3	495.975
IGSF6	261.2667	IGSF6	107.3345
IGSF8	1189.4032	IGSF8	727.1914
IGSF9B	18.2704	IGSF9B	27.7281
IGSF9	295.9805	IGSF9	42.4866
IKBIP	868.7576	IKBIP	507.1556
IKBKAP	1080.9988	IKBKAP	989.7138
IKBKB	1489.6468	IKBKB	1157.8712
IKBKE	223.5079	IKBKE	113.5957
IKBKG	315.4689	IKBKG	442.7549
IKZF1	336.7844	IKZF1	262.0751
IKZF2	342.8745	IKZF2	202.1467
IKZF3	6.3946	IKZF3	12.5224
IKZF4	185.1401	IKZF4	256.2612
IKZF5	589.2205	IKZF5	648.0322
IK	2272.5335	IK	1970.483
IL10RA	539.5859	IL10RA	1047.4061
IL10RB	1061.5682	IL10RB	988.3721
IL10	28.9281	IL10	13.4168
IL11RA	163.5201	IL11RA	419.4991
IL11	105.6638	removed	removed
IL12A	7.0037	IL12A	9.3918
IL12RB1	49.9391	IL12RB1	41.1449
IL12RB2	12.1803	IL12RB2	100.1789
IL13RA1	6267.0524	IL13RA1	5427.5492
IL13RA2	70.9501	removed	removed
removed	removed	IL13	5.3667
IL15RA	186.9671	IL15RA	288.9088
IL15	57.2473	IL15	72.0036
IL16	1116.6261	IL16	955.2773
removed	removed	IL17B	18.3363
IL17D	10.5816	IL17D	109.8166
IL17RA	255.7856	IL17RA	426.6547
IL17RB	85.2619	IL17RB	131.0376
IL17RC	659.866	IL17RC	438.2826
IL17RD	237.8197	IL17RD	959.7496
IL17RE	551.1571	IL17RE	514.7585
IL18BP	209.997	IL18BP	247.0081
IL18R1	63.0329	IL18R1	116.7263
removed	removed	IL18RAP	11.1807
IL18	334.0438	IL18	92.1288
IL1A	13.7028	removed	removed
IL1B	248.782	IL1B	77.3703
IL1R1	2250	IL1R1	6299.195
IL1R2	14.3118	IL1R2	34.4365
removed	removed	IL1RAPL2	10.2862
IL1RAP	359.3179	IL1RAP	254.025
IL1RL1	13.0938	IL1RL1	80.5009
IL1RL2	22.5335	IL1RL2	20.5725
IL1RN	341.961	IL1RN	292.0394
IL20RA	240.2558	IL20RA	290.2504
IL20RB	46.5895	IL20RB	22.8086
IL20	36.5408	IL20	14.7585
IL21R	236.0566	IL21R	7.5939
removed	removed	IL22RA1	18.3363
IL22RA2	19.7929	removed	removed
IL23A	23.447	IL23A	7.1556
IL24	7.296	removed	removed
IL27RA	301.4616	IL27RA	313.9535
IL28RA	42.3264	IL28RA	60.8229
IL2RA	147.3812	IL2RA	93.0233
IL2RB	155.9074	IL2RB	199.0161
IL2RG	509.1352	IL2RG	228.9803
IL32	2627.2838	IL32	654.2934
IL33	43.849	IL33	1885.5098
IL34	34.1048	IL34	191.4132
IL3RA	166.8697	IL3RA	365.8318
IL4I1	420.3867	IL4I1	53.9132
IL4R	1951.2789	IL4R	1139.0877
IL6R	64.2509	IL6R	443.2021
IL6ST	2104.7503	IL6ST	6084.9732
IL6	41.1084	IL6	770.1252
IL7R	99.2692	IL7R	93.4705
IL7	32.8867	IL7	31.3059
IL8	985.6882	IL8	110.4651
ILDR1	150.1218	ILDR1	53.6673
ILDR2	15.8343	removed	removed
ILF2	3713.7637	ILF2	2398.0322
ILF3	3539.2814	ILF3	3320.6619
ILKAP	491.4738	ILKAP	355.5456
ILK	4066.687	ILK	3458.4079
ILVBL	443.3618	ILVBL	840.7871
IMMP1L	61.1054	IMMP1L	56.4356
IMMP2L	140.6821	IMMP2L	165.4741
IMMT	2059.3788	IMMT	1740.6082
IMP3	934.2266	IMP3	791.1449
IMP4	546.285	IMP4	513.864
IMPA1	245.4324	IMPA1	306.7979
IMPA2	101.4007	IMPA2	728.5331
IMPACT	1284.4093	IMPACT	1150.2683
IMPAD1	3018.5749	IMPAD1	5686.941
IMPDH1	848.0512	IMPDH1	1356.4401
IMPDH2	2817.905	IMPDH2	2640.4293
INADL	1927.8319	INADL	968.2469
INCA1	14.6163	INCA1	16.9946
INCENP	262.7893	INCENP	203.4884
INE1	11.5713	INE1	24.5975
INE2	7.0432	INE2	22.5581
INF2	2067.905	INF2	3587.6565
ING1	363.9312	ING1	365.9973
ING2	311.8149	ING2	211.5385
ING3	197.9294	ING3	332.737
ING4	529.8417	ING4	487.9249
ING5	203.106	ING5	318.873
INHBA	2504.8721	INHBA	29.9642
INHBB	674.7868	INHBB	3092.576
INMT	75.679	INMT	611.3059
INO80B	184.6041	INO80B	126.6503
INO80C	208.5871	INO80C	173.5242
INO80D	535.5024	INO80D	640.814
INO80E	511.078	INO80E	413.0635
INO80	823.0816	INO80	1000.4472
INPP1	240.8648	INPP1	462.4329
INPP4A	573.3861	INPP4A	686.4937
INPP4B	1192.1437	INPP4B	530.8587
INPP5A	520.0974	INPP5A	712.8801
INPP5B	486.2972	INPP5B	496.8694
INPP5D	815.4689	INPP5D	596.6011
INPP5E	196.7113	INPP5E	254.025
INPP5F	846.5286	INPP5F	515.653
INPP5J	149.5128	INPP5J	127.907
INPP5K	737.2107	INPP5K	1478.5331
INPPL1	1770.7065	INPPL1	1396.6905
removed	removed	INS-IGF2	6.3238
INSIG1	801.4616	INSIG1	1457.9606
INSIG2	764.9208	INSIG2	596.6011
INSRR	6.0901	removed	removed
INSR	2346.5286	INSR	2449.9106
INTS10	1036.5408	INTS10	1183.8104
INTS12	465.8952	INTS12	437.3882
INTS1	1521.9245	INTS1	1550.5367
INTS2	385.5055	INTS2	412.3435
INTS3	1350.4872	INTS3	1451.2522
INTS4L1	19.4884	INTS4L1	11.6279
INTS4L2	8.8307	INTS4L2	10.2862
INTS4	669.9147	INTS4	450.2013
INTS5	735.0792	INTS5	534.4365
INTS6	1066.9915	INTS6	888.6404
INTS7	404.6894	INTS7	372.9875
INTS8	900.81	INTS8	609.1234
INTS9	493.6054	INTS9	359.1234
INTU	145.8587	INTU	141.771
INVS	243.9099	INVS	345.7066
IP6K1	1019.1839	IP6K1	1262.0751
IP6K2	1211.0231	IP6K2	1025.0447
IP6K3	23.447	removed	removed
IPCEF1	44.458	IPCEF1	29.517
IPMK	107.7954	IPMK	134.1682
IPO11	764.0073	IPO11	837.8846
IPO13	765.5298	IPO13	558.5868
IPO4	944.7868	IPO4	603.1708
IPO5	2603.5323	IPO5	4663.6852
IPO7	4728.0755	IPO7	3684.2576
IPO8	1551.4616	IPO8	1542.0394
IPO9	1957.6736	IPO9	1585.8676
IPPK	492.6096	IPPK	245.6708
IPP	244.5189	IPP	296.9589
IPW	170.7095	IPW	202.7549
IQCA1	191.8392	IQCA1	59.4812
IQCB1	392.2046	IQCB1	410.1073
IQCC	105.3593	IQCC	49.195
IQCD	42.0219	IQCD	22.8086
IQCE	348.6602	IQCE	549.195
IQCG	253.9586	IQCG	300.5367
IQCH	84.7077	IQCH	24.5975
IQCK	623.3252	IQCK	366.2791
IQGAP1	12982.3386	IQGAP1	12083.1843
IQGAP2	1700.6699	IQGAP2	1430.6798
IQGAP3	196.4068	IQGAP3	31.3059
IQSEC1	1669.9147	IQSEC1	3295.6172
IQSEC2	450.9744	IQSEC2	429.3381
IQSEC3	38.0633	IQSEC3	108.229
IQUB	7.0037	IQUB	10.2862
IRAK1BP1	35.8648	IRAK1BP1	42.4284
IRAK1	1601.0962	IRAK1	1927.5492
IRAK2	107.7954	IRAK2	348.8372
IRAK3	338.6114	IRAK3	778.6225
IRAK4	566.9915	IRAK4	435.1521
IREB2	1390.6821	IREB2	1424.4186
IRF1	946.081	IRF1	1112.6297
IRF2BP1	630.6334	IRF2BP1	355.0984
IRF2BP2	4503.3496	IRF2BP2	3639.9821
IRF2	1138.8551	IRF2	820.2147
IRF3	809.3727	IRF3	561.4088
IRF4	38.9769	IRF4	137.2987
IRF5	338.6114	IRF5	237.9249
IRF6	784.1048	IRF6	669.4991
IRF7	610.5359	IRF7	283.0948
IRF8	284.7138	IRF8	473.6136
IRF9	1329.4762	IRF9	831.525
IRGQ	438.4896	IRGQ	403.8462
IRS1	1288.0633	IRS1	1965.1163
IRS2	423.5688	IRS2	2245.5277
IRX1	15.2253	IRX1	112.254
IRX2	3371.4982	IRX2	380.5903
IRX3	634.8965	IRX3	499.5528
removed	removed	IRX4	16.5474
IRX5	328.8672	IRX5	254.9195
IRX6	15.8343	IRX6	413.6852
ISCA1P1	68.8185	ISCA1P1	86.3148
ISCA1	753.8124	ISCA1	1084.0787
ISCA2	267.6614	ISCA2	240.6082
ISCU	1657.1255	ISCU	2177.5492
ISG15	799.9391	ISG15	354.6512
ISG20L2	666.2607	ISG20L2	539.8032
ISG20	225.6395	ISG20	117.6208
ISLR2	27.4056	ISLR2	92.576
ISLR	7454.324	ISLR	4841.6816
ISM1	1095.3106	ISM1	1162.3435
ISOC1	257.3082	ISOC1	698.5689
ISOC2	745.7369	ISOC2	415.4741
ISPD	53.2887	ISPD	46.0644
ISY1	730.6547	ISY1	634.1592
ISYNA1	759.4397	ISYNA1	305.9034
ITCH	1541.4129	ITCH	1871.1986
ITFG1	1057.2473	ITFG1	1083.6315
ITFG2	441.2302	ITFG2	454.8301
ITFG3	2291.6626	ITFG3	1901.8515
ITGA10	104.4458	ITGA10	41.1449
ITGA11	10079.7808	ITGA11	887.2987
ITGA1	2346.1023	ITGA1	3649.025
ITGA2	611.1449	ITGA2	931.127
ITGA3	2597.4421	ITGA3	1765.653
ITGA4	846.8179	ITGA4	238.4973
ITGA5	6139.1596	ITGA5	3026.3864
ITGA6	3753.6541	ITGA6	4305.9034
ITGA7	70.6456	ITGA7	6743.7388
ITGA8	35.6273	ITGA8	46.0644
ITGA9	147.6857	ITGA9	490.6082
ITGAE	316.9915	ITGAE	307.2451
ITGAL	381.8514	ITGAL	228.0859
ITGAM	1235.3837	ITGAM	738.3721
ITGAV	8348.0512	ITGAV	4352.415
ITGAX	532.8867	ITGAX	210.644
ITGB1BP1	935.7491	ITGB1BP1	4340.7871
ITGB1BP2	9.1352	removed	removed
ITGB1	30718.0268	ITGB1	39331.3953
ITGB2	3919.5463	ITGB2	1548.3005
ITGB3BP	182.3995	ITGB3BP	121.1986
ITGB3	258.2217	ITGB3	652.9517
ITGB4	3743.6054	ITGB4	2675.3131
ITGB5	12682.3995	ITGB5	8097.9428
ITGB6	3399.5128	ITGB6	970.0358
ITGB7	154.0804	ITGB7	79.1592
ITGB8	1351.0962	ITGB8	525.9392
ITGBL1	6482.9476	ITGBL1	817.0841
removed	removed	ITIH2	23.2558
ITIH3	6.3946	ITIH3	15.2057
ITIH4	19.9726	ITIH4	34.8837
ITIH5L	144.0317	ITIH5L	30.4114
ITIH5	132.1559	ITIH5	16841.2343
ITK	41.4129	ITK	66.6369
ITM2A	72.7771	ITM2A	1524.1503
ITM2B	15666.2607	ITM2B	17399.3739
ITM2C	1058.1608	ITM2C	811.7174
ITPA	595.9196	ITPA	406.5295
ITPK1	1234.7747	ITPK1	4067.0841
ITPKA	13.7028	removed	removed
ITPKB	724.4214	ITPKB	1417.7102
ITPKC	992.6918	ITPKC	1580.9481
ITPR1	825.8222	ITPR1	2087.2093
ITPR2	1653.1669	ITPR2	2021.0197
ITPR3	1760.2527	ITPR3	916.9678
ITPRIPL1	43.849	ITPRIPL1	81.8426
ITPRIPL2	3325.2132	ITPRIPL2	2481.6637
ITPRIP	1043.24	ITPRIP	1309.034
ITSN1	1156.821	ITSN1	4974.0608
ITSN2	1129.7199	ITSN2	1723.6136
IVD	1992.0828	IVD	1264.3113
IVL	361.754	removed	removed
IVNS1ABP	3302.3752	IVNS1ABP	2359.1234
IWS1	1251.218	IWS1	1338.1038
JAG1	2502.4361	JAG1	2405.1878
JAG2	352.9233	JAG2	795.6172
JAGN1	769.1839	JAGN1	725.4025
JAK1	5973.8124	JAK1	9006.2612
JAK2	467.7223	JAK2	873.4347
JAK3	268.2704	JAK3	145.3488
JAKMIP1	18.5749	removed	removed
JAKMIP2	77.6188	removed	removed
JAKMIP3	8.2217	JAKMIP3	26.3864
JAM2	287.1498	JAM2	744.6333
JAM3	1481.7296	JAM3	964.6691
JARID2	686.3581	JARID2	366.2791
JAZF1	796.285	JAZF1	962.8801
JDP2	794.1535	JDP2	1604.2039
JHDM1D	1211.9367	JHDM1D	1477.1914
JKAMP	955.2375	JKAMP	889.0877
JMJD1C	2139.8569	JMJD1C	2726.1717
JMJD4	290.2771	JMJD4	312.9785
JMJD5	95.6151	JMJD5	67.0841
JMJD6	580.6943	JMJD6	551.4311
JMJD7-PLA2G4B	211.9367	JMJD7-PLA2G4B	288.9088
JMJD8	1566.0323	JMJD8	1205.161
JMY	665.3471	JMY	820.6619
JOSD1	1273.1425	JOSD1	1647.1377
JOSD2	284.4093	JOSD2	173.0769
JPH1	215.5907	JPH1	55.0089
JPH2	454.6285	JPH2	455.7245
JPH3	69.4275	removed	removed
JPH4	12.4848	JPH4	27.7281
JRKL	328.2582	JRKL	417.7102
JRK	112.972	JRK	280.8587
JTB	2159.866	JTB	1474.9553
JUB	614.19	JUB	287.1199
JUNB	3667.4787	JUNB	6010.2862
JUND	2672.3508	JUND	6623.8819
JUN	8165.9562	JUN	15504.9195
JUP	9247.5639	JUP	3163.6852
KAL1	581.9123	KAL1	608.6762
KALRN	304.8112	KALRN	739.2665
KANK1	995.7369	KANK1	5419.4991
KANK2	2771.3155	KANK2	5718.6941
KANK3	78.5627	KANK3	516.1002
KANK4	278.6236	KANK4	722.7191
KARS	2018.5749	KARS	2675.7603
KAT2A	478.38	KAT2A	420.3936
KAT2B	646.4677	KAT2B	1359.1234
KAT5	778.5292	KAT5	871.1896
KATNA1	307.5518	KATNA1	358.6762
KATNAL1	484.1657	KATNAL1	1082.737
KATNAL2	28.9281	KATNAL2	117.6208
KATNB1	230.2071	KATNB1	303.6673
KAZALD1	300.2314	KAZALD1	57.1288
KAZ	393.916	KAZ	978.2916
KBTBD10	19.8873	KBTBD10	14.7406
KBTBD11	160.7795	KBTBD11	279.517
removed	removed	KBTBD12	8.0501
KBTBD2	1364.19	KBTBD2	2073.3453
KBTBD3	104.4458	KBTBD3	139.5349
KBTBD4	441.8879	KBTBD4	315.2907
KBTBD6	374.2387	KBTBD6	390.8766
KBTBD7	153.4714	KBTBD7	128.8014
KBTBD8	50.8526	KBTBD8	40.2504
KCMF1	1090.134	KCMF1	1317.9785
removed	removed	KCNA1	43.381
removed	removed	KCNA2	49.195
KCNA3	9.7442	KCNA3	14.7585
removed	removed	KCNA4	42.0394
removed	removed	KCNA5	15.2057
removed	removed	KCNA6	143.5599
KCNAB1	68.8185	KCNAB1	446.78
KCNAB2	277.1011	KCNAB2	311.7174
KCNAB3	15.2253	removed	removed
removed	removed	KCNB1	224.0608
removed	removed	KCNB2	27.2809
removed	removed	KCNC2	19.2308
KCNC3	82.2168	KCNC3	81.3953
KCNC4	76.4312	KCNC4	164.5796
KCND1	89.2205	KCND1	60.8229
KCND2	504.2631	KCND2	275.9392
KCND3	59.9878	KCND3	167.263
removed	removed	KCNE1L	7.1556
removed	removed	KCNE1	67.5313
KCNE3	345.6151	KCNE3	305.0089
KCNE4	482.6431	KCNE4	133.7209
KCNF1	331.9123	KCNF1	8.0501
removed	removed	KCNG1	5.814
KCNH1	26.4921	KCNH1	9.3918
KCNH2	10.9622	KCNH2	8.9445
removed	removed	KCNH3	9.3918
removed	removed	KCNH4	6.7084
removed	removed	KCNH8	16.9946
removed	removed	KCNIP1	20.1252
removed	removed	KCNIP2	4071.5564
KCNIP3	54.5067	KCNIP3	72.4508
KCNIP4	20.0974	KCNIP4	23.2558
KCNJ11	178.4409	KCNJ11	51.8784
KCNJ12	88.0024	KCNJ12	121.6458
KCNJ14	15.2253	KCNJ14	21.4669
KCNJ15	289.5859	KCNJ15	108.6762
removed	removed	KCNJ16	31.3059
removed	removed	KCNJ1	8.9445
KCNJ2	419.6102	KCNJ2	215.5635
KCNJ3	190.6212	removed	removed
KCNJ5	87.0889	KCNJ5	118.9624
KCNJ6	22.838	removed	removed
KCNJ8	452.1924	KCNJ8	664.5796
KCNK13	59.9878	KCNK13	37.5671
KCNK15	177.2229	KCNK15	23.703
removed	removed	KCNK17	10.7335
KCNK1	371.8027	KCNK1	103.7567
KCNK2	481.7296	KCNK2	252.6834
removed	removed	KCNK3	77.8175
KCNK5	96.5286	KCNK5	109.1234
KCNK6	388.5505	KCNK6	141.3238
KCNMA1	473.8124	KCNMA1	653.8462
KCNMB1	99.8782	KCNMB1	332.737
removed	removed	KCNMB2	5.814
KCNMB3	76.1267	KCNMB3	70.2147
KCNMB4	168.0877	KCNMB4	61.7174
KCNN1	10.9622	removed	removed
KCNN2	31.9732	KCNN2	8.0501
KCNN3	39.8904	KCNN3	21.4669
KCNN4	556.0292	KCNN4	232.5581
KCNQ1OT1	117.2351	KCNQ1OT1	85.4204
KCNQ1	219.5493	KCNQ1	254.025
KCNQ3	88.6114	KCNQ3	14.7585
removed	removed	KCNQ4	28.6225
KCNQ5	265.2253	KCNQ5	15.2057
KCNRG	5.9135	KCNRG	7.6565
removed	removed	KCNS1	19.2308
removed	removed	KCNS2	9.3918
KCNS3	1103.8368	KCNS3	216.0107
KCNT2	26.7966	KCNT2	61.7174
KCP	8.5292	KCP	11.6369
KCTD10	2589.525	KCTD10	3434.7048
KCTD11	968.6358	KCTD11	500
KCTD12	4254.8721	KCTD12	8254.4723
KCTD13	278.0146	KCTD13	138.1932
KCTD14	42.6309	KCTD14	156.9767
KCTD15	890.0731	KCTD15	306.7979
KCTD16	7.9172	KCTD16	15.653
KCTD17	186.3581	KCTD17	128.8014
KCTD18	278.0146	KCTD18	472.2719
KCTD1	529.2326	KCTD1	308.5868
KCTD20	2554.2022	KCTD20	3137.2987
KCTD21	382.4604	KCTD21	434.7048
KCTD2	930.268	KCTD2	1059.9284
KCTD3	2894.9452	KCTD3	2089.4454
KCTD5	911.084	KCTD5	423.9714
KCTD6	324.9086	KCTD6	171.288
KCTD7	294.6224	KCTD7	307.2182
KCTD9	683.6175	KCTD9	1033.9893
KDELC1	466.8088	KDELC1	133.2737
KDELC2	2144.9452	KDELC2	2220.483
KDELR1	5288.9769	KDELR1	2520.1252
KDELR2	5848.6602	KDELR2	4401.61
KDELR3	934.5311	KDELR3	743.7388
KDM1A	2096.2241	KDM1A	1093.4705
KDM1B	666.5652	KDM1B	547.8533
KDM2A	2956.4555	KDM2A	2817.0841
KDM2B	554.5737	KDM2B	514.6333
KDM3A	1901.9488	KDM3A	1279.517
KDM3B	2650.7308	KDM3B	2490.161
KDM4A	1469.8538	KDM4A	1052.3256
KDM4B	930.877	KDM4B	788.4615
KDM4C	587.3934	KDM4C	630.5903
KDM4D	25.8831	KDM4D	25.4919
KDM5A	1845.9196	KDM5A	1899.3739
KDM5B	3401.0353	KDM5B	1332.737
KDM5C	2491.4738	KDM5C	1946.3327
KDM6A	889.7686	KDM6A	814.4007
KDM6B	784.1048	KDM6B	1052.3256
KDR	1344.3971	KDR	2691.8605
KDSR	2150.4263	KDSR	2576.0286
KEAP1	920.8283	KEAP1	1344.3649
KERA	37.1498	KERA	11.6279
KGFLP2	59.5463	KGFLP2	62.0572
KHDC1	13.9708	KHDC1	5.7335
KHDRBS1	4578.8672	KHDRBS1	3132.8265
KHDRBS3	201.2789	KHDRBS3	346.6011
KHK	115.0639	KHK	148.1485
KHNYN	1282.8563	KHNYN	1860.8318
KHSRP	2429.3544	KHSRP	1645.7961
KIAA0020	519.1839	KIAA0020	635.9571
KIAA0040	1847.1376	KIAA0040	2631.0376
KIAA0090	1496.9549	KIAA0090	1210.1968
KIAA0100	1994.0926	KIAA0100	4936.6905
KIAA0101	152.5579	KIAA0101	14.7585
KIAA0114	292.3264	KIAA0114	262.9696
KIAA0141	838.6114	KIAA0141	1080.0537
KIAA0146	835.2619	KIAA0146	717.7996
KIAA0174	2334.9574	KIAA0174	2768.7835
removed	removed	KIAA0182	3562.6118
KIAA0195	844.391	KIAA0195	1262.102
KIAA0196	1867.8441	KIAA0196	1727.1914
KIAA0226	692.7527	KIAA0226	669.0519
KIAA0232	1705.542	KIAA0232	2107.3345
KIAA0240	802.3752	KIAA0240	1190.0716
KIAA0247	2948.5384	KIAA0247	1731.2165
KIAA0284	701.5834	KIAA0284	1114.4902
KIAA0317	725.335	KIAA0317	681.5742
KIAA0319L	2204.6285	KIAA0319L	1177.9964
KIAA0319	13.7028	KIAA0319	5.3667
KIAA0355	1100.4872	KIAA0355	1575.5814
KIAA0368	3065.4689	KIAA0368	4235.2415
KIAA0391	802.3691	KIAA0391	494.1547
KIAA0406	614.4945	KIAA0406	475.4025
removed	removed	KIAA0408	309.347
KIAA0415	460.7186	KIAA0415	460.644
KIAA0427	801.7661	KIAA0427	3015.2057
KIAA0430	2201.8879	KIAA0430	2411.449
KIAA0467	584.9756	KIAA0467	975.9347
KIAA0494	5061.3185	KIAA0494	5479.9866
KIAA0495	432.095	KIAA0495	542.4866
KIAA0513	240.2558	KIAA0513	274.5975
KIAA0528	1200.3654	KIAA0528	888.6404
KIAA0556	607.4909	KIAA0556	505.814
KIAA0562	825.8222	KIAA0562	973.1664
KIAA0564	760.6577	KIAA0564	970.483
KIAA0586	429.659	KIAA0586	400.7156
KIAA0649	555.4202	KIAA0649	466.9052
KIAA0652	1447.3203	KIAA0652	1694.5438
KIAA0664P3	35.3228	KIAA0664P3	17.4419
KIAA0664	1233.5566	KIAA0664	1520.5725
KIAA0748	23.1425	KIAA0748	15.653
KIAA0753	387.028	KIAA0753	313.059
KIAA0754	335.2619	KIAA0754	546.0644
KIAA0776	1124.5432	KIAA0776	966.9052
KIAA0802	129.4153	KIAA0802	63.5063
