gene_id	TCGA-BH-A1FD-01A-11R-A13Q-07	gene_id	TCGA-BH-A1FD-11B-21R-A13Q-07
IGFBP2	1155.7425	IGFBP2	822.5034
IGFBP3	1888.3411	IGFBP3	5845.4172
IGFBP4	5659.2227	IGFBP4	8982.9001
IGFBP5	8808.8747	IGFBP5	15040.6977
IGFBP6	53.0742	IGFBP6	469.9042
IGFBP7	3099.1879	IGFBP7	6157.3187
IGFL1	12.761	removed	removed
IGFL2	19.7216	removed	removed
removed	removed	IGFN1	8.2079
IGHMBP2	419.3735	IGHMBP2	255.472
IGJ	69.6056	IGJ	9056.4295
IGSF10	13.6311	IGSF10	846.4432
removed	removed	IGSF11	5.13
removed	removed	IGSF1	59.5075
IGSF21	116.5893	IGSF21	110.1231
IGSF22	12.7987	IGSF22	19.8803
IGSF3	967.2274	IGSF3	817.7155
IGSF5	39.4432	removed	removed
IGSF6	136.3109	IGSF6	100.2052
IGSF8	637.761	IGSF8	545.8276
IGSF9B	241.2993	IGSF9B	13.6799
IGSF9	117.4594	IGSF9	231.8741
IKBIP	368.6195	IKBIP	386.1149
IKBKAP	895.5916	IKBKAP	1128.933
IKBKB	1930.3944	IKBKB	1335.1573
IKBKE	295.8237	IKBKE	70.1094
IKBKG	275.8121	IKBKG	265.7319
IKZF1	178.3643	IKZF1	275.3078
IKZF2	163.2831	IKZF2	272.5718
IKZF3	11.0209	IKZF3	8.2079
IKZF4	149.0719	IKZF4	283.8577
IKZF5	811.7749	IKZF5	948.3584
IK	2663.5731	IK	1862.1751
IL10RA	287.123	IL10RA	543.0917
IL10RB	468.0974	IL10RB	730.6361
IL10	22.0418	IL10	19.8358
IL11RA	58.8747	IL11RA	269.8358
IL11	31.0325	removed	removed
IL12A	54.8144	IL12A	5.814
IL12RB1	18.5615	IL12RB1	17.4419
IL12RB2	10.4408	IL12RB2	46.1696
IL13RA1	3423.7239	IL13RA1	4578.6594
removed	removed	IL13RA2	6.8399
IL15RA	191.1253	IL15RA	233.9261
IL15	52.2042	IL15	94.3912
IL16	286.5429	IL16	616.6211
removed	removed	IL17B	15.3899
IL17D	8.4716	IL17D	68.3892
IL17RA	156.6125	IL17RA	419.2886
IL17RB	1431.8445	IL17RB	226.0602
IL17RC	1090.1972	IL17RC	574.5554
IL17RD	866.0093	IL17RD	933.3105
IL17REL	16.5313	removed	removed
IL17RE	182.7146	IL17RE	672.0246
IL18BP	270.8208	IL18BP	258.9364
IL18R1	22.0418	IL18R1	87.2093
removed	removed	IL18RAP	13.3379
IL18	94.2575	IL18	72.1614
removed	removed	IL1A	6.156
IL1B	73.0858	IL1B	365.2531
IL1R1	1229.6984	IL1R1	4848.4952
IL1R2	10.1508	IL1R2	11.2859
removed	removed	IL1RAPL2	18.8098
IL1RAP	95.7077	IL1RAP	224.0082
IL1RL1	6.6705	IL1RL1	21.8878
IL1RL2	36.5429	IL1RL2	15.7319
IL1RN	452.1462	IL1RN	180.5746
IL20RA	154.2923	IL20RA	784.8837
IL20RB	10.1508	IL20RB	7.8659
removed	removed	IL20	15.0479
IL21R	57.3086	IL21R	5.8618
IL22RA1	7.8306	IL22RA1	38.6457
IL23A	5.8005	IL23A	13.3379
IL27RA	284.5128	IL27RA	307.1135
IL28RA	49.884	IL28RA	126.539
IL2RA	46.4037	IL2RA	49.9316
IL2RB	107.8886	IL2RB	168.2627
IL2RG	247.3898	IL2RG	231.8741
IL32	698.6659	IL32	311.5595
removed	removed	IL33	1994.186
IL34	34.2227	IL34	211.0123
IL3RA	59.1647	IL3RA	299.9316
IL4I1	250.7744	IL4I1	19.08
IL4R	776.3921	IL4R	898.4268
IL6R	747.9698	IL6R	339.9453
IL6ST	10240.4292	IL6ST	3271.2038
IL6	14.7912	IL6	299.5896
IL7R	71.3457	IL7R	119.699
IL7	13.3411	IL7	38.6457
IL8	113.9791	IL8	158.6867
ILDR1	167.3434	ILDR1	136.1149
ILF2	6843.9675	ILF2	2824.8974
ILF3	6365.1392	ILF3	3282.8317
ILKAP	486.3689	ILKAP	314.9795
ILK	2832.6566	ILK	2626.197
ILVBL	354.1183	ILVBL	802.6676
IMMP1L	88.1642	IMMP1L	84.8461
IMMP2L	84.3968	IMMP2L	231.8741
IMMT	3798.4339	IMMT	2267.0999
IMP3	1147.6218	IMP3	930.5746
IMP4	935.0348	IMP4	456.9083
IMPA1	156.0325	IMPA1	390.9029
IMPA2	373.5499	IMPA2	394.3228
IMPACT	744.7796	IMPACT	1422.0246
IMPAD1	12218.3875	IMPAD1	4180.2326
IMPDH1	2655.4524	IMPDH1	789.6717
IMPDH2	5856.4385	IMPDH2	3124.829
removed	removed	IMPG1	8.2079
INADL	2717.2274	INADL	1775.6498
INCA1	22.9118	INCA1	11.9699
INCENP	470.7077	INCENP	168.6047
INE1	17.1114	INE1	19.4938
removed	removed	INE2	18.1806
INF2	1698.3759	INF2	1678.5226
ING1	236.3834	ING1	412.3222
ING2	161.5429	ING2	248.974
ING3	244.4896	ING3	403.8988
ING4	502.9002	ING4	634.7469
ING5	598.8979	ING5	415.5267
INHA	13.051	INHA	12.6539
INHBA	580.9165	INHBA	5.814
INHBB	624.1299	INHBB	1334.8153
INMT	18.5615	INMT	604.8461
INO80B	221.5168	INO80B	102.5513
INO80C	191.7053	INO80C	188.4405
INO80D	664.6404	INO80D	675.6327
INO80E	772.5551	INO80E	403.6833
INO80	1332.0766	INO80	886.1149
INPP1	146.4617	INPP1	340.2873
INPP4A	404.5824	INPP4A	692.2025
INPP4B	266.8213	INPP4B	744.186
INPP5A	475.6381	INPP5A	877.223
INPP5B	348.8979	INPP5B	707.9343
INPP5D	236.3689	INPP5D	455.8824
INPP5E	91.3573	INPP5E	231.8741
INPP5F	473.3179	INPP5F	650.4788
INPP5J	441.1253	INPP5J	468.1943
INPP5K	625.58	INPP5K	1785.2257
INPPL1	2695.1856	INPPL1	1275.3078
removed	removed	INS-IGF2	7.7291
INSIG1	1306.5545	INSIG1	1263.6799
INSIG2	686.7749	INSIG2	776.3338
INSM1	6.6705	removed	removed
INSRR	9.2807	removed	removed
INSR	1267.4014	INSR	2706.5663
INTS10	584.3968	INTS10	1194.5964
INTS12	396.7517	INTS12	622.435
INTS1	1639.2111	INTS1	1346.4432
INTS2	326.2761	INTS2	406.6347
INTS3	1995.3596	INTS3	2048.5636
INTS4L1	45.5336	INTS4L1	22.2298
INTS4L2	8.4107	INTS4L2	8.2079
INTS4	642.1114	INTS4	517.9207
INTS5	1093.6775	INTS5	602.9412
INTS6	704.1763	INTS6	829.3434
INTS7	750	INTS7	425.1026
INTS8	930.7483	INTS8	681.2585
INTS9	234.6288	INTS9	366.6211
INTU	74.826	INTU	212.7223
INVS	100.6381	INVS	183.3105
IP6K1	1751.7401	IP6K1	1419.2886
IP6K2	1606.4385	IP6K2	1436.7305
IPCEF1	23.4919	IPCEF1	48.9056
IPMK	90.4872	IPMK	47.1956
IPO11	1025.8179	IPO11	748.0369
IPO13	928.9443	IPO13	627.565
IPO4	2721.7575	IPO4	575.1265
IPO5	2850.9281	IPO5	5165.1847
IPO7	7941.1253	IPO7	3549.9316
IPO8	1101.7981	IPO8	1623.461
IPO9	1912.413	IPO9	1867.6471
IPPK	700.6439	IPPK	385.3865
IPP	258.4107	IPP	284.1997
IPW	312.3086	IPW	367.8523
IQCA1	45.8237	IQCA1	101.2312
IQCB1	472.7378	IQCB1	463.0643
IQCC	145.8817	IQCC	64.2955
IQCD	44.6636	IQCD	12.6539
IQCE	927.4942	IQCE	345.4172
IQCG	197.5058	IQCG	272.5718
IQCH	45.5336	IQCH	63.6115
IQCK	468.3875	IQCK	428.1806
IQGAP1	11717.5174	IQGAP1	8621.067
IQGAP2	359.3387	IQGAP2	1509.9179
IQGAP3	532.1926	IQGAP3	15.7319
IQSEC1	1525.232	IQSEC1	2984.2681
IQSEC2	551.3341	IQSEC2	321.8194
removed	removed	IQSEC3	54.3776
IQUB	6.9606	IQUB	22.9138
IRAK1BP1	28.7848	IRAK1BP1	48.0369
IRAK1	2708.5267	IRAK1	998.632
IRAK2	66.1253	IRAK2	157.3187
IRAK3	93.3875	IRAK3	1058.1395
IRAK4	295.5336	IRAK4	500.684
IREB2	1663.8631	IREB2	1718.1943
IRF1	2697.6943	IRF1	629.8974
IRF2BP1	547.5638	IRF2BP1	335.4993
IRF2BP2	3671.4037	IRF2BP2	5254.104
IRF2	478.5383	IRF2	951.0944
IRF3	446.8039	IRF3	330.7148
IRF4	16.2413	IRF4	86.1833
IRF5	345.4176	IRF5	185.7045
IRF6	1954.1763	IRF6	871.751
IRF7	1058.0046	IRF7	115.5951
IRF8	149.652	IRF8	309.1655
IRF9	2457.0853	IRF9	598.1532
IRGQ	859.0487	IRGQ	588.9193
IRS1	743.6195	IRS1	2117.6471
IRS2	192.2854	IRS2	4594.3912
IRX1	7.2506	IRX1	249.658
IRX2	19.1415	IRX2	970.2462
IRX3	583.8167	IRX3	695.2804
removed	removed	IRX4	35.5677
IRX5	407.1926	IRX5	386.7989
IRX6	8.9907	IRX6	209.6443
ISCA1P1	52.4942	ISCA1P1	92.6813
ISCA1	566.4153	ISCA1	1336.5253
ISCA2	160.3828	ISCA2	306.4295
ISCU	1771.1717	ISCU	2392.9549
ISG15	2652.8422	ISG15	108.4131
ISG20L2	1772.9118	ISG20L2	614.2271
ISG20	420.5336	ISG20	70.7934
ISLR2	11.891	ISLR2	51.9836
ISLR	2710.8469	ISLR	2448.7004
ISM1	190.5452	ISM1	551.9836
ISOC1	1011.0209	ISOC1	1023.2558
ISOC2	1501.7401	ISOC2	439.8085
ISPD	28.1323	ISPD	63.6115
ISY1	845.3335	ISY1	543.6867
ISYNA1	618.0394	ISYNA1	403.5568
ITCH	1800.7541	ITCH	1673.7346
ITFG1	1416.7633	ITFG1	1112.1751
ITFG2	492.4594	ITFG2	541.3817
ITFG3	1273.6601	ITFG3	1728.0267
ITGA10	45.5336	ITGA10	143.6389
ITGA11	2924.0139	ITGA11	191.1765
ITGA1	469.9072	ITGA1	2282.7462
ITGA2	1770.5916	ITGA2	1078.6594
ITGA3	365.4292	ITGA3	1744.186
ITGA4	331.3776	ITGA4	205.8687
ITGA5	2424.3039	ITGA5	1761.6279
ITGA6	2241.2993	ITGA6	4016.4159
ITGA7	44.9536	ITGA7	4737.6881
ITGA8	22.6218	ITGA8	37.2777
ITGA9	52.4942	ITGA9	296.8536
ITGAE	149.0719	ITGAE	240.0821
ITGAL	167.6334	ITGAL	207.9343
ITGAM	405.4524	ITGAM	244.528
ITGAV	4982.0186	ITGAV	4145.6908
ITGAX	379.6404	ITGAX	148.7688
ITGB1BP1	798.7239	ITGB1BP1	3337.8933
ITGB1	10808.0046	ITGB1	27929.8906
ITGB2	1126.9635	ITGB2	622.777
ITGB3BP	266.5313	ITGB3BP	159.3707
ITGB3	79.33	ITGB3	221.6142
ITGB4	1228.5383	ITGB4	2780.0958
ITGB5	5651.9722	ITGB5	5052.3256
ITGB6	1140.3712	ITGB6	1593.7073
ITGB7	100.9281	ITGB7	55.0616
ITGB8	1208.5267	ITGB8	1298.5636
ITGBL1	1379.3503	ITGBL1	324.2134
ITIH2	205.3364	removed	removed
removed	removed	ITIH3	20.1778
ITIH4	24.7999	ITIH4	47.5376
ITIH5L	86.1369	ITIH5L	31.8057
ITIH5	24.3619	ITIH5	5609.4391
ITK	33.3527	ITK	33.5157
ITM2A	37.123	ITM2A	1556.7715
ITM2B	8139.2111	ITM2B	20484.9521
ITM2C	229.1183	ITM2C	716.1423
ITPA	317.8654	ITPA	319.7674
ITPK1	587.007	ITPK1	3187.4145
ITPKA	14.2111	removed	removed
ITPKB	689.0951	ITPKB	1519.4938
ITPKC	1142.4014	ITPKC	760.9439
ITPR1	796.9838	ITPR1	3879.617
ITPR2	765.3712	ITPR2	2090.2873
ITPR3	1021.7952	ITPR3	799.7709
ITPRIPL1	5.5104	ITPRIPL1	86.1833
ITPRIPL2	865.1392	ITPRIPL2	1998.29
ITPRIP	503.4803	ITPRIP	792.4077
ITSN1	825.406	ITSN1	5055.4036
ITSN2	1259.2807	ITSN2	1443.5705
IVD	2218.6775	IVD	1553.3516
IVNS1ABP	1635.7309	IVNS1ABP	1542.7497
IWS1	1385.7309	IWS1	973.3242
IYD	22.3318	removed	removed
JAG1	470.9977	JAG1	2330.7114
JAG2	112.529	JAG2	659.7127
JAGN1	821.3457	JAGN1	860.4651
JAK1	4505.5104	JAK1	8502.394
JAK2	633.4107	JAK2	929.2066
JAK3	93.6775	JAK3	136.7989
JAKMIP1	67.5754	removed	removed
JAKMIP2	5.5104	removed	removed
JAKMIP3	60.6148	JAKMIP3	50.2736
JAM2	63.2251	JAM2	757.1819
JAM3	491.5893	JAM3	920.6566
JARID2	614.8492	JARID2	480.8482
JAZF1	202.7262	JAZF1	720.2462
JDP2	260.7309	JDP2	514.3639
JHDM1D	879.3503	JHDM1D	1012.9959
JKAMP	542.6334	JKAMP	1061.2175
JMJD1C	2147.8277	JMJD1C	1980.5062
JMJD4	572.6363	JMJD4	322.1238
JMJD5	75.9861	JMJD5	61.2175
JMJD6	850.6381	JMJD6	372.093
JMJD7-PLA2G4B	153.7123	JMJD7-PLA2G4B	379.617
JMJD8	1441.2616	JMJD8	1111.3611
JMY	621.2297	JMY	937.0725
JOSD1	1086.7169	JOSD1	1645.6908
JOSD2	85.5568	JOSD2	97.8112
JPH1	402.2622	JPH1	48.5636
JPH2	39.1531	JPH2	380.301
JPH3	22.3318	removed	removed
removed	removed	JPH4	19.1518
JRKL	80.9165	JRKL	436.7305
JRK	216.6473	JRK	333.4473
JTB	2694.0255	JTB	1805.7456
JUB	767.9814	JUB	438.7825
JUNB	1143.2715	JUNB	6101.5732
JUND	1369.7796	JUND	4435.0205
JUN	2388.9211	JUN	12490.7661
JUP	5321.9258	JUP	4951.0944
KAAG1	9.7535	removed	removed
KAL1	302.7842	KAL1	471.2722
KALRN	89.3271	KALRN	580.7114
KANK1	1425.464	KANK1	3789.3297
KANK2	1087.007	KANK2	3536.5937
KANK3	31.9026	KANK3	196.6484
KANK4	152.2622	KANK4	615.2531
KARS	2443.4455	KARS	2695.2804
KAT2A	542.9234	KAT2A	492.8181
KAT2B	459.6868	KAT2B	1001.026
KAT5	1062.6479	KAT5	926.7886
KATNA1	305.6845	KATNA1	396.0328
KATNAL1	295.8237	KATNAL1	803.6936
KATNAL2	76.8561	KATNAL2	68.3995
KATNB1	275.522	KATNB1	259.5759
KAZALD1	356.3457	KAZALD1	56.5219
KAZ	248.8428	KAZ	800.8687
KBTBD10	73.3208	KBTBD10	32.8865
KBTBD11	117.4594	KBTBD11	351.2312
KBTBD2	1238.3991	KBTBD2	1564.2955
KBTBD3	60.6148	KBTBD3	169.9726
KBTBD4	486.2761	KBTBD4	516.4706
KBTBD6	547.8538	KBTBD6	538.3037
KBTBD7	143.8515	KBTBD7	178.1806
KBTBD8	37.993	KBTBD8	49.9316
KCMF1	1571.9258	KCMF1	1551.6416
removed	removed	KCNA1	14.3639
removed	removed	KCNA2	5.472
KCNA3	12.471	KCNA3	18.4679
removed	removed	KCNA4	13.3379
removed	removed	KCNA5	18.1259
removed	removed	KCNA6	34.8837
KCNAB1	38.2831	KCNAB1	178.5226
KCNAB2	152.5522	KCNAB2	125.855
KCNAB3	7.8306	KCNAB3	8.2079
removed	removed	KCNB1	153.2148
removed	removed	KCNC1	7.8659
removed	removed	KCNC2	41.0397
KCNC3	12.761	KCNC3	190.1505
KCNC4	26.1021	KCNC4	194.5964
KCND1	37.123	KCND1	70.4514
KCND2	87.877	KCND2	190.4925
KCND3	69.8956	KCND3	79.3434
removed	removed	KCNE1L	5.472
KCNE1	10.4408	KCNE1	73.1874
KCNE2	22.0418	KCNE2	6.4979
KCNE3	74.2459	KCNE3	199.3844
KCNE4	128.4803	KCNE4	279.4118
KCNF1	229.4084	removed	removed
removed	removed	KCNG1	11.6279
KCNG3	9.8608	removed	removed
KCNH1	9.8608	KCNH1	16.0739
KCNH2	26.6821	KCNH2	11.9699
KCNH3	52.2042	KCNH3	19.4938
removed	removed	KCNH4	10.6019
removed	removed	KCNH8	78.3174
removed	removed	KCNIP1	14.3639
KCNIP2	6.9606	KCNIP2	4506.156
KCNIP3	56.2645	KCNIP3	62.5855
KCNIP4	23.4919	KCNIP4	31.8057
KCNJ11	619.1995	KCNJ11	102.5992
KCNJ12	14.7912	KCNJ12	69.4254
KCNJ13	6.3805	removed	removed
KCNJ14	56.2964	KCNJ14	31.8057
KCNJ15	81.7865	KCNJ15	28.7278
removed	removed	KCNJ16	213.0643
KCNJ2	82.0766	KCNJ2	237.3461
KCNJ5	37.993	KCNJ5	55.7456
KCNJ8	111.6589	KCNJ8	716.8263
KCNK13	21.4617	KCNK13	14.7059
KCNK15	105.2784	KCNK15	10.9439
removed	removed	KCNK17	21.5458
KCNK1	785.0928	KCNK1	235.2941
KCNK2	34.5128	KCNK2	407.6607
removed	removed	KCNK3	488.7141
KCNK5	44.9536	KCNK5	66.6895
KCNK6	430.9745	KCNK6	157.6607
KCNK7	5.2204	removed	removed
KCNMA1	319.8956	KCNMA1	620.041
KCNMB1	36.2529	KCNMB1	312.2435
removed	removed	KCNMB2	7.5239
KCNMB3	84.6868	KCNMB3	82.7633
KCNMB4	36.8329	KCNMB4	72.5034
KCNN1	6.0905	removed	removed
KCNN2	38.2831	KCNN2	6.8399
KCNN3	10.4408	KCNN3	20.5198
KCNN4	401.6821	KCNN4	169.6306
KCNQ1OT1	178.0742	KCNQ1OT1	63.6115
KCNQ1	106.1485	KCNQ1	127.223
KCNQ3	31.3225	removed	removed
KCNQ4	6.6705	KCNQ4	9.9179
KCNQ5	52.4942	KCNQ5	25.3078
removed	removed	KCNRG	10.8413
removed	removed	KCNS1	11.2859
KCNS3	1522.9118	KCNS3	444.2544
KCNT2	7.8306	KCNT2	21.2038
KCTD10	2403.4223	KCTD10	2579.6854
KCTD11	373.8399	KCTD11	427.1546
KCTD12	1357.8886	KCTD12	8385.4309
KCTD13	295.5336	KCTD13	172.0246
KCTD14	22.0418	KCTD14	257.8659
KCTD15	237.239	KCTD15	325.9234
removed	removed	KCTD16	8.5499
KCTD17	100.9281	KCTD17	56.4295
KCTD18	238.6891	KCTD18	569.0834
KCTD1	922.8538	KCTD1	658.6867
KCTD20	1942.5754	KCTD20	2611.8331
KCTD21	523.2019	KCTD21	492.1341
KCTD2	1065.8353	KCTD2	1380.301
KCTD3	1502.3202	KCTD3	3083.4473
KCTD5	1658.9327	KCTD5	433.9945
KCTD6	462.297	KCTD6	283.5157
KCTD7	337.4391	KCTD7	471.2073
removed	removed	KCTD8	6.156
KCTD9	492.4594	KCTD9	1269.4938
KDELC1	151.1021	KDELC1	100.5472
KDELC2	544.9536	KDELC2	1484.2681
KDELR1	5506.6705	KDELR1	3511.2859
KDELR2	13247.0998	KDELR2	5726.7442
KDELR3	947.7958	KDELR3	580.0274
KDM1A	1521.7517	KDM1A	1463.7483
KDM1B	932.1346	KDM1B	522.5718
KDM2A	4452.7262	KDM2A	3374.829
KDM2B	960.9455	KDM2B	453.7791
KDM3A	1791.4733	KDM3A	1668.2627
KDM3B	2245.3596	KDM3B	2894.3228
KDM4A	2035.3828	KDM4A	1123.803
KDM4B	1636.6009	KDM4B	1258.8919
KDM4C	629.3503	KDM4C	682.6265
KDM4D	10.1508	KDM4D	53.6936
KDM5A	2378.7703	KDM5A	1696.3064
KDM5B	4697.7958	KDM5B	1873.119
KDM5C	4337.877	KDM5C	1712.0383
KDM6A	1548.4339	KDM6A	1013.6799
KDM6B	560.9049	KDM6B	715.4583
KDR	484.3387	KDR	2013.6799
KDSR	1428.9443	KDSR	2816.6895
KEAP1	1206.4965	KEAP1	935.7045
KERA	18.2715	KERA	5.472
removed	removed	KGFLP1	11.6279
KGFLP2	56.6966	KGFLP2	66.5219
KHDC1	37.4014	KHDC1	20.13
KHDRBS1	4612.529	KHDRBS1	4003.42
KHDRBS3	160.3828	KHDRBS3	214.4323
KHK	141.2848	KHK	44.9487
KHNYN	1273.7587	KHNYN	1998.567
KHSRP	2544.9536	KHSRP	1297.5376
KIAA0020	1738.109	KIAA0020	641.9289
KIAA0040	2559.7448	KIAA0040	2859.7811
KIAA0090	1126.4501	KIAA0090	1025.6498
KIAA0100	2838.5006	KIAA0100	5323.7278
KIAA0101	1012.4681	KIAA0101	10.2599
KIAA0114	1634.2807	KIAA0114	560.1915
removed	removed	KIAA0125	7.5239
KIAA0141	1226.7981	KIAA0141	1495.212
KIAA0146	1147.3318	KIAA0146	928.8646
KIAA0174	2033.3527	KIAA0174	3288.3037
KIAA0182	3182.7146	KIAA0182	3884.4049
KIAA0195	1338.8312	KIAA0195	1649.6683
KIAA0196	1486.0789	KIAA0196	1682.9685
KIAA0226	1213.7471	KIAA0226	649.7948
KIAA0232	1381.9606	KIAA0232	2333.4473
KIAA0240	770.8817	KIAA0240	1157.6607
KIAA0247	2205.9165	KIAA0247	2130.301
KIAA0284	628.1903	KIAA0284	690.1505
KIAA0317	899.652	KIAA0317	871.751
KIAA0319L	1683.5847	KIAA0319L	2076.9494
KIAA0319	226.5081	removed	removed
KIAA0355	453.3063	KIAA0355	1183.3105
KIAA0368	2672.5638	KIAA0368	4313.2695
KIAA0391	803.4252	KIAA0391	618.3447
KIAA0406	554.8144	KIAA0406	490.4241
removed	removed	KIAA0408	635.0103
KIAA0415	796.4037	KIAA0415	286.9357
KIAA0427	322.7958	KIAA0427	2036.9357
KIAA0430	1407.7726	KIAA0430	3188.0985
KIAA0467	608.2831	KIAA0467	1057.7599
KIAA0494	2386.7865	KIAA0494	5886.6963
KIAA0495	412.123	KIAA0495	652.1888
KIAA0513	494.7796	KIAA0513	250
KIAA0528	799.3039	KIAA0528	1187.0725
KIAA0556	764.7912	KIAA0556	409.0287
KIAA0562	554.5244	KIAA0562	889.8769
KIAA0564	525.8121	KIAA0564	1133.3789
KIAA0586	257.2506	KIAA0586	415.1847
KIAA0649	401.9722	KIAA0649	345.7592
KIAA0652	2754.3503	KIAA0652	2268.4679
KIAA0664P3	42.6334	KIAA0664P3	29.0698
KIAA0664	1741.0093	KIAA0664	1271.8878
KIAA0748	6.3805	KIAA0748	23.5978
KIAA0753	286.5429	KIAA0753	431.6005
KIAA0754	74.2459	KIAA0754	181.6005
KIAA0776	723.6079	KIAA0776	1314.2955
KIAA0802	178.9443	KIAA0802	114.2271
KIAA0831	400.232	KIAA0831	957.2503
KIAA0892	1308.8747	KIAA0892	1144.3228
KIAA0895L	134.2807	KIAA0895L	104.3399
KIAA0895	655.4524	KIAA0895	173.7346
KIAA0907	1470.7077	KIAA0907	557.1135
KIAA0913	1152.8422	KIAA0913	1223.6662
KIAA0922	474.768	KIAA0922	767.4419
KIAA0947	2412.993	KIAA0947	1533.8577
KIAA1009	83.2367	KIAA1009	294.1176
KIAA1012	1342.5174	KIAA1012	1419.2886
KIAA1024	140.3712	KIAA1024	21.8878
KIAA1033	1848.3179	KIAA1033	1509.9179
removed	removed	KIAA1045	47.5376
KIAA1107	64.6752	KIAA1107	244.186
KIAA1109	1158.3527	KIAA1109	3296.5116
KIAA1143	1169.9536	KIAA1143	1098.1532
KIAA1147	1400.522	KIAA1147	1541.0397
KIAA1161	230.2784	KIAA1161	428.1806
KIAA1191	1786.8329	KIAA1191	2345.0752
KIAA1199	1420.5336	KIAA1199	23.2558
KIAA1210	8.4107	KIAA1210	22.9138
KIAA1211	113.3991	KIAA1211	31.4637
KIAA1217	3448.0858	KIAA1217	3839.6033
removed	removed	KIAA1239	51.9836
KIAA1244	2030.4524	KIAA1244	416.5527
KIAA1257	56.6241	KIAA1257	23.9398
KIAA1267	845.7077	KIAA1267	1266.7579
KIAA1274	122.9698	KIAA1274	340.6293
KIAA1279	984.3387	KIAA1279	943.9124
KIAA1310	1601.2181	KIAA1310	2091.9973
KIAA1324L	189.9652	KIAA1324L	609.4391
KIAA1324	5544.6636	KIAA1324	4658.0027
KIAA1328	89.6172	KIAA1328	221.2722
KIAA1370	2255.5104	KIAA1370	3043.7756
KIAA1377	217.8074	KIAA1377	472.6402
KIAA1383	114.8492	KIAA1383	153.8988
KIAA1407	89.3271	KIAA1407	277.7018
removed	removed	KIAA1409	17.0999
KIAA1429	2665.6032	KIAA1429	2411.7647
KIAA1430	904.5824	KIAA1430	1514.0219
KIAA1432	923.5963	KIAA1432	1131.8057
KIAA1462	937.065	KIAA1462	2262.6539
KIAA1467	874.71	KIAA1467	867.3051
KIAA1468	1248.2599	KIAA1468	798.2216
KIAA1522	6128.4803	KIAA1522	2805.0616
KIAA1524	285.9629	KIAA1524	52.3256
KIAA1529	35.0928	KIAA1529	135.0889
KIAA1530	364.8492	KIAA1530	254.104
KIAA1539	239.2691	KIAA1539	594.3912
KIAA1543	441.9954	KIAA1543	248.29
KIAA1549	653.4223	KIAA1549	255.814
KIAA1586	34.5128	KIAA1586	174.7606
KIAA1598	2147.0418	KIAA1598	1117.9891
KIAA1609	307.7146	KIAA1609	312.5855
KIAA1614	23.6833	KIAA1614	68.054
KIAA1632	1028.4223	KIAA1632	1085.4993
KIAA1644	23.4919	KIAA1644	19.1518
KIAA1671	1882.5406	KIAA1671	3404.5828
KIAA1683	111.6589	KIAA1683	422.7086
KIAA1704	242.7204	KIAA1704	365.9713
KIAA1712	154.0516	KIAA1712	396.3098
KIAA1715	687.645	KIAA1715	1107.0451
KIAA1731	346.8677	KIAA1731	449.7264
KIAA1737	1001.4501	KIAA1737	1614.5691
KIAA1755	70.7657	KIAA1755	119.699
KIAA1797	1350.058	KIAA1797	924.4186
KIAA1804	173.1439	KIAA1804	121.067
KIAA1826	473.6079	KIAA1826	448.0164
KIAA1841	262.471	KIAA1841	215.8003
KIAA1908	84.6868	KIAA1908	216.8263
KIAA1919	41.1833	KIAA1919	84.8153
KIAA1949	1386.0209	KIAA1949	1049.2476
KIAA1958	94.2575	KIAA1958	47.5376
KIAA1967	1934.7448	KIAA1967	1508.8919
KIAA2013	1274.0719	KIAA2013	960.6703
KIAA2018	931.2645	KIAA2018	1195.9644
KIAA2022	52.7842	KIAA2022	67.0315
KIAA2026	1009.8608	KIAA2026	998.974
KIDINS220	2540.8933	KIDINS220	3258.2079
KIF11	1436.7749	KIF11	89.2613
KIF12	427.2042	KIF12	232.5581
KIF13A	417.6334	KIF13A	2398.7688
KIF13B	1269.4316	KIF13B	1754.446
KIF14	246.2297	removed	removed
KIF15	275.522	KIF15	11.9699
KIF16B	649.652	KIF16B	1351.5732
KIF17	5.8005	KIF17	76.9494
KIF18A	287.123	KIF18A	18.8098
KIF18B	160.9629	removed	removed
removed	removed	KIF19	24.6238
removed	removed	KIF1A	9.2339
KIF1B	1708.5267	KIF1B	1818.3995
KIF1C	2430.9745	KIF1C	2756.156
KIF20A	914.7332	removed	removed
KIF20B	877.6102	KIF20B	223.6662
KIF21A	1456.2065	KIF21A	328.6594
KIF21B	49.0139	KIF21B	145.0068
KIF22	1582.9466	KIF22	476.4022
KIF23	1301.3341	KIF23	43.4337
KIF24	152.5522	KIF24	53.0096
removed	removed	KIF25	21.5458
KIF26A	10.1508	KIF26A	162.1067
KIF26B	199.2459	KIF26B	24.2818
KIF27	51.6241	KIF27	91.6553
KIF2A	1256.9606	KIF2A	560.5335
KIF2C	991.5893	KIF2C	14.0219
KIF3A	526.1021	KIF3A	390.2189
KIF3B	3192.8654	KIF3B	1667.9207
KIF3C	246.8097	KIF3C	306.0876
KIF4A	790.3132	KIF4A	5.472
KIF4B	13.051	removed	removed
removed	removed	KIF5A	14.3639
KIF5B	6630.2204	KIF5B	6391.9289
KIF5C	1097.1578	KIF5C	878.933
KIF6	12.761	KIF6	9.2339
KIF7	96.9548	KIF7	71.2278
KIF9	401.2819	KIF9	115.2531
