gene_id	TCGA-BH-A1FD-01A-11R-A13Q-07	gene_id	TCGA-BH-A1FD-11B-21R-A13Q-07
AMFR	2026.1021	AMFR	3411.4227
AMH	24.942	removed	removed
AMICA1	11.0209	AMICA1	192.5445
AMIGO1	85.2668	AMIGO1	161.7647
AMIGO2	360.7889	AMIGO2	1475.0342
AMIGO3	216.6473	AMIGO3	41.3817
AMMECR1L	1212.587	AMMECR1L	1023.2558
AMMECR1	1321.6357	AMMECR1	295.8276
AMN1	91.0673	AMN1	266.7579
AMOTL1	232.0186	AMOTL1	2141.2449
AMOTL2	1156.6125	AMOTL2	5774.9658
AMOT	1020.5916	AMOT	882.3529
removed	removed	AMPD1	56.0876
AMPD2	871.2297	AMPD2	394.3228
AMPD3	294.0835	AMPD3	262.6539
AMPH	156.3225	AMPH	65.6635
AMT	26.1021	AMT	165.1847
removed	removed	AMY1A	19.4938
AMY2B	15.5423	AMY2B	397.712
AMZ1	148.7819	AMZ1	5.814
AMZ2P1	193.1555	AMZ2P1	282.8317
AMZ2	1346.5777	AMZ2	1497.264
ANAPC10	84.1067	ANAPC10	157.6607
ANAPC11	946.6357	ANAPC11	520.1778
ANAPC13	1137.2187	ANAPC13	1461.9973
ANAPC16	1776.1021	ANAPC16	2873.461
ANAPC1	1234.0487	ANAPC1	782.1477
ANAPC2	310.3248	ANAPC2	392.2709
ANAPC4	411.8329	ANAPC4	613.8851
ANAPC5	3837.297	ANAPC5	2481.1902
ANAPC7	1885.7309	ANAPC7	807.7975
ANGEL1	275.232	ANGEL1	551.9836
ANGEL2	533.6427	ANGEL2	808.8235
ANGPT1	55.9745	ANGPT1	1146.7168
ANGPT2	223.0278	ANGPT2	347.4692
removed	removed	ANGPT4	54.0356
ANGPTL1	48.4339	ANGPTL1	442.2025
ANGPTL2	1832.6566	ANGPTL2	7194.5964
ANGPTL4	41.4733	ANGPTL4	2213.4063
removed	removed	ANGPTL5	16.4159
removed	removed	ANGPTL7	211.6963
ANG	425.8904	ANG	690.7627
ANK1	13.9211	ANK1	28.3858
ANK2	175.174	ANK2	1156.9767
ANK3	262.471	ANK3	1243.1601
ANKAR	20.3016	ANKAR	41.3817
ANKDD1A	51.3341	ANKDD1A	247.948
ANKFY1	1362.239	ANKFY1	2231.1902
ANKHD1-EIF4EBP3	1148.4484	ANKHD1-EIF4EBP3	858.3789
ANKHD1	5324.1647	ANKHD1	2474.6614
ANKH	1649.0719	ANKH	2205.8824
ANKIB1	2465.1972	ANKIB1	1560.8755
removed	removed	ANKK1	20.5198
ANKLE1	7.9118	ANKLE1	7.1819
ANKLE2	2812.355	ANKLE2	1716.8263
ANKMY1	359.6288	ANKMY1	199.7264
ANKMY2	457.9466	ANKMY2	692.5445
ANKRA2	121.2297	ANKRA2	438.0985
ANKRD10	533.4426	ANKRD10	1309.1655
removed	removed	ANKRD11	1624.7743
ANKRD12	1450.9861	ANKRD12	1852.2572
ANKRD13A	1234.0487	ANKRD13A	1354.3092
ANKRD13B	81.7865	ANKRD13B	59.5075
ANKRD13C	864.2691	ANKRD13C	727.0862
ANKRD13D	551.6241	ANKRD13D	277.3598
ANKRD16	237.7929	ANKRD16	136.7134
ANKRD17	4160.0928	ANKRD17	2694.2544
ANKRD19	17.6914	ANKRD19	17.7839
ANKRD1	7.2506	removed	removed
removed	removed	ANKRD20A3	14.0219
removed	removed	ANKRD20B	8.5499
ANKRD22	187.645	ANKRD22	35.5677
ANKRD23	22.0418	ANKRD23	18.1259
removed	removed	ANKRD24	12.9959
ANKRD26	579.4664	ANKRD26	227.4282
ANKRD27	1052.2042	ANKRD27	753.762
ANKRD28	2342.8074	ANKRD28	1544.1176
ANKRD29	12.761	ANKRD29	339.2613
ANKRD30A	1296.1137	ANKRD30A	631.3269
ANKRD30B	41.1833	ANKRD30B	34.5417
ANKRD32	250.8701	ANKRD32	156.2927
ANKRD34A	13.6311	ANKRD34A	13.6799
ANKRD35	23.2019	ANKRD35	107.0451
ANKRD36BP1	72.2158	ANKRD36BP1	137.1409
ANKRD36B	36.8329	ANKRD36B	28.0438
ANKRD36	145.0116	ANKRD36	262.9959
ANKRD37	83.1148	ANKRD37	218.632
ANKRD39	195.1856	ANKRD39	100.2052
ANKRD40	805.9745	ANKRD40	3451.4364
ANKRD42	572.7958	ANKRD42	300.2736
ANKRD43	60.3248	ANKRD43	142.9549
ANKRD44	131.0905	ANKRD44	85.8413
ANKRD46	1139.0168	ANKRD46	771.5458
ANKRD49	315.5452	ANKRD49	376.539
ANKRD50	952.1462	ANKRD50	1124.487
ANKRD52	2092.8074	ANKRD52	851.2312
removed	removed	ANKRD53	130.301
ANKRD54	432.1346	ANKRD54	290.6977
ANKRD55	28.1323	ANKRD55	5.814
ANKRD56	49.0139	ANKRD56	77.2914
ANKRD57	274.942	ANKRD57	792.0657
ANKRD58	11.3109	removed	removed
ANKRD5	192.5754	ANKRD5	317.0315
ANKRD6	81.3921	ANKRD6	248.7483
ANKRD9	30.1624	ANKRD9	45.8276
ANKS1A	1407.1926	ANKS1A	1230.1642
ANKS1B	174.3039	ANKS1B	71.4774
ANKS3	218.6775	ANKS3	125.171
ANKS6	34.5128	ANKS6	306.7715
ANKZF1	715.1972	ANKZF1	399.7948
ANLN	1132.5406	ANLN	24.6238
ANO10	770.5916	ANO10	1104.9932
ANO1	752.9002	ANO1	3675.7866
ANO2	6.9606	ANO2	73.1874
removed	removed	ANO3	54.0356
ANO5	7.5406	ANO5	110.4651
ANO6	2519.7216	ANO6	9924.0766
