gene_id	TCGA-BH-A18M-01A-11R-A12D-07	gene_id	TCGA-BH-A18M-11A-33R-A12D-07
AGFG2	372.8218	AGFG2	546.0555
AGGF1	1241.5151	AGGF1	953.2834
AGK	501.0138	AGK	444.2486
AGL	14063.2805	AGL	1408.1093
AGMAT	20.9368	AGMAT	10.5773
AGPAT1	2197.1658	AGPAT1	1701.9877
AGPAT2	1014.8835	AGPAT2	3297.4879
AGPAT3	2341.615	AGPAT3	2003.0851
AGPAT4	202.7563	AGPAT4	341.5602
AGPAT5	771.7228	AGPAT5	611.7232
AGPAT6	1288.531	AGPAT6	1764.654
AGPAT9	61.7084	AGPAT9	147.2014
AGPHD1	36.7312	AGPHD1	48.0388
AGPS	1265.3904	AGPS	1053.7682
AGR2	5743.6602	AGR2	2419.1274
AGR3	1903.7789	AGR3	789.3345
AGRN	6842.6582	AGRN	3722.7854
AGTPBP1	227.3662	AGTPBP1	367.1221
AGTR1	346.7427	AGTR1	378.1401
AGTRAP	1075.8573	AGTRAP	627.5892
AGT	806.9848	AGT	345.5267
AGXT2L2	241.7391	AGXT2L2	482.2697
removed	removed	AGXT	7.4923
AHCTF1	2493.6822	AHCTF1	1770.3834
AHCYL1	4254.2094	AHCYL1	3888.4971
AHCYL2	481.1789	AHCYL2	578.2283
AHCY	4260.821	AHCY	2110.6214
AHDC1	954.6443	AHDC1	937.8581
AHI1	372.8218	AHI1	461.4368
AHNAK2	1826.6434	AHNAK2	1619.6562
AHNAK	63445.4615	AHNAK	104773.4685
AHRR	140.6806	AHRR	36.1393
AHR	3002.0423	AHR	4246.364
AHSA1	1745.1001	AHSA1	1389.1582
AHSA2	260.7916	AHSA2	634.2001
AIDA	1285.4273	AIDA	1209.3698
AIF1L	729.8493	AIF1L	1433.6712
AIF1	276.2187	AIF1	335.39
AIFM1	946.1961	AIFM1	725.4297
AIFM2	425.7148	AIFM2	1379.903
removed	removed	AIFM3	7.4923
AIG1	793.7616	AIG1	699.8678
AIM1L	9.5501	removed	removed
AIM1	1492.7566	AIM1	2616.1305
removed	removed	AIM2	7.0516
AIMP1	1143.2628	AIMP1	865.5355
AIMP2	471.6766	AIMP2	244.1075
AIP	716.2587	AIP	742.6179
removed	removed	AJAP1	16.7475
AK1	478.2404	AK1	509.9163
AK2	2566.41	AK2	1834.2662
AK3L1	276.9534	AK3L1	445.5707
AK3	976.683	AK3	1840.0176
AK5	156.8423	AK5	903.9224
AK7	22.406	AK7	41.4279
AKAP10	633.2462	AKAP10	598.0608
AKAP11	1882.1075	AKAP11	2258.7043
AKAP12	1652.9047	AKAP12	4953.7241
AKAP13	3619.1267	AKAP13	4262.6708
AKAP1	1903.4116	AKAP1	2383.8695
AKAP2	715.3074	AKAP2	2058.0035
AKAP3	48.1179	AKAP3	50.2424
AKAP5	288.34	AKAP5	88.5853
AKAP6	69.0547	AKAP6	192.1551
AKAP7	176.6771	AKAP7	243.279
AKAP8L	580.7205	AKAP8L	739.0921
AKAP8	621.1249	AKAP8	612.1639
AKAP9	3973.9502	AKAP9	2677.8316
AKD1	216.3469	AKD1	166.1525
AKIRIN1	1293.3061	AKIRIN1	1593.6536
AKIRIN2	768.7843	AKIRIN2	746.5844
