gene_id	TCGA-BH-A18M-01A-11R-A12D-07	gene_id	TCGA-BH-A18M-11A-33R-A12D-07
MFAP4	2490.0091	MFAP4	4192.5959
MFAP5	1348.7702	MFAP5	2073.16
MFF	1010.8431	MFF	976.201
MFGE8	1883.9441	MFGE8	3335.39
MFHAS1	274.3822	MFHAS1	263.9929
MFI2	142.5171	MFI2	165.7118
MFN1	833.4313	MFN1	797.7082
MFN2	3186.0656	MFN2	2950.639
MFNG	186.5946	MFNG	486.558
MFRP	570.8031	MFRP	495.3724
MFSD10	1043.5338	MFSD10	609.0789
MFSD11	435.4559	MFSD11	465.8925
MFSD1	1492.7566	MFSD1	1491.4059
MFSD2A	52.5256	MFSD2A	43.6316
MFSD2B	16.1617	removed	removed
MFSD3	621.4922	MFSD3	116.3508
MFSD4	44.4448	MFSD4	159.1009
MFSD5	665.5696	MFSD5	491.8466
MFSD6L	60.2392	MFSD6L	19.3918
MFSD6	1313.8756	MFSD6	1277.2146
MFSD7	377.0423	MFSD7	169.1406
MFSD8	279.8919	MFSD8	338.0344
MFSD9	150.2307	MFSD9	170.5597
MGAM	12.1213	MGAM	45.3944
MGAT1	2933.7222	MGAT1	3093.4332
MGAT2	674.3851	MGAT2	644.3367
MGAT3	80.8087	MGAT3	332.305
MGAT4A	1567.321	MGAT4A	1287.792
MGAT4B	1787.7083	MGAT4B	1130.4539
MGAT5B	8.8155	MGAT5B	23.799
MGAT5	275.4841	MGAT5	340.6787
MGA	1612.1331	MGA	1525.7823
MGC12916	9.5501	removed	removed
MGC12982	27.9157	MGC12982	29.0877
removed	removed	MGC14436	7.0516
MGC16121	25.7119	MGC16121	26.0026
MGC16142	9.9174	MGC16142	15.866
MGC16275	26.0792	MGC16275	38.3429
MGC16384	9.5501	MGC16384	11.4588
MGC21881	120.4784	MGC21881	139.7091
MGC23270	54.7295	MGC23270	49.361
MGC23284	26.8138	MGC23284	25.5619
MGC2752	620.7575	MGC2752	641.2517
MGC29506	88.1549	MGC29506	99.1626
MGC3771	20.9992	MGC3771	12.1111
MGC42105	6.2443	MGC42105	7.933
MGC45800	32.6908	MGC45800	54.2089
MGC57346	151.3326	MGC57346	196.8444
MGC70857	424.2455	MGC70857	268.4002
MGC72080	41.6642	MGC72080	34.0414
MGC87042	15.4271	MGC87042	32.1728
MGEA5	4237.313	MGEA5	4164.8303
MGLL	982.9273	MGLL	8223.0057
MGMT	410.655	MGMT	368.4442
MGP	48210.0879	MGP	40366.2406
MGRN1	2155.3877	MGRN1	1311.591
MGST1	3128.3976	MGST1	5726.3112
MGST2	545.8259	MGST2	569.8546
MGST3	1082.4689	MGST3	1387.8361
MIA3	3304.3402	MIA3	2468.4883
MIAT	65.3816	MIAT	97.2719
MIA	44.5256	MIA	186.937
MIB1	2048.1326	MIB1	2090.7889
MIB2	254.9146	MIB2	327.8978
MICAL1	336.4579	MICAL1	359.1891
MICAL2	4080.8381	MICAL2	1664.61
MICAL3	654.9176	MICAL3	1616.5712
MICALCL	317.3577	MICALCL	107.9771
MICALL1	494.0349	MICALL1	840.4584
MICALL2	447.7535	MICALL2	290.877
MICA	239.8548	MICA	226.0908
MICB	292.3805	MICB	130.0132
MID1IP1	676.9563	MID1IP1	452.1816
MID1	501.3811	MID1	716.6152
MID2	667.7735	MID2	900.8374
MIDN	1962.1815	MIDN	2714.4116
MIER1	1422.2327	MIER1	1342.8823
MIER2	402.5741	MIER2	374.1736
MIER3	904.3225	MIER3	683.561
MIF4GD	475.1109	MIF4GD	349.0524
MIF	1965.3882	MIF	842.4945
MIIP	216.7142	MIIP	258.2636
MINA	511.9817	MINA	736.8444
MINK1	1966.4277	MINK1	2357.7743
MINPP1	526.7256	MINPP1	425.7382
MIOS	747.4802	MIOS	620.5377
MIPEP	895.1397	MIPEP	380.7845
MIPOL1	184.0234	MIPOL1	100.4848
MIR155HG	7.7136	MIR155HG	9.2552
MIR17HG	12.4886	MIR17HG	55.9718
MIS12	441.5092	MIS12	497.1353
MITD1	171.9021	MITD1	180.2556
MITF	363.2717	MITF	773.9092
MKI67IP	819.8113	MKI67IP	583.0762
MKI67	1698.4514	MKI67	401.4985
MKKS	723.6049	MKKS	730.2777
MKL1	934.0748	MKL1	1160.8638
MKL2	3492.7713	MKL2	3685.7647
MKLN1	1755.0175	MKLN1	2240.1939
MKNK1	528.1949	MKNK1	559.3037
MKNK2	4022.4354	MKNK2	3345.9674
MKRN1	2612.3241	MKRN1	2465.4033
MKRN2	674.0178	MKRN2	760.2468
MKRN3	32.6908	MKRN3	18.5104
MKS1	285.4015	MKS1	305.4209
MKX	27.1811	MKX	28.2063
MLC1	6.6116	MLC1	16.3067
MLEC	6910.9782	MLEC	5941.3839
MLF1IP	444.7305	MLF1IP	145.3592
MLF1	388.6163	MLF1	365.3592
MLF2	2838.9557	MLF2	2414.2794
MLH1	897.7109	MLH1	599.383
MLH3	636.9193	MLH3	584.3984
MLKL	119.0091	MLKL	233.1424
MLL2	3003.405	MLL2	3604.3235
MLL3	3275.6898	MLL3	3479.0657
MLL4	1184.5817	MLL4	1154.6937
MLL5	2578.0391	MLL5	2874.0723
MLLT10	638.7558	MLLT10	833.4068
MLLT11	100.6435	MLLT11	174.5262
MLLT1	1759.0579	MLLT1	1697.2234
MLLT3	431.5918	MLLT3	339.3565
MLLT4	2510.9459	MLLT4	3137.0648
MLLT6	3280.4649	MLLT6	4836.4918
MLL	1812.6855	MLL	3401.9392
MLPH	5670.1978	MLPH	3802.5562
MLST8	971.0999	MLST8	518.2063
MLXIPL	42.2409	MLXIPL	446.0115
MLXIP	821.31	MLXIP	1319.9647
MLX	956.6021	MLX	1009.1847
MLYCD	191.7369	MLYCD	425.2975
MMAA	297.5228	MMAA	271.0445
MMAB	584.0263	MMAB	562.3623
MMACHC	234.3452	MMACHC	144.5571
MMADHC	1995.6069	MMADHC	1578.2283
MMD	527.0929	MMD	2016.3067
MMEL1	25.2343	MMEL1	8.3914
MME	642.0616	MME	6044.0723
MMGT1	642.0616	MMGT1	1017.6289
MMP10	44.0775	MMP10	6.1701
MMP11	12167.5825	MMP11	1342.8823
removed	removed	MMP12	5.7294
MMP13	240.9568	MMP13	33.9357
MMP14	12726.2643	MMP14	8069.6342
MMP15	612.3094	MMP15	656.2362
MMP16	251.2415	MMP16	271.926
MMP17	222.5912	MMP17	104.892
MMP19	405.1453	MMP19	752.3138
MMP1	36.7312	removed	removed
MMP23B	98.0723	MMP23B	108.8585
MMP24	170.4328	MMP24	395.3283
MMP25	18.4574	MMP25	73.8651
removed	removed	MMP27	7.4923
MMP28	89.2569	MMP28	308.5059
MMP2	15830.4193	MMP2	23253.8563
MMP3	247.9357	MMP3	105.3327
MMP7	608.6362	MMP7	1133.9797
MMP9	116.438	MMP9	136.1833
MMRN1	555.7433	MMRN1	2301.8951
MMRN2	1043.1665	MMRN2	3100.9255
MMS19	1410.1114	MMS19	1056.8532
MN1	271.0764	MN1	321.7276
MNAT1	266.3013	MNAT1	227.413
MND1	28.6503	MND1	7.0516
MNDA	198.3486	MNDA	262.6708
MNS1	204.5929	MNS1	93.874
MNT	584.0263	MNT	572.0582
MOAP1	894.0378	MOAP1	841.7805
MOB2	657.4888	MOB2	635.963
MOBKL1A	848.8584	MOBKL1A	879.6827
MOBKL1B	978.1523	MOBKL1B	766.8576
MOBKL2A	1136.0965	MOBKL2A	1136.1833
MOBKL2B	341.233	MOBKL2B	707.3601
MOBKL2C	400.0029	MOBKL2C	760.2204
MOBKL3	898.0782	MOBKL3	1014.1031
MOCOS	300.8287	MOCOS	177.6113
MOCS1	466.0053	MOCS1	1238.9907
MOCS2	1206.2531	MOCS2	707.3601
MOCS3	193.5735	MOCS3	145.8792
MOGAT2	35.6293	MOGAT2	16.7475
MOGS	1090.5498	MOGS	947.1133
MON1A	193.9408	MON1A	165.7118
MON1B	553.1721	MON1B	736.8885
MON2	1206.6204	MON2	1672.1022
MORC2	883.3857	MORC2	899.0745
MORC3	963.4598	MORC3	1183.7814
MORC4	616.3498	MORC4	682.2389
MORF4L1	3899.7532	MORF4L1	3948.8762
MORF4L2	6104.728	MORF4L2	4096.0776
MORF4	7.3462	removed	removed
MORN1	114.6014	MORN1	94.7554
MORN2	202.7563	MORN2	166.5932
MORN3	18.3656	MORN3	11.8995
MORN4	172.6367	MORN4	215.5134
MOSC1	283.565	MOSC1	1781.8422
MOSC2	333.5194	MOSC2	336.7122
MOSPD1	226.9989	MOSPD1	245.4826
MOSPD2	282.8304	MOSPD2	359.1891
MOSPD3	280.9938	MOSPD3	204.9361
removed	removed	MOV10L1	7.0516
MOV10	1339.2201	MOV10	867.3424
MOXD1	103.2147	MOXD1	93.4332
MPDU1	1562.1823	MPDU1	784.9317
MPDZ	1343.6279	MPDZ	1920.2292
MPEG1	927.0959	MPEG1	1621.4191
MPG	788.9865	MPG	486.1172
MPHOSPH10	802.9444	MPHOSPH10	751.4323
MPHOSPH6	207.8987	MPHOSPH6	219.4799
MPHOSPH8	1080.9997	MPHOSPH8	1438.9599
MPHOSPH9	269.6071	MPHOSPH9	159.9824
MPI	795.2308	MPI	521.3751
MPL	9.5501	MPL	42.3094
MPND	380.5354	MPND	241.5161
removed	removed	MPO	9.6959
MPP1	240.9568	MPP1	475.5399
MPP2	540.6835	MPP2	263.9929
MPP3	90.7261	MPP3	71.3971
MPP5	1056.3898	MPP5	942.2653
MPP6	27.9157	MPP6	92.9925
MPP7	655.2849	MPP7	731.5998
MPPE1	741.9706	MPPE1	661.0842
removed	removed	MPPED1	16.3067
MPPED2	31.2215	MPPED2	115.4694
MPRIP	2113.8815	MPRIP	2915.8219
MPST	344.1715	MPST	499.3389
MPV17L2	297.5228	MPV17L2	181.5778
MPV17L	260.4243	MPV17L	112.3843
MPV17	651.9791	MPV17	566.7695
MPZL1	3684.8756	MPZL1	4219.9207
MPZL2	423.1436	MPZL2	792.8603
MPZL3	29.385	MPZL3	59.9383
removed	removed	MPZ	62.1419
MR1	296.7882	MR1	183.3407
MRAP2	27.9157	MRAP2	68.312
MRAP	30.0094	MRAP	334.6937
MRAS	731.6858	MRAS	2880.5641
MRC1	286.5035	MRC1	1057.294
MRC2	4297.1849	MRC2	4313.7946
MRE11A	713.3202	MRE11A	690.6126
MREG	1282.2537	MREG	670.3217
MRFAP1L1	1379.6245	MRFAP1L1	1338.9158
MRFAP1	6043.0196	MRFAP1	5305.8616
MRGPRF	189.9004	MRGPRF	451.7409
removed	removed	MRGPRX2	7.0516
MRGPRX3	7.7136	MRGPRX3	18.0696
MRI1	403.3087	MRI1	385.6324
MRM1	65.7489	MRM1	64.3455
MRO	38.9351	MRO	89.9074
MRP63	497.0174	MRP63	410.7536
MRPL10	979.9888	MRPL10	705.1565
MRPL11	614.1459	MRPL11	420.8903
MRPL12	625.8999	MRPL12	378.1401
MRPL13	915.3419	MRPL13	398.4134
MRPL14	556.1106	MRPL14	388.7175
MRPL15	607.9016	MRPL15	505.9498
MRPL16	739.3994	MRPL16	572.9396
MRPL17	1345.8317	MRPL17	567.2102
MRPL18	786.048	MRPL18	543.8519
MRPL19	1365.2993	MRPL19	1046.7166
MRPL1	387.5143	MRPL1	285.1476
MRPL20	1045.341	MRPL20	882.7413
MRPL21	513.1351	MRPL21	330.9828
MRPL22	474.9346	MRPL22	294.4028
MRPL23	535.5411	MRPL23	262.2301
MRPL24	911.3015	MRPL24	683.1203
MRPL27	559.4164	MRPL27	465.4033
MRPL28	894.4051	MRPL28	613.0454
MRPL2	354.0889	MRPL2	397.0912
MRPL30	990.4095	MRPL30	767.0868
MRPL32	579.9859	MRPL32	612.6047
MRPL33	381.27	MRPL33	386.9546
MRPL34	430.8572	MRPL34	322.1684
MRPL35	831.5947	MRPL35	654.4733
MRPL36	270.3417	MRPL36	179.8149
MRPL37	1411.2133	MRPL37	924.6364
MRPL38	761.5336	MRPL38	623.0366
MRPL39	378.3315	MRPL39	345.0859
MRPL3	1540.5072	MRPL3	1009.6959
MRPL40	410.2877	MRPL40	422.6532
MRPL41	337.9272	MRPL41	291.7585
MRPL42P5	11.5997	removed	removed
MRPL42	825.3504	MRPL42	492.2874
MRPL43	768.6191	MRPL43	787.197
MRPL44	671.4466	MRPL44	404.1428
MRPL45	884.855	MRPL45	781.4015
MRPL46	307.8076	MRPL46	324.8127
MRPL47	578.5166	MRPL47	391.3618
MRPL48	323.2347	MRPL48	228.2944
MRPL49	2658.2381	MRPL49	1300.1322
MRPL4	688.7103	MRPL4	475.5399
MRPL50	413.9608	MRPL50	381.6659
MRPL51	1305.0601	MRPL51	947.9947
MRPL52	364.3737	MRPL52	238.431
MRPL53	356.6417	MRPL53	234.4645
MRPL54	413.9608	MRPL54	411.6351
MRPL55	467.5884	MRPL55	289.9956
MRPL9	582.7738	MRPL9	639.859
MRPS10	995.7833	MRPS10	677.3909
MRPS11	444.815	MRPS11	382.1067
MRPS12	341.233	MRPS12	213.7506
MRPS14	321.7654	MRPS14	315.9982
MRPS15	889.63	MRPS15	725.8704
MRPS16	1846.4782	MRPS16	1130.0132
MRPS17	189.702	MRPS17	149.6915
MRPS18A	558.3145	MRPS18A	479.5064
MRPS18B	1465.5755	MRPS18B	1085.9409
MRPS18C	253.2213	MRPS18C	247.2543
MRPS21	800.3732	MRPS21	659.762
MRPS22	464.2826	MRPS22	463.6404
MRPS23	732.4204	MRPS23	444.6893
MRPS24	599.0861	MRPS24	552.2257
MRPS25	510.9055	MRPS25	698.8585
MRPS26	569.3338	MRPS26	412.0758
MRPS27	2314.8012	MRPS27	1289.5549
MRPS28	215.491	MRPS28	188.1534
MRPS2	688.2658	MRPS2	616.9899
MRPS30	5697.3789	MRPS30	624.0635
MRPS31	300.094	MRPS31	388.2768
MRPS33	518.6448	MRPS33	398.8541
MRPS34	1072.1842	MRPS34	468.0476
MRPS35	1521.0396	MRPS35	858.528
MRPS36	453.9978	MRPS36	267.9595
MRPS5	473.4654	MRPS5	554.4293
MRPS6	497.741	MRPS6	461.1238
MRPS7	1041.521	MRPS7	801.234
MRPS9	553.9067	MRPS9	409.4315
MRRF	681.7314	MRRF	412.0758
MRS2	855.47	MRS2	569.4138
MRTO4	744.5417	MRTO4	619.6562
MRVI1	774.294	MRVI1	994.7113
MS4A14	396.6824	MS4A14	101.6395
MS4A1	13.2232	MS4A1	18.5104
MS4A2	112.0302	MS4A2	133.539
MS4A4A	210.8372	MS4A4A	397.532
MS4A6A	715.1568	MS4A6A	882.327
MS4A7	1104.155	MS4A7	820.7933
MSC	172.4494	MSC	119.524
MSH2	932.2383	MSH2	715.7338
MSH3	1200.468	MSH3	643.9401
MSH5	123.7842	MSH5	145.4385
MSH6	1929.8581	MSH6	1410.3129
MSI1	20.5695	MSI1	46.2759
MSI2	468.323	MSI2	264.4337
MSL1	2127.1047	MSL1	2081.093
MSL2	932.6056	MSL2	903.041
MSL3L2	114.2341	MSL3L2	77.5672
MSL3	571.1704	MSL3	624.5042
removed	removed	MSLN	7.0516
MSMP	40.7716	MSMP	48.4795
MSN	6335.4001	MSN	9533.7153
MSR1	809.9233	MSR1	561.4808
MSRA	119.3765	MSRA	216.3949
MSRB2	664.835	MSRB2	490.0837
MSRB3	1539.0379	MSRB3	2608.6382
MST1P2	35.6293	MST1P2	116.7915
MST1P9	16.1617	MST1P9	79.3301
MST1R	449.5901	MST1R	285.1476
MST1	55.0968	MST1	107.5364
MST4	603.8612	MST4	230.0573
MSTN	6.9789	MSTN	10.5773
MSTO1	627.3692	MSTO1	673.6977
MSTO2P	68.0372	MSTO2P	132.4063
MSX1	55.0968	MSX1	120.758
MSX2	131.1304	MSX2	198.766
MT1A	7.7136	MT1A	28.647
MT1E	630.3077	MT1E	644.7774
MT1F	90.7261	MT1F	77.5672
MT1G	249.7723	MT1G	46.2759
MT1L	27.1811	MT1L	53.3275
MT1M	28.283	MT1M	114.1472
MT1X	772.0902	MT1X	1646.981
MT2A	2080.4561	MT2A	1848.3914
MTA1	751.5207	MTA1	890.26
MTA2	3175.0463	MTA2	1988.1005
MTA3	1498.6336	MTA3	984.5747
MTAP	611.2074	MTAP	608.6382
MTBP	174.4733	MTBP	100.9255
MTCH1	2809.938	MTCH1	2978.8453
MTCH2	2537.0251	MTCH2	1277.2146
MTCP1NB	175.8911	MTCP1NB	206.6505
MTCP1	28.3345	MTCP1	22.9661
MTDH	3308.3806	MTDH	2755.8396
MTERFD1	311.848	MTERFD1	290.4363
MTERFD2	348.5792	MTERFD2	402.3799
MTERFD3	355.1909	MTERFD3	494.491
MTERF	204.2256	MTERF	160.4231
MTF1	771.7228	MTF1	905.6853
MTF2	502.483	MTF2	544.2926
MTFMT	190.2677	MTFMT	196.5624
MTFR1	396.3555	MTFR1	287.792
MTG1	293.4824	MTG1	335.8308
MTHFD1L	252.3435	MTHFD1L	245.9233
MTHFD1	1564.4853	MTHFD1	1876.7475
MTHFD2L	154.2087	MTHFD2L	177.6113
MTHFD2	1484.6757	MTHFD2	881.8863
MTHFR	851.4296	MTHFR	1010.3614
MTHFSD	198.3486	MTHFSD	287.3513
MTHFS	330.2136	MTHFS	266.1966
MTIF2	828.6562	MTIF2	636.4037
MTIF3	665.9369	MTIF3	846.1877
MTL5	918.2804	MTL5	230.498
MTM1	377.5969	MTM1	439.4006
MTMR10	728.2808	MTMR10	1275.2138
MTMR11	411.7569	MTMR11	323.0498
MTMR12	1503.776	MTMR12	1694.1384
MTMR14	716.2587	MTMR14	734.2442
MTMR15	733.2542	MTMR15	752.1111
MTMR1	1015.9854	MTMR1	725.4297
MTMR2	1043.9011	MTMR2	885.4121
MTMR3	1217.6398	MTMR3	2000.4407
MTMR4	1144.5447	MTMR4	1028.647
MTMR6	859.8778	MTMR6	895.5487
MTMR7	105.7565	MTMR7	67.1617
removed	removed	MTMR8	9.6959
MTMR9L	57.3007	MTMR9L	150.2865
MTMR9	427.9076	MTMR9	553.5037
MTO1	382.372	MTO1	413.8387
MTOR	2013.9726	MTOR	1793.301
MTP18	158.7707	MTP18	124.4601
MTPAP	496.9733	MTPAP	420.1322
MTRF1L	247.5684	MTRF1L	285.1476
MTRF1	107.9898	MTRF1	115.9101
MTRR	993.9467	MTRR	670.3394
MTR	1727.8364	MTR	1853.68
MTSS1L	773.1921	MTSS1L	1012.781
MTSS1	985.8658	MTSS1	1092.9925
MTUS1	3229.0412	MTUS1	3636.4037
MTUS2	11.0194	MTUS2	15.4253
MTX1	394.8459	MTX1	399.2948
MTX2	661.1619	MTX2	451.3001
MTX3	902.486	MTX3	730.2777
MUC15	46.2813	MUC15	188.6294
MUC16	33.7927	MUC16	113.2658
MUC1	7921.0867	MUC1	2286.4698
MUC20	89.2569	MUC20	161.3045
removed	removed	MUC4	11.0181
MUC5B	99.5416	MUC5B	129.1318
MUC6	5.5097	MUC6	90.7889
MUCL1	126.3554	MUCL1	3434.1119
MUDENG	823.8812	MUDENG	774.7907
MUL1	690.5469	MUL1	750.5509
MUM1L1	168.5963	MUM1L1	247.6862
MUM1	1130.2195	MUM1	1198.3253
MURC	9.1828	MURC	6.1701
MUS81	600.9227	MUS81	487.4394
MUSTN1	19.7834	MUSTN1	102.8074
MUTED	352.2524	MUTED	363.1556
MUTYH	102.3736	MUTYH	101.6263
MUT	543.9893	MUT	896.8709
MVD	255.6493	MVD	227.413
MVK	354.4562	MVK	319.9647
MVP	5027.0342	MVP	3042.7501
MX1	6181.4963	MX1	1938.2988
MX2	786.4153	MX2	679.5945
MXD1	393.024	MXD1	846.6285
MXD3	118.3259	MXD3	79.9207
MXD4	1809.747	MXD4	2014.1031
MXI1	532.9699	MXI1	1419.1274
MXRA5	13777.5117	MXRA5	6731.5998
MXRA7	2589.918	MXRA7	4996.9149
MXRA8	2932.2529	MXRA8	3518.7307
MYADM	4714.0842	MYADM	10617.8933
MYBBP1A	1275.4474	MYBBP1A	1124.1208
MYBL1	99.9089	MYBL1	100.9255
MYBL2	392.2894	MYBL2	99.1626
MYBPC1	72.7278	MYBPC1	1192.5959
MYB	2681.3787	MYB	1092.9925
MYCBP2	2047.7653	MYCBP2	3395.7691
MYCBPAP	11.3867	MYCBPAP	11.0181
MYCBP	881.5492	MYCBP	551.3442
MYCL1	135.5382	MYCL1	91.2296
MYCN	7.3462	MYCN	21.5954
MYCT1	330.9483	MYCT1	1026.0026
MYC	2210.8519	MYC	3473.777
MYD88	1522.8762	MYD88	1005.7294
MYEF2	625.4591	MYEF2	320.6567
MYEOV2	586.9648	MYEOV2	420.4495
MYEOV	20.2022	MYEOV	198.766
MYH10	3197.8196	MYH10	3587.4835
MYH11	2531.5337	MYH11	13853.896
MYH14	2065.0289	MYH14	1885.8528
MYH1	6.9789	MYH1	154.6937
removed	removed	MYH2	7.0516
MYH3	17.9983	MYH3	73.16
MYH7B	7.7136	MYH7B	40.9872
MYH9	29155.7697	MYH9	37658.8806
MYL12A	5396.9175	MYL12A	6026.8841
MYL12B	6937.0574	MYL12B	5690.1719
removed	removed	MYL3	7.0516
MYL5	89.6352	MYL5	127.0251
MYL6B	422.7763	MYL6B	446.0115
MYL6	12366.2984	MYL6	14645.2182
MYL9	6485.9981	MYL9	11143.2349
MYLIP	926.3613	MYLIP	1495.3724
MYLK3	7.3462	MYLK3	12.3402
MYLK4	24.6099	MYLK4	73.16
MYLK	3184.2217	MYLK	8171.8599
MYNN	494.7695	MYNN	603.3495
MYO10	1871.0881	MYO10	1228.2944
MYO15A	17.9983	MYO15A	14.1031
MYO15B	284.2996	MYO15B	1028.647
MYO16	459.1402	MYO16	94.3147
MYO18A	1488.1615	MYO18A	1971.1679
MYO18B	5.1424	removed	removed
MYO19	652.2325	MYO19	388.3914
MYO1B	2055.8461	MYO1B	2745.2622
MYO1C	7949.0024	MYO1C	9005.2887
MYO1D	2980.0035	MYO1D	1777.435
MYO1E	1137.1984	MYO1E	1348.171
MYO1F	295.319	MYO1F	362.2741
MYO1G	93.2973	MYO1G	96.0776
removed	removed	MYO1H	14.9846
MYO3A	8.4482	MYO3A	7.0516
MYO3B	13.2232	MYO3B	8.8145
MYO5A	780.171	MYO5A	1408.1093
MYO5B	1899.3712	MYO5B	1060.379
MYO5C	1852.9135	MYO5C	1873.1115
MYO6	5995.6363	MYO6	3072.2785
MYO7A	97.3377	MYO7A	168.7968
removed	removed	MYO7B	15.4253
MYO9A	1006.4353	MYO9A	1133.0983
MYO9B	2012.136	MYO9B	1726.3112
MYOCD	13.9579	MYOCD	72.7193
removed	removed	MYOC	33.9357
MYOF	7626.8696	MYOF	7223.8872
MYOM1	58.4026	MYOM1	568.9731
MYOM2	31.9562	MYOM2	120.758
MYOM3	26.8138	MYOM3	60.379
MYOZ1	34.16	MYOZ1	22.4769
MYOZ3	37.4658	MYOZ3	29.0877
MYPOP	128.5593	MYPOP	111.9436
MYRIP	177.4118	MYRIP	438.5192
MYSM1	211.9391	MYSM1	232.7016
MYST1	681.7314	MYST1	638.6073
MYST2	1337.7509	MYST2	1270.1631
MYST3	2086.333	MYST3	2640.8109
MYST4	1387.338	MYST4	1466.2847
MZF1	228.1633	MZF1	270.1014
N4BP1	1952.6314	N4BP1	1632.4372
N4BP2L1	272.9129	N4BP2L1	622.7413
N4BP2L2	1179.8066	N4BP2L2	1726.3112
N4BP2	401.4722	N4BP2	378.1401
N4BP3	852.8988	N4BP3	393.1247
N6AMT1	344.9061	N6AMT1	337.1529
N6AMT2	145.4556	N6AMT2	144.5571
NAA10	581.4551	NAA10	498.8982
NAA15	1550.7919	NAA15	962.9793
NAA16	228.1008	NAA16	325.6941
NAA20	922.6881	NAA20	710.0044
NAA25	635.8173	NAA25	624.5042
NAA30	630.3077	NAA30	684.0018
NAA35	613.044	NAA35	443.8078
NAA38	377.9642	NAA38	338.9158
NAA40	818.0042	NAA40	423.5346
NAA50	3065.2199	NAA50	2565.4473
NAAA	538.4796	NAAA	534.156
NAALAD2	13.5905	NAALAD2	71.3971
NAALADL1	51.791	NAALADL1	100.9255
NAALADL2	420.5724	NAALADL2	324.372
NAB1	1006.8026	NAB1	1834.2882
NAB2	647.9386	NAB2	752.7545
NACA2	23.508	NACA2	29.9691
NACAD	110.1936	NACAD	257.8228
NACAP1	105.4186	NACAP1	75.8043
NACA	13169.6101	NACA	12391.8026
NACC1	1886.1479	NACC1	897.3116
NACC2	46.2813	NACC2	66.1084
NADK	1245.1882	NADK	1280.2997
NADSYN1	820.9427	NADSYN1	691.9348
NAE1	518.2775	NAE1	687.5275
NAF1	233.2432	NAF1	228.2944
NAGA	994.6813	NAGA	769.0613
NAGK	792.6596	NAGK	894.2265
NAGLU	723.6049	NAGLU	829.4403
NAGPA	167.9865	NAGPA	171.4412
NAGS	42.9755	NAGS	45.8352
NAIF1	178.881	NAIF1	172.7633
NAIP	76.0336	NAIP	100.9255
NALCN	52.5256	NALCN	55.5311
NAMPT	1519.9377	NAMPT	3322.6091
NANOS1	113.4995	NANOS1	220.8021
NANOS3	5.877	removed	removed
NANP	160.5154	NANP	139.2684
NANS	1210.6609	NANS	643.0145
NAP1L1	6802.6211	NAP1L1	6289.1141
NAP1L2	34.5273	NAP1L2	155.5751
NAP1L3	93.6646	NAP1L3	121.1988
NAP1L4	3809.3944	NAP1L4	2397.532
NAP1L5	116.438	NAP1L5	241.0754
NAPA	3456.2972	NAPA	2573.4729
NAPB	231.0393	NAPB	278.9775
NAPEPLD	516.5144	NAPEPLD	461.5073
NAPG	617.0844	NAPG	576.4654
NAPRT1	1157.0333	NAPRT1	495.3724
NAPSA	5.877	NAPSA	7.4923
NAPSB	176.6771	NAPSB	88.5853
NARFL	536.6431	NARFL	416.9238
NARF	443.3458	NARF	559.7179
NARG2	1435.4559	NARG2	1214.632
NARS2	420.9397	NARS2	320.4055
NARS	3241.1625	NARS	2628.4707
NASP	1558.5055	NASP	1801.234
NAT10	1446.8426	NAT10	900.8374
NAT14	276.5861	NAT14	132.2168
NAT15	1659.149	NAT15	1119.8766
NAT1	1582.0135	NAT1	271.926
NAT2	20.2022	NAT2	6.1701
NAT6	150.8184	NAT6	146.4301
NAT8L	58.0353	NAT8L	525.7823
NAT9	344.1715	NAT9	360.952
NAV1	1595.9713	NAV1	1589.6871
NAV2	1258.7273	NAV2	1739.3962
NAV3	203.1236	NAV3	430.1454
NBAS	1229.3938	NBAS	1342.8823
NBEAL1	280.6265	NBEAL1	453.063
NBEAL2	1414.8864	NBEAL2	1224.3279
NBEA	563.0895	NBEA	482.5914
NBL1	3931.342	NBL1	4615.227
NBLA00301	19.4675	NBLA00301	54.2089
NBN	2180.7323	NBN	1560.1587
NBPF10	1385.7182	NBPF10	1701.4941
NBPF14	308.3916	NBPF14	454.8039
NBPF15	354.2505	NBPF15	315.1388
NBPF16	169.6982	NBPF16	194.7995
NBPF1	954.6443	NBPF1	1096.959
NBPF3	143.2517	NBPF3	143.6756
NBPF4	13.2232	NBPF4	29.5284
removed	removed	NBPF6	10.1366
NBPF9	372.0982	NBPF9	282.9308
NBR1	4488.9219	NBR1	4426.6197
NBR2	173.7387	NBR2	191.7144
NCALD	333.1521	NCALD	617.0119
NCAM1	30.8285	NCAM1	126.84
NCAM2	499.9118	NCAM2	116.7915
NCAPD2	1659.8836	NCAPD2	1280.2997
NCAPD3	505.0542	NCAPD3	497.1353
NCAPG2	533.3373	NCAPG2	350.3746
NCAPG	231.9135	NCAPG	71.4147
NCAPH2	525.2564	NCAPH2	650.5068
NCAPH	201.2871	NCAPH	38.3429
NCBP1	1197.8049	NCBP1	784.9273
NCBP2	1863.0073	NCBP2	1503.7461
NCCRP1	9.1828	NCCRP1	12.781
NCDN	1183.1125	NCDN	648.3032
NCEH1	511.6658	NCEH1	438.5192
NCF1B	9.1828	NCF1B	19.8325
NCF1C	23.508	NCF1C	34.3764
NCF1	74.1971	NCF1	107.0956
NCF2	210.4699	NCF2	311.1503
