gene_id	TCGA-BH-A0E1-01A-11R-A056-07	gene_id	TCGA-BH-A0E1-11A-13R-A089-07
ACVRL1	403.8476	ACVRL1	504.1646
ACY1	895.1956	ACY1	781.4797
removed	removed	ACY3	42.1362
ACYP1	57.4097	ACYP1	56.3449
ACYP2	150.453	ACYP2	227.8295
removed	removed	ADAD2	6.3694
ADAL	176.5844	ADAL	172.4645
ADAM10	1596.7819	ADAM10	1407.6433
removed	removed	ADAM11	13.2288
ADAM12	1758.3209	ADAM12	177.364
ADAM15	10579.4026	ADAM15	2341.0289
ADAM17	562.6152	ADAM17	909.3582
ADAM19	264.0847	ADAM19	27.4375
ADAM22	29.6947	ADAM22	24.9878
ADAM23	32.4662	ADAM23	19.1083
ADAM28	502.8299	ADAM28	52.4253
ADAM29	152.4327	removed	removed
ADAM32	5.543	ADAM32	44.096
ADAM33	22.9639	ADAM33	177.364
ADAM6	5466.0976	ADAM6	91957.5992
ADAM8	617.6493	ADAM8	54.8751
ADAM9	707.1293	ADAM9	989.7109
ADAMDEC1	92.6474	removed	removed
ADAMTS10	54.6382	ADAMTS10	66.144
ADAMTS12	444.6283	ADAMTS12	43.1161
ADAMTS13	24.5476	ADAMTS13	58.7947
ADAMTS14	101.3578	ADAMTS14	5.8795
ADAMTS15	135.8037	ADAMTS15	269.9657
ADAMTS16	12.6697	ADAMTS16	32.3371
ADAMTS17	53.8464	ADAMTS17	35.7668
ADAMTS18	8.3145	ADAMTS18	62.2244
ADAMTS1	627.9435	ADAMTS1	1911.8079
ADAMTS2	403.8476	ADAMTS2	146.4968
ADAMTS3	20.5883	ADAMTS3	43.1161
ADAMTS4	606.5633	ADAMTS4	42.6262
ADAMTS5	106.9008	ADAMTS5	2089.6619
ADAMTS6	36.8214	ADAMTS6	5.3895
ADAMTS7	156.7879	ADAMTS7	31.8471
ADAMTS8	25.3395	ADAMTS8	403.7237
ADAMTS9	473.1352	ADAMTS9	419.4023
ADAMTSL1	158.7676	ADAMTSL1	54.3851
ADAMTSL2	209.4465	ADAMTSL2	32.3371
ADAMTSL3	92.6474	ADAMTSL3	85.2523
ADAMTSL4	259.7295	ADAMTSL4	208.2313
ADAMTSL5	119.9665	ADAMTSL5	36.7467
ADAP1	207.1778	ADAP1	96.7908
ADAP2	135.8037	ADAP2	67.6139
ADARB1	327.8293	ADARB1	549.2406
removed	removed	ADARB2	54.3851
ADAR	13326.9721	ADAR	6046.5458
ADAT1	168.2698	ADAT1	287.6041
ADAT2	19.7965	ADAT2	99.951
ADAT3	57.8056	ADAT3	60.2646
ADA	119.9665	ADA	76.9231
ADCK1	126.3014	ADCK1	117.5894
ADCK2	1055.1509	ADCK2	897.5992
ADCK4	608.147	ADCK4	616.8545
ADCK5	109.6723	ADCK5	109.7501
ADCY1	905.8857	ADCY1	540.9113
ADCY2	10.2942	ADCY2	53.8951
ADCY3	1550.5611	ADCY3	1105.8011
ADCY4	344.4583	ADCY4	244.978
ADCY5	21.3802	ADCY5	375.7962
ADCY6	1627.6644	ADCY6	1563.9392
ADCY7	144.91	ADCY7	275.3552
ADCY9	736.428	ADCY9	706.5164
removed	removed	ADCYAP1R1	6.3694
ADCYAP1	6.3349	removed	removed
ADC	89.084	ADC	122.489
ADD1	4573.7725	ADD1	5884.3704
ADD2	13.8575	ADD2	30.3773
ADD3	586.7669	ADD3	2077.413
removed	removed	ADH1A	15.1886
ADH1B	73.6428	ADH1B	919.6472
removed	removed	ADH1C	78.8829
ADH5	1671.2166	ADH5	3421.852
removed	removed	ADH7	12.7389
ADHFE1	33.654	ADHFE1	126.8986
ADI1	1060.6939	ADI1	983.3415
ADIPOQ	6.3349	ADIPOQ	43.1161
ADIPOR1	6855.1157	ADIPOR1	2902.9887
ADIPOR2	1774.1581	ADIPOR2	2249.3876
ADK	469.1759	ADK	434.1009
ADM2	359.1077	ADM2	64.6742
ADM	53.8464	ADM	127.8785
ADNP2	751.0774	ADNP2	736.8937
ADNP	3323.0326	ADNP	3152.8662
ADORA1	505.6014	ADORA1	905.9285
ADORA2A	139.763	ADORA2A	45.5659
ADORA2B	25.3395	ADORA2B	82.3126
ADORA3	53.4504	ADORA3	94.5615
ADO	623.5883	ADO	721.2151
ADPGK	858.7701	ADPGK	904.4586
ADPRHL1	262.105	ADPRHL1	201.8618
ADPRHL2	577.2646	ADPRHL2	928.4664
ADPRH	180.1477	ADPRH	358.6477
ADRA1B	24.1517	ADRA1B	17.6384
ADRA2A	241.9127	ADRA2A	618.8143
ADRA2B	19.0046	ADRA2B	27.9275
ADRA2C	19.7965	ADRA2C	28.4174
ADRB1	193.2134	removed	removed
ADRB2	33.258	ADRB2	250.8574
ADRBK1	2083.7746	ADRBK1	1340.0294
ADRBK2	843.7248	ADRBK2	961.7834
ADRM1	1381.3965	ADRM1	1199.902
ADSL	921.7228	ADSL	1349.3386
ADSSL1	160.3513	ADSSL1	78.3929
ADSS	2898.2007	ADSS	1382.6556
AEBP1	8834.761	AEBP1	2535.0318
AEBP2	536.8798	AEBP2	810.877
AEN	655.6585	AEN	666.34
AES	6454.0396	AES	7210.681
AFAP1L1	274.3788	AFAP1L1	122.9789
AFAP1L2	456.1103	AFAP1L2	980.4018
AFAP1	893.1764	AFAP1	1515.8942
AFF1	2212.4516	AFF1	1804.0176
AFF2	30.0906	AFF2	27.4375
AFF3	1703.6827	AFF3	1108.7702
AFF4	3460.024	AFF4	3155.806
AFG3L1	82.3532	AFG3L1	224.8898
AFG3L2	1685.5056	AFG3L2	1845.9187
AFMID	394.7413	AFMID	661.9304
AFTPH	2394.5789	AFTPH	1856.9329
AG2	116.7991	AG2	156.2959
AGAP11	8.3145	AGAP11	41.1563
AGAP1	612.8982	AGAP1	517.3934
AGAP2	59.3498	AGAP2	64.0813
AGAP3	1466.5212	AGAP3	1309.6521
AGAP4	55.826	AGAP4	160.7055
AGAP5	20.8298	AGAP5	46.0265
AGAP6	26.9232	AGAP6	67.6139
removed	removed	AGAP8	55.365
AGA	859.1661	AGA	528.6624
