gene_id	TCGA-BH-A1ET-01A-11R-A137-07	gene_id	TCGA-BH-A1ET-11B-23R-A137-07
ALDH3B1	93.8593	ALDH3B1	158.2569
ALDH3B2	2824.1752	ALDH3B2	1052.2426
ALDH4A1	841.72	ALDH4A1	766.3099
ALDH5A1	1273.3437	ALDH5A1	683.2314
ALDH6A1	1473.8905	ALDH6A1	560.4052
ALDH7A1	1803.7781	ALDH7A1	1782.1101
ALDH8A1	12.4859	ALDH8A1	25.4842
ALDH9A1	3826.4894	ALDH9A1	3019.6228
ALDOA	23757.6019	ALDOA	10379.4597
ALDOC	27.7703	ALDOC	459.4801
ALG10B	561.8643	ALG10B	530.3262
ALG10	228.8359	ALG10	164.1182
ALG11	21.3121	ALG11	13.5066
ALG12	322.6952	ALG12	330.2752
ALG13	574.3501	ALG13	541.7941
ALG14	358.2154	ALG14	133.0275
ALG1L	93.4072	ALG1L	9.2125
ALG1	1029.0533	ALG1	349.3323
ALG2	1005.1127	ALG2	783.894
ALG3	670.3622	ALG3	312.4363
ALG5	910.1771	ALG5	491.8451
ALG6	981.2174	ALG6	282.8746
ALG8	1256.7677	ALG8	551.9878
ALG9	755.6106	ALG9	601.1723
ALKBH1	471.6646	ALKBH1	234.9643
ALKBH2	135.4071	ALKBH2	180.9378
ALKBH3	351.5419	ALKBH3	284.1488
ALKBH4	171.9132	ALKBH4	185.9939
ALKBH5	2177.4802	ALKBH5	1974.7859
ALKBH6	51.6657	ALKBH6	67.788
ALKBH7	257.252	ALKBH7	244.1386
ALKBH8	345.299	ALKBH8	343.0173
removed	removed	ALK	13.7615
removed	removed	ALMS1P	10.1937
ALMS1	1312.7388	ALMS1	1120.5403
removed	removed	ALOX12P2	24.4648
removed	removed	ALOX12	6.6769
ALOX15B	36.3812	ALOX15B	256.1162
ALOX15	23.0343	removed	removed
ALOX5AP	403.8534	ALOX5AP	212.2834
ALOX5	1244.2818	ALOX5	599.3884
removed	removed	ALOXE3	6.371
ALPK1	874.6569	ALPK1	775.739
ALPK2	31.6452	ALPK2	7.6453
ALPK3	162.9622	ALPK3	180.4281
ALPL	90.4149	ALPL	750.7645
ALS2CL	74.0541	ALS2CL	478.5933
ALS2CR11	5.5971	ALS2CR11	16.3099
ALS2CR12	5.3818	removed	removed
ALS2CR4	446.6929	ALS2CR4	1405.7085
ALS2CR8	282.2238	ALS2CR8	386.8502
ALS2	753.0273	ALS2	911.315
removed	removed	ALX3	32.3649
