gene_id	TCGA-BH-A1ET-01A-11R-A137-07	gene_id	TCGA-BH-A1ET-11B-23R-A137-07
INO80B	66.6659	INO80B	148.7768
INO80C	145.9555	INO80C	178.6442
INO80D	917.6406	INO80D	1111.6565
INO80E	696.1262	INO80E	485.1453
INO80	1058.7159	INO80	1178.1346
INPP1	239.5996	INPP1	457.6962
INPP4A	606.4259	INPP4A	795.8716
INPP4B	526.1288	INPP4B	1650.8665
INPP5A	536.462	INPP5A	623.8532
INPP5B	568.1072	INPP5B	876.6565
INPP5D	596.9539	INPP5D	743.629
INPP5E	129.5947	INPP5E	295.8716
INPP5F	729.993	INPP5F	745.9225
INPP5J	422.1517	INPP5J	805.8104
INPP5K	963.1344	INPP5K	1153.9246
INPPL1	1536.8387	INPPL1	1644.2406
INSIG1	372.6387	INSIG1	1006.371
INSIG2	372.854	INSIG2	777.7778
INSM1	115.3867	removed	removed
removed	removed	INSRR	7.6453
INSR	2581.7771	INSR	2325.1784
INTS10	1228.3515	INTS10	1008.4098
INTS12	639.3628	INTS12	540.7747
INTS1	1134.2769	INTS1	1640.4179
INTS2	657.0152	INTS2	453.1091
INTS3	1904.5261	INTS3	2446.738
INTS4L1	57.4781	INTS4L1	21.4067
INTS4L2	7.9651	INTS4L2	11.7227
INTS4	558.9818	INTS4	560.158
INTS5	830.0953	INTS5	675.5861
INTS6	1438.6739	INTS6	1012.4873
INTS7	581.6694	INTS7	387.6147
INTS8	933.939	INTS8	739.1743
INTS9	609.2245	INTS9	357.5433
INTU	199.1281	INTU	258.6646
INVS	282.8696	INVS	311.6718
IP6K1	1221.4628	IP6K1	1712.7931
IP6K2	1899.1443	IP6K2	1720.4383
IPCEF1	77.4985	IPCEF1	69.0622
IPMK	72.7625	IPMK	104.9949
IPO11	905.8716	IPO11	908.2136
IPO13	1012.8626	IPO13	633.792
IPO4	1023.9191	IPO4	651.5291
IPO5	3094.7742	IPO5	3629.4597
IPO7	5286.906	IPO7	3979.3578
IPO8	1694.2038	IPO8	1878.6952
IPO9	1893.7624	IPO9	1945.7187
IPPK	776.49	IPPK	354.2813
IPP	540.7675	IPP	344.8012
IPW	278.013	IPW	665.8665
IQCA1	42.6242	IQCA1	128.1855
IQCB1	309.5635	IQCB1	482.6707
IQCC	142.5112	IQCC	97.3496
IQCD	38.3187	IQCD	23.7003
IQCE	559.4963	IQCE	692.6606
IQCG	499.2196	IQCG	250
IQCH	107.0793	IQCH	65.4944
IQCJ	15.5492	removed	removed
IQCK	1184.2204	IQCK	438.0734
IQGAP1	7385.1784	IQGAP1	10296.3812
IQGAP2	4863.8932	IQGAP2	1785.9327
IQGAP3	77.7138	IQGAP3	7.6453
IQSEC1	1484.9578	IQSEC1	2575.9429
IQSEC2	1133.2006	IQSEC2	381.2436
IQSEC3	8.6109	IQSEC3	146.789
IQUB	104.1925	IQUB	27.7778
IRAK1BP1	54.0272	IRAK1BP1	64.5642
IRAK1	1064.7436	IRAK1	1292.8135
IRAK2	71.9014	IRAK2	142.7115
IRAK3	665.8415	IRAK3	999.4903
IRAK4	714.4933	IRAK4	622.0693
IREB2	1846.187	IREB2	2048.1651
IRF1	1205.9997	IRF1	915.209
IRF2BP1	387.2773	IRF2BP1	443.1702
IRF2BP2	3130.2944	IRF2BP2	5424.5668
IRF2	1236.1014	IRF2	988.5321
IRF3	314.5902	IRF3	610.6575
IRF4	62.6446	IRF4	255.6065
IRF5	137.1293	IRF5	135.8308
IRF6	1467.9511	IRF6	1307.0846
IRF7	254.2382	IRF7	161.315
IRF8	254.0229	IRF8	204.3833
IRF9	1146.9781	IRF9	777.2681
IRGQ	613.7452	IRGQ	620.0306
IRS1	2276.0885	IRS1	2432.212
IRS2	244.9814	IRS2	1650.6116
IRX1	22.6037	IRX1	330.5301
IRX2	237.4469	IRX2	1109.8369
IRX3	1750.1749	IRX3	1086.9011
IRX4	7.104	IRX4	68.2977
IRX5	1841.0204	IRX5	577.2171
removed	removed	IRX6	135.3211
ISCA1P1	84.172	ISCA1P1	73.9042
ISCA1	854.8108	ISCA1	984.4546
ISCA2	371.7776	ISCA2	256.8807
ISCU	1231.3654	ISCU	1533.6391
ISG15	122.706	ISG15	107.7982
ISG20L2	801.2486	ISG20L2	632.5178
ISG20	250.3633	ISG20	97.0948
ISLR2	21.7426	ISLR2	67.2783
ISLR	956.8914	ISLR	2585.3721
ISM1	198.4823	ISM1	863.9144
ISOC1	350.8961	ISOC1	813.2008
ISOC2	408.8047	ISOC2	261.7227
ISPD	102.4703	ISPD	74.4139
ISY1	541.198	ISY1	612.1305
ISYNA1	346.3753	ISYNA1	600.4077
ITCH	2084.9255	ITCH	1966.8705
ITFG1	850.7615	ITFG1	1047.9103
ITFG2	388.7842	ITFG2	516.5647
ITFG3	2091.6248	ITFG3	1170.9709
ITGA10	92.783	ITGA10	416.6667
ITGA11	949.5721	ITGA11	521.1519
ITGA1	1284.5272	ITGA1	2010.8078
removed	removed	ITGA2B	8.4098
ITGA2	540.5522	ITGA2	1839.7044
ITGA3	1070.9865	ITGA3	1933.2314
ITGA4	624.6574	ITGA4	308.5856
ITGA5	1699.3703	ITGA5	2248.2161
ITGA6	6173.6182	ITGA6	5662.3344
ITGA7	139.4973	ITGA7	1908.002
ITGA8	92.783	ITGA8	191.896
ITGA9	208.6002	ITGA9	601.4271
ITGAE	250.3633	ITGAE	200.5607
ITGAL	877.0249	ITGAL	302.4975
ITGAM	189.2256	ITGAM	239.5515
ITGAV	6694.7958	ITGAV	4276.5036
ITGAX	220.6555	ITGAX	101.1723
ITGB1BP1	620.2034	ITGB1BP1	1488.2773
ITGB1	15284.2151	ITGB1	18862.1305
ITGB2	556.4824	ITGB2	562.1814
ITGB3BP	175.8786	ITGB3BP	170.2345
ITGB3	128.3031	ITGB3	347.6045
ITGB4	1948.442	ITGB4	3654.6891
ITGB5	3813.3577	ITGB5	3826.1978
ITGB6	1171.304	ITGB6	1254.5872
ITGB7	66.9501	ITGB7	85.8818
ITGB8	577.7945	ITGB8	1536.6972
ITGBL1	1072.7087	ITGBL1	449.5413
ITIH3	7.5346	ITIH3	43.8328
ITIH4	69.9123	ITIH4	120.0306
ITIH5L	635.2726	ITIH5L	67.2783
ITIH5	378.4511	ITIH5	5088.1753
ITK	85.2484	ITK	76.9623
removed	removed	ITLN1	5.6065
ITM2A	630.7518	ITM2A	2133.0275
ITM2B	14526.0212	ITM2B	15416.4118
ITM2C	370.9165	ITM2C	995.4128
ITPA	328.9382	ITPA	349.3884
ITPK1	1567.6228	ITPK1	1357.0336
ITPKA	28.2009	removed	removed
ITPKB	726.3334	ITPKB	2062.4363
ITPKC	719.4446	ITPKC	775.2294
ITPR1	1318.5512	ITPR1	4923.2926
ITPR2	3157.4189	ITPR2	4469.1641
ITPR3	1420.1668	ITPR3	1461.5494
ITPRIPL1	17.6524	ITPRIPL1	155.7085
ITPRIPL2	3940.7997	ITPRIPL2	2339.9592
ITPRIP	367.9027	ITPRIP	751.7839
ITSN1	831.3869	ITSN1	2579.001
ITSN2	1389.5915	ITSN2	1834.8624
IVD	3225.0148	IVD	1264.2712
IVNS1ABP	1676.5513	IVNS1ABP	2608.3078
IWS1	1202.0882	IWS1	1165.9021
IYD	11.8401	IYD	5.3517
JAG1	1996.2327	JAG1	3082.0591
JAG2	334.7506	JAG2	1082.8236
JAGN1	935.5794	JAGN1	641.947
JAK1	5168.2902	JAK1	6697.7574
JAK2	744.6316	JAK2	793.0683
JAK3	120.9838	JAK3	194.6993
JAKMIP1	6.0277	removed	removed
removed	removed	JAKMIP2	7.7752
JAKMIP3	135.6224	JAKMIP3	82.0591
JAM2	199.5587	JAM2	923.0377
JAM3	700.9311	JAM3	1292.8135
JARID2	895.5385	JARID2	654.1794
JAZF1	393.9508	JAZF1	635.5759
JDP2	441.9568	JDP2	587.156
JHDM1D	1362.467	JHDM1D	1690.1121
JKAMP	1353.2103	JKAMP	855.7594
JMJD1C	3175.0799	JMJD1C	3264.9592
JMJD4	292.6947	JMJD4	313.1702
JMJD5	120.338	JMJD5	92.2528
JMJD6	298.7998	JMJD6	504.5872
JMJD7-PLA2G4B	362.0903	JMJD7-PLA2G4B	619.5209
JMJD8	2107.9856	JMJD8	1005.8843
JMY	562.5101	JMY	1318.5525
JOSD1	992.6269	JOSD1	1622.579
JOSD2	61.9988	JOSD2	78.4913
JPH1	222.3777	JPH1	73.1397
JPH2	24.3259	JPH2	356.524
JPH3	5.3818	removed	removed
JPH4	9.2568	JPH4	37.2069
JRKL	353.9099	JRKL	545.3619
JRK	119.0463	JRK	570.5912
JTB	2833.2167	JTB	1299.6942
JUB	377.8053	JUB	714.3221
JUNB	1840.5898	JUNB	6926.0958
JUND	1852.4299	JUND	4523.4455
JUN	3830.1491	JUN	20817.788
JUP	5828.104	JUP	4762.2324
KAL1	3492.1694	KAL1	577.9817
KALRN	200.4198	KALRN	1158.002
KANK1	499.6502	KANK1	2486.2385
KANK2	1241.6985	KANK2	3014.7808
KANK3	51.6657	KANK3	450.051
KANK4	258.1131	KANK4	275.2294
KARS	1442.3336	KARS	2280.0714
KAT2A	609.0092	KAT2A	981.6514
KAT2B	978.4188	KAT2B	1081.2946
KAT5	768.8994	KAT5	906.919
KATNA1	248.4258	KATNA1	322.1203
KATNAL1	285.6682	KATNAL1	870.7951
KATNAL2	66.5196	KATNAL2	49.1845
KATNB1	154.5665	KATNB1	294.8522
KAZALD1	625.7037	KAZALD1	51.9929
KAZ	794.6784	KAZ	761.4042
KBTBD10	85.5045	KBTBD10	35.7747
KBTBD11	88.908	KBTBD11	598.369
removed	removed	KBTBD12	20.6422
KBTBD2	1151.0683	KBTBD2	1840.7238
KBTBD3	250.5785	KBTBD3	191.3863
KBTBD4	502.7307	KBTBD4	444.7834
KBTBD6	558.2046	KBTBD6	793.3231
KBTBD7	420.2142	KBTBD7	333.3333
KBTBD8	51.6657	KBTBD8	38.9908
KCMF1	1038.6954	KCMF1	1186.2895
KCNA1	17.2219	KCNA1	63.4557
removed	removed	KCNA2	8.4098
KCNA3	32.7216	KCNA3	40.7747
removed	removed	KCNA4	5.6065
KCNA5	7.5346	KCNA5	26.5036
KCNA6	27.9856	KCNA6	89.7044
KCNAB1	91.0608	KCNAB1	258.4098
KCNAB2	112.5881	KCNAB2	197.7574
removed	removed	KCNAB3	18.8583
KCNB1	6.8888	KCNB1	122.0693
removed	removed	KCNB2	10.1937
removed	removed	KCNC1	7.6453
KCNC2	1203.1645	KCNC2	139.1437
KCNC3	48.6518	KCNC3	164.1182
KCNC4	38.1034	KCNC4	303.0071
KCND1	37.0271	KCND1	119.5209
KCND2	80.9429	KCND2	125.6371
KCND3	407.5131	KCND3	136.3405
KCNE1	23.2496	KCNE1	298.42
KCNE2	11.6248	removed	removed
KCNE3	96.8731	KCNE3	203.6188
KCNE4	2135.9453	KCNE4	225.2803
KCNF1	44.7769	KCNF1	8.1549
removed	removed	KCNG1	14.7808
KCNH1	19.5899	KCNH1	15.5454
KCNH2	10.5484	KCNH2	15.5454
removed	removed	KCNH3	45.6167
removed	removed	KCNH4	12.4873
removed	removed	KCNH8	73.6493
KCNIP1	7.9651	KCNIP1	36.9521
KCNIP2	28.2009	KCNIP2	1093.7819
KCNIP3	28.4161	KCNIP3	116.4628
KCNIP4	21.3121	KCNIP4	39.7554
KCNJ10	6.2429	removed	removed
KCNJ11	525.2677	KCNJ11	151.8858
KCNJ12	18.2983	KCNJ12	102.4465
KCNJ13	5.3818	KCNJ13	7.3904
KCNJ14	14.4233	KCNJ14	48.6748
KCNJ15	12.2706	KCNJ15	43.3231
removed	removed	KCNJ16	202.8542
KCNJ2	137.9904	KCNJ2	567.788
KCNJ3	536.8925	KCNJ3	6.6259
KCNJ5	34.2285	KCNJ5	49.6942
KCNJ8	121.6296	KCNJ8	517.3293
KCNK10	25.6176	removed	removed
KCNK13	40.2562	KCNK13	14.2712
KCNK15	55.7559	KCNK15	12.4873
removed	removed	KCNK17	28.0326
KCNK1	38.3187	KCNK1	110.3466
KCNK2	56.4017	KCNK2	181.7023
KCNK3	9.9026	KCNK3	47.9103
KCNK5	161.24	KCNK5	169.7248
KCNK6	964.8566	KCNK6	180.1733
removed	removed	KCNK7	7.6453
KCNMA1	1864.0547	KCNMA1	1146.2793
KCNMB1	47.3602	KCNMB1	360.0917
removed	removed	KCNMB2	12.4873
KCNMB3	114.9561	KCNMB3	120.7951
KCNMB4	44.3464	KCNMB4	81.5494
KCNN2	21.0968	KCNN2	11.9776
KCNN3	38.1034	KCNN3	51.7329
KCNN4	41.9784	KCNN4	434.2508
KCNQ1OT1	179.5382	KCNQ1OT1	200.3058
KCNQ1	60.4919	KCNQ1	167.1764
KCNQ3	47.5755	KCNQ3	15.0357
removed	removed	KCNQ4	22.9358
KCNQ5	823.4218	KCNQ5	18.0938
KCNRG	9.6421	KCNRG	14.4292
removed	removed	KCNS1	34.9134
KCNS3	491.6851	KCNS3	266.8196
KCNT2	16.1455	KCNT2	41.0296
removed	removed	KCP	8.1575
KCTD10	1380.7653	KCTD10	2381.4985
KCTD11	476.8312	KCTD11	386.0856
KCTD12	3342.1237	KCTD12	10362.895
KCTD13	311.9315	KCTD13	189.0928
KCTD14	28.8467	KCTD14	380.4791
KCTD15	955.8151	KCTD15	543.0683
KCTD16	5.8124	KCTD16	13.2518
KCTD17	38.7493	KCTD17	118.2467
KCTD18	480.0603	KCTD18	465.3415
removed	removed	KCTD19	5.6065
KCTD1	821.0538	KCTD1	688.0734
KCTD20	2042.5165	KCTD20	2353.7207
KCTD21	609.4398	KCTD21	423.0377
KCTD2	864.539	KCTD2	1189.8573
KCTD3	4821.0538	KCTD3	2703.6188
KCTD5	755.6106	KCTD5	413.3537
KCTD6	716.2155	KCTD6	296.6361
KCTD7	259.5275	KCTD7	604.9261
KCTD9	746.7843	KCTD9	1124.1081
KDELC1	145.9555	KDELC1	128.1855
KDELC2	1607.0179	KDELC2	1484.4546
KDELR1	3831.4407	KDELR1	2238.5321
KDELR2	7704.8598	KDELR2	3344.0367
KDELR3	819.1163	KDELR3	219.419
KDM1A	2178.3542	KDM1A	1491.8451
KDM1B	650.9876	KDM1B	565.4944
removed	removed	KDM2A	3987.5127
KDM2B	728.2514	KDM2B	606.6361
KDM3A	1788.0631	KDM3A	1978.5933
KDM3B	3026.5325	KDM3B	3591.7431
KDM4A	1922.6091	KDM4A	1334.8624
KDM4B	3222.2162	KDM4B	1732.6707
KDM4C	803.8319	KDM4C	754.3323
KDM4D	34.0132	KDM4D	33.6391
KDM5A	2382.4337	KDM5A	2669.4699
KDM5B	3478.1766	KDM5B	2239.5515
KDM5C	4806.8457	KDM5C	2667.1764
KDM6A	3950.2718	KDM6A	1364.1692
KDM6B	829.4494	KDM6B	1175.841
KDR	1911.1996	KDR	3810.6524
KDSR	1834.5622	KDSR	2701.3252
KEAP1	1289.274	KEAP1	1099.8981
removed	removed	KEL	5.6065
KERA	60.0614	KERA	11.9776
removed	removed	KGFLP1	13.2518
KGFLP2	125.3345	KGFLP2	175.948
KHDC1	15.7516	KHDC1	21.9164
KHDRBS1	4591.7873	KHDRBS1	3838.4302
KHDRBS3	177.3855	KHDRBS3	188.8379
KHK	31.4902	KHK	90.4893
KHNYN	1805.0697	KHNYN	2821.4348
KHSRP	1351.2728	KHSRP	1807.3394
KIAA0020	541.198	KIAA0020	671.5087
KIAA0040	2528.1739	KIAA0040	1964.3221
KIAA0087	17.2219	KIAA0087	5.8614
KIAA0090	1641.0312	KIAA0090	1207.1865
KIAA0100	3444.553	KIAA0100	5074.5999
KIAA0101	133.2522	KIAA0101	9.1743
KIAA0114	664.7651	KIAA0114	393.7309
removed	removed	KIAA0125	14.7808
KIAA0141	1313.1694	KIAA0141	1506.8807
KIAA0146	848.3935	KIAA0146	942.9154
KIAA0174	2096.5502	KIAA0174	3031.3456
KIAA0182	2419.8913	KIAA0182	3009.4292
KIAA0195	1675.2209	KIAA0195	1586.3022
KIAA0196	2896.7225	KIAA0196	1602.1916
KIAA0226	618.4812	KIAA0226	788.736
KIAA0232	2492.2232	KIAA0232	2369.0112
KIAA0240	1341.3702	KIAA0240	1780.0714
KIAA0247	2958.0755	KIAA0247	2438.5831
KIAA0284	556.4824	KIAA0284	908.5117
KIAA0317	790.7002	KIAA0317	908.2569
KIAA0319L	4958.1895	KIAA0319L	2537.4618
KIAA0319	5.5971	KIAA0319	6.6259
KIAA0355	955.1693	KIAA0355	2093.7819
KIAA0368	4508.4764	KIAA0368	3688.0734
KIAA0391	1330.8627	KIAA0391	488.397
KIAA0406	605.9954	KIAA0406	608.8175
removed	removed	KIAA0408	157.9969
KIAA0415	237.4469	KIAA0415	345.8206
KIAA0427	321.8341	KIAA0427	1327.7268
KIAA0430	3348.1513	KIAA0430	3685.7798
KIAA0467	1012.2641	KIAA0467	1513.1906
KIAA0494	5948.2977	KIAA0494	6958.2034
KIAA0495	430.9779	KIAA0495	800.7136
KIAA0513	331.3062	KIAA0513	327.7268
KIAA0528	1814.757	KIAA0528	1426.3507
KIAA0556	662.8276	KIAA0556	626.1468
KIAA0562	1026.6401	KIAA0562	1074.4139
KIAA0564	2546.0417	KIAA0564	1077.2171
KIAA0586	523.3303	KIAA0586	502.2936
KIAA0649	613.9605	KIAA0649	585.8818
KIAA0652	1567.4076	KIAA0652	1758.1549
KIAA0664P3	73.4083	KIAA0664P3	85.3721
KIAA0664	1127.3882	KIAA0664	1093.7819
KIAA0748	25.6176	KIAA0748	25.739
KIAA0753	586.6207	KIAA0753	571.8654
KIAA0754	169.2051	KIAA0754	562.6911
KIAA0776	2532.0489	KIAA0776	1287.2069
KIAA0802	266.7241	KIAA0802	201.8349
KIAA0831	627.738	KIAA0831	1030.3262
KIAA0892	1073.1392	KIAA0892	1503.0581
KIAA0895L	140.3412	KIAA0895L	220.3466
KIAA0895	442.8179	KIAA0895	242.3547
KIAA0907	953.0165	KIAA0907	1072.8848
KIAA0913	1450.9445	KIAA0913	1842.5076
KIAA0922	752.1662	KIAA0922	679.6636
KIAA0947	1595.3931	KIAA0947	2091.4883
KIAA1009	302.6748	KIAA1009	404.6891
KIAA1012	1811.3126	KIAA1012	1552.2426
KIAA1024	59.8461	KIAA1024	35.423
KIAA1033	1597.9764	KIAA1033	1890.1631
removed	removed	KIAA1045	83.0785
KIAA1107	51.4504	KIAA1107	215.5963
KIAA1109	2480.5985	KIAA1109	4944.9541
KIAA1143	1191.9703	KIAA1143	1150.6116
KIAA1147	2358.9688	KIAA1147	2502.0387
KIAA1161	227.1137	KIAA1161	269.6228
KIAA1191	1846.6175	KIAA1191	2402.9052
KIAA1199	44.3464	KIAA1199	26.2487
KIAA1210	15.2844	KIAA1210	23.7003
KIAA1211	95.3662	KIAA1211	35.6779
KIAA1217	3454.9271	KIAA1217	5572.0923
KIAA1244	2670.9004	KIAA1244	1169.2151
KIAA1257	83.974	KIAA1257	22.3038
KIAA1267	1495.2909	KIAA1267	1765.0357
KIAA1274	397.3952	KIAA1274	577.472
KIAA1279	1463.6457	KIAA1279	759.4292
KIAA1310	2512.2437	KIAA1310	2328.2365
KIAA1324L	775.631	KIAA1324L	785.9327
KIAA1324	16993.7032	KIAA1324	5806.0652
KIAA1328	160.8094	KIAA1328	295.3619
KIAA1370	4530.0038	KIAA1370	2183.7411
KIAA1377	860.6641	KIAA1377	574.9235
KIAA1383	67.5959	KIAA1383	141.1825
KIAA1407	302.6748	KIAA1407	350.9174
removed	removed	KIAA1409	7.9001
KIAA1429	2932.6732	KIAA1429	2187.054
KIAA1430	1869.4365	KIAA1430	1772.6809
KIAA1432	1240.3057	KIAA1432	1195.2548
KIAA1462	1493.3534	KIAA1462	2771.9164
KIAA1467	1703.4605	KIAA1467	1138.634
KIAA1468	1204.6714	KIAA1468	1019.8777
KIAA1522	4868.414	KIAA1522	3700.3058
KIAA1524	77.2832	KIAA1524	80.0204
KIAA1529	53.8184	KIAA1529	215.3415
KIAA1530	191.8088	KIAA1530	299.4393
KIAA1539	365.1041	KIAA1539	392.9664
KIAA1543	584.6833	KIAA1543	382.5178
KIAA1549	747.8607	KIAA1549	457.1865
KIAA1586	230.3428	KIAA1586	252.8033
KIAA1598	3216.1886	KIAA1598	1274.9745
KIAA1609	292.3416	KIAA1609	475.79
KIAA1614	20.6361	KIAA1614	97.054
KIAA1632	1648.9963	KIAA1632	1507.9001
KIAA1644	34.6591	KIAA1644	22.6809
KIAA1671	1844.68	KIAA1671	4772.4261
KIAA1683	74.9152	KIAA1683	494.3935
KIAA1704	427.5163	KIAA1704	509.4113
KIAA1712	358.5684	KIAA1712	515.0331
KIAA1715	983.3701	KIAA1715	928.8991
KIAA1731	611.2351	KIAA1731	642.4567
KIAA1737	2712.4482	KIAA1737	1386.3405
KIAA1755	140.3584	KIAA1755	261.213
KIAA1797	1179.0539	KIAA1797	983.945
KIAA1804	48.2213	KIAA1804	227.5739
KIAA1826	408.1589	KIAA1826	454.1284
KIAA1841	249.7175	KIAA1841	258.6646
KIAA1875	6.8888	KIAA1875	21.6616
KIAA1908	126.1504	KIAA1908	164.8828
KIAA1919	65.0126	KIAA1919	127.421
KIAA1949	965.0718	KIAA1949	1297.4006
KIAA1958	95.3662	KIAA1958	111.6208
KIAA1967	2243.7974	KIAA1967	2053.0071
KIAA1984	20.2357	KIAA1984	25.8384
KIAA2013	901.9967	KIAA2013	859.3272
KIAA2018	1037.8343	KIAA2018	1545.107
KIAA2022	277.4878	KIAA2022	88.1753
KIAA2026	1264.7328	KIAA2026	1620.5403
KIDINS220	3284.8609	KIDINS220	3888.634
KIF11	334.1047	KIF11	83.0785
KIF12	353.4794	KIF12	432.4669
KIF13A	1676.1208	KIF13A	2277.0133
KIF13B	3927.1169	KIF13B	2457.9154
KIF14	24.3259	removed	removed
KIF15	80.2971	KIF15	9.4292
KIF16B	1008.7724	KIF16B	1091.7431
KIF17	10.979	KIF17	65.4944
KIF18A	47.7908	KIF18A	17.3293
KIF18B	24.1107	removed	removed
removed	removed	KIF19	34.1488
removed	removed	KIF1A	17.3293
KIF1B	1391.7443	KIF1B	2545.107
KIF1C	1992.5731	KIF1C	3087.4108
KIF20A	127.8726	KIF20A	7.6453
KIF20B	240.8912	KIF20B	320.0815
KIF21A	543.1355	KIF21A	311.6718
KIF21B	95.3662	KIF21B	187.3089
KIF22	1542.2205	KIF22	605.5046
KIF23	183.4132	KIF23	37.7166
KIF24	203.4336	KIF24	74.9235
removed	removed	KIF25	25.9939
KIF26A	48.4366	KIF26A	395.5148
KIF26B	230.5581	KIF26B	32.3649
KIF27	245.6273	KIF27	189.6024
KIF2A	608.5787	KIF2A	674.0571
KIF2C	88.0469	KIF2C	21.9164
KIF3A	721.1668	KIF3A	571.6106
KIF3B	2379.2046	KIF3B	1810.1427
KIF3C	140.789	KIF3C	454.3833
KIF4A	151.1221	KIF4A	7.1356
removed	removed	KIF5A	41.2844
KIF5B	6010.0102	KIF5B	6023.4455
KIF5C	1991.4967	KIF5C	420.4893
KIF6	48.8671	KIF6	7.9001
KIF7	42.0752	KIF7	179.9516
KIF9	279.845	KIF9	92.1789
KIFAP3	936.871	KIFAP3	908.7666
KIFC1	85.6789	KIFC1	35.9327
KIFC2	204.4626	KIFC2	214.2941
KIFC3	128.0878	KIFC3	386.3405
KILLIN	40.0409	KILLIN	32.3649
KIN	268.0157	KIN	261.4679
KIRREL	243.4745	KIRREL	683.9959
KITLG	4516.6568	KITLG	1833.3333
KIT	718.153	KIT	7014.526
KLB	27.3398	KLB	293.578
KLC1	1149.6475	KLC1	1927.6249
KLC2	395.673	KLC2	327.7268
KLC3	11.4095	KLC3	94.2915
KLC4	363.6101	KLC4	497.2477
KLF10	2034.3361	KLF10	3603.7207
KLF11	406.0061	KLF11	1971.2029
KLF12	603.4121	KLF12	807.3394
KLF13	1044.0773	KLF13	2866.9725
removed	removed	KLF14	8.4098
KLF15	21.3121	KLF15	218.6544
KLF16	193.9616	KLF16	198.2671
KLF17	54.249	removed	removed
KLF2	488.4559	KLF2	2854.4852
KLF3	2763.679	KLF3	2701.3252
KLF4	1831.9789	KLF4	4989.5515
KLF5	106.3452	KLF5	1282.3649
KLF6	2604.5961	KLF6	12269.6228
KLF7	77.4985	KLF7	254.0775
KLF8	195.899	KLF8	842.5076
KLF9	2024.8641	KLF9	3301.2232
KLHDC10	909.5312	KLHDC10	1209.2253
KLHDC1	157.3651	KLHDC1	215.0866
KLHDC2	1461.7082	KLHDC2	1266.055
KLHDC3	1269.2535	KLHDC3	1674.0571
KLHDC4	76.4222	KLHDC4	183.1753
KLHDC5	1364.6198	KLHDC5	1186.2895
KLHDC7A	592.6484	KLHDC7A	2005.6065
KLHDC7B	14.6386	KLHDC7B	36.1876
KLHDC8A	22.1732	KLHDC8A	21.1519
KLHDC8B	398.041	KLHDC8B	666.6667
KLHDC9	215.7042	KLHDC9	49.4393
KLHL11	111.2965	KLHL11	133.2824
KLHL12	1063.0214	KLHL12	925.0765
KLHL13	75.7763	KLHL13	846.0754
KLHL14	9.2568	KLHL14	58.3588
KLHL15	430.1168	KLHL15	599.3884
KLHL17	48.2213	KLHL17	67.2783
KLHL18	512.9971	KLHL18	497.7064
KLHL1	397.8236	removed	removed
KLHL20	500.7265	KLHL20	716.3609
KLHL21	483.0741	KLHL21	1888.3792
KLHL22	261.127	KLHL22	355.5046
KLHL23	137.2671	KLHL23	176.4067
KLHL24	1137.0755	KLHL24	1978.5933
KLHL25	227.329	KLHL25	180.4281
KLHL26	235.7247	KLHL26	240.5708
KLHL28	716.646	KLHL28	743.629
KLHL29	63.2905	KLHL29	553.5168
KLHL2	241.9676	KLHL2	745.158
removed	removed	KLHL30	28.2875
KLHL31	45.3065	KLHL31	153.3665
KLHL32	8.1804	KLHL32	29.5617
removed	removed	KLHL33	9.684
KLHL35	51.881	KLHL35	25.739
KLHL36	70.1792	KLHL36	267.0744
KLHL3	119.2616	KLHL3	518.0938
KLHL4	21.7426	KLHL4	133.792
KLHL5	2869.3827	KLHL5	916.6667
KLHL6	168.1287	KLHL6	115.6983
KLHL7	745.9233	KLHL7	761.9776
KLHL8	589.6346	KLHL8	533.6391
KLHL9	2238.6309	KLHL9	1978.5933
KLK10	10.7637	KLK10	115.4434
removed	removed	KLK11	31.6004
KLK4	68.457	KLK4	46.1264
KLK5	23.0343	KLK5	415.3925
KLK6	6.6735	KLK6	119.0112
KLK7	19.3746	KLK7	191.3863
removed	removed	KLK8	58.6137
removed	removed	KLKB1	5.8614
KLRA1	40.902	KLRA1	67.788
KLRAQ1	544.2118	KLRAQ1	748.4709
KLRB1	24.5412	KLRB1	90.7238
KLRC1	5.5971	KLRC1	20.897
removed	removed	KLRC4	6.4806
KLRD1	15.4997	KLRD1	39.2457
KLRF1	7.104	KLRF1	21.9164
KLRG1	36.5965	KLRG1	26.2487
removed	removed	KLRG2	11.7227
KLRK1	61.1377	KLRK1	115.8435
KL	47.7908	KL	363.6595
KMO	16.3802	KMO	27.0336
removed	removed	KNDC1	7.9001
KNTC1	421.9041	KNTC1	373.3129
KPNA1	2944.5132	KPNA1	1782.1101
KPNA2	1100.9095	KPNA2	519.8777
KPNA3	1504.9782	KPNA3	1317.0234
KPNA4	2161.5629	KPNA4	1836.6463
KPNA5	120.7685	KPNA5	229.103
KPNA6	2724.073	KPNA6	2233.1804
KPNB1	5232.4417	KPNB1	4208.2059
KPTN	96.6579	KPTN	81.8043
KRAS	1570.6367	KRAS	1176.6055
KRBA1	171.1426	KRBA1	221.9674
KRBA2	127.442	KRBA2	188.0734
KRCC1	908.4549	KRCC1	1169.9796
KREMEN1	213.7668	KREMEN1	898.8277
KREMEN2	5.3818	removed	removed
KRI1	395.5546	KRI1	549.5668
KRIT1	1091.6528	KRIT1	1052.2426
