gene_id	TCGA-BH-A18S-01A-11R-A12D-07	gene_id	TCGA-BH-A18S-11A-43R-A12D-07
ADC	172.766	ADC	138.0455
ADD1	5340.723	ADD1	5438.3302
ADD2	6.2052	ADD2	51.7078
ADD3	177.6649	ADD3	1972.4858
removed	removed	ADH1A	128.0835
ADH1B	25.8006	ADH1B	11402.277
removed	removed	ADH1C	111.9545
removed	removed	ADH4	11.3852
ADH5	1901.0792	ADH5	2900.3795
ADHFE1	26.7804	ADHFE1	294.592
ADI1	1170.8244	ADI1	1366.2239
ADIPOQ	51.6012	ADIPOQ	27051.2334
ADIPOR1	6497.504	ADIPOR1	2125.2372
ADIPOR2	2884.1145	ADIPOR2	2792.2201
ADK	460.8182	ADK	418.4061
ADM2	276.6216	ADM2	81.5939
ADM	28.4133	ADM	976.2808
ADNP2	761.2808	ADNP2	633.7761
ADNP	3647.6815	ADNP	2216.3188
ADORA1	1225.0383	ADORA1	264.2315
ADORA2A	468.3298	ADORA2A	117.1727
ADORA2B	20.5752	ADORA2B	81.1195
ADORA3	190.0753	ADORA3	285.1044
ADO	697.9224	ADO	600.0949
ADPGK	849.6756	ADPGK	932.9981
ADPRHL1	223.0608	ADPRHL1	61.6698
ADPRHL2	844.5612	ADPRHL2	677.8937
ADPRH	207.0579	ADPRH	544.592
removed	removed	ADRA1A	41.2713
ADRA1B	15.6763	ADRA1B	18.0266
removed	removed	ADRA1D	5.6926
ADRA2A	74.4625	ADRA2A	1445.4459
ADRA2B	7.5116	ADRA2B	26.5655
removed	removed	ADRA2C	97.723
removed	removed	ADRB1	55.9772
ADRB2	17.9624	ADRB2	481.9734
ADRBK1	1493.4951	ADRBK1	1617.1727
ADRBK2	986.3012	ADRBK2	1514.2315
ADRM1	1299.8274	ADRM1	1259.962
ADSL	717.1912	ADSL	700.6641
ADSSL1	106.7949	ADSSL1	202.5617
ADSS	3140.8141	ADSS	1231.9734
AEBP1	3398.82	AEBP1	3820.6831
AEBP2	691.3906	AEBP2	829.6964
AEN	283.1534	AEN	562.6186
AES	7120.6374	AES	6236.7173
AFAP1L1	135.8614	AFAP1L1	610.5313
AFAP1L2	124.1041	AFAP1L2	904.649
AFAP1	742.9885	AFAP1	1311.1622
AFARP1	8.1647	AFARP1	6.167
AFF1	2074.1718	AFF1	2439.7533
AFF2	5.552	AFF2	43.1689
AFF3	4371.0779	AFF3	948.7666
AFF4	4234.8899	AFF4	3484.8197
AFG3L1	208.0377	AFG3L1	259.0133
AFG3L2	1459.3077	AFG3L2	1147.9696
AFMID	2120.5476	AFMID	605.3131
AFP	150.8845	AFP	109.1082
AFTPH	3992.2337	AFTPH	1657.4953
AG2	103.8556	AG2	1935.0047
AGAP11	74.1783	AGAP11	207.7846
AGAP1	657.0987	AGAP1	475.8065
AGAP2	30.3631	AGAP2	98.4725
AGAP3	988.9139	AGAP3	1559.2979
AGAP4	122.1446	AGAP4	241.4611
AGAP5	116.8963	AGAP5	76.0579
AGAP6	46.0492	AGAP6	71.6319
removed	removed	AGAP7	15.1803
AGAP8	28.7399	AGAP8	49.3359
AGA	756.0554	AGA	384.7249
AGBL2	35.5983	AGBL2	18.9753
AGBL3	14.0434	removed	removed
AGBL4	14.6965	removed	removed
AGBL5	677.0337	AGBL5	608.6765
AGER	6.5318	AGER	38.425
AGFG1	1499.7004	AGFG1	2027.9886
AGFG2	468.0032	AGFG2	454.4592
AGGF1	1319.7494	AGGF1	644.6869
AGK	657.0987	AGK	534.63
AGL	833.4572	AGL	1117.1727
AGMAT	34.6185	AGMAT	9.962
AGPAT1	1667.316	AGPAT1	1441.3567
AGPAT2	667.8761	AGPAT2	3948.2922
AGPAT3	1930.4723	AGPAT3	1691.1765
AGPAT4	19.2688	AGPAT4	232.9222
AGPAT5	1000.6711	AGPAT5	645.6357
AGPAT6	2385.7385	AGPAT6	1634.2505
AGPAT9	28.0867	AGPAT9	185.0095
AGPHD1	44.4162	AGPHD1	50.2846
AGPS	2143.4088	AGPS	1104.3643
AGR2	12056.0624	AGR2	2469.1651
AGR3	1972.6024	AGR3	723.4345
AGRN	1966.3972	AGRN	2750.9488
AGTPBP1	229.5926	AGTPBP1	436.4326
AGTR1	865.7896	AGTR1	234.8197
AGTRAP	897.4688	AGTRAP	575.9013
AGT	193.0146	AGT	28.463
AGXT2L2	310.0807	AGXT2L2	603.1214
removed	removed	AGXT	10.9108
AHCTF1	2736.8225	AHCTF1	1386.6224
AHCYL1	8075.2594	AHCYL1	3901.3283
AHCYL2	649.9137	AHCYL2	644.6869
AHCY	2689.7936	AHCY	1886.6224
AHDC1	870.0352	AHDC1	839.6584
AHI1	259.9655	AHI1	383.3017
