gene_id	TCGA-BH-A18S-01A-11R-A12D-07	gene_id	TCGA-BH-A18S-11A-43R-A12D-07
NAALADL1	8.8179	NAALADL1	67.8368
NAALADL2	505.8876	NAALADL2	451.1385
NAB1	1038.8821	NAB1	1578.2732
NAB2	607.457	NAB2	626.6603
NACA2	33.3122	NACA2	27.9886
NACAD	9.1445	NACAD	170.3036
NACAP1	127.37	NACAP1	112.4288
NACA	14393.139	NACA	15719.1651
NACC1	1312.5644	NACC1	987.1917
NACC2	19.5954	NACC2	60.7211
NADK	892.8965	NADK	1240.5123
NADSYN1	661.6709	NADSYN1	898.482
NAE1	1121.836	NAE1	725.8065
NAF1	264.2111	NAF1	202.0873
NAGA	1523.868	NAGA	861.4801
NAGK	1394.865	NAGK	1367.6471
NAGLU	931.4341	NAGLU	868.1214
NAGPA	202.8123	NAGPA	222.4858
NAGS	323.6505	NAGS	56.4516
NAIF1	199.5464	NAIF1	185.4839
NAIP	54.8671	NAIP	103.8899
NALCN	16.0029	NALCN	61.1954
NAMPT	968.0122	NAMPT	4986.7173
NANOS1	274.9886	NANOS1	275.1423
removed	removed	NANOS3	5.6926
NANP	158.0695	NANP	131.4042
NANS	2103.5649	NANS	809.7723
NAP1L1	7799.6176	NAP1L1	6522.7704
NAP1L2	157.4163	NAP1L2	124.7628
NAP1L3	19.2688	NAP1L3	58.3491
NAP1L4	2738.782	NAP1L4	2181.2144
NAP1L5	166.5608	NAP1L5	226.7552
NAPA	5042.2558	NAPA	2833.6338
NAPB	203.792	NAPB	231.4991
NAPEPLD	563.2041	NAPEPLD	349.6964
NAPG	923.2694	NAPG	704.4592
NAPRT1	317.4453	NAPRT1	456.8311
NAPSA	7.185	removed	removed
NAPSB	100.5897	NAPSB	230.5503
NARFL	530.0552	NARFL	467.2676
NARF	549.324	NARF	682.1632
NARG2	1164.9458	NARG2	944.4972
NARS2	506.8674	NARS2	340.1328
NARS	4388.0605	NARS	2813.093
NASP	1246.2667	NASP	1751.8975
NAT10	1769.4635	NAT10	966.3188
NAT14	195.9539	NAT14	120.019
NAT15	877.8734	NAT15	883.7761
NAT1	854.6855	NAT1	202.0873
NAT2	7.5116	NAT2	8.0645
NAT6	332.2757	NAT6	144.8672
removed	removed	NAT8L	394.2125
NAT9	617.2547	NAT9	434.0607
NAV1	1382.128	NAV1	1589.1841
NAV2	1202.4808	NAV2	2822.9412
NAV3	122.7978	NAV3	329.6964
NBAS	1439.6078	NBAS	1172.2011
NBEAL1	188.1157	NBEAL1	224.8577
NBEAL2	392.2343	NBEAL2	1350.5693
NBEA	271.7227	NBEA	377.6091
NBL1	16747.9037	NBL1	2718.4962
removed	removed	NBLA00301	41.7457
NBN	3290.7188	NBN	1512.8083
NBPF10	856.5699	NBPF10	1147.3672
NBPF14	242.15	NBPF14	455.0664
NBPF15	128.3498	NBPF15	235.9298
NBPF16	171.4596	NBPF16	93.9279
NBPF1	123.4509	NBPF1	638.0455
NBPF3	179.2978	NBPF3	113.852
NBPF4	56.1734	removed	removed
NBPF6	24.1676	removed	removed
NBPF9	98.0129	NBPF9	185.2182
NBR1	7819.8661	NBR1	3971.537
NBR2	180.2776	NBR2	105.7875
NCALD	162.6417	NCALD	1910.8159
NCAM1	208.3643	NCAM1	461.0436
NCAM2	38.211	NCAM2	144.6869
NCAPD2	702.1681	NCAPD2	912.7135
NCAPD3	524.1766	NCAPD3	444.4972
NCAPG2	435.6708	NCAPG2	268.5009
NCAPG	85.2367	NCAPG	28.8188
NCAPH2	629.3385	NCAPH2	650.3795
NCAPH	32.659	NCAPH	27.9886
NCBP1	950.3763	NCBP1	729.1888
NCBP2	2179.6603	NCBP2	1545.0664
removed	removed	NCCRP1	59.7723
NCDN	771.0785	NCDN	643.7381
NCEH1	574.798	NCEH1	823.5294
NCF1B	26.4538	NCF1B	34.1556
NCF1C	26.1272	NCF1C	97.2486
NCF1	48.6619	NCF1	188.8046
NCF2	218.8152	NCF2	609.5825
NCF4	85.2399	NCF4	192.5996
NCK1	522.8703	NCK1	727.2296
NCK2	547.3645	NCK2	994.3074
NCKAP1L	280.8672	NCKAP1L	674.0987
NCKAP1	5010.8673	NCKAP1	3989.0892
NCKAP5L	291.3181	NCKAP5L	763.2827
NCKAP5	259.6389	NCKAP5	209.6774
NCKIPSD	735.4802	NCKIPSD	517.5522
NCLN	1087.8706	NCLN	870.9677
NCL	13911.7456	NCL	10379.5066
NCOA1	2296.2529	NCOA1	2149.9051
NCOA2	1264.8823	NCOA2	834.9146
NCOA3	943.8445	NCOA3	1340.6072
NCOA4	7081.12	NCOA4	5647.0588
NCOA5	1317.7898	NCOA5	1055.0285
NCOA6	1902.059	NCOA6	1346.2998
NCOA7	244.9423	NCOA7	5605.7875
NCOR1	1952.0272	NCOR1	2414.1366
NCOR2	2052.6169	NCOR2	3313.093
NCRNA00081	286.4225	NCRNA00081	141.3046
NCRNA00085	37.8844	NCRNA00085	69.7343
removed	removed	NCRNA00086	112.9032
NCRNA00087	11.7572	NCRNA00087	67.3624
removed	removed	NCRNA00092	11.3852
NCRNA00093	45.1837	NCRNA00093	13.9991
NCRNA00094	772.0746	NCRNA00094	503.1499
NCRNA00095	79.3613	NCRNA00095	37.4763
NCRNA00105	5.2254	NCRNA00105	65.6689
removed	removed	NCRNA00107	5.6926
NCRNA00110	47.0289	NCRNA00110	61.1954
NCRNA00115	5.2254	NCRNA00115	9.0133
NCRNA00116	119.8585	NCRNA00116	129.5066
NCRNA00120	9.7977	NCRNA00120	62.1442
NCRNA00152	134.2284	NCRNA00152	268.0266
NCRNA00160	6.8584	removed	removed
removed	removed	NCRNA00162	12.334
NCRNA00171	20.4445	NCRNA00171	17.0778
NCRNA00173	19.2688	NCRNA00173	28.9374
NCRNA00174	116.266	NCRNA00174	118.5958
NCRNA00176	24.8208	NCRNA00176	6.6414
NCRNA00181	195.6926	NCRNA00181	150.1518
NCRNA00182	28.0867	NCRNA00182	61.6698
NCRNA00183	380.4771	NCRNA00183	265.6546
NCRNA00188	3716.2653	NCRNA00188	7247.1537
NCRNA00201	582.9889	NCRNA00201	1335.8444
NCRNA00202	13.7168	NCRNA00202	10.4364
NCRNA00219	401.7055	NCRNA00219	426.945
NCS1	52.581	NCS1	292.6945
NCSTN	8548.0144	NCSTN	2445.9203
NDC80	41.8035	NDC80	6.6414
NDE1	722.1978	NDE1	382.9554
NDEL1	446.1217	NDEL1	1268.0266
NDFIP1	5078.798	NDFIP1	3317.3624
NDFIP2	419.0147	NDFIP2	678.8425
NDNL2	439.2633	NDNL2	379.5066
NDN	64.9914	NDN	731.4991
NDOR1	730.2548	NDOR1	389.4687
NDP	1823.0243	NDP	110.0569
NDRG1	862.1971	NDRG1	6388.9943
NDRG2	660.038	NDRG2	6895.1613
NDRG3	1293.9488	NDRG3	718.6907
NDRG4	11.1041	NDRG4	118.5958
NDST1	1706.4317	NDST1	5109.5825
NDST2	525.8096	NDST2	552.6565
NDST3	10.4509	NDST3	6.167
NDUFA10	2004.9348	NDUFA10	1734.8197
NDUFA11	901.0613	NDUFA11	1112.4288
NDUFA12	609.4166	NDUFA12	517.5522
NDUFA13	1971.6749	NDUFA13	1811.1622
NDUFA1	1416.0934	NDUFA1	1152.277
NDUFA2	1124.1221	NDUFA2	703.9848
NDUFA3	648.2807	NDUFA3	568.3112
NDUFA4L2	116.9191	NDUFA4L2	268.0266
NDUFA4	2490.2472	NDUFA4	2222.9602
NDUFA5	2286.7818	NDUFA5	1375.7116
NDUFA6	1120.203	NDUFA6	785.5787
NDUFA7	616.6015	NDUFA7	354.8387
NDUFA8	512.4194	NDUFA8	617.6471
NDUFA9	1192.3794	NDUFA9	959.203
NDUFAB1	942.5382	NDUFAB1	571.1575
NDUFAF1	700.8617	NDUFAF1	404.1746
NDUFAF2	177.9914	NDUFAF2	174.5731
NDUFAF3	1295.2551	NDUFAF3	755.6926
NDUFAF4	157.4163	NDUFAF4	256.6414
NDUFB10	1206.4227	NDUFB10	938.3302
NDUFB11	1258.3505	NDUFB11	892.315
NDUFB1	739.0727	NDUFB1	543.1689
NDUFB2	1169.8414	NDUFB2	1075.4127
NDUFB3	896.1624	NDUFB3	517.0778
NDUFB4	2035.3076	NDUFB4	1331.5939
NDUFB5	1420.6656	NDUFB5	1166.9829
NDUFB6	889.9572	NDUFB6	560.2467
NDUFB7	1032.0238	NDUFB7	948.2922
NDUFB8	1126.0816	NDUFB8	1235.7685
NDUFB9	2760.6636	NDUFB9	1657.9744
NDUFC1	967.0324	NDUFC1	538.8994
NDUFC2	2752.1722	NDUFC2	1597.2486
NDUFS1	1763.2583	NDUFS1	1333.4915
NDUFS2	4439.0085	NDUFS2	1681.2144
NDUFS3	1228.9052	NDUFS3	837.9269
NDUFS4	496.7431	NDUFS4	744.3074
NDUFS5	1530.7264	NDUFS5	1897.0588
NDUFS6	616.2749	NDUFS6	554.0797
NDUFS7	568.7235	NDUFS7	483.1309
NDUFS8	1013.7347	NDUFS8	713.4725
NDUFV1	1154.8215	NDUFV1	1825.9013
NDUFV2	2527.4784	NDUFV2	1202.0873
NDUFV3	921.6364	NDUFV3	628.5579
NEAT1	2317.1546	NEAT1	14080.1708
NEBL	3847.881	NEBL	2379.0323
NEB	12.4104	NEB	12.334
removed	removed	NECAB1	164.1366
removed	removed	NECAB2	8.5389
NECAB3	1314.5239	NECAB3	261.3852
NECAP1	1160.047	NECAP1	732.9222
NECAP2	1046.7203	NECAP2	1409.3928
NEDD1	893.5497	NEDD1	564.0417
NEDD4L	2625.1288	NEDD4L	1652.277
NEDD4	489.8847	NEDD4	595.8254
NEDD8	1837.7208	NEDD8	1521.3472
NEDD9	940.9052	NEDD9	4997.6281
NEFH	7.5116	NEFH	12.334
NEFL	11.1041	removed	removed
NEGR1	36.2515	NEGR1	290.797
NEIL1	132.5955	NEIL1	142.7894
NEIL2	352.3904	NEIL2	544.1176
NEIL3	8.8179	NEIL3	5.6926
NEK10	431.4251	NEK10	136.148
NEK11	800.145	NEK11	242.4099
NEK1	404.3182	NEK1	452.5617
NEK2	134.8816	NEK2	8.5389
NEK3	97.6503	NEK3	285.5787
NEK4	1037.2492	NEK4	465.37
NEK5	50.2948	removed	removed
NEK6	1004.9168	NEK6	928.8425
NEK7	1795.9173	NEK7	2198.2922
NEK8	161.3354	NEK8	101.518
NEK9	2662.6866	NEK9	2339.6584
NELF	418.6881	NELF	603.8899
NELL2	9.7977	NELL2	88.2353
NENF	2514.7414	NENF	987.666
NEO1	2752.8254	NEO1	1514.2315
NES	299.8094	NES	2786.0531
NET1	4850.5117	NET1	2897.5332
NETO2	206.7313	NETO2	215.8444
NEU1	2717.5537	NEU1	1384.7249
NEU3	99.9365	NEU3	83.9658
NEURL1B	168.5203	NEURL1B	893.7381
NEURL2	11.4862	NEURL2	24.0133
removed	removed	NEURL3	23.2448
NEURL4	300.7892	NEURL4	646.1101
NEURL	17.9624	NEURL	9.962
removed	removed	NEUROD2	5.2182
NEXN	76.422	NEXN	408.9184
NF1	2627.4149	NF1	2028.9374
NF2	500.3356	NF2	831.5939
NFAM1	123.4509	NFAM1	333.4915
NFASC	43.0478	NFASC	657.7135
NFAT5	1185.8476	NFAT5	2675.5218
NFATC1	521.2373	NFATC1	605.3131
NFATC2IP	744.6247	NFATC2IP	703.0361
NFATC2	91.7717	NFATC2	154.649
NFATC3	806.6768	NFATC3	804.5541
NFATC4	382.1101	NFATC4	527.0398
NFE2L1	14112.5984	NFE2L1	7646.5844
NFE2L2	2315.6784	NFE2L2	3498.0171
NFE2L3	187.136	NFE2L3	325.4269
removed	removed	NFE2	18.9753
NFIA	1810.6138	NFIA	1634.7249
NFIB	1993.1775	NFIB	5460.1518
NFIC	1108.1192	NFIC	828.2732
NFIL3	139.7804	NFIL3	1924.5731
NFIX	9547.8528	NFIX	3435.0095
NFKB1	1538.8911	NFKB1	1633.7761
NFKB2	696.616	NFKB2	957.3055
NFKBIA	2328.5853	NFKBIA	3777.5142
NFKBIB	333.1216	NFKBIB	315.9393
NFKBID	9.7977	NFKBID	74.9526
NFKBIE	213.9163	NFKBIE	342.5047
NFKBIL1	454.9396	NFKBIL1	354.3643
NFKBIL2	76.6996	NFKBIL2	66.8501
NFKBIZ	43.1099	NFKBIZ	1954.9336
NFRKB	801.1248	NFRKB	730.5503
NFS1	550.957	NFS1	443.074
NFU1	794.593	NFU1	597.723
NFX1	1366.1251	NFX1	1203.5104
NFXL1	317.0142	NFXL1	251.6651
NFYA	1148.9429	NFYA	888.0455
NFYB	627.0524	NFYB	814.0417
NFYC	1419.9145	NFYC	1010.5455
NGDN	635.2172	NGDN	497.1537
NGEF	75.4422	NGEF	64.0417
NGFRAP1	1260.31	NGFRAP1	1145.6357
NGFR	14.0434	NGFR	1382.8273
removed	removed	NGF	6.167
NGLY1	594.3934	NGLY1	644.6869
NGRN	3099.605	NGRN	2393.9564
NHEDC1	9.4711	removed	removed
NHEDC2	107.448	NHEDC2	173.6243
NHEJ1	227.9597	NHEJ1	227.4526
removed	removed	NHLH1	8.0645
NHLRC1	276.9481	NHLRC1	54.5541
NHLRC2	262.2516	NHLRC2	192.5996
NHLRC3	313.1996	NHLRC3	859.1082
NHLRC4	137.4943	NHLRC4	33.2068
NHP2L1	2975.8862	NHP2L1	1785.1044
NHP2	1552.6079	NHP2	855.3131
NHSL1	71.1966	NHSL1	334.4402
NHSL2	47.6821	NHSL2	94.4023
NHS	39.1908	NHS	267.0778
NICN1	320.7112	NICN1	450.8586
NID1	704.4477	NID1	2272.704
NID2	210.3238	NID2	463.9469
NIF3L1	580.6767	NIF3L1	390.4175
NINJ1	2873.6636	NINJ1	1576.8501
NINJ2	35.9249	NINJ2	95.351
NINL	239.0637	NINL	283.2068
NIN	1498.7206	NIN	1328.2732
NIP7	664.2836	NIP7	510.9108
NIPA1	630.6449	NIPA1	296.9639
NIPA2	1138.492	NIPA2	778.463
removed	removed	NIPAL1	59.2979
NIPAL2	52.9075	NIPAL2	173.6243
NIPAL3	752.7895	NIPAL3	952.0873
removed	removed	NIPAL4	30.3605
NIPBL	2299.1922	NIPBL	2338.2353
NIPSNAP1	1544.7697	NIPSNAP1	779.4118
NIPSNAP3A	385.376	NIPSNAP3A	594.8767
NIPSNAP3B	17.6358	NIPSNAP3B	115.8017
NISCH	1432.0963	NISCH	2617.6471
NIT1	1668.6779	NIT1	654.649
NIT2	886.0381	NIT2	701.1385
NKAIN1	784.1421	NKAIN1	10.4364
removed	removed	NKAIN2	13.7571
removed	removed	NKAPL	41.7457
NKAP	407.5841	NKAP	319.26
NKD1	60.7457	NKD1	11.3852
NKD2	30.6994	NKD2	53.6053
NKG7	32.659	NKG7	161.2903
NKIRAS1	418.6881	NKIRAS1	228.1784
NKIRAS2	690.7374	NKIRAS2	864.8008
removed	removed	NKPD1	20.8729
NKRF	334.428	NKRF	268.0266
NKTR	1023.859	NKTR	2309.7723
NKX3-1	255.3932	NKX3-1	159.8672
NLE1	263.558	NLE1	290.797
NLGN1	206.7313	NLGN1	35.5787
NLGN2	111.6937	NLGN2	851.9924
NLGN3	5.8786	NLGN3	20.8729
NLGN4X	27.107	NLGN4X	379.5066
NLK	641.749	NLK	426.945
NLN	660.6912	NLN	319.7343
NLRC3	45.396	NLRC3	86.8121
NLRC4	34.6185	NLRC4	77.7989
NLRC5	116.266	NLRC5	722.0114
NLRP12	14.37	NLRP12	29.8861
NLRP1	63.3584	NLRP1	781.3093
NLRP2	922.2896	NLRP2	68.3112
NLRP3	74.4625	NLRP3	135.1992
removed	removed	NLRP5	18.9753
removed	removed	NLRP6	9.0133
NLRP7	9.1445	removed	removed
removed	removed	NLRP9	6.167
NLRX1	343.8991	NLRX1	610.5313
NMB	17.3093	NMB	539.8482
NMD3	1120.5296	NMD3	1131.4042
NME1-NME2	187.6879	NME1-NME2	79.9051
NME1	2743.1061	NME1	757.4431
NME2P1	78.7081	NME2P1	69.7343
NME2	7882.9208	NME2	4390.3558
NME3	755.7288	NME3	420.3036
NME4	1533.3391	NME4	1465.37
NME5	277.2747	NME5	74.4782
NME6	333.7748	NME6	138.0455
NME7	513.3012	NME7	188.8567
NMI	258.9857	NMI	349.6205
NMNAT1	362.5147	NMNAT1	268.9753
removed	removed	NMNAT2	379.5066
NMNAT3	260.6187	NMNAT3	215.37
NMRAL1	1122.8157	NMRAL1	537.4763
NMT1	2391.2905	NMT1	2481.9734
NMT2	135.2082	NMT2	1020.8729
removed	removed	NMUR1	87.7609
removed	removed	NNAT	121.9165
NNMT	617.2547	NNMT	5020.3985
NNT	1289.0499	NNT	1106.2619
NOB1	829.5381	NOB1	981.9734
NOC2L	1584.7313	NOC2L	1425.1945
NOC3L	569.8992	NOC3L	476.2808
NOC4L	267.1505	NOC4L	201.6129
NOD1	201.1793	NOD1	540.3226
NOD2	53.2341	NOD2	55.5028
removed	removed	NODAL	13.7571
NOG	113.6532	removed	removed
NOL10	842.2751	NOL10	585.8634
NOL11	1741.0502	NOL11	833.0171
NOL12	234.436	NOL12	287.0019
NOL3	1282.172	NOL3	388.9943
removed	removed	NOL4	14.7059
NOL6	1451.3651	NOL6	1077.3245
NOL7	770.4253	NOL7	562.1442
NOL8	749.197	NOL8	734.3454
NOL9	165.2544	NOL9	136.148
NOLC1	2700.8976	NOLC1	2233.3966
NOM1	441.876	NOM1	435.4839
NOMO1	5702.9111	NOMO1	2261.8596
NOMO2	1889.322	NOMO2	1049.3359
NOMO3	1845.8855	NOMO3	1490.038
NONO	6913.2529	NONO	5259.4877
NOP10	853.3791	NOP10	826.3757
NOP14	1169.9426	NOP14	872.0446
NOP16	223.714	NOP16	198.2922
NOP2	691.064	NOP2	570.6831
NOP56	1628.7033	NOP56	1293.6433
NOP58	1695.0011	NOP58	1138.0455
NOS1AP	34.6185	NOS1AP	131.8786
NOS2	5.8786	NOS2	13.2827
NOS3	75.4651	NOS3	410.7163
NOSIP	505.561	NOSIP	531.7837
NOSTRIN	1190.0932	NOSTRIN	715.37
NOTCH1	411.1766	NOTCH1	2025.6167
NOTCH2NL	1609.1308	NOTCH2NL	566.888
NOTCH2	6085.6743	NOTCH2	5128.0835
NOTCH3	1620.5386	NOTCH3	4178.8425
NOTCH4	222.0811	NOTCH4	1936.4326
NOVA1	2527.805	NOVA1	515.1803
NOVA2	26.4538	NOVA2	79.222
NOV	136.5145	NOV	763.7571
NOX4	69.5636	NOX4	44.1176
NOX5	14.7259	NOX5	9.0133
NOXA1	103.529	NOXA1	97.2486
NPAS1	104.8353	NPAS1	7.1157
NPAS2	333.7748	NPAS2	406.5465
NPAS3	12.4104	NPAS3	107.2106
NPAT	615.6218	NPAT	550.2846
NPC1L1	9.4711	NPC1L1	7.1157
NPC1	915.5945	NPC1	1095.5645
NPC2	2101.9319	NPC2	4665.5598
NPDC1	1685.2034	NPDC1	1326.8501
NPEPL1	397.4598	NPEPL1	756.6414
NPEPPS	5172.5292	NPEPPS	1783.6812
removed	removed	NPFF	13.7571
NPHP1	206.4048	NPHP1	137.0968
NPHP3	255.0666	NPHP3	762.334
NPHP4	260.6187	NPHP4	352.9412
NPIPL3	318.0527	NPIPL3	793.9991
NPIP	180.8622	NPIP	622.1869
NPLOC4	1559.1397	NPLOC4	2206.8311
NPL	257.3528	NPL	928.3681
NPM1	9989.7288	NPM1	7252.3719
removed	removed	NPM2	35.5787
NPM3	217.1822	NPM3	197.8178
NPNT	4352.4622	NPNT	1396.5844
NPR1	39.5174	NPR1	1430.74
NPR2	34.6185	NPR2	389.9431
NPR3	22.5347	NPR3	225.3321
NPRL2	715.6758	NPRL2	299.8102
NPRL3	776.9571	NPRL3	663.1879
NPTN	2757.3977	NPTN	2405.5977
removed	removed	NPTX1	40.3226
NPTX2	20.5752	NPTX2	47.4383
NPTXR	257.3528	NPTXR	611.4801
NPY1R	108.7544	NPY1R	1065.9393
removed	removed	NPY2R	119.5446
removed	removed	NPY5R	115.7495
NQO1	1925.2469	NQO1	1852.4668
NQO2	372.3124	NQO2	595.351
removed	removed	NR0B1	6.6414
NR1D1	395.6603	NR1D1	383.7192
NR1D2	1043.4544	NR1D2	1125.2372
NR1H2	1031.3706	NR1H2	1279.8861
NR1H3	570.2258	NR1H3	1238.6148
NR1I3	7.1425	removed	removed
NR2C1	209.6707	NR2C1	378.0835
NR2C2AP	535.3852	NR2C2AP	346.907
NR2C2	493.7679	NR2C2	1093.6812
removed	removed	NR2E3	8.5389
NR2F1	30.3729	NR2F1	195.4459
NR2F2	1113.3446	NR2F2	1026.0911
NR2F6	863.83	NR2F6	592.9791
NR3C1	1061.4168	NR3C1	2422.6755
NR3C2	97.3238	NR3C2	882.8273
NR4A1	1040.5151	NR4A1	13257.5901
NR4A2	2136.8771	NR4A2	1231.0247
NR4A3	39.844	NR4A3	1628.5579
NR5A2	40.1705	NR5A2	243.833
NR6A1	17.9624	NR6A1	6.167
NRARP	169.8267	NRARP	210.1518
NRAS	1127.0614	NRAS	1200.6641
NRBF2	330.8355	NRBF2	585.8634
NRBP1	2121.2007	NRBP1	2101.518
NRBP2	175.7053	NRBP2	1359.1082
NRCAM	63.685	NRCAM	166.0342
NRD1	2868.4382	NRD1	2522.296
NRF1	408.8904	NRF1	477.704
removed	removed	NRG1	406.5465
removed	removed	NRG2	129.981
removed	removed	NRG4	7.1157
NRGN	12.4104	NRGN	32.2581
NRIP1	14806.9283	NRIP1	2472.4858
NRIP2	41.4769	NRIP2	75.4269
NRIP3	1452.3448	NRIP3	351.518
NRK	35.9249	NRK	91.556
NRL	26.1598	NRL	24.1935
NRM	119.2053	NRM	189.7533
NRN1	63.3584	NRN1	1033.2068
NRP1	822.0265	NRP1	4550.2846
NRP2	519.2778	NRP2	1457.3055
NRSN2	1286.4372	NRSN2	517.5522
removed	removed	NRTN	13.7571
NRXN1	8.4913	NRXN1	130.9298
removed	removed	NRXN2	28.463
NRXN3	90.792	NRXN3	72.1063
NSA2	1652.2178	NSA2	1574.4782
NSD1	1402.7032	NSD1	1946.3947
NSDHL	609.09	NSDHL	408.9184
NSFL1C	1567.631	NSFL1C	1561.6698
NSF	2800.8341	NSF	949.7154
NSL1	1252.1453	NSL1	500.9488
NSMAF	497.7229	NSMAF	762.334
NSMCE1	1552.9345	NSMCE1	833.0171
NSMCE2	250.1678	NSMCE2	264.7059
NSMCE4A	481.72	NSMCE4A	723.4345
NSUN2	1526.4807	NSUN2	1300.2846
NSUN3	161.9885	NSUN3	121.4042
NSUN4	851.093	NSUN4	564.5161
NSUN5P1	20.2486	NSUN5P1	92.9791
NSUN5P2	73.1757	NSUN5P2	250.925
NSUN5	458.2055	NSUN5	351.0436
NSUN6	252.7805	NSUN6	207.7799
NSUN7	276.9481	NSUN7	166.9829
NT5C2	903.0208	NT5C2	1473.4345
NT5C3L	1019.6134	NT5C3L	595.351
NT5C3	707.7201	NT5C3	352.9412
NT5C	526.4628	NT5C	277.5142
NT5DC1	766.5063	NT5DC1	849.1461
NT5DC2	211.9568	NT5DC2	472.0019
NT5DC3	231.8788	NT5DC3	526.5655
NT5E	115.9394	NT5E	392.315
NT5M	70.5434	NT5M	33.6812
NTAN1	491.1911	NTAN1	544.592
NTF3	12.737	NTF3	49.3359
removed	removed	NTF4	48.8615
NTHL1	278.5811	NTHL1	120.9677
NTM	78.3816	NTM	213.9469
NTN1	266.4973	NTN1	287.9507
NTN4	5809.7059	NTN4	5473.4345
removed	removed	NTN5	22.296
removed	removed	NTNG1	8.0645
removed	removed	NTNG2	5.2182
NTRK2	8867.5662	NTRK2	5851.0436
removed	removed	NTRK3	213.9469
NTS	9.7977	removed	removed
NUAK1	139.7804	NUAK1	950.6641
NUAK2	213.2631	NUAK2	45.5408
NUB1	2096.344	NUB1	1606.8975
NUBP1	472.4415	NUBP1	429.6347
NUBP2	679.3068	NUBP2	460.1518
NUBPL	433.0581	NUBPL	345.8254
NUCB1	4617.6532	NUCB1	6202.5617
NUCB2	12719.9607	NUCB2	1249.981
NUCKS1	11500.2066	NUCKS1	7318.3112
NUDCD1	395.8268	NUDCD1	503.3207
NUDCD2	499.6824	NUDCD2	279.8861
NUDCD3	2045.1053	NUDCD3	2244.3074
NUDC	2443.2183	NUDC	1605.3131
NUDT10	17.9624	NUDT10	34.1556
removed	removed	NUDT11	53.6053
NUDT12	1516.3564	NUDT12	507.1157
NUDT13	45.396	NUDT13	53.5721
NUDT14	294.9106	NUDT14	366.6983
NUDT15	179.9053	NUDT15	363.5721
NUDT16L1	813.8618	NUDT16L1	306.926
NUDT16P1	110.7139	NUDT16P1	76.3757
NUDT16	655.1391	NUDT16	796.4896
NUDT17	68.2573	NUDT17	21.3472
NUDT18	250.821	NUDT18	179.3169
NUDT19	688.7779	NUDT19	331.1195
NUDT1	99.2833	NUDT1	135.6736
NUDT21	3238.1379	NUDT21	2156.0721
NUDT22	432.2906	NUDT22	285.0712
NUDT2	883.752	NUDT2	519.4497
NUDT3	554.2229	NUDT3	332.0683
NUDT4	1383.1078	NUDT4	659.8672
NUDT5	883.4907	NUDT5	447.9364
NUDT6	130.2375	NUDT6	65.9345
NUDT7	114.633	NUDT7	141.3662
NUDT8	55.1937	NUDT8	94.4023
NUDT9	719.1507	NUDT9	476.2808
NUF2	70.87	NUF2	6.167
NUFIP1	169.1735	NUFIP1	212.0493
NUFIP2	2801.8139	NUFIP2	2563.093
NUMA1	16146.7466	NUMA1	9647.315
NUMBL	317.4453	NUMBL	325.9013
NUMB	1674.7525	NUMB	1494.3074
NUP107	834.1103	NUP107	871.9165
NUP133	2622.1895	NUP133	1156.5465
NUP153	1346.2031	NUP153	1516.6034
NUP155	699.2288	NUP155	478.1784
NUP160	944.4977	NUP160	1224.3833
NUP188	1165.9256	NUP188	1235.7685
NUP205	1587.2264	NUP205	1048.3871
NUP210L	49.3151	NUP210L	10.4364
NUP210	2595.0825	NUP210	787.0019
NUP214	1382.4546	NUP214	1362.4288
NUP35	311.5667	NUP35	241.4611
NUP37	476.4945	NUP37	284.1556
NUP43	690.4108	NUP43	716.3188
NUP50	1546.0761	NUP50	1029.8861
NUP54	766.1797	NUP54	829.6964
NUP62CL	61.7255	NUP62CL	27.0398
NUP62	1396.7233	NUP62	1219.5304
NUP85	648.6073	NUP85	583.0171
NUP88	571.2709	NUP88	794.3074
NUP93	622.8067	NUP93	687.3814
NUP98	2764.5826	NUP98	2657.9696
NUPL1	1987.9521	NUPL1	977.704
NUPL2	465.7171	NUPL2	321.6319
NUPR1	3027.1608	NUPR1	3673.6243
NUS1	748.2172	NUS1	1252.8463
NUSAP1	224.0406	NUSAP1	69.7343
NUTF2	1438.3015	NUTF2	1131.4042
NVL	1432.7494	NVL	401.3283
removed	removed	NWD1	18.9753
NXF1	1775.0156	NXF1	2113.852
removed	removed	NXF3	6.6414
NXNL2	45.396	NXNL2	14.2315
NXN	102.2226	NXN	687.3814
NXPH3	4662.0694	NXPH3	142.315
removed	removed	NXPH4	83.4915
NXT1	257.3528	NXT1	309.2979
NXT2	488.5783	NXT2	323.055
NYNRIN	266.4973	NYNRIN	762.8083
OAF	426.5263	OAF	706.3567
OAS1	530.7084	OAS1	271.3472
OAS2	1392.9055	OAS2	504.2694
OAS3	1013.0816	OAS3	661.7647
OASL	79.3613	OASL	126.186
OAT	8885.2021	OAT	3248.1025
OAZ1	6554.0041	OAZ1	7728.871
OAZ2	1999.7093	OAZ2	1679.7913
OAZ3	196.3719	OAZ3	35.8824
OBFC1	635.5437	OBFC1	682.1632
OBFC2A	333.7748	OBFC2A	585.8634
OBFC2B	726.3357	OBFC2B	391.8406
OBP2B	6.8584	OBP2B	22.7704
OBSCN	137.4616	OBSCN	1235.9915
OBSL1	572.1853	OBSL1	1950.1898
OCEL1	309.2805	OCEL1	241.9355
OCIAD1	4772.7833	OCIAD1	2234.3454
