gene_id	TCGA-AC-A2FB-01A-11R-A17B-07	gene_id	TCGA-AC-A2FB-11A-13R-A17B-07
AMMECR1	485.2905	AMMECR1	231.5257
AMN1	207.1481	AMN1	169.585
AMOTL1	1939.2171	AMOTL1	2789.7341
AMOTL2	886.9438	AMOTL2	3616.9122
AMOT	2250.4255	AMOT	1461.0172
AMPD1	23.3406	AMPD1	146.7332
AMPD2	624.686	AMPD2	700.8914
AMPD3	389.0105	AMPD3	237.84
AMPH	47.0054	AMPH	121.1751
AMT	40.5479	AMT	159.2325
AMY1A	37.2802	AMY1A	28.8655
AMY2B	191.4742	AMY2B	226.0803
AMZ1	35.9835	AMZ1	12.328
AMZ2P1	156.2525	AMZ2P1	183.1158
AMZ2	2032.2555	AMZ2	1160.6352
ANAPC10	111.5163	ANAPC10	148.2366
ANAPC11	864.5757	ANAPC11	666.9142
ANAPC13	1229.8306	ANAPC13	1451.8194
ANAPC16	2312.9913	ANAPC16	2654.4269
ANAPC1	918.3888	ANAPC1	699.9893
ANAPC2	533.5927	ANAPC2	514.1674
ANAPC4	390.3072	ANAPC4	521.0831
ANAPC5	2085.096	ANAPC5	2177.8448
ANAPC7	961.8283	ANAPC7	791.6975
ANGEL1	620.7959	ANGEL1	684.3538
ANGEL2	727.1254	ANGEL2	550.8507
ANGPT1	52.8406	ANGPT1	531.9077
ANGPT2	263.5546	ANGPT2	515.3701
ANGPT4	6.1593	ANGPT4	18.041
ANGPTL1	58.9999	ANGPTL1	644.6637
ANGPTL2	999.4327	ANGPTL2	7704.6935
ANGPTL4	58.3516	ANGPTL4	1283.9151
removed	removed	ANGPTL5	56.829
ANGPTL6	5.498	removed	removed
ANGPTL7	27.2307	ANGPTL7	581.5203
ANG	335.7971	ANG	589.4884
ANK1	35.6593	ANK1	20.1457
ANK2	522.8949	ANK2	2395.5391
ANK3	1990.1127	ANK3	958.8771
ANKAR	16.5329	ANKAR	32.7744
ANKDD1A	80.0713	ANKDD1A	193.6397
removed	removed	ANKFN1	5.4123
ANKFY1	2142.7993	ANKFY1	2468.3043
ANKHD1-EIF4EBP3	1126.7299	ANKHD1-EIF4EBP3	776.916
ANKHD1	3016.0207	ANKHD1	2276.9438
ANKH	1856.8766	ANKH	2257.8264
ANKIB1	1713.5911	ANKIB1	1146.8038
ANKK1	12.6428	ANKK1	46.3051
ANKLE1	8.1044	ANKLE1	6.9157
ANKLE2	1500.932	ANKLE2	1509.4272
ANKMY1	311.8567	ANKMY1	192.1362
ANKMY2	534.241	ANKMY2	722.8412
ANKRA2	378.961	ANKRA2	245.9584
ANKRD10	1337.0419	ANKRD10	1134.9689
ANKRD11	2002.4378	ANKRD11	2121.5901
ANKRD12	1802.4151	ANKRD12	1385.8466
ANKRD13A	1261.3664	ANKRD13A	1557.5364
