gene_id	TCGA-AC-A2FB-01A-11R-A17B-07	gene_id	TCGA-AC-A2FB-11A-13R-A17B-07
LOC285074	220.4393	LOC285074	248.6646
LOC285359	42.1428	LOC285359	43.599
LOC285593	16.8571	LOC285593	9.9225
LOC285830	29.2795	LOC285830	120.4625
removed	removed	LOC286002	15.3739
LOC286367	29.5	LOC286367	125.3847
LOC286467	6.4835	LOC286467	7.5171
LOC338758	28.2033	LOC338758	36.6833
LOC338799	130.3185	LOC338799	187.626
LOC339047	398.4115	LOC339047	535.2152
LOC339290	390.3072	LOC339290	537.0193
LOC339524	98.5493	LOC339524	407.3469
LOC339535	123.5108	LOC339535	42.9976
LOC341056	11.6703	LOC341056	7.5171
removed	removed	LOC342346	6.9157
LOC344595	150.7416	LOC344595	209.5758
LOC348926	122.5383	LOC348926	69.4577
LOC349114	117.9998	LOC349114	98.3232
LOC349196	9.7253	LOC349196	14.5079
LOC374443	171.1646	LOC374443	65.8495
LOC375190	57.379	LOC375190	131.0977
LOC387646	109.5713	LOC387646	39.3894
LOC387647	499.4991	LOC387647	613.3927
LOC388152	138.7471	LOC388152	91.1069
LOC388242	14.5879	LOC388242	48.7106
LOC388588	29.1758	LOC388588	23.4533
LOC388692	988.0866	LOC388692	386.3773
LOC388789	495.9883	LOC388789	583.3244
LOC388796	192.5602	LOC388796	200.856
LOC388955	333.2523	LOC388955	275.726
LOC389033	70.6702	LOC389033	16.5375
LOC389333	35.0109	LOC389333	21.6492
LOC389493	76.5054	LOC389493	18.3416
LOC389705	7.1319	LOC389705	27.6628
removed	removed	LOC390595	11.7266
LOC399744	89.7966	LOC399744	98.9246
LOC399815	9.4011	removed	removed
LOC399959	248.3183	LOC399959	742.987
LOC400027	204.2305	LOC400027	306.3957
LOC400043	153.335	LOC400043	410.1312
LOC400657	199.3679	LOC400657	207.7717
LOC400696	15.8846	removed	removed
LOC400752	25.6099	LOC400752	31.271
LOC400759	53.1648	LOC400759	39.9908
removed	removed	LOC400804	6.9157
LOC400927	18.2349	LOC400927	16.0925
LOC400931	61.5933	LOC400931	82.3871
LOC401010	26.9066	LOC401010	22.2505
LOC401052	45.7087	LOC401052	168.0816
LOC401093	49.0737	LOC401093	246.3523
LOC401127	7.1319	LOC401127	6.615
LOC401397	607.1805	LOC401397	537.32
LOC401431	47.0119	LOC401431	63.3659
removed	removed	LOC401463	5.713
LOC401588	40.8461	LOC401588	51.4167
LOC402377	25.2857	LOC402377	8.7198
LOC407835	42.1428	LOC407835	52.3188
LOC440173	5.1868	LOC440173	12.9294
LOC440354	97.0192	LOC440354	105.1457
LOC440461	7.1319	LOC440461	11.7266
LOC440896	6.8077	removed	removed
LOC440905	42.467	LOC440905	27.9635
LOC440925	19.4505	LOC440925	22.8519
LOC440944	165.0053	LOC440944	145.5304
LOC440957	87.2032	LOC440957	116.9656
LOC441046	9.0769	LOC441046	18.6423
LOC441089	96.6043	LOC441089	110.6512
LOC441177	5.6147	removed	removed
LOC441204	48.6263	LOC441204	72.4645
LOC441208	26.9066	LOC441208	41.7949
LOC441294	87.2032	LOC441294	106.141
LOC441454	5.1868	removed	removed
LOC441455	18.478	LOC441455	16.5375
LOC441666	51.2197	LOC441666	47.8085
LOC441869	143.2855	LOC441869	333.4571
LOC442421	150.0932	LOC442421	10.8246
LOC442454	119.2965	LOC442454	153.9495
LOC493754	394.5214	LOC493754	509.0558
LOC541471	117.6757	LOC541471	177.4028
LOC541473	6.3474	removed	removed
LOC550112	191.9021	LOC550112	195.4438
LOC550643	382.5269	LOC550643	352.7008
LOC554202	17.1813	LOC554202	39.0888
removed	removed	LOC55908	30.0683
removed	removed	LOC572558	21.0478
LOC595101	128.3572	LOC595101	88.1
LOC606724	62.2417	LOC606724	24.3553
LOC613037	32.7417	LOC613037	17.7403
LOC619207	14.9121	LOC619207	9.3212
LOC641298	107.9634	LOC641298	82.6005
LOC642587	312.1809	LOC642587	635.3425
LOC642826	70.8161	LOC642826	80.15
LOC642846	71.9669	LOC642846	79.3802
LOC642852	247.0216	LOC642852	248.9653
LOC643008	118.9724	LOC643008	9.0205
LOC643387	35.0109	LOC643387	27.3621
removed	removed	LOC643719	122.6785
removed	removed	LOC643763	11.7266
LOC643837	165.0053	LOC643837	180.4096
LOC644172	24.6373	LOC644172	34.8792
LOC644538	64.8351	LOC644538	253.7762
LOC644936	17.1813	LOC644936	17.1389
LOC645166	45.0604	LOC645166	217.0929
LOC645332	144.5822	LOC645332	105.8403
LOC645431	9.8484	LOC645431	11.2425
LOC645676	21.4799	LOC645676	21.0869
LOC646214	97.2526	LOC646214	85.3939
LOC646471	43.3098	LOC646471	36.7945
LOC646762	100.8185	LOC646762	162.068
LOC646851	79.423	LOC646851	45.7038
LOC646999	16.5329	LOC646999	24.0546
LOC647121	106.3295	LOC647121	71.2618
LOC647288	7.1319	LOC647288	6.0137
LOC647859	41.1703	LOC647859	10.2232
LOC647946	10.6978	removed	removed
LOC647979	10487.3977	LOC647979	15010.3811
LOC648740	23.6065	LOC648740	13.7743
LOC649330	11.3461	LOC649330	6.9157
LOC650368	28.2033	LOC650368	75.772
LOC650623	96.2801	LOC650623	59.2345
LOC651250	1531.7287	LOC651250	2089.7448
LOC652276	56.0823	LOC652276	24.656
LOC653113	38.2527	LOC653113	31.8724
LOC653501	197.747	LOC653501	216.7922
LOC653566	1552.8001	LOC653566	1593.0169
LOC653653	108.5988	LOC653653	101.6308
LOC653786	6.4835	removed	removed
LOC654342	218.8184	LOC654342	945.6471
LOC654433	75.2087	LOC654433	247.519
LOC678655	162.4216	LOC678655	285.3298
LOC723972	9.4011	LOC723972	9.3212
LOC727677	8.1952	removed	removed
LOC727896	9.4011	LOC727896	17.7403
LOC728024	16.5329	LOC728024	33.6765
LOC728190	193.5327	LOC728190	188.5281
LOC728264	212.0107	LOC728264	780.873
LOC728323	28.5274	LOC728323	18.041
LOC728392	61.9175	LOC728392	102.8335
LOC728554	87.5274	LOC728554	107.6444
LOC728606	6.4835	LOC728606	75.4714
LOC728613	171.813	LOC728613	150.642
LOC728640	29.8241	LOC728640	28.2642
LOC728643	60.2966	LOC728643	54.7243
LOC728723	9.4011	LOC728723	15.6355
LOC728743	152.0383	LOC728743	154.8516
LOC728758	38.901	LOC728758	36.6833
LOC728819	10.6978	LOC728819	46.3051
LOC728855	314.891	LOC728855	173.5661
LOC728875	107.8337	LOC728875	60.0644
removed	removed	LOC728989	7.8178
LOC729020	27.8791	LOC729020	18.6423
LOC729082	569.0153	LOC729082	321.5651
LOC729176	25.6099	LOC729176	32.173
LOC729234	35.0109	LOC729234	94.7151
LOC729375	49.9198	LOC729375	38.1867
removed	removed	LOC729467	23.1526
LOC729603	22.0439	LOC729603	20.1457
LOC729678	442.454	LOC729678	432.072
LOC729799	22.0439	LOC729799	15.3348
LOC729991-MEF2B	49.1806	LOC729991-MEF2B	49.6307
LOC729991	157.7794	LOC729991	200.5975
LOC730101	81.0438	LOC730101	71.2618
LOC80054	18.478	LOC80054	87.7993
LOC80154	369.5599	LOC80154	321.1291
LOC81691	116.379	LOC81691	106.141
LOC84740	10.4222	removed	removed
LOC84856	19.4505	LOC84856	57.1297
LOC90110	1049.3557	LOC90110	356.6097
LOC90246	13.9395	LOC90246	31.5717
removed	removed	LOC90586	10.8246
LOC90784	589.9992	LOC90784	300.6827
LOC90834	29.1758	LOC90834	15.0341
LOC91316	195.1828	LOC91316	199.1602
LOC92249	406.5159	LOC92249	608.2811
LOC92659	54.7856	LOC92659	55.0249
LOC92973	247.3458	LOC92973	102.2321
removed	removed	LOC93432	5.1116
LOC93622	351.0819	LOC93622	380.965
LOC96610	9057.3401	LOC96610	35433.9347
LOH12CR1	105.357	LOH12CR1	96.2185
LOH12CR2	35.9835	LOH12CR2	43.2983
LOH3CR2A	31.1208	LOH3CR2A	96.8198
LONP1	995.2184	LONP1	1041.5649
LONP2	1788.4756	LONP2	1510.3292
LONRF1	389.0105	LONRF1	613.3927
LONRF2	1079.8282	LONRF2	336.1633
LONRF3	21.3956	LONRF3	39.6901
LOXHD1	5.511	LOXHD1	5.4123
LOXL1	700.8672	LOXL1	906.859
LOXL2	440.4506	LOXL2	775.9177
LOXL3	48.6133	LOXL3	129.7235
LOXL4	123.835	LOXL4	749.0006
LOX	504.0927	LOX	1390.6575
LPAL2	6.4835	LPAL2	6.9157
LPAR1	469.0818	LPAR1	1047.2778
LPAR2	345.8951	LPAR2	214.3868
LPAR3	22.6923	LPAR3	12.0273
LPAR4	8.1044	LPAR4	6.9157
LPAR5	184.78	LPAR5	170.7878
LPAR6	706.054	LPAR6	1022.9225
LPCAT1	1570.9539	LPCAT1	1064.7174
LPCAT2	809.1417	LPCAT2	1174.1659
LPCAT3	1690.2504	LPCAT3	1274.2933
LPCAT4	325.7963	LPCAT4	755.0143
LPGAT1	1922.36	LPGAT1	1713.5907
LPHN1	1463.0035	LPHN1	992.5536
LPHN2	1066.537	LPHN2	1487.1766
LPHN3	85.5823	LPHN3	203.2615
LPIN1	645.109	LPIN1	1081.5557
LPIN2	1136.5589	LPIN2	1013.3007
LPIN3	175.7971	LPIN3	300.9112
LPL	255.4502	LPL	11113.5333
LPPR1	9.0769	LPPR1	36.0819
LPPR2	833.1307	LPPR2	597.4565
LPPR3	311.2084	LPPR3	60.4372
LPPR4	79.7471	LPPR4	192.4369
LPP	1327.4982	LPP	413.4387
LPXN	840.5868	LPXN	333.4571
LQK1	22.6923	LQK1	22.8519
LRAT	58.3516	LRAT	72.4645
LRBA	5104.7897	LRBA	1992.9249
LRCH1	704.1089	LRCH1	748.3992
LRCH2	62.5658	LRCH2	130.1956
LRCH3	370.8566	LRCH3	317.8216
LRCH4	647.7024	LRCH4	495.8258
LRDD	141.3405	LRDD	116.0635
LRFN1	111.8405	LRFN1	53.5215
LRFN2	20.7472	removed	removed
LRFN3	223.3568	LRFN3	229.4209
LRFN4	81.6922	LRFN4	194.8424
LRFN5	17.8296	LRFN5	95.6171
LRG1	1061.3502	LRG1	214.0861
LRGUK	6.8077	removed	removed
LRIG1	5653.0675	LRIG1	4901.5129
LRIG2	239.8898	LRIG2	226.1134
LRIG3	452.5488	LRIG3	1055.9976
LRIT3	15.5604	removed	removed
LRMP	193.5327	LRMP	171.6898
LRP10	6033.228	LRP10	5982.383
LRP11	676.2298	LRP11	1315.7845
LRP12	247.67	LRP12	342.1769
LRP1B	62.2417	LRP1B	58.0318
LRP1	6168.0849	LRP1	26458.2735
LRP2BP	54.4615	LRP2BP	53.8222
LRP2	943.3504	LRP2	1218.667
LRP3	533.8942	LRP3	1180.5103
LRP4	327.7219	LRP4	296.7618
LRP5L	40.1977	LRP5L	45.4031
LRP5	877.5428	LRP5	2511.0012
LRP6	1248.3994	LRP6	1563.8507
LRP8	78.7746	LRP8	45.1024
LRPAP1	1679.2285	LRPAP1	1986.9113
LRPPRC	3617.1489	LRPPRC	3343.5916
LRRC10B	346.2193	LRRC10B	12.6287
removed	removed	LRRC14B	6.3143
LRRC14	502.1736	LRRC14	473.3467
LRRC15	1017.9107	LRRC15	340.9742
LRRC16A	952.1031	LRRC16A	665.4108
LRRC16B	5.511	LRRC16B	5.713
LRRC17	191.9118	LRRC17	533.7118
removed	removed	LRRC18	5.1116
LRRC1	746.5759	LRRC1	512.9647
LRRC20	130.6427	LRRC20	229.4209
LRRC23	220.7634	LRRC23	186.1226
LRRC24	10.996	LRRC24	9.8504
LRRC25	225.6261	LRRC25	310.6052
LRRC26	87.5274	LRRC26	26.7608
LRRC27	236.9365	LRRC27	212.2399
LRRC28	191.2635	LRRC28	215.5895
LRRC29	33.0659	LRRC29	64.0454
LRRC2	20.7472	LRRC2	128.3915
removed	removed	LRRC31	9.6218
LRRC32	1155.6852	LRRC32	1852.8068
LRRC33	242.159	LRRC33	281.439
LRRC34	66.7801	LRRC34	72.7652
LRRC37A2	139.7909	LRRC37A2	215.6136
LRRC37A3	153.335	LRRC37A3	96.2185
LRRC37A4	269.004	LRRC37A4	210.4779
LRRC37A	352.7028	LRRC37A	438.6961
LRRC37B2	749.8177	LRRC37B2	484.7005
LRRC37B	118.6482	LRRC37B	125.3847
LRRC39	11.1387	removed	removed
removed	removed	LRRC3B	42.0956
LRRC3	43.1153	LRRC3	57.7311
LRRC40	322.5545	LRRC40	310.9059
LRRC41	1733.0416	LRRC41	1956.2416
LRRC42	537.4828	LRRC42	521.3838
removed	removed	LRRC43	11.1253
LRRC45	160.4668	LRRC45	143.7263
LRRC46	47.0054	LRRC46	22.8519
LRRC47	1155.3611	LRRC47	1214.1567
LRRC48	82.2303	LRRC48	98.5397
LRRC49	73.5878	LRRC49	138.9154
LRRC4B	20.423	LRRC4B	24.0546
LRRC4C	64.5109	LRRC4C	135.9086
LRRC4	38.2527	LRRC4	90.2048
LRRC50	23.989	LRRC50	16.2369
LRRC55	55.7582	LRRC55	7.2164
LRRC56	73.5878	LRRC56	40.2915
LRRC57	274.5765	LRRC57	332.2544
LRRC58	1278.8719	LRRC58	1173.2639
LRRC59	1538.5396	LRRC59	1770.2273
LRRC61	377.016	LRRC61	184.6192
LRRC66	9.4011	LRRC66	7.2164
LRRC6	60.2966	LRRC6	58.0318
LRRC70	105.9697	LRRC70	150.3233
LRRC8A	1414.3772	LRRC8A	1832.9617
LRRC8B	751.7627	LRRC8B	486.8053
LRRC8C	1037.037	LRRC8C	949.8566
LRRC8D	610.7464	LRRC8D	728.8549
LRRC8E	422.0763	LRRC8E	198.4506
LRRCC1	337.7907	LRRCC1	344.2817
LRRFIP1	4090.1208	LRRFIP1	3115.3735
LRRFIP2	1013.3722	LRRFIP2	976.6174
LRRIQ1	23.989	LRRIQ1	23.7539
LRRIQ3	22.6923	LRRIQ3	13.23
LRRK1	551.4223	LRRK1	610.3859
LRRK2	378.961	LRRK2	553.5569
LRRN1	191.5876	LRRN1	480.1903
LRRN2	111.8405	LRRN2	229.4209
LRRN3	135.5053	LRRN3	155.1523
LRRN4CL	59.9724	LRRN4CL	804.3262
LRRTM2	35.0109	LRRTM2	53.2208
LRSAM1	633.1145	LRSAM1	435.3885
LRTM2	30.1483	removed	removed
LRTOMT	389.1077	LRTOMT	257.9677
LRWD1	174.4064	LRWD1	144.3277
LSAMP	36.3076	LSAMP	70.0591
LSG1	902.8284	LSG1	814.2488
LSM10	395.1698	LSM10	342.1769
LSM11	180.8899	LSM11	210.1772
LSM12	1802.4151	LSM12	802.8228
LSM14A	3115.0012	LSM14A	3085.0045
LSM14B	849.3395	LSM14B	818.4583
LSM1	518.6806	LSM1	435.9899
LSM2	559.5267	LSM2	600.4634
LSM3	729.0704	LSM3	671.7252
LSM4	1310.9652	LSM4	792.2989
LSM5	503.4444	LSM5	532.5091
LSM6	185.1041	LSM6	271.5165
LSM7	268.7414	LSM7	282.6417
LSMD1	332.6039	LSMD1	373.1472
LSP1	2004.7005	LSP1	2325.1793
LSR	1487.965	LSR	962.1846
LSS	703.1364	LSS	1098.0932
LST1	186.4008	LST1	137.1113
LTA4H	1682.4702	LTA4H	2316.1588
LTA	58.0274	removed	removed
LTB4R2	38.5056	LTB4R2	38.5325
LTB4R	154.3529	LTB4R	139.4687
LTBP1	1091.1743	LTBP1	2213.0247
LTBP2	5610.1791	LTBP2	12002.3513
LTBP3	2324.9404	LTBP3	4719.4044
LTBP4	1032.1744	LTBP4	9170.5217
LTBR	1302.8608	LTBR	1813.4174
LTB	340.06	LTB	32.173
LTC4S	26.0994	LTC4S	85.8178
LTF	2340.5462	LTF	12878.5407
LTK	27.2307	LTK	25.558
LTV1	555.6366	LTV1	552.6548
LUC7L2	2127.563	LUC7L2	2131.8945
LUC7L3	1351.163	LUC7L3	1586.7026
LUC7L	325.7963	LUC7L	391.4889
LUM	8037.6043	LUM	17061.6385
LUZP1	1230.2456	LUZP1	1329.3182
LUZP2	112.4889	LUZP2	90.8062
LUZP6	4201.3129	LUZP6	4079.6629
LXN	299.8622	LXN	429.6756
removed	removed	LY6D	25.558
LY6E	8950.4822	LY6E	5535.2678
LY6G5B	18.0825	LY6G5B	34.5545
LY6G5C	19.4505	LY6G5C	26.4601
removed	removed	LY6G6C	5.1116
LY6K	18.8022	LY6K	93.813
LY75	1600.6062	LY75	1600.3205
LY86	208.7689	LY86	133.5031
LY96	145.2306	LY96	208.0724
LY9	281.3842	LY9	52.3188
LYAR	237.2964	LYAR	267.0062
LYG1	9.0769	LYG1	6.3143
LYL1	99.846	LYL1	112.4553
LYNX1	251.5601	LYNX1	1022.0205
LYN	1240.9434	LYN	979.6242
LYPD1	14.2702	LYPD1	8.2537
LYPD3	490.8015	LYPD3	512.3633
LYPD5	87.2032	LYPD5	78.4782
LYPD6B	271.0106	LYPD6B	154.2502
LYPD6	303.4282	LYPD6	531.607
LYPLA1	1737.9042	LYPLA1	874.0846
LYPLA2P1	63.8625	LYPLA2P1	41.4942
LYPLA2	1157.3061	LYPLA2	725.2467
LYPLAL1	508.9553	LYPLAL1	337.366
LYRM1	463.2466	LYRM1	826.8774
LYRM2	1281.1573	LYRM2	976.873
LYRM4	390.3072	LYRM4	526.7961
LYRM5	395.8181	LYRM5	444.1083
LYRM7	392.9006	LYRM7	463.6527
LYSMD1	261.6095	LYSMD1	193.9403
LYSMD2	248.6425	LYSMD2	217.6943
LYSMD3	643.8123	LYSMD3	595.6524
LYSMD4	129.8744	LYSMD4	278.3029
LYST	1333.0092	LYST	1195.8151
LYVE1	17.8296	LYVE1	3049.5239
LYZ	7512.1161	LYZ	1888.588
LZIC	475.5653	LZIC	362.022
LZTFL1	750.1418	LZTFL1	753.8115
LZTR1	862.4038	LZTR1	878.9106
LZTS1	323.527	LZTS1	563.1787
LZTS2	1082.7458	LZTS2	1462.8213
M6PR	3694.1016	M6PR	2943.2657
MAB21L1	63.2142	MAB21L1	100.1273
MACC1	554.6641	MACC1	342.4776
MACF1	7646.3247	MACF1	7427.7647
MACROD1	225.3019	MACROD1	162.3687
MACROD2	520.9498	MACROD2	141.9222
MAD1L1	284.3018	MAD1L1	340.0721
MAD2L1BP	432.7741	MAD2L1BP	366.8329
MAD2L1	231.4612	MAD2L1	94.7151
MAD2L2	332.6039	MAD2L2	337.0653
MADD	1809.8711	MADD	1394.867
MAEA	1008.1854	MAEA	1018.4123
MAF1	1368.9926	MAF1	2323.3752
MAFB	1623.7945	MAFB	2432.8237
MAFF	410.7302	MAFF	713.8207
MAFG	542.0212	MAFG	794.4037
MAFK	296.9706	MAFK	562.009
MAF	607.8288	MAF	2049.4533
MAGED1	2997.0014	MAGED1	3078.3895
MAGED2	7630.7642	MAGED2	6441.2248
MAGED4B	110.0089	MAGED4B	306.7324
MAGED4	42.3535	MAGED4	92.8749
MAGEE1	192.236	MAGEE1	208.9745
removed	removed	MAGEE2	7.2164
MAGEF1	676.554	MAGEF1	815.1508
MAGEH1	360.483	MAGEH1	694.8777
removed	removed	MAGEL2	9.0205
MAGI1	1021.8008	MAGI1	1071.0318
MAGI2	141.3405	MAGI2	330.751
MAGI3	1024.07	MAGI3	605.8756
MAGIX	22.3681	MAGIX	30.9703
MAGOHB	181.8624	MAGOHB	164.4734
MAGOH	348.4885	MAGOH	390.5868
MAGT1	2548.991	MAGT1	2453.8715
MAK16	363.5173	MAK16	437.2137
MAK	86.5548	MAK	11.1253
MAL2	3973.0934	MAL2	1644.4337
MALAT1	5380.2123	MALAT1	2999.0303
MALL	469.4059	MALL	851.8341
MALT1	576.708	MALT1	518.377
MAL	56.0823	MAL	44.8017
MAMDC2	179.564	MAMDC2	1690.9403
MAMDC4	12.6428	MAMDC4	30.9703
MAML1	1394.7613	MAML1	1288.0014
MAML2	724.2078	MAML2	1037.3553
MAML3	499.2301	MAML3	422.4592
MAMLD1	102.7636	MAMLD1	227.9175
MAMSTR	18.8022	MAMSTR	27.0614
MAN1A1	1299.6191	MAN1A1	2109.5898
MAN1A2	1291.8389	MAN1A2	721.0371
MAN1B1	1419.564	MAN1B1	1499.2039
MAN1C1	216.225	MAN1C1	670.8231
MAN2A1	692.1144	MAN2A1	926.7041
MAN2A2	855.823	MAN2A2	1384.9445
MAN2B1	2274.4145	MAN2B1	1884.0778
MAN2B2	1861.415	MAN2B2	1908.4331
MAN2C1	604.2629	MAN2C1	906.859
MANBAL	1106.0864	MANBAL	1403.8875
MANBA	1247.751	MANBA	1169.9564
MANEAL	355.6204	MANEAL	167.4803
MANEA	536.8344	MANEA	402.0128
MANF	784.1802	MANF	783.5791
MANSC1	923.5757	MANSC1	986.5399
MAOA	408.1368	MAOA	3184.8312
MAOB	20933.9493	MAOB	3970.5151
MAP1A	711.8891	MAP1A	1512.1333
MAP1B	1583.2726	MAP1B	3585.9419
MAP1D	43.7637	MAP1D	65.2481
MAP1LC3A	197.747	MAP1LC3A	365.6302
MAP1LC3B2	211.0382	MAP1LC3B2	311.2066
MAP1LC3B	1541.1298	MAP1LC3B	2938.2713
MAP1LC3C	11.3461	MAP1LC3C	59.8359
MAP1S	524.5158	MAP1S	629.9303
MAP2K1	941.5317	MAP2K1	1431.6315
MAP2K2	1454.2507	MAP2K2	1463.4227
MAP2K3	747.5484	MAP2K3	1000.0707
MAP2K4	642.1914	MAP2K4	917.9843
MAP2K5	376.3676	MAP2K5	463.352
MAP2K6	216.5492	MAP2K6	152.7468
MAP2K7	585.1366	MAP2K7	684.3538
MAP2	318.3402	MAP2	493.4203
MAP3K10	104.3845	MAP3K10	121.1751
MAP3K11	1236.7291	MAP3K11	1447.7872
MAP3K12	178.5299	MAP3K12	165.7724
MAP3K13	88.8824	MAP3K13	25.8226
MAP3K14	721.6144	MAP3K14	525.894
MAP3K1	5869.5194	MAP3K1	1501.008
MAP3K2	847.7186	MAP3K2	427.5708
MAP3K3	960.1199	MAP3K3	1585.8216
MAP3K4	667.4771	MAP3K4	786.5859
MAP3K5	750.466	MAP3K5	796.8092
MAP3K6	632.142	MAP3K6	1030.7403
MAP3K7	788.0703	MAP3K7	705.4016
MAP3K8	592.2684	MAP3K8	393.8943
MAP3K9	176.9998	MAP3K9	77.8768
MAP4K1	430.5049	MAP4K1	105.8403
MAP4K2	428.884	MAP4K2	297.6759
MAP4K3	919.0372	MAP4K3	796.8092
MAP4K4	2034.5247	MAP4K4	2589.7801
MAP4K5	913.202	MAP4K5	1192.8083
MAP4	6973.3366	MAP4	9160.2985
MAP6D1	33.0659	MAP6D1	39.0888
MAP6	106.6537	MAP6	181.913
MAP7D1	1352.1355	MAP7D1	2425.3067
removed	removed	MAP7D2	23.7539
MAP7D3	157.2251	MAP7D3	504.5456
MAP7	1130.0754	MAP7	586.6319
MAP9	575.7355	MAP9	293.4663
MAPK10	176.3514	MAPK10	336.4639
MAPK11	222.0601	MAPK11	312.71
MAPK12	50.6394	MAPK12	83.0245
MAPK13	1203.0148	MAPK13	558.6685
MAPK14	1541.1298	MAPK14	1742.4562
MAPK15	36.6318	MAPK15	32.4737
MAPK1IP1L	2176.8377	MAPK1IP1L	2090.3461
MAPK1	4106.6537	MAPK1	3880.6109
MAPK3	1519.0858	MAPK3	2182.3099
removed	removed	MAPK4	75.772
MAPK6	1138.8281	MAPK6	736.0712
MAPK7	201.5074	MAPK7	392.4601
MAPK8IP1	342.9776	MAPK8IP1	313.3114
MAPK8IP2	1870.8161	MAPK8IP2	75.1707
MAPK8IP3	436.6642	MAPK8IP3	411.9353
MAPK8	317.0435	MAPK8	294.3684
MAPK9	916.768	MAPK9	1066.2209
MAPKAP1	1693.8164	MAPKAP1	1909.0345
MAPKAPK2	4754.3561	MAPKAPK2	2786.1259
MAPKAPK3	1036.7129	MAPKAPK3	767.6429
MAPKAPK5	433.3155	MAPKAPK5	417.3205
MAPKBP1	565.686	MAPKBP1	700.5907
MAPKSP1	934.9218	MAPKSP1	1035.8519
MAPRE1	2869.6005	MAPRE1	3100.64
MAPRE2	907.0427	MAPRE2	1020.2164
MAPRE3	366.9665	MAPRE3	461.2473
MAPT	2734.4193	MAPT	1089.9748
MARCH1	244.1041	MARCH1	84.7925
MARCH2	707.3507	MARCH2	946.8498
MARCH3	155.28	MARCH3	191.5349
MARCH4	5.511	removed	removed
MARCH5	1360.8882	MARCH5	1068.025
MARCH6	2852.4192	MARCH6	1631.5043
MARCH7	2618.6887	MARCH7	1962.2553
MARCH8	498.9059	MARCH8	510.5592
MARCH9	231.4612	MARCH9	213.7854
MARCKSL1	6393.0626	MARCKSL1	2220.2411
MARCKS	6788.2324	MARCKS	4735.4518
MARCO	7.1319	MARCO	572.4999
MARK1	52.5164	MARK1	343.079
MARK2	2292.8925	MARK2	1073.4372
MARK3	979.9822	MARK3	1081.8564
MARK4	840.9109	MARK4	580.919
MARS2	212.3349	MARS2	135.3072
MARS	1898.5979	MARS	1263.7423
MARVELD1	672.1971	MARVELD1	1742.339
MARVELD2	494.3675	MARVELD2	217.3936
MARVELD3	176.9414	MARVELD3	219.1376
removed	removed	MAS1L	7.5171
MASP1	17.5055	MASP1	348.7919
MASP2	35.6593	MASP2	34.5785
removed	removed	MAST1	6.3143
MAST2	1022.125	MAST2	1047.2778
MAST3	498.9059	MAST3	376.4547
MAST4	856.4714	MAST4	731.8617
MASTL	280.7359	MASTL	255.5803
MAT1A	14.2637	MAT1A	16.8382
MAT2A	4345.8951	MAT2A	3689.076
MAT2B	2054.2994	MAT2B	2026.9021
MATK	96.6043	MATK	45.7038
MATN2	1494.1243	MATN2	4457.621
MATN3	141.0163	MATN3	76.0727
removed	removed	MATN4	81.1843
MATR3	8116.379	MATR3	7307.1188
MAVS	3252.4516	MAVS	2655.6296
MAX	1573.5473	MAX	1633.9098
MAZ	4215.4859	MAZ	1892.0579
MBD1	821.4604	MBD1	1063.214
MBD2	1946.349	MBD2	1737.946
MBD3	711.565	MBD3	1063.5147
MBD4	727.1254	MBD4	707.5064
MBD5	405.5434	MBD5	349.694
MBD6	1108.3556	MBD6	891.5242
MBIP	271.0106	MBIP	406.2223
removed	removed	MBL1P	5.713
MBLAC1	18.1538	MBLAC1	19.5444
MBLAC2	191.9118	MBLAC2	284.7465
MBNL1	3987.8823	MBNL1	5307.8585
MBNL2	1029.9052	MBNL2	2907.9024
MBNL3	138.4229	MBNL3	57.4304
MBOAT1	1307.0751	MBOAT1	706.3037
MBOAT2	222.3843	MBOAT2	230.3229
MBOAT4	5.8352	removed	removed
MBOAT7	1809.2228	MBOAT7	837.4013
MBP	1265.9049	MBP	1670.8938
MBTD1	481.7246	MBTD1	602.8688
MBTPS1	3419.4019	MBTPS1	4260.6739
MBTPS2	715.4551	MBTPS2	550.2493
MB	295.6479	MB	139.5168
MC1R	62.89	MC1R	29.7676
MCAM	1664.9647	MCAM	7563.3726
MCART1	154.9558	MCART1	198.4506
MCART2	6.8077	MCART2	7.5171
MCART6	34.0384	MCART6	9.6218
MCAT	257.0711	MCAT	263.398
MCCC1	400.6808	MCCC1	686.7593
MCCC2	2982.0893	MCCC2	1992.0229
MCCD1	54.4615	MCCD1	7.2164
MCC	1038.6579	MCC	1052.3895
MCEE	168.247	MCEE	199.0519
MCF2L2	11.9945	MCF2L2	12.0273
MCF2L	633.1145	MCF2L	779.7574
MCFD2	2880.671	MCFD2	3948.027
MCHR1	33.0659	MCHR1	7.3337
MCL1	11924.4671	MCL1	11280.4122
MCM10	102.1152	MCM10	16.8382
MCM2	753.7078	MCM2	459.7438
MCM3APAS	28.5825	MCM3APAS	24.8544
MCM3AP	2077.2607	MCM3AP	1928.6811
MCM3	2212.8211	MCM3	1928.8795
MCM4	1208.85	MCM4	676.8368
MCM5	766.9989	MCM5	778.7682
MCM6	1033.7953	MCM6	846.1211
MCM7	1424.9647	MCM7	1634.8118
MCM8	215.5766	MCM8	159.6625
MCM9	76.5054	MCM9	47.8085
MCOLN1	340.3841	MCOLN1	525.2927
MCOLN2	210.3898	MCOLN2	14.7335
