gene_id	TCGA-E9-A1RD-01A-11R-A157-07	gene_id	TCGA-E9-A1RD-11A-33R-A157-07
ACYP1	73.8406	ACYP1	44.4514
ACYP2	233.8715	ACYP2	267.9515
ADAL	258.5708	ADAL	253.9633
ADAM10	1920.6278	ADAM10	1569.1638
removed	removed	ADAM11	5.2844
ADAM12	1638.1295	ADAM12	1138.9493
ADAM15	5104.5346	ADAM15	2980.7274
ADAM17	665.8519	ADAM17	730.1834
ADAM19	240.8182	ADAM19	155.4243
ADAM21	7.7185	ADAM21	5.5953
ADAM22	56.6026	ADAM22	170.0342
ADAM23	12.8642	ADAM23	47.8707
ADAM28	77.9572	ADAM28	45.3839
ADAM32	21.3546	ADAM32	40.4103
ADAM33	33.447	ADAM33	874.0783
ADAM6	2549.279	ADAM6	7143.2888
ADAM8	253.4251	ADAM8	41.6537
ADAM9	1051.0066	ADAM9	2846.1299
ADAMDEC1	47.3403	removed	removed
ADAMTS10	181.9	ADAMTS10	428.9711
ADAMTS12	308.2267	ADAMTS12	358.7193
ADAMTS13	57.889	ADAMTS13	24.557
ADAMTS14	110.1177	removed	removed
ADAMTS15	2459.3812	ADAMTS15	457.2583
ADAMTS16	201.7109	ADAMTS16	145.788
ADAMTS17	43.4811	ADAMTS17	33.5717
ADAMTS18	9.7768	ADAMTS18	235.0016
ADAMTS19	443.301	ADAMTS19	8.3929
ADAMTS1	361.2272	ADAMTS1	2857.6313
ADAMTS2	258.5708	ADAMTS2	968.6043
ADAMTS3	11.3205	ADAMTS3	150.4507
ADAMTS4	294.8479	ADAMTS4	162.5738
ADAMTS5	165.6911	ADAMTS5	3497.9795
ADAMTS6	122.7246	ADAMTS6	37.6127
ADAMTS7	91.5932	ADAMTS7	119.6767
ADAMTS8	81.3019	ADAMTS8	23.9353
ADAMTS9	260.3718	ADAMTS9	983.2142
ADAMTSL1	73.326	ADAMTSL1	354.3674
ADAMTSL2	199.6527	ADAMTSL2	81.1315
ADAMTSL3	80.2727	ADAMTSL3	270.7491
ADAMTSL4	102.1419	ADAMTSL4	1686.9754
ADAMTSL5	206.8566	ADAMTSL5	28.2872
ADAP1	85.1122	ADAP1	74.3301
ADAP2	409.854	ADAP2	305.5642
ADARB1	516.3697	ADARB1	1076.4688
ADAR	21558.886	ADAR	6341.3118
ADAT1	437.1261	ADAT1	342.5552
ADAT2	79.7582	ADAT2	143.3012
ADAT3	22.641	removed	removed
ADA	93.1369	ADA	249.9223
ADCK1	261.9155	ADCK1	199.8757
ADCK2	966.4167	ADCK2	494.5601
ADCK4	602.56	ADCK4	345.042
ADCK5	68.1804	ADCK5	53.1551
ADCY1	12488.583	ADCY1	608.3307
ADCY2	246.7357	ADCY2	94.1871
ADCY3	584.7533	ADCY3	1494.4078
ADCY4	95.9671	ADCY4	794.2182
ADCY5	158.4872	ADCY5	742.3065
ADCY6	2442.6577	ADCY6	4173.1427
ADCY7	447.9321	ADCY7	927.8831
ADCY9	1801.5051	ADCY9	713.3976
removed	removed	ADCYAP1R1	47.8707
removed	removed	ADCYAP1	14.299
ADC	209.944	ADC	95.4305
ADD1	5346.8836	ADD1	7955.5486
ADD2	11.0632	ADD2	70.5626
ADD3	626.4874	ADD3	3836.1828
removed	removed	ADH1A	596.4625
ADH1B	6.1748	ADH1B	64075.2254
removed	removed	ADH1C	359.0302
removed	removed	ADH4	46.0056
ADH5	1776.5485	ADH5	5411.2527
ADHFE1	81.0446	ADHFE1	613.3043
ADI1	2248.1508	ADI1	2211.3771
ADIPOQ	5.9175	ADIPOQ	69074.2928
ADIPOR1	5015.7587	ADIPOR1	2338.5141
ADIPOR2	4575.8024	ADIPOR2	5111.2838
ADK	418.8589	ADK	461.2993
ADM2	107.5449	ADM2	25.1787
ADM	23.9274	ADM	1160.087
ADNP2	892.2622	ADNP2	533.4162
ADNP	3999.7427	ADNP	2332.2972
ADORA1	277.3525	ADORA1	189.9285
ADORA2A	141.8383	ADORA2A	47.5598
ADORA2B	64.8357	ADORA2B	72.4277
ADORA3	287.3866	ADORA3	134.2866
ADO	625.201	ADO	663.3509
ADPGK	1058.4859	ADPGK	801.8806
ADPRHL1	76.1562	ADPRHL1	73.6711
ADPRHL2	507.1075	ADPRHL2	441.405
ADPRH	169.5504	ADPRH	711.5325
removed	removed	ADRA1A	169.7233
ADRA1B	9.005	ADRA1B	39.7886
removed	removed	ADRA1D	6.8387
ADRA2A	309.2558	ADRA2A	1740.1306
removed	removed	ADRA2B	30.1523
ADRA2C	7.9758	ADRA2C	78.9555
removed	removed	ADRB1	195.5238
ADRB2	20.3255	ADRB2	548.337
ADRBK1	1105.8082	ADRBK1	1255.5176
ADRBK2	608.7348	ADRBK2	3217.2832
ADRM1	689.2648	ADRM1	870.687
ADSL	526.1465	ADSL	700.9636
ADSSL1	103.6856	ADSSL1	376.4377
ADSS	3331.3179	ADSS	1121.231
AEBP1	8215.0897	AEBP1	9723.6556
AEBP2	487.2966	AEBP2	580.9761
AEN	288.4158	AEN	248.368
AES	6654.4028	AES	6036.6801
AFAP1L1	242.8764	AFAP1L1	1723.9664
AFAP1L2	456.937	AFAP1L2	548.6478
AFAP1	1001.0806	AFAP1	1271.3522
AFF1	2693.51	AFF1	3721.7905
AFF2	21.8692	AFF2	57.1961
AFF3	5926.0307	AFF3	620.7647
AFF4	5343.2817	AFF4	3042.2754
AFG3L1	239.789	AFG3L1	186.1983
AFG3L2	1822.4712	AFG3L2	1201.3304
AFMID	880.1698	AFMID	290.3326
AFTPH	2701.7431	AFTPH	1271.9925
AG2	76.928	AG2	226.9195
AGAP11	50.1705	AGAP11	495.5051
AGAP1	573.4868	AGAP1	454.4607
AGAP2	30.0199	AGAP2	81.6506
AGAP3	440.7281	AGAP3	1134.9083
AGAP4	270.6632	AGAP4	202.6733
AGAP5	95.2981	AGAP5	51.0196
AGAP6	128.3849	AGAP6	93.8763
AGAP7	9.5195	AGAP7	6.8387
AGAP8	85.1611	AGAP8	20.2052
AGA	619.5407	AGA	460.9885
AGBL2	47.3403	AGBL2	6.8387
AGBL3	5.403	removed	removed
AGBL4	17.4953	removed	removed
AGBL5	648.1173	AGBL5	672.9935
AGER	29.0731	AGER	37.6127
AGFG1	1474.754	AGFG1	2817.8427
AGFG2	333.1833	AGFG2	386.3848
AGGF1	1449.0255	AGGF1	1047.5598
AGK	643.7255	AGK	458.1909
AGL	704.4446	AGL	1311.1595
AGMAT	30.3596	AGMAT	5.2844
AGPAT1	1803.0951	AGPAT1	1830.2331
AGPAT2	454.6215	AGPAT2	4851.1035
AGPAT3	3858.4936	AGPAT3	2358.0976
AGPAT4	97.2535	AGPAT4	375.5051
AGPAT5	714.2214	AGPAT5	445.7569
AGPAT6	1988.2936	AGPAT6	1658.3774
AGPAT9	20.0682	AGPAT9	165.9932
AGPHD1	35.248	AGPHD1	77.0905
AGPS	2536.8238	AGPS	1829.0333
AGR2	5351.0002	AGR2	501.088
AGR3	6112.8192	AGR3	364.9363
AGRN	2986.8142	AGRN	1355.6108
AGTPBP1	324.4356	AGTPBP1	592.1666
AGTR1	3436.29	AGTR1	785.5145
AGTRAP	780.858	AGTRAP	397.8862
AGT	79.5009	AGT	448.5546
AGXT2L1	214.5752	removed	removed
AGXT2L2	449.2005	AGXT2L2	715.3901
removed	removed	AGXT	7.7712
AHCTF1	2219.8495	AHCTF1	1675.7849
AHCYL1	7886.7949	AHCYL1	5890.5813
AHCYL2	1012.1567	AHCYL2	810.3823
AHCY	2317.8748	AHCY	1621.0755
AHDC1	603.0745	AHDC1	511.9677
AHI1	545.1856	AHI1	465.6512
AHNAK2	459.5099	AHNAK2	2643.1458
AHNAK	30989.387	AHNAK	186906.4346
AHRR	25.2139	AHRR	11.1906
AHR	2476.362	AHR	2455.7041
AHSA1	1388.3064	AHSA1	1284.4265
AHSA2	762.8481	AHSA2	599.627
AIDA	1583.6547	AIDA	2369.9565
AIF1L	382.3246	AIF1L	2812.2474
AIF1	345.0183	AIF1	501.088
AIFM1	1610.8574	AIFM1	889.6487
AIFM2	275.2943	AIFM2	2620.7647
AIFM3	5.9175	AIFM3	8.1567
AIG1	622.1136	AIG1	1240.286
AIM1L	11.8351	removed	removed
AIM1	2675.5001	AIM1	3300.9015
AIM2	22.641	AIM2	10.8797
AIMP1	1226.3331	AIMP1	1011.5574
AIMP2	365.7426	AIMP2	285.6108
AIP	412.4268	AIP	715.5735
removed	removed	AJAP1	11.1906
AK1	521.0008	AK1	839.913
AK2	2109.4745	AK2	2008.3929
AK3L1	125.8121	AK3L1	589.9907
AK3	1180.1634	AK3	2718.682
AK5	221.2646	AK5	621.3864
AK7	12.0924	AK7	20.2052
AKAP10	713.9641	AKAP10	567.2987
AKAP11	1331.9612	AKAP11	2402.549
AKAP12	409.3394	AKAP12	8691.949
AKAP13	2621.9849	AKAP13	3537.7681
AKAP1	1661.7997	AKAP1	3673.9198
AKAP2	403.4296	AKAP2	2433.64
AKAP3	33.1897	AKAP3	40.0995
AKAP5	518.9426	AKAP5	70.8735
AKAP6	36.7917	AKAP6	137.7059
AKAP7	137.6471	AKAP7	291.8869
AKAP8L	572.715	AKAP8L	525.9559
AKAP8	637.8079	AKAP8	463.7861
AKAP9	5260.6934	AKAP9	2249.3006
AKD1	202.4828	AKD1	142.3687
AKIRIN1	1327.5873	AKIRIN1	1317.6873
AKIRIN2	514.826	AKIRIN2	878.769
removed	removed	AKNAD1	5.5953
AKNA	333.9551	AKNA	868.2002
AKR1A1	2271.3064	AKR1A1	1441.405
AKR1B10	19.2963	removed	removed
removed	removed	AKR1B15	61.548
AKR1B1	502.2191	AKR1B1	1204.8492
AKR1C1	5.6603	AKR1C1	7608.7411
removed	removed	AKR1C2	6669.5679
AKR1C3	75.6416	AKR1C3	4670.1896
removed	removed	AKR1E2	44.3519
AKR7A2	1083.1672	AKR7A2	941.5605
AKR7A3	88.5058	AKR7A3	12.7448
AKR7L	16.7235	AKR7L	6.8387
AKT1S1	1164.9836	AKT1S1	791.4206
AKT1	2681.4176	AKT1	2837.737
AKT2	2295.2338	AKT2	3701.8962
AKT3	402.3927	AKT3	1628.2251
AKTIP	577.6291	AKTIP	865.9683
ALAD	1517.4632	ALAD	4519.7389
ALAS1	1089.8566	ALAS1	1384.5197
ALB	16.4662	ALB	87.6593
ALCAM	3378.6583	ALCAM	1555.1756
ALDH16A1	504.0201	ALDH16A1	330.7429
ALDH18A1	3204.734	ALDH18A1	1229.0954
ALDH1A1	325.9793	ALDH1A1	3345.9745
ALDH1A2	6.1748	ALDH1A2	849.2384
ALDH1A3	180.6059	ALDH1A3	2144.041
ALDH1B1	567.312	ALDH1B1	554.5539
removed	removed	ALDH1L1	2153.8701
ALDH1L2	471.345	ALDH1L2	445.7569
ALDH2	361.7418	ALDH2	23041.3429
removed	removed	ALDH3A1	23.0028
ALDH3A2	3076.3491	ALDH3A2	4779.2975
ALDH3B1	101.37	ALDH3B1	307.7401
ALDH3B2	925.1946	ALDH3B2	198.0106
ALDH4A1	412.9414	ALDH4A1	4471.5574
