gene_id	TCGA-E9-A1RD-01A-11R-A157-07	gene_id	TCGA-E9-A1RD-11A-33R-A157-07
HOXA10	39.6218	HOXA10	534.9705
HOXA11	9.2622	HOXA11	14.9207
HOXA1	10.8059	HOXA1	32.0174
removed	removed	HOXA2	45.6947
HOXA3	17.2381	HOXA3	176.562
HOXA4	19.2886	HOXA4	189.083
HOXA5	8.4904	HOXA5	201.1191
removed	removed	HOXA6	33.4784
HOXA7	28.3965	HOXA7	308.5266
HOXA9	24.9566	HOXA9	188.3743
HOXB13	16.4662	removed	removed
HOXB2	1123.0462	HOXB2	289.7109
HOXB3	485.4956	HOXB3	413.1178
HOXB4	155.9143	HOXB4	179.6705
HOXB5	19.2963	HOXB5	42.2754
HOXB6	90.8214	HOXB6	105.9994
HOXB7	152.3123	HOXB7	353.124
HOXB8	11.5778	HOXB8	58.4395
HOXB9	35.5052	HOXB9	11.1906
HOXC10	1768.0581	HOXC10	63.4131
HOXC11	172.6378	HOXC11	7.4604
HOXC12	5.1457	removed	removed
HOXC13	294.3333	HOXC13	14.299
HOXC4	102.9806	HOXC4	90.0311
HOXC5	23.3974	HOXC5	59.5026
HOXC6	209.8926	HOXC6	357.4604
HOXC8	77.6999	HOXC8	344.1094
HOXC9	105.7439	HOXC9	164.7498
HOXD10	48.884	HOXD10	40.4103
HOXD1	21.3546	HOXD1	43.8297
HOXD3	43.9956	HOXD3	67.1433
HOXD4	28.8158	HOXD4	63.724
HOXD8	1142.8571	HOXD8	472.4899
HOXD9	125.5548	HOXD9	250.544
HP1BP3	5884.0934	HP1BP3	4666.7703
HPCAL1	442.5291	HPCAL1	528.1318
removed	removed	HPD	25.1787
HPGDS	99.569	HPGDS	216.0398
HPGD	31.646	HPGD	319.8632
HPN	1225.96	HPN	74.2928
HPRT1	627.2593	HPRT1	301.5232
HPS1	903.0681	HPS1	1219.77
HPS3	893.191	HPS3	732.6702
HPS4	663.2791	HPS4	830.5875
HPS5	665.3374	HPS5	944.0472
HPS6	369.9749	HPS6	373.9509
removed	removed	HPSE2	11.5014
HPSE	36.0198	HPSE	20.516
HPX	625.4583	HPX	25.1787
removed	removed	HP	314.8896
HRASLS2	41.1655	HRASLS2	9.9472
HRASLS5	129.6713	HRASLS5	2592.7883
HRASLS	13.8934	HRASLS	21.4486
HRAS	225.6384	HRAS	405.0357
removed	removed	HRCT1	404.4141
HRC	12.3496	HRC	61.2372
HRH1	69.7241	HRH1	579.4218
HRH2	8.7477	HRH2	18.9618
removed	removed	HRH4	5.5953
removed	removed	HRNR	13.0556
HRSP12	317.2316	HRSP12	534.0379
HR	22.641	HR	380.7896
HS1BP3	338.8435	HS1BP3	507.6158
HS2ST1	772.1438	HS2ST1	936.2014
HS3ST1	90.3068	HS3ST1	49.4249
HS3ST2	6.6894	HS3ST2	171.5884
HS3ST3A1	16.9808	HS3ST3A1	9.9472
HS3ST3B1	6.9467	removed	removed
removed	removed	HS3ST4	19.8943
HS6ST1	1408.3746	HS6ST1	700.6528
HS6ST2	26.7576	HS6ST2	20.8269
HS6ST3	6.1748	HS6ST3	25.1787
HSBP1L1	209.6868	HSBP1L1	92.9437
HSBP1	2931.2408	HSBP1	1573.8265
HSCB	144.5938	HSCB	169.7233
HSD11B1L	93.9088	HSD11B1L	71.806
HSD11B1	8.7477	HSD11B1	2193.6587
HSD11B2	244.9347	HSD11B2	41.9646
HSD17B10	1282.5626	HSD17B10	862.2941
HSD17B11	257.2844	HSD17B11	1666.7703
HSD17B12	1235.4795	HSD17B12	2333.5406
removed	removed	HSD17B13	663.3509
HSD17B14	78.729	HSD17B14	88.281
HSD17B1	49.4449	HSD17B1	93.4784
removed	removed	HSD17B2	36.991
HSD17B3	6.4321	removed	removed
HSD17B4	6592.6545	HSD17B4	4026.1113
HSD17B6	91.0787	HSD17B6	6.217
HSD17B7P2	215.347	HSD17B7P2	44.7622
HSD17B7	735.576	HSD17B7	125.272
HSD17B8	296.1343	HSD17B8	198.9431
HSD3B7	681.5463	HSD3B7	634.442
HSDL1	804.2709	HSDL1	596.2076
HSDL2	1514.633	HSDL2	4073.982
HSF1	686.2649	HSF1	1010.3544
HSF2BP	41.9374	HSF2BP	9.0146
HSF2	438.4126	HSF2	336.6491
HSF4	90.2013	HSF4	100.6403
HSFX2	48.884	HSFX2	30.1523
HSH2D	975.8796	HSH2D	60.6155
HSN2	8.7477	HSN2	22.6919
HSP90AA1	26685.0196	HSP90AA1	23446.3786
HSP90AB1	29726.1208	HSP90AB1	20843.0214
HSP90AB2P	66.6367	HSP90AB2P	37.6127
HSP90B1	15036.9846	HSP90B1	15577.2459
HSPA12A	290.474	HSPA12A	1617.9671
HSPA12B	84.6466	HSPA12B	718.9929
HSPA13	731.2022	HSPA13	638.1722
HSPA14	562.9382	HSPA14	358.0976
HSPA1A	6913.025	HSPA1A	22632.8163
HSPA1B	1962.0506	HSPA1B	4469.6923
HSPA1L	90.2039	HSPA1L	82.7013
HSPA2	433.0096	HSPA2	268.8841
HSPA4L	29.5877	HSPA4L	128.0696
HSPA4	5385.219	HSPA4	2177.8054
HSPA5	22388.3707	HSPA5	8903.3261
HSPA6	207.3712	HSPA6	149.5182
HSPA7	114.7488	HSPA7	189.6177
HSPA8	34420.0167	HSPA8	18478.0852
HSPA9	8255.7407	HSPA9	4842.0889
HSPB11	640.8953	HSPB11	239.3534
HSPB1	3230.2052	HSPB1	3366.8014
HSPB2	15.9516	HSPB2	728.5048
HSPB6	67.6658	HSPB6	16488.3432
HSPB7	11.0632	HSPB7	7160.3979
HSPB8	152.8269	HSPB8	1562.9468
HSPBAP1	148.4531	HSPBAP1	233.4473
HSPBP1	364.5719	HSPBP1	244.9487
HSPC157	326.4939	HSPC157	364.9363
HSPC159	378.9799	HSPC159	555.7973
HSPD1	6091.9792	HSPD1	5040.0995
HSPE1	1601.0806	HSPE1	739.198
HSPG2	6615.0717	HSPG2	21535.1166
HSPH1	2182.5433	HSPH1	1465.3404
HTATIP2	239.0172	HTATIP2	529.9969
HTATSF1	2144.7225	HTATSF1	2732.3593
HTR1D	19.5536	removed	removed
HTR1F	11.0632	HTR1F	5.5953
removed	removed	HTR2A	7.1495
HTR2B	87.734	HTR2B	177.8054
HTR7P1	764.9064	HTR7P1	193.3478
HTR7	12.6069	HTR7	20.516
HTRA1	5388.3064	HTRA1	14597.1402
HTRA2	764.909	HTRA2	630.2673
HTRA3	1592.3329	HTRA3	2505.129
removed	removed	HTRA4	6.217
HTT	2801.8267	HTT	2896.1766
HUNK	40.6509	HUNK	172.2101
HUS1	337.8144	HUS1	277.8987
HUWE1	10198.7522	HUWE1	7023.3136
HVCN1	68.4454	HVCN1	179.0799
HYAL1	13.3788	HYAL1	153.8701
HYAL2	1004.9527	HYAL2	1289.4001
HYAL3	93.8728	HYAL3	34.5042
HYDIN	196.308	HYDIN	51.29
HYI	312.6185	HYI	451.1532
HYLS1	293.3042	HYLS1	119.9876
HYOU1	3175.4036	HYOU1	1788.3121
IAH1	658.1334	IAH1	898.9742
IARS2	5802.5343	IARS2	3910.7864
IARS	3297.871	IARS	2141.4361
IBSP	136.1034	removed	removed
IBTK	1898.244	IBTK	1534.0379
ICA1L	71.2678	ICA1L	185.8875
ICA1	1399.6269	ICA1	543.0525
ICAM1	624.4292	ICAM1	841.4672
ICAM2	160.7204	ICAM2	994.2742
ICAM3	216.6334	ICAM3	265.4647
removed	removed	ICAM4	9.6363
removed	removed	ICAM5	7.4604
ICK	1130.5075	ICK	1122.7852
ICMT	2941.2748	ICMT	3107.8645
ICOSLG	178.8126	ICOSLG	159.4653
ICOS	6.4321	ICOS	8.7038
ICT1	434.0387	ICT1	281.9397
ID1	156.9435	ID1	1132.1107
ID2	818.1643	ID2	1263.2888
ID3	384.3828	ID3	1276.3444
ID4	357.1107	ID4	1181.5356
IDE	1067.2155	IDE	623.5623
IDH1	2682.9613	IDH1	4789.5555
IDH2	2177.3976	IDH2	815.3559
IDH3A	924.9373	IDH3A	1539.0115
IDH3B	923.1363	IDH3B	1275.101
IDH3G	706.7601	IDH3G	747.5909
IDI1	989.8964	IDI1	734.1312
IDI2	21.0973	IDI2	44.1405
IDO1	27.0149	IDO1	27.0438
IDS	3145.2962	IDS	4269.9534
IDUA	246.9261	IDUA	111.2838
IER2	893.034	IER2	1343.4877
IER3IP1	1873.0302	IER3IP1	867.2676
IER3	2669.8398	IER3	346.2854
IER5L	114.7488	IER5L	87.9702
IER5	460.2817	IER5	552.0671
IFFO1	91.3359	IFFO1	364.0037
IFFO2	311.0568	IFFO2	760.9574
IFI16	1097.0605	IFI16	3494.2493
IFI27L1	54.8016	IFI27L1	94.8088
IFI27L2	77.1853	IFI27L2	222.2568
IFI27	3132.1798	IFI27	1610.5067
IFI30	2302.5896	IFI30	1459.2291
IFI35	1104.0072	IFI35	494.871
IFI44L	2423.876	IFI44L	908.2997
IFI44	1489.4192	IFI44	518.1846
IFI6	24154.8852	IFI6	951.1968
IFIH1	1843.957	IFIH1	662.7293
IFIT1	5620.3769	IFIT1	1501.7097
IFIT2	1504.599	IFIT2	704.6938
IFIT3	3065.2859	IFIT3	1110.0404
IFIT5	1085.4827	IFIT5	454.1498
IFITM1	13673.6348	IFITM1	3205.4709
IFITM2	3502.9266	IFITM2	3036.3693
IFITM3	8529.4912	IFITM3	5978.2406
IFNAR1	2648.4852	IFNAR1	3138.3276
IFNAR2	326.9673	IFNAR2	661.5138
removed	removed	IFNE	6.217
IFNGR1	1458.2878	IFNGR1	3867.2676
IFNGR2	2621.4601	IFNGR2	2452.9064
IFRD1	384.6401	IFRD1	1001.2434
IFRD2	600.3036	IFRD2	657.7743
IFT122	1102.2062	IFT122	629.1576
IFT140	1126.3909	IFT140	489.5866
IFT172	767.4793	IFT172	582.8412
IFT20	368.1919	IFT20	335.0575
IFT27	457.9662	IFT27	368.6665
IFT46	1792.7574	IFT46	603.9789
IFT52	733.5177	IFT52	797.3267
IFT57	599.4726	IFT57	798.2592
IFT74	769.5375	IFT74	336.6491
IFT80	499.816	IFT80	525.1943
IFT81	423.2328	IFT81	214.1747
IFT88	447.4175	IFT88	275.101
IGBP1	2218.5631	IGBP1	1740.1306
IGDCC3	7.4612	IGDCC3	5.2844
IGDCC4	45.5393	IGDCC4	127.7588
IGF1R	5947.6426	IGF1R	2090.1461
IGF1	281.4691	IGF1	1913.5841
IGF2BP2	8.7477	IGF2BP2	240.9077
removed	removed	IGF2BP3	7.7712
IGF2R	2522.6732	IGF2R	5582.2195
IGF2	684.7057	IGF2	5907.4852
IGFALS	32.4178	removed	removed
IGFBP2	1255.805	IGFBP2	791.7314
IGFBP3	1730.7519	IGFBP3	7542.4308
IGFBP4	13243.9699	IGFBP4	16569.1638
IGFBP5	143210.9089	IGFBP5	26156.6677
IGFBP6	46.5685	IGFBP6	2253.9633
IGFBP7	4832.5722	IGFBP7	5838.0479
IGFL1	5.9175	removed	removed
IGFL2	7.9758	removed	removed
removed	removed	IGFN1	6.5278
IGHMBP2	228.2112	IGHMBP2	285.0482
IGJ	179.8418	IGJ	3205.4709
removed	removed	IGLON5	7.7712
IGSF10	37.0489	IGSF10	947.1557
IGSF1	9.5195	IGSF1	72.4277
IGSF21	511.9959	IGSF21	41.3429
IGSF22	28.9162	IGSF22	8.4178
IGSF3	1848.3309	IGSF3	642.8349
IGSF6	82.8456	IGSF6	141.747
IGSF8	1376.7286	IGSF8	816.2885
IGSF9B	43.4811	IGSF9B	14.9207
IGSF9	464.141	IGSF9	60.9263
IKBIP	248.2794	IKBIP	402.549
IKBKAP	1548.08	IKBKAP	1242.4619
IKBKB	1998.5849	IKBKB	1270.4383
IKBKE	330.3531	IKBKE	91.0786
IKBKG	266.5466	IKBKG	369.2882
IKZF1	178.5553	IKZF1	325.1477
IKZF2	226.4102	IKZF2	239.3534
IKZF3	10.2914	IKZF3	20.2052
IKZF4	280.9545	IKZF4	274.7902
IKZF5	752.5568	IKZF5	647.4977
IK	2231.17	IK	2182.1573
IL10RA	336.2707	IL10RA	1070.2518
IL10RB	609.2494	IL10RB	911.6133
IL10	5.1457	IL10	32.0174
IL11RA	84.132	IL11RA	540.5657
removed	removed	IL12A	5.5953
IL12RB1	19.5536	IL12RB1	20.516
removed	removed	IL12RB2	44.7622
IL13RA1	5470.1229	IL13RA1	5341.6226
IL13RA2	36.7917	removed	removed
IL15RA	130.9577	IL15RA	391.0476
IL15	41.9374	IL15	91.7003
IL16	353.2514	IL16	1144.5446
removed	removed	IL17B	11.8122
IL17D	5.7606	IL17D	103.8918
IL17RA	152.3123	IL17RA	320.1741
IL17RB	180.0991	IL17RB	97.9173
IL17RC	866.0192	IL17RC	448.5546
IL17RD	416.0288	IL17RD	994.7156
IL17RE	475.7188	IL17RE	719.3037
IL18BP	177.5031	IL18BP	278.9462
IL18R1	39.6218	IL18R1	115.3248
removed	removed	IL18RAP	16.475
IL18	104.972	IL18	96.3631
IL1B	100.5982	IL1B	21.1377
IL1R1	832.8295	IL1R1	6644.7
removed	removed	IL1R2	7.7712
removed	removed	IL1RAPL2	10.8797
IL1RAP	95.1952	IL1RAP	219.1483
IL1RL1	13.1215	IL1RL1	23.3136
IL1RL2	7.204	IL1RL2	13.0556
IL1RN	120.4091	IL1RN	514.7653
IL20RA	734.0323	IL20RA	246.503
IL20RB	5.6603	IL20RB	57.1961
IL20	36.2771	removed	removed
IL21R	69.1838	IL21R	15.5424
IL22RA1	14.1506	IL22RA1	22.0703
removed	removed	IL22RA2	6.217
IL23A	6.4321	removed	removed
IL24	5.0299	removed	removed
IL27RA	113.2051	IL27RA	328.567
IL28RA	116.5498	IL28RA	81.7532
removed	removed	IL2RA	23.6245
IL2RB	99.3118	IL2RB	165.0606
IL2RG	143.3074	IL2RG	331.0538
IL32	280.6972	IL32	567.2987
IL33	49.6559	IL33	2060.6155
IL34	19.039	IL34	245.2596
IL3RA	135.8461	IL3RA	335.7165
IL4I1	35.6519	IL4I1	29.0084
IL4R	701.8717	IL4R	805.0979
removed	removed	IL5RA	6.5278
IL6R	125.0402	IL6R	490.2083
IL6ST	5134.1095	IL6ST	6061.8589
removed	removed	IL6	63.1023
IL7R	9.2622	IL7R	73.6711
IL7	16.2089	IL7	45.3839
removed	removed	IL8	15.5424
IL9R	6.6894	removed	removed
ILDR1	316.4598	ILDR1	36.3693
ILF2	5285.9072	ILF2	2491.1408
ILF3	4472.1168	ILF3	3380.1679
ILKAP	401.3636	ILKAP	290.0218
ILK	1985.4634	ILK	3064.6565
ILVBL	545.4429	ILVBL	829.0333
IMMP1L	111.7309	IMMP1L	49.9813
IMMP2L	189.8759	IMMP2L	197.6997
IMMT	2936.901	IMMT	2051.6009
IMP3	1002.3799	IMP3	858.8747
IMP4	499.3889	IMP4	466.8946
IMPA1	233.6142	IMPA1	288.4675
IMPA2	250.3377	IMPA2	444.2027
IMPACT	1788.8982	IMPACT	1121.231
IMPAD1	2756.0301	IMPAD1	5784.8928
IMPDH1	685.6628	IMPDH1	1139.8819
IMPDH2	4431.4659	IMPDH2	2881.2558
IMPG1	20.3255	IMPG1	5.9061
INADL	4215.6043	INADL	944.0472
INCA1	21.3546	INCA1	19.2726
INCENP	263.7165	INCENP	184.9549
INE1	29.3304	INE1	20.516
INE2	5.0839	INE2	23.0214
INF2	1018.0742	INF2	2574.4482
ING1	161.0008	ING1	266.2574
ING2	311.5714	ING2	186.1983
ING3	185.2447	ING3	360.8952
ING4	540.8117	ING4	625.1166
ING5	396.2179	ING5	370.5316
INHA	13.1215	removed	removed
INHBA	286.3575	INHBA	36.0584
INHBB	432.495	INHBB	1901.1501
INMT	24.6993	INMT	671.3366
INO80B	96.3247	INO80B	78.0634
INO80C	250.8523	INO80C	180.603
INO80D	713.0971	INO80D	716.3693
INO80E	598.1038	INO80E	423.037
INO80	888.1456	INO80	1023.9353
INPP1	250.8523	INPP1	448.2437
INPP4A	643.4682	INPP4A	675.474
INPP4B	474.1751	INPP4B	271.06
INPP5A	578.118	INPP5A	773.7022
INPP5B	494.7578	INPP5B	556.7299
INPP5D	354.7951	INPP5D	627.9142
INPP5E	237.2162	INPP5E	273.5468
INPP5F	495.787	INPP5F	563.8794
INPP5J	346.562	INPP5J	101.0258
INPP5K	833.3441	INPP5K	1937.2086
INPPL1	1714.0284	INPPL1	1418.7131
removed	removed	INS-IGF2	9.829
INSIG1	796.5524	INSIG1	1267.6407
INSIG2	434.296	INSIG2	529.9969
INSM1	142.5355	INSM1	6.5278
removed	removed	INSR	2753.1862
INTS10	1098.3469	INTS10	1258.626
INTS12	743.8091	INTS12	441.405
INTS1	1334.2767	INTS1	1378.9245
INTS2	462.5973	INTS2	412.807
INTS3	3275.7445	INTS3	2075.2254
INTS4L1	29.845	INTS4L1	31.7066
INTS4L2	9.2622	INTS4L2	7.7712
INTS4	601.0163	INTS4	488.9649
INTS5	852.3831	INTS5	451.3522
INTS6	947.0637	INTS6	708.1131
INTS7	1223.6444	INTS7	404.1032
INTS8	930.7313	INTS8	637.8614
INTS9	591.754	INTS9	352.8132
INTU	189.6186	INTU	214.1747
INVS	264.231	INVS	477.1526
IP6K1	1510.7738	IP6K1	1336.0274
IP6K2	1648.1636	IP6K2	1137.0842
IPCEF1	21.6119	IPCEF1	34.815
IPMK	43.2238	IPMK	62.1697
IPO11	954.1648	IPO11	822.2568
IPO13	1167.0419	IPO13	686.0429
IPO4	1039.1947	IPO4	525.1352
IPO5	2558.1784	IPO5	5496.4252
IPO7	4761.3044	IPO7	4004.9736
IPO8	1463.4335	IPO8	1558.9058
IPO9	3178.491	IPO9	1780.5409
IPPK	745.6667	IPPK	226.9226
IPP	394.4169	IPP	339.4467
IPW	478.9426	IPW	323.3945
IQCA1	51.1996	IQCA1	62.7914
IQCB1	320.8336	IQCB1	289.4001
removed	removed	IQCC	61.2372
IQCD	44.5102	IQCD	15.5424
IQCE	759.7607	IQCE	527.821
IQCG	366.3729	IQCG	387.9391
IQCH	97.1094	IQCH	26.733
IQCJ	8.3669	removed	removed
IQCK	882.9999	IQCK	357.7868
IQGAP1	8752.0422	IQGAP1	10004.6627
IQGAP2	4133.2733	IQGAP2	1304.9425
IQGAP3	525.3747	IQGAP3	31.7066
IQSEC1	1647.1345	IQSEC1	3372.3966
IQSEC2	966.3601	IQSEC2	459.7451
removed	removed	IQSEC3	81.7532
removed	removed	IQUB	9.6363
IRAK1BP1	48.1997	IRAK1BP1	36.2605
IRAK1	1512.5748	IRAK1	1682.9344
IRAK2	49.3986	IRAK2	263.2888
IRAK3	449.7331	IRAK3	1080.1989
IRAK4	546.9866	IRAK4	528.1318
IREB2	1177.8478	IREB2	1677.3391
IRF1	1276.5884	IRF1	750.9605
IRF2BP1	555.2197	IRF2BP1	322.9717
IRF2BP2	4692.0949	IRF2BP2	3337.8924
IRF2	1240.8825	IRF2	938.452
IRF3	487.3918	IRF3	537.5412
IRF4	26.5003	IRF4	189.6177
IRF5	217.4053	IRF5	234.6907
IRF6	1417.8941	IRF6	436.4315
IRF7	655.046	IRF7	122.4744
IRF8	133.7879	IRF8	294.9953
IRF9	2518.4589	IRF9	868.7007
IRGQ	1044.8318	IRGQ	571.0289
IRS1	2696.8547	IRS1	1233.1365
IRS2	141.2491	IRS2	1843.954
IRX1	17.4953	IRX1	174.3861
IRX2	4655.5606	IRX2	443.2701
IRX3	1146.7164	IRX3	375.5051
IRX4	5.6603	IRX4	15.5424
IRX5	714.9932	IRX5	226.2978
removed	removed	IRX6	580.9761
ISCA1P1	82.0737	ISCA1P1	88.281
ISCA1	887.1165	ISCA1	1192.1044
ISCA2	349.1349	ISCA2	238.11
ISCU	1551.682	ISCU	2599.0053
ISG15	1959.2204	ISG15	177.1837
ISG20L2	1035.055	ISG20L2	495.4927
ISG20	207.8858	ISG20	82.3749
ISLR2	15.6943	ISLR2	131.1781
ISLR	1012.414	ISLR	4589.6798
ISM1	122.9819	ISM1	919.4902
ISOC1	4396.4752	ISOC1	1082.064
ISOC2	482.4082	ISOC2	378.3028
ISPD	54.0297	ISPD	62.1697
ISY1	472.6314	ISY1	608.738
ISYNA1	720.6535	ISYNA1	329.8104
ITCH	1438.9914	ITCH	1757.2272
ITFG1	920.3062	ITFG1	1203.9167
ITFG2	365.6011	ITFG2	549.2695
ITFG3	1811.745	ITFG3	1836.8946
ITGA10	198.6235	ITGA10	87.3485
ITGA11	1882.5497	ITGA11	875.0389
ITGA1	875.6725	ITGA1	3383.5623
ITGA2	346.8193	ITGA2	786.7578
ITGA3	1568.92	ITGA3	1791.1097
ITGA4	278.7856	ITGA4	263.1551
ITGA5	1653.052	ITGA5	2404.7249
ITGA6	4442.7864	ITGA6	4625.1166
ITGA7	115.2634	ITGA7	8056.2636
ITGA8	125.0402	ITGA8	37.3018
ITGA9	147.6812	ITGA9	483.0588
removed	removed	ITGAD	8.3929
ITGAE	178.0408	ITGAE	358.0976
ITGAL	630.604	ITGAL	293.7519
ITGAM	401.8782	ITGAM	543.6742
ITGAV	3789.0268	ITGAV	4409.3876
ITGAX	267.5757	ITGAX	382.6546
ITGB1BP1	599.4726	ITGB1BP1	5121.231
ITGB1	10630.4753	ITGB1	38409.6985
ITGB2	471.4067	ITGB2	1644.8834
ITGB3BP	341.1591	ITGB3BP	175.3186
ITGB3	138.1617	ITGB3	403.4815
ITGB4	1337.3641	ITGB4	2321.4175
ITGB5	4008.7477	ITGB5	9308.9835
ITGB6	1429.9865	ITGB6	753.8079
ITGB7	46.8258	ITGB7	95.7414
ITGB8	646.8129	ITGB8	510.1026
ITGBL1	1158.0369	ITGBL1	1212.9313
removed	removed	ITIH2	41.9646
ITIH3	5.1457	ITIH3	6.5278
ITIH4	121.0137	ITIH4	43.5188
ITIH5L	457.9662	ITIH5L	20.8269
ITIH5	456.4225	ITIH5	16168.7908
ITK	16.7235	ITK	73.3603
ITM2A	179.3272	ITM2A	1616.7237
ITM2B	9626.0372	ITM2B	19705.9372
ITM2C	239.2745	ITM2C	689.4622
ITPA	337.0425	ITPA	274.1685
ITPK1	1546.0217	ITPK1	4138.3276
ITPKA	39.3645	removed	removed
ITPKB	1211.2948	ITPKB	1718.0603
ITPKC	593.555	ITPKC	620.143
ITPR1	2302.1805	ITPR1	1702.207
ITPR2	1878.9477	ITPR2	2974.8213
ITPR3	1498.0382	ITPR3	843.8172
removed	removed	ITPRIPL1	102.2692
ITPRIPL2	2945.906	ITPRIPL2	2664.2835
ITPRIP	305.1393	ITPRIP	665.8377
ITSN1	895.0923	ITSN1	6216.3506
ITSN2	1102.7208	ITSN2	1656.8231
IVD	2486.9107	IVD	1818.4644
IVNS1ABP	2480.4785	IVNS1ABP	1766.2418
IWS1	1189.6829	IWS1	1222.5676
JAG1	1868.9136	JAG1	2764.9984
JAG2	505.3065	JAG2	720.5471
JAGN1	708.3039	JAGN1	715.8844
JAK1	4129.1568	JAK1	10307.7401
JAK2	418.0871	JAK2	921.6661
JAK3	66.6367	JAK3	135.53
removed	removed	JAKMIP1	9.9472
removed	removed	JAKMIP2	11.1377
JAKMIP3	88.7631	JAKMIP3	33.8825
JAM2	127.3558	JAM2	864.1592
JAM3	406.5093	JAM3	1023.9353
JARID2	984.6273	JARID2	475.2875
JAZF1	307.4548	JAZF1	963.9416
JDP2	344.2465	JDP2	870.3761
JHDM1D	629.8321	JHDM1D	1216.6615
JKAMP	1495.0794	JKAMP	917.3143
JMJD1C	1681.7109	JMJD1C	2521.0289
JMJD4	410.8059	JMJD4	287.9733
JMJD5	92.1078	JMJD5	66.5216
JMJD6	241.0754	JMJD6	325.7694
JMJD7-PLA2G4B	404.7083	JMJD7-PLA2G4B	352.8132
JMJD8	1327.8112	JMJD8	1411.6164
JMY	601.7881	JMY	899.285
JOSD1	953.7531	JOSD1	1416.848
JOSD2	108.0594	JOSD2	129.0022
JPH1	74.0979	JPH1	18.9618
JPH2	18.2672	JPH2	251.7874
JPH3	9.005	removed	removed
JPH4	9.005	JPH4	27.6655
JRKL	232.3278	JRKL	451.9739
JRK	262.1728	JRK	648.4302
JTB	3466.6495	JTB	1709.9782
JUB	354.0233	JUB	290.0218
JUNB	996.2051	JUNB	1101.9583
JUND	1715.8294	JUND	1635.0637
JUN	852.6404	JUN	4015.2316
JUP	7790.8278	JUP	2775.5673
KAL1	907.442	KAL1	461.2993
KALRN	161.06	KALRN	792.0423
KANK1	666.8811	KANK1	5763.4442
KANK2	1698.0768	KANK2	6093.8763
KANK3	35.7625	KANK3	407.2117
KANK4	218.6917	KANK4	797.6376
KARS	1887.4381	KARS	2790.488
KAT2A	1125.3618	KAT2A	730.1834
KAT2B	423.7473	KAT2B	1525.3342
KAT5	783.3305	KAT5	726.761
KATNA1	323.921	KATNA1	380.4787
KATNAL1	318.2608	KATNAL1	784.5819
KATNAL2	115.0061	KATNAL2	142.9904
KATNB1	214.5752	KATNB1	286.2916
KAZALD1	476.9538	KAZALD1	58.5546
KAZ	807.1808	KAZ	1036.0802
KBTBD10	82.6552	KBTBD10	31.7532
KBTBD11	29.5877	KBTBD11	235.3124
KBTBD2	1076.9923	KBTBD2	1440.7833
KBTBD3	188.0749	KBTBD3	172.2101
KBTBD4	584.5964	KBTBD4	374.9487
KBTBD6	318.518	KBTBD6	475.5984
KBTBD7	199.91	KBTBD7	188.6851
KBTBD8	32.6751	KBTBD8	37.3018
KCMF1	1107.3519	KCMF1	1498.2903
removed	removed	KCNA1	44.1405
removed	removed	KCNA2	86.1051
KCNA3	11.0632	KCNA3	19.5835
removed	removed	KCNA4	18.0292
KCNA5	8.7477	KCNA5	8.7038
KCNA6	6.1748	KCNA6	240.9077
KCNAB1	43.7383	KCNAB1	239.9751
KCNAB2	110.6323	KCNAB2	346.2854
KCNAB3	11.5778	removed	removed
removed	removed	KCNB1	301.834
removed	removed	KCNB2	6.5278
KCNC3	25.9857	KCNC3	90.4569
KCNC4	143.822	KCNC4	242.1511
KCND1	68.9522	KCND1	98.2282
KCND2	173.4097	KCND2	259.2477
KCND3	174.1815	KCND3	186.5092
removed	removed	KCNE1L	22.3811
KCNE1	17.2381	KCNE1	149.5182
KCNE2	14.4079	KCNE2	9.6363
KCNE3	161.06	KCNE3	369.2882
KCNE4	1109.1529	KCNE4	218.8374
KCNF1	248.5367	KCNF1	10.258
KCNG1	7.4612	removed	removed
KCNG3	5.403	removed	removed
KCNH1	564.9965	KCNH1	31.7066
KCNH2	10.0341	KCNH2	8.7038
removed	removed	KCNH3	13.3665
removed	removed	KCNH4	9.0146
removed	removed	KCNH8	48.4924
removed	removed	KCNIP1	13.3665
KCNIP2	18.5245	KCNIP2	6986.9444
KCNIP3	42.7092	KCNIP3	78.023
KCNIP4	16.9808	KCNIP4	25.8004
KCNJ10	7.7185	removed	removed
KCNJ11	420.9172	KCNJ11	47.249
KCNJ12	10.2914	KCNJ12	109.4187
KCNJ14	20.0682	KCNJ14	17.0967
KCNJ15	9.2622	KCNJ15	56.8853
removed	removed	KCNJ16	108.1753
KCNJ2	142.7928	KCNJ2	401.3056
KCNJ3	1218.756	KCNJ3	14.9207
KCNJ5	24.9566	KCNJ5	157.6002
KCNJ8	110.375	KCNJ8	729.8726
KCNK10	5.403	removed	removed
KCNK13	58.1463	KCNK13	22.0703
KCNK15	85.1611	KCNK15	13.6773
KCNK17	6.6894	removed	removed
KCNK1	29.5877	KCNK1	73.982
KCNK2	126.8412	KCNK2	292.8194
KCNK3	9.7768	KCNK3	373.3292
KCNK5	130.9577	KCNK5	73.982
KCNK6	1073.3904	KCNK6	189.6177
KCNMA1	2349.0062	KCNMA1	524.0908
KCNMB1	78.9863	KCNMB1	306.8076
KCNMB3	145.1084	KCNMB3	75.5362
KCNMB4	53.7724	KCNMB4	47.8707
KCNN2	34.9907	removed	removed
KCNN3	29.845	KCNN3	34.5042
KCNN4	42.7092	KCNN4	250.544
