gene_id	TCGA-E9-A1NF-01A-11R-A14D-07	gene_id	TCGA-E9-A1NF-11A-73R-A14D-07
MRPL3	2914.3526	MRPL3	992.2018
MRPL40	933.0634	MRPL40	481.1927
MRPL41	699.6427	MRPL41	477.9817
MRPL42P5	8.2471	MRPL42P5	6.1055
MRPL42	850.7161	MRPL42	415.1376
MRPL43	884.1813	MRPL43	717.7706
MRPL44	711.4067	MRPL44	403.211
MRPL45	608.0081	MRPL45	606.8807
MRPL46	479.8435	MRPL46	392.6606
MRPL47	909.5356	MRPL47	332.5688
MRPL48	559.095	MRPL48	244.0367
MRPL49	1313.2232	MRPL49	843.578
MRPL4	729.9812	MRPL4	459.633
MRPL50	383.2556	MRPL50	275.6881
MRPL51	1985.0041	MRPL51	820.1835
MRPL52	347.3448	MRPL52	223.3945
MRPL53	428.5962	MRPL53	267.0138
MRPL54	849.4777	MRPL54	455.9633
MRPL55	609.2464	MRPL55	227.9817
MRPL9	845.5523	MRPL9	589.1468
MRPS10	827.8074	MRPS10	808.7156
MRPS11	963.4019	MRPS11	441.2844
MRPS12	355.3938	MRPS12	227.5229
MRPS14	316.3871	MRPS14	321.5596
MRPS15	1200.5374	MRPS15	719.2661
MRPS16	1813.4988	MRPS16	1242.6606
MRPS17	257.2766	MRPS17	133.4862
MRPS18A	375.2066	MRPS18A	451.3761
MRPS18B	1141.7179	MRPS18B	1278.4404
MRPS18C	244.1382	MRPS18C	277.1055
MRPS21	1123.7625	MRPS21	571.5596
MRPS22	673.0192	MRPS22	446.3303
MRPS23	820.9967	MRPS23	311.0092
MRPS24	888.4844	MRPS24	545.4128
MRPS25	693.9651	MRPS25	622.2202
MRPS26	910.7739	MRPS26	327.9817
MRPS27	1276.0741	MRPS27	1080.7339
MRPS28	308.27	MRPS28	239.7431
MRPS2	1108.8904	MRPS2	444.0046
MRPS30	260.0442	MRPS30	282.1101
MRPS31	363.4427	MRPS31	259.633
MRPS33	813.5669	MRPS33	396.789
MRPS34	1551.5971	MRPS34	434.8624
MRPS35	1531.1651	MRPS35	690.367
MRPS36	344.8682	MRPS36	269.7248
MRPS5	495.9415	MRPS5	610.5505
MRPS6	950.8083	MRPS6	719.5459
MRPS7	1264.8612	MRPS7	723.4312
MRPS9	334.3426	MRPS9	322.0183
MRRF	782.6092	MRRF	375.6881
MRS2	491.6074	MRS2	662.844
MRTO4	939.8741	MRTO4	538.5321
MRVI1	1346.0384	MRVI1	992.6606
MS4A14	57.6431	MS4A14	173.5872
MS4A15	18.5746	removed	removed
removed	removed	MS4A1	7.3394
MS4A2	34.6726	MS4A2	152.2936
MS4A4A	336.8192	MS4A4A	2272.0183
MS4A6A	1097.1389	MS4A6A	3847.2477
removed	removed	MS4A6E	22.9358
MS4A7	718.7746	MS4A7	2492.9266
MSC	386.0418	MSC	331.8394
MSH2	612.9613	MSH2	446.3303
MSH3	470.5438	MSH3	600.9771
MSH5	86.0622	MSH5	167.6606
MSH6	1685.9533	MSH6	989.4495
MSI1	32.1959	removed	removed
MSI2	378.9216	MSI2	77.9817
MSL1	1726.8174	MSL1	1657.3394
MSL2	952.8763	MSL2	916.5138
MSL3L2	56.9621	MSL3L2	47.7064
MSL3	647.6339	MSL3	611.4679
MSLNL	35.2917	removed	removed
MSLN	12.3831	removed	removed
MSMB	50.1514	removed	removed
MSMP	9.9064	MSMP	35.7798
MSN	11545.9628	MSN	18187.156
MSR1	1278.5507	MSR1	4024.3119
MSRA	195.6523	MSRA	333.945
MSRB2	690.9746	MSRB2	566.9725
MSRB3	2903.827	MSRB3	3544.9541
MST1P2	104.6368	MST1P2	38.5321
MST1P9	12.3831	MST1P9	6.422
MST1R	263.14	MST1R	39.4495
MST1	86.6814	MST1	21.5596
MST4	205.5588	MST4	73.3945
MSTN	61.9153	MSTN	13.7615
MSTO1	545.3808	MSTO1	611.9083
MSTO2P	55.6928	MSTO2P	165.8165
MSX1	115.1624	MSX1	299.5413
MSX2P1	8.049	removed	removed
MSX2	684.7831	MSX2	31.6514
MT1A	65.0111	MT1A	44.4954
MT1E	572.0973	MT1E	398.6239
MT1F	50.1514	MT1F	25.6881
MT1G	138.6902	MT1G	14.2202
MT1L	42.7215	MT1L	74.3119
MT1M	21.0512	MT1M	111.4679
MT1X	216.7035	MT1X	1500.4587
MT2A	1556.5503	MT2A	1301.3761
MTA1	2567.627	MTA1	838.5321
MTA2	1944.7592	MTA2	1609.633
MTA3	1038.3194	MTA3	754.1284
MTAP	516.9927	MTAP	642.2018
MTBP	109.5901	MTBP	38.9908
MTCH1	2878.4417	MTCH1	3830.7339
MTCH2	1380.0918	MTCH2	1245.4128
MTCP1NB	391.2737	MTCP1NB	296.0963
MTCP1	32.8461	MTCP1	20.4174
MTDH	3999.7276	MTDH	3557.3394
MTERFD1	565.9057	MTERFD1	227.5229
MTERFD2	211.1311	MTERFD2	362.3853
MTERFD3	387.5897	MTERFD3	264.2202
MTERF	178.9352	MTERF	120.6422
MTF1	397.4961	MTF1	719.7248
MTF2	465.603	MTF2	306.422
MTFMT	214.846	MTFMT	161.4679
MTFR1	611.723	MTFR1	430.2752
MTG1	447.0284	MTG1	247.2477
MTHFD1L	556.6184	MTHFD1L	316.9725
MTHFD1	1944.8087	MTHFD1	3102.7385
MTHFD2L	152.8441	MTHFD2L	106.422
MTHFD2	2307.5828	MTHFD2	465.5963
MTHFR	404.8703	MTHFR	641.3899
MTHFSD	257.5676	MTHFSD	220.1835
MTHFS	464.3647	MTHFS	336.2385
MTIF2	850.0969	MTIF2	612.844
MTIF3	1027.1746	MTIF3	809.633
MTL5	439.5985	MTL5	20.1835
MTM1	281.7146	MTM1	390.8257
MTMR10	727.1208	MTMR10	2173.6376
MTMR11	248.2803	MTMR11	237.156
MTMR12	622.2486	MTMR12	2304.1284
MTMR14	753.509	MTMR14	798.6239
MTMR15	436.2675	MTMR15	647.0046
MTMR1	442.6943	MTMR1	406.422
MTMR2	1090.3282	MTMR2	1053.211
MTMR3	679.8299	MTMR3	2384.4037
MTMR4	1143.5754	MTMR4	738.9908
MTMR6	773.9411	MTMR6	901.8349
MTMR7	37.1987	MTMR7	38.6284
removed	removed	MTMR8	13.0459
MTMR9L	58.2004	MTMR9L	176.6055
MTMR9	528.0941	MTMR9	620.0734
MTO1	318.2446	MTO1	405.0459
MTOR	1105.807	MTOR	1835.7798
MTP18	224.1086	MTP18	61.0596
MTPAP	370.2534	MTPAP	363.3028
MTRF1L	330.0085	MTRF1L	319.7248
MTRF1	129.403	MTRF1	84.8624
MTRR	357.2512	MTRR	636.6972
MTR	1048.845	MTR	1764.2202
MTSS1L	1199.2991	MTSS1L	856.8807
MTSS1	1086.6133	MTSS1	1755.0459
removed	removed	MTTP	10.5505
MTUS1	1663.6638	MTUS1	3006.422
MTUS2	9.9064	removed	removed
MTX1	553.5227	MTX1	480.1835
MTX2	1012.315	MTX2	364.6789
MTX3	497.1798	MTX3	591.2844
removed	removed	MUC12	13.3028
MUC16	63.1536	removed	removed
MUC1	6842.8776	MUC1	59.633
MUC20	238.3739	MUC20	10.0917
MUC21	8.6681	removed	removed
removed	removed	MUC4	5.5046
MUC5B	289.1444	removed	removed
removed	removed	MUC6	6.422
MUCL1	145702.1503	removed	removed
MUDENG	1200.5374	MUDENG	623.3945
MUL1	745.4601	MUL1	835.7798
MUM1L1	30.9576	MUM1L1	39.4495
MUM1	670.5426	MUM1	1092.2018
MURC	22.2895	removed	removed
MUS81	467.4604	MUS81	364.2202
MUSTN1	5.5724	MUSTN1	261.0092
MUTED	201.8438	MUTED	351.3761
MUTYH	134.5976	MUTYH	111.8716
MUT	544.8545	MUT	946.789
MVD	337.4383	MVD	231.6514
MVK	343.0107	MVK	182.5688
MVP	4686.3681	MVP	4300.9174
MX1	4200.9523	MX1	899.0826
MX2	1239.5441	MX2	594.0367
MXD1	560.9525	MXD1	398.1651
MXD3	162.1252	MXD3	41.0459
MXD4	946.0656	MXD4	2272.0183
MXI1	993.7404	MXI1	1309.633
MXRA5	37679.1674	MXRA5	3227.5229
MXRA7	3800.9795	MXRA7	6213.3028
MXRA8	8843.9797	MXRA8	3861.0092
MYADML2	10.5256	removed	removed
MYADM	7185.2691	MYADM	12920.1835
MYBBP1A	969.872	MYBBP1A	782.0046
MYBL1	85.4431	MYBL1	34.4037
MYBL2	713.2641	MYBL2	35.3211
MYBPC1	48.2939	removed	removed
MYB	1433.9581	MYB	5.5046
MYCBP2	1663.0446	MYCBP2	7082.5688
MYCBPAP	9.9064	MYCBPAP	12.3853
MYCBP	815.4243	MYCBP	281.1927
MYCL1	50.1514	MYCL1	9.633
MYCN	13.0022	MYCN	9.633
MYCT1	302.1466	MYCT1	898.6239
MYC	817.9009	MYC	1452.7523
MYD88	1140.4796	MYD88	1224.3119
MYEF2	304.7161	MYEF2	174.7706
MYEOV2	375.8258	MYEOV2	419.7248
removed	removed	MYEOV	165.5963
MYH10	3667.2425	MYH10	3941.2844
MYH11	284.0178	MYH11	15928.5872
MYH14	1108.9028	MYH14	1132.1101
removed	removed	MYH1	14.2202
MYH3	27.2427	MYH3	38.5321
MYH7B	15.4788	MYH7B	35.3211
MYH9	58187.368	MYH9	34598.6239
MYL12A	16369.1637	MYL12A	6716.9725
MYL12B	17294.1781	MYL12B	5199.0826
MYL3	19.8129	MYL3	18.3486
MYL4	11.7639	MYL4	9.1743
MYL5	233.5259	MYL5	120.3394
MYL6B	470.5562	MYL6B	183.0275
MYL6	21988.5952	MYL6	17884.4037
MYL9	12136.6347	MYL9	16683.945
MYLIP	731.8387	MYLIP	1260.5505
MYLK2	9.2873	removed	removed
MYLK3	17.9554	MYLK3	10.0917
MYLK4	20.432	MYLK4	22.9358
MYLK	5468.3396	MYLK	3566.4862
MYNN	512.0394	MYNN	385.7798
MYO10	1353.4682	MYO10	604.1284
MYO15A	9.9064	MYO15A	9.633
MYO15B	378.9216	MYO15B	761.0092
MYO16	21.0512	MYO16	169.7248
MYO18A	986.4715	MYO18A	1730.6789
MYO19	429.1349	MYO19	307.8991
MYO1A	5.5724	MYO1A	8.7156
MYO1B	5644.1976	MYO1B	1776.6055
MYO1C	6146.3306	MYO1C	22702.7523
MYO1D	5808.2731	MYO1D	1626.1468
MYO1E	2134.22	MYO1E	1352.7523
MYO1F	406.1643	MYO1F	644.0367
MYO1G	179.5543	MYO1G	122.0183
MYO1H	11.1448	MYO1H	6.8807
MYO3A	12.3831	MYO3A	7.7982
MYO3B	13.0022	removed	removed
MYO5A	1018.5065	MYO5A	2977.5229
MYO5B	844.5245	MYO5B	264.6789
MYO5C	1178.8114	MYO5C	1120.6239
MYO6	3192.3522	MYO6	937.6147
MYO7A	69.3451	MYO7A	569.2661
MYO7B	5.5724	MYO7B	35.3211
MYO9A	432.7879	MYO9A	1189.9083
MYO9B	2360.2108	MYO9B	2459.1743
removed	removed	MYOCD	179.3578
removed	removed	MYOC	1924.7706
MYOF	6778.4857	MYOF	6689.4495
MYOM1	123.2114	MYOM1	1067.4312
MYOM2	14.2405	MYOM2	36.6972
MYOM3	18.5746	MYOM3	16.9725
MYOZ1	8.049	MYOZ1	33.4862
removed	removed	MYOZ2	6.8807
MYOZ3	14.2405	MYOZ3	12.3853
MYPOP	107.7326	MYPOP	78.8991
MYRIP	21.6704	MYRIP	333.4862
MYSM1	126.9263	MYSM1	228.8991
MYST1	1111.9986	MYST1	470.1835
MYST2	884.7695	MYST2	905.5046
MYST3	973.9275	MYST3	2545.8716
MYST4	944.8273	MYST4	1222.4771
MYT1	88.5389	removed	removed
MZF1	219.9107	MZF1	207.4954
N4BP1	1030.2704	N4BP1	1492.2018
N4BP2L1	177.6969	N4BP2L1	408.2569
N4BP2L2	1243.8781	N4BP2L2	1324.7706
N4BP2	133.1179	N4BP2	161.9266
N4BP3	363.4427	N4BP3	110.0917
N6AMT1	206.7971	N6AMT1	257.7982
N6AMT2	193.7948	N6AMT2	145.8716
NAA10	912.0122	NAA10	599.0826
NAA15	1145.4328	NAA15	831.1927
NAA16	274.2847	NAA16	217.4312
NAA20	1861.7927	NAA20	649.5413
NAA25	644.5381	NAA25	435.7798
NAA30	709.5492	NAA30	583.945
NAA35	394.4004	NAA35	285.7798
NAA38	457.554	NAA38	281.1927
NAA40	500.2755	NAA40	221.1009
NAA50	3529.7905	NAA50	2900
NAAA	732.4579	NAAA	444.9541
NAALAD2	19.1937	NAALAD2	97.2477
NAALADL1	93.4921	NAALADL1	92.6606
NAALADL2	1331.7978	NAALADL2	180.7339
NAB1	1105.1879	NAB1	1668.3486
NAB2	568.3823	NAB2	380.7339
NACA2	72.4409	NACA2	39.4495
NACAD	190.0799	NACAD	180.7339
NACAP1	186.365	NACAP1	77.5229
NACA	21887.6733	NACA	9360.5505
NACC1	2448.7496	NACC1	693.578
NACC2	18.5746	NACC2	101.8349
NADK	1019.7448	NADK	2221.1009
NADSYN1	1053.179	NADSYN1	620.1835
NAE1	850.7161	NAE1	576.1468
NAF1	172.7437	NAF1	186.2385
NAGA	1375.1385	NAGA	1434.8624
NAGK	1287.838	NAGK	911.0092
NAGLU	993.1212	NAGLU	1036.6972
NAGPA	311.4339	NAGPA	223.1606
NAGS	37.7683	NAGS	9.633
NAIF1	203.7013	NAIF1	146.3303
NAIP	109.5901	NAIP	135.3211
NALCN	136.8328	NALCN	6.422
NAMPT	2223.9971	NAMPT	2245.8716
NANOS1	180.1735	NANOS1	322.9358
NANOS3	36.53	removed	removed
NANP	204.9396	NANP	188.5321
NANS	1342.1067	NANS	598.0046
NAP1L1	8818.5944	NAP1L1	5790.8257
NAP1L2	7.4298	NAP1L2	40.8257
NAP1L3	232.8015	NAP1L3	93.578
NAP1L4	2643.1636	NAP1L4	1543.578
NAP1L5	60.677	NAP1L5	148.1651
NAPA	3074.6389	NAPA	2045.5275
NAPB	215.4652	NAPB	236.2385
NAPEPLD	399.6322	NAPEPLD	343.1193
NAPG	1094.6623	NAPG	671.5596
NAPRT1	573.9547	NAPRT1	463.7615
NAPSB	68.726	NAPSB	19.7248
NARFL	1207.3481	NARFL	280.7339
NARF	927.491	NARF	618.8073
NARG2	795.6114	NARG2	1064.6789
NARS2	487.8925	NARS2	275.6881
NARS	2575.0568	NARS	2781.6514
NASP	1509.4947	NASP	1297.7064
NAT10	1005.5043	NAT10	821.1009
NAT14	176.4586	NAT14	33.945
NAT15	1941.6634	NAT15	925.2294
NAT1	5230.6035	NAT1	68.8073
NAT2	31.5768	removed	removed
NAT6	147.8042	NAT6	141.3991
NAT8L	64.3919	NAT8L	1332.5688
NAT9	663.7319	NAT9	249.0826
NAV1	2038.2513	NAV1	4660.0917
NAV2	243.3271	NAV2	532.5688
NAV3	254.4718	NAV3	394.0367
NBAS	817.2818	NBAS	1456.8807
NBEAL1	176.4586	NBEAL1	782.1101
NBEAL2	709.5492	NBEAL2	722.9358
NBEA	195.0332	NBEA	373.3945
NBL1	9032.7346	NBL1	4360.5872
NBLA00301	25.3853	NBLA00301	40.367
NBN	1581.3164	NBN	1568.3486
NBPF10	627.1957	NBPF10	2037.8349
NBPF14	388.8837	NBPF14	638.0138
NBPF15	351.0163	NBPF15	251.289
NBPF16	103.3985	NBPF16	47.2477
NBPF1	573.3356	NBPF1	1277.5229
NBPF3	58.2004	NBPF3	105.5046
NBPF4	11.1448	removed	removed
NBPF9	336.9863	NBPF9	571.3761
NBR1	2596.7272	NBR1	4162.3853
NBR2	67.4877	NBR2	33.4862
NCALD	564.6674	NCALD	679.3578
NCAM1	1025.9115	NCAM1	228.3761
NCAM2	52.628	NCAM2	6.8807
NCAPD2	1265.5485	NCAPD2	813.3028
NCAPD3	423.5006	NCAPD3	509.633
NCAPG2	512.0394	NCAPG2	319.2661
NCAPG	306.2082	NCAPG	52.7431
NCAPH2	617.9146	NCAPH2	554.5872
NCAPH	139.9285	NCAPH	40.367
NCBP1	864.4551	NCBP1	722.4862
NCBP2	2166.4159	NCBP2	1305.5046
NCCRP1	350.4405	removed	removed
NCDN	890.961	NCDN	349.5413
NCEH1	448.2667	NCEH1	831.6514
NCF1B	26.0044	NCF1B	202.2936
NCF1C	59.4387	NCF1C	157.3394
NCF1	112.0667	NCF1	140.367
NCF2	406.1643	NCF2	1207.7982
NCF4	269.9507	NCF4	640.8257
NCK1	608.0081	NCK1	916.9725
NCK2	790.0391	NCK2	851.3761
NCKAP1L	422.8814	NCKAP1L	1650.4587
NCKAP1	6320.3125	NCKAP1	5304.1284
NCKAP5L	658.1595	NCKAP5L	957.7982
NCKAP5	128.1646	NCKAP5	108.2569
NCKIPSD	486.6542	NCKIPSD	755.9633
NCLN	1773.2538	NCLN	995.4128
NCL	7572.8588	NCL	9556.8807
NCOA1	1544.1673	NCOA1	2509.633
NCOA2	508.9437	NCOA2	1015.5963
NCOA3	1466.7732	NCOA3	1984.8624
NCOA4	3977.4381	NCOA4	8305.5046
NCOA5	1923.0888	NCOA5	795.8716
removed	removed	NCOA6	1650
NCOA7	713.8833	NCOA7	2003.6697
removed	removed	NCOR1	2832.5688
NCOR2	4540.8672	NCOR2	3872.9358
removed	removed	NCR3	6.8807
NCRNA00081	289.7388	NCRNA00081	232.945
NCRNA00085	64.3919	NCRNA00085	74.7706
NCRNA00086	21.0512	NCRNA00086	37.6147
NCRNA00087	29.1002	NCRNA00087	40.367
NCRNA00094	624.7995	NCRNA00094	473.9633
NCRNA00095	37.1492	NCRNA00095	56.422
NCRNA00105	125.688	NCRNA00105	50.9174
NCRNA00107	14.8597	NCRNA00107	8.2569
NCRNA00115	12.3831	NCRNA00115	11.9266
NCRNA00116	177.6969	NCRNA00116	130.2752
NCRNA00120	13.0022	NCRNA00120	43.578
NCRNA00152	504.6096	NCRNA00152	151.8349
NCRNA00160	107.1134	removed	removed
NCRNA00161	5.5724	removed	removed
removed	removed	NCRNA00169	5.5046
NCRNA00171	12.5378	NCRNA00171	22.1651
NCRNA00173	11.7639	NCRNA00173	9.1743
NCRNA00174	154.1691	NCRNA00174	102.7523
NCRNA00176	22.9087	removed	removed
NCRNA00181	97.5785	NCRNA00181	42.8899
NCRNA00182	57.5812	NCRNA00182	71.1009
NCRNA00183	235.8972	NCRNA00183	209.633
NCRNA00188	5712.9236	NCRNA00188	4535.3211
NCRNA00201	413.1545	NCRNA00201	471.6835
removed	removed	NCRNA00204B	5.0459
NCRNA00219	221.6567	NCRNA00219	204.1284
NCS1	434.6453	NCS1	332.5688
NCSTN	4364.4086	NCSTN	3496.2248
NDC80	477.3669	NDC80	19.7248
NDE1	494.2574	NDE1	324.1651
NDEL1	915.1079	NDEL1	1181.1927
NDFIP1	3581.7994	NDFIP1	3671.5596
NDFIP2	732.4579	NDFIP2	626.1468
NDNL2	488.5116	NDNL2	382.1101
NDN	793.754	NDN	1501.8349
NDOR1	631.5359	NDOR1	215.1376
removed	removed	NDP	7.3394
NDRG1	8822.3093	NDRG1	9935.3211
NDRG2	650.1105	NDRG2	3663.7615
NDRG3	1177.6288	NDRG3	819.7248
NDRG4	263.7591	NDRG4	235.3211
NDST1	2607.2528	NDST1	4895.8716
NDST2	523.1842	NDST2	652.7523
NDUFA10	956.5912	NDUFA10	1228.4404
NDUFA11	1848.7905	NDUFA11	759.633
NDUFA12	1143.5754	NDUFA12	581.1927
NDUFA13	3533.0163	NDUFA13	1405.1009
NDUFA1	2299.5338	NDUFA1	924.7706
NDUFA2	1682.2384	NDUFA2	601.3761
NDUFA3	983.8339	NDUFA3	348.1651
NDUFA4L2	2965.7423	NDUFA4L2	410.0917
NDUFA4	2861.1054	NDUFA4	1871.1009
NDUFA5	1244.4973	NDUFA5	807.7982
NDUFA6	938.6358	NDUFA6	799.0826
NDUFA7	1107.6645	NDUFA7	252.2936
NDUFA8	1138.003	NDUFA8	595.8716
NDUFA9	1386.2833	NDUFA9	914.2202
NDUFAB1	1538.5949	NDUFAB1	568.8073
NDUFAF1	490.9882	NDUFAF1	289.9083
NDUFAF2	130.6413	NDUFAF2	144.0367
NDUFAF3	837.7138	NDUFAF3	905.5046
NDUFAF4	265.6166	NDUFAF4	273.3945
NDUFB10	1830.2159	NDUFB10	954.1284
NDUFB11	1363.3746	NDUFB11	659.1743
NDUFB1	1262.4527	NDUFB1	427.9817
NDUFB2	1498.9567	NDUFB2	810.0917
NDUFB3	1129.954	NDUFB3	459.1743
NDUFB4	4504.3372	NDUFB4	1167.8899
NDUFB5	1546.0247	NDUFB5	930.2752
NDUFB6	590.6718	NDUFB6	437.6147
NDUFB7	1630.8487	NDUFB7	823.3945
NDUFB8	1222.8269	NDUFB8	958.1055
NDUFB9	2684.6469	NDUFB9	1379.3578
NDUFC1	898.3908	NDUFC1	373.8532
NDUFC2	2643.7828	NDUFC2	1350
NDUFS1	1536.7374	NDUFS1	1803.211
NDUFS2	3132.9135	NDUFS2	1539.4495
NDUFS3	980.0757	NDUFS3	822.2431
NDUFS4	511.4203	NDUFS4	588.0734
NDUFS5	2858.0097	NDUFS5	1479.3578
NDUFS6	611.723	NDUFS6	511.0092
NDUFS7	513.0734	NDUFS7	511.5046
NDUFS8	1324.9872	NDUFS8	644.9541
NDUFV1	1459.3433	NDUFV1	1452.7523
NDUFV2	4473.9987	NDUFV2	1040.8257
NDUFV3	991.2638	NDUFV3	746.789
NEAT1	16385.8808	NEAT1	13914.2202
NEBL	1463.0582	NEBL	225.2294
NEB	91.0155	NEB	23.3945
NECAB1	62.5344	NECAB1	68.8073
NECAB2	5.5724	removed	removed
NECAB3	546.712	NECAB3	240.8257
NECAP1	811.7094	NECAP1	537.156
NECAP2	1311.9849	NECAP2	1451.8349
NEDD1	547.9503	NEDD1	463.3028
NEDD4L	688.498	NEDD4L	1071.5596
NEDD4	837.0947	NEDD4	631.1927
NEDD8	1573.2675	NEDD8	1511.4679
NEDD9	1228.3993	NEDD9	2615.5963
NEFH	45.8173	NEFH	35.3211
NEFL	48.2939	removed	removed
NEFM	9.7702	removed	removed
NEGR1	1010.4575	NEGR1	1279.8165
NEIL1	105.8751	NEIL1	76.6055
NEIL2	465.603	NEIL2	566.055
NEIL3	55.7238	removed	removed
NEK10	34.0534	removed	removed
NEK11	476.1286	NEK11	228.4404
NEK1	495.9415	NEK1	515.5963
NEK2	185.1267	NEK2	6.422
NEK3	196.8906	NEK3	244.0367
NEK4	361.5853	NEK4	390.8257
NEK6	1136.7647	NEK6	902.2936
NEK7	1416.0026	NEK7	5050.4587
NEK8	128.1646	NEK8	36.6972
NEK9	2947.7868	NEK9	3399.0826
NELF	799.9455	NELF	573.3945
NELL2	6.8107	NELL2	15.1376
NENF	1156.5776	NENF	803.6697
NEO1	1684.715	NEO1	842.6606
NES	2515.6181	NES	2524.3119
NET1	2098.3091	NET1	1980.2752
NETO1	105.256	removed	removed
NETO2	197.5098	NETO2	29.8165
NEU1	1276.6932	NEU1	1083.0275
NEU3	31.5768	NEU3	88.9908
NEU4	28.481	removed	removed
NEURL1B	705.2151	NEURL1B	1716.055
NEURL2	9.3925	NEURL2	26.0459
NEURL4	325.0615	NEURL4	400.5183
NEURL	9.2873	removed	removed
NEXN	972.07	NEXN	872.0183
NF1	1847.5522	NF1	2305.9633
NF2	432.7879	NF2	800.4587
NFAM1	158.5031	NFAM1	496.3303
NFASC	44.579	NFASC	348.0826
NFAT5	1354.7065	NFAT5	2482.1101
NFATC1	364.0619	NFATC1	666.055
NFATC2IP	616.6763	NFATC2IP	737.156
NFATC2	39.0066	NFATC2	251.3761
NFATC3	640.8232	NFATC3	1072.9358
NFATC4	1026.5555	NFATC4	642.2018
NFE2L1	9435.8898	NFE2L1	14572.0183
NFE2L2	3493.7806	NFE2L2	3163.3991
NFE2L3	425.358	NFE2L3	298.1651
removed	removed	NFE2	14.2202
NFIA	784.4667	NFIA	2513.7615
NFIB	1074.8494	NFIB	4650
NFIC	995.5978	NFIC	1743.578
NFIL3	542.9971	NFIL3	722.4771
NFIX	2058.6833	NFIX	6666.5138
NFKB1	929.3485	NFKB1	1378.8991
NFKB2	741.126	NFKB2	539.4495
NFKBIA	1432.7198	NFKBIA	1731.6514
NFKBIB	258.1867	NFKBIB	215.5963
NFKBID	8.049	NFKBID	35.3211
NFKBIE	271.8081	NFKBIE	98.1651
NFKBIL1	313.2914	NFKBIL1	262.844
NFKBIL2	227.2291	NFKBIL2	33.945
NFKBIZ	1636.9721	NFKBIZ	527.5229
NFRKB	506.4671	NFRKB	676.1468
NFS1	550.4269	NFS1	346.3303
NFU1	486.6542	NFU1	785.3211
NFX1	915.7271	NFX1	1297.2477
NFXL1	180.1735	NFXL1	175.2064
NFYA	621.0103	NFYA	645.8716
NFYB	980.7382	NFYB	766.055
NFYC	970.7079	NFYC	768.6376
NGDN	346.1065	NGDN	377.0642
NGEF	48.9131	NGEF	44.4954
NGFRAP1	1642.6126	NGFRAP1	791.2844
NGFR	28.481	NGFR	276.1468
NGF	21.6704	NGF	20.1835
NGLY1	419.7856	NGLY1	499.0826
NGRN	19762.2701	NGRN	2518.6835
removed	removed	NHEDC1	9.633
NHEDC2	159.7414	NHEDC2	266.9725
NHEJ1	228.8699	NHEJ1	299.0826
NHLH1	10.5256	removed	removed
NHLRC1	49.5322	NHLRC1	52.7523
NHLRC2	100.9219	NHLRC2	304.5872
NHLRC3	818.5201	NHLRC3	1050.4587
NHLRC4	52.0088	NHLRC4	29.8165
NHP2L1	2009.7702	NHP2L1	1587.156
NHP2	1904.5142	NHP2	590.367
NHSL1	336.2	NHSL1	1068.8073
NHSL2	111.4475	NHSL2	251.8349
NHS	282.9529	NHS	400.4587
NICN1	231.7489	NICN1	316.7706
NID1	11313.1118	NID1	9335.844
NID2	5777.3155	NID2	1386.6972
NIF3L1	586.3378	NIF3L1	359.633
NINJ1	2424.6027	NINJ1	1495.4128
NINJ2	409.9845	NINJ2	180.7339
NINL	157.2648	NINL	148.1651
NIN	1648.8041	NIN	1849.5413
NIP7	512.0394	NIP7	372.4771
NIPA1	190.0799	NIPA1	447.7064
NIPA2	652.5871	NIPA2	679.3578
removed	removed	NIPAL1	22.4771
NIPAL2	175.2203	NIPAL2	266.055
NIPAL3	346.1065	NIPAL3	488.9908
NIPAL4	7.4298	removed	removed
NIPBL	1400.5238	NIPBL	2420.6422
NIPSNAP1	872.3864	NIPSNAP1	227.9817
NIPSNAP3A	625.3444	NIPSNAP3A	697.2477
NIPSNAP3B	33.4343	NIPSNAP3B	342.9587
NISCH	1308.8892	NISCH	2528.8991
NIT1	649.4109	NIT1	533.7615
NIT2	1354.7065	NIT2	471.1009
NKAIN1	57.5812	removed	removed
NKAIN2	25.3853	NKAIN2	11.4679
NKAIN4	9.9064	removed	removed
NKAPL	7.4298	NKAPL	59.633
NKAP	360.9661	NKAP	258.7156
NKD1	30.3385	NKD1	42.6606
NKD2	292.8593	removed	removed
NKG7	71.8217	NKG7	104.1284
NKIRAS1	139.9285	NKIRAS1	271.5596
NKIRAS2	1069.8962	NKIRAS2	814.2202
NKPD1	8.6681	removed	removed
NKRF	309.5764	NKRF	193.1193
NKTR	1346.0384	NKTR	2272.9358
NKX2-2	24.7661	removed	removed
NKX2-8	16.7171	removed	removed
NKX3-1	220.4184	NKX3-1	60.5505
NKX3-2	117.639	removed	removed
NKX6-1	11.1448	removed	removed
NLE1	217.9418	NLE1	234.8624
removed	removed	NLGN1	75.2294
NLGN2	648.8722	NLGN2	652.7523
NLGN3	28.481	NLGN3	23.8532
NLGN4X	118.8774	NLGN4X	134.4037
NLK	464.3647	NLK	379.3578
NLN	404.926	NLN	359.633
NLRC3	105.256	NLRC3	100.9174
NLRC4	61.9153	NLRC4	223.8532
NLRC5	915.7271	NLRC5	756.8807
NLRP12	119.4965	NLRP12	17.8899
NLRP1	483.5584	NLRP1	1177.0642
NLRP2	613.5805	NLRP2	16.055
NLRP3	81.7282	NLRP3	325.6881
