gene_id	TCGA-E9-A1NF-01A-11R-A14D-07	gene_id	TCGA-E9-A1NF-11A-73R-A14D-07
ACTR8	411.1175	ACTR8	439.4495
ACVR1B	993.7404	ACVR1B	903.6697
ACVR1C	17.9554	ACVR1C	1953.211
ACVR1	1750.3452	ACVR1	1420.1835
ACVR2A	803.6604	ACVR2A	367.4312
ACVR2B	184.5076	ACVR2B	286.2385
ACVRL1	952.2571	ACVRL1	2317.4312
ACY1	609.2464	ACY1	429.8165
ACY3	5.5724	removed	removed
ACYP1	112.0667	ACYP1	46.3303
ACYP2	142.4052	ACYP2	156.422
ADAL	218.561	ADAL	247.7064
ADAM10	1967.0487	ADAM10	1604.1284
ADAM11	12.3831	removed	removed
ADAM12	7353.0595	ADAM12	1586.6972
ADAM15	4431.9458	ADAM15	3178.3119
ADAM17	557.2376	ADAM17	822.0183
ADAM19	671.7809	ADAM19	118.8073
ADAM21	6.1915	ADAM21	5.5046
ADAM22	8.6681	ADAM22	174.7706
ADAM23	53.8663	ADAM23	66.055
ADAM28	112.0667	ADAM28	60.5505
removed	removed	ADAM32	13.7615
ADAM33	178.9352	ADAM33	965.8853
ADAM6	3691.2532	ADAM6	367.5872
ADAM8	307.719	ADAM8	71.5596
ADAM9	1912.5632	ADAM9	4036.6972
ADAMDEC1	103.3985	ADAMDEC1	8.7156
ADAMTS10	192.5565	ADAMTS10	448.6239
ADAMTS12	1807.3072	ADAMTS12	533.4862
ADAMTS13	43.3407	ADAMTS13	33.4862
ADAMTS14	495.3223	ADAMTS14	24.7706
ADAMTS15	82.9665	ADAMTS15	741.7431
ADAMTS16	1423.4325	ADAMTS16	216.9725
ADAMTS17	629.6785	ADAMTS17	93.1193
ADAMTS18	11.7639	ADAMTS18	506.8807
ADAMTS1	619.772	ADAMTS1	4233.945
ADAMTS2	1377.6151	ADAMTS2	1877.5229
ADAMTS3	44.579	ADAMTS3	72.4771
ADAMTS4	1384.4258	ADAMTS4	628.4404
ADAMTS5	799.3264	ADAMTS5	6513.3028
ADAMTS6	105.8751	ADAMTS6	131.6514
ADAMTS7	940.4932	ADAMTS7	394.9541
ADAMTS8	9.2873	ADAMTS8	12.3853
ADAMTS9	535.5672	ADAMTS9	1361.9266
ADAMTSL1	580.7654	ADAMTSL1	315.1376
ADAMTSL2	941.1124	ADAMTSL2	165.1376
ADAMTSL3	668.066	ADAMTSL3	835.7798
ADAMTSL4	187.6033	ADAMTSL4	3111.4679
ADAMTSL5	147.9775	ADAMTSL5	42.6606
ADAP1	114.3575	ADAP1	189.6193
ADAP2	410.4984	ADAP2	633.4862
ADARB1	945.4464	ADARB1	894.4954
ADARB2	13.0022	removed	removed
ADAR	6970.4231	ADAR	6085.3211
ADAT1	179.5543	ADAT1	289.4495
ADAT2	157.884	ADAT2	123.3945
ADAT3	35.9109	ADAT3	18.8073
ADA	188.2225	ADA	222.4771
ADCK1	340.5341	ADCK1	211.9266
ADCK2	742.3643	ADCK2	500
ADCK4	429.0729	ADCK4	349.5413
ADCK5	129.403	ADCK5	64.6789
ADCY10	9.2873	removed	removed
ADCY1	1795.5433	ADCY1	221.1009
ADCY2	71.2026	ADCY2	79.8165
ADCY3	722.409	ADCY3	1866.9083
ADCY4	178.316	ADCY4	921.5596
removed	removed	ADCY5	828.4404
ADCY6	927.491	ADCY6	4034.4037
ADCY7	983.2148	ADCY7	2114.2202
removed	removed	ADCY8	33.4862
ADCY9	438.3602	ADCY9	1089.4495
ADCYAP1R1	7.4298	ADCYAP1R1	75.2294
ADC	264.9974	ADC	82.5688
ADD1	4716.0874	ADD1	8648.1651
ADD2	16.098	ADD2	82.5688
ADD3	2209.7566	ADD3	4157.3394
removed	removed	ADH1A	592.1697
removed	removed	ADH1B	52085.7752
removed	removed	ADH1C	329.3578
ADH5	1962.7146	ADH5	4293.1193
ADHFE1	119.4965	ADHFE1	361.4679
ADI1	648.8722	ADI1	1701.8349
removed	removed	ADIPOQ	76495.4128
ADIPOR1	3763.2112	ADIPOR1	2164.6789
ADIPOR2	1766.4432	ADIPOR2	4955.5046
ADK	331.2468	ADK	381.6514
ADM2	148.5967	removed	removed
ADM	381.3982	ADM	1884.4037
ADNP2	470.5562	ADNP2	582.1101
ADNP	2376.3087	ADNP	1950.4587
ADORA1	120.1157	ADORA1	184.4037
ADORA2A	89.158	ADORA2A	49.0826
ADORA2B	28.481	ADORA2B	46.789
ADORA3	650.1105	ADORA3	335.3211
ADO	740.5068	ADO	529.3578
ADPGK	1154.2743	ADPGK	904.4404
ADPRHL1	246.4228	ADPRHL1	52.2936
ADPRHL2	890.3418	ADPRHL2	435.7798
ADPRH	356.0129	ADPRH	622.0183
removed	removed	ADRA1A	114.6789
ADRA1B	16.7171	ADRA1B	306.422
ADRA1D	16.098	ADRA1D	11.0092
ADRA2A	1002.4085	ADRA2A	1830.2752
ADRA2B	19.1937	ADRA2B	40.8257
ADRA2C	38.3875	ADRA2C	123.8532
removed	removed	ADRB1	183.0275
ADRB2	123.8306	ADRB2	829.8165
removed	removed	ADRB3	10.5505
ADRBK1	1511.3522	ADRBK1	1679.3578
ADRBK2	507.7054	ADRBK2	3341.2844
