gene_id	TCGA-BH-A18R-01A-11R-A12D-07	gene_id	TCGA-BH-A18R-11A-42R-A12D-07
AKAP1	3232.0951	AKAP1	3238.9857
AKAP2	316.4577	AKAP2	1669.8288
AKAP3	14.8588	AKAP3	74.8019
AKAP5	584.844	AKAP5	164.8177
AKAP6	77.266	AKAP6	339.7781
AKAP7	136.4042	AKAP7	221.2361
AKAP8L	687.9643	AKAP8L	704.2789
AKAP8	730.1634	AKAP8	653.2488
AKAP9	3588.4101	AKAP9	3584.1521
AKD1	99.8514	AKD1	167.9873
AKIRIN1	1279.9406	AKIRIN1	1168.6212
AKIRIN2	788.1129	AKIRIN2	660.8558
AKNAD1	9.8098	removed	removed
AKNA	363.4473	AKNA	827.2583
AKR1A1	1556.315	AKR1A1	1347.0681
AKR1B1	563.4473	AKR1B1	760.6973
AKR1C1	41.0104	AKR1C1	1892.2345
AKR1C2	6.2407	AKR1C2	1865.2932
AKR1C3	178.9004	AKR1C3	1088.748
AKR1E2	26.4487	AKR1E2	47.2266
AKR7A2	502.526	AKR7A2	918.542
AKR7A3	36.5527	AKR7A3	86.2124
AKR7L	8.6181	AKR7L	16.1648
AKT1S1	1152.7489	AKT1S1	651.3471
AKT1	5221.6939	AKT1	2660.5388
AKT2	1964.636	AKT2	3198.0983
AKT3	299.8514	AKT3	1256.1014
AKTIP	754.4993	AKTIP	602.1585
ALAD	1048.737	ALAD	2188.9065
ALAS1	478.7519	ALAS1	930.2694
ALB	73.1055	ALB	1011.7274
ALCAM	7637.4443	ALCAM	4415.5309
ALDH16A1	770.5795	ALDH16A1	311.5689
ALDH18A1	4515.0074	ALDH18A1	1172.4247
ALDH1A1	279.9406	ALDH1A1	3084.6276
ALDH1A2	57.9495	ALDH1A2	524.2472
ALDH1A3	263.3938	ALDH1A3	1675.9905
ALDH1B1	1230.6092	ALDH1B1	573.3756
ALDH1L1	6.8351	ALDH1L1	1523.2964
ALDH1L2	306.9837	ALDH1L2	377.1791
ALDH2	11171.471	ALDH2	10954.9921
removed	removed	ALDH3A1	54.1997
ALDH3A2	1985.7355	ALDH3A2	2832.9635
