gene_id	TCGA-BH-A18V-01A-11R-A12D-07	gene_id	TCGA-BH-A18V-11A-52R-A12D-07
ACTR3C	36.1256	ACTR3C	32.7834
ACTR3	10380.3132	ACTR3	1487.4854
ACTR5	128.5939	ACTR5	298.965
ACTR6	575.0269	ACTR6	706.5556
ACTR8	524.6499	ACTR8	392.4221
ACVR1B	568.3984	ACVR1B	856.772
ACVR1C	16.5714	ACVR1C	199.1469
ACVR1	769.2435	ACVR1	1021.1783
ACVR2A	145.4967	ACVR2A	495.6654
ACVR2B	369.5418	ACVR2B	233.8875
ACVRL1	554.8098	ACVRL1	946.804
ACY1	593.8222	ACY1	954.5106
ACY3	21.8742	ACY3	61.6524
ACYP1	136.2168	ACYP1	128.1978
ACYP2	128.2625	ACYP2	286.7324
ADAL	118.3197	ADAL	157.556
ADAM10	3328.5276	ADAM10	367.9569
ADAM11	6.2971	ADAM11	30.3369
ADAM12	1834.7833	ADAM12	616.0343
ADAM15	3621.8577	ADAM15	2721.0219
ADAM17	762.9464	ADAM17	249.0559
ADAM19	798.0777	ADAM19	103.2432
removed	removed	ADAM22	7.3396
ADAM23	14.9142	removed	removed
ADAM28	148.4796	ADAM28	114.4972
ADAM32	31.4856	ADAM32	67.524
ADAM33	10.2743	ADAM33	1326.7979
ADAM6	13050.377	ADAM6	146056.0131
ADAM8	566.0784	ADAM8	146.302
ADAM9	3272.1849	ADAM9	525.5129
ADAMDEC1	521.3357	removed	removed
ADAMTS10	71.2569	ADAMTS10	166.3635
ADAMTS12	413.9531	ADAMTS12	74.3743
ADAMTS13	52.3656	ADAMTS13	121.8368
ADAMTS14	129.2568	ADAMTS14	24.4652
ADAMTS15	28.8342	ADAMTS15	43.0588
ADAMTS16	16.5714	ADAMTS16	121.3475
ADAMTS17	97.1083	ADAMTS17	42.5695
ADAMTS18	9.6114	ADAMTS18	66.5454
removed	removed	ADAMTS19	9.2968
ADAMTS1	904.7974	ADAMTS1	4028.4433
ADAMTS2	840.169	ADAMTS2	334.6842
ADAMTS3	30.8228	ADAMTS3	35.2299
ADAMTS4	1508.3271	ADAMTS4	818.117
ADAMTS5	629.3811	ADAMTS5	920.8709
ADAMTS6	36.7885	ADAMTS6	14.1898
ADAMTS7	122.9596	ADAMTS7	53.3342
removed	removed	ADAMTS8	122.8154
ADAMTS9	451.7359	ADAMTS9	349.8527
ADAMTSL1	71.9198	ADAMTSL1	96.8823
ADAMTSL2	56.0113	ADAMTSL2	32.2941
ADAMTSL3	22.5371	ADAMTSL3	81.7138
ADAMTSL4	2106.2226	ADAMTSL4	811.756
ADAMTSL5	7.6228	ADAMTSL5	111.0721
ADAP1	48.0968	ADAP1	154.3021
ADAP2	421.2445	ADAP2	319.0265
ADARB1	711.9065	ADARB1	648.8177
removed	removed	ADARB2	9.7861
ADAR	21873.8918	ADAR	4209.9752
ADAT1	741.735	ADAT1	110.0935
ADAT2	72.9141	ADAT2	131.6229
ADAT3	33.1428	ADAT3	39.6337
ADA	129.5882	ADA	127.7085
ADCK1	337.7247	ADCK1	262.2672
ADCK2	1123.8711	ADCK2	1226.6862
ADCK4	759.3007	ADCK4	1097.9991
ADCK5	111.3597	ADCK5	174.1924
ADCY1	348.3304	ADCY1	302.3901
ADCY2	192.5594	ADCY2	180.064
ADCY3	2579.0405	ADCY3	1208.807
ADCY4	91.474	ADCY4	689.4299
ADCY5	25.5199	ADCY5	131.6229
ADCY6	2118.8168	ADCY6	1624.0014
ADCY7	1357.5275	ADCY7	245.6308
ADCY9	732.4551	ADCY9	545.5744
ADCYAP1	17.8971	ADCYAP1	39.1444
ADC	98.1026	ADC	211.8688
ADD1	3758.7207	ADD1	5191.5199
ADD2	278.7306	ADD2	28.869
ADD3	1367.8018	ADD3	1777.6429
removed	removed	ADH1A	41.5909
ADH1B	311.2105	ADH1B	6619.7995
removed	removed	ADH1C	519.152
ADH5	2666.3352	ADH5	3112.4654
ADHFE1	66.617	ADHFE1	251.0132
ADI1	702.958	ADI1	2406.3991
ADIPOQ	327.1191	ADIPOQ	4902.341
ADIPOR1	2644.7924	ADIPOR1	2497.899
ADIPOR2	2342.199	ADIPOR2	1979.7257
ADK	228.0222	ADK	246.1201
ADM2	2814.152	ADM2	93.4571
ADM	225.7022	ADM	754.5074
ADNP2	700.9694	ADNP2	406.612
ADNP	4197.1994	ADNP	1360.7556
removed	removed	ADORA1	978.1195
ADORA2A	682.3929	ADORA2A	100.3074
ADORA2B	529.2899	ADORA2B	95.9037
ADORA3	56.0113	ADORA3	76.3315
ADO	746.7064	ADO	464.3499
ADPGK	1879.5957	ADPGK	946.1826
ADPRHL1	247.5764	ADPRHL1	214.3153
ADPRHL2	628.3868	ADPRHL2	1219.3466
ADPRH	354.959	ADPRH	358.1708
removed	removed	ADRA1A	24.4652
removed	removed	ADRA1B	28.3797
ADRA2A	69.9312	ADRA2A	793.6518
ADRA2B	13.2571	ADRA2B	26.4224
removed	removed	ADRA2C	100.7967
ADRB1	13.92	ADRB1	63.6096
ADRB2	10.6057	ADRB2	282.3286
ADRBK1	2606.3468	ADRBK1	1419.9614
ADRBK2	508.41	ADRBK2	729.0636
ADRM1	1581.5726	ADRM1	1998.8085
ADSL	1067.8598	ADSL	1050.0473
ADSSL1	5.6343	ADSSL1	59.2058
ADSS	939.2659	ADSS	866.0688
AEBP1	7889.3032	AEBP1	12333.8964
AEBP2	1502.03	AEBP2	460.9248
AEN	1230.2593	AEN	518.6627
AES	3448.8359	AES	10331.1735
AFAP1L1	174.6624	AFAP1L1	255.9062
AFAP1L2	166.0452	AFAP1L2	771.1438
AFAP1	1389.6064	AFAP1	708.0235
AFF1	939.5973	AFF1	1075.4911
removed	removed	AFF2	47.9518
AFF3	23.5314	AFF3	536.7669
AFF4	2294.8049	AFF4	1263.8733
AFG3L1	428.5359	AFG3L1	397.3152
AFG3L2	1111.2967	AFG3L2	1471.6075
AFMID	162.0681	AFMID	1018.7318
removed	removed	AFP	212.3581
AFTPH	1718.1208	AFTPH	973.7158
AG2	197.5309	AG2	1702.7794
AGAP11	35.7975	AGAP11	56.7593
AGAP1	1602.784	AGAP1	164.4063
AGAP2	72.3208	AGAP2	88.2363
AGAP3	860.3861	AGAP3	2682.3668
AGAP4	126.9368	AGAP4	356.7029
AGAP5	14.8049	AGAP5	29.8476
AGAP6	110.3654	AGAP6	149.2378
AGAP7	7.6228	AGAP7	16.147
AGAP8	20.2171	AGAP8	48.9304
AGA	266.7992	AGA	498.6012
removed	removed	AGBL2	21.0401
AGBL5	1477.511	AGBL5	837.2194
AGER	23.8628	AGER	128.6871
AGFG1	4080.2055	AGFG1	1236.9616
AGFG2	151.131	AGFG2	719.2775
AGGF1	380.1475	AGGF1	535.299
AGK	841.4947	AGK	455.0531
AGL	488.1929	AGL	462.3927
AGMAT	47.0627	AGMAT	8.3182
AGPAT1	2812.7798	AGPAT1	1819.6889
AGPAT2	776.2035	AGPAT2	2705.8534
AGPAT3	1775.7892	AGPAT3	1558.9239
AGPAT4	111.6911	AGPAT4	337.1307
AGPAT5	692.3523	AGPAT5	414.4408
AGPAT6	1241.5279	AGPAT6	2174.4688
AGPAT9	64.297	AGPAT9	115.4758
AGPHD1	65.2912	AGPHD1	64.0989
AGPS	1064.5455	AGPS	694.323
AGR2	10.6057	AGR2	3504.3982
removed	removed	AGR3	1307.4214
AGRN	8145.8282	AGRN	3621.342
AGTPBP1	632.6953	AGTPBP1	237.3126
AGTR1	14.9142	AGTR1	180.5533
AGTRAP	550.1699	AGTRAP	1174.8199
AGT	27.1771	AGT	134.5587
AGXT2L1	149.1424	removed	removed
AGXT2L2	262.9282	AGXT2L2	872.557
removed	removed	AGXT	6.8503
AHCTF1	1836.4405	AHCTF1	574.4434
AHCYL1	3685.4752	AHCYL1	2340.8323
AHCYL2	398.7074	AHCYL2	358.6601
AHCY	2740.575	AHCY	3456.4464
AHDC1	315.8505	AHDC1	879.7693
AHI1	187.9195	AHI1	335.1735
AHNAK2	2451.9016	AHNAK2	616.5236
AHNAK	34340.2105	AHNAK	29914.1148
AHRR	15.5771	AHRR	12.7219
AHR	1484.7958	AHR	1760.5173
AHSA1	3068.3569	AHSA1	2222.4207
AHSA2	428.2045	AHSA2	828.8817
AIDA	639.3769	AIDA	1339.7449
AIF1L	3396.1389	AIF1L	2033.0599
AIF1	501.7814	AIF1	632.1813
AIFM1	852.4319	AIFM1	732.4887
AIFM2	342.6962	AIFM2	1242.3439
AIFM3	19.193	AIFM3	33.2727
