gene_id	TCGA-E2-A15K-01A-11R-A12P-07	gene_id	TCGA-E2-A15K-11A-13R-A12P-07
ACYP2	84.5852	ACYP2	186.3264
removed	removed	ADAD2	8.9697
ADAL	291.264	ADAL	138.6615
ADAM10	1254.9995	ADAM10	746.2687
removed	removed	ADAM11	10.5922
ADAM12	2231.7482	ADAM12	356.7646
ADAM15	4768.9216	ADAM15	5273.1536
ADAM17	566.8357	ADAM17	373.6158
ADAM19	503.6839	ADAM19	154.5498
ADAM21P1	6.1238	removed	removed
ADAM21	19.5197	removed	removed
ADAM22	14.1613	ADAM22	12.9995
ADAM23	43.2494	ADAM23	33.221
ADAM28	115.2043	ADAM28	70.2937
removed	removed	ADAM32	26.962
ADAM33	31.7673	ADAM33	1001.0833
ADAM6	35067.1017	ADAM6	30000.1541
ADAM8	1331.5472	ADAM8	170.4381
ADAM9	699.2632	ADAM9	1027.4434
ADAMDEC1	156.54	ADAMDEC1	32.7395
ADAMTS10	68.8929	ADAMTS10	324.025
ADAMTS12	153.8609	ADAMTS12	66.442
ADAMTS13	131.662	ADAMTS13	81.3674
ADAMTS14	146.5888	ADAMTS14	10.1107
ADAMTS15	257.2003	ADAMTS15	142.5132
ADAMTS16	158.4537	ADAMTS16	137.6986
ADAMTS17	19.9024	ADAMTS17	19.74
ADAMTS18	13.3958	ADAMTS18	264.805
ADAMTS19	6.1238	removed	removed
ADAMTS1	257.583	ADAMTS1	3736.1579
ADAMTS2	461.5826	ADAMTS2	810.7848
ADAMTS3	24.878	ADAMTS3	82.8117
ADAMTS4	863.0753	ADAMTS4	321.6177
ADAMTS5	169.5532	ADAMTS5	1297.5445
ADAMTS6	57.028	ADAMTS6	17.8142
ADAMTS7	192.5175	ADAMTS7	126.1435
ADAMTS8	9.5685	ADAMTS8	53.9239
ADAMTS9	143.5269	ADAMTS9	753.0091
ADAMTSL1	53.2007	ADAMTSL1	225.325
ADAMTSL2	145.4406	ADAMTSL2	195.9557
ADAMTSL3	63.5346	ADAMTSL3	214.7328
ADAMTSL4	517.8452	ADAMTSL4	1646.6057
ADAMTSL5	177.9734	ADAMTSL5	61.6273
ADAP1	261.5826	ADAP1	299.6341
ADAP2	250.311	ADAP2	336.0616
ADARB1	236.1497	ADARB1	1082.8117
ADAR	9830.2555	ADAR	4894.078
ADAT1	154.6264	ADAT1	66.9234
ADAT2	63.5346	ADAT2	118.4401
ADAT3	33.681	ADAT3	91.4781
ADA	102.1912	ADA	235.9172
ADCK1	303.5116	ADCK1	210.3996
ADCK2	797.627	ADCK2	991.3337
ADCK4	763.946	ADCK4	804.5258
ADCK5	163.0466	ADCK5	154.0684
ADCY1	45.1631	ADCY1	121.3288
ADCY2	46.3114	ADCY2	76.0713
ADCY3	621.7166	ADCY3	2210.9966
ADCY4	169.5532	ADCY4	974.9639
ADCY5	6.5066	ADCY5	265.2865
ADCY6	1999.0432	ADCY6	1795.3779
ADCY7	437.0874	ADCY7	378.4304
ADCY9	1708.5446	ADCY9	822.3399
removed	removed	ADCYAP1R1	9.6293
removed	removed	ADCYAP1	20.2215
ADC	189.0728	ADC	191.6225
ADD1	4362.8361	ADD1	7228.2138
ADD2	14.1613	ADD2	44.7761
ADD3	599.3685	ADD3	1846.4131
removed	removed	ADH1A	73.1825
ADH1B	218.5437	ADH1B	9763.6013
removed	removed	ADH1C	500.2407
removed	removed	ADH4	45.739
ADH5	787.6758	ADH5	3130.9581
ADH7	5.7411	removed	removed
ADHFE1	170.3186	ADHFE1	193.5484
ADI1	1888.049	ADI1	1957.6312
ADIPOQ	124.7727	ADIPOQ	5964.8532
ADIPOR1	4362.0706	ADIPOR1	1957.1497
ADIPOR2	2317.0988	ADIPOR2	2012.5181
ADK	407.6165	ADK	347.1353
ADM2	338.3408	ADM2	93.8854
ADM	75.0167	ADM	1904.6702
ADNP2	648.359	ADNP2	290.3226
ADNP	2886.231	ADNP	1412.6143
ADORA1	235.0014	ADORA1	315.8402
ADORA2A	386.1831	ADORA2A	168.9937
ADORA2B	60.0899	ADORA2B	154.5498
ADORA3	235.7669	ADORA3	213.2884
ADO	545.0196	ADO	605.6813
ADPGK	988.935	ADPGK	785.2672
ADPRHL1	144.6752	ADPRHL1	51.9981
ADPRHL2	800.6889	ADPRHL2	991.3337
ADPRH	141.6132	ADPRH	621.0881
removed	removed	ADRA1A	18.2956
removed	removed	ADRA1B	63.5532
removed	removed	ADRA1D	30.3322
ADRA2A	532.3892	ADRA2A	1890.2263
ADRA2B	17.2232	ADRA2B	86.6635
ADRA2C	8.4202	ADRA2C	515.6476
removed	removed	ADRB1	69.8122
ADRB2	46.3114	ADRB2	609.533
ADRBK1	3056.9324	ADRBK1	2719.3067
ADRBK2	972.9213	ADRBK2	600.3852
ADRM1	1625.8731	ADRM1	2402.9851
ADSL	921.6343	ADSL	873.3751
ADSSL1	391.5415	ADSSL1	103.9961
ADSS	2164.7689	ADSS	844.9687
AEBP1	11910.8219	AEBP1	16890.7078
AEBP2	588.2691	AEBP2	454.5017
AEN	407.2338	AEN	414.0587
AES	6152.904	AES	13264.805
AFAP1L1	277.1027	AFAP1L1	610.0144
AFAP1L2	271.3616	AFAP1L2	870.9677
AFAP1	1294.0312	AFAP1	998.5412
AFF1	1206.7745	AFF1	1279.2489
AFF2	25.2607	AFF2	32.2581
AFF3	1930.9157	AFF3	269.6196
AFF4	1923.2609	AFF4	1158.4015
AFG3L1	221.9883	AFG3L1	223.8806
AFG3L2	1664.0168	AFG3L2	888.3919
AFMID	523.969	AFMID	496.389
AFP	43.6322	AFP	65.4791
AFTPH	1929.002	AFTPH	812.2292
AG2	104.4876	AG2	2025.5128
AGAP11	33.2982	AGAP11	110.2552
AGAP1	605.875	AGAP1	369.2826
AGAP2	135.5545	AGAP2	127.0534
AGAP3	1176.5381	AGAP3	2523.8325
AGAP4	195.1966	AGAP4	249.8796
