gene_id	TCGA-E2-A15K-01A-11R-A12P-07	gene_id	TCGA-E2-A15K-11A-13R-A12P-07
MAGED1	6720.1225	MAGED1	3451.6129
MAGED2	13831.021	MAGED2	5341.3577
MAGED4B	74.3814	MAGED4B	405.7535
MAGED4	22.4514	MAGED4	230.26
MAGEE1	85.3507	MAGEE1	170.4381
MAGEF1	881.064	MAGEF1	911.8922
MAGEH1	195.1966	MAGEH1	822.8214
MAGEL2	17.2232	MAGEL2	10.5922
removed	removed	MAGI1	645.1613
MAGI2	62.3864	MAGI2	197.4001
MAGI3	1635.0588	MAGI3	363.5051
MAGIX	55.1143	MAGIX	70.7752
MAGOHB	263.3241	MAGOHB	183.9191
MAGOH	441.6802	MAGOH	591.2374
MAGT1	2310.5923	MAGT1	1469.9085
MAG	42.8667	removed	removed
MAK16	249.1781	MAK16	339.5859
MAK	57.4108	removed	removed
MAL2	3218.448	MAL2	987.0005
MALAT1	1955.698	MALAT1	2219.3934
MALL	164.1948	MALL	1393.3558
MALT1	391.9242	MALT1	366.3938
MAL	38.6566	MAL	51.0351
MAMDC2	19.5197	MAMDC2	956.5479
MAMDC4	83.437	MAMDC4	41.8873
MAML1	1538.781	MAML1	1118.2138
MAML2	100.2775	MAML2	348.5797
MAML3	355.1813	MAML3	310.5441
MAMLD1	34.4465	MAMLD1	153.5869
MAMSTR	58.1763	MAMSTR	52.4795
MAN1A1	1041.0487	MAN1A1	850.2648
MAN1A2	560.7119	MAN1A2	244.1021
MAN1B1	1568.8451	MAN1B1	2465.0939
MAN1C1	373.9355	MAN1C1	536.3505
MAN2A1	651.8037	MAN2A1	128.5508
MAN2A2	812.5538	MAN2A2	1425.6139
MAN2B1	2271.9357	MAN2B1	3304.7665
MAN2B2	1946.9907	MAN2B2	1609.533
MAN2C1	775.8109	MAN2C1	1348.0982
MANBAL	1024.5909	MANBAL	1700.0481
MANBA	1246.962	MANBA	792.9706
MANEAL	55.8798	MANEAL	161.2903
MANEA	740.9817	MANEA	153.5869
MANF	1086.5946	MANF	1130.4766
MANSC1	1904.124	MANSC1	887.3375
MAOA	120.5626	MAOA	2075.1083
MAOB	793.4169	MAOB	4202.2147
MAP1A	370.8736	MAP1A	1324.988
MAP1B	521.6726	MAP1B	1803.0814
MAP1D	41.7185	MAP1D	50.5537
MAP1LC3A	97.2156	MAP1LC3A	847.376
MAP1LC3B2	113.6733	MAP1LC3B2	233.9913
MAP1LC3B	936.5611	MAP1LC3B	2369.2826
removed	removed	MAP1LC3C	63.0717
MAP1S	945.3641	MAP1S	1236.8801
MAP2K1	791.84	MAP2K1	1051.637
MAP2K2	1437.9485	MAP2K2	3385.1709
MAP2K3	877.6194	MAP2K3	1585.4598
MAP2K4	1431.8247	MAP2K4	616.2735
MAP2K5	275.189	MAP2K5	496.389
MAP2K6	135.1067	MAP2K6	95.8113
MAP2K7	564.1565	MAP2K7	1234.9543
MAP2	24.4953	MAP2	344.2465
MAP3K10	154.2436	MAP3K10	318.2475
MAP3K11	1487.7045	MAP3K11	3855.5609
MAP3K12	254.7546	MAP3K12	271.2422
MAP3K13	47.2491	MAP3K13	18.8012
MAP3K14	550.7607	MAP3K14	773.2306
removed	removed	MAP3K15	5.2768
MAP3K1	2500.0478	MAP3K1	792.9706
MAP3K2	601.6649	MAP3K2	140.5874
MAP3K3	625.0694	MAP3K3	1785.0169
MAP3K4	554.5881	MAP3K4	779.4896
MAP3K5	166.1085	MAP3K5	480.9822
MAP3K6	1221.3185	MAP3K6	1773.7121
MAP3K7	605.875	MAP3K7	377.4675
MAP3K8	75.3995	MAP3K8	460.2792
MAP3K9	139.6996	MAP3K9	23.1103
MAP4K1	232.705	MAP4K1	123.7362
MAP4K2	401.4927	MAP4K2	375.5416
MAP4K3	846.2348	MAP4K3	440.0578
MAP4K4	1021.1463	MAP4K4	2201.7333
MAP4K5	1027.2701	MAP4K5	725.0843
MAP4	5203.3298	MAP4	9394.3187
MAP6D1	53.5834	MAP6D1	49.5908
MAP6	15.6923	MAP6	179.1045
MAP7D1	1426.8491	MAP7D1	4483.871
removed	removed	MAP7D2	15.4068
MAP7D3	68.1275	MAP7D3	356.2831
MAP7	1780.8822	MAP7	400.5778
MAP9	354.0331	MAP9	97.7371
MAPK10	6.1238	MAPK10	267.6938
MAPK11	233.4705	MAPK11	899.3741
MAPK12	117.2826	MAPK12	207.636
MAPK13	1392.4026	MAPK13	412.6143
MAPK14	989.7617	MAPK14	1454.5017
MAPK15	81.5233	MAPK15	44.7761
MAPK1IP1L	2199.2154	MAPK1IP1L	1494.4632
MAPK1	2868.2423	MAPK1	2269.6196
MAPK3	3794.4694	MAPK3	3225.1902
removed	removed	MAPK4	70.7752
MAPK6	1240.4555	MAPK6	467.5012
MAPK7	328.6346	MAPK7	551.7573
MAPK8IP1	196.7276	MAPK8IP1	473.7602
MAPK8IP2	404.5546	MAPK8IP2	195.4742
MAPK8IP3	1120.6583	MAPK8IP3	766.9716
MAPK8	264.0896	MAPK8	120.8474
MAPK9	1307.4347	MAPK9	749.1574
MAPKAP1	1569.9933	MAPKAP1	1817.5253
MAPKAPK2	8529.7101	MAPKAPK2	3310.0626
MAPKAPK3	938.092	MAPKAPK3	848.339
MAPKAPK5	530.4296	MAPKAPK5	382.5132
MAPKBP1	435.9391	MAPKBP1	856.5238
MAPKSP1	600.5167	MAPKSP1	763.1199
MAPRE1	2455.2674	MAPRE1	2279.7304
MAPRE2	344.8474	MAPRE2	714.4921
MAPRE3	133.5757	MAPRE3	681.2711
MAPT	3606.5448	MAPT	410.207
MARCH10	17.3648	removed	removed
MARCH1	82.6715	MARCH1	27.4434
MARCH2	650.6554	MARCH2	1468.4641
MARCH3	219.3092	MARCH3	163.2162
MARCH4	10.7167	removed	removed
MARCH5	966.4147	MARCH5	727.0101
MARCH6	1572.6725	MARCH6	783.3414
MARCH7	1414.6015	MARCH7	993.741
MARCH8	233.0877	MARCH8	141.5503
MARCH9	478.8059	MARCH9	499.2778
MARCKSL1	6242.8476	MARCKSL1	3997.1112
MARCKS	1680.6047	MARCKS	4360.6163
MARCO	15.6923	MARCO	1099.663
MARK1	18.7542	MARK1	268.6567
MARK2	1599.8469	MARK2	1634.5691
MARK3	1731.8917	MARK3	1116.5142
MARK4	541.575	MARK4	920.5585
MARS2	174.146	MARS2	87.1449
MARS	1580.775	MARS	1169.3548
MARVELD1	543.2054	MARVELD1	1577.6793
MARVELD2	485.6951	MARVELD2	146.3649
MARVELD3	367.5285	MARVELD3	206.4275
MASP1	11.8649	MASP1	270.1011
MASP2	14.9268	MASP2	6.7405
MAST1	12.6304	MAST1	22.1473
MAST2	1922.4955	MAST2	1221.4733
MAST3	439.3838	MAST3	480.9822
MAST4	700.4114	MAST4	288.8782
MASTL	443.2112	MASTL	172.8455
removed	removed	MAT1A	12.5181
MAT2A	5472.7777	MAT2A	3042.3688
MAT2B	1295.5698	MAT2B	1424.1695
MATK	52.0524	MATK	201.7333
MATN2	461.5826	MATN2	3469.9085
MATN3	771.2181	MATN3	53.9239
removed	removed	MATN4	69.8122
MATR3	8159.2192	MATR3	4120.8474
MAVS	2605.3009	MAVS	2790.0818
MAX	2286.097	MAX	1844.4872
removed	removed	MAZ	4548.5893
removed	removed	MBD1	1134.8098
MBD2	1538.6087	MBD2	1671.1603
MBD3	1521.0028	MBD3	3581.6081
MBD4	835.5181	MBD4	637.4579
MBD5	150.799	MBD5	200.2889
MBD6	2198.8326	MBD6	1601.3481
MBIP	376.6147	MBIP	297.5445
removed	removed	MBL1P	8.6663
MBLAC1	35.9774	MBLAC1	51.0351
MBLAC2	125.5382	MBLAC2	154.0684
MBNL1	2224.2006	MBNL1	3454.6365
MBNL2	1152.4256	MBNL2	1656.7164
MBNL3	14.1613	MBNL3	11.0737
MBOAT1	1171.1798	MBOAT1	489.6485
MBOAT2	688.1638	MBOAT2	190.1781
MBOAT7	2935.6042	MBOAT7	1428.9841
MBP	364.7498	MBP	1019.2585
MBTD1	498.7083	MBTD1	334.1358
MBTPS1	2599.5599	MBTPS1	3428.5026
MBTPS2	685.3698	MBTPS2	261.4348
MB	666.3477	MB	158.4015
MC1R	145.8157	MC1R	129.4271
MCAM	1416.1324	MCAM	8375.0602
MCART1	195.1966	MCART1	188.7338
removed	removed	MCART2	12.0366
MCART6	15.6923	MCART6	10.1107
MCAT	305.8081	MCAT	414.5402
MCCC1	384.2694	MCCC1	437.6505
MCCC2	3122.7634	MCCC2	1145.402
MCC	838.1973	MCC	685.6042
MCEE	153.4781	MCEE	137.6986
removed	removed	MCF2L2	5.2961
MCF2L	1597.627	MCF2L	1584.4969
MCFD2	1875.0359	MCFD2	2158.4015
MCHR1	24.878	MCHR1	9.2056
MCL1	7829.6814	MCL1	9070.7752
MCM10	368.5772	MCM10	25.0361
MCM2	1901.0621	MCM2	425.1324
MCM3APAS	7.7466	MCM3APAS	10.3467
MCM3AP	2938.1916	MCM3AP	1827.8816
MCM3	4345.9956	MCM3	1958.1127
MCM4	1645.01	MCM4	409.7256
MCM5	1914.4579	MCM5	1083.2932
MCM6	2222.5624	MCM6	704.3813
MCM7	3803.5403	MCM7	2103.0284
MCM8	465.7927	MCM8	83.7747
MCM9	76.165	MCM9	29.8507
MCOLN1	378.9111	MCOLN1	789.6004
MCOLN2	92.6227	MCOLN2	27.4434
MCOLN3	30.6191	MCOLN3	96.2927
MCPH1	238.4461	MCPH1	328.156
MCRS1	984.7861	MCRS1	1175.7342
MCTP1	68.1275	MCTP1	245.065
MCTP2	22.1988	MCTP2	141.5503
MCTS1	662.1376	MCTS1	840.6355
MDC1	1328.8681	MDC1	669.7159
MDFIC	657.162	MDFIC	921.5214
MDFI	290.4985	MDFI	719.3067
MDGA1	91.4745	MDGA1	195.4742
MDH1B	30.6191	MDH1B	15.8883
MDH1	2385.2263	MDH1	3329.8026
MDH2	3167.161	MDH2	3119.403
MDK	2296.0482	MDK	3071.2566
MDM1	372.7873	MDM1	145.402
MDM2	1479.667	MDM2	1003.8517
MDM4	1543.2016	MDM4	688.9745
MDN1	835.5181	MDN1	569.09
MDP1	242.0706	MDP1	304.6558
ME1	55.1143	ME1	361.0977
ME2	548.0815	ME2	431.8729
ME3	29.0881	ME3	443.428
MEA1	1217.8586	MEA1	1677.9008
MEAF6	2131.8534	MEAF6	1310.0626
MECOM	133.9585	MECOM	571.4974
MECP2	1224.3804	MECP2	1589.3115
MECR	379.2938	MECR	644.6798
MED10	333.748	MED10	523.351
MED11	345.9956	MED11	376.0231
MED12L	52.0524	removed	removed
MED12	1552.0046	MED12	1229.1767
MED13L	2857.1429	MED13L	1437.6505
MED13	1394.6991	MED13	902.2629
MED14	1121.8065	MED14	590.7559
MED15	1942.3979	MED15	2579.2008
MED16	1339.9675	MED16	1761.194
MED17	344.4646	MED17	527.2027
MED18	360.1569	MED18	318.7289
MED19	213.5681	MED19	343.765
MED1	1414.2187	MED1	809.8219
MED20	540.4268	MED20	408.7626
MED21	543.1059	MED21	428.5026
MED22	600.5167	MED22	1203.1777
MED23	1047.5553	MED23	427.0583
MED24	1961.152	MED24	1690.4189
MED25	1203.7126	MED25	1079.0467
MED26	287.4366	MED26	279.2489
MED27	224.6675	MED27	373.1343
MED28	545.0196	MED28	453.5388
MED29	1708.5446	MED29	1624.9398
MED30	122.0936	MED30	201.7333
MED31	137.6481	MED31	129.2248
MED4	1047.5553	MED4	1102.0703
MED6	624.2465	MED6	357.7275
MED7	184.48	MED7	218.5845
MED8	657.5447	MED8	691.3818
MED9	396.5171	MED9	515.1661
MEF2A	640.7004	MEF2A	1166.9571
MEF2B	12.5347	MEF2B	57.0679
MEF2C	384.2694	MEF2C	1087.6264
MEF2D	1684.0494	MEF2D	1844.0058
removed	removed	MEFV	19.74
MEG3	32.5328	MEG3	289.3597
removed	removed	MEGF10	28.4064
removed	removed	MEGF11	7.7034
MEGF6	708.8317	MEGF6	1552.7203
MEGF8	831.6907	MEGF8	1651.4203
MEGF9	1615.1564	MEGF9	835.8209
MEI1	79.9923	MEI1	59.7015
MEIS1	67.362	MEIS1	447.7612
MEIS2	52.4352	MEIS2	411.17
MEIS3P1	551.1434	MEIS3P1	507.4627
MEIS3	1010.4296	MEIS3	495.4261
MELK	407.6165	MELK	17.8142
MEMO1	379.8603	MEMO1	244.3235
MEN1	1275.6674	MEN1	1016.3698
MEOX1	84.2025	MEOX1	1907.0775
MEOX2	60.8554	MEOX2	1142.5132
MEPCE	1607.1189	MEPCE	1909.0034
MERTK	154.2436	MERTK	254.2128
MESDC1	626.9257	MESDC1	905.6331
MESDC2	1650.3684	MESDC2	1211.844
MESP1	6.1238	MESP1	219.066
MESP2	19.9024	MESP2	29.3693
removed	removed	MESTIT1	14.4439
MEST	447.804	MEST	2545.9798
METAP1	492.9672	METAP1	1031.7766
METAP2	1328.8681	METAP2	1298.026
METRNL	228.1121	METRNL	1670.1974
METRN	1721.175	METRN	539.2393
METT10D	690.4602	METT10D	694.752
METT11D1	982.107	METT11D1	585.4598
METT5D1	404.9373	METT5D1	195.4742
METTL10	233.2753	METTL10	212.4121
METTL11A	343.8944	METTL11A	431.04
METTL12	27.1897	METTL12	81.0737
METTL13	1027.2701	METTL13	875.3009
METTL14	187.1591	METTL14	245.5465
METTL1	346.7611	METTL1	321.6177
METTL2A	410.6784	METTL2A	232.5469
METTL2B	293.5604	METTL2B	125.662
METTL3	1046.8395	METTL3	599.3115
METTL4	298.536	METTL4	162.2532
METTL5	417.6672	METTL5	579.6437
METTL6	344.0819	METTL6	189.2152
METTL7A	1033.7767	METTL7A	4069.3308
removed	removed	METTL7B	17.3327
METTL8	476.1267	METTL8	243.1391
METTL9	2280.3559	METTL9	1727.4916
MET	396.5171	MET	1571.4974
MEX3A	501.3874	MEX3A	291.767
MEX3B	44.0149	MEX3B	119.8844
MEX3C	1004.3058	MEX3C	875.7824
MEX3D	498.7083	MEX3D	462.6866
MFAP1	1150.5119	MFAP1	913.3365
MFAP2	518.2279	MFAP2	455.4646
MFAP3L	51.6697	MFAP3L	114.5883
MFAP3	1467.8021	MFAP3	909.0034
MFAP4	1127.5476	MFAP4	13321.6177
MFAP5	497.9428	MFAP5	5073.6639
MFF	864.2235	MFF	1041.4059
MFGE8	922.3998	MFGE8	10494.4632
MFHAS1	152.7127	MFHAS1	119.8844
MFI2	129.7483	MFI2	461.7236
MFN1	564.1565	MFN1	332.6914
MFN2	2802.0285	MFN2	2660.0867
MFNG	225.433	MFNG	1472.1425
MFRP	448.5695	MFRP	2009.6293
MFSD10	1149.7464	MFSD10	2116.0327
MFSD11	509.4747	MFSD11	485.4598
MFSD1	1641.5654	MFSD1	1598.4593
MFSD2A	268.6824	MFSD2A	31.2951
MFSD2B	14.9268	MFSD2B	16.8512
MFSD3	241.1253	MFSD3	270.5826
MFSD4	45.1631	MFSD4	153.1054
MFSD5	1093.8666	MFSD5	1078.4786
removed	removed	MFSD6L	16.8512
MFSD6	1110.7071	MFSD6	1099.663
MFSD7	750.5846	MFSD7	353.8084
MFSD8	291.264	MFSD8	220.5104
MFSD9	103.7221	MFSD9	90.5152
removed	removed	MGAM	10.5922
MGAT1	2244.3785	MGAT1	6377.4675
MGAT2	920.8688	MGAT2	612.9032
MGAT3	74.2513	MGAT3	636.9764
MGAT4A	1315.8549	MGAT4A	804.5258
MGAT4B	1426.0836	MGAT4B	1833.4136
removed	removed	MGAT5B	27.9249
MGAT5	166.1085	MGAT5	33.7025
MGA	999.3302	MGA	611.4588
MGC12982	70.4239	MGC12982	62.5903
MGC14436	7.6548	removed	removed
MGC16121	8.803	MGC16121	6.259
MGC16142	12.2476	MGC16142	14.9254
MGC16275	16.075	MGC16275	71.7381
MGC21881	73.1031	MGC21881	147.8093
MGC23270	27.1744	MGC23270	30.3322
MGC23284	17.606	MGC23284	41.4059
MGC2752	662.9031	MGC2752	687.0486
MGC29506	288.5848	MGC29506	142.9947
MGC3771	25.4483	MGC3771	14.2128
MGC42105	5.7411	MGC42105	10.1107
removed	removed	MGC45800	28.8878
MGC57346	81.1406	MGC57346	148.7723
MGC70857	247.6318	MGC70857	567.1642
MGC72080	82.4648	MGC72080	89.1045
MGC87042	7.272	MGC87042	37.0727
MGEA5	3175.1985	MGEA5	2842.5614
MGLL	402.2582	MGLL	8655.7535
MGMT	459.2862	MGMT	1084.7376
MGP	14827.672	MGP	107744.3428
MGRN1	2539.4699	MGRN1	1190.1781
MGST1	3314.5154	MGST1	5746.2687
MGST2	1209.0709	MGST2	1373.1343
MGST3	1117.9791	MGST3	3045.739
MIA3	3627.9782	MIA3	1321.6177
MIAT	227.1859	MIAT	51.377
removed	removed	MIA	749.4704
MIB1	1929.002	MIB1	647.0871
MIB2	305.4253	MIB2	725.0843
MICAL1	884.1259	MICAL1	836.9234
MICAL2	1986.7955	MICAL2	682.7155
MICAL3	513.2523	MICAL3	1465.0939
MICALCL	30.6191	MICALCL	10.5922
MICALL1	491.0535	MICALL1	1270.5826
MICALL2	699.646	MICALL2	551.7573
MICA	298.9188	MICA	408.7626
MICB	282.8437	MICB	123.7362
MID1IP1	644.5316	MID1IP1	972.0751
MID1	59.3245	MID1	668.753
MID2	448.5695	MID2	482.4266
MIDN	2680.3177	MIDN	2768.416
MIER1	1007.3677	MIER1	738.0838
MIER2	340.2545	MIER2	927.7805
MIER3	573.3423	MIER3	313.4328
MIF4GD	448.336	MIF4GD	633.3751
MIF	4052.7107	MIF	5944.001
MIIP	313.0801	MIIP	570.053
MINA	131.9453	MINA	611.921
MINK1	1838.7676	MINK1	2178.9504
MINPP1	215.099	MINPP1	334.1358
MIOS	790.355	MIOS	375.0602
MIPEP	668.6441	MIPEP	349.5426
MIPOL1	352.8849	MIPOL1	40.9244
MIR155HG	31.3846	MIR155HG	5.7776
MIR17HG	9.9512	MIR17HG	40.4429
MIS12	497.1773	MIS12	296.1001
MITD1	280.5473	MITD1	194.9928
MITF	128.9829	MITF	591.2374
MKI67IP	623.8637	MKI67IP	664.3958
MKI67	2825.7583	MKI67	207.5108
MKKS	951.8706	MKKS	919.5956
MKL1	1081.2362	MKL1	1963.4088
MKL2	3398.3351	MKL2	1801.637
MKLN1	1214.0465	MKLN1	1061.1459
MKNK1	672.8543	MKNK1	646.6201
MKNK2	6193.857	MKNK2	4636.4949
MKRN1	3185.1497	MKRN1	2645.6428
MKRN2	544.2541	MKRN2	492.5373
MKRN3	53.9661	removed	removed
MKS1	437.4701	MKS1	311.9884
removed	removed	MKX	20.7029
removed	removed	MLC1	25.999
MLEC	6290.3071	MLEC	4162.2532
MLF1IP	1284.0991	MLF1IP	131.6948
MLF1	564.1565	MLF1	216.1772
MLF2	3840.398	MLF2	3868.079
MLH1	1057.8892	MLH1	570.5344
MLH3	508.6595	MLH3	352.9129
MLKL	166.1085	MLKL	300.9148
MLL2	2030.2517	MLL2	1576.1868
MLL3	1887.6663	MLL3	1364.9494
MLL4	1203.3298	MLL4	1219.5474
MLL5	1821.9615	MLL5	1096.3168
MLLT10	478.4231	MLLT10	447.2797
MLLT11	97.5983	MLLT11	42.8503
MLLT1	1858.1954	MLLT1	2108.8108
MLLT3	458.9035	MLLT3	250.8426
MLLT4	1676.0119	MLLT4	1814.6365
MLLT6	3503.9709	MLLT6	4714.4921
MLL	1272.9882	MLL	1517.092
MLPH	10270.7875	MLPH	1732.3062
MLST8	1645.4693	MLST8	1017.7323
MLXIPL	151.5644	MLXIPL	389.9856
MLXIP	548.0815	MLXIP	727.0101
MLX	928.1217	MLX	1139.1526
MLYCD	117.118	MLYCD	491.5744
MMAA	250.311	MMAA	198.363
MMAB	335.2789	MMAB	626.8657
MMACHC	146.2061	MMACHC	125.1805
MMADHC	1400.8229	MMADHC	1287.9153
MMD	303.1289	MMD	1203.6591
MMEL1	62.5586	MMEL1	16.0713
MME	151.1817	MME	3250.3611
MMGT1	500.2392	MMGT1	771.7862
MMP11	10101.6171	MMP11	205.1035
MMP12	5.7411	MMP12	16.3698
MMP13	640.7042	removed	removed
MMP14	8491.0535	MMP14	6968.2234
MMP15	570.6631	MMP15	1607.6071
MMP16	43.6322	MMP16	29.8507
MMP17	186.3936	MMP17	196.4372
MMP19	264.4723	MMP19	1074.6269
MMP1	441.2975	MMP1	6.259
MMP23B	34.4465	MMP23B	589.3115
MMP24	150.799	MMP24	740.0096
MMP25	51.6812	MMP25	69.7111
removed	removed	MMP27	13.481
MMP28	45.1631	MMP28	956.6683
MMP2	8189.8383	MMP2	20147.3279
MMP3	579.0833	MMP3	185.845
MMP7	402.6409	MMP7	6479.5378
MMP9	1738.3982	MMP9	988.4449
MMRN1	45.1631	MMRN1	469.9085
MMRN2	446.2731	MMRN2	5755.4165
MMS19	1128.6958	MMS19	1225.325
MN1	253.7556	MN1	389.5041
MNAT1	503.6839	MNAT1	181.5118
MND1	32.9155	MND1	20.7029
MNDA	159.9847	MNDA	132.884
MNS1	138.5513	MNS1	62.5903
MNT	691.6085	MNT	704.8628
MOAP1	1248.8757	MOAP1	646.1242
MOB2	421.7778	MOB2	1412.6143
MOBKL1A	713.8073	MOBKL1A	471.8344
MOBKL1B	704.6216	MOBKL1B	266.2494
MOBKL2A	1447.517	MOBKL2A	1730.8618
MOBKL2B	65.4483	MOBKL2B	480.0193
MOBKL2C	377.7629	MOBKL2C	966.2831
MOBKL3	717.6347	MOBKL3	689.9374
MOCOS	248.78	MOCOS	129.9952
MOCS1	164.3441	MOCS1	1241.0063
MOCS2	735.2406	MOCS2	737.6023
MOCS3	237.2979	MOCS3	170.9196
MOGAT2	24.1125	MOGAT2	8.6663
MOGS	1581.0927	MOGS	1495.4261
MON1A	197.4931	MON1A	339.9133
MON1B	474.9785	MON1B	437.169
MON2	1001.2439	MON2	559.4608
MORC2	959.5254	MORC2	987.0005
MORC3	768.5389	MORC3	476.1675
MORC4	271.3616	MORC4	522.8695
MORF4L1	3481.3893	MORF4L1	4598.9408
MORF4L2	4308.87	MORF4L2	2918.1512
removed	removed	MORF4	7.7034
MORN1	230.0258	MORN1	87.1449
MORN2	301.5979	MORN2	202.6962
MORN3	16.4578	MORN3	5.2961
MORN4	169.5532	MORN4	216.6586
MOSC1	104.8703	MOSC1	1041.8873
MOSC2	314.9938	MOSC2	271.5455
MOSPD1	166.874	MOSPD1	180.0674
MOSPD2	292.0295	MOSPD2	124.2176
MOSPD3	355.1813	MOSPD3	499.7593
MOV10	1441.7759	MOV10	890.7078
MOXD1	148.8853	MOXD1	300.9148
MPDU1	1951.9701	MPDU1	1319.2152
MPDZ	562.2428	MPDZ	762.157
MPEG1	762.0323	MPEG1	1481.4636
MPG	1647.6892	MPG	1346.1724
MPHOSPH10	799.5407	MPHOSPH10	736.6394
MPHOSPH6	252.2247	MPHOSPH6	270.5826
MPHOSPH8	862.6926	MPHOSPH8	649.9759
MPHOSPH9	230.7913	MPHOSPH9	43.8132
MPI	810.6401	MPI	689.4559
removed	removed	MPL	26.4805
MPND	357.8605	MPND	547.4242
removed	removed	MPO	12.5181
MPP1	239.977	MPP1	675.012
MPP2	222.7538	MPP2	244.5835
MPP3	162.2811	MPP3	105.922
MPP5	1277.9638	MPP5	460.7607
MPP6	10.3339	MPP6	29.8507
MPP7	495.6463	MPP7	182.9562
MPPE1	743.2782	MPPE1	651.4203
removed	removed	MPPED1	23.1103
MPPED2	9.5685	MPPED2	78.4786
MPRIP	1290.2115	MPRIP	3002.8888
MPST	605.875	MPST	1284.545
MPV17L2	322.2658	MPV17L2	363.0236
MPV17L	281.6955	MPV17L	60.183
MPV17	886.4224	MPV17	1003.3702
MPZL1	3512.7739	MPZL1	6081.3674
MPZL2	420.2469	MPZL2	967.7419
MPZL3	16.075	MPZL3	7.222
MPZ	7.6548	MPZ	261.4348
MR1	422.1606	MR1	137.6986
removed	removed	MRAP2	131.4396
removed	removed	MRAP	477.376
MRAS	240.3598	MRAS	2328.8397
MRC1	151.5644	MRC1	770.8233
MRC2	2327.8155	MRC2	6920.077
MRE11A	336.4271	MRE11A	337.506
MREG	1101.8582	MREG	255.5753
MRFAP1L1	1908.3341	MRFAP1L1	1717.3808
MRFAP1	6594.2015	MRFAP1	8352.9129
removed	removed	MRGPRE	7.222
MRGPRF	58.559	MRGPRF	1651.4203
removed	removed	MRGPRX3	38.5171
MRI1	423.3088	MRI1	252.287
MRM1	102.1912	MRM1	163.2162
MRO	35.5947	MRO	26.962
MRP63	723.1576	MRP63	896.4853
MRPL10	856.9515	MRPL10	1361.0977
MRPL11	1893.0246	MRPL11	925.8546
MRPL12	641.8525	MRPL12	1128.0693
MRPL13	505.2148	MRPL13	418.3919
MRPL14	814.8503	MRPL14	729.8989
MRPL15	672.0888	MRPL15	669.7159
MRPL16	486.4606	MRPL16	847.8575
MRPL17	1256.5305	MRPL17	1099.1815
MRPL18	909.0039	MRPL18	1000
MRPL19	1287.1496	MRPL19	704.3813
MRPL1	146.5888	MRPL1	358.209
MRPL20	1225.7392	MRPL20	1552.1762
MRPL21	1020.7636	MRPL21	590.7559
MRPL22	436.3219	MRPL22	406.8368
MRPL23	510.5732	MRPL23	796.8223
MRPL24	1870.0603	MRPL24	1300.9148
MRPL27	831.308	MRPL27	999.0371
MRPL28	1499.5694	MRPL28	1675.4935
MRPL2	442.063	MRPL2	737.6023
MRPL30	845.9171	MRPL30	611.8199
MRPL32	714.5728	MRPL32	759.2682
MRPL33	339.8718	MRPL33	492.5373
MRPL34	581.7625	MRPL34	1029.8507
MRPL35	1000.8612	MRPL35	549.8315
MRPL36	261.7931	MRPL36	381.3192
MRPL37	1360.6353	MRPL37	1378.9119
MRPL38	965.3736	MRPL38	1223.6254
MRPL39	322.6486	MRPL39	329.3211
MRPL3	1639.6517	MRPL3	906.1146
MRPL40	826.7151	MRPL40	771.7862
MRPL41	592.4792	MRPL41	972.5566
MRPL42P5	7.0271	MRPL42P5	10.4381
MRPL42	710.7454	MRPL42	344.728
MRPL43	908.2614	MRPL43	1452.3447
MRPL44	564.5393	MRPL44	554.1647
MRPL45	769.3044	MRPL45	954.7424
MRPL46	369.3426	MRPL46	406.3553
MRPL47	604.7268	MRPL47	499.2778
MRPL48	220.8401	MRPL48	334.1358
MRPL49	1493.8283	MRPL49	1230.6211
MRPL4	681.6573	MRPL4	1173.8084
MRPL50	390.776	MRPL50	307.6553
MRPL51	1436.8003	MRPL51	1977.8527
MRPL52	897.9045	MRPL52	762.6384
MRPL53	457.2347	MRPL53	795.7583
MRPL54	475.7439	MRPL54	911.8922
MRPL55	875.7057	MRPL55	896.0039
MRPL9	1277.8758	MRPL9	1098.5315
MRPS10	1004.3058	MRPS10	766.0087
MRPS11	585.5899	MRPS11	713.5291
MRPS12	464.2618	MRPS12	662.8551
MRPS14	486.4606	MRPS14	346.6538
MRPS15	1167.7351	MRPS15	1172.8455
MRPS16	1991.0363	MRPS16	1552.7829
MRPS17	192.506	MRPS17	236.8801
MRPS18A	688.9293	MRPS18A	997.5927
MRPS18B	1855.899	MRPS18B	1689.9374
MRPS18C	145.0311	MRPS18C	376.0616
MRPS21	1477.3706	MRPS21	1445.3539
MRPS22	459.6689	MRPS22	440.0578
MRPS23	533.1547	MRPS23	514.2032
MRPS24	663.6685	MRPS24	1568.6086
MRPS25	549.3446	MRPS25	896.5768
MRPS26	776.5764	MRPS26	1133.8469
MRPS27	1272.6055	MRPS27	1411.6514
MRPS28	272.9844	MRPS28	313.6688
MRPS2	663.6188	MRPS2	1148.0886
MRPS30	303.5116	MRPS30	308.6182
MRPS31	288.5848	MRPS31	321.1363
MRPS33	620.0364	MRPS33	548.3871
MRPS34	2070.6153	MRPS34	1441.0207
MRPS35	1239.69	MRPS35	788.6375
MRPS36	307.339	MRPS36	338.4689
MRPS5	620.0364	MRPS5	769.8604
MRPS6	236.7544	MRPS6	1087.0823
