gene_id	TCGA-E9-A1N5-01A-11R-A14D-07	gene_id	TCGA-E9-A1N5-11A-41R-A14D-07
ACSM5	36.9706	ACSM5	43.7417
ACSS1	345.0592	ACSS1	929.3421
ACSS2	744.8349	ACSS2	1171.6036
ACSS3	144.4319	ACSS3	213.3247
ACTA1	7.8871	removed	removed
ACTA2	6054.0979	ACTA2	24534.3145
ACTB	85457.3575	ACTB	62082.204
ACTG1	68499.1774	ACTG1	53063.3463
ACTG2	22.6753	ACTG2	5617.1023
ACTL6A	1037.6423	ACTL6A	880.8898
ACTN1	8681.1961	ACTN1	8403.7826
ACTN4	9138.1136	ACTN4	10079.196
ACTR10	888.2809	ACTR10	846.5694
ACTR1A	2799.9088	ACTR1A	1876.1808
ACTR1B	1274.2543	ACTR1B	1521.5369
ACTR2	5969.0309	ACTR2	4878.2047
ACTR3B	211.472	ACTR3B	420.5929
ACTR3C	35.9847	ACTR3C	48.4523
ACTR3	3472.7742	ACTR3	3098.9285
ACTR5	225.2744	ACTR5	179.6773
ACTR6	511.1805	ACTR6	590.8489
ACTR8	569.8406	ACTR8	642.666
ACVR1B	1143.6247	ACVR1B	1228.8042
ACVR1C	29.5765	ACVR1C	145.3569
ACVR1	835.5362	ACVR1	1085.4662
ACVR2A	327.3133	ACVR2A	689.7724
ACVR2B	438.7181	ACVR2B	292.7327
ACVRL1	600.403	ACVRL1	724.7657
ACY1	588.5724	ACY1	1055.1835
removed	removed	ACY3	18.1696
ACYP1	104.0107	ACYP1	88.8292
ACYP2	53.7306	ACYP2	168.9101
ADAL	240.0626	ADAL	209.96
ADAM10	1366.4344	ADAM10	2245.6296
ADAM11	9.8588	ADAM11	22.8803
ADAM12	3574.3202	ADAM12	6397.7227
ADAM15	2776.9969	ADAM15	2788.6992
ADAM17	726.1031	ADAM17	1030.9573
ADAM19	579.6994	ADAM19	275.9089
ADAM21	5.9153	removed	removed
ADAM22	21.6894	ADAM22	75.3702
ADAM23	64.5754	ADAM23	78.062
ADAM28	120.7707	ADAM28	159.4888
removed	removed	ADAM32	88.1563
ADAM33	58.6601	ADAM33	582.0333
ADAM6	658.7426	ADAM6	41412.6807
ADAM8	372.171	ADAM8	133.2438
ADAM9	2444.0049	ADAM9	1897.7152
ADAMDEC1	112.3907	ADAMDEC1	66.6219
ADAMTS10	232.1755	ADAMTS10	165.5454
ADAMTS12	925.2516	ADAMTS12	1351.9538
ADAMTS13	138.5166	ADAMTS13	115.0742
ADAMTS14	228.7249	ADAMTS14	41.7228
ADAMTS15	204.0779	ADAMTS15	436.0707
ADAMTS16	498.857	ADAMTS16	1116.4218
ADAMTS17	117.8131	ADAMTS17	21.5344
ADAMTS18	7.3941	ADAMTS18	256.3934
ADAMTS19	6.4082	ADAMTS19	48.4523
ADAMTS1	498.364	ADAMTS1	2304.8491
ADAMTS2	1517.7675	ADAMTS2	1292.0614
ADAMTS3	21.1965	ADAMTS3	215.3436
ADAMTS4	666.9501	ADAMTS4	300.808
ADAMTS5	390.4098	ADAMTS5	2565.2802
ADAMTS6	91.1942	ADAMTS6	37.0122
ADAMTS7	350.4815	ADAMTS7	271.8713
ADAMTS8	14.2953	ADAMTS8	440.7814
ADAMTS9	227.2461	ADAMTS9	3915.2152
ADAMTSL1	204.5708	ADAMTSL1	539.0319
ADAMTSL2	749.7643	ADAMTSL2	22.2073
ADAMTSL3	131.6154	ADAMTSL3	120.4578
ADAMTSL4	135.066	ADAMTSL4	272.5442
ADAMTSL5	91.6872	ADAMTSL5	44.4146
ADAP1	344.3247	ADAP1	70.2491
ADAP2	363.298	ADAP2	195.1551
ADARB1	475.6887	ADARB1	546.4343
removed	removed	ADARB2	15.4778
ADAR	10782.6066	ADAR	8364.0787
ADAT1	271.1179	ADAT1	370.1218
ADAT2	89.2224	ADAT2	239.5697
ADAT3	26.6189	ADAT3	31.6286
ADA	173.5155	ADA	102.2882
ADCK1	122.7425	ADCK1	164.1995
ADCK2	800.0444	ADCK2	723.4198
ADCK4	739.9055	ADCK4	644.0119
ADCK5	186.8249	ADCK5	113.0554
ADCY1	219.3591	ADCY1	250.3369
ADCY2	106.4754	ADCY2	122.4767
ADCY3	1100.2951	ADCY3	1407.0078
ADCY4	180.4167	ADCY4	176.9855
ADCY5	20.2106	ADCY5	372.1406
ADCY6	2411.4708	ADCY6	2406.4643
ADCY7	1066.2329	ADCY7	687.0806
ADCY9	2032.8915	ADCY9	810.9031
ADCYAP1R1	9.8588	ADCYAP1R1	75.3702
ADCYAP1	8.873	ADCYAP1	17.4967
ADC	417.5216	ADC	100.9423
ADD1	5354.3326	ADD1	4834.463
ADD2	53.2377	ADD2	24.2262
ADD3	1992.4703	ADD3	3536.3451
ADH1A	13.8024	ADH1A	17.7928
ADH1B	1041.5858	ADH1B	1314.2687
ADH1C	9.8588	ADH1C	52.49
ADH5	1860.3619	ADH5	2938.0938
ADHFE1	133.0943	ADHFE1	132.5709
ADI1	867.5774	ADI1	981.1591
ADIPOQ	1178.1306	ADIPOQ	2179.0077
ADIPOR1	2277.8836	ADIPOR1	1888.2939
ADIPOR2	5643.1965	ADIPOR2	1925.3061
ADK	280.9768	ADK	358.0087
ADM2	377.5933	ADM2	145.3569
ADM	90.2083	ADM	209.287
ADNP2	911.9421	ADNP2	804.8466
ADNP	4072.1913	ADNP	3252.3608
ADORA1	875.4644	ADORA1	1562.5867
ADORA2A	703.413	ADORA2A	60.5654
ADORA2B	15.2812	ADORA2B	90.1751
ADORA3	313.018	ADORA3	78.735
ADO	753.2149	ADO	820.3244
ADPGK	976.0245	ADPGK	901.6233
ADPRHL1	129.1507	ADPRHL1	138.6274
ADPRHL2	789.6926	ADPRHL2	632.5717
ADPRH	322.3839	ADPRH	271.1983
removed	removed	ADRA1A	12.786
ADRA1B	6.9012	removed	removed
removed	removed	ADRA1D	16.1508
ADRA2A	601.3889	ADRA2A	309.5564
ADRA2B	14.7883	ADRA2B	30.2827
ADRA2C	13.8024	ADRA2C	14.1319
removed	removed	ADRB1	5.3836
ADRB2	53.7306	ADRB2	82.0997
ADRBK1	3974.0959	ADRBK1	1851.9547
ADRBK2	801.5232	ADRBK2	829.0727
ADRM1	1306.7884	ADRM1	1034.3221
ADSL	794.1291	ADSL	1199.1945
ADSSL1	195.6979	ADSSL1	86.8104
ADSS	902.5762	ADSS	1118.4406
AEBP1	30986.8076	AEBP1	6148.0588
AEBP2	701.949	AEBP2	853.2989
AEN	284.9203	AEN	455.5862
AES	5792.5578	AES	5226.7921
AFAP1L1	363.791	AFAP1L1	374.1594
AFAP1L2	3600.4461	AFAP1L2	986.5427
AFAP1	1700.5848	AFAP1	3015.3887
AFF1	2380.9084	AFF1	2571.3368
removed	removed	AFF2	41.7228
AFF3	3473.2672	AFF3	1810.9048
AFF4	3676.8521	AFF4	4629.2137
AFG3L1	216.4014	AFG3L1	265.8147
AFG3L2	1350.1131	AFG3L2	1716.3219
AFMID	438.7181	AFMID	402.4233
AFTPH	2187.1823	AFTPH	1277.9295
AG2	113.8695	AG2	43.7417
AGAP11	139.0194	AGAP11	57.2276
AGAP1	453.5064	AGAP1	642.666
AGAP2	126.129	AGAP2	134.2465
AGAP3	1640.5099	AGAP3	1442.8019
AGAP4	252.8791	AGAP4	253.7016
AGAP5	87.9162	AGAP5	90.6462
AGAP6	122.2495	AGAP6	113.0554
AGAP7	20.2106	AGAP7	6.7295
AGAP8	49.2942	AGAP8	11.4401
AGA	355.9039	AGA	552.4908
AGBL2	61.1248	AGBL2	8.0754
removed	removed	AGBL3	5.3836
AGBL4	14.7883	removed	removed
AGBL5	749.7742	AGBL5	983.1914
AGER	60.6318	AGER	42.3958
AGFG1	1603.5393	AGFG1	1488.5624
AGFG2	459.9146	AGFG2	467.6993
AGGF1	1077.5705	AGGF1	901.0782
AGK	462.3793	AGK	565.9498
AGL	5486.441	AGL	1211.3076
AGMAT	6.4082	AGMAT	34.3204
AGPAT1	2080.0069	AGPAT1	1668.2801
AGPAT2	923.7727	AGPAT2	572.6793
AGPAT3	2185.7035	AGPAT3	2124.4989
AGPAT4	156.2625	AGPAT4	236.205
AGPAT5	663.9925	AGPAT5	909.1536
AGPAT6	2191.1258	AGPAT6	2406.4643
AGPAT9	35.9847	AGPAT9	107.6718
AGPHD1	49.7871	AGPHD1	54.5088
AGPS	843.4232	AGPS	1148.0504
AGR2	4925.9663	AGR2	1009.423
AGR3	2060.0033	AGR3	240.2427
AGRN	6902.1696	AGRN	7954.9259
AGTPBP1	366.2557	AGTPBP1	462.3157
AGTR1	68.026	AGTR1	191.7904
AGTRAP	908.4915	AGTRAP	513.4598
AGT	307.1027	AGT	76.7161
AGXT2L1	26.1259	removed	removed
AGXT2L2	350.1365	AGXT2L2	369.22
AHCTF1	1231.3683	AHCTF1	1518.1721
AHCYL1	5983.3262	AHCYL1	3875.5112
AHCYL2	915.8857	AHCYL2	762.4508
AHCY	4565.133	AHCY	4741.5961
AHDC1	1095.3164	AHDC1	2405.7914
AHI1	198.1626	AHI1	445.492
AHNAK2	1222.9883	AHNAK2	632.5717
AHNAK	100144.5552	AHNAK	48426.0572
AHRR	42.393	AHRR	29.6097
AHR	2340.9801	AHR	3118.444
AHSA1	1541.9216	AHSA1	1306.8663
AHSA2	469.7734	AHSA2	448.8567
AIDA	1087.4787	AIDA	664.8934
AIF1L	574.2771	AIF1L	4858.0162
AIF1	505.2652	AIF1	270.5254
AIFM1	850.8174	AIFM1	807.5384
AIFM2	484.5617	AIFM2	546.4343
AIFM3	25.14	AIFM3	12.786
AIG1	474.7028	AIG1	590.8489
AIM1L	11.3377	removed	removed
AIM1	906.0268	AIM1	1954.2429
AIM2	25.633	removed	removed
AIMP1	982.8124	AIMP1	915.7081
AIMP2	318.5981	AIMP2	312.975
AIP	1879.5867	AIP	695.1559
AJAP1	7.3941	AJAP1	21.5344
AK1	344.0733	AK1	292.0597
AK2	2125.0716	AK2	1740.9181
AK3L1	181.4025	AK3L1	831.7645
AK3	937.5751	AK3	1453.5691
AK5	62.6036	AK5	405.788
AK7	56.6883	AK7	27.5909
AKAP10	415.0569	AKAP10	628.534
AKAP11	1460.5862	AKAP11	2053.8393
AKAP12	1198.8342	AKAP12	2009.4246
AKAP13	3452.5636	AKAP13	5591.5303
AKAP1	1366.9273	AKAP1	3118.444
AKAP2	674.1717	AKAP2	1071.5698
AKAP3	49.7871	AKAP3	76.0432
AKAP5	197.1767	AKAP5	107.6718
AKAP6	33.0271	AKAP6	333.7825
AKAP7	63.5895	AKAP7	173.6207
AKAP8L	942.5045	AKAP8L	841.8588
AKAP8	737.9337	AKAP8	779.9475
AKAP9	2529.7768	AKAP9	3137.2866
AKD1	148.3754	AKD1	170.929
AKIRIN1	1378.265	AKIRIN1	918.5749
AKIRIN2	356.3968	AKIRIN2	618.4398
AKNA	922.7868	AKNA	610.3644
AKR1A1	2112.2551	AKR1A1	1708.6166
AKR1B1	735.469	AKR1B1	823.6891
AKR1C1	87.2507	AKR1C1	322.3424
AKR1C2	89.7154	AKR1C2	184.3879
AKR1C3	134.5731	AKR1C3	428.6683
removed	removed	AKR1E2	31.6286
AKR7A2	1251.086	AKR7A2	960.9707
AKR7A3	789.1996	AKR7A3	154.7782
AKR7L	116.8272	AKR7L	28.9368
AKT1S1	1095.8094	AKT1S1	835.8022
AKT1	5420.8798	AKT1	3615.7531
AKT2	2824.5559	AKT2	2315.6163
AKT3	626.5289	AKT3	653.4331
AKTIP	452.3627	AKTIP	399.9065
ALAD	1411.2921	ALAD	1543.7442
ALAS1	857.2256	ALAS1	917.9019
ALB	18.7318	ALB	364.0652
ALCAM	6777.4553	ALCAM	3139.9784
ALDH16A1	630.4724	ALDH16A1	568.6416
ALDH18A1	2056.0598	ALDH18A1	2466.3568
ALDH1A1	391.8886	ALDH1A1	694.483
ALDH1A2	23.1683	ALDH1A2	385.5996
ALDH1A3	1011.9896	ALDH1A3	1455.0496
ALDH1B1	1037.1493	ALDH1B1	655.452
ALDH1L1	19.2247	ALDH1L1	98.9235
ALDH1L2	882.3656	ALDH1L2	573.3522
ALDH2	2474.5673	ALDH2	2302.1573
ALDH3A2	1267.846	ALDH3A2	858.6825
ALDH3B1	362.3121	ALDH3B1	153.4323
ALDH3B2	540.757	ALDH3B2	210.6329
ALDH4A1	711.3149	ALDH4A1	725.4386
ALDH5A1	180.9096	ALDH5A1	646.0307
ALDH6A1	594.1673	ALDH6A1	705.9635
ALDH7A1	866.0986	ALDH7A1	4070.6663
ALDH8A1	6.9012	ALDH8A1	12.786
ALDH9A1	1588.7511	ALDH9A1	4181.7029
ALDOA	36838.0255	ALDOA	11436.0892
ALDOB	6.4082	removed	removed
ALDOC	39.4353	ALDOC	649.3954
ALG10B	338.158	ALG10B	332.4366
ALG10	110.4189	ALG10	133.2438
ALG11	23.6612	ALG11	16.1508
ALG12	458.9287	ALG12	510.0951
ALG13	434.7746	ALG13	481.8312
ALG14	152.8119	ALG14	148.7216
ALG1L	66.3795	removed	removed
ALG1	1138.6657	ALG1	494.4086
ALG2	731.0325	ALG2	640.6471
ALG3	614.2053	ALG3	615.0751
ALG5	466.3228	ALG5	501.3467
ALG6	301.1874	ALG6	271.1983
ALG8	466.8158	ALG8	505.3844
ALG9	248.4426	ALG9	538.3589
ALKBH1	349.4957	ALKBH1	223.4189
ALKBH2	258.7944	ALKBH2	448.8567
ALKBH3	300.2015	ALKBH3	332.4366
ALKBH4	253.2291	ALKBH4	244.6976
ALKBH5	1859.6718	ALKBH5	1981.8338
ALKBH6	118.306	ALKBH6	53.8359
ALKBH7	469.7734	ALKBH7	457.6051
ALKBH8	195.6979	ALKBH8	268.5065
removed	removed	ALK	14.1319
ALMS1P	5.4224	removed	removed
ALMS1	1019.4034	ALMS1	893.6758
removed	removed	ALOX12P2	48.4523
removed	removed	ALOX12	6.0565
ALOX15B	1417.7003	ALOX15B	145.3569
ALOX5AP	541.7429	ALOX5AP	217.3624
ALOX5	554.5594	ALOX5	401.7503
ALOXE3	44.8577	removed	removed
ALPK1	344.5662	ALPK1	527.5917
ALPK2	49.7871	ALPK2	16.8237
ALPK3	178.9378	ALPK3	211.3059
ALPL	89.7154	ALPL	1814.2695
ALS2CL	182.3884	ALS2CL	454.2403
ALS2CR12	5.4224	removed	removed
ALS2CR4	394.3534	ALS2CR4	919.2478
ALS2CR8	185.3461	ALS2CR8	290.7138
ALS2	795.1149	ALS2	765.8156
ALX3	10.8447	ALX3	19.5155
removed	removed	ALX4	315.6129
AMACR	547.1653	AMACR	320.3236
AMBP	11.3377	AMBP	34.3204
AMBRA1	1206.2283	AMBRA1	1176.3142
AMD1	858.8129	AMD1	1942.8027
AMDHD1	35.9847	removed	removed
AMDHD2	459.9245	AMDHD2	254.7111
AMFR	2877.3007	AMFR	2485.1993
AMICA1	150.3472	AMICA1	127.1873
AMIGO1	58.1671	AMIGO1	158.1429
AMIGO2	533.8559	AMIGO2	2031.632
AMIGO3	98.5883	AMIGO3	74.6973
AMMECR1L	1044.5434	AMMECR1L	980.4862
AMMECR1	715.2584	AMMECR1	320.3236
AMN1	187.3178	AMN1	137.9545
AMOTL1	739.4125	AMOTL1	2680.3544
AMOTL2	1210.1719	AMOTL2	2329.7482
AMOT	477.1676	AMOT	2014.1353
removed	removed	AMPD1	51.817
AMPD2	844.9021	AMPD2	943.474
AMPD3	283.4415	AMPD3	214.6706
AMPH	123.7284	AMPH	142.6651
AMT	120.5193	AMT	159.0783
removed	removed	AMY1A	7.4024
AMY2B	47.3224	AMY2B	106.3192
AMZ1	56.1954	AMZ1	13.459
AMZ2P1	194.219	AMZ2P1	127.8602
AMZ2	1432.4886	AMZ2	882.2357
ANAPC10	105.9825	ANAPC10	119.7849
ANAPC11	864.1268	ANAPC11	695.1559
ANAPC13	1027.0391	ANAPC13	805.1561
ANAPC16	1719.8736	ANAPC16	1762.4525
ANAPC1	735.469	ANAPC1	1254.3763
ANAPC2	982.9257	ANAPC2	758.4131
ANAPC4	470.7593	ANAPC4	511.441
ANAPC5	2655.9698	ANAPC5	2617.0973
ANAPC7	1029.2623	ANAPC7	1049.1269
ANGEL1	585.1218	ANGEL1	842.5317
ANGEL2	657.0913	ANGEL2	639.3012
ANGPT1	32.5342	ANGPT1	169.5831
ANGPT2	215.4155	ANGPT2	172.9478
ANGPTL1	125.7001	ANGPTL1	364.0652
ANGPTL2	4143.6679	ANGPTL2	1568.6433
ANGPTL4	109.926	ANGPTL4	84.1186
removed	removed	ANGPTL7	10.0942
ANG	353.2913	ANG	134.5965
ANK1	10.3518	ANK1	8.0754
ANK2	424.9157	ANK2	302.1539
ANK3	1044.0505	ANK3	1743.6099
ANKAR	24.1541	ANKAR	48.4523
ANKDD1A	63.5895	ANKDD1A	67.2949
removed	removed	ANKFN1	12.786
ANKFY1	1609.9476	ANKFY1	2334.4588
ANKHD1-EIF4EBP3	757.7943	ANKHD1-EIF4EBP3	1024.9479
ANKHD1	2842.4053	ANKHD1	2693.6788
ANKH	1738.6053	ANKH	1388.966
ANKIB1	2271.9683	ANKIB1	1798.1188
ANKK1	15.7741	ANKK1	29.6097
ANKLE1	6.9012	ANKLE1	34.3204
ANKLE2	1476.8533	ANKLE2	1549.8007
ANKMY1	358.3686	ANKMY1	245.6263
ANKMY2	438.7181	ANKMY2	591.5219
ANKRA2	269.1462	ANKRA2	261.1041
ANKRD10	1197.2716	ANKRD10	1083.0839
ANKRD11	1840.0281	ANKRD11	3198.8075
ANKRD12	1416.7144	ANKRD12	1371.4693
ANKRD13A	1060.8105	ANKRD13A	1668.2397
ANKRD13B	249.4285	ANKRD13B	253.0287
ANKRD13C	656.5983	ANKRD13C	674.2945
ANKRD13D	1353.1249	ANKRD13D	461.6428
ANKRD16	186.5883	ANKRD16	189.7715
ANKRD17	2985.2549	ANKRD17	5506.0658
ANKRD19	68.026	ANKRD19	29.6097
ANKRD20A3	7.8871	ANKRD20A3	8.7483
removed	removed	ANKRD20B	6.0565
ANKRD22	281.4697	ANKRD22	56.5277
ANKRD23	60.6318	ANKRD23	55.1818
ANKRD24	21.1965	ANKRD24	11.4401
ANKRD26	513.1523	ANKRD26	387.6184
ANKRD27	712.3007	ANKRD27	769.1803
ANKRD28	2584.9862	ANKRD28	1434.7265
ANKRD29	94.1519	ANKRD29	115.7472
ANKRD30A	1764.7313	ANKRD30A	486.5419
ANKRD30B	184.8531	ANKRD30B	61.2383
ANKRD31	5.4224	removed	removed
ANKRD32	240.5555	ANKRD32	191.7904
ANKRD34A	31.5483	ANKRD34A	40.3769
removed	removed	ANKRD34B	5.3836
ANKRD35	50.2801	ANKRD35	227.4566
ANKRD36BP1	100.0672	ANKRD36BP1	240.9156
ANKRD36B	29.5765	ANKRD36B	76.0432
ANKRD36	186.332	ANKRD36	205.9223
ANKRD37	74.5131	ANKRD37	48.9974
ANKRD39	101.546	ANKRD39	109.0177
ANKRD40	1344.7449	ANKRD40	1349.262
ANKRD42	196.6837	ANKRD42	167.5642
ANKRD43	13.8024	ANKRD43	8.0754
ANKRD44	109.926	ANKRD44	76.7161
removed	removed	ANKRD45	16.8237
ANKRD46	347.5239	ANKRD46	425.9294
ANKRD49	172.0367	ANKRD49	232.1673
ANKRD50	2752.0935	ANKRD50	1490.5812
ANKRD52	2192.6046	ANKRD52	1936.0732
ANKRD53	9.8588	ANKRD53	17.4967
ANKRD54	438.7181	ANKRD54	336.4743
ANKRD56	82.3213	ANKRD56	44.4146
ANKRD57	691.1043	ANKRD57	890.984
ANKRD58	18.7318	ANKRD58	17.4967
ANKRD5	152.8119	ANKRD5	255.7205
ANKRD6	223.3026	ANKRD6	369.2402
ANKRD9	60.6318	ANKRD9	45.7605
ANKS1A	1127.3576	ANKS1A	1736.2075
ANKS1B	128.6578	ANKS1B	101.6152
ANKS3	665.4713	ANKS3	232.1673
ANKS6	113.3766	ANKS6	234.1861
ANKZF1	539.2782	ANKZF1	610.3644
ANLN	664.9783	ANLN	748.3189
ANO10	747.2996	ANO10	713.3256
ANO1	1892.4032	ANO1	8909.1671
ANO2	15.2812	ANO2	22.2073
removed	removed	ANO3	14.1319
removed	removed	ANO4	13.459
ANO5	51.7589	ANO5	65.949
ANO6	2163.0281	ANO6	2422.6151
ANO7	39.9283	ANO7	23.5532
