gene_id	TCGA-BH-A18J-01A-11R-A12D-07	gene_id	TCGA-BH-A18J-11A-31R-A12D-07
IGJ	96.452	IGJ	8909.9822
IGLON5	7.3387	removed	removed
IGSF10	20.9678	IGSF10	587.344
IGSF1	41.5862	IGSF1	25.4011
IGSF21	298.7915	IGSF21	263.369
removed	removed	IGSF22	9.8841
IGSF3	5475.7468	IGSF3	1477.7184
IGSF5	33.5485	removed	removed
IGSF6	105.1886	IGSF6	101.6043
IGSF8	3439.0723	IGSF8	1041.4439
removed	removed	IGSF9B	56.5954
IGSF9	6231.2873	IGSF9	341.3547
IKBIP	352.2594	IKBIP	240.6417
IKBKAP	1541.4844	IKBKAP	1177.3619
IKBKB	881.6969	IKBKB	1640.82
IKBKE	629.3841	IKBKE	178.6988
IKBKG	459.5448	IKBKG	349.3761
IKZF1	120.565	IKZF1	291.4439
IKZF2	304.3829	IKZF2	298.1283
removed	removed	IKZF3	17.8253
IKZF4	180.3233	IKZF4	266.934
IKZF5	411.3188	IKZF5	718.8057
IK	1969.5774	IK	1873.8859
IL10RA	309.6248	IL10RA	411.7647
IL10RB	768.1212	IL10RB	667.5357
IL10	10.4839	IL10	8.467
IL11RA	212.1245	IL11RA	605.615
IL11	18.5216	IL11	7.5758
removed	removed	IL12A	10.6952
IL12RB1	13.2796	IL12RB1	13.369
IL12RB2	5.242	IL12RB2	8.467
IL13RA1	5556.8224	IL13RA1	3275.8467
IL13RA2	12.2312	removed	removed
removed	removed	IL13	5.7932
IL15RA	180.3233	IL15RA	311.943
IL15	60.1078	IL15	43.2264
IL16	408.1736	IL16	564.1711
removed	removed	IL17B	61.0517
IL17D	7.2269	IL17D	29.4652
IL17RA	249.1676	IL17RA	461.2299
IL17RB	65.3497	IL17RB	299.0196
removed	removed	IL17RC	842.6916
IL17RD	326.7486	IL17RD	1540.9982
IL17RE	715.0027	IL17RE	561.4973
IL18BP	172.9775	IL18BP	247.402
IL18R1	26.5592	IL18R1	81.5508
removed	removed	IL18RAP	6.2389
IL18	188.0115	IL18	72.6381
IL1B	52.0701	IL1B	163.5472
IL1R1	1580.2749	IL1R1	3372.1034
IL1R2	12.9302	IL1R2	7.5758
removed	removed	IL1RAPL2	37.8788
IL1RAP	335.1357	IL1RAP	283.8681
removed	removed	IL1RL1	16.4884
removed	removed	IL1RL2	74.8663
IL1RN	208.6298	IL1RN	213.0125
IL20RA	278.5226	IL20RA	1073.0838
IL20RB	21.3173	IL20RB	25.4011
IL20	9.785	IL20	7.5758
IL21R	107.5405	IL21R	5.41
removed	removed	IL22RA1	54.3672
removed	removed	IL22RA2	37.4332
IL23A	5.242	removed	removed
removed	removed	IL24	6.2121
IL27RA	185.2158	IL27RA	572.6381
IL28RA	37.3926	IL28RA	241.0873
IL2RA	21.3173	IL2RA	16.4884
IL2RB	76.5326	IL2RB	188.5027
IL2RG	117.4198	IL2RG	181.8182
IL32	924.681	IL32	423.3512
IL33	8.7366	IL33	944.7415
IL34	43.3335	IL34	524.0642
IL3RA	124.0596	IL3RA	216.1319
IL4I1	99.4329	IL4I1	24.3806
IL4R	1416.0269	IL4R	1594.4742
IL6R	47.8765	IL6R	410.4278
IL6ST	1434.898	IL6ST	4251.3369
IL6	11.1828	IL6	457.2193
IL7R	12.2312	IL7R	146.6132
IL7	12.2312	IL7	31.1943
IL8	155.8608	IL8	25.4011
ILDR1	197.0975	ILDR1	155.9715
ILF2	2360.6273	ILF2	2804.8128
ILF3	6321.4489	ILF3	4914.4385
ILKAP	478.4158	ILKAP	383.6898
ILK	2916.9735	ILK	2458.5561
ILVBL	2059.7391	ILVBL	891.7112
IMMP1L	131.1013	IMMP1L	61.8717
IMMP2L	85.2691	IMMP2L	185.3832
IMMT	2625.1713	IMMT	1749.1087
IMP3	517.5557	IMP3	860.9626
IMP4	1022.5308	IMP4	479.9465
IMPA1	226.4525	IMPA1	336.4528
IMPA2	324.3023	IMPA2	348.4848
IMPACT	958.5789	IMPACT	1102.0499
IMPAD1	2613.2896	IMPAD1	2377.0053
IMPDH1	2356.0843	IMPDH1	1067.2906
IMPDH2	2574.8486	IMPDH2	4516.0428
INADL	2415.1437	INADL	3265.1515
INCA1	15.7259	INCA1	24.9554
INCENP	551.1043	INCENP	274.0642
INE1	13.6291	INE1	34.7594
INE2	12.2417	INE2	21.6355
INF2	2659.4188	INF2	1931.3725
ING1	882.8467	ING1	344.0107
ING2	166.6942	ING2	136.8093
ING3	238.6837	ING3	315.0624
ING4	604.2227	ING4	610.0713
ING5	395.9424	ING5	590.9091
INHA	8.7366	removed	removed
INHBA	625.1906	INHBA	42.7807
INHBB	567.1796	INHBB	2791.8895
INMT	35.5335	INMT	204.0998
INO80B	220.6304	INO80B	188.3824
INO80C	283.4151	INO80C	180.4813
INO80D	434.4568	INO80D	714.5365
INO80E	583.884	INO80E	611.0517
INO80	644.0616	INO80	1058.3779
INPP1	160.4038	INPP1	462.5668
INPP4A	728.2824	INPP4A	629.6791
INPP4B	510.217	INPP4B	850.713
INPP5A	1380.0322	INPP5A	606.0606
INPP5B	464.7867	INPP5B	555.7041
INPP5D	310.6732	INPP5D	776.738
INPP5E	299.8399	INPP5E	252.2282
INPP5F	798.874	INPP5F	504.902
INPP5J	250.5655	INPP5J	505.7932
INPP5K	635.6745	INPP5K	1077.9857
INPPL1	3493.5887	INPPL1	1822.6381
removed	removed	INSC	6.2389
INSIG1	1300.005	INSIG1	634.5811
INSIG2	698.2285	INSIG2	613.1907
INSM1	10.1344	removed	removed
INSR	2323.9336	INSR	3305.2585
INTS10	655.2444	INTS10	969.2513
INTS12	343.8723	INTS12	471.9251
INTS1	2603.5046	INTS1	2270.9447
INTS2	468.2814	INTS2	285.205
INTS3	1519.1187	INTS3	2619.4296
INTS4L1	58.7099	INTS4L1	23.1729
INTS4L2	11.8818	INTS4L2	23.6185
INTS4	735.4708	INTS4	532.3708
INTS5	1112.343	INTS5	766.4884
INTS6	1028.8211	INTS6	864.5276
INTS7	1055.0309	INTS7	346.7023
INTS8	1269.8637	INTS8	907.754
INTS9	360.996	INTS9	288.7701
INTU	77.5809	INTU	244.2068
INVS	266.9903	INVS	303.0303
IP6K1	945.9982	IP6K1	1573.5294
IP6K2	1140.999	IP6K2	1503.5651
IP6K3	33.898	removed	removed
IPCEF1	12.5807	IPCEF1	31.1943
IPMK	23.0646	IPMK	136.8093
IPO11	601.0776	IPO11	659.5677
IPO13	1225.9187	IPO13	709.893
IPO4	1755.9712	IPO4	1188.3779
IPO5	3573.9653	IPO5	3919.3405
IPO7	4129.9621	IPO7	3812.3886
IPO8	1534.4951	IPO8	1477.2727
IPO9	2461.6223	IPO9	1632.3529
IPPK	533.8897	IPPK	418.7077
IPP	292.5011	IPP	249.1087
IPW	29.9805	IPW	479.7014
IQCA1	282.3667	IQCA1	240.6417
IQCB1	470.3781	IQCB1	533.8681
IQCC	81.7745	IQCC	97.5936
IQCD	38.441	IQCD	28.0749
IQCE	1471.9411	IQCE	897.9501
IQCG	231.345	IQCG	425.1337
IQCH	9.4355	IQCH	36.9875
IQCK	415.8618	IQCK	499.5544
IQGAP1	12551.3384	IQGAP1	9623.8859
IQGAP2	2302.9658	IQGAP2	2027.6292
IQGAP3	205.4847	IQGAP3	61.4973
IQSEC1	1025.3265	IQSEC1	2307.4866
IQSEC2	551.1043	IQSEC2	390.3743
IQSEC3	16.0753	IQSEC3	52.139
IQUB	9.0861	IQUB	25.4011
IRAK1BP1	41.3765	IRAK1BP1	85.4456
IRAK1	2088.0456	IRAK1	1803.4759
IRAK2	60.1078	IRAK2	126.1141
IRAK3	324.6518	IRAK3	533.4225
IRAK4	430.1898	IRAK4	493.7611
IREB2	737.3684	IREB2	1311.4973
IRF1	1249.9932	IRF1	771.3725
IRF2BP1	590.9431	IRF2BP1	497.3262
IRF2BP2	4293.5111	IRF2BP2	5012.0321
IRF2	648.9541	IRF2	793.672
IRF3	1138.413	IRF3	784.9643
IRF4	11.5323	IRF4	194.2959
IRF5	311.0227	IRF5	136.3636
IRF6	2391.7296	IRF6	1835.5615
IRF7	856.5355	IRF7	263.8146
IRF8	168.791	IRF8	349.3761
IRF9	1339.3127	IRF9	666.6667
IRGQ	1392.2634	IRGQ	798.574
IRS1	932.3692	IRS1	2198.7522
IRS2	451.8566	IRS2	2295.4545
removed	removed	IRS4	8.9127
IRX1	57.6615	IRX1	779.4118
IRX2	3281.1147	IRX2	1126.1141
IRX3	1159.1711	IRX3	1003.5651
IRX4	84.2208	IRX4	54.3672
IRX5	872.6109	IRX5	373.4403
IRX6	5.242	IRX6	156.4171
ISCA1P1	67.4465	ISCA1P1	58.3779
ISCA1	744.3577	ISCA1	768.2709
ISCA2	343.1734	ISCA2	211.2299
ISCU	1237.8004	ISCU	1383.6898
ISG15	1974.8194	ISG15	190.7308
ISG20L2	827.1806	ISG20L2	763.369
ISG20	232.0439	ISG20	210.7843
ISLR2	19.9194	ISLR2	41.8895
ISLR	3356.9483	ISLR	1841.3547
ISM1	380.9154	ISM1	1531.1943
ISOC1	682.5026	ISOC1	631.016
ISOC2	949.8423	ISOC2	362.7451
ISPD	44.0324	ISPD	54.3672
ISY1	723.0404	ISY1	588.6809
ISYNA1	1746.2701	ISYNA1	561.943
ITCH	1175.2464	ITCH	1397.0588
ITFG1	768.1212	ITFG1	878.7879
ITFG2	364.8401	ITFG2	440.7308
ITFG3	3299.0527	ITFG3	1709.7415
ITGA10	39.1399	ITGA10	217.4688
ITGA11	4300.5003	ITGA11	502.2282
ITGA1	1029.9045	ITGA1	1251.3369
ITGA2	989.3317	ITGA2	1653.7433
ITGA3	1781.566	ITGA3	2999.5544
ITGA4	326.9722	ITGA4	216.1007
ITGA5	3771.7618	ITGA5	1994.6524
ITGA6	3366.3839	ITGA6	5230.3922
ITGA7	94.0057	ITGA7	2767.3797
ITGA8	9.0861	ITGA8	19.6078
ITGA9	78.9788	ITGA9	352.0499
removed	removed	ITGAD	7.5758
ITGAE	155.1619	ITGAE	159.0909
ITGAL	178.9254	ITGAL	298.1283
ITGAM	386.1574	ITGAM	245.5437
ITGAV	3189.5552	ITGAV	2425.5793
ITGAX	241.13	ITGAX	310.1604
ITGB1BP1	669.223	ITGB1BP1	1283.8681
ITGB1	17163.9098	ITGB1	17362.7451
ITGB2	1512.2727	ITGB2	1461.6756
ITGB3BP	134.5435	ITGB3BP	89.5722
ITGB3	78.2799	ITGB3	258.32
ITGB4	4618.1629	ITGB4	5314.1711
ITGB5	10390.6043	ITGB5	4126.1141
ITGB6	2680.0371	ITGB6	2303.9216
ITGB7	50.6722	ITGB7	40.107
ITGB8	272.9312	ITGB8	1313.2799
ITGBL1	1455.8658	ITGBL1	398.3957
ITIH3	5.5914	removed	removed
ITIH4	11.1828	ITIH4	78.2799
ITIH5L	59.7583	ITIH5L	35.205
ITIH5	106.5864	ITIH5	4819.9643
ITK	14.328	ITK	60.1604
ITM2A	77.9304	ITM2A	1022.2816
ITM2B	9210.1159	ITM2B	10832.8877
ITM2C	748.5513	ITM2C	1103.8324
ITPA	740.5136	ITPA	506.2389
ITPK1	1254.5747	ITPK1	1482.1747
ITPKA	20.2689	removed	removed
ITPKB	1976.9162	ITPKB	1613.6364
ITPKC	877.8528	ITPKC	1605.1693
ITPR1	1943.3677	ITPR1	3790.5526
ITPR2	2808.6398	ITPR2	2805.2585
ITPR3	2276.6826	ITPR3	1548.6096
ITPRIPL1	8.7366	ITPRIPL1	167.1123
ITPRIPL2	2207.2128	ITPRIPL2	3504.0107
ITPRIP	536.7762	ITPRIP	1061.4973
ITSN1	861.0786	ITSN1	2006.6845
ITSN2	704.1694	ITSN2	1184.0463
IVD	867.3689	IVD	1781.1943
IVNS1ABP	1455.1669	IVNS1ABP	3296.7914
IWS1	1573.6351	IWS1	1103.3868
IYD	44.0324	removed	removed
JAG1	1758.8508	JAG1	1427.3619
JAG2	771.6159	JAG2	1236.631
JAGN1	666.4273	JAGN1	618.0927
JAK1	4979.8578	JAK1	5730.8378
JAK2	325.3507	JAK2	458.5561
JAK3	112.1778	JAK3	152.852
JAKMIP1	32.5001	JAKMIP1	8.467
JAKMIP2	36.6937	removed	removed
JAKMIP3	51.7206	JAKMIP3	59.2692
JAM2	119.8661	JAM2	381.016
JAM3	677.9596	JAM3	986.1854
JARID2	1042.4502	JARID2	625.2228
JAZF1	336.883	JAZF1	418.4492
JDP2	965.2188	JDP2	937.6114
JHDM1D	583.6044	JHDM1D	1191.1765
JKAMP	1151.1334	JKAMP	792.3351
JMJD1C	1433.1402	JMJD1C	2482.9367
JMJD4	1508.1595	JMJD4	484.0508
JMJD5	102.0434	JMJD5	80.2139
JMJD6	523.4966	JMJD6	596.7023
JMJD7-PLA2G4B	132.0973	JMJD7-PLA2G4B	597.5936
JMJD8	1793.3708	JMJD8	1343.8012
JMY	546.5612	JMY	833.779
JOSD1	1235.0047	JOSD1	1919.3405
JOSD2	353.6573	JOSD2	128.7879
JPH1	367.6358	JPH1	66.8449
JPH2	171.9361	JPH2	1063.7255
JPH3	29.0055	removed	removed
JPH4	6.9893	JPH4	15.5971
JRKL	220.5116	JRKL	374.3316
JRK	296.3452	JRK	646.1676
JTB	3704.3153	JTB	1462.1212
JUB	981.993	JUB	671.5686
JUNB	4381.2265	JUNB	4995.098
JUND	4041.8972	JUND	5597.148
JUN	2311.3529	JUN	10426.9162
JUP	6789.7303	JUP	6425.5793
KAAG1	5.8325	removed	removed
KAL1	759.0352	KAL1	336.8984
KALRN	376.3724	KALRN	480.8378
KANK1	1034.4126	KANK1	2750
KANK2	2177.5083	KANK2	2308.8235
KANK3	46.4787	KANK3	282.9768
KANK4	155.8608	KANK4	427.3619
KARS	2074.766	KARS	2314.1711
KAT2A	680.7553	KAT2A	1250.8913
KAT2B	138.0382	KAT2B	624.7772
KAT5	1119.1994	KAT5	1008.4358
KATNA1	398.7381	KATNA1	306.1497
KATNAL1	389.652	KATNAL1	550.8021
KATNAL2	112.8768	KATNAL2	51.2478
KATNB1	318.3614	KATNB1	389.4831
KAZALD1	567.1726	KAZALD1	38.3244
KAZ	772.9543	KAZ	738.5294
removed	removed	KBTBD10	14.7059
KBTBD11	61.1561	KBTBD11	173.3512
KBTBD2	1020.0846	KBTBD2	1257.5758
KBTBD3	58.7099	KBTBD3	111.4082
KBTBD4	493.7922	KBTBD4	458.1996
KBTBD6	435.7812	KBTBD6	746.4349
KBTBD7	234.8396	KBTBD7	225.0446
KBTBD8	12.5807	KBTBD8	45.9002
KCMF1	1411.4839	KCMF1	987.9679
removed	removed	KCNA1	13.8146
removed	removed	KCNA2	6.2389
KCNA3	8.7366	KCNA3	26.738
removed	removed	KCNA4	10.2496
KCNA5	6.2903	KCNA5	8.9127
KCNA6	11.5323	KCNA6	58.3779
KCNAB1	42.984	KCNAB1	197.861
KCNAB2	179.6243	KCNAB2	257.1301
removed	removed	KCNAB3	10.6952
removed	removed	KCNB1	119.4296
removed	removed	KCNB2	5.7932
removed	removed	KCNC1	9.3583
KCNC3	126.1564	KCNC3	205.4367
KCNC4	144.678	KCNC4	338.6809
KCND1	41.2367	KCND1	60.1604
KCND2	127.5543	KCND2	53.4759
KCND3	38.7905	KCND3	169.7861
KCNE1	6.2903	KCNE1	265.1515
KCNE2	18.1721	KCNE2	10.6952
KCNE3	97.8498	KCNE3	168.4492
KCNE4	2663.6124	KCNE4	72.6381
KCNF1	228.5493	KCNF1	23.6185
KCNG1	25.1614	KCNG1	16.0428
KCNH1	88.4143	removed	removed
KCNH2	69.1938	KCNH2	10.6952
removed	removed	KCNH3	100.713
removed	removed	KCNH4	8.0214
removed	removed	KCNH8	49.0196
removed	removed	KCNIP1	5.7932
KCNIP2	11.1828	KCNIP2	1689.3939
KCNIP3	124.0596	KCNIP3	95.8111
KCNIP4	14.328	KCNIP4	23.1729
KCNJ11	587.099	KCNJ11	213.0125
KCNJ12	66.0486	KCNJ12	48.574
removed	removed	KCNJ13	6.2389
KCNJ14	51.3712	KCNJ14	38.7701
KCNJ15	39.4894	KCNJ15	38.7701
removed	removed	KCNJ16	45.0089
KCNJ2	104.1402	KCNJ2	175.1337
KCNJ3	65.3497	removed	removed
KCNJ5	88.0649	KCNJ5	91.3547
KCNJ8	407.4747	KCNJ8	593.5829
KCNK13	73.0379	KCNK13	39.2157
KCNK15	244.9741	KCNK15	14.2602
KCNK17	6.2903	KCNK17	7.1301
KCNK1	173.334	KCNK1	191.1765
KCNK2	27.9571	KCNK2	506.2389
KCNK3	209.6782	KCNK3	218.3601
KCNK5	422.5016	KCNK5	89.1266
KCNK6	1008.2028	KCNK6	228.6096
KCNK7	5.9409	KCNK7	10.2496
KCNMA1	255.458	KCNMA1	1770.4991
KCNMB1	73.7368	KCNMB1	1045.4545
removed	removed	KCNMB2	6.6845
KCNMB3	91.21	KCNMB3	54.8128
KCNMB4	90.1616	KCNMB4	43.2264
KCNN3	10.8334	KCNN3	20.9447
KCNN4	92.2584	KCNN4	739.7504
KCNQ1OT1	174.0679	KCNQ1OT1	150.1783
KCNQ1	259.966	KCNQ1	215.6863
KCNQ3	16.7743	KCNQ3	7.5758
KCNQ4	5.242	KCNQ4	24.0642
KCNQ5	25.1614	KCNQ5	20.4991
KCNRG	9.8025	KCNRG	9.9688
KCNS1	5.9409	KCNS1	232.6203
KCNS3	2073.3682	KCNS3	343.1373
KCNT1	27.2582	KCNT1	7.5758
KCNT2	6.6398	KCNT2	45.0089
KCP	9.1	KCP	6.2656
KCTD10	1770.0337	KCTD10	2202.7629
KCTD11	602.126	KCTD11	497.7718
KCTD12	1216.4832	KCTD12	3564.6168
KCTD13	286.5602	KCTD13	221.0339
KCTD14	29.7044	KCTD14	518.2709
KCTD15	879.9496	KCTD15	713.0125
KCTD17	260.001	KCTD17	97.148
KCTD18	429.1414	KCTD18	428.2531
KCTD1	654.5455	KCTD1	877.8966
KCTD20	1609.9793	KCTD20	1716.5775
KCTD21	524.8945	KCTD21	266.4884
KCTD2	1033.0147	KCTD2	1171.5686
KCTD3	3674.9603	KCTD3	2571.7469
KCTD5	1093.4719	KCTD5	473.7077
KCTD6	172.6351	KCTD6	215.6863
KCTD7	446.5622	KCTD7	405.9715
KCTD9	330.5927	KCTD9	731.7291
KDELC1	224.3557	KDELC1	104.2781
KDELC2	1069.0095	KDELC2	1045.4545
KDELR1	6558.0359	KDELR1	2531.1943
KDELR2	9593.8271	KDELR2	3368.0927
KDELR3	575.2173	KDELR3	176.4706
KDM1A	1639.6837	KDM1A	1563.2799
KDM1B	738.7663	KDM1B	578.4314
KDM2A	4409.533	KDM2A	3717.9144
KDM2B	660.6437	KDM2B	695.0045
KDM3A	1607.1836	KDM3A	1471.0339
KDM3B	2856.5163	KDM3B	2726.3815
KDM4A	3034.3898	KDM4A	1171.123
KDM4B	877.1539	KDM4B	1516.934
KDM4C	522.7977	KDM4C	656.4171
KDM4D	11.1828	KDM4D	27.6292
KDM5A	1938.4752	KDM5A	1988.8592
KDM5B	12142.1164	KDM5B	1815.508
KDM5C	3895.1224	KDM5C	2795.4545
KDM6A	935.1649	KDM6A	959.0018
KDM6B	655.5939	KDM6B	1514.7059
KDR	651.4003	KDR	1346.2567
KDSR	1388.0698	KDSR	2060.6061
KEAP1	2012.9109	KEAP1	1234.8485
removed	removed	KEL	45.9002
KERA	6.9893	KERA	9.8039
KGFLP2	23.9103	KGFLP2	116.4037
KHDC1	12.399	KHDC1	17.3797
KHDRBS1	3474.3681	KHDRBS1	3273.1729
KHDRBS3	286.5602	KHDRBS3	244.6524
KHK	152.3871	KHK	155.205
KHNYN	2259.7406	KHNYN	2638.115
KHSRP	2358.1811	KHSRP	1899.287
KIAA0020	804.8149	KIAA0020	716.1319
KIAA0040	666.7767	KIAA0040	2494.6524
KIAA0090	1035.8104	KIAA0090	661.3191
KIAA0100	3513.6129	KIAA0100	5805.3075
KIAA0101	186.9631	KIAA0101	22.2816
KIAA0114	972.907	KIAA0114	695.6328
removed	removed	KIAA0125	20.0535
KIAA0141	907.9067	KIAA0141	1201.8717
KIAA0146	1126.3215	KIAA0146	1006.6845
KIAA0174	1873.4749	KIAA0174	2678.2531
KIAA0182	2272.9119	KIAA0182	2530.303
KIAA0195	1889.7459	KIAA0195	1861.3636
KIAA0196	1409.0377	KIAA0196	2189.3939
KIAA0226	790.1374	KIAA0226	624.3316
KIAA0232	1605.4363	KIAA0232	1904.6346
KIAA0240	689.4919	KIAA0240	1199.1979
KIAA0247	3412.5131	KIAA0247	2405.0802
KIAA0284	1629.5493	KIAA0284	1476.3815
KIAA0317	1397.5054	KIAA0317	735.2941
KIAA0319L	1452.0217	KIAA0319L	2306.5954
KIAA0319	200.9416	removed	removed
KIAA0355	856.885	KIAA0355	1313.7255
KIAA0368	3691.3851	KIAA0368	3508.9127
KIAA0391	796.7178	KIAA0391	468.3066
KIAA0406	834.8688	KIAA0406	606.9519
removed	removed	KIAA0408	134.9376
KIAA0415	654.5455	KIAA0415	389.9287
KIAA0427	921.1863	KIAA0427	2028.9661
KIAA0430	1888.5019	KIAA0430	3209.4474
KIAA0467	911.0449	KIAA0467	1353.0971
KIAA0494	3951.2288	KIAA0494	4354.2469
KIAA0495	380.9154	KIAA0495	757.5758
KIAA0513	437.1791	KIAA0513	296.7914
KIAA0528	793.9815	KIAA0528	1104.2781
KIAA0556	1046.6438	KIAA0556	766.934
KIAA0562	543.4161	KIAA0562	877.0053
KIAA0564	750.648	KIAA0564	1111.4082
KIAA0586	463.7383	KIAA0586	445.6328
KIAA0649	1241.2951	KIAA0649	608.7344
KIAA0652	1866.8351	KIAA0652	1881.016
KIAA0664P3	14.328	KIAA0664P3	81.5508
KIAA0664	1111.2946	KIAA0664	2076.6488
removed	removed	KIAA0748	9.8039
KIAA0753	319.0604	KIAA0753	443.8503
KIAA0754	237.9848	KIAA0754	290.5526
KIAA0776	759.3846	KIAA0776	978.164
KIAA0802	260.3505	KIAA0802	165.3298
KIAA0831	416.5607	KIAA0831	632.7986
KIAA0892	2742.5912	KIAA0892	1413.5472
KIAA0895L	288.325	KIAA0895L	281.1943
KIAA0895	234.1407	KIAA0895	233.5116
KIAA0907	508.4697	KIAA0907	721.0339
KIAA0913	1593.205	KIAA0913	2098.4848
KIAA0922	400.1359	KIAA0922	628.7879
KIAA0947	1380.7311	KIAA0947	1546.7914
KIAA1009	222.2589	KIAA1009	311.0517
KIAA1012	1018.6867	KIAA1012	1270.0535
KIAA1024	38.7905	KIAA1024	20.4991
KIAA1033	895.6755	KIAA1033	1135.0267
removed	removed	KIAA1045	10.6952
KIAA1107	78.9788	KIAA1107	192.0677
KIAA1109	1003.3103	KIAA1109	3519.6078
KIAA1143	384.7595	KIAA1143	896.1676
KIAA1147	964.1704	KIAA1147	1817.7362
KIAA1161	964.8693	KIAA1161	382.7986
KIAA1191	2249.4979	KIAA1191	2315.0624
KIAA1199	1045.2459	KIAA1199	9.3583
KIAA1210	8.0377	KIAA1210	22.7273
KIAA1211	295.9958	KIAA1211	8.467
KIAA1217	2786.6236	KIAA1217	6249.5989
removed	removed	KIAA1239	66.8449
KIAA1244	1800.0875	KIAA1244	1439.3939
KIAA1257	33.6009	KIAA1257	19.6078
KIAA1267	934.1165	KIAA1267	1647.5045
KIAA1274	439.9748	KIAA1274	455.8824
KIAA1279	906.5088	KIAA1279	637.7005
KIAA1310	1509.6832	KIAA1310	1915.3298
KIAA1324L	154.8124	KIAA1324L	342.6916
KIAA1324	13147.174	KIAA1324	8448.7522
KIAA1328	168.4415	KIAA1328	158.6453
KIAA1370	379.867	KIAA1370	1560.1604
KIAA1377	244.6246	KIAA1377	375.6684
KIAA1383	76.882	KIAA1383	65.0624
KIAA1407	81.425	KIAA1407	172.0143
removed	removed	KIAA1409	10.6952
KIAA1429	1533.0973	KIAA1429	2162.2103
KIAA1430	517.2063	KIAA1430	1331.9964
KIAA1432	684.4561	KIAA1432	785.156
KIAA1462	1227.3165	KIAA1462	1133.6898
KIAA1467	976.4016	KIAA1467	1177.3619
KIAA1468	833.4709	KIAA1468	749.5544
KIAA1522	3817.192	KIAA1522	3917.1123
KIAA1524	180.3233	KIAA1524	30.3788
KIAA1529	35.9948	KIAA1529	118.984
KIAA1530	237.6353	KIAA1530	392.6025
KIAA1539	975.7027	KIAA1539	284.3137
KIAA1543	903.7131	KIAA1543	514.7059
KIAA1549	701.7231	KIAA1549	492.8699
KIAA1586	68.8443	KIAA1586	180.9269
KIAA1598	2341.4068	KIAA1598	1091.3547
KIAA1609	423.2005	KIAA1609	382.7986
KIAA1614	27.3525	KIAA1614	109.8797
KIAA1632	1096.2676	KIAA1632	1142.1569
KIAA1644	66.3981	KIAA1644	9.3583
KIAA1671	1452.3712	KIAA1671	4139.9287
KIAA1683	107.9843	KIAA1683	610.5169
KIAA1704	272.8333	KIAA1704	354.0419
KIAA1712	115.1133	KIAA1712	313.3378
KIAA1715	788.7396	KIAA1715	754.0107
KIAA1731	274.329	KIAA1731	414.4385
KIAA1737	1257.0209	KIAA1737	1337.344
KIAA1755	44.0324	KIAA1755	101.1586
KIAA1797	1089.2784	KIAA1797	518.2709
KIAA1804	81.425	KIAA1804	155.9715
KIAA1826	191.1566	KIAA1826	332.8877
KIAA1841	292.5011	KIAA1841	200.0891
KIAA1875	7.6882	KIAA1875	23.6185
KIAA1908	47.5271	KIAA1908	212.1212
KIAA1919	63.9519	KIAA1919	89.5722
KIAA1949	1606.1352	KIAA1949	1140.82
KIAA1958	78.2799	KIAA1958	93.5829
KIAA1967	1877.6685	KIAA1967	2087.344
KIAA1984	12.0949	KIAA1984	12.9234
KIAA2013	1835.3834	KIAA2013	1065.0624
KIAA2018	676.5617	KIAA2018	938.5027
KIAA2022	31.4517	KIAA2022	65.508
KIAA2026	791.8848	KIAA2026	962.5668
KIDINS220	2210.3579	KIDINS220	3004.0107
KIF11	970.8102	KIF11	107.8431
KIF12	134.1941	KIF12	403.2977
KIF13A	1151.1334	KIF13A	1724.1533
KIF13B	1105.7032	KIF13B	1953.6542
KIF14	297.7431	KIF14	14.7059
KIF15	158.6565	KIF15	17.3797
KIF16B	1293.7146	KIF16B	1070.8556
KIF17	43.683	KIF17	44.1176
KIF18A	195.3502	KIF18A	24.0642
KIF18B	139.436	KIF18B	19.1622
removed	removed	KIF19	16.4884
KIF1A	644.4111	KIF1A	7.1301
KIF1B	2578.3432	KIF1B	2222.3708
KIF1C	1800.0875	KIF1C	3945.6328
KIF20A	697.1801	KIF20A	62.3886
KIF20B	333.0389	KIF20B	189.8396
KIF21A	708.7124	KIF21A	303.9216
KIF21B	65.0002	KIF21B	145.2763
KIF22	1503.7423	KIF22	669.7861
KIF23	362.7433	KIF23	116.7558
KIF24	205.8341	KIF24	71.7469
removed	removed	KIF25	20.0535
KIF26A	77.5809	KIF26A	206.328
KIF26B	373.2272	KIF26B	28.9661
KIF27	90.5111	KIF27	125.2228
KIF2A	711.5081	KIF2A	507.1301
KIF2C	514.4106	KIF2C	41.4439
KIF3A	483.3083	KIF3A	504.902
KIF3B	2614.338	KIF3B	1633.2442
KIF3C	769.1696	KIF3C	429.59
KIF4A	505.674	KIF4A	23.6185
KIF4B	8.0377	removed	removed
removed	removed	KIF5A	16.934
KIF5B	5896.1516	KIF5B	5276.2923
KIF5C	260.6999	KIF5C	709.4474
KIF6	8.0377	removed	removed
KIF7	232.645	KIF7	295.2317
KIF9	105.7931	KIF9	145.2763
KIFAP3	811.4547	KIFAP3	804.8128
KIFC1	582.556	KIFC1	64.1711
KIFC2	347.3949	KIFC2	285.6907
KIFC3	348.7648	KIFC3	561.943
KILLIN	85.2691	KILLIN	43.2264
KIN	289.0065	KIN	216.1319
KIRREL	219.4632	KIRREL	565.0624
KITLG	844.3043	KITLG	1097.148
KIT	167.0437	KIT	7245.5437
