gene_id	TCGA-BH-A18J-01A-11R-A12D-07	gene_id	TCGA-BH-A18J-11A-31R-A12D-07
ADAM22	43.683	ADAM22	12.9234
ADAM23	7.6882	ADAM23	12.0321
ADAM28	61.8551	ADAM28	101.6043
ADAM32	8.0377	ADAM32	122.1034
ADAM33	59.7583	ADAM33	674.9554
ADAM6	3869.5522	ADAM6	26642.3396
ADAM8	420.0554	ADAM8	57.041
ADAM9	1954.201	ADAM9	1333.779
ADAMDEC1	5.9409	ADAMDEC1	8.0214
ADAMTS10	153.4146	ADAMTS10	161.7647
ADAMTS12	429.1414	ADAMTS12	109.18
ADAMTS13	46.8281	ADAMTS13	80.6595
ADAMTS14	99.2477	removed	removed
ADAMTS15	597.9324	ADAMTS15	517.8253
ADAMTS16	74.4358	ADAMTS16	29.4118
ADAMTS17	55.5647	ADAMTS17	134.1355
removed	removed	ADAMTS18	133.6898
ADAMTS19	48.226	ADAMTS19	5.3476
ADAMTS1	377.7703	ADAMTS1	6880.5704
ADAMTS2	693.336	ADAMTS2	426.9162
ADAMTS3	29.7044	ADAMTS3	64.6168
ADAMTS4	1658.2053	ADAMTS4	1351.1586
ADAMTS5	123.0112	ADAMTS5	2149.287
ADAMTS6	53.1185	ADAMTS6	19.6078
ADAMTS7	432.6361	ADAMTS7	57.041
removed	removed	ADAMTS8	121.2121
ADAMTS9	211.0761	ADAMTS9	779.8574
ADAMTSL1	272.5817	ADAMTSL1	200.5348
ADAMTSL2	207.232	ADAMTSL2	36.5419
ADAMTSL3	502.5288	ADAMTSL3	115.4189
ADAMTSL4	455.3512	ADAMTSL4	1186.7201
ADAMTSL5	56.2637	ADAMTSL5	36.5419
ADAP1	193.7741	ADAP1	101.3547
ADAP2	300.5388	ADAP2	238.4135
ADARB1	883.0948	ADARB1	774.9554
ADAR	10165.5497	ADAR	6471.0339
ADAT1	255.1085	ADAT1	290.9982
ADAT2	46.4787	ADAT2	166.221
ADAT3	13.6291	ADAT3	20.9447
ADA	174.0329	ADA	91.8004
ADCK1	179.2749	ADCK1	152.4064
ADCK2	1368.1504	ADCK2	692.5134
ADCK4	911.0519	ADCK4	516.934
ADCK5	153.4146	ADCK5	79.7683
ADCY1	846.4011	ADCY1	417.1123
ADCY2	180.6727	ADCY2	131.4617
ADCY3	484.3392	ADCY3	1644.7103
ADCY4	106.5864	ADCY4	531.6399
ADCY5	78.2799	ADCY5	563.7255
ADCY6	1773.5283	ADCY6	2956.328
ADCY7	553.5505	ADCY7	448.3066
ADCY9	1368.8493	ADCY9	800.8021
removed	removed	ADCYAP1R1	10.6952
removed	removed	ADCYAP1	8.9127
ADC	110.78	ADC	123.8859
ADD1	5563.4622	ADD1	5703.2086
ADD2	6.2903	ADD2	68.1818
ADD3	1576.7802	ADD3	2131.016
removed	removed	ADH1A	271.4394
removed	removed	ADH1B	28120.7665
removed	removed	ADH1C	247.7718
removed	removed	ADH4	32.9768
ADH5	1109.8967	ADH5	2792.3351
ADHFE1	15.3764	ADHFE1	216.1319
ADI1	1931.8354	ADI1	1227.2727
removed	removed	ADIPOQ	20282.9768
ADIPOR1	9340.8154	ADIPOR1	1961.6756
ADIPOR2	5416.6874	ADIPOR2	2377.0053
ADK	334.4368	ADK	344.0285
ADM2	236.2375	ADM2	112.2995
ADM	351.91	ADM	780.303
ADNP2	1025.676	ADNP2	786.0963
ADNP	3738.9122	ADNP	2692.0677
ADORA1	210.3771	ADORA1	365.8645
ADORA2A	530.4859	ADORA2A	60.6061
ADORA2B	21.6667	ADORA2B	109.18
ADORA3	384.0606	ADORA3	134.1355
ADO	640.9164	ADO	621.6578
ADPGK	642.7511	ADPGK	772.2816
ADPRHL1	77.9304	ADPRHL1	82.4421
ADPRHL2	883.0948	ADPRHL2	626.5597
ADPRH	302.2861	ADPRH	416.221
removed	removed	ADRA1A	15.1515
ADRA1B	29.7044	ADRA1B	26.2923
ADRA1D	5.242	ADRA1D	13.369
ADRA2A	183.8179	ADRA2A	822.6381
ADRA2B	32.1507	ADRA2B	35.6506
ADRA2C	102.0434	ADRA2C	79.7683
removed	removed	ADRB1	42.3351
ADRB2	16.0753	ADRB2	410.8734
ADRBK1	2194.6321	ADRBK1	1653.2977
ADRBK2	545.1634	ADRBK2	1492.8699
ADRM1	1654.7106	ADRM1	1211.6756
ADSL	622.7443	ADSL	775.4011
ADSSL1	196.7481	ADSSL1	121.2121
ADSS	941.8047	ADSS	1337.7897
AEBP1	32054.9077	AEBP1	5368.5383
AEBP2	509.8675	AEBP2	824.8663
AEN	620.2981	AEN	814.6168
AES	4912.7608	AES	4941.1765
AFAP1L1	273.9795	AFAP1L1	670.2317
AFAP1L2	463.7383	AFAP1L2	883.2442
AFAP1	1765.4277	AFAP1	1519.1533
AFF1	1062.3697	AFF1	2709.4474
AFF2	12.5807	AFF2	15.1515
AFF3	1509.6832	AFF3	2558.3779
AFF4	3428.5884	AFF4	3592.6916
AFG3L1	148.5221	AFG3L1	246.8806
AFG3L2	1909.3928	AFG3L2	1073.6319
AFMID	620.2981	AFMID	462.1212
AFP	13.6291	AFP	458.5561
AFTPH	2065.3305	AFTPH	1632.7986
AG2	207.232	AG2	823.975
AGAP11	20.6184	AGAP11	178.2709
AGAP1	698.5779	AGAP1	786.9875
AGAP2	26.9437	AGAP2	45.6194
AGAP3	1335.6503	AGAP3	1594.4742
AGAP4	125.108	AGAP4	239.7504
AGAP5	30.6445	AGAP5	77.4153
AGAP6	68.8443	AGAP6	167.5579
removed	removed	AGAP7	7.5758
AGAP8	16.4248	AGAP8	22.7273
AGA	332.34	AGA	385.4724
removed	removed	AGBL2	6.6845
removed	removed	AGBL3	8.467
AGBL4	5.242	AGBL4	6.2389
AGBL5	914.204	AGBL5	586.4884
AGER	25.1614	AGER	35.205
AGFG1	1536.2424	AGFG1	1908.6453
AGFG2	435.0823	AGFG2	394.8307
AGGF1	1035.8104	AGGF1	753.1194
AGK	490.2976	AGK	483.066
AGL	1592.1566	AGL	981.7291
AGMAT	22.0162	AGMAT	23.6185
AGPAT1	2739.5893	AGPAT1	1667.0588
AGPAT2	2201.6213	AGPAT2	2909.5365
AGPAT3	3197.9424	AGPAT3	1673.3512
AGPAT4	243.2267	AGPAT4	292.3351
AGPAT5	415.5123	AGPAT5	526.738
AGPAT6	1178.3916	AGPAT6	2145.7219
AGPAT9	16.7743	AGPAT9	222.3708
AGPHD1	28.656	AGPHD1	53.4759
AGPS	2327.0788	AGPS	1099.8217
AGR2	17798.5359	AGR2	1552.5847
AGR3	4416.8718	AGR3	466.1319
AGRN	8878.4749	AGRN	3747.3262
AGTPBP1	386.1574	AGTPBP1	423.3512
AGTR1	138.0382	AGTR1	392.1569
AGTRAP	955.7832	AGTRAP	483.5116
AGT	1341.9406	AGT	36.9875
AGXT2L2	212.6871	AGXT2L2	646.7558
