gene_id	TCGA-BH-A18L-01A-32R-A12D-07	gene_id	TCGA-BH-A18L-11A-42R-A12D-07
removed	removed	LUZP2	77.3759
LUZP6	3671.6763	LUZP6	3324.222
LXN	128.9017	LXN	435.2397
removed	removed	LY6D	5.8873
LY6E	11650.289	LY6E	7295.2061
LY6G5B	24.7081	LY6G5B	50.9294
LY6G5C	50	LY6G5C	26.4929
removed	removed	LY6G6C	10.9336
LY6H	9.5376	removed	removed
LY6K	152.0231	LY6K	79.058
LY75	1002.6243	LY75	977.6997
LY86	66.763	LY86	118.587
LY96	43.9306	LY96	129.5206
LY9	10.4046	LY9	10.513
LYAR	284.3931	LYAR	263.6669
LYL1	30.9249	LYL1	98.8225
LYNX1	175.7225	LYNX1	1115.2229
LYN	290.7514	LYN	680.8242
LYPD1	6.4133	LYPD1	22.1573
LYPD3	832.0809	LYPD3	754.4155
LYPD5	68.7861	LYPD5	46.2574
LYPD6B	69.3642	LYPD6B	165.6854
LYPD6	64.7399	LYPD6	492.4306
LYPLA1	5359.8266	LYPLA1	838.5198
LYPLA2P1	62.1387	LYPLA2P1	40.3701
LYPLA2	1015.896	LYPLA2	748.9487
LYPLAL1	546.5318	LYPLAL1	298.1497
LYRM1	1227.4566	LYRM1	675.3574
LYRM2	684.3699	LYRM2	753.5997
LYRM4	392.7746	LYRM4	277.1236
LYRM5	235.5491	LYRM5	357.0227
LYRM7	501.1561	LYRM7	485.2817
LYSMD1	664.7399	LYSMD1	198.4861
LYSMD2	184.6821	LYSMD2	181.2447
LYSMD3	842.4855	LYSMD3	654.3314
LYSMD4	43.5405	LYSMD4	265.3827
LYST	930.6358	LYST	1329.2683
LYVE1	16.763	LYVE1	1153.4903
LYZ	1115.0289	LYZ	853.6585
LZIC	566.474	LZIC	328.8478
LZTFL1	513.0058	LZTFL1	772.9184
LZTR1	512.211	LZTR1	1225.82
LZTS1	110.9827	LZTS1	499.159
LZTS2	835.5491	LZTS2	1880.9924
M6PR	3732.9133	M6PR	2420.635
removed	removed	MAB21L1	134.1463
MACC1	96.2428	MACC1	466.7788
MACF1	4637.8613	MACF1	7997.8974
MACROD1	260.4046	MACROD1	129.1001
MACROD2	76.0116	MACROD2	83.2632
MAD1L1	469.6532	MAD1L1	418.8394
MAD2L1BP	337.5723	MAD2L1BP	315.8116
MAD2L1	886.1272	MAD2L1	50.8831
MAD2L2	382.0809	MAD2L2	257.3591
MADD	1651.7341	MADD	1174.5164
MAEA	1094.7977	MAEA	915.0547
MAF1	7271.9653	MAF1	2099.6636
MAFB	378.6127	MAFB	891.926
MAFF	147.1098	MAFF	1824.6426
MAFG	1161.2717	MAFG	691.7578
MAFK	621.6676	MAFK	1136.8881
MAF	338.4393	MAF	1435.6602
MAGEA3	177.7457	removed	removed
MAGEA6	163.0058	removed	removed
MAGED1	640.7514	MAGED1	3477.2918
MAGED2	5284.6821	MAGED2	7873.423
MAGED4B	32.1329	MAGED4B	380.8621
MAGED4	11.5087	MAGED4	97.6913
MAGEE1	42.4855	MAGEE1	183.3474
MAGEF1	561.8497	MAGEF1	698.0656
MAGEH1	116.763	MAGEH1	537.8469
removed	removed	MAGEL2	21.4466
MAGI1	887.5723	MAGI1	1551.3036
MAGI2	237.5723	MAGI2	264.508
MAGI3	585.5491	MAGI3	648.4441
MAGIX	106.3584	MAGIX	45.8368
MAGOHB	241.3295	MAGOHB	170.3112
MAGOH	343.6416	MAGOH	292.6829
MAGT1	1825.7225	MAGT1	2301.0934
MAG	47.6879	removed	removed
MAK16	315.9855	MAK16	470.9462
removed	removed	MAK	30.6981
MAL2	21018.2081	MAL2	2100.5046
MALAT1	1899.3642	MALAT1	3323.7847
MALL	141.9075	MALL	992.8511
MALT1	367.052	MALT1	584.5248
MAL	6.0694	MAL	19.344
MAMDC2	23.3468	MAMDC2	797.2624
MAMDC4	8.6705	MAMDC4	26.0723
MAML1	2094.8931	MAML1	1384.0412
MAML2	87.8613	MAML2	1134.5669
MAML3	274.8555	MAML3	581.1606
MAMLD1	31.7919	MAMLD1	155.5929
MAMSTR	10.1156	MAMSTR	25.2313
MAN1A1	3080.6358	MAN1A1	2232.5484
MAN1A2	1259.2486	MAN1A2	1213.6249
MAN1B1	1816.185	MAN1B1	1599.6636
MAN1C1	443.0636	MAN1C1	477.2918
MAN2A1	873.9884	MAN2A1	770.3953
MAN2A2	757.5145	MAN2A2	2179.1421
MAN2B1	781.2139	MAN2B1	1535.7443
MAN2B2	2117.052	MAN2B2	2194.7014
MAN2C1	714.1618	MAN2C1	1206.8966
MANBAL	1461.8497	MANBAL	1058.032
MANBA	1314.7399	MANBA	997.0563
MANEAL	1215.6069	MANEAL	119.0076
MANEA	342.1965	MANEA	441.968
MANF	1232.948	MANF	692.5988
MANSC1	1243.9306	MANSC1	826.3246
MAOA	184.9711	MAOA	3538.2675
MAOB	993.0636	MAOB	3008.831
MAP1A	854.6243	MAP1A	1277.5442
MAP1B	1752.0231	MAP1B	2235.0715
MAP1D	62.4277	MAP1D	63.0782
MAP1LC3A	133.237	MAP1LC3A	350.7149
MAP1LC3B2	162.7168	MAP1LC3B2	226.6611
MAP1LC3B	1303.7572	MAP1LC3B	2134.9874
removed	removed	MAP1LC3C	200.5887
MAP1S	394.2197	MAP1S	642.1362
MAP2K1	1373.6763	MAP2K1	1400.7359
MAP2K2	993.0636	MAP2K2	1413.3726
MAP2K3	405.2023	MAP2K3	1336.8377
MAP2K4	714.7399	MAP2K4	817.0732
MAP2K5	284.6821	MAP2K5	376.3667
MAP2K6	41.3295	MAP2K6	143.3978
MAP2K7	502.6012	MAP2K7	825.9041
MAP2	256.0694	MAP2	302.3549
MAP3K10	354.0462	MAP3K10	191.7578
MAP3K11	846.5318	MAP3K11	1529.857
MAP3K12	250.3988	MAP3K12	281.8209
MAP3K13	23.1214	MAP3K13	47.5189
MAP3K14	514.4509	MAP3K14	663.1623
MAP3K1	1226.3006	MAP3K1	1328.0067
MAP3K2	946.2428	MAP3K2	674.9369
MAP3K3	1162.8497	MAP3K3	1457.1068
MAP3K4	363.2948	MAP3K4	800.2523
MAP3K5	213.2948	MAP3K5	822.9605
MAP3K6	202.3121	MAP3K6	1010.513
MAP3K7	475.1445	MAP3K7	735.9125
MAP3K8	139.3064	MAP3K8	475.6098
MAP3K9	187.5723	MAP3K9	63.9193
MAP4K1	28.9017	MAP4K1	28.5955
MAP4K2	377.1676	MAP4K2	295.6266
MAP4K3	1100.289	MAP4K3	876.7872
MAP4K4	536.4162	MAP4K4	2916.3162
MAP4K5	726.3006	MAP4K5	1132.0437
MAP4	3996.5318	MAP4	9820.0168
MAP6D1	8.6705	MAP6D1	45.4163
MAP6	34.6821	MAP6	166.5265
MAP7D1	1025.1445	MAP7D1	3609.3356
removed	removed	MAP7D2	13.8772
MAP7D3	37.8613	MAP7D3	591.2532
MAP7	772.2543	MAP7	724.979
MAP9	463.8728	MAP9	375.1051
MAPK10	16.474	MAPK10	496.2153
MAPK11	252.8902	MAPK11	380.1514
MAPK12	207.0578	MAPK12	140.122
MAPK13	1535.5491	MAPK13	599.6636
MAPK14	1181.7919	MAPK14	1549.201
MAPK15	435.5491	MAPK15	28.5955
MAPK1IP1L	1802.0231	MAPK1IP1L	2161.4802
MAPK1	2326.0116	MAPK1	2881.8335
MAPK3	3097.1098	MAPK3	1832.2498
removed	removed	MAPK4	36.1648
MAPK6	677.4566	MAPK6	1147.603
MAPK7	149.1329	MAPK7	340.1892
MAPK8IP1	348.8439	MAPK8IP1	352.8175
MAPK8IP2	997.9769	MAPK8IP2	97.9815
MAPK8IP3	752.0231	MAPK8IP3	667.3675
MAPK8	369.0751	MAPK8	263.2464
MAPK9	2473.4104	MAPK9	1111.8587
MAPKAP1	1684.6821	MAPKAP1	1933.5576
MAPKAPK2	13611.5607	MAPKAPK2	2866.2742
MAPKAPK3	626.0116	MAPKAPK3	622.7923
MAPKAPK5	620.7919	MAPKAPK5	438.7721
MAPKBP1	583.237	MAPKBP1	824.222
MAPKSP1	1186.9942	MAPKSP1	806.9807
MAPRE1	3756.9364	MAPRE1	2723.7174
MAPRE2	639.5954	MAPRE2	801.5139
MAPRE3	755.2023	MAPRE3	616.905
MAPT	1241.3295	MAPT	1584.5248
MARCH10	13.6561	removed	removed
MARCH1	59.8266	MARCH1	59.714
MARCH2	244.7977	MARCH2	1100.0841
MARCH3	596.5318	MARCH3	187.5526
MARCH4	11.5607	removed	removed
MARCH5	991.9075	MARCH5	1115.2229
MARCH6	6510.6936	MARCH6	2005.0463
MARCH7	1671.0983	MARCH7	1866.2742
MARCH8	518.2081	MARCH8	561.8167
MARCH9	523.4104	MARCH9	193.0193
MARCKSL1	5815.3179	MARCKSL1	2477.2918
MARCKS	2814.4509	MARCKS	4521.4466
removed	removed	MARCO	504.6257
MARK1	1021.9653	MARK1	375.1051
MARK2	2079.4798	MARK2	1349.4533
MARK3	1344.2197	MARK3	1060.9756
MARK4	1114.7399	MARK4	671.5728
MARS2	271.6763	MARS2	140.8747
MARS	2103.8439	MARS	1267.5904
MARVELD1	527.1416	MARVELD1	991.5601
MARVELD2	1106.9364	MARVELD2	270.3953
MARVELD3	161.7572	MARVELD3	301.8629
removed	removed	MASP1	83.6838
removed	removed	MASP2	34.9033
MAST1	23.6994	MAST1	5.4668
MAST2	1542.4855	MAST2	1111.8587
MAST3	172.8324	MAST3	421.3625
MAST4	2368.4971	MAST4	1262.4054
MASTL	521.6763	MASTL	243.4819
MAT1A	176.0116	MAT1A	16.8209
MAT2A	4239.0173	MAT2A	4113.9613
MAT2B	2292.4855	MAT2B	1558.873
MATK	7.8035	MATK	44.9958
MATN2	195.9538	MATN2	3694.7014
MATN3	45.6647	MATN3	59.714
removed	removed	MATN4	18.5029
MATR3	9790.5462	MATR3	6347.7334
MAVS	2007.8035	MAVS	2740.9588
MAX	1348.8439	MAX	1168.2086
MAZ	9473.5087	MAZ	1960.7569
MBD1	1069.6532	MBD1	1109.7561
MBD2	1541.9075	MBD2	2011.7746
MBD3	695.9538	MBD3	1387.7208
MBD4	581.5029	MBD4	706.8966
MBD5	371.0983	MBD5	354.4996
MBD6	1572.5434	MBD6	1386.4592
MBIP	235.5491	MBIP	365.0126
removed	removed	MBL1P	6.7283
MBLAC1	17.052	MBLAC1	22.2876
MBLAC2	433.815	MBLAC2	214.0454
MBNL1	1617.7919	MBNL1	5121.1943
MBNL2	1086.4162	MBNL2	2888.9823
MBNL3	39.0173	MBNL3	97.561
MBOAT1	2300.289	MBOAT1	767.4516
MBOAT2	650	MBOAT2	224.1379
MBOAT7	1383.237	MBOAT7	789.3188
MBP	93.3526	MBP	1052.9857
MBTD1	828.0347	MBTD1	609.7561
MBTPS1	2294.2197	MBTPS1	4124.8949
MBTPS2	1440.7514	MBTPS2	545.0336
MB	691.3295	MB	126.9975
MC1R	61.2717	MC1R	39.5963
MCAM	1241.9075	MCAM	12609.7561
MCART1	127.4566	MCART1	281.3288
MCART2	5.2023	MCART2	7.1489
removed	removed	MCART6	6.7283
MCAT	219.0751	MCAT	265.349
MCCC1	482.3699	MCCC1	859.5458
MCCC2	5081.2139	MCCC2	2815.3911
MCC	348.5549	MCC	1405.3827
MCEE	142.4855	MCEE	193.0193
removed	removed	MCF2L2	8.831
MCF2L	2331.0058	MCF2L	1081.5812
MCFD2	2589.1069	MCFD2	3202.6913
removed	removed	MCHR1	7.9899
MCL1	8130.0578	MCL1	13165.6854
MCM10	458.3815	MCM10	21.0261
MCM2	1332.0809	MCM2	304.037
MCM3APAS	22.1416	MCM3APAS	21.9807
MCM3AP	2323.5231	MCM3AP	1975.9167
MCM3	1502.8902	MCM3	1372.582
MCM4	7017.341	MCM4	617.746
MCM5	422.2543	MCM5	632.8848
MCM6	1339.3064	MCM6	509.672
MCM7	1996.4393	MCM7	1409.1968
MCM8	489.8844	MCM8	199.7477
MCM9	49.711	MCM9	84.9453
MCOLN1	482.3699	MCOLN1	489.0664
MCOLN2	21.9653	MCOLN2	13.8772
MCOLN3	79.4798	MCOLN3	101.7662
MCPH1	352.8353	MCPH1	497.8343
MCRS1	1102.8902	MCRS1	757.3591
MCTP1	77.4566	MCTP1	266.6106
MCTP2	6.0694	MCTP2	201.8503
MCTS1	706.0694	MCTS1	703.9529
MDC1	2213.8728	MDC1	909.1674
MDFIC	259.8266	MDFIC	2141.7157
MDFI	96.8208	MDFI	793.1034
MDGA1	49.711	MDGA1	160.6392
MDH1B	38.7283	MDH1B	31.5391
MDH1	2456.9364	MDH1	5937.3423
MDH2	3264.7399	MDH2	2447.0143
MDK	1470.2312	MDK	2103.8688
MDM1	204.3353	MDM1	249.3692
MDM2	2023.1214	MDM2	1809.0833
MDM4	1313.5838	MDM4	913.7931
MDN1	1054.3353	MDN1	1394.0286
MDP1	330.0347	MDP1	179.5122
ME1	1273.1214	ME1	849.0328
ME2	801.4451	ME2	499.5795
ME3	179.1908	ME3	482.3381
MEA1	661.8497	MEA1	796.0471
MEAF6	1897.6879	MEAF6	1088.73
MECOM	171.3873	MECOM	707.3171
MECP2	1945.9538	MECP2	1759.8823
MECR	338.4393	MECR	743.9024
MED10	338.4393	MED10	330.1093
MED11	127.4566	MED11	231.2868
MED12L	37.5723	MED12L	7.1489
MED12	1592.4855	MED12	1598.402
MED13L	4520.5202	MED13L	3664.8444
MED13	4342.4855	MED13	2021.0261
MED14	1721.9653	MED14	940.7065
MED15	839.3064	MED15	1630.7822
MED16	711.8497	MED16	1021.4466
MED17	1604.3353	MED17	635.8284
MED18	394.7977	MED18	252.3129
MED19	300.289	MED19	237.1741
MED1	3749.711	MED1	1536.1648
MED20	359.5376	MED20	447.0143
MED21	403.4682	MED21	467.1993
MED22	706.0694	MED22	730.0252
MED23	650.289	MED23	913.7931
MED24	2576.3006	MED24	1441.968
MED25	1084.6821	MED25	630.3616
MED26	129.4798	MED26	263.6669
MED27	283.815	MED27	195.122
MED28	751.4451	MED28	510.513
MED29	2587.2832	MED29	1394.8696
MED30	756.0694	MED30	164.8444
MED31	89.4566	MED31	117.2246
MED4	822.8324	MED4	859.1253
MED6	424.2775	MED6	293.9445
MED7	236.7052	MED7	235.9125
MED8	565.6069	MED8	655.1724
MED9	202.6012	MED9	412.5315
MEF2A	1190.2746	MEF2A	1854.0454
MEF2B	8.0665	MEF2B	10.7653
MEF2C	322.2543	MEF2C	1387.3003
MEF2D	3076.0116	MEF2D	1956.6863
removed	removed	MEFV	13.0362
removed	removed	MEG3	267.4516
MEGF10	36.9942	MEGF10	104.7098
MEGF6	34.9711	MEGF6	699.3272
MEGF8	719.9422	MEGF8	1846.9302
MEGF9	1985.2601	MEGF9	2152.2288
MEI1	6.3584	MEI1	24.8108
MEIS1	34.104	MEIS1	362.4895
MEIS2	14.1618	MEIS2	411.6905
MEIS3P1	259.2486	MEIS3P1	785.1135
MEIS3	21.6763	MEIS3	258.6207
MELK	291.0405	MELK	23.5492
MEMO1	278.9595	MEMO1	235.2481
MEN1	1125.4335	MEN1	630.3616
MEOX1	41.9075	MEOX1	909.1674
removed	removed	MEOX2	939.8654
MEPCE	1372.5434	MEPCE	1302.7754
MERTK	164.7399	MERTK	394.8696
MESDC1	441.3295	MESDC1	542.0521
MESDC2	1689.0173	MESDC2	1271.2363
MESP1	6.3584	MESP1	104.2893
removed	removed	MESP2	13.0362
removed	removed	MESTIT1	37.0059
MEST	489.3064	MEST	4178.7216
METAP1	1284.6821	METAP1	924.7267
METAP2	1849.711	METAP2	1509.672
METRNL	64.7399	METRNL	621.9512
METRN	647.9769	METRN	88.73
METT10D	543.3526	METT10D	882.254
METT11D1	394.7977	METT11D1	439.8654
METT5D1	504.6243	METT5D1	274.6005
METTL10	328.1936	METTL10	348.1665
METTL11A	277.8353	METTL11A	294.386
METTL12	32.4075	METTL12	48.8478
METTL13	1382.659	METTL13	813.709
METTL14	455.2023	METTL14	427.2498
METTL1	449.422	METTL1	219.0917
METTL2A	632.659	METTL2A	330.9504
METTL2B	288.1503	METTL2B	281.7494
METTL3	906.4191	METTL3	675.9672
METTL4	216.763	METTL4	259.8823
METTL5	495.4595	METTL5	499.8234
METTL6	219.9422	METTL6	234.651
METTL7A	645.0867	METTL7A	3991.5896
METTL7B	6.0694	METTL7B	22.7082
METTL8	308.9595	METTL8	328.4272
METTL9	2107.5145	METTL9	1618.1665
MET	621.9653	MET	2040.3701
MEX3A	343.9306	MEX3A	178.7216
MEX3B	51.4451	MEX3B	75.2733
MEX3C	840.7514	MEX3C	1267.4516
MEX3D	206.3584	MEX3D	272.0774
MFAP1	1015.896	MFAP1	833.053
MFAP2	86.1272	MFAP2	213.2044
MFAP3L	60.6936	MFAP3L	314.1295
MFAP3	2232.3699	MFAP3	1211.5223
MFAP4	83.815	MFAP4	7509.672
MFAP5	10.9827	MFAP5	2721.1943
MFF	937.2832	MFF	1078.217
MFGE8	419.3642	MFGE8	5054.2473
MFHAS1	225.4335	MFHAS1	283.0109
MFI2	36.4162	MFI2	388.9823
MFN1	690.4624	MFN1	807.8217
MFN2	2767.9191	MFN2	3234.651
MFNG	73.9884	MFNG	404.1211
MFRP	151.1561	MFRP	483.1791
MFSD10	1697.3988	MFSD10	812.4474
MFSD11	1297.0636	MFSD11	464.2557
MFSD1	2287.5723	MFSD1	1822.9605
MFSD2A	17.6301	MFSD2A	23.1287
MFSD2B	12.7168	MFSD2B	5.8873
MFSD3	1223.1214	MFSD3	178.3011
MFSD4	19.6532	MFSD4	263.2464
MFSD5	859.2486	MFSD5	623.2128
removed	removed	MFSD6L	25.2313
MFSD6	3214.7399	MFSD6	1319.5963
MFSD7	514.078	MFSD7	193.524
MFSD8	430.6358	MFSD8	372.1615
MFSD9	161.5607	MFSD9	195.963
MGAT1	2162.7168	MGAT1	3674.0959
MGAT2	1044.7977	MGAT2	631.2027
MGAT3	20.5202	MGAT3	700.1682
MGAT4A	3380.6358	MGAT4A	1120.2691
MGAT4B	2389.0173	MGAT4B	1020.185
MGAT5B	35.2601	MGAT5B	7.9899
MGAT5	430.6358	MGAT5	282.5904
MGA	1062.1387	MGA	1214.0454
removed	removed	MGC12916	6.7283
MGC12982	39.3064	MGC12982	29.4365
MGC14436	20.2312	MGC14436	13.4567
removed	removed	MGC16121	9.2515
MGC16142	6.3584	MGC16142	14.7183
MGC16275	41.0405	MGC16275	24.8108
MGC16384	6.3584	MGC16384	5.4668
MGC21881	30.3468	MGC21881	149.7056
MGC23270	61.8497	MGC23270	39.9495
MGC23284	9.2486	MGC23284	43.7342
MGC2752	1238.1503	MGC2752	605.9714
MGC29506	18.7861	MGC29506	121.5307
MGC3771	9.1532	MGC3771	14.4491
removed	removed	MGC42105	16.4003
removed	removed	MGC45800	82.0017
MGC57346	485.8382	MGC57346	246.4256
MGC70857	782.0809	MGC70857	313.709
MGC72080	47.9884	MGC72080	64.2262
removed	removed	MGC87042	19.344
MGEA5	4332.3699	MGEA5	4434.3987
MGLL	653.4682	MGLL	13761.5643
MGMT	265.3179	MGMT	417.1573
MGP	2145.0867	MGP	97547.5189
MGRN1	2474.2775	MGRN1	1186.7115
MGST1	6423.9884	MGST1	9124.0538
MGST2	743.3526	MGST2	748.9487
MGST3	1658.6705	MGST3	2314.1295
removed	removed	MIA2	10.9336
MIA3	3521.3873	MIA3	2442.3886
MIAT	15.0289	MIAT	44.5711
removed	removed	MIA	343.8141
MIB1	2095.0867	MIB1	1640.8747
MIB2	151.4451	MIB2	373.8436
MICAL1	138.1503	MICAL1	431.455
MICAL2	964.7399	MICAL2	478.9739
MICAL3	490.1734	MICAL3	1611.4382
MICALCL	53.4682	MICALCL	30.2775
MICALL1	331.5029	MICALL1	857.8638
MICALL2	518.7861	MICALL2	272.9184
MICA	54.0462	MICA	441.968
MICB	41.3295	MICB	94.1968
MID1IP1	978.0347	MID1IP1	685.45
MID1	40.4624	MID1	762.4054
MID2	728.9017	MID2	906.2237
MIDN	1276.0116	MIDN	2204.7939
MIER1	1005.4913	MIER1	1068.1245
MIER2	165.6069	MIER2	383.095
MIER3	1135.2601	MIER3	580.7401
MIF4GD	1219.8208	MIF4GD	336.64
MIF	2041.4827	MIF	1180.3659
MIIP	238.1503	MIIP	236.7536
MINA	262.8555	MINA	818.2801
MINK1	908.5318	MINK1	2176.8923
MINPP1	602.0231	MINPP1	384.7771
MIOS	410.6936	MIOS	646.3415
MIPEP	340.7514	MIPEP	375.9462
MIPOL1	251.7341	MIPOL1	116.4844
removed	removed	MIR155HG	6.3078
MIR17HG	16.474	MIR17HG	21.4466
MIS12	260.4046	MIS12	388.1413
MITD1	123.6994	MITD1	203.9529
MITF	75.7225	MITF	715.7275
MKI67IP	838.4393	MKI67IP	558.8646
MKI67	6039.8844	MKI67	146.3415
MKKS	811.2717	MKKS	755.2565
MKL1	506.9364	MKL1	1027.3339
MKL2	4873.4104	MKL2	2576.9554
MKLN1	1021.6763	MKLN1	2131.6232
MKNK1	308.6705	MKNK1	609.7561
MKNK2	1840.1734	MKNK2	3332.2119
MKRN1	2743.6416	MKRN1	2227.9226
MKRN2	452.3121	MKRN2	711.9428
MKS1	438.7283	MKS1	254.836
MKX	75.7225	MKX	41.6316
removed	removed	MLC1	5.4668
MLEC	7757.5145	MLEC	4907.0648
MLF1IP	768.9566	MLF1IP	103.5828
MLF1	228.9017	MLF1	391.5055
MLF2	3846.8208	MLF2	2544.1548
MLH1	449.1329	MLH1	651.3877
MLH3	780.3468	MLH3	565.1808
MLKL	163.8728	MLKL	296.0471
MLL2	3741.2023	MLL2	2749.487
MLL3	2421.6763	MLL3	2844.8276
MLL4	1484.9711	MLL4	1087.889
MLL5	1831.2919	MLL5	2420.942
MLLT10	680.3468	MLLT10	675.3574
MLLT11	1065.0289	MLLT11	99.2431
MLLT1	1147.3988	MLLT1	1632.4643
MLLT3	476.8786	MLLT3	426.4087
MLLT4	3830.9249	MLLT4	3139.1926
MLLT6	6207.5145	MLLT6	3949.9579
MLL	1703.1792	MLL	2435.2397
MLPH	6039.5954	MLPH	2843.1455
MLST8	1745.8873	MLST8	568.9235
MLXIPL	14.4509	MLXIPL	784.2725
MLXIP	1625.1445	MLXIP	1180.8242
MLX	2293.6705	MLX	1108.6081
MLYCD	108.6705	MLYCD	387.3003
MMAA	274.2775	MMAA	245.5845
MMAB	989.5954	MMAB	563.0782
MMACHC	164.1618	MMACHC	135.4079
MMADHC	1556.3584	MMADHC	1608.074
MMD	390.7514	MMD	3475.1892
MMEL1	18.026	MMEL1	8.4903
MME	1186.4162	MME	4745.164
MMGT1	984.6821	MMGT1	917.5778
removed	removed	MMP10	5.4668
MMP11	745.3757	MMP11	77.7965
MMP14	1045.0867	MMP14	4611.0177
MMP15	388.4393	MMP15	1005.8873
MMP16	41.3295	MMP16	122.3717
MMP17	18.2081	MMP17	91.6737
MMP19	80.9249	MMP19	816.6526
MMP1	17.341	removed	removed
removed	removed	MMP23B	145.9209
MMP24	395.3757	MMP24	400.3364
MMP25	5.9913	MMP25	52.3886
removed	removed	MMP27	42.4727
MMP28	26.0116	MMP28	537.4264
MMP2	1069.3642	MMP2	12848.1918
removed	removed	MMP3	64.7603
MMP7	36.1272	MMP7	1238.0151
MMP9	32.3699	MMP9	525.6518
MMRN1	335.2601	MMRN1	378.4693
MMRN2	666.185	MMRN2	3609.7561
MMS19	1333.526	MMS19	1058.873
MN1	20.8092	MN1	399.9159
MNAT1	510.4046	MNAT1	262.4054
MND1	95.3757	removed	removed
MNDA	73.9884	MNDA	151.8082
MNS1	159.5376	MNS1	86.6274
MNT	486.7052	MNT	573.5913
MNX1	38.4393	removed	removed
MOAP1	956.0694	MOAP1	821.2784
MOB2	365.3179	MOB2	642.1362
MOBKL1A	540.1734	MOBKL1A	885.1976
MOBKL1B	998.2659	MOBKL1B	670.3112
MOBKL2A	608.9595	MOBKL2A	1060.1346
MOBKL2B	43.9306	MOBKL2B	507.9899
MOBKL2C	210.6936	MOBKL2C	732.1278
MOBKL3	959.2486	MOBKL3	875.1051
MOCOS	263.8728	MOCOS	170.7317
MOCS1	181.7861	MOCS1	1109.4996
MOCS2	1057.5145	MOCS2	742.2204
MOCS3	477.1676	MOCS3	123.6333
removed	removed	MOGAT2	16.4003
MOGS	1026.8786	MOGS	899.4954
MON1A	199.1329	MON1A	202.2708
MON1B	3280.6358	MON1B	665.6854
MON2	1082.948	MON2	1475.6098
MORC2	878.9017	MORC2	1028.5955
MORC3	808.6705	MORC3	1046.2574
MORC4	325.7225	MORC4	735.0715
MORF4L1	2732.948	MORF4L1	4297.3087
MORF4L2	5169.3642	MORF4L2	3796.8881
MORN1	59.2486	MORN1	82.0017
MORN2	291.0405	MORN2	180.4037
MORN3	23.9884	removed	removed
MORN4	349.711	MORN4	191.3373
MOSC1	302.0231	MOSC1	2606.8124
MOSC2	91.3295	MOSC2	379.7309
MOSPD1	258.3815	MOSPD1	200.5887
MOSPD2	326.5896	MOSPD2	295.2061
MOSPD3	181.7919	MOSPD3	189.6552
MOV10L1	23.1214	MOV10L1	9.672
MOV10	703.7572	MOV10	839.3608
MOXD1	34.3931	MOXD1	137.5105
MPDU1	969.948	MPDU1	892.767
MPDZ	529.4798	MPDZ	1712.7839
MPEG1	405.2023	MPEG1	1384.3566
MPG	835.8382	MPG	587.889
MPHOSPH10	910.1156	MPHOSPH10	713.6249
MPHOSPH6	184.6821	MPHOSPH6	209.4197
MPHOSPH8	958.0925	MPHOSPH8	1372.582
MPHOSPH9	590.4624	MPHOSPH9	133.7258
MPI	656.3584	MPI	672.8343
MPL	6.6474	MPL	30.6981
MPND	168.7861	MPND	279.2262
MPO	5.4913	removed	removed
MPP1	163.8728	MPP1	610.5971
MPP2	525.4335	MPP2	160.6392
MPP3	287.5723	MPP3	69.8066
MPP5	1149.711	MPP5	976.4508
MPP6	34.6821	MPP6	95.8789
MPP7	335.8382	MPP7	699.3272
MPPE1	504.6243	MPPE1	680.8242
MPPED1	5.7803	MPPED1	13.4567
MPPED2	9.2486	MPPED2	267.4516
MPRIP	1096.2428	MPRIP	2880.9924
MPST	155.2023	MPST	691.3373
MPV17L2	207.2254	MPV17L2	214.8865
MPV17L	344.2197	MPV17L	114.8024
MPV17	785.5491	MPV17	660.6392
MPZL1	4223.9884	MPZL1	5082.8427
MPZL2	78.9017	MPZL2	764.508
MPZL3	20.8092	MPZL3	68.1245
MPZ	9.2486	MPZ	112.2792
MR1	293.0636	MR1	179.9832
removed	removed	MRAP2	53.8267
MRAP	13.9249	MRAP	842.3928
MRAS	146.5318	MRAS	5018.9235
MRC1	69.3642	MRC1	684.6089
MRC2	252.3121	MRC2	5317.9142
MRE11A	423.6994	MRE11A	520.185
MREG	676.5405	MREG	700.0547
MRFAP1L1	2808.6705	MRFAP1L1	1250.6308
MRFAP1	11636.1272	MRFAP1	5474.7687
removed	removed	MRGPRE	7.1489
MRGPRF	21.9653	MRGPRF	387.7208
removed	removed	MRGPRX2	12.6156
removed	removed	MRGPRX3	52.5652
MRI1	311.8497	MRI1	412.5315
MRM1	282.948	MRM1	73.5913
MRO	21.3873	MRO	79.4786
MRP63	702.7543	MRP63	480.2355
MRPL10	1856.6474	MRPL10	774.18
MRPL11	1523.1214	MRPL11	425.1472
MRPL12	1441.6185	MRPL12	526.9134
MRPL13	2573.4104	MRPL13	393.1876
MRPL14	663.0058	MRPL14	400.3364
MRPL15	1858.9595	MRPL15	530.2775
MRPL16	447.6879	MRPL16	633.3053
MRPL17	1125.7225	MRPL17	617.3255
MRPL18	545.3757	MRPL18	553.8267
MRPL19	1096.2428	MRPL19	1150.9672
MRPL1	295.9538	MRPL1	304.878
MRPL20	1007.6763	MRPL20	1088.1287
MRPL21	1727.1676	MRPL21	332.6325
MRPL22	509.2486	MRPL22	338.9403
MRPL23	392.1965	MRPL23	293.524
MRPL24	3732.659	MRPL24	937.7628
