gene_id	TCGA-BH-A18L-01A-32R-A12D-07	gene_id	TCGA-BH-A18L-11A-42R-A12D-07
ADAM28	42.7746	ADAM28	126.1564
removed	removed	ADAM32	23.9697
removed	removed	ADAM33	787.3549
ADAM6	5148.8179	ADAM6	19053.4609
ADAM8	136.4162	ADAM8	46.2574
ADAM9	1493.0636	ADAM9	2021.0261
ADAMDEC1	148.8439	removed	removed
ADAMTS10	21.0983	ADAMTS10	296.8881
ADAMTS12	68.2081	ADAMTS12	296.4676
ADAMTS13	40.4624	ADAMTS13	64.3398
ADAMTS14	10.6936	ADAMTS14	8.4104
ADAMTS15	228.0347	ADAMTS15	709.8402
removed	removed	ADAMTS16	297.3087
ADAMTS17	15.896	ADAMTS17	29.016
ADAMTS18	582.0809	ADAMTS18	453.7426
ADAMTS19	65.0289	removed	removed
ADAMTS1	512.4277	ADAMTS1	7196.3835
ADAMTS20	5.4913	removed	removed
ADAMTS2	101.7341	ADAMTS2	822.9605
ADAMTS3	14.7399	ADAMTS3	71.9092
ADAMTS4	230.3468	ADAMTS4	759.8823
ADAMTS5	107.5145	ADAMTS5	2267.0311
ADAMTS6	11.2717	ADAMTS6	18.0824
ADAMTS7	64.7399	ADAMTS7	135.4079
removed	removed	ADAMTS8	80.7401
ADAMTS9	159.8266	ADAMTS9	854.4996
ADAMTSL1	50	ADAMTSL1	253.5744
ADAMTSL2	64.1618	ADAMTSL2	97.561
ADAMTSL3	84.3931	ADAMTSL3	384.7771
ADAMTSL4	43.6416	ADAMTSL4	1406.2237
removed	removed	ADAMTSL5	58.032
ADAP1	102.7428	ADAP1	146.6442
ADAP2	171.6763	ADAP2	313.709
ADARB1	286.7052	ADARB1	870.0589
ADARB2	5.7803	ADARB2	8.4104
ADAR	27349.422	ADAR	9140.0336
ADAT1	414.1618	ADAT1	308.6627
ADAT2	55.4913	ADAT2	132.4643
ADAT3	12.4277	ADAT3	22.7082
ADA	63.8728	ADA	115.2229
ADCK1	203.7572	ADCK1	198.9066
ADCK2	761.2717	ADCK2	631.6232
ADCK4	830.3468	ADCK4	502.1026
ADCK5	360.6936	ADCK5	94.6173
ADCY1	951.1561	ADCY1	941.5475
ADCY2	10.4046	ADCY2	68.545
ADCY3	943.4653	ADCY3	1465.8957
ADCY4	104.6243	ADCY4	621.9512
ADCY5	1745.0867	ADCY5	672.4138
ADCY6	2245.6647	ADCY6	3565.6013
ADCY7	196.2428	ADCY7	585.7864
ADCY9	1083.237	ADCY9	875.5257
removed	removed	ADCYAP1R1	37.0059
ADC	47.1098	ADC	136.6695
ADD1	5550	ADD1	6616.905
ADD2	17.341	ADD2	59.714
ADD3	854.6243	ADD3	3559.714
ADH1A	9.5376	ADH1A	201.8503
ADH1B	784.3931	ADH1B	23377.2077
removed	removed	ADH1C	375.1051
removed	removed	ADH4	18.5029
ADH5	1054.6243	ADH5	3330.9504
ADHFE1	78.9017	ADHFE1	341.8839
ADI1	1167.6301	ADI1	1788.0572
ADIPOQ	638.4393	ADIPOQ	31914.6341
ADIPOR1	7192.4855	ADIPOR1	2159.3776
ADIPOR2	10821.0983	ADIPOR2	3212.7839
ADK	386.9942	ADK	317.0732
ADM2	37.5723	ADM2	104.7098
ADM	43.0636	ADM	659.3776
ADNP2	827.7457	ADNP2	666.947
ADNP	4265.0289	ADNP	2244.7435
ADORA1	553.7572	ADORA1	346.5097
ADORA2A	78.3237	ADORA2A	66.4424
removed	removed	ADORA2B	56.3499
ADORA3	104.9133	ADORA3	61.3961
ADO	728.9017	ADO	581.5812
ADPGK	810.1532	ADPGK	802.0858
ADPRHL1	162.4277	ADPRHL1	72.7502
ADPRHL2	483.237	ADPRHL2	591.2532
ADPRH	113.2948	ADPRH	504.2052
removed	removed	ADRA1A	66.0219
ADRA1B	6.6474	ADRA1B	63.0782
removed	removed	ADRA1D	7.9899
ADRA2A	146.8208	ADRA2A	2155.1724
removed	removed	ADRA2B	20.185
ADRA2C	73.4104	ADRA2C	90.8326
removed	removed	ADRB1	109.3356
ADRB2	13.8728	ADRB2	352.8175
removed	removed	ADRB3	12.6156
ADRBK1	4658.3815	ADRBK1	1595.0378
ADRBK2	265.0289	ADRBK2	2064.7603
ADRM1	2117.341	ADRM1	1153.4903
ADSL	676.3006	ADSL	695.122
ADSSL1	58.9595	ADSSL1	158.9571
ADSS	2326.8786	ADSS	981.9176
AEBP1	2136.7052	AEBP1	9984.4407
AEBP2	802.6012	AEBP2	674.0959
AEN	310.1156	AEN	457.9479
AES	2261.2717	AES	6834.3146
AFAP1L1	241.9075	AFAP1L1	798.5702
AFAP1L2	76.3006	AFAP1L2	1061.3961
AFAP1	519.6532	AFAP1	1458.7805
AFARP1	8.9595	removed	removed
AFF1	2374.5665	AFF1	2813.2885
AFF2	6.9364	AFF2	98.8225
AFF3	15743.0636	AFF3	1849.4533
AFF4	6540.7514	AFF4	3345.6686
AFG3L1	143.6416	AFG3L1	297.7292
AFG3L2	1058.0029	AFG3L2	1267.3255
AFMID	568.4971	AFMID	499.159
removed	removed	AFP	22.2876
AFTPH	2378.3237	AFTPH	1485.2817
AG2	108.3815	AG2	975.6098
AGAP11	25.1445	AGAP11	175.778
AGAP1	774.5665	AGAP1	427.6703
AGAP2	143.3121	AGAP2	62.4432
AGAP3	1092.4855	AGAP3	1228.3431
