gene_id	TCGA-BH-A18P-01A-11R-A12D-07	gene_id	TCGA-BH-A18P-11A-43R-A12D-07
KRT18	19517.6234	KRT18	3482.4616
KRT19	41576.49	KRT19	3092.1502
removed	removed	KRT1	8.5324
KRT222	86.0569	KRT222	100.256
KRT23	408.6789	KRT23	710.3242
KRT2	5.493	removed	removed
KRT32	32.5918	removed	removed
KRT5	440.1721	KRT5	11722.6962
removed	removed	KRT6A	24.3174
KRT6B	68.8456	KRT6B	1149.744
removed	removed	KRT6C	69.5392
removed	removed	KRT79	84.471
KRT7	18176.6914	KRT7	3421.0751
KRT80	258.9032	KRT80	253.8396
KRT81	4187.8605	KRT81	363.4812
KRT83	13.9156	KRT83	5.1195
KRT86	144.6489	KRT86	14.0785
KRT8	40570.997	KRT8	4384.006
KRTAP5-1	6.5916	removed	removed
KRTAP5-2	12.1761	removed	removed
KRTCAP2	1546.8278	KRTCAP2	1261.5188
KRTCAP3	131.0995	KRTCAP3	126.2799
KSR1	125.2403	KSR1	393.7713
KSR2	64.4512	KSR2	46.0751
KTELC1	307.974	KTELC1	323.8055
KTI12	111.6909	KTI12	114.7611
removed	removed	KTN1	8727.8157
KYNU	67.0146	KYNU	42.6621
removed	removed	KY	153.157
L1CAM	6.9578	L1CAM	66.9795
L1TD1	15.7466	L1TD1	22.6109
L2HGDH	202.1423	L2HGDH	391.2116
L3MBTL2	653.4945	L3MBTL2	654.3473
L3MBTL3	452.6229	L3MBTL3	263.2253
L3MBTL4	12.0846	L3MBTL4	166.8089
L3MBTL	45.4088	L3MBTL	114.7611
LACE1	71.0428	LACE1	70.8191
LACTB2	131.0995	LACTB2	433.4471
LACTB	227.4101	LACTB	227.8157
LAD1	1848.9426	LAD1	300.3413
LAG3	68.8456	LAG3	11.5188
LAGE3	475.6935	LAGE3	140.3584
LAIR1	329.5798	LAIR1	1218.8567
LAMA1	70.3104	LAMA1	87.0307
LAMA2	665.385	LAMA2	2262.372
LAMA3	312.7346	LAMA3	3081.9113
LAMA4	1751.1673	LAMA4	10499.5734
LAMA5	3424.7002	LAMA5	1644.198
LAMB1	3954.5912	LAMB1	8293.5154
LAMB2L	6.2254	LAMB2L	38.8225
LAMB2	4463.6089	LAMB2	6711.6041
removed	removed	LAMB3	2933.8737
LAMC1	8002.9296	LAMC1	11337.4573
LAMC2	752.9067	LAMC2	2496.587
LAMC3	20.5072	LAMC3	71.6724
LAMP1	4496.5669	LAMP1	5751.2799
LAMP2	5601.7578	LAMP2	4223.9761
LAMP3	134.7615	LAMP3	14.9317
LANCL1	2348.0729	LANCL1	2951.7918
LANCL2	705.3007	LANCL2	494.4539
LAP3	1981.1407	LAP3	2114.7611
LAPTM4A	9089.4443	LAPTM4A	7693.686
LAPTM4B	1150.5997	LAPTM4B	1448.3788
LAPTM5	2450.2426	LAPTM5	1406.57
LARGE	1199.3042	LARGE	531.9966
LARP1B	563.9476	LARP1B	365.1877
LARP1	5681.2231	LARP1	4615.1877
LARP4B	1970.8871	LARP4B	1185.5802
LARP4	1800.238	LARP4	1000.4266
LARP6	137.3249	LARP6	1107.5085
LARP7	1369.2209	LARP7	1152.3038
LARS2	658.4272	LARS2	392.9181
LARS	2543.6235	LARS	2291.8089
LAS1L	951.0208	LAS1L	686.8601
removed	removed	LASP1	5569.1126
removed	removed	LASS1	5.3797
LASS2	11818.7311	LASS2	3730.3754
removed	removed	LASS3	7.6792
LASS4	1424.5171	LASS4	726.5358
LASS5	706.7655	LASS5	683.4471
LASS6	4508.5636	LASS6	2034.4411
LAT2	217.5227	LAT2	50.3413
LATS1	872.654	LATS1	682.1672
LATS2	396.9605	LATS2	854.5222
LAT	46.3499	LAT	36.1305
LAX1	22.3382	LAX1	16.2116
LAYN	81.6625	LAYN	255.1195
LBH	1368.8547	LBH	2007.2526
removed	removed	LBP	67.8328
LBR	443.8341	LBR	1055.8874
LBX2	9.8398	removed	removed
LCA5L	76.5358	LCA5L	48.2082
LCA5	570.173	LCA5	503.8396
LCAT	19.079	LCAT	93.9249
LCK	97.4091	LCK	41.3823
LCLAT1	791.7239	LCLAT1	223.1229
LCMT1	450.0595	LCMT1	413.3959
removed	removed	LCMT2	322.099
removed	removed	LCN10	8.5324
LCN2	34.0566	LCN2	54.1809
LCORL	168.9756	LCORL	145.5589
LCOR	340.1446	LCOR	174.5179
LCP1	2043.0285	LCP1	1266.2116
LCP2	308.7064	LCP2	171.0751
LDB1	1979.3097	LDB1	1213.7372
LDB2	166.6209	LDB2	1512.372
LDB3	26.0002	LDB3	97.6962
LDHA	11114.8952	LDHA	9890.785
LDHB	1444.6581	LDHB	13514.0785
LDHD	21.972	LDHD	1383.5324
LDLRAD2	241.2341	LDLRAD2	283.494
LDLRAD3	665.385	LDLRAD3	787.116
LDLRAP1	871.1892	LDLRAP1	630.9727
LDLR	931.246	LDLR	945.8191
LDOC1L	2329.0305	LDOC1L	1111.3481
LDOC1	663.554	LDOC1	635.6655
LEF1	191.1563	LEF1	98.9761
LEFTY1	25.634	LEFTY1	5.1834
LEFTY2	7.6902	LEFTY2	51.6212
LEKR1	15.3804	LEKR1	14.0785
LEMD2	1211.755	LEMD2	610.4949
LEMD3	853.6116	LEMD3	853.2423
LENG1	93.7471	LENG1	116.4676
LENG8	1193.1484	LENG8	2553.3276
LENG9	69.1422	LENG9	71.6724
LEO1	1548.6588	LEO1	411.2628
LEPRE1	661.723	LEPRE1	393.3447
LEPREL1	61.5216	LEPREL1	538.3959
LEPREL2	361.8054	LEPREL2	188.9932
LEPROTL1	931.9784	LEPROTL1	878.8396
LEPROT	694.6517	LEPROT	1659.0444
LEPR	150.5374	LEPR	1315.785
LEP	28.9298	LEP	6592.1502
LETM1	1446.4891	LETM1	1290.529
LETM2	18.6762	LETM2	17.9181
LETMD1	562.4828	LETMD1	2452.2184
LFNG	4173.5787	LFNG	607.9352
LGALS12	32.5918	LGALS12	5014.5051
LGALS1	3285.9105	LGALS1	9901.8771
LGALS2	12.4508	removed	removed
LGALS3BP	5022.0635	LGALS3BP	9076.7918
LGALS3	2349.1715	LGALS3	8124.5734
removed	removed	LGALS4	8.1058
removed	removed	LGALS7	13.6519
LGALS8	5147.692	LGALS8	1331.0196
LGALS9B	16.8452	removed	removed
LGALS9C	35.8876	removed	removed
LGALS9	1887.3936	LGALS9	233.7884
LGI2	77.2681	LGI2	64.8464
LGI4	14.648	LGI4	359.215
LGMN	1367.7561	LGMN	1739.7611
LGR4	1643.1383	LGR4	2526.4505
removed	removed	LGR5	7.2526
LGR6	27.0988	LGR6	681.314
LGTN	1599.5606	LGTN	1742.3208
removed	removed	LHCGR	7.6792
removed	removed	LHFPL1	12.7986
LHFPL2	1538.039	LHFPL2	973.9761
LHFP	414.5381	LHFP	2722.2696
LHPP	232.1706	LHPP	424.9147
LHX2	12.817	removed	removed
LHX4	6.6758	removed	removed
LHX6	23.0706	LHX6	180.4608
LIAS	148.3109	LIAS	415.529
LIFR	370.9604	LIFR	4300.7679
LIF	51.268	LIF	670.2218
LIG1	858.7384	LIG1	304.1809
LIG3	1039.6411	LIG3	418.942
LIG4	511.2149	LIG4	408.7031
LILRA2	28.5636	LILRA2	9.8294
LILRA4	41.7468	LILRA4	10.2389
LILRA5	9.155	removed	removed
LILRA6	56.2117	LILRA6	9.8123
LILRB1	84.2259	LILRB1	23.8908
LILRB2	68.1132	LILRB2	25.1706
LILRB3	53.2821	LILRB3	10.2389
LILRB4	198.8465	LILRB4	37.116
LILRB5	23.4368	LILRB5	88.3106
LIMA1	3429.0946	LIMA1	5873.7201
LIMCH1	3077.5428	LIMCH1	3879.2662
LIMD1	2086.6062	LIMD1	814.2449
LIMD2	138.8227	LIMD2	57.1118
LIME1	31.4163	LIME1	73.0418
LIMK1	865.33	LIMK1	363.0546
LIMK2	2625.2861	LIMK2	1557.1672
LIMS1	569.0744	LIMS1	737.628
LIMS2	157.0997	LIMS2	1116.8942
LIMS3-LOC440895	11.3229	LIMS3-LOC440895	15.1493
removed	removed	LIMS3	17.7005
LIN37	106.5348	LIN37	95.1152
LIN52	203.6071	LIN52	218.8567
LIN54	565.0462	LIN54	350.256
LIN7A	5.1268	LIN7A	148.8908
LIN7B	14.2818	LIN7B	43.942
LIN7C	806.0057	LIN7C	820.3925
LIN9	450.4257	LIN9	135.6655
LINGO1	1518.6304	LINGO1	63.1399
LINGO4	24.9016	LINGO4	18.3447
LINS1	390.0027	LINS1	240.6143
LIPA	1721.1389	LIPA	2755.5461
LIPE	334.3404	LIPE	20385.5461
LIPG	44.6764	LIPG	34.1297
LIPH	134.3953	LIPH	172.3549
removed	removed	LIPK	5.5461
LIPT1	65.1836	LIPT1	132.6578
LIPT2	23.4368	LIPT2	33.4642
LITAF	3783.5759	LITAF	3837.0307
LIX1L	156.7335	LIX1L	1154.4369
LLGL1	837.8651	LLGL1	637.372
LLGL2	1252.4032	LLGL2	363.9078
LLPH	404.2845	LLPH	434.9061
LMAN1	5087.2471	LMAN1	3651.4505
LMAN2L	553.3278	LMAN2L	719.2833
LMAN2	3852.0553	LMAN2	1513.6519
LMBR1L	274.2836	LMBR1L	337.4573
LMBR1	1775.3364	LMBR1	895.9044
LMBRD1	1054.6553	LMBRD1	2248.2935
LMBRD2	352.2842	LMBRD2	320.3925
LMCD1	1424.1509	LMCD1	825.5119
LMF1	208.0015	LMF1	308.4471
LMF2	1058.6835	LMF2	1151.8771
LMLN	483.3837	LMLN	264.0785
LMNA	9111.4163	LMNA	7021.3311
LMNB1	1686.7161	LMNB1	102.3891
LMNB2	1889.5908	LMNB2	348.1229
LMO2	121.5783	LMO2	526.8771
LMO3	94.8457	LMO3	361.7747
LMO4	1531.8136	LMO4	1405.2901
LMO7	1252.7694	LMO7	288.3959
LMOD1	258.537	LMOD1	1978.2423
removed	removed	LMOD3	6.8259
LMTK2	655.4976	LMTK2	411.2628
LMTK3	80.1977	LMTK3	69.5392
removed	removed	LMX1A	8.1058
LMX1B	2706.2162	LMX1B	768.7713
LNP1	69.6329	LNP1	114.4241
LNPEP	528.4263	LNPEP	832.2483
LNX1	884.7386	LNX1	474.4027
LNX2	984.345	LNX2	619.4539
LOC100009676	79.5093	LOC100009676	119.2022
removed	removed	LOC100101266	5.9727
removed	removed	LOC100124692	38.8225
LOC100125556	56.1238	LOC100125556	20.849
LOC100126784	40.7947	LOC100126784	35.7594
LOC100128191	168.9682	LOC100128191	22.8669
LOC100128239	5.493	removed	removed
LOC100128288	37.7186	LOC100128288	64.4198
LOC100128292	10.2536	LOC100128292	14.9317
LOC100128640	17.2114	LOC100128640	69.1126
LOC100128788	23.4368	LOC100128788	11.9454
LOC100128822	123.4093	LOC100128822	141.2116
LOC100128842	26.7326	LOC100128842	15.3584
LOC100129034	2612.1981	LOC100129034	1551.8387
LOC100129387	56.8745	LOC100129387	57.1502
LOC100129534	84.2259	LOC100129534	31.9966
LOC100129550	179.8041	LOC100129550	314.8464
LOC100129637	118.2313	LOC100129637	154.9787
LOC100129716	10.986	LOC100129716	6.8259
removed	removed	LOC100129726	5.9727
LOC100130015	11.9052	LOC100130015	67.5939
LOC100130093	106.1979	LOC100130093	109.343
LOC100130522	12.817	LOC100130522	13.6519
LOC100130557	15.5086	LOC100130557	38.0077
LOC100130581	12.4508	LOC100130581	87.0307
LOC100130691	5.1268	LOC100130691	23.349
LOC100130776	132.048	LOC100130776	137.9266
LOC100130872	114.6205	LOC100130872	44.3686
LOC100130932	63.3526	LOC100130932	31.9966
LOC100130987	6.5916	LOC100130987	10.6655
LOC100131193	34.2543	LOC100131193	33.7031
LOC100131434	12.4618	LOC100131434	43.9974
removed	removed	LOC100131496	8.5324
LOC100131691	12.0077	LOC100131691	24.4923
LOC100132111	10.986	LOC100132111	16.6382
LOC100132215	8.7888	LOC100132215	26.0239
LOC100132247	180.5365	LOC100132247	127.9863
LOC100132287	353.0166	LOC100132287	288.8225
LOC100132288	16.8452	LOC100132288	96.4164
LOC100132707	41.7614	LOC100132707	160.1365
removed	removed	LOC100132832	5.1451
LOC100133161	76.4259	LOC100133161	65.5546
LOC100133331	148.9591	LOC100133331	160.3456
removed	removed	LOC100133545	8.959
LOC100133612	7.6902	removed	removed
LOC100133669	6.2254	LOC100133669	14.5051
LOC100133893	9.8874	removed	removed
removed	removed	LOC100133985	10.2389
LOC100133991	17.5776	LOC100133991	15.3584
LOC100134229	30.3946	LOC100134229	110.0683
removed	removed	LOC100134259	21.7577
LOC100134713	10.986	LOC100134713	8.5367
removed	removed	LOC100134868	7.2526
LOC100144604	18.31	removed	removed
LOC100170939	351.7605	LOC100170939	138.8524
LOC100188947	11.7184	LOC100188947	19.198
removed	removed	LOC100188949	6.8259
LOC100190938	43.944	LOC100190938	354.0956
LOC100190939	76.1696	LOC100190939	232.5085
LOC100190986	265.1286	LOC100190986	192.8328
removed	removed	LOC100192378	52.0478
LOC100216545	55.2962	LOC100216545	52.901
LOC100233209	8.4226	LOC100233209	5.1195
removed	removed	LOC100240735	17.9181
removed	removed	LOC100268168	7.2526
LOC100270710	184.9419	LOC100270710	169.279
LOC100270746	27.8312	LOC100270746	26.0239
LOC100270804	16.1787	LOC100270804	19.198
LOC100271722	19.0424	LOC100271722	56.7406
LOC100271836	489.8142	LOC100271836	417.4659
LOC100272146	11.7184	LOC100272146	22.6109
LOC100272216	29.1568	LOC100272216	10.2389
LOC100272217	10.6198	LOC100272217	15.3584
LOC100272228	17.2114	LOC100272228	36.2628
LOC100286793	481.9189	LOC100286793	149.3174
LOC100286844	15.5415	LOC100286844	37.9565
LOC100288778	134.7615	LOC100288778	190.0043
LOC100289341	26.0002	LOC100289341	44.3686
LOC100302401	10.986	LOC100302401	16.2116
removed	removed	LOC100302640	5.5461
removed	removed	LOC100302650	27.3038
LOC100303728	21.6058	LOC100303728	26.4505
LOC113230	266.5934	LOC113230	52.901
LOC115110	81.8786	LOC115110	66.506
LOC121838	19.4086	LOC121838	10.2389
removed	removed	LOC134466	90.8703
LOC143188	12.0846	LOC143188	20.9044
LOC143666	12.4508	LOC143666	8.5324
LOC144438	812.9635	LOC144438	788.3959
removed	removed	LOC144486	6.8259
LOC144571	19.4342	LOC144571	132.5171
LOC145783	22.2466	LOC145783	55.9812
removed	removed	LOC145820	13.6519
LOC145837	68.4794	LOC145837	13.2253
LOC146880	192.4783	LOC146880	178.8268
LOC147727	232.903	LOC147727	662.5427
LOC147804	116.4515	LOC147804	87.0307
removed	removed	LOC148145	25.1706
LOC148189	39.5496	LOC148189	41.5913
LOC148413	280.791	LOC148413	181.4377
removed	removed	LOC148696	21.9369
LOC148709	8.0564	removed	removed
LOC149134	11.3522	removed	removed
LOC149837	13.9156	LOC149837	105.802
LOC150381	21.2213	LOC150381	86.1561
LOC150622	18.31	removed	removed
LOC150776	542.3418	LOC150776	269.198
LOC150786	78.7329	LOC150786	41.8089
LOC151009	48.3384	LOC151009	37.116
LOC151162	1333.6995	LOC151162	991.8942
LOC151534	239.1761	LOC151534	78.9249
LOC152217	135.1277	LOC152217	179.6075
removed	removed	LOC153328	17.9181
LOC153684	42.113	LOC153684	46.0751
LOC154761	127.7341	LOC154761	55.3925
LOC154822	26.0331	LOC154822	8.4471
LOC158376	8.7888	LOC158376	163.8225
LOC158572	26.0002	LOC158572	34.1297
LOC158696	10.986	LOC158696	16.6382
LOC162632	161.4904	LOC162632	293.4855
LOC200030	1295.3804	LOC200030	988.2381
LOC202181	57.1272	LOC202181	60.5802
LOC202781	150.1419	LOC202781	236.7747
LOC219347	33.7124	LOC219347	71.314
LOC220429	5.1268	removed	removed
LOC220594	148.7613	LOC220594	111.1775
LOC220729	141.7193	LOC220729	151.0239
LOC220930	91.7001	LOC220930	86.8387
LOC221442	19.0424	LOC221442	89.5904
LOC221710	283.4386	LOC221710	315.273
LOC222699	126.3389	LOC222699	49.9147
LOC253039	713.3571	LOC253039	553.7543
LOC253724	19.4086	LOC253724	15.785
LOC254559	71.409	LOC254559	69.1126
removed	removed	LOC257358	11.9454
LOC25845	279.7913	LOC25845	261.1263
LOC282997	23.803	LOC282997	27.7304
LOC283050	17.5776	LOC283050	39.6758
LOC283070	587.3844	LOC283070	145.0512
LOC283174	167.7195	LOC283174	103.2423
LOC283267	180.5365	LOC283267	255.5461
LOC283314	179.3756	LOC283314	42.3422
LOC283392	7.5693	LOC283392	876.7065
LOC283663	17.9438	LOC283663	20.4778
removed	removed	LOC283731	17.0648
LOC283867	14.648	removed	removed
LOC283922	32.958	LOC283922	38.3959
LOC284023	86.4231	LOC284023	82.3379
LOC284232	43.944	LOC284232	29.8635
LOC284233	513.0459	LOC284233	15.785
removed	removed	LOC284276	8.959
LOC284440	40.6482	LOC284440	193.2594
LOC284441	127.0713	LOC284441	61.0068
removed	removed	LOC284578	37.5427
LOC284837	9.8874	LOC284837	29.4369
LOC284900	228.6881	LOC284900	159.8805
LOC285033	45.4234	LOC285033	45.2218
LOC285074	192.9873	LOC285074	214.5904
LOC285359	45.0426	LOC285359	39.2491
LOC285419	13.9156	LOC285419	5.5461
removed	removed	LOC285593	24.744
LOC285830	13.5714	LOC285830	43.366
LOC286367	17.2114	LOC286367	444.1126
LOC286467	53.8314	LOC286467	6.8259
LOC338651	144.5574	LOC338651	6.8259
LOC338758	11.3522	LOC338758	58.4471
LOC338799	173.5787	LOC338799	254.6928
LOC339047	1292.6852	LOC339047	1117.7474
LOC339290	102.1697	LOC339290	1005.5375
LOC339524	32.958	LOC339524	584.0444
LOC339535	5.1268	LOC339535	23.4642
LOC341056	13.1832	LOC341056	8.959
LOC344595	97.7753	LOC344595	248.2935
LOC344967	8.4226	removed	removed
LOC348926	151.6067	LOC348926	51.1945
LOC349114	209.4663	LOC349114	65.6997
LOC349196	6.4378	LOC349196	7.6451
LOC374443	147.5785	LOC374443	156.9966
LOC375190	42.8454	LOC375190	162.5427
LOC387646	79.4653	LOC387646	29.0102
LOC387647	445.8409	LOC387647	577.9608
LOC388152	588.8492	LOC388152	128.8396
LOC388242	5.1268	LOC388242	32.4232
LOC388588	16.479	LOC388588	13.6519
LOC388692	1156.4588	LOC388692	325.5119
LOC388789	351.5518	LOC388789	520.0512
LOC388796	350.4532	LOC388796	218.0034
LOC388955	220.8185	LOC388955	177.0478
removed	removed	LOC389033	12.7986
LOC389333	96.3105	LOC389333	51.6212
LOC389493	63.3526	LOC389493	10.2389
removed	removed	LOC389705	14.0785
removed	removed	LOC390595	6.8259
LOC391322	8.4226	LOC391322	17.9181
LOC399744	91.9161	LOC399744	143.7713
LOC399815	20.141	removed	removed
LOC399959	134.7615	LOC399959	616.041
LOC400027	253.4102	LOC400027	305.4608
LOC400043	67.0146	LOC400043	185.1536
LOC400657	255.2412	LOC400657	237.2014
LOC400696	20.141	removed	removed
LOC400752	10.986	LOC400752	34.9829
LOC400759	39.1834	LOC400759	24.744
LOC400927	9.686	LOC400927	19.6544
LOC400931	20.5072	LOC400931	117.3208
LOC401010	24.9016	LOC401010	20.9044
LOC401052	49.8032	LOC401052	585.7509
LOC401093	22.4078	LOC401093	382.6578
removed	removed	LOC401127	8.1058
LOC401397	537.9475	LOC401397	567.8328
LOC401431	72.903	LOC401431	165.1408
removed	removed	LOC401463	5.5461
LOC401588	32.2256	LOC401588	61.0068
LOC402377	8.4226	LOC402377	13.6519
LOC407835	31.8594	LOC407835	30.2901
removed	removed	LOC440173	8.5324
LOC440354	122.6769	LOC440354	136.0282
LOC440461	5.1268	removed	removed
LOC440563	6.5916	removed	removed
LOC440905	216.0579	LOC440905	42.6621
removed	removed	LOC440925	14.9317
LOC440944	210.9311	LOC440944	222.6962
LOC440957	49.437	LOC440957	114.7611
LOC441046	18.6762	LOC441046	10.6655
LOC441089	165.1561	LOC441089	101.1092
LOC441204	10.2536	LOC441204	69.1126
LOC441208	15.0142	LOC441208	35.8362
LOC441294	80.5639	LOC441294	66.1263
removed	removed	LOC441454	5.1195
LOC441455	5.1268	removed	removed
LOC441666	9.155	LOC441666	76.3652
LOC441869	66.6484	LOC441869	391.6382
removed	removed	LOC442421	19.198
LOC442454	93.0147	LOC442454	226.5358
LOC493754	439.4397	LOC493754	647.6109
LOC541471	255.2412	LOC541471	63.9932
LOC550112	374.2562	LOC550112	195.3925
LOC550643	458.8483	LOC550643	199.6587
removed	removed	LOC554202	20.9044
removed	removed	LOC55908	183.4471
removed	removed	LOC572558	18.3447
LOC595101	108.7613	LOC595101	88.3106
removed	removed	LOC613037	7.2526
LOC619207	5.493	LOC619207	18.7713
LOC641298	263.5173	LOC641298	196.0239
LOC641367	6.9578	removed	removed
LOC642587	46.5074	LOC642587	495.7338
LOC642826	120.6994	LOC642826	121.1007
LOC642846	74.3386	LOC642846	64.8464
LOC642852	463.9751	LOC642852	347.2696
LOC643008	9.155	LOC643008	7.6792
LOC643387	35.1552	LOC643387	27.3038
LOC643677	15.0142	removed	removed
removed	removed	LOC643719	9.3857
removed	removed	LOC643763	5.1195
LOC643837	257.8046	LOC643837	319.5392
LOC644172	19.0424	LOC644172	19.6246
LOC644538	32.958	LOC644538	232.9352
LOC644936	26.3664	LOC644936	13.6519
LOC645166	37.3524	LOC645166	53.7543
LOC645332	86.7893	LOC645332	99.8294
LOC645431	21.3678	LOC645431	10.849
LOC645676	40.8972	LOC645676	27.372
LOC646214	98.1415	LOC646214	116.041
LOC646471	36.4515	LOC646471	49.9445
LOC646762	355.9462	LOC646762	286.2628
LOC646851	128.9023	LOC646851	42.6621
removed	removed	LOC646982	5.5461
LOC646999	24.1692	LOC646999	24.3174
LOC647121	85.6907	LOC647121	20.9044
LOC647288	9.5212	LOC647288	8.959
LOC647859	76.1696	removed	removed
LOC647946	73.24	LOC647946	18.7713
LOC647979	12174.3111	LOC647979	14312.7133
LOC648740	6.5477	LOC648740	31.7321
LOC649330	9.5212	removed	removed
LOC650368	14.2818	LOC650368	217.1502
LOC650623	120.1135	LOC650623	158.7031
LOC651250	2124.3248	LOC651250	2084.471
LOC652276	93.3809	LOC652276	37.9693
LOC653113	38.8172	LOC653113	23.4642
LOC653501	117.5501	LOC653501	340.8703
LOC653566	2163.5082	LOC653566	1104.5222
LOC653653	50.5356	LOC653653	90.8703
removed	removed	LOC653786	7.2526
LOC654342	152.3391	LOC654342	285.4096
LOC654433	13.1832	LOC654433	116.9625
LOC678655	306.7069	LOC678655	226.3695
LOC723972	13.9156	LOC723972	6.8259
LOC727896	23.803	LOC727896	20.0512
LOC728024	20.5072	LOC728024	28.5836
LOC728190	231.8044	LOC728190	255.5461
LOC728264	66.6484	LOC728264	3734.215
LOC728323	864.5976	LOC728323	28.5836
LOC728392	17.2114	LOC728392	69.5392
LOC728554	45.0426	LOC728554	52.901
LOC728606	8.0564	removed	removed
LOC728613	132.5643	LOC728613	185.5802
LOC728640	17.9438	LOC728640	38.3959
LOC728643	68.1132	LOC728643	31.9966
LOC728723	13.5494	LOC728723	55.8874
LOC728743	106.5641	LOC728743	157.8498
LOC728758	22.7044	LOC728758	31.9966
LOC728819	9.155	LOC728819	37.9693
LOC728855	599.8572	LOC728855	156.5529
LOC728875	189.3033	LOC728875	54.6246
removed	removed	LOC728989	7.6792
LOC729020	41.3806	LOC729020	26.4505
LOC729082	777.3212	LOC729082	690.6271
LOC729176	25.2678	LOC729176	46.0751
LOC729234	33.6904	LOC729234	79.3515
LOC729375	65.1762	LOC729375	36.6894
LOC729603	25.2678	LOC729603	20.4778
LOC729678	476.565	LOC729678	658.7329
LOC729799	29.296	LOC729799	17.9181
LOC729991-MEF2B	27.4393	LOC729991-MEF2B	57.5341
LOC729991	265.2019	LOC729991	259.1638
LOC730101	77.6343	LOC730101	109.6416
LOC80054	23.0706	LOC80054	199.6587
LOC80154	474.2287	LOC80154	172.3549
LOC81691	145.0151	LOC81691	137.372
LOC84740	5.8702	removed	removed
removed	removed	LOC84856	9.3857
removed	removed	LOC84989	8.0589
LOC90110	188.5929	LOC90110	346.843
LOC90246	235.8326	LOC90246	32.4232
removed	removed	LOC90586	20.0512
LOC90784	612.6522	LOC90784	176.6212
LOC90834	20.141	LOC90834	27.3038
LOC91316	306.4836	LOC91316	317.5
LOC92249	500.9613	LOC92249	680.8874
LOC92659	124.1417	LOC92659	28.157
LOC92973	70.6766	LOC92973	108.3618
removed	removed	LOC93432	8.1058
LOC93622	271.7202	LOC93622	270.9044
LOC96610	2148.5453	LOC96610	2110.6911
LOH12CR1	83.1273	LOH12CR1	111.7747
LOH12CR2	15.0142	LOH12CR2	62.7133
LOH3CR2A	34.0566	LOH3CR2A	49.4881
LONP1	1265.5864	LONP1	1185.1536
LONP2	1564.4054	LONP2	2424.4881
LONRF1	357.0448	LONRF1	770.4778
LONRF2	299.9176	LONRF2	289.6758
LONRF3	10.6198	LONRF3	107.0819
LOXHD1	5.1268	LOXHD1	28.5836
LOXL1	635.7228	LOXL1	167.2355
LOXL2	1225.2751	LOXL2	924.0401
LOXL3	140.7196	LOXL3	60.1621
LOXL4	50.1694	LOXL4	208.6177
LOX	1213.2198	LOX	400.1706
LPAL2	6.9578	removed	removed
LPAR1	795.0197	LPAR1	325.9386
LPAR2	220.0861	LPAR2	102.8157
removed	removed	LPAR3	9.8123
LPAR4	5.1268	LPAR4	11.9454
LPAR5	73.6062	LPAR5	39.2491
LPAR6	470.9329	LPAR6	1985.0683
LPCAT1	2512.8628	LPCAT1	575.5119
LPCAT2	206.1705	LPCAT2	846.843
LPCAT3	964.9364	LPCAT3	1082.7645
LPCAT4	116.0853	LPCAT4	360.4949
LPGAT1	3648.8144	LPGAT1	3406.57
LPHN1	1444.6581	LPHN1	1577.2184
LPHN2	379.383	LPHN2	2735.9215
LPHN3	9.5212	LPHN3	134.8123
LPIN1	357.411	LPIN1	2419.7952
LPIN2	715.9205	LPIN2	1433.4471
LPIN3	152.7639	LPIN3	361.1519
LPL	549.2996	LPL	79978.6689
LPPR1	13.5494	LPPR1	34.5563
LPPR2	841.8933	LPPR2	278.5836
removed	removed	LPPR3	13.6519
LPPR4	20.141	LPPR4	117.3208
LPP	1043.3031	LPP	1205.2048
LPXN	212.7621	LPXN	155.2901
LQK1	20.141	LQK1	21.7577
LRAT	117.9163	LRAT	69.5392
LRBA	5094.9373	LRBA	2298.2082
removed	removed	LRCH1	866.4676
LRCH2	23.803	LRCH2	111.7747
LRCH3	439.8059	LRCH3	447.099
LRCH4	703.1035	LRCH4	454.3515
LRDD	202.8747	LRDD	149.3174
LRFN1	43.944	LRFN1	44.7952
LRFN3	192.6211	LRFN3	172.7816
LRFN4	116.0853	LRFN4	196.6724
LRFN5	7.6902	LRFN5	48.6348
LRG1	755.1039	LRG1	95.1365
LRGUK	15.3804	removed	removed
LRIG1	2013.9888	LRIG1	10478.7884
LRIG2	210.9311	LRIG2	315.273
LRIG3	331.0446	LRIG3	1164.6758
LRIT3	5.1268	LRIT3	7.6792
LRMP	20.5072	LRMP	199.2321
LRP10	6299.3683	LRP10	4361.7747
LRP11	944.7917	LRP11	1585.7381
LRP12	229.9735	LRP12	318.2594
removed	removed	LRP1B	406.1433
removed	removed	LRP1	29861.3481
LRP2BP	54.1976	LRP2BP	49.4881
LRP2	2145.1982	LRP2	1472.2696
LRP3	835.6679	LRP3	1334.4027
LRP4	53.8314	LRP4	307.9863
LRP5L	114.9867	LRP5L	40.1024
LRP5	740.0897	LRP5	4294.7952
LRP6	1903.1402	LRP6	1572.099
LRP8	89.3527	LRP8	38.3959
LRPAP1	1889.2246	LRPAP1	1759.3857
removed	removed	LRPPRC	5090.0171
LRRC10B	26.0002	LRRC10B	15.785
LRRC14	489.2172	LRRC14	436.8942
LRRC15	4046.1412	LRRC15	66.5529
LRRC16A	1257.8962	LRRC16A	445.8191
LRRC16B	6.9578	LRRC16B	5.1195
LRRC17	313.467	LRRC17	148.0375
LRRC1	1008.1479	LRRC1	309.3003
