gene_id	TCGA-BH-A18P-01A-11R-A12D-07	gene_id	TCGA-BH-A18P-11A-43R-A12D-07
ADAMTS6	69.2118	ADAMTS6	5.1195
ADAMTS7	154.5363	ADAMTS7	87.884
removed	removed	ADAMTS8	16.6382
ADAMTS9	208.7339	ADAMTS9	733.3618
ADAMTSL1	71.409	ADAMTSL1	169.7952
ADAMTSL2	168.4519	ADAMTSL2	51.1945
ADAMTSL3	83.4935	ADAMTSL3	214.1638
ADAMTSL4	87.1555	ADAMTSL4	868.1741
ADAMTSL5	10.2536	ADAMTSL5	17.9181
ADAP1	237.2315	ADAP1	71.4633
ADAP2	204.3395	ADAP2	149.3174
ADARB1	327.0164	ADARB1	1046.9283
ADAR	14111.1416	ADAR	6061.8601
ADAT1	323.3544	ADAT1	343.43
ADAT2	71.409	ADAT2	100.256
ADAT3	17.9438	ADAT3	14.9317
ADA	47.606	ADA	101.5358
ADCK1	147.5785	ADCK1	106.2287
ADCK2	671.6104	ADCK2	670.2218
ADCK4	337.27	ADCK4	358.3618
ADCK5	73.24	ADCK5	71.2457
ADCY1	308.3402	ADCY1	161.2628
ADCY2	12.817	ADCY2	126.7065
ADCY3	470.0613	ADCY3	1655.3114
ADCY4	212.7621	ADCY4	425.3413
ADCY5	239.8608	ADCY5	907.4232
ADCY6	2445.1158	ADCY6	5225.256
removed	removed	ADCY7	191.9795
ADCY9	339.8334	ADCY9	743.6007
removed	removed	ADCYAP1R1	118.1741
ADCYAP1	12.817	ADCYAP1	20.0512
ADC	99.9725	ADC	88.3106
ADD1	4786.5971	ADD1	7304.1809
ADD2	22.7044	ADD2	48.6348
ADD3	962.0068	ADD3	2680.8874
ADH1A	9.5212	ADH1A	1118.5367
ADH1B	1083.5851	ADH1B	130019.198
ADH1C	6.2254	ADH1C	959.8976
removed	removed	ADH4	15.785
ADH5	1769.4772	ADH5	5748.7201
ADHFE1	15.0142	ADHFE1	831.9113
ADI1	1443.5595	ADI1	1956.058
ADIPOQ	813.3297	ADIPOQ	97760.2389
ADIPOR1	4628.765	ADIPOR1	2513.2253
ADIPOR2	1833.5622	ADIPOR2	5113.0546
ADK	202.1423	ADK	391.2116
ADM2	563.2152	ADM2	28.157
ADM	49.8032	ADM	672.7816
ADNP2	1042.5707	ADNP2	716.7235
ADNP	5780.097	ADNP	2830.2048
ADORA1	48.7046	ADORA1	519.6246
ADORA2A	66.2822	ADORA2A	52.0435
ADORA2B	15.3804	ADORA2B	51.1945
ADORA3	131.8319	ADORA3	27.7304
ADO	738.6249	ADO	567.8328
ADPGK	920.8093	ADPGK	700.4181
ADPRHL1	53.8314	ADPRHL1	71.2457
ADPRHL2	506.0881	ADPRHL2	377.5597
ADPRH	131.8319	ADPRH	382.6792
removed	removed	ADRA1A	156.57
ADRA1B	18.6762	ADRA1B	49.4881
ADRA2A	126.7051	ADRA2A	1743.1741
ADRA2B	7.324	ADRA2B	46.5017
ADRA2C	38.8172	ADRA2C	36.2628
removed	removed	ADRB1	172.3549
ADRB2	15.7466	ADRB2	500
removed	removed	ADRB3	28.157
ADRBK1	1148.7687	ADRBK1	1365.6143
ADRBK2	1022.4297	ADRBK2	5738.0546
ADRM1	1163.0504	ADRM1	987.2014
ADSL	944.7954	ADSL	682.5939
ADSSL1	68.8456	ADSSL1	372.8669
ADSS	3105.7402	ADSS	1040.1024
AEBP1	14275.5653	AEBP1	4741.4676
AEBP2	708.2303	AEBP2	788.8225
AEN	415.6367	AEN	290.529
AES	5528.884	AES	4837.884
AFAP1L1	158.1983	AFAP1L1	1360.4949
AFAP1L2	181.2689	AFAP1L2	829.3515
AFAP1	1827.3258	AFAP1	1465.4394
AFF1	3219.2621	AFF1	3457.7645
AFF2	283.4386	AFF2	77.6451
AFF3	1132.6559	AFF3	1416.3823
AFF4	5685.6175	AFF4	3733.7884
AFG3L1	247.9172	AFG3L1	153.5836
AFG3L2	1704.4841	AFG3L2	1345.4522
AFMID	235.8326	AFMID	290.1024
removed	removed	AFP	241.041
AFTPH	2552.0461	AFTPH	1540.1024
AG2	127.0713	AG2	293.0887
AGAP11	23.0706	AGAP11	396.3396
AGAP1	1055.0215	AGAP1	482.5085
AGAP2	41.5307	AGAP2	102.2611
AGAP3	1262.6568	AGAP3	1354.9488
AGAP4	150.5081	AGAP4	186.8601
AGAP5	48.5032	AGAP5	59.4113
AGAP6	108.0289	AGAP6	78.9249
removed	removed	AGAP7	7.6792
AGAP8	58.592	AGAP8	48.2082
AGA	451.1581	AGA	369.8805
