gene_id	TCGA-E9-A1ND-01A-11R-A144-07	gene_id	TCGA-E9-A1ND-11A-43R-A144-07
NUDT14	414.7905	NUDT14	544.4119
NUDT15	673.0901	NUDT15	362.6412
NUDT16L1	344.8259	NUDT16L1	400.2032
NUDT16P1	30.4846	NUDT16P1	76.4596
NUDT16	696.1484	NUDT16	899.6104
NUDT17	16.4917	NUDT17	62.9098
NUDT18	241.8779	NUDT18	263.2534
NUDT19	679.157	NUDT19	401.655
NUDT1	382.8067	NUDT1	339.2291
NUDT21	1591.1964	NUDT21	1351.1094
NUDT22	268.1096	NUDT22	442.527
NUDT2	183.4074	NUDT2	369.2323
NUDT3	1024.4826	NUDT3	418.5923
NUDT4	585.7042	NUDT4	702.6543
NUDT5	754.1292	NUDT5	624.167
NUDT6	33.2982	NUDT6	124.2179
NUDT7	72.4634	NUDT7	149.5318
NUDT8	139.9293	NUDT8	151.9514
NUDT9	368.314	NUDT9	609.7413
NUF2	330.3332	NUF2	44.5208
NUFIP1	261.8678	NUFIP1	185.342
NUFIP2	2465.255	NUFIP2	1309.976
NUMA1	5408.6137	NUMA1	8789.7215
NUMBL	331.3327	NUMBL	851.7022
NUMB	1841.0703	NUMB	1656.9479
NUP107	985.0026	NUP107	589.9006
NUP133	914.0384	NUP133	1009.9446
NUP153	1806.0879	NUP153	729.27
NUP155	531.2317	NUP155	254.0589
NUP160	1219.3842	NUP160	722.979
NUP188	1285.8506	NUP188	1210.7721
NUP205	2222.8774	NUP205	677.4904
NUP210	3540.2122	NUP210	859.4449
NUP214	1746.1182	NUP214	1568.8742
NUP35	355.3206	NUP35	202.2793
NUP37	480.7572	NUP37	277.2871
NUP43	403.2963	NUP43	488.7609
NUP50	1264.8612	NUP50	919.4512
NUP54	654.1696	NUP54	719.1076
NUP62CL	26.9864	NUP62CL	11.6141
NUP62	1943.1387	NUP62	1447.4437
NUP85	808.5917	NUP85	790.2441
NUP88	754.8938	NUP88	631.9098
NUP93	1114.937	NUP93	856.5414
NUP98	2361.3075	NUP98	1758.5715
NUPL1	1104.4423	NUPL1	558.9296
NUPL2	551.7214	NUPL2	367.2966
NUPR1	1471.7568	NUPR1	4323.3565
NUS1	1521.7315	NUS1	974.6183
NUSAP1	1058.9652	NUSAP1	221.6361
NUTF2	1656.1636	NUTF2	1691.3063
NVL	387.8042	NVL	400.6872
NWD1	56.4715	NWD1	21.2926
NXF1	1123.4327	NXF1	1952.6241
removed	removed	NXF3	21.7765
removed	removed	NXNL1	13.5498
removed	removed	NXNL2	6.291
NXN	654.6694	NXN	805.2457
NXPH2	15.4922	removed	removed
NXPH3	18.9904	NXPH3	342.6166
NXPH4	259.369	NXPH4	28.5514
NXT1	642.1757	NXT1	293.7405
NXT2	506.2443	NXT2	233.2503
NYNRIN	2493.2409	NYNRIN	1152.7015
OAF	546.2242	OAF	2821.2635
OAS1	3136.4161	OAS1	1081.0811
OAS2	10219.3392	OAS2	1092.6952
OAS3	10220.3387	OAS3	1231.0968
OASL	3262.3525	OASL	157.2746
OAT	2530.2222	OAT	3137.2644
OAZ1	5796.073	OAZ1	14914.9508
OAZ2	1648.6674	OAZ2	2615.5968
OAZ3	405.5252	OAZ3	37.9395
OBFC1	411.2923	OBFC1	700.2347
OBFC2A	403.7961	OBFC2A	722.979
OBFC2B	616.1888	OBFC2B	556.026
removed	removed	OBP2A	5.8071
removed	removed	OBP2B	66.2973
OBSCN	61.9687	OBSCN	640.7123
OBSL1	1369.8082	OBSL1	1874.2287
removed	removed	OCA2	5.8071
OCEL1	168.415	OCEL1	393.9123
OCIAD1	1937.0218	OCIAD1	2390.0893
OCIAD2	912.5392	OCIAD2	414.237
OCLN	287.3549	OCLN	57.1028
removed	removed	OCM	5.3231
OCRL	1187.4004	OCRL	751.0465
removed	removed	ODAM	8.2267
ODC1	1075.4569	ODC1	1132.8607
ODF2L	393.8011	ODF2L	399.7193
ODF2	1101.9435	ODF2	664.9084
ODF3B	186.4059	ODF3B	320.8401
removed	removed	ODF3L1	20.8086
removed	removed	ODF3L2	15.4855
removed	removed	ODZ1	80.331
ODZ2	18.4907	ODZ2	176.1475
ODZ3	251.8728	ODZ3	358.1021
ODZ4	269.8637	ODZ4	331.4864
OFD1	905.5427	OFD1	645.5515
OGDH	3035.4671	OGDH	3202.5938
OGFOD1	925.5326	OGFOD1	728.7861
OGFOD2	223.6621	OGFOD2	312.1827
OGFRL1	1509.2378	OGFRL1	426.8189
OGFR	1637.4731	OGFR	1547.0009
OGG1	288.3544	OGG1	417.1405
removed	removed	OGN	2426.8673
OGT	2820.5756	OGT	2412.3497
OIP5	77.4609	OIP5	26.3786
OLA1	3544.2102	OLA1	1370.4663
OLAH	61.9687	OLAH	5.3231
OLFM1	149.4245	OLFM1	613.6127
OLFM2	760.6159	OLFM2	537.1531
OLFM4	407.2943	OLFM4	1775.5087
OLFML1	200.3988	OLFML1	1048.1744
OLFML2A	214.3917	OLFML2A	2451.0634
OLFML2B	1416.2848	OLFML2B	1451.7651
OLFML3	1721.6306	OLFML3	3316.3154
OLR1	563.2156	OLR1	56.6188
removed	removed	OMA1	303.4189
OMD	32.9833	OMD	429.2385
ONECUT2	40.4796	removed	removed
removed	removed	OOEP	11.1834
OPA1	2039.9698	OPA1	977.0379
OPA3	907.0419	OPA3	512.957
removed	removed	OPCML	12.582
removed	removed	OPHN1	240.5091
OPLAH	248.8743	OPLAH	468.9201
OPN3	1016.9814	OPN3	566.7352
OPRK1	111.4437	removed	removed
OPRL1	40.9793	OPRL1	149.0479
OPTN	3031.4691	OPTN	3361.8041
OR1F1	9.995	removed	removed
removed	removed	OR2A1	8.2267
OR2A4	95.9515	OR2A4	36.778
OR2A7	282.3574	OR2A7	94.8487
OR2A9P	114.4422	OR2A9P	488.7609
OR51E1	20.9894	OR51E1	129.2071
removed	removed	OR51E2	5.8071
OR7A5	41.9788	removed	removed
ORAI1	795.0985	ORAI1	617.4841
ORAI2	1184.157	ORAI2	689.7046
ORAI3	436.2797	ORAI3	800.4065
ORAOV1	270.3635	ORAOV1	277.7711
ORC1L	350.3231	ORC1L	46.4565
ORC2L	538.7279	ORC2L	260.3499
ORC3L	493.7507	ORC3L	433.5938
ORC4L	561.7163	ORC4L	423.4315
ORC5L	659.6669	ORC5L	319.3883
ORC6L	253.8718	ORC6L	46.9404
ORM1	15059.5449	removed	removed
ORM2	4056.3016	ORM2	6.7749
ORMDL1	870.5604	ORMDL1	659.1014
ORMDL2	671.9357	ORMDL2	605.8167
ORMDL3	1172.4079	ORMDL3	3865.0826
OS9	6251.3431	OS9	10923.5646
OSBP2	144.4271	OSBP2	174.2118
OSBPL10	294.8511	OSBPL10	395.848
OSBPL11	576.7088	OSBPL11	558.4456
OSBPL1A	774.1091	OSBPL1A	1729.0522
OSBPL2	972.5089	OSBPL2	1071.4026
OSBPL3	710.1414	OSBPL3	303.9028
OSBPL5	477.7587	OSBPL5	835.2489
OSBPL6	82.4584	OSBPL6	58.5545
OSBPL7	131.9334	OSBPL7	296.1601
OSBPL8	867.5619	OSBPL8	850.7344
OSBPL9	1358.3141	OSBPL9	1666.6263
OSBP	1801.0904	OSBP	1538.871
OSCAR	295.8506	OSCAR	392.9444
OSCP1	88.4553	OSCP1	190.6652
OSGEPL1	173.9122	OSGEPL1	146.6283
OSGEP	365.8153	OSGEP	562.8009
OSGIN1	428.7835	OSGIN1	305.8385
OSGIN2	1224.3817	OSGIN2	577.3186
OSMR	2418.2788	OSMR	424.8833
OSM	73.4629	OSM	18.8729
OSR1	108.4452	OSR1	683.7814
OSR2	113.4427	OSR2	608.7735
OST4	1765.5984	OST4	2440.8962
removed	removed	OSTCL	6.291
OSTC	1952.0142	OSTC	1408.6961
OSTF1	1496.7441	OSTF1	1275.6176
OSTM1	679.6568	OSTM1	837.1845
OSTalpha	23.4881	OSTalpha	21.2926
OTOA	6.9965	OTOA	178.5671
OTOF	22.4886	removed	removed
OTUB1	1644.1697	OTUB1	1858.7433
OTUB2	246.8753	OTUB2	64.3616
OTUD1	195.4013	OTUD1	538.1209
OTUD3	101.4488	OTUD3	261.8016
OTUD4	1247.8698	OTUD4	613.1288
OTUD5	1357.8143	OTUD5	1711.6311
OTUD6B	248.3746	OTUD6B	129.2071
OTUD7A	8.9955	OTUD7A	13.5498
OTUD7B	789.1015	OTUD7B	731.2057
OTX1	38.9803	removed	removed
OVCA2	504.5152	OVCA2	575.4797
OVGP1	26.4866	OVGP1	54.1992
OVOL1	750.1212	OVOL1	43.069
OVOL2	88.4553	OVOL2	76.4596
OXA1L	2239.3691	OXA1L	2694.96
OXCT1	860.5654	OXCT1	880.7375
OXCT2	6.4967	OXCT2	6.291
OXER1	19.9899	OXER1	134.5302
OXGR1	35.9818	OXGR1	36.778
OXNAD1	212.3927	OXNAD1	160.662
OXR1	909.5407	OXR1	693.9437
OXSM	197.4003	OXSM	185.8259
OXSR1	1796.093	OXSR1	999.2983
OXTR	14.9924	OXTR	2097.8006
P2RX1	25.4871	P2RX1	183.8902
P2RX2	18.9904	removed	removed
P2RX4	802.5947	P2RX4	1307.0725
P2RX5	58.3305	P2RX5	30.008
removed	removed	P2RX6	67.2651
P2RX7	110.4442	P2RX7	88.5577
P2RY10	61.9687	P2RY10	14.5177
P2RY11	238.1098	P2RY11	185.6517
P2RY12	20.4897	P2RY12	142.273
P2RY13	99.4498	P2RY13	214.8612
P2RY14	30.4846	P2RY14	118.5608
P2RY1	22.4886	P2RY1	18.8729
P2RY2	571.7113	P2RY2	64.8455
P2RY6	608.1929	P2RY6	95.3326
P2RY8	165.4165	P2RY8	171.3083
P4HA1	1477.7537	P4HA1	908.805
P4HA2	1619.6821	P4HA2	1083.5007
P4HA3	27.9859	P4HA3	166.4691
P4HB	32558.5579	P4HB	19599.7968
P4HTM	332.3322	P4HTM	577.3186
P704P	30.4846	P704P	17.9051
PA2G4P4	44.9773	PA2G4P4	34.8424
PA2G4	2753.1097	PA2G4	3090.324
PAAF1	492.7512	PAAF1	474.2433
PABPC1L	140.4291	PABPC1L	173.7279
PABPC1	29622.0409	PABPC1	21627.4287
PABPC3	338.8289	PABPC3	152.4353
PABPC4L	62.4685	PABPC4L	38.7137
PABPC4	4043.4581	PABPC4	4186.4066
PABPC5	5.4972	PABPC5	32.9067
PABPN1	2738.4521	PABPN1	2638.2008
PACRGL	142.4281	PACRGL	182.4385
PACRG	189.9041	PACRG	21.2926
PACS1	2508.2333	PACS1	2617.0486
PACS2	1786.5978	PACS2	2261.3661
PACSIN1	25.4871	PACSIN1	30.0031
PACSIN2	637.1782	PACSIN2	1019.623
PACSIN3	456.7693	PACSIN3	665.3923
PADI1	41.4791	removed	removed
PADI2	2400.2879	PADI2	1665.1746
PADI3	10.4947	removed	removed
PAEP	7.4962	removed	removed
PAF1	1591.6962	PAF1	1796.8013
PAFAH1B1	2571.2015	PAFAH1B1	3111.6165
PAFAH1B2	494.7502	PAFAH1B2	161.1459
PAFAH1B3	764.1941	PAFAH1B3	352.295
PAFAH2	242.8773	PAFAH2	444.724
PAG1	496.2494	PAG1	139.8534
PAICS	2569.7023	PAICS	1379.1768
PAIP1	1018.9854	PAIP1	905.9014
PAIP2B	158.9197	PAIP2B	124.1646
PAIP2	1366.31	PAIP2	1847.1291
PAK1IP1	1667.1581	PAK1IP1	322.2919
PAK1	1742.62	PAK1	1261.5839
PAK2	2411.7821	PAK2	1946.3331
removed	removed	PAK3	12.582
PAK4	2067.9557	PAK4	894.2873
PAK6	143.1777	PAK6	147.8187
removed	removed	PAK7	24.68
PALB2	358.8188	PALB2	252.1232
PALLD	3742.61	PALLD	4825.6672
PALM2-AKAP2	1693.2899	PALM2-AKAP2	2714.3265
PALM2	200.8985	PALM2	36.1441
PALM3	16.9914	PALM3	51.2957
PALMD	1896.0425	PALMD	3900.8928
PALM	59.9697	PALM	3561.6637
PAMR1	22.4886	PAMR1	2066.8296
PAM	3508.2283	PAM	5365.7238
PAN2	297.3498	PAN2	692.9759
PAN3	876.0576	PAN3	757.3375
PANK1	94.4523	PANK1	50.3279
PANK2	550.2221	PANK2	579.2543
PANK3	379.8082	PANK3	174.2118
PANK4	339.3286	PANK4	442.7884
PANX1	457.2691	PANX1	247.284
PANX2	103.9475	PANX2	40.6494
PAOX	123.4377	PAOX	219.2165
PAPD4	931.0298	PAPD4	1092.6952
PAPD5	353.8213	PAPD5	265.1891
PAPD7	581.7062	PAPD7	730.7218
PAPLN	101.4488	PAPLN	825.0865
PAPL	115.9414	removed	removed
PAPOLA	4314.3213	PAPOLA	2328.1473
PAPOLG	330.3332	PAPOLG	222.604
removed	removed	PAPPA2	15.0016
PAPPA	438.7784	PAPPA	35.8102
PAPSS1	1757.1127	PAPSS1	1920.2013
PAPSS2	506.7441	PAPSS2	1143.9909
PAQR3	183.9121	PAQR3	162.5977
PAQR4	795.7182	PAQR4	475.2982
PAQR5	89.9546	PAQR5	135.0142
PAQR6	13.9929	PAQR6	74.5239
PAQR7	251.3731	PAQR7	570.5437
PAQR8	200.8985	PAQR8	311.1617
PAR-SN	6.9965	PAR-SN	61.942
PARD3B	9.995	PARD3B	41.1333
PARD3	784.6038	PARD3	691.0402
PARD6A	34.9823	PARD6A	93.3969
PARD6B	141.9283	PARD6B	65.8134
PARD6G	119.9394	PARD6G	236.1538
PARG	354.3211	PARG	309.7099
PARK2	11.9939	PARK2	123.4
PARK7	4424.2657	PARK7	4454.0153
PARL	1135.4266	PARL	1101.8897
PARM1	385.3054	PARM1	1465.3149
PARN	971.0096	PARN	969.7791
PARP10	2053.9627	PARP10	1644.3659
PARP11	523.7355	PARP11	240.5091
PARP12	2739.6165	PARP12	886.5446
PARP14	6602.1659	PARP14	1604.2004
PARP15	35.9818	PARP15	31.4549
PARP16	281.8577	PARP16	318.4205
PARP1	3243.8618	PARP1	2799.0031
PARP2	675.6588	PARP2	445.208
PARP3	410.7925	PARP3	753.95
PARP4	2162.9077	PARP4	1609.0397
PARP6	1138.9248	PARP6	931.5493
PARP8	393.8011	PARP8	275.3514
PARP9	3594.8046	PARP9	1147.8623
PARS2	299.8486	PARS2	141.3051
removed	removed	PART1	34.8424
PARVA	1312.3373	PARVA	2609.7897
PARVB	455.2701	PARVB	1203.0293
PARVG	479.258	PARVG	1143.0231
PASK	217.3902	PASK	141.3051
PATL1	1920.5301	PATL1	803.7939
PATL2	33.4831	PATL2	23.2282
PATZ1	693.6497	PATZ1	1213.6756
PAWR	207.895	PAWR	90.4934
removed	removed	PAX3	9.6784
PAX6	58.9702	PAX6	44.0369
PAX8	48.9753	PAX8	216.7969
removed	removed	PAX9	34.8424
PAXIP1	346.4151	PAXIP1	234.5665
PBK	297.3498	PBK	47.4243
PBLD	74.9621	PBLD	184.3742
PBRM1	1507.2388	PBRM1	1037.0442
PBX1	1259.8638	PBX1	1753.2483
PBX2	1866.5574	PBX2	1239.8074
PBX3	637.678	PBX3	606.8378
PBX4	19.9899	PBX4	28.0675
PBXIP1	2120.9289	PBXIP1	5235.5489
PCBD1	681.156	PCBD1	1142.0552
PCBD2	128.4351	PCBD2	259.382
PCBP1	6909.0109	PCBP1	8420.2376
PCBP2	6527.4986	PCBP2	11712.1053
PCBP3	198.8996	PCBP3	94.8487
PCBP4	631.1813	PCBP4	769.4355
PCCA	368.4489	PCCA	563.5801
PCCB	1473.6358	PCCB	1197.0094
removed	removed	PCDH10	5.3231
removed	removed	PCDH11X	9.1945
PCDH12	261.368	PCDH12	722.0112
PCDH17	220.8885	PCDH17	39.1977
PCDH18	313.8415	PCDH18	1109.6325
PCDH19	69.4649	PCDH19	119.0447
PCDH1	1143.9223	PCDH1	1194.3188
removed	removed	PCDH20	15.9694
PCDH7	495.7496	PCDH7	242.4448
PCDH8	16.9914	removed	removed
PCDH9	164.9167	PCDH9	136.9498
removed	removed	PCDHA10	66.4376
PCDHA11	140.8439	PCDHA11	10.2833
PCDHA12	123.4776	PCDHA12	7.225
PCDHA1	81.9486	PCDHA1	12.461
PCDHA2	20.9294	PCDHA2	6.291
PCDHA3	15.9969	PCDHA3	48.2712
PCDHA4	556.6439	PCDHA4	13.9224
removed	removed	PCDHA5	13.1627
removed	removed	PCDHA6	32.6889
PCDHA7	8.8655	PCDHA7	24.6703
PCDHA8	15.9969	removed	removed
PCDHAC1	12.1139	PCDHAC1	9.5381
PCDHAC2	6.3168	PCDHAC2	16.7534
PCDHB10	111.9435	PCDHB10	94.8487
removed	removed	PCDHB11	26.6157
PCDHB12	10.4947	PCDHB12	50.8118
PCDHB13	22.9884	PCDHB13	34.8424
PCDHB14	48.4755	PCDHB14	142.273
PCDHB15	11.4942	PCDHB15	54.1992
PCDHB16	102.4483	PCDHB16	168.4048
removed	removed	PCDHB18	9.6784
PCDHB2	29.9849	PCDHB2	53.7153
PCDHB3	310.843	PCDHB3	36.2941
PCDHB4	67.4659	PCDHB4	158.7263
PCDHB5	7.996	PCDHB5	109.8502
PCDHB6	7.4962	PCDHB6	61.942
PCDHB7	62.9682	PCDHB7	88.5577
PCDHB8	149.4245	PCDHB8	28.0675
PCDHB9	182.4079	PCDHB9	65.3294
PCDHGA10	144.6869	PCDHGA10	73.319
PCDHGA11	15.0574	PCDHGA11	21.6168
PCDHGA12	48.7704	PCDHGA12	36.778
PCDHGA1	37.9808	PCDHGA1	8.7106
PCDHGA2	12.4937	PCDHGA2	62.7888
PCDHGA3	13.4582	PCDHGA3	30.942
PCDHGA4	49.475	PCDHGA4	58.4868
PCDHGA5	200.4338	PCDHGA5	13.5498
PCDHGA6	12.9934	PCDHGA6	23.7122
PCDHGA7	13.1034	PCDHGA7	30.608
PCDHGA8	17.9909	PCDHGA8	8.7106
PCDHGA9	15.4922	PCDHGA9	65.6779
PCDHGB1	414.4257	PCDHGB1	27.3174
PCDHGB2	404.3558	PCDHGB2	17.4212
removed	removed	PCDHGB3	8.2267
PCDHGB4	304.0365	PCDHGB4	31.4549
PCDHGB5	351.1777	PCDHGB5	89.6659
PCDHGB6	21.4891	PCDHGB6	50.3279
PCDHGB7	58.1706	PCDHGB7	264.2454
PCDHGC3	2136.2462	PCDHGC3	3494.8196
PCDHGC4	11.4942	removed	removed
PCDHGC5	16.4917	PCDHGC5	9.9881
PCF11	1231.3782	PCF11	1027.8497
PCGF1	313.8415	PCGF1	255.0267
PCGF2	590.2919	PCGF2	685.2428
PCGF3	1079.4549	PCGF3	1028.8175
PCGF5	1047.9708	PCGF5	890.4159
PCGF6	143.9273	PCGF6	180.5028
PCID2	698.6472	PCID2	714.7524
PCIF1	1012.9884	PCIF1	1243.6788
removed	removed	PCK1	936.3885
PCK2	1144.9218	PCK2	1292.0709
PCLO	640.1767	PCLO	137.9177
PCM1	1869.5559	PCM1	2352.8273
PCMT1	922.0344	PCMT1	1373.3698
PCMTD1	1109.9395	PCMTD1	1242.227
PCMTD2	693.15	PCMTD2	1038.496
PCNA	4059.45	PCNA	1422.2459
PCNP	3341.3126	PCNP	1820.5134
PCNT	606.6936	PCNT	739.4324
PCNXL2	228.3847	PCNXL2	236.6377
PCNXL3	1733.6245	PCNXL3	1320.6223
PCNX	1236.3756	PCNX	1068.4991
PCOLCE2	5.997	PCOLCE2	3953.1564
PCOLCE	1982.4938	PCOLCE	6820.3102
PCOTH	26.6465	PCOTH	26.0253
removed	removed	PCP2	13.0659
PCP4L1	399.2984	PCP4L1	28.5514
PCSK1N	408.7936	PCSK1N	15.0016
PCSK1	23.9879	removed	removed
PCSK4	15.9919	PCSK4	26.1318
PCSK5	328.3342	PCSK5	234.702
PCSK6	178.9097	PCSK6	637.8088
PCSK7	1505.5597	PCSK7	995.2527
PCSK9	54.4725	removed	removed
PCTP	398.7986	PCTP	498.4394
PCYOX1L	258.8693	PCYOX1L	300.0315
PCYOX1	2194.3918	PCYOX1	3461.008
PCYT1A	499.7476	PCYT1A	354.2307
PCYT1B	7.4962	PCYT1B	22.7443
PCYT2	616.6886	PCYT2	605.87
PC	1142.9228	PC	2631.0823
PDAP1	3383.7912	PDAP1	2154.9033
PDCD10	591.2014	PDCD10	607.8057
PDCD11	1101.4438	PDCD11	961.5524
PDCD1LG2	269.364	PDCD1LG2	148.08
PDCD1	241.8779	PDCD1	16.4533
PDCD2L	144.4271	PDCD2L	137.4338
PDCD2	871.5599	PDCD2	694.9116
PDCD4	1756.5429	PDCD4	4425.5365
PDCD5	1023.9829	PDCD5	698.299
PDCD6IP	3504.7301	PDCD6IP	3035.6408
PDCD6	1328.8289	PDCD6	1565.4867
PDCD7	470.2625	PDCD7	575.8668
PDCL3	553.2206	PDCL3	383.7499
PDCL	601.6961	PDCL	413.7531
PDDC1	540.2272	PDDC1	1391.7588
PDE10A	47.9758	PDE10A	101.6236
PDE11A	30.9844	PDE11A	208.5703
PDE12	782.6048	PDE12	383.266
PDE1A	10.4947	PDE1A	127.7553
PDE1B	101.4488	PDE1B	565.2205
PDE1C	63.9677	PDE1C	45.0047
PDE2A	40.9793	PDE2A	2042.6335
PDE3A	25.4871	PDE3A	29.0353
PDE3B	46.4765	PDE3B	870.5751
PDE4A	260.8683	PDE4A	649.4229
PDE4B	535.2297	PDE4B	550.219
removed	removed	PDE4C	14.0337
PDE4DIP	1822.5796	PDE4DIP	2238.1379
PDE4D	83.9576	PDE4D	117.0268
PDE5A	84.9171	PDE5A	466.0166
PDE6B	26.4866	PDE6B	116.6251
PDE6D	379.8082	PDE6D	325.1954
PDE6G	15.9919	PDE6G	39.1977
PDE7A	1883.0491	PDE7A	586.0292
PDE7B	57.9707	PDE7B	145.6604
PDE8A	285.8556	PDE8A	827.0222
PDE8B	10.9944	PDE8B	233.2503
PDE9A	321.3377	PDE9A	472.3076
PDF	168.7298	PDF	130.8379
PDGFA	320.838	PDGFA	975.5862
PDGFB	439.2782	PDGFB	1274.1658
PDGFC	682.6553	PDGFC	743.3037
PDGFD	74.9621	PDGFD	1171.5744
PDGFRA	1355.3705	PDGFRA	2776.0943
PDGFRB	2169.4045	PDGFRB	7441.264
PDGFRL	201.898	PDGFRL	2190.7135
PDHA1	2968.5009	PDHA1	1515.9234
PDHB	1079.9546	PDHB	1384.0161
PDHX	646.7134	PDHX	498.7539
removed	removed	PDIA2	15.6065
PDIA3P	3928.5161	PDIA3P	1980.2076
PDIA3	14385.6403	PDIA3	8011.7738
PDIA4	6610.6616	PDIA4	3310.9923
PDIA5	380.8077	PDIA5	574.899
PDIA6	11079.9796	PDIA6	5702.4849
PDIK1L	275.8607	PDIK1L	229.3789
PDK1	1330.3282	PDK1	254.0589
PDK2	915.0379	PDK2	1567.9063
PDK3	759.1166	PDK3	218.7326
PDK4	41.4791	PDK4	9992.4992
PDLIM1	1171.9082	PDLIM1	5226.3544
PDLIM2	489.2529	PDLIM2	1207.3846
PDLIM3	117.9404	PDLIM3	2477.6791
PDLIM4	70.4644	PDLIM4	1200.6097
PDLIM5	1653.1652	PDLIM5	1702.9205
PDLIM7	688.1525	PDLIM7	2283.6265
PDP1	1312.837	PDP1	519.248
PDP2	132.9329	PDP2	89.5255
PDPK1	905.5427	PDPK1	867.6716
PDPN	545.7244	PDPN	680.8778
PDPR	306.3453	PDPR	419.9327
PDRG1	490.2524	PDRG1	441.3366
PDS5A	2296.8401	PDS5A	1598.8773
PDS5B	945.0228	PDS5B	598.6111
PDSS1	117.2808	PDSS1	74.5239
PDSS2	217.89	PDSS2	331.4864
PDX1	8.9955	removed	removed
PDXDC1	3336.3152	PDXDC1	1917.7817
PDXDC2	174.9117	PDXDC2	313.0973
PDXK	7467.229	PDXK	5048.2712
PDXP	177.4104	PDXP	254.5428
PDZD11	1064.9622	PDZD11	692.492
PDZD2	509.7426	PDZD2	1291.1031
PDZD4	44.4775	PDZD4	248.2518
PDZD7	6.4967	PDZD7	17.9051
PDZD8	233.3821	PDZD8	144.2087
PDZK1IP1	11278.8042	PDZK1IP1	443.2723
removed	removed	PDZK1	146.1444
PDZRN3	998.9955	PDZRN3	1121.2466
removed	removed	PDZRN4	120.9804
PEA15	8570.6718	PEA15	7149.9431
PEAR1	43.9778	PEAR1	710.881
PEBP1	5954.493	PEBP1	7815.8194
removed	removed	PEBP4	22.2604
PECAM1	1008.4907	PECAM1	4133.6592
PECI	498.2484	PECI	1294.9696
PECR	110.944	PECR	326.8359
PEF1	1745.6185	PEF1	1976.3362
PEG10	1754.6139	PEG10	957.1971
PEG3	27.4861	PEG3	241.4769
PELI1	1201.3933	PELI1	672.1672
PELI2	82.4584	PELI2	311.1617
PELI3	329.8334	PELI3	483.4378
PELO	456.5145	PELO	590.3845
PELP1	1511.7366	PELP1	1669.0459
PEMT	211.3932	PEMT	896.7069
removed	removed	PENK	135.0093
PEPD	1218.3847	PEPD	2413.8014
PER1	612.1908	PER1	3250.0181
PER2	303.8466	PER2	861.8646
PER3	484.5453	PER3	1082.5328
PERP	9573.6653	PERP	3265.0197
PES1	1481.7517	PES1	1583.3918
PET112L	267.365	PET112L	555.0582
PEX10	452.0517	PEX10	524.6147
PEX11A	186.9056	PEX11A	264.7052
PEX11B	837.0773	PEX11B	766.0481
PEX11G	61.469	PEX11G	156.7906
PEX12	112.943	PEX12	231.7985
PEX13	1384.8007	PEX13	436.9813
PEX14	348.8238	PEX14	573.9311
PEX16	325.8355	PEX16	591.8362
PEX19	1753.2046	PEX19	2539.6114
PEX1	626.1838	PEX1	300.5154
PEX26	564.2151	PEX26	294.3696
PEX2	583.7052	PEX2	759.2731
PEX3	439.2782	PEX3	300.5154
PEX5	1206.3908	PEX5	1324.9776
PEX6	1038.9753	PEX6	1113.9878
PEX7	143.9273	PEX7	195.5044
PFAS	295.3508	PFAS	407.4621
PFDN1	977.0066	PFDN1	1417.8906
PFDN2	849.0712	PFDN2	622.3233
PFDN4	215.891	PFDN4	368.7483
PFDN5	2404.7856	PFDN5	8104.7207
PFDN6	862.5644	PFDN6	382.2981
removed	removed	PFKFB1	239.5412
PFKFB2	338.8389	PFKFB2	271.964
PFKFB3	2157.4105	PFKFB3	7755.8131
PFKFB4	773.1096	PFKFB4	196.9561
PFKL	4331.8124	PFKL	3922.6693
PFKM	163.4175	PFKM	857.5093
PFKP	1937.0218	PFKP	1173.0262
PFN1	15033.4081	PFN1	13108.955
PFN2	3393.7861	PFN2	889.932
PFN4	6.4967	PFN4	6.291
removed	removed	PGA3	128.2393
removed	removed	PGA4	17.9051
removed	removed	PGA5	14.5177
PGAM1	3907.027	PGAM1	3202.1099
PGAM2	11.4942	PGAM2	40.1655
PGAM4	125.4367	PGAM4	41.1333
PGAM5	538.553	PGAM5	274.2046
PGAP1	110.944	PGAP1	168.4048
PGAP2	589.2025	PGAP2	481.5021
PGAP3	454.2706	PGAP3	950.9061
PGBD1	158.42	PGBD1	151.4675
PGBD2	132.4331	PGBD2	139.8534
PGBD3	99.1499	PGBD3	83.9507
PGBD4	20.4897	PGBD4	24.1961
PGBD5	334.3312	PGBD5	197.4401
PGCP	374.8107	PGCP	1714.0507
PGD	4698.6272	PGD	4315.6137
PGF	90.9541	PGF	235.1859
PGGT1B	344.3261	PGGT1B	296.1601
PGK1	21889.9456	PGK1	6412.9304
PGLS	1247.3701	PGLS	1481.2843
PGLYRP2	12.4937	PGLYRP2	14.0337
PGLYRP3	24.4876	removed	removed
PGLYRP4	35.9818	removed	removed
PGM1	7734.0943	PGM1	2570.1082
PGM2L1	298.8491	PGM2L1	138.8855
PGM2	886.0525	PGM2	503.7625
PGM3	528.9579	PGM3	279.247
removed	removed	PGM5P2	9.1945
removed	removed	PGM5	788.7924
PGPEP1	411.792	PGPEP1	861.3806
PGP	378.8087	PGP	397.7836
PGRMC1	4112.923	PGRMC1	2819.8118
PGRMC2	2125.9264	PGRMC2	2227.4916
removed	removed	PGR	402.5696
PGS1	484.2555	PGS1	555.5421
PHACTR1	35.9818	PHACTR1	21.7765
