gene_id	TCGA-E9-A1ND-01A-11R-A144-07	gene_id	TCGA-E9-A1ND-11A-43R-A144-07
ADAMTS4	499.2479	ADAMTS4	144.6926
ADAMTS5	203.897	ADAMTS5	1346.7541
ADAMTS6	31.4841	ADAMTS6	43.553
ADAMTS7	245.8758	ADAMTS7	165.5012
ADAMTS8	48.9753	ADAMTS8	64.8455
ADAMTS9	193.4023	ADAMTS9	406.4942
ADAMTSL1	113.4427	ADAMTSL1	535.7013
ADAMTSL2	78.9601	ADAMTSL2	119.0447
removed	removed	ADAMTSL3	220.1844
ADAMTSL4	402.7966	ADAMTSL4	2545.4281
ADAMTSL5	25.4871	ADAMTSL5	51.2957
ADAP1	229.5491	ADAP1	291.3209
ADAP2	762.6149	ADAP2	964.9399
ADARB1	760.6159	ADARB1	812.0206
ADAR	16794.019	ADAR	4902.1268
ADAT1	386.3049	ADAT1	135.4981
ADAT2	107.9455	ADAT2	195.9883
ADAT3	25.4871	ADAT3	33.8745
ADA	216.8905	ADA	299.0636
ADCK1	320.3382	ADCK1	319.3883
ADCK2	828.0818	ADCK2	929.1297
ADCK4	473.261	ADCK4	654.2621
ADCK5	102.948	ADCK5	166.953
ADCY1	86.9561	ADCY1	176.1475
removed	removed	ADCY2	81.2988
ADCY3	2564.5949	ADCY3	2287.3914
ADCY4	65.4669	ADCY4	872.0269
removed	removed	ADCY5	405.0425
ADCY6	930.0303	ADCY6	2742.3843
ADCY7	991.999	ADCY7	1201.0937
removed	removed	ADCY8	26.6157
ADCY9	273.8617	ADCY9	688.6206
removed	removed	ADCYAP1R1	8.2267
ADC	87.4558	ADC	123.4
ADD1	3685.139	ADD1	7220.5957
ADD2	22.9884	ADD2	86.622
ADD3	1498.2434	ADD3	2391.0571
removed	removed	ADH1A	197.7933
removed	removed	ADH1B	27177.0428
removed	removed	ADH1C	451.4989
removed	removed	ADH4	30.0031
ADH5	1758.1122	ADH5	3751.845
removed	removed	ADHFE1	310.6777
ADI1	2432.7715	ADI1	1878.584
removed	removed	ADIPOQ	15618.5729
ADIPOR1	1613.6851	ADIPOR1	2161.1943
ADIPOR2	1943.0188	ADIPOR2	2320.4046
ADK	451.2721	ADK	363.4252
ADM2	254.3715	ADM2	62.4259
ADM	826.0828	ADM	2306.3708
ADNP2	540.7269	ADNP2	402.6229
ADNP	2638.6675	ADNP	1552.4208
ADORA1	170.9137	ADORA1	696.8473
ADORA2A	137.9303	ADORA2A	92.9081
ADORA2B	58.4705	ADORA2B	139.8534
ADORA3	455.2701	ADORA3	519.248
ADO	587.2035	ADO	627.6464
ADPGK	1528.5231	ADPGK	1231.6582
ADPRHL1	86.9561	ADPRHL1	70.6526
ADPRHL2	1113.4377	ADPRHL2	826.5383
ADPRH	720.1363	ADPRH	617.4841
removed	removed	ADRA1A	29.5192
removed	removed	ADRA1B	90.9773
removed	removed	ADRA1D	10.1624
ADRA2A	55.472	ADRA2A	1779.3801
removed	removed	ADRA2B	151.9514
ADRA2C	19.9899	ADRA2C	124.3679
ADRB1	23.4881	ADRB1	99.2039
ADRB2	55.472	ADRB2	526.9907
removed	removed	ADRB3	28.5514
ADRBK1	3515.2248	ADRBK1	2631.5662
ADRBK2	614.6896	ADRBK2	1410.1478
ADRM1	2115.4317	ADRM1	2030.0515
ADSL	779.1066	ADSL	1060.2724
ADSSL1	391.8021	ADSSL1	172.2761
ADSS	1564.2101	ADSS	913.6442
AEBP1	11602.1409	AEBP1	15038.3508
AEBP2	711.6406	AEBP2	449.0793
AEN	294.3514	AEN	363.9091
AES	7554.6849	AES	10499.6492
AFAP1L1	277.3599	AFAP1L1	958.165
AFAP1L2	278.3594	AFAP1L2	770.8873
AFAP1	1103.3878	AFAP1	977.0331
AFF1	998.9955	AFF1	1448.3777
removed	removed	AFF2	24.68
AFF3	36.4816	AFF3	398.2676
AFF4	2200.8886	AFF4	1242.227
AFG3L1	448.7734	AFG3L1	321.8079
AFG3L2	1385.3604	AFG3L2	1248.8761
AFMID	264.8662	AFMID	570.0598
removed	removed	AFP	81.2988
AFTPH	1232.3776	AFTPH	895.7391
AG2	51.9738	AG2	415.6887
removed	removed	AGAP11	238.0943
AGAP1	291.8526	AGAP1	255.5107
AGAP2	294.2614	AGAP2	158.0004
AGAP3	1341.3226	AGAP3	2271.0445
AGAP4	94.952	AGAP4	312.6134
AGAP5	12.4937	AGAP5	38.8686
AGAP6	79.9596	AGAP6	156.3067
AGAP7	36.9813	AGAP7	81.2988
removed	removed	AGAP8	13.0659
AGA	651.1712	AGA	536.6692
AGBL3	8.4957	AGBL3	7.2588
AGBL5	818.0969	AGBL5	678.4631
AGER	18.9904	AGER	105.9789
AGFG1	1843.569	AGFG1	1564.5189
AGFG2	614.6896	AGFG2	572.4794
AGGF1	666.1636	AGGF1	658.6174
AGK	605.6941	AGK	434.5617
AGL	648.1727	AGL	465.5327
AGMAT	53.9727	AGMAT	12.098
AGPAT1	2210.8085	AGPAT1	2175.9152
AGPAT2	2097.4408	AGPAT2	6778.2913
AGPAT3	2057.9607	AGPAT3	2070.217
AGPAT4	98.4503	AGPAT4	494.0841
AGPAT5	538.7279	AGPAT5	353.2628
AGPAT6	1408.2888	AGPAT6	2097.8006
AGPAT9	73.9626	AGPAT9	194.5365
AGPHD1	16.4917	AGPHD1	43.069
AGPS	1426.7795	AGPS	972.6826
AGR2	550.2221	AGR2	862.8324
removed	removed	AGR3	98.2361
AGRN	6274.8312	AGRN	4345.133
AGTPBP1	352.8218	AGTPBP1	363.9091
AGTR1	10.4947	AGTR1	617.968
AGTRAP	1084.9521	AGTRAP	1063.6599
AGT	123.9374	AGT	71.1365
AGXT2L1	16.9914	removed	removed
AGXT2L2	367.2895	AGXT2L2	938.3048
removed	removed	AGXT	5.8071
AHCTF1	1799.5912	AHCTF1	833.7971
AHCYL1	3351.8073	AHCYL1	3184.2048
AHCYL2	846.5725	AHCYL2	354.7146
AHCY	4185.8861	AHCY	3305.6691
AHDC1	483.7557	AHDC1	1017.2034
AHI1	134.4321	AHI1	224.5397
AHNAK2	722.1353	AHNAK2	1697.1134
AHNAK	10392.2519	AHNAK	60791.212
AHRR	21.4891	AHRR	20.8086
AHR	6935.9973	AHR	1242.227
AHSA1	3075.4469	AHSA1	1918.7495
AHSA2	252.8723	AHSA2	566.6723
removed	removed	AICDA	6.291
AIDA	814.1039	AIDA	1592.5863
AIF1L	1952.0142	AIF1L	3107.2612
AIF1	1160.414	AIF1	1689.3707
AIFM1	1360.8128	AIFM1	1002.6858
AIFM2	521.7365	AIFM2	2008.759
AIFM3	26.9864	AIFM3	52.2635
AIG1	504.2454	AIG1	869.1234
AIM1L	224.8864	removed	removed
AIM1	1125.4317	AIM1	1476.4451
AIM2	193.4023	AIM2	11.1302
AIMP1	1274.9511	AIMP1	835.515
AIMP2	818.6866	AIMP2	440.9398
AIPL1	8.9955	removed	removed
AIP	748.1222	AIP	1593.0702
removed	removed	AJAP1	16.9373
AK1	470.2625	AK1	993.9752
AK2	2375.3005	AK2	1996.6609
AK3L1	1426.2797	AK3L1	273.4158
AK3	1476.2545	AK3	1683.5636
AK5	373.3115	AK5	720.0755
removed	removed	AK7	8.2267
AKAP10	289.3539	AKAP10	333.4221
AKAP11	1148.9198	AKAP11	726.3665
AKAP12	159.4195	AKAP12	3987.9987
AKAP13	1915.0329	AKAP13	2813.0369
AKAP1	1674.1546	AKAP1	1978.7558
AKAP2	1676.5084	AKAP2	685.8574
AKAP3	17.9909	AKAP3	20.3247
AKAP5	148.9248	AKAP5	33.8745
AKAP6	98.95	AKAP6	175.1797
AKAP7	130.4341	AKAP7	207.1185
AKAP8L	755.1187	AKAP8L	933.001
AKAP8	556.2191	AKAP8	597.6433
AKAP9	1836.5725	AKAP9	779.1139
AKD1	68.9652	AKD1	73.5561
AKIRIN1	2164.407	AKIRIN1	1004.1375
AKIRIN2	696.1484	AKIRIN2	969.2952
removed	removed	AKNAD1	8.2267
AKNA	1361.8123	AKNA	1224.3219
AKR1A1	2898.0365	AKR1A1	2622.3717
AKR1B10	105.9465	removed	removed
AKR1B15	668.1626	AKR1B15	14.5177
AKR1B1	1726.6281	AKR1B1	2054.2476
AKR1C1	627.683	AKR1C1	4259.5756
AKR1C2	3839.0613	AKR1C2	4817.4405
AKR1C3	1820.0809	AKR1C3	3708.292
AKR1E2	77.4609	AKR1E2	62.3291
AKR7A2	510.7421	AKR7A2	1518.5463
removed	removed	AKR7A3	38.7137
AKR7L	6.4967	AKR7L	12.582
AKT1S1	1086.4513	AKT1S1	1208.8364
AKT1	9101.9035	AKT1	3980.7399
AKT2	2674.6493	AKT2	3597.4739
AKT3	515.7396	AKT3	550.219
AKTIP	841.8799	AKTIP	539.2243
ALAD	890.5503	ALAD	2152.4837
ALAS1	1219.884	ALAS1	1440.6349
ALB	9.995	ALB	2104.0916
ALCAM	3254.3565	ALCAM	2291.3693
ALDH16A1	726.1333	ALDH16A1	991.5556
ALDH18A1	2809.0814	ALDH18A1	1234.0003
ALDH1A1	210.8935	ALDH1A1	4149.6286
ALDH1A2	25.9869	ALDH1A2	239.0573
ALDH1A3	604.2598	ALDH1A3	1680.1955
ALDH1B1	931.5296	ALDH1B1	744.7555
removed	removed	ALDH1L1	1975.8523
ALDH1L2	372.312	ALDH1L2	274.3836
ALDH2	4941.5045	ALDH2	12329.841
removed	removed	ALDH3A1	45.9726
ALDH3A2	927.0318	ALDH3A2	2361.054
ALDH3B1	381.8072	ALDH3B1	977.0379
ALDH3B2	3155.4065	ALDH3B2	655.7139
ALDH4A1	140.9288	ALDH4A1	3767.3304
ALDH5A1	420.2878	ALDH5A1	458.2739
ALDH6A1	223.722	ALDH6A1	324.8905
ALDH7A1	1201.893	ALDH7A1	1949.7205
ALDH8A1	5.4972	ALDH8A1	17.4212
ALDH9A1	3719.6216	ALDH9A1	3550.5335
ALDOA	27645.539	ALDOA	19372.3536
removed	removed	ALDOB	9.6784
ALDOC	55.9717	ALDOC	1131.8929
ALG10B	164.9167	ALG10B	140.8212
ALG10	130.4341	ALG10	63.8777
ALG11	17.9909	ALG11	6.291
ALG12	500.7471	ALG12	581.6739
ALG13	362.8168	ALG13	368.2644
ALG14	175.4114	ALG14	227.4432
ALG1	526.4691	ALG1	593.83
ALG2	1114.4372	ALG2	681.8457
ALG3	1171.4084	ALG3	815.4081
ALG5	664.1646	ALG5	653.2943
ALG6	337.8294	ALG6	201.3114
ALG8	805.5932	ALG8	603.4504
ALG9	716.1384	ALG9	552.6386
ALKBH1	322.837	ALKBH1	252.6071
ALKBH2	127.9354	ALKBH2	352.7789
ALKBH3	222.3877	ALKBH3	471.8237
ALKBH4	486.4993	ALKBH4	331.3702
ALKBH5	2407.6941	ALKBH5	2552.5079
ALKBH6	91.4538	ALKBH6	105.4949
ALKBH7	540.2272	ALKBH7	737.0128
ALKBH8	122.4382	ALKBH8	156.7906
removed	removed	ALK	13.5498
ALMS1	644.1747	ALMS1	314.0652
ALOX12B	29.4052	removed	removed
removed	removed	ALOX12P2	6.7749
ALOX12	66.7063	ALOX12	6.2281
ALOX15B	49.475	ALOX15B	539.0888
ALOX15	162.9177	ALOX15	77.9114
ALOX5AP	1001.4942	ALOX5AP	395.364
ALOX5	1060.4645	ALOX5	466.5005
ALOXE3	27.9859	ALOXE3	9.6784
ALPK1	719.1368	ALPK1	538.6049
ALPK2	159.4195	ALPK2	66.7812
ALPK3	133.4326	ALPK3	305.3546
ALPL	693.6497	ALPL	2761.2572
ALS2CL	887.052	ALS2CL	640.7123
ALS2CR4	240.3786	ALS2CR4	715.7202
ALS2CR8	47.9758	ALS2CR8	98.2361
ALS2	252.8723	ALS2	438.917
ALX3	18.9904	ALX3	37.7459
ALX4	99.9495	ALX4	9.6784
AMACR	315.3408	AMACR	289.3852
removed	removed	AMBP	7.2588
AMBRA1	944.0233	AMBRA1	846.3791
AMD1	2291.3429	AMD1	1241.2398
AMDHD1	13.4932	AMDHD1	71.1365
AMDHD2	171.9132	AMDHD2	561.3008
AMFR	1912.0344	AMFR	2685.2815
AMICA1	203.3973	AMICA1	805.2457
AMIGO1	62.4685	AMIGO1	88.5577
AMIGO2	243.8768	AMIGO2	1291.587
AMIGO3	85.9566	AMIGO3	104.5271
AMMECR1L	809.5912	AMMECR1L	660.5531
AMMECR1	628.6825	AMMECR1	167.4369
AMN1	74.4624	AMN1	129.2071
AMOTL1	1827.0773	AMOTL1	1348.2059
AMOTL2	1581.7012	AMOTL2	3651.6732
AMOT	1776.6028	AMOT	574.899
AMPD1	5.4972	AMPD1	30.0031
AMPD2	960.5149	AMPD2	889.932
AMPD3	441.7769	AMPD3	279.7067
AMPH	25.4871	AMPH	61.4581
AMT	21.1343	AMT	203.1697
AMY1A	384.8057	AMY1A	10.1624
AMY2B	62.6334	AMY2B	383.7499
AMZ1	14.4927	removed	removed
AMZ2P1	82.9581	AMZ2P1	268.0926
AMZ2	1081.9536	AMZ2	1253.8411
ANAPC10	112.943	ANAPC10	111.7859
ANAPC11	1036.9763	ANAPC11	1262.5517
ANAPC13	993.2484	ANAPC13	1200.0484
ANAPC16	1405.7901	ANAPC16	2334.4383
ANAPC1	725.1338	ANAPC1	341.6487
ANAPC2	1074.9571	ANAPC2	898.1587
ANAPC4	428.7835	ANAPC4	538.1209
ANAPC5	2446.7644	ANAPC5	2517.3607
ANAPC7	1212.8875	ANAPC7	1071.4026
ANGEL1	973.5084	ANGEL1	564.7366
ANGEL2	353.8213	ANGEL2	395.848
ANGPT1	201.3983	ANGPT1	346.4879
ANGPT2	415.2903	ANGPT2	272.9318
removed	removed	ANGPT4	28.0675
ANGPTL1	14.9924	ANGPTL1	688.6206
ANGPTL2	918.5361	ANGPTL2	7871.9543
ANGPTL4	555.2196	ANGPTL4	4597.7401
removed	removed	ANGPTL5	84.2024
ANGPTL6	10.9795	ANGPTL6	15.1274
removed	removed	ANGPTL7	40.6494
