gene_id	TCGA-GI-A2C8-01A-11R-A16F-07	gene_id	TCGA-GI-A2C8-11A-22R-A16F-07
AFAP1L1	368.4739	AFAP1L1	1361.9442
AFAP1L2	506.0241	AFAP1L2	255.4292
AFAP1	1241.9411	AFAP1	322.1148
AFF1	2161.9813	AFF1	4398.6556
AFF2	44.5114	AFF2	10.8583
AFF3	2296.8541	AFF3	103.4126
AFF4	6677.3762	AFF4	3254.9121
AFG3L1	209.17	AFG3L1	163.909
AFG3L2	1722.5535	AFG3L2	5490.5067
AFMID	286.4793	AFMID	130.2999
AFTPH	2411.3119	AFTPH	599.2761
AG2	188.0857	AG2	558.9452
AGAP11	71.9545	AGAP11	31.546
AGAP1	871.1513	AGAP1	519.6484
AGAP2	105.1037	AGAP2	193.0145
AGAP3	1703.8153	AGAP3	817.9938
AGAP4	125.1673	AGAP4	113.2368
AGAP5	39.8862	AGAP5	100.243
AGAP6	76.6399	AGAP6	47.0527
AGAP8	18.407	AGAP8	6.2048
AGA	360.1071	AGA	268.3557
removed	removed	AGBL1	1740.4343
removed	removed	AGBL3	8.7901
AGBL5	336.6867	AGBL5	211.4891
AGER	27.4431	AGER	11.3754
AGFG1	1489.2905	AGFG1	1572.9059
AGFG2	717.5368	AGFG2	270.424
AGGF1	997.6573	AGGF1	971.0445
AGK	746.3186	AGK	331.4374
AGL	4251.004	AGL	48768.3557
AGMAT	23.0924	AGMAT	498.9659
AGPAT1	1349.7423	AGPAT1	2306.1996
AGPAT2	365.4618	AGPAT2	341.2616
AGPAT3	2353.4137	AGPAT3	3626.1634
AGPAT4	188.0857	AGPAT4	80.1448
AGPAT5	726.573	AGPAT5	1073.423
AGPAT6	2315.5957	AGPAT6	1809.7208
AGPAT9	62.249	AGPAT9	1005.6877
AGPHD1	48.5274	AGPHD1	59.4623
AGPS	1084.672	AGPS	1511.3754
AGR2	2033.4672	removed	removed
AGR3	2830.656	removed	removed
AGRN	3566.5997	AGRN	553.7746
AGTPBP1	304.8862	AGTPBP1	846.4323
AGTR1	122.49	AGTR1	293.6918
AGTRAP	723.8956	AGTRAP	304.0331
AGT	208.8353	AGT	1630.2999
removed	removed	AGXT2L1	45.5016
AGXT2L2	528.4672	AGXT2L2	440.8687
AHCTF1	1760.3748	AHCTF1	1688.728
AHCYL1	3943.7751	AHCYL1	3041.8821
AHCYL2	1002.008	AHCYL2	2840.2275
AHCY	5057.8983	AHCY	2366.0807
AHDC1	914.6586	AHDC1	2169.5967
AHI1	397.925	AHI1	169.0796
AHNAK2	795.8501	AHNAK2	433.2989
AHNAK	40234.6051	AHNAK	72539.8139
AHRR	101.4056	AHRR	630.817
AHR	5723.2262	AHR	563.0817
AHSA1	1437.751	AHSA1	2717.6836
AHSA2	470.2142	AHSA2	140.1241
AIDA	1072.423	AIDA	831.9959
AIF1L	3814.257	AIF1L	760.5998
AIF1	863.7885	AIF1	105.9979
AIFM1	1353.079	AIFM1	1892.4509
AIFM2	170.0134	AIFM2	253.878
AIFM3	31.7938	removed	removed
AIG1	997.992	AIG1	619.9586
AIM1	449.7992	AIM1	200.6205
AIM2	22.0884	removed	removed
AIMP1	875.6961	AIMP1	1579.5036
AIMP2	412.9284	AIMP2	1824.8242
AIP	678.0455	AIP	638.0558
AJAP1	8.0321	removed	removed
AK1	495.3146	AK1	12187.6939
AK2	1766.0643	AK2	1783.3454
AK3L1	231.593	AK3L1	53.7746
AK3	924.3641	AK3	8612.7198
AK5	126.1714	AK5	13.9607
AK7	76.6399	AK7	5.1706
AKAP10	527.7778	AKAP10	275.5946
AKAP11	1964.8594	AKAP11	1196.484
AKAP12	1283.4672	AKAP12	2482.9369
AKAP13	4677.0415	AKAP13	5539.2968
AKAP1	647.5904	AKAP1	8573.423
AKAP2	738.8487	AKAP2	1904.2192
AKAP3	14.0562	AKAP3	26.3702
AKAP5	109.4378	AKAP5	5.6877
AKAP6	163.3199	AKAP6	9267.8387
AKAP7	95.7162	AKAP7	622.0269
AKAP8L	661.9813	AKAP8L	642.7094
AKAP8	621.8206	AKAP8	744.0538
AKAP9	2565.5957	AKAP9	4178.3868
AKD1	296.1847	AKD1	126.1634
AKIRIN1	1000	AKIRIN1	873.8366
AKIRIN2	734.9398	AKIRIN2	1722.8542
removed	removed	AKNAD1	5.1706
AKNA	583.3333	AKNA	98.242
AKR1A1	1681.3922	AKR1A1	690.7963
removed	removed	AKR1B10	78.5936
removed	removed	AKR1B15	137.0217
AKR1B1	911.9813	AKR1B1	8659.2554
AKR1C1	13.0522	AKR1C1	624.0951
AKR1C2	39.4913	AKR1C2	959.6691
AKR1C3	217.5368	AKR1C3	831.4374
AKR1E2	6.6934	AKR1E2	8.273
AKR7A2	606.091	AKR7A2	1250.7756
AKR7A3	292.838	AKR7A3	5.1706
AKR7L	49.8661	removed	removed
AKT1S1	827.3092	AKT1S1	1847.9835
AKT1	3260.3748	AKT1	2191.8304
AKT2	2233.9357	AKT2	4949.8449
AKT3	506.6934	AKT3	624.0951
AKTIP	625.4485	AKTIP	2607.332
ALAD	3162.3159	ALAD	1158.2213
ALAS1	1329.6519	ALAS1	4580.6618
removed	removed	ALAS2	16.029
ALB	22.0884	removed	removed
ALCAM	7548.5274	ALCAM	99.2761
ALDH16A1	312.5837	ALDH16A1	139.607
ALDH18A1	3223.2262	ALDH18A1	286.4529
ALDH1A1	834.672	ALDH1A1	1729.0589
ALDH1A2	139.5582	ALDH1A2	394.5191
ALDH1A3	279.5783	ALDH1A3	523.4178
ALDH1B1	1883.5341	ALDH1B1	2399.1727
removed	removed	ALDH1L1	3997.4147
ALDH1L2	733.2664	ALDH1L2	192.3475
ALDH2	3258.0321	ALDH2	7119.4416
removed	removed	ALDH3A1	28.4385
ALDH3A2	890.5622	ALDH3A2	3946.2254
ALDH3B1	242.6372	ALDH3B1	56.8769
ALDH3B2	332.3293	removed	removed
ALDH4A1	547.8581	ALDH4A1	4304.5502
