gene_id	TCGA-BH-A1FH-01A-12R-A13Q-07	gene_id	TCGA-BH-A1FH-11B-42R-A13Q-07
ADAMTSL3	134.3757	ADAMTSL3	192.7403
ADAMTSL4	353.5877	ADAMTSL4	1580.7771
ADAMTSL5	22.6024	ADAMTSL5	46.0123
ADAP1	68.0362	ADAP1	107.5307
ADAP2	282.3748	ADAP2	417.6892
ADARB1	714.6064	ADARB1	681.4928
ADAR	9755.2442	ADAR	6314.9284
ADAT1	544.6242	ADAT1	261.2474
ADAT2	96.9115	ADAT2	103.272
ADAT3	15.1715	ADAT3	22.4949
ADA	82.9786	ADA	131.9018
ADCK1	111.1541	ADCK1	166.6667
ADCK2	648.0378	ADCK2	639.0593
ADCK4	365.3534	ADCK4	409.5092
ADCK5	57.8992	ADCK5	77.1984
ADCY1	471.2439	ADCY1	169.7342
ADCY2	163.1705	ADCY2	135.9918
ADCY3	1616.6298	ADCY3	1408.7526
ADCY4	399.7213	ADCY4	668.2004
ADCY5	553.9128	ADCY5	215.2352
ADCY6	1949.0673	ADCY6	1848.1595
ADCY7	611.5024	ADCY7	778.1186
ADCY9	1039.3993	ADCY9	702.9652
ADCYAP1R1	42.7278	ADCYAP1R1	12.2699
ADCYAP1	32.5103	ADCYAP1	12.7812
ADC	205.279	ADC	114.0082
ADD1	6306.6801	ADD1	6858.8957
ADD2	164.0994	ADD2	61.8609
ADD3	3187.2436	ADD3	4777.6074
ADH1A	15.7907	ADH1A	167.137
ADH1B	1621.4877	ADH1B	18967.7914
ADH1C	76.4765	ADH1C	540.8998
removed	removed	ADH4	51.636
ADH5	2730.2423	ADH5	3538.3436
ADHFE1	71.2129	ADHFE1	168.7117
ADI1	1198.5448	ADI1	2102.2495
ADIPOQ	634.724	ADIPOQ	7946.319
ADIPOR1	2523.1055	ADIPOR1	2232.1063
ADIPOR2	1877.8543	ADIPOR2	1935.5828
ADK	227.2622	ADK	408.4867
ADM2	250.1742	ADM2	41.411
