gene_id	TCGA-BH-A1FH-01A-12R-A13Q-07	gene_id	TCGA-BH-A1FH-11B-42R-A13Q-07
KLF7	462.8841	KLF7	100.7157
KLF8	426.3488	KLF8	432.0041
KLF9	2197.6933	KLF9	3784.7648
KLHDC10	1262.946	KLHDC10	585.3783
KLHDC1	98.7693	KLHDC1	110.9407
KLHDC2	865.3921	KLHDC2	1324.6421
KLHDC3	1670.0983	KLHDC3	1913.5992
KLHDC4	207.787	KLHDC4	167.6892
KLHDC5	1199.164	KLHDC5	930.4703
KLHDC7A	40.5604	KLHDC7A	16.3599
KLHDC7B	39.3219	KLHDC7B	80.2658
KLHDC8A	14.5522	KLHDC8A	25.0511
KLHDC8B	365.0437	KLHDC8B	569.0184
KLHDC9	48.301	KLHDC9	69.0184
removed	removed	KLHL10	5.1125
KLHL11	93.5057	KLHL11	41.9223
KLHL12	1117.7336	KLHL12	946.8303
KLHL13	810.2794	KLHL13	1167.6892
KLHL14	38.0834	KLHL14	38.8548
KLHL15	497.2521	KLHL15	428.4254
KLHL17	50.4683	KLHL17	35.7873
KLHL18	457.9302	KLHL18	383.9468
KLHL20	601.9042	KLHL20	551.636
KLHL21	1935.4439	KLHL21	2217.7914
KLHL22	565.0592	KLHL22	384.4581
KLHL23	96.4471	KLHL23	106.089
KLHL24	1935.4439	KLHL24	1172.8016
KLHL25	356.0647	KLHL25	189.1616
KLHL26	225.7141	KLHL26	232.1063
KLHL28	663.5188	KLHL28	331.7996
KLHL29	421.3948	KLHL29	538.3436
KLHL2	719.5603	KLHL2	659.5092
KLHL30	8.0502	KLHL30	18.4049
KLHL31	23.7851	KLHL31	192.7249
KLHL32	7.4309	KLHL32	12.7812
KLHL35	41.4893	KLHL35	8.18
KLHL36	249.8645	KLHL36	191.2065
KLHL38	53.2549	removed	removed
KLHL3	224.166	KLHL3	228.5276
KLHL4	91.648	KLHL4	153.3742
KLHL5	825.4509	KLHL5	808.2822
KLHL6	130.6603	KLHL6	70.5521
KLHL7	767.242	KLHL7	743.3538
KLHL8	706.8659	KLHL8	332.8221
KLHL9	1703.847	KLHL9	1349.6933
KLK10	65.9494	KLK10	465.7464
KLK11	69.6648	KLK11	147.7505
KLK12	9.2886	removed	removed
KLK13	7.7405	KLK13	12.2699
KLK1	10.8368	KLK1	10.2249
KLK4	90.4095	KLK4	11.7587
KLK5	69.9745	KLK5	2103.7832
KLK6	117.6562	KLK6	658.4867
KLK7	54.4934	KLK7	884.4581
KLK8	29.1044	KLK8	232.6176
removed	removed	KLKB1	5.6237
KLKP1	8.6694	removed	removed
KLRA1	49.5394	KLRA1	31.1861
KLRAQ1	700.983	KLRAQ1	683.5378
KLRB1	53.5645	KLRB1	109.407
removed	removed	KLRC1	17.3824
removed	removed	KLRC2	7.6687
KLRD1	19.5062	KLRD1	38.8548
removed	removed	KLRF1	16.3599
KLRG1	51.7068	KLRG1	47.0348
KLRG2	21.3639	KLRG2	11.7587
KLRK1	68.0084	KLRK1	131.6871
KL	171.8399	KL	255.6237
KMO	50.2763	KMO	19.8415
KNDC1	31.5814	KNDC1	30.6748
KNTC1	334.3912	KNTC1	241.3088
KPNA1	2029.2592	KPNA1	1246.9325
KPNA2	1145.5995	KPNA2	1089.9796
KPNA3	1033.5165	KPNA3	1044.9898
KPNA4	2054.3386	KPNA4	1780.1636
KPNA5	191.0365	KPNA5	117.5869
KPNA6	2373.2487	KPNA6	1920.7566
KPNB1	3750.1355	KPNB1	3607.8732
KPTN	111.1541	KPTN	85.3783
KRAS	1896.7412	KRAS	1092.0245
KRBA1	214.8773	KRBA1	197.8528
KRBA2	109.606	KRBA2	71.0634
KRCC1	962.3036	KRCC1	1069.0184
KREMEN1	1418.9953	KREMEN1	1083.3333
KRI1	613.7534	KRI1	414.5501
KRIT1	768.1709	KRIT1	674.8466
KRR1	1077.6747	KRR1	901.5593
KRT10	234.0738	KRT10	376.2781
KRT14	2980.1068	KRT14	18051.1247
KRT15	1178.4194	KRT15	9630.8793
KRT16	11.456	KRT16	771.9836
KRT17	1011.2238	KRT17	15399.7955
KRT18	6012.809	KRT18	5662.3517
KRT19	5594.5507	KRT19	10034.2536
KRT222	91.9576	KRT222	83.8446
KRT23	92.5768	KRT23	4478.5276
removed	removed	KRT32	16.8712
removed	removed	KRT40	8.6912
KRT5	6134.2209	KRT5	20718.8139
KRT6A	12.6945	KRT6A	87.4233
KRT6B	369.6881	KRT6B	4389.5706
KRT6C	10.5271	KRT6C	58.2822
KRT7	1079.6501	KRT7	8915.6442
KRT80	718.6315	KRT80	1035.2761
KRT81	42.1085	KRT81	470.3476
removed	removed	KRT83	12.2699
KRT86	22.6024	KRT86	34.2536
KRT8	7217.6268	KRT8	11634.1718
removed	removed	KRT9	5.6237
KRTAP5-1	5.2636	removed	removed
KRTAP5-2	7.948	removed	removed
KRTCAP2	900.9985	KRTCAP2	1456.544
KRTCAP3	150.1664	KRTCAP3	344.0695
KSR1	674.6652	KSR1	625.7669
KSR2	39.6316	KSR2	29.6524
KTELC1	396.9347	KTELC1	399.7955
KTI12	130.3506	KTI12	164.1104
KTN1	5414.9702	KTN1	5759.7137
KYNU	95.0538	KYNU	241.82
KY	81.4305	KY	150.3067
L1CAM	29.414	L1CAM	135.9918
L1TD1	7.7405	removed	removed
L2HGDH	192.2749	L2HGDH	143.6605
L3MBTL2	827.2126	L3MBTL2	762.5665
L3MBTL3	369.3784	L3MBTL3	257.6687
L3MBTL4	136.8527	L3MBTL4	216.2577
L3MBTL	91.9576	L3MBTL	87.4233
LACE1	85.4555	LACE1	46.0123
LACTB2	228.191	LACTB2	271.4724
LACTB	338.7259	LACTB	284.2536
LAD1	629.4605	LAD1	648.773
LAG3	25.0793	LAG3	34.7648
LAGE3	202.4925	LAGE3	154.3967
LAIR1	347.0857	LAIR1	640.0818
removed	removed	LALBA	8.18
LAMA1	365.9726	LAMA1	135.9918
LAMA2	4792.0025	LAMA2	2493.3538
LAMA3	1822.4321	LAMA3	2634.4581
LAMA4	3524.4214	LAMA4	3930.4703
LAMA5	2925.3038	LAMA5	2330.2658
LAMB1	9765.1521	LAMB1	3368.6094
LAMB2L	21.0543	LAMB2L	53.1697
LAMB2	6118.4302	LAMB2	7260.7362
LAMB3	2882.5761	LAMB3	4756.6462
LAMC1	9475.656	LAMC1	8128.3231
LAMC2	793.5599	LAMC2	3644.683
LAMC3	242.4336	LAMC3	89.4683
LAMP1	6198.6222	LAMP1	6957.5665
LAMP2	7616.0694	LAMP2	5558.7935
LAMP3	87.0036	LAMP3	72.0859
LANCL1	2178.4968	LANCL1	1966.7689
LANCL2	665.6862	LANCL2	663.5992
LANCL3	6.5021	LANCL3	14.3149
LAP3	2357.7676	LAP3	2411.0429
LAPTM4A	9540.6765	LAPTM4A	10578.7321
LAPTM4B	1967.0253	LAPTM4B	2700.9202
LAPTM5	2089.0162	LAPTM5	3748.9775
LARGE	675.5941	LARGE	532.7198
LARP1B	422.6333	LARP1B	405.4192
LARP1	4280.8267	LARP1	3183.0266
LARP4B	1350.2593	LARP4B	1071.5746
LARP4	1491.1371	LARP4	718.3027
LARP6	293.2115	LARP6	670.7566
LARP7	1045.2821	LARP7	1383.4356
LARS2	396.6251	LARS2	349.6933
LARS	2322.1612	LARS	2467.2802
LAS1L	677.1422	LAS1L	698.364
LASP1	13697.0354	LASP1	4428.9366
LASS1	36.5601	LASS1	6.7229
LASS2	6034.8324	LASS2	3650.3067
LASS3	8.3598	LASS3	5.6237
LASS4	1279.9752	LASS4	618.6094
LASS5	829.1663	LASS5	943.7628
LASS6	3839.9009	LASS6	723.2464
LAT2	179.8901	LAT2	212.1677
LATS1	1032.8973	LATS1	395.1943
LATS2	1005.341	LATS2	1221.3701
LAT	64.7295	LAT	94.0389
LAX1	66.5686	LAX1	41.9223
LAYN	294.1404	LAYN	406.953
LBH	1933.5862	LBH	1549.0798
removed	removed	LBP	35.7873
LBR	933.5088	LBR	973.4151
LBX2	10.168	LBX2	7.1575
LBXCOR1	5.8828	removed	removed
LCA5L	64.7109	LCA5L	59.816
LCA5	570.0132	LCA5	354.8057
LCAT	66.9773	LCAT	144.274
LCK	105.2713	LCK	120.6544
LCLAT1	375.2612	LCLAT1	307.771
LCMT1	478.9844	LCMT1	615.5419
LCMT2	307.1445	LCMT2	314.9284
LCN10	11.1464	LCN10	80.1687
LCN2	9.5983	LCN2	440.184
LCN6	5.2636	LCN6	32.817
LCORL	106.0577	LCORL	54.8057
LCOR	210.7748	LCOR	55.8691
LCP1	1805.0933	LCP1	2597.137
LCP2	364.7341	LCP2	431.4928
LCTL	5.2821	removed	removed
LDB1	1253.3478	LDB1	1030.6748
LDB2	941.5589	LDB2	1131.9018
LDB3	58.5185	LDB3	70.5521
LDHA	8340.274	LDHA	8776.5849
LDHB	3183.8378	LDHB	6188.6503
LDHD	69.3552	LDHD	141.6155
LDLRAD2	153.5289	LDLRAD2	178.2515
LDLRAD3	940.0108	LDLRAD3	618.0982
LDLRAP1	884.8982	LDLRAP1	662.0654
LDLR	1076.8635	LDLR	3152.3517
LDOC1L	1694.2488	LDOC1L	1302.6585
LDOC1	809.3506	LDOC1	1067.4847
removed	removed	LEAP2	5.6237
LEF1	1252.4189	LEF1	131.9018
LEFTY1	5.2636	LEFTY1	5.1125
LEFTY2	41.7989	LEFTY2	27.6074
LEKR1	18.5773	LEKR1	12.7812
removed	removed	LEMD1	15.8487
LEMD2	756.7149	LEMD2	475.4601
LEMD3	962.6132	LEMD3	791.411
LENG1	121.9909	LENG1	88.9571
LENG8	1848.5889	LENG8	1759.9796
LENG9	68.897	LENG9	87.1575
LEO1	593.854	LEO1	414.1104
LEPRE1	1603.2201	LEPRE1	629.8569
LEPREL1	365.0437	LEPREL1	647.7505
LEPREL2	1378.7445	LEPREL2	411.5542
LEPROTL1	779.6269	LEPROTL1	846.6258
LEPROT	1207.8087	LEPROT	1201.0838
LEPR	904.7388	LEPR	3268.2413
LEP	64.0916	LEP	2742.8425
LETM1	1109.3738	LETM1	672.8016
LETM2	87.3133	LETM2	34.2536
LETMD1	663.5188	LETMD1	1281.6973
LFNG	801.9197	LFNG	714.2127
LGALS12	26.3178	LGALS12	368.6094
LGALS1	5893.0258	LGALS1	8736.1963
LGALS2	19.1965	LGALS2	39.8773
LGALS3BP	7945.5066	LGALS3BP	8865.0307
LGALS3	2782.2587	LGALS3	9253.0675
LGALS7B	5.5732	removed	removed
LGALS7	27.5563	LGALS7	81.7996
LGALS8	1248.9821	LGALS8	848.6708
LGALS9C	8.0502	LGALS9C	9.2025
LGALS9	561.6534	LGALS9	703.9877
LGI2	457.6206	LGI2	217.2802
LGI4	98.7693	LGI4	175.3579
LGMN	3983.5901	LGMN	7191.7178
LGR4	1846.8922	LGR4	1335.3783
LGR5	45.824	LGR5	27.6074
LGR6	849.2917	LGR6	786.2986
LGTN	915.5507	LGTN	1558.2822
removed	removed	LHCGR	5.6237
LHFPL1	8.3598	LHFPL1	9.2025
LHFPL2	3596.8728	LHFPL2	2297.546
LHFP	2044.7403	LHFP	3932.0041
LHPP	193.8231	LHPP	516.8712
LHX2	7.4309	removed	removed
LHX4	5.2171	removed	removed
LHX6	286.7095	LHX6	618.0982
LIAS	132.518	LIAS	192.229
LIFR	3347.3179	LIFR	2397.7505
LIF	243.0529	LIF	470.8589
LIG1	468.1477	LIG1	409.5092
LIG3	838.455	LIG3	280.6748
LIG4	336.2489	LIG4	350.2045
LILRA1	11.1464	LILRA1	19.9387
LILRA2	26.0082	LILRA2	76.1759
removed	removed	LILRA3	26.5849
LILRA4	33.4391	LILRA4	16.3599
LILRA5	13.6233	LILRA5	130.3681
LILRA6	29.1137	LILRA6	181.6462
LILRB1	96.2923	LILRB1	130.8793
LILRB2	109.606	LILRB2	287.3211
LILRB3	44.5762	LILRB3	171.6258
LILRB4	146.1413	LILRB4	312.8834
LILRB5	128.4929	LILRB5	654.908
LIMA1	4963.2324	LIMA1	4841.002
LIMCH1	1398.2506	LIMCH1	2872.1881
LIMD1	954.272	LIMD1	635.8845
LIMD2	201.0651	LIMD2	198.272
LIME1	51.5767	LIME1	68.0266
LIMK1	1361.0961	LIMK1	593.047
LIMK2	2096.7567	LIMK2	2117.5869
LIMS1	663.2092	LIMS1	481.5951
LIMS2	554.8417	LIMS2	2170.2454
LIMS3-LOC440895	26.7079	LIMS3-LOC440895	30.3681
LIMS3	26.5469	LIMS3	28.4254
LIN37	87.5269	LIN37	126.1452
LIN52	163.1705	LIN52	184.0491
LIN54	449.2608	LIN54	359.407
LIN7A	87.6229	LIN7A	28.6299
LIN7B	18.8869	LIN7B	32.2086
LIN7C	757.0245	LIN7C	818.5072
LIN9	149.5472	LIN9	107.8732
LINGO1	424.8007	LINGO1	57.771
LINGO2	7.4309	removed	removed
LINGO4	13.6233	LINGO4	15.3374
LINS1	463.5034	LINS1	231.5951
LIPA	2109.4512	LIPA	2489.2638
LIPC	5.5732	LIPC	19.9387
LIPE	230.3243	LIPE	3263.8037
LIPG	161.932	LIPG	61.8609
LIPH	282.0652	LIPH	184.0491
LIPT1	185.9896	LIPT1	177.3262
LIPT2	14.611	LIPT2	16.8712
LITAF	3904.0173	LITAF	5739.2638
LIX1L	849.2917	LIX1L	881.3906
LLGL1	885.5175	LLGL1	1037.8323
LLGL2	722.0373	LLGL2	583.8446
LLPH	473.9593	LLPH	661.5184
LMAN1	5268.2096	LMAN1	2889.0593
LMAN2L	1039.709	LMAN2L	523.5174
LMAN2	2012.8493	LMAN2	1968.3027
LMBR1L	276.1824	LMBR1L	349.6933
LMBR1	1441.9073	LMBR1	899.2843
LMBRD1	1305.9834	LMBRD1	1925.8691
LMBRD2	394.4578	LMBRD2	135.9918
LMCD1	1085.2233	LMCD1	1266.8712
LMF1	303.9988	LMF1	307.2597
LMF2	1099.4659	LMF2	1270.9611
LMLN	375.2612	LMLN	180.9816
LMNA	6992.1821	LMNA	14578.2209
LMNB1	193.8231	LMNB1	290.3885
LMNB2	851.4591	LMNB2	539.3661
LMO2	358.2321	LMO2	827.7096
LMO3	172.4592	LMO3	160.5317
LMO4	1667.931	LMO4	1489.2638
LMO7	660.4226	LMO7	423.3129
LMOD1	2289.0317	LMOD1	3299.0798
LMTK2	507.7792	LMTK2	211.6564
LMTK3	66.8782	LMTK3	108.8957
LMX1A	19.5062	LMX1A	60.3272
LMX1B	1326.7281	LMX1B	717.2802
LNP1	52.0907	LNP1	58.7935
LNPEP	468.7669	LNPEP	169.5859
LNX1	376.4997	LNX1	282.7198
LNX2	579.6114	LNX2	325.6646
LOC100009676	48.6601	LOC100009676	57.7045
LOC100101266	5.2636	LOC100101266	7.1575
LOC100124692	52.9453	LOC100124692	183.5378
LOC100125556	53.5614	LOC100125556	50.4243
LOC100126784	70.7299	LOC100126784	71.544
LOC100127888	10.2763	LOC100127888	10.8384
LOC100128191	26.4417	LOC100128191	23.1697
LOC100128239	13.6233	LOC100128239	8.18
LOC100128288	53.5645	LOC100128288	43.456
LOC100128292	16.4099	LOC100128292	32.7198
LOC100128640	34.9872	LOC100128640	58.7935
LOC100128788	7.7405	LOC100128788	12.7812
LOC100128822	128.8025	LOC100128822	161.5542
LOC100128842	20.435	LOC100128842	9.2025
LOC100128977	8.979	removed	removed
LOC100129034	2483.7402	LOC100129034	1172.863
LOC100129066	7.7405	removed	removed
LOC100129387	108.9806	LOC100129387	82.4693
LOC100129534	43.0374	LOC100129534	38.3436
LOC100129550	236.8604	LOC100129550	320.0409
LOC100129637	149.8258	LOC100129637	148.2618
LOC100129716	10.8368	LOC100129716	8.6912
LOC100129726	8.6694	removed	removed
LOC100130015	25.81	LOC100130015	21.0685
LOC100130093	88.8645	LOC100130093	67.0143
LOC100130148	16.4099	removed	removed
LOC100130522	13.933	LOC100130522	10.7362
LOC100130557	38.9937	LOC100130557	16.6513
LOC100130581	39.0123	LOC100130581	52.6585
LOC100130691	8.2855	LOC100130691	11.4928
LOC100130776	315.2845	LOC100130776	287.5716
LOC100130872	130.6603	LOC100130872	98.1595
LOC100130932	26.3178	LOC100130932	41.9223
LOC100130987	9.9079	LOC100130987	12.2699
LOC100131193	26.8163	LOC100131193	11.7587
LOC100131434	25.5035	LOC100131434	38.0317
LOC100131691	22.4816	LOC100131691	9.4274
LOC100132111	9.5921	LOC100132111	9.2025
LOC100132215	9.5983	LOC100132215	6.6513
LOC100132247	125.3967	LOC100132247	85.3783
LOC100132287	221.9986	LOC100132287	283.2311
LOC100132288	178.342	LOC100132288	246.4213
LOC100132707	158.4643	LOC100132707	126.4826
LOC100132832	6.6135	LOC100132832	10.2812
LOC100133161	21.3639	LOC100133161	49.0798
LOC100133331	82.6039	LOC100133331	96.4571
LOC100133545	5.5732	removed	removed
LOC100133612	5.5732	LOC100133612	6.135
LOC100133669	17.3388	LOC100133669	19.4274
LOC100133957	6.499	LOC100133957	5.2147
LOC100133991	25.0793	LOC100133991	30.6748
LOC100134229	119.5139	LOC100134229	185.0716
LOC100134259	22.2927	LOC100134259	45.501
LOC100134713	16.7227	LOC100134713	12.2802
LOC100144604	5.5732	removed	removed
LOC100170939	136.9796	LOC100170939	57.2597
LOC100188947	14.2426	LOC100188947	18.9162
removed	removed	LOC100188949	5.6237
LOC100190938	62.5435	LOC100190938	158.4867
LOC100190939	156.3589	LOC100190939	444.274
LOC100190986	155.43	LOC100190986	81.2883
LOC100192378	17.3388	LOC100192378	6.6462
LOC100216545	50.1587	LOC100216545	42.9448
LOC100233209	17.958	LOC100233209	10.2249
LOC100240735	9.2886	LOC100240735	16.8712
LOC100268168	6.1924	LOC100268168	6.135
LOC100270710	302.2587	LOC100270710	391.2883
LOC100270746	52.326	LOC100270746	37.3211
LOC100270804	31.8786	LOC100270804	22.7761
LOC100271722	23.2216	LOC100271722	37.3211
removed	removed	LOC100271831	30.6953
LOC100271836	419.6733	LOC100271836	197.5409
LOC100272146	24.4601	LOC100272146	17.8937
LOC100272216	14.8618	LOC100272216	12.2699
LOC100272217	33.7487	LOC100272217	15.8487
LOC100272228	21.0543	LOC100272228	17.3824
LOC100286793	89.7902	LOC100286793	117.0757
LOC100286844	16.2025	LOC100286844	23.9162
removed	removed	LOC100287227	7.1728
LOC100288778	622.8098	LOC100288778	391.0685
LOC100289341	41.7989	LOC100289341	47.546
LOC100302401	23.265	LOC100302401	26.0736
LOC100302640	6.5021	LOC100302640	8.6912
LOC100302650	25.389	LOC100302650	87.4233
LOC100303728	20.7446	LOC100303728	28.1186
LOC113230	226.6429	LOC113230	62.3722
LOC115110	46.9386	LOC115110	37.4847
removed	removed	LOC121838	25.5624
LOC134466	49.8491	LOC134466	70.0409
LOC143188	11.7656	LOC143188	25.0511
LOC143666	11.1464	LOC143666	6.135
LOC144438	787.0578	LOC144438	682.5153
LOC144486	14.8618	LOC144486	11.7587
LOC144571	52.9793	LOC144571	68.6247
LOC145783	33.8509	LOC145783	22.8885
LOC145820	10.8368	LOC145820	38.8548
LOC145837	52.0164	LOC145837	19.9387
LOC146336	79.5727	removed	removed
LOC146880	196.3465	LOC146880	262.1984
LOC147727	587.352	LOC147727	563.3947
LOC147804	69.9745	LOC147804	58.7935
LOC148189	64.0916	LOC148189	50.3732
LOC148413	256.2799	LOC148413	136.7587
LOC148709	6.5021	removed	removed
LOC149134	6.5021	removed	removed
LOC149837	94.1249	LOC149837	56.2372
LOC150381	25.6552	LOC150381	43.9673
LOC150776	288.5672	LOC150776	295.501
LOC150786	58.5185	LOC150786	41.411
LOC151009	49.2298	LOC151009	53.681
LOC151162	1599.5046	LOC151162	1232.1063
LOC151174	9.2886	LOC151174	9.2025
LOC151534	146.8101	LOC151534	111.4519
LOC152217	182.0574	LOC152217	218.8139
LOC153328	11.456	removed	removed
LOC153684	29.414	LOC153684	22.4949
LOC154761	87.8272	LOC154761	66.9479
LOC154822	20.5248	LOC154822	23.6708
LOC158376	31.5814	LOC158376	71.5746
LOC158572	31.5814	LOC158572	28.1186
LOC158696	13.6233	LOC158696	9.2025
LOC162632	219.3761	LOC162632	195.2965
LOC168474	14.8618	removed	removed
LOC200030	832.4298	LOC200030	640.9765
removed	removed	LOC201651	7.6687
LOC202181	61.6147	LOC202181	29.1411
LOC202781	200.9443	LOC202781	180.9816
LOC219347	39.3436	LOC219347	54.9233
LOC220594	84.4245	LOC220594	69.0184
LOC220729	124.4678	LOC220729	87.4233
LOC220930	94.6513	LOC220930	81.2883
LOC221442	39.6316	LOC221442	32.2086
LOC221710	428.2065	LOC221710	330.2658
LOC222699	42.7278	LOC222699	19.9387
LOC253039	234.0738	LOC253039	184.0491
LOC253724	8.979	LOC253724	6.6462
LOC254559	140.8778	LOC254559	85.3783
removed	removed	LOC257358	9.2025
LOC25845	306.3859	LOC25845	271.0736
LOC282997	35.9161	LOC282997	31.6973
LOC283050	17.958	LOC283050	54.7035
LOC283070	378.0478	LOC283070	412.0654
LOC283174	76.7861	LOC283174	135.4806
LOC283267	175.5554	LOC283267	298.0573
LOC283314	98.7383	LOC283314	45.6953
removed	removed	LOC283392	105.5879
LOC283663	20.1254	LOC283663	24.0286
removed	removed	LOC283731	10.2249
LOC283867	15.7907	removed	removed
LOC283922	69.0456	LOC283922	33.7423
LOC284023	121.9909	LOC284023	91.5133
LOC284232	13.3137	LOC284232	7.1575
LOC284233	6.5021	removed	removed
LOC284276	13.6233	LOC284276	30.1636
LOC284440	117.3465	LOC284440	128.3231
LOC284441	110.5349	LOC284441	61.8609
LOC284578	8.3598	LOC284578	37.3211
LOC284837	39.0123	LOC284837	31.1861
LOC284900	171.8337	LOC284900	148.5481
LOC285033	38.3095	LOC285033	30.1483
LOC285074	227.2622	LOC285074	284.2536
removed	removed	LOC285205	6.6462
LOC285359	46.1336	LOC285359	27.0961
LOC285593	7.1213	LOC285593	8.18
LOC285830	42.1271	LOC285830	110.1636
LOC286002	17.6484	LOC286002	43.9673
LOC286367	73.9995	LOC286367	97.137
LOC286467	12.0752	LOC286467	7.1575
LOC338651	24.2527	removed	removed
LOC338758	58.2088	LOC338758	102.7607
LOC338799	212.0907	LOC338799	188.1391
LOC339047	863.844	LOC339047	954.499
LOC339290	737.667	LOC339290	1112.4744
LOC339524	195.204	LOC339524	497.4438
LOC339535	44.5855	LOC339535	69.0184
LOC341056	10.8368	LOC341056	7.6687
removed	removed	LOC342346	7.1575
LOC344595	288.2576	LOC344595	200.409
LOC344967	7.7405	removed	removed
LOC348926	79.5727	LOC348926	80.2658
LOC349114	185.7729	LOC349114	121.1656
LOC349196	19.1129	LOC349196	20.138
LOC374443	173.0784	LOC374443	114.5194
removed	removed	LOC374491	5.1125
LOC375190	70.5937	LOC375190	161.0429
LOC387646	46.1336	LOC387646	52.1472
LOC387647	515.2163	LOC387647	392.6329
LOC388152	237.1701	LOC388152	130.8793
LOC388242	11.1464	LOC388242	41.411
LOC388588	23.8409	LOC388588	16.3599
LOC388692	285.7806	LOC388692	305.726
LOC388789	664.4477	LOC388789	688.6503
LOC388796	147.0702	LOC388796	231.0838
LOC388955	293.8308	LOC388955	342.0245
removed	removed	LOC389033	6.6462
LOC389333	50.7779	LOC389333	19.9387
LOC389493	22.6024	LOC389493	32.7198
LOC389705	14.8618	LOC389705	18.4049
LOC390595	8.0502	LOC390595	14.3149
LOC391322	10.8368	LOC391322	5.6237
LOC399744	173.388	LOC399744	212.6789
LOC399959	781.7943	LOC399959	908.998
LOC400027	301.2617	LOC400027	291.9223
LOC400043	265.036	LOC400043	415.6442
LOC400657	184.2248	LOC400657	169.7342
LOC400752	23.8409	LOC400752	29.1411
LOC400759	11.7656	LOC400759	17.8937
removed	removed	LOC400804	11.2474
LOC400927	30.6525	LOC400927	26.3139
LOC400931	33.1295	LOC400931	34.2536
LOC401010	27.2467	LOC401010	17.3824
LOC401052	34.6776	LOC401052	117.0757
LOC401093	103.299	LOC401093	279.09
LOC401127	6.5021	removed	removed
LOC401397	643.0838	LOC401397	637.0143
LOC401431	62.2773	LOC401431	44.499
LOC401463	17.3388	LOC401463	5.6237
LOC401588	71.2129	LOC401588	111.4519
LOC402377	16.4099	LOC402377	6.135
LOC407835	52.0164	LOC407835	25.5624
LOC440173	11.7656	LOC440173	136.5031
LOC440354	107.5594	LOC440354	118.1595
removed	removed	LOC440461	11.2474
LOC440905	35.2968	LOC440905	27.0961
removed	removed	LOC440925	15.8487
LOC440944	182.6767	LOC440944	180.4703
LOC440957	69.3552	LOC440957	134.9693
LOC441046	17.6484	LOC441046	15.8487
LOC441089	118.8947	LOC441089	123.2106
LOC441204	44.8951	LOC441204	73.6196
LOC441208	49.5394	LOC441208	46.0123
LOC441294	31.5814	LOC441294	43.456
LOC441455	8.0502	LOC441455	10.2249
LOC441666	62.5435	LOC441666	59.3047
LOC441869	406.8426	LOC441869	360.9407
LOC442421	16.1003	LOC442421	12.2699
LOC442454	113.0118	LOC442454	100.7157
LOC493754	417.3698	LOC493754	574.6421
LOC541471	96.6019	LOC541471	143.6605
LOC541473	6.2667	removed	removed
LOC550112	237.1701	LOC550112	163.0879
LOC550643	220.1409	LOC550643	323.1084
LOC554202	61.3051	LOC554202	29.6524
removed	removed	LOC55908	11.2935
removed	removed	LOC572558	25.0511
LOC595101	144.5901	LOC595101	95.092
LOC606724	7.1213	LOC606724	24.0286
LOC619207	9.9079	LOC619207	13.8037
LOC641298	96.0198	LOC641298	66.9325
LOC642587	352.3493	LOC642587	769.4274
LOC642826	54.2643	LOC642826	88.0573
LOC642846	77.0958	LOC642846	96.6258
LOC642852	317.6716	LOC642852	133.9468
LOC643008	7.4309	LOC643008	18.9162
LOC643387	33.4391	LOC643387	28.6299
LOC643719	13.3137	LOC643719	13.2924
LOC643763	27.5563	LOC643763	13.2924
LOC643837	145.2125	LOC643837	134.9693
LOC644165	5.5732	LOC644165	11.7178
LOC644172	13.0041	LOC644172	12.2699
LOC644538	135.3046	LOC644538	245.3988
LOC644936	40.5604	LOC644936	30.1636
LOC645166	69.3552	LOC645166	121.1656
LOC645332	82.0497	LOC645332	125.7669
LOC645431	56.2242	LOC645431	11.2474
LOC645676	35.7365	LOC645676	48.7321
LOC646214	91.648	LOC646214	78.7321
LOC646471	58.4782	LOC646471	25.2301
LOC646762	281.1363	LOC646762	200.409
LOC646851	83.9074	LOC646851	39.3661
LOC646999	29.414	LOC646999	15.3374
LOC647121	34.0584	LOC647121	80.2658
LOC647288	8.3598	LOC647288	7.1575
removed	removed	LOC647859	6.135
removed	removed	LOC647946	8.18
LOC647979	13614.6761	LOC647979	13042.4335
LOC648740	6.6723	LOC648740	6.135
LOC649330	7.1213	LOC649330	5.1125
LOC650368	40.87	LOC650368	58.7935
LOC650623	77.0958	LOC650623	42.4335
LOC651250	2355.6003	LOC651250	2131.9018
LOC652276	29.414	LOC652276	8.6912
LOC653113	50.4683	LOC653113	72.5971
LOC653501	156.9781	LOC653501	227.5051
LOC653566	1386.1754	LOC653566	1431.4928
LOC653653	79.5727	LOC653653	92.5358
LOC654342	200.3251	LOC654342	608.3845
LOC654433	42.7278	LOC654433	50.1022
LOC678655	233.7178	LOC678655	216.089
LOC723972	15.7907	removed	removed
LOC727896	19.8158	LOC727896	16.8712
LOC728024	17.0292	LOC728024	27.0961
LOC728190	160.3839	LOC728190	171.7791
LOC728264	1771.9638	LOC728264	1661.0429
LOC728323	46.4432	LOC728323	34.2536
LOC728392	130.3506	LOC728392	84.3558
LOC728554	165.6475	LOC728554	299.0798
LOC728606	130.3506	LOC728606	14.3149
LOC728613	215.1869	LOC728613	152.3517
LOC728640	41.4893	LOC728640	43.456
LOC728643	49.5394	LOC728643	39.3661
LOC728723	11.1464	LOC728723	16.8712
LOC728743	107.129	LOC728743	118.6094
LOC728758	17.958	LOC728758	24.5399
LOC728819	26.3178	LOC728819	53.1697
LOC728855	98.0045	LOC728855	151.2832
