gene_id	TCGA-BH-A0BA-01A-11R-A056-07	gene_id	TCGA-BH-A0BA-11A-22R-A19E-07
ADAM6	72147.7234	ADAM6	167019.7831
ADAM8	138.1201	ADAM8	151.3613
ADAM9	2099.563	ADAM9	1821.4121
ADAMDEC1	13.0237	ADAMDEC1	18.4587
ADAMTS10	178.5622	ADAMTS10	93.6779
ADAMTS12	288.5785	ADAMTS12	249.6539
ADAMTS13	57.9213	ADAMTS13	49.377
ADAMTS14	22.6202	ADAMTS14	6.922
ADAMTS15	613.8291	ADAMTS15	438.8556
ADAMTS16	141.8902	ADAMTS16	70.6045
ADAMTS17	129.8946	ADAMTS17	30.9183
ADAMTS18	24.3338	ADAMTS18	47.5311
ADAMTS19	74.7151	removed	removed
ADAMTS1	3098.6205	ADAMTS1	6870.3276
ADAMTS2	423.9568	ADAMTS2	563.4518
ADAMTS3	36.6721	ADAMTS3	108.4449
ADAMTS4	338.2744	ADAMTS4	250.5768
ADAMTS5	442.4642	ADAMTS5	2736.0406
ADAMTS6	47.2967	ADAMTS6	24.9192
ADAMTS7	120.2982	ADAMTS7	83.9871
ADAMTS8	9.5964	ADAMTS8	35.0715
ADAMTS9	374.261	ADAMTS9	688.048
ADAMTSL1	93.5652	ADAMTSL1	448.0849
ADAMTSL2	171.0222	ADAMTSL2	99.2155
ADAMTSL3	110.7017	ADAMTSL3	280.1108
ADAMTSL4	129.2092	ADAMTSL4	534.8408
ADAMTSL5	34.273	ADAMTSL5	29.0725
ADAP1	43.6535	ADAP1	141.209
ADAP2	157.9985	ADAP2	244.5778
ADARB1	550.0814	ADARB1	790.0323
ADARB2	8.5682	removed	removed
ADAR	10845.3432	ADAR	7548.6848
ADAT1	307.7714	ADAT1	294.4162
ADAT2	61.3486	ADAT2	107.0605
ADAT3	78.4851	ADAT3	31.3798
ADA	86.7107	ADA	113.9825
ADCK1	197.7551	ADCK1	127.365
ADCK2	675.8633	ADCK2	666.359
ADCK4	457.5443	ADCK4	442.0858
ADCK5	116.5281	ADCK5	64.144
ADCY10	50.0386	removed	removed
ADCY1	122.0118	ADCY1	699.5847
ADCY2	1005.5694	ADCY2	128.288
ADCY3	558.3618	ADCY3	1508.5048
ADCY4	283.4376	ADCY4	386.7097
ADCY5	384.2002	ADCY5	533.4564
ADCY6	2568.7602	ADCY6	2186.4329
ADCY7	355.4108	ADCY7	649.2847
ADCY9	1450.7754	ADCY9	928.0111
ADCYAP1R1	11.6528	ADCYAP1R1	97.3696
ADCYAP1	118.9273	ADCYAP1	100.1384
ADC	110.7017	ADC	118.1357
ADD1	3365.2643	ADD1	6464.2363
ADD2	40.4421	ADD2	73.8348
ADD3	5865.4785	ADD3	3610.9829
ADH1A	44.2121	ADH1A	161.9751
ADH1B	3263.4736	ADH1B	20173.5118
ADH1C	241.6245	ADH1C	329.4878
ADH4	17.1365	ADH4	125.5192
ADH5	1439.1226	ADH5	3443.4702
ADHFE1	171.3649	ADHFE1	199.8154
ADI1	1601.2338	ADI1	1630.826
ADIPOQ	2733.956	ADIPOQ	21547.3004
ADIPOR1	4268.7002	ADIPOR1	2446.239
ADIPOR2	2672.95	ADIPOR2	2675.5884
ADK	249.5073	ADK	307.3373
ADM2	125.0964	ADM2	103.3687
ADM	129.2092	ADM	518.6894
ADNP2	804.3869	ADNP2	797.4158
ADNP	3015.3372	ADNP	2635.9022
ADORA1	175.1349	ADORA1	343.7933
ADORA2A	176.1563	ADORA2A	131.5182
ADORA2B	27.0757	ADORA2B	77.0651
ADORA3	99.0489	ADORA3	173.0503
ADO	543.9123	ADO	744.347
ADPGK	1021.9073	ADPGK	831.4167
ADPRHL1	69.9169	ADPRHL1	90.4476
ADPRHL2	560.3633	ADPRHL2	414.8593
ADPRH	196.7269	ADPRH	418.551
ADRA1A	8.2255	ADRA1A	144.9008
ADRA1B	15.4228	ADRA1B	39.6862
ADRA1D	5.8264	removed	removed
ADRA2A	803.3588	ADRA2A	1477.6188
ADRA2B	21.2493	ADRA2B	28.611
ADRA2C	32.9021	ADRA2C	59.9908
ADRB1	8.911	ADRB1	52.1458
ADRB2	155.5993	ADRB2	254.2686
ADRBK1	1244.7948	ADRBK1	1670.9737
ADRBK2	653.9285	ADRBK2	2353.9455
ADRM1	1110.7874	ADRM1	1057.222
ADSL	442.807	ADSL	773.8809
ADSSL1	114.4718	ADSSL1	181.8182
ADSS	2372.376	ADSS	1160.1292
AEBP1	10647.588	AEBP1	8177.665
AEBP2	932.9106	AEBP2	733.7333
AEN	322.5088	AEN	370.5584
AES	5997.4295	AES	5553.2995
AFAP1L1	361.2373	AFAP1L1	451.3152
AFAP1L2	294.4049	AFAP1L2	902.6304
AFAP1	1222.1301	AFAP1	1586.9312
AFF1	2193.1283	AFF1	3030.4569
AFF2	24.3338	AFF2	120.9045
AFF3	1772.5987	AFF3	1692.6627
AFF4	5401.7651	AFF4	4162.4365
AFG3L1	209.0652	AFG3L1	179.0494
AFG3L2	1028.5048	AFG3L2	1002.8334
AFMID	2199.9829	AFMID	440.7014
AFP	19.5356	AFP	13.3826
AFTPH	1973.0957	AFTPH	1449.9308
AG2	248.1364	AG2	201.1998
AGAP11	50.0386	AGAP11	79.8431
AGAP1	428.4123	AGAP1	514.9977
AGAP2	122.8961	AGAP2	125.3392
AGAP3	1401.0796	AGAP3	1214.1209
AGAP4	146.3456	AGAP4	141.6705
AGAP5	58.1887	AGAP5	18.4587
AGAP6	77.1142	AGAP6	53.5302
AGAP7	7.5401	AGAP7	5.5376
AGAP8	62.3768	AGAP8	14.3055
AGA	703.6244	AGA	567.1435
AGBL2	5.1409	AGBL2	5.5376
AGBL3	8.911	AGBL3	5.9991
AGBL5	360.2296	AGBL5	726.8159
AGER	28.1038	AGER	79.3724
AGFG1	1513.1523	AGFG1	2143.9778
AGFG2	525.7476	AGFG2	490.5399
AGGF1	1223.8883	AGGF1	763.7287
AGK	624.111	AGK	437.9326
AGL	1000.4284	AGL	1257.4988
AGMAT	23.9911	AGMAT	21.2275
AGPAT1	1412.9209	AGPAT1	1867.7111
AGPAT2	1688.9727	AGPAT2	3520.0738
AGPAT3	2535.1727	AGPAT3	2014.767
AGPAT4	111.0445	AGPAT4	263.4979
AGPAT5	1032.9877	AGPAT5	635.4407
AGPAT6	1432.6107	AGPAT6	1465.6207
AGPAT9	162.7967	AGPAT9	169.82
AGPHD1	54.8368	AGPHD1	53.5302
AGPS	1313.6835	AGPS	1226.5805
AGR2	4856.1391	AGR2	2674.204
AGR3	4035.3012	AGR3	392.2473
AGRN	3059.892	AGRN	4382.0951
AGTPBP1	242.6527	AGTPBP1	370.0969
AGTR1	61.0059	AGTR1	390.4015
removed	removed	AGTR2	7.8449
AGTRAP	776.9686	AGTRAP	620.6737
AGT	27.0757	AGT	155.0531
AGXT2L2	436.7783	AGXT2L2	477.9972
AGXT	11.3101	removed	removed
AHCTF1	2235.9695	AHCTF1	1304.1071
AHCYL1	2423.7855	AHCYL1	3802.0305
AHCYL2	2506.3833	AHCYL2	918.3203
AHCY	3472.8815	AHCY	3026.7651
AHDC1	650.844	AHDC1	1125.0577
AHI1	270.4138	AHI1	317.0281
AHNAK2	319.0815	AHNAK2	1467.0051
AHNAK	41356.8674	AHNAK	101874.4808
AHRR	6.1691	AHRR	11.9982
AHR	2019.707	AHR	2819.5662
AHSA1	1843.8866	AHSA1	1319.797
AHSA2	190.5578	AHSA2	256.5759
AIDA	1235.6096	AIDA	1055.4176
AIF1L	1438.7799	AIF1L	1858.3295
AIF1	244.0236	AIF1	288.4172
AIFM1	1453.86	AIFM1	641.9012
AIFM2	190.9005	AIFM2	1149.054
AIFM3	5.6345	removed	removed
AIG1	639.1912	AIG1	844.9469
AIM1L	25.362	AIM1L	12.9211
AIM1	2061.8627	AIM1	2311.4905
AIM2	21.9347	AIM2	13.844
AIMP1	1079.2563	AIMP1	710.9322
AIMP2	285.6825	AIMP2	265.3161
AIP	502.442	AIP	841.7167
AJAP1	9.5964	removed	removed
AK1	477.4227	AK1	461.4675
AK2	1735.2412	AK2	1640.0554
AK3L1	500.7283	AK3L1	625.7499
AK3	1218.7473	AK3	1997.6927
AK5	124.7537	AK5	768.8048
AK7	38.7285	AK7	23.0734
AKAP10	495.9301	AKAP10	563.4518
AKAP11	1775.6833	AKAP11	2609.5985
AKAP12	1092.28	AKAP12	3867.0974
AKAP13	2602.6904	AKAP13	4628.9802
AKAP1	1372.2903	AKAP1	2244.1163
AKAP2	638.3823	AKAP2	2148.5879
AKAP3	8.911	AKAP3	29.5339
AKAP5	2169.1372	AKAP5	120.9045
AKAP6	137.0919	AKAP6	217.8126
AKAP7	73.6869	AKAP7	188.2787
AKAP8L	842.7727	AKAP8L	451.3152
AKAP8	853.0546	AKAP8	467.4665
AKAP9	6065.6328	AKAP9	2273.1887
AKD1	96.6498	AKD1	94.1394
AKIRIN1	741.3247	AKIRIN1	1242.7319
AKIRIN2	456.1734	AKIRIN2	655.7453
AKNA	888.6985	AKNA	961.2367
AKR1A1	3969.497	AKR1A1	1582.3719
AKR1B10	15.4228	AKR1B10	153.6687
AKR1B15	1988.8613	removed	removed
AKR1B1	646.3885	AKR1B1	1098.754
AKR1C1	543.5695	AKR1C1	5026.7651
AKR1C2	1428.1553	AKR1C2	3693.1241
AKR1C3	376.3174	AKR1C3	2610.9829
AKR1D1	852.7118	removed	removed
AKR1E2	57.2359	AKR1E2	28.1495
AKR7A2	596.3499	AKR7A2	1026.3036
AKR7A3	613.4864	AKR7A3	101.9843
AKR7L	47.9822	AKR7L	13.3826
AKT1S1	769.0858	AKT1S1	828.3341
AKT1	4720.7609	AKT1	3027.2266
AKT2	3167.1665	AKT2	2593.9086
AKT3	562.7624	AKT3	1087.2174
AKTIP	402.9132	AKTIP	500.0277
ALAD	1389.0841	ALAD	2048.9156
ALAS1	950.3899	ALAS1	948.7771
ALB	9.9392	ALB	308.7217
ALCAM	17387.7131	ALCAM	3088.1403
ALDH16A1	856.1391	ALDH16A1	532.9949
ALDH18A1	1806.1863	ALDH18A1	1736.0406
ALDH1A1	630.2802	ALDH1A1	3518.6894
ALDH1A2	81.227	ALDH1A2	412.5519
ALDH1A3	985.8898	ALDH1A3	965.1084
ALDH1B1	356.439	ALDH1B1	577.7573
ALDH1L1	112.0727	ALDH1L1	670.5122
ALDH1L2	261.5029	ALDH1L2	404.2455
ALDH2	4494.5592	ALDH2	9498.3849
removed	removed	ALDH3A1	874.0194
ALDH3A2	2085.8538	ALDH3A2	3325.3346
ALDH3B1	153.2002	ALDH3B1	539.9169
ALDH3B2	10601.6622	ALDH3B2	963.0826
ALDH4A1	3984.9199	ALDH4A1	1749.8846
ALDH5A1	309.8278	ALDH5A1	709.2755
ALDH6A1	1150.2425	ALDH6A1	903.8486
ALDH7A1	1722.2175	ALDH7A1	2824.6424
ALDH8A1	5.4837	ALDH8A1	9.6908
ALDH9A1	3237.7688	ALDH9A1	4177.2035
ALDOA	21658.8124	ALDOA	13546.3775
ALDOC	133.6646	ALDOC	2410.706
ALG10B	1128.2666	ALG10B	562.0674
ALG10	356.7818	ALG10	167.9742
ALG11	20.5638	removed	removed
ALG12	492.5028	ALG12	544.9931
ALG13	794.7905	ALG13	393.1703
ALG14	200.8397	ALG14	149.054
removed	removed	ALG1L	19.2109
ALG1	1211.6768	ALG1	521.3013
ALG2	1165.6242	ALG2	760.0369
ALG3	664.5532	ALG3	534.3793
ALG5	629.9375	ALG5	567.605
ALG6	527.1185	ALG6	270.4199
ALG8	859.9092	ALG8	752.6534
ALG9	540.1422	ALG9	630.826
ALKBH1	746.8083	ALKBH1	186.8943
ALKBH2	234.7699	ALKBH2	227.9649
ALKBH3	289.9494	ALKBH3	242.7319
ALKBH4	268.0696	ALKBH4	214.8823
ALKBH5	1461.0573	ALKBH5	1877.5588
ALKBH6	115.8427	ALKBH6	58.6064
ALKBH7	531.9167	ALKBH7	577.2958
ALKBH8	214.8916	ALKBH8	240.4246
ALMS1	584.0117	ALMS1	885.5561
removed	removed	ALOX12P2	12.4596
removed	removed	ALOX12	7.8449
ALOX15B	33561.1344	ALOX15B	454.084
