gene_id	TCGA-E2-A1IG-01A-11R-A144-07	gene_id	TCGA-E2-A1IG-11A-22R-A144-07
AHNAK2	2254.1616	AHNAK2	953.4638
AHNAK	23368.6561	AHNAK	142892.6494
AHRR	9.7442	AHRR	11.1052
AHR	707.6736	AHR	2848.7573
AHSA1	2155.9074	AHSA1	1353.2522
AHSA2	364.596	AHSA2	362.771
AIDA	1130.3735	AIDA	1494.5267
AIF1L	141.6971	AIF1L	2790.587
AIF1	211.5307	AIF1	383.9238
AIFM1	904.5879	AIFM1	946.5891
AIFM2	173.3658	AIFM2	2061.872
AIFM3	42.5822	AIFM3	8.4611
AIG1	509.9472	AIG1	843.4691
AIM1L	42.6309	removed	removed
AIM1	2153.8774	AIM1	3142.7816
AIM2	9.3382	AIM2	6.8747
AIMP1	1104.9655	AIMP1	873.6118
AIMP2	381.3764	AIMP2	279.1274
AIP	2845.3106	AIP	730.3014
AJAP1	22.7365	AJAP1	11.1052
AK1	644.3362	AK1	622.9508
AK2	2206.2525	AK2	2170.2803
AK3L1	93.7881	AK3L1	827.0756
AK3	1207.8766	AK3	2380.7509
AK5	43.849	AK5	1083.0249
AK7	55.2172	AK7	28.5563
AKAP10	328.0552	AKAP10	555.7906
AKAP11	863.581	AKAP11	2268.1121
AKAP12	1646.7722	AKAP12	7766.7901
AKAP13	2308.1608	AKAP13	4191.4331
AKAP1	2285.4243	AKAP1	2783.7123
AKAP2	639.3179	AKAP2	3047.6626
AKAP3	12.1803	AKAP3	22.7393
AKAP5	103.9383	AKAP5	31.2004
AKAP6	39.7889	AKAP6	185.6161
AKAP7	77.9537	AKAP7	254.3628
AKAP8L	934.6326	AKAP8L	613.432
AKAP8	660.5765	AKAP8	580.1163
AKAP9	2195.6963	AKAP9	2191.9619
AKD1	178.6439	AKD1	136.4357
AKIRIN1	936.6626	AKIRIN1	1650.9783
AKIRIN2	527.4056	AKIRIN2	911.1581
AKNA	315.0629	AKNA	935.4839
AKR1A1	2370.2801	AKR1A1	1419.3548
AKR1B10	7.3082	removed	removed
removed	removed	AKR1B15	34.3733
AKR1B1	596.0211	AKR1B1	967.2131
AKR1C1	19.8944	AKR1C1	4152.3004
AKR1C2	37.7588	AKR1C2	6290.8514
AKR1C3	194.4783	AKR1C3	3427.2871
removed	removed	AKR1D1	10.5764
AKR1E2	10.5562	AKR1E2	33.3157
AKR7A2	1413.7231	AKR7A2	957.1655
AKR7A3	837.5964	AKR7A3	52.8821
AKR7L	47.9091	AKR7L	7.4035
AKT1S1	1000	AKT1S1	913.8022
AKT1	3364.596	AKT1	3718.6674
AKT2	3050.7511	AKT2	4723.4268
AKT3	560.2923	AKT3	1253.834
AKTIP	647.2067	AKTIP	634.4474
ALAD	1386.5205	ALAD	4035.431
ALAS1	683.313	ALAS1	816.4992
ALB	6.0901	ALB	392.385
ALCAM	1179.4559	ALCAM	2392.9138
ALDH16A1	617.1336	ALDH16A1	670.0159
ALDH18A1	1790.9054	ALDH18A1	1349.5505
ALDH1A1	159.5615	ALDH1A1	3310.4178
ALDH1A2	18.2704	ALDH1A2	563.1941
ALDH1A3	305.0102	ALDH1A3	4977.0386
ALDH1B1	1573.2846	ALDH1B1	583.8181
ALDH1L1	6.9022	ALDH1L1	2706.5045
ALDH1L2	441.3317	ALDH1L2	387.0968
ALDH2	474.6244	ALDH2	19546.8006
removed	removed	ALDH3A1	36.4886
ALDH3A2	1097.4421	ALDH3A2	3610.2591
ALDH3B1	647.9903	ALDH3B1	218.9318
ALDH3B2	7812.0179	ALDH3B2	920.1481
ALDH4A1	664.6366	ALDH4A1	3276.5732
ALDH5A1	711.3276	ALDH5A1	846.642
ALDH6A1	347.2797	ALDH6A1	1085.1824
ALDH7A1	914.7381	ALDH7A1	1983.0777
ALDH8A1	48.3151	ALDH8A1	10.5764
ALDH9A1	2552.1721	ALDH9A1	4564.7805
ALDOA	16488.8348	ALDOA	15286.092
removed	removed	ALDOB	13.2205
ALDOC	462.8502	ALDOC	2007.9323
ALG10B	492.8948	ALG10B	288.7361
ALG10	79.1717	ALG10	104.1777
ALG11	12.1803	ALG11	7.4035
ALG12	651.6443	ALG12	415.1243
ALG13	535.9318	ALG13	528.8207
ALG14	138.449	ALG14	193.0196
ALG1L	31.5997	removed	removed
ALG1	664.7138	ALG1	358.5299
ALG2	789.2814	ALG2	704.3892
ALG3	934.6326	ALG3	447.3823
ALG5	658.5465	ALG5	502.9085
ALG6	207.0646	ALG6	238.4981
ALG8	513.1953	ALG8	688.5246
ALG9	367.0321	ALG9	622.9508
ALKBH1	194.0723	ALKBH1	190.9043
ALKBH2	317.499	ALKBH2	210.4707
ALKBH3	70.6456	ALKBH3	304.0719
ALKBH4	280.3207	ALKBH4	142.9878
ALKBH5	1603.309	ALKBH5	1740.825
ALKBH6	123.0207	ALKBH6	54.4685
ALKBH7	630.1259	ALKBH7	423.0566
ALKBH8	233.0491	ALKBH8	190.3755
removed	removed	ALK	10.0476
ALMS1	898.9038	ALMS1	672.66
removed	removed	ALOX12P2	19.5664
removed	removed	ALOX12	6.9646
ALOX15B	137.231	ALOX15B	1139.6087
ALOX15	19.8944	ALOX15	88.3131
ALOX5AP	453.106	ALOX5AP	287.6785
ALOX5	235.4852	ALOX5	253.3051
removed	removed	ALOXE3	7.4035
ALPK1	476.6545	ALPK1	628.7678
ALPK2	155.9074	ALPK2	11.1052
ALPK3	691.4332	ALPK3	1459.0164
ALPL	429.1514	ALPL	1400.8461
ALS2CL	151.4413	ALS2CL	354.8387
removed	removed	ALS2CR11	15.3358
ALS2CR4	613.4795	ALS2CR4	949.2332
ALS2CR8	121.8027	ALS2CR8	152.8292
ALS2	768.5749	ALS2	699.6298
ALX3	14.2103	ALX3	19.5664
removed	removed	ALX4	17.4511
AMACR	524.1575	AMACR	266.5256
AMBP	22.3305	AMBP	5.2882
AMBRA1	752.7406	AMBRA1	911.1581
AMD1	943.9708	AMD1	1753.5695
removed	removed	AMDHD1	8.99
AMDHD2	323.784	AMDHD2	205.2882
AMFR	3234.2672	AMFR	2470.1216
AMH	6.4961	removed	removed
AMICA1	51.5631	AMICA1	143.3104
AMIGO1	41.8189	AMIGO1	124.8017
AMIGO2	1075.5177	AMIGO2	1655.7324
AMIGO3	120.9907	AMIGO3	49.1803
AMMECR1L	1027.2026	AMMECR1L	1020.0952
AMMECR1	282.5822	AMMECR1	181.9143
AMN1	280.9582	AMN1	126.3882
AMOTL1	803.4917	AMOTL1	2530.936
AMOTL2	1387.7385	AMOTL2	4656.7953
AMOT	140.8851	AMOT	1264.9392
removed	removed	AMPD1	12.6917
AMPD2	782.3792	AMPD2	674.2464
AMPD3	262.2818	AMPD3	235.3252
AMPH	109.2164	AMPH	182.4432
AMT	50.6334	AMT	170.8778
removed	removed	AMY1A	12.1629
AMY2B	142.7446	AMY2B	179.1909
AMZ1	227.365	AMZ1	5.817
AMZ2P1	457.1661	AMZ2P1	154.4157
AMZ2	2040.1949	AMZ2	1237.9693
ANAPC10	97.8482	ANAPC10	109.9947
ANAPC11	2465.2862	ANAPC11	647.2766
ANAPC13	1046.0495	ANAPC13	1115.3411
ANAPC16	1662.6066	ANAPC16	2349.5505
ANAPC1	486.3987	ANAPC1	721.8403
ANAPC2	997.1579	ANAPC2	642.5172
ANAPC4	483.5566	ANAPC4	468.0063
ANAPC5	2406.4149	ANAPC5	2182.4432
ANAPC7	1135.607	ANAPC7	760.973
ANGEL1	412.5051	ANGEL1	557.9059
ANGEL2	788.8754	ANGEL2	597.0386
ANGPT1	32.0747	ANGPT1	1269.6986
ANGPT2	406.0089	ANGPT2	329.9841
removed	removed	ANGPT4	63.9873
ANGPTL1	36.9468	ANGPTL1	805.9228
ANGPTL2	2658.1405	ANGPTL2	5686.4093
ANGPTL4	77.5477	ANGPTL4	1430.4601
removed	removed	ANGPTL5	7.9323
removed	removed	ANGPTL7	268.6409
ANG	120.1096	ANG	418.3448
ANK1	289.8904	ANK1	20.624
ANK2	250.9135	ANK2	1228.4506
ANK3	637.028	ANK3	759.3866
ANKAR	12.5863	ANKAR	38.0751
ANKDD1A	55.6232	ANKDD1A	300.899
ANKFY1	1324.8071	ANKFY1	2147.541
ANKHD1-EIF4EBP3	1277.9781	ANKHD1-EIF4EBP3	809.8096
ANKHD1	1866.7032	ANKHD1	2209.302
ANKH	3151.4413	ANKH	1696.9857
ANKIB1	2094.1941	ANKIB1	1534.1089
removed	removed	ANKK1	34.3733
ANKLE1	10.9622	ANKLE1	6.8747
ANKLE2	1917.1742	ANKLE2	1729.2438
ANKMY1	399.9188	ANKMY1	195.6637
ANKMY2	343.8896	ANKMY2	452.1417
ANKRA2	404.7909	ANKRA2	245.3728
ANKRD10	1144.5392	ANKRD10	1081.9672
ANKRD11	2239.2205	ANKRD11	2717.5886
ANKRD12	1264.7178	ANKRD12	1263.3527
ANKRD13A	1091.352	ANKRD13A	1028.5563
ANKRD13B	659.3585	ANKRD13B	163.4056
ANKRD13C	659.7645	ANKRD13C	598.6251
ANKRD13D	2719.4478	ANKRD13D	325.2247
ANKRD16	209.4803	ANKRD16	132.1259
ANKRD17	2571.2546	ANKRD17	3075.6214
ANKRD19	34.5108	ANKRD19	18.5087
ANKRD1	110.4344	removed	removed
removed	removed	ANKRD20A3	8.4611
ANKRD22	198.5384	ANKRD22	81.4384
ANKRD23	30.8567	ANKRD23	31.2004
ANKRD24	100.2842	ANKRD24	29.614
ANKRD26	155.9074	ANKRD26	246.4305
ANKRD27	421.0313	ANKRD27	784.77
ANKRD28	878.1973	ANKRD28	1248.5457
ANKRD29	157.9375	ANKRD29	309.8889
ANKRD30A	710.1096	ANKRD30A	126.917
removed	removed	ANKRD30B	6.8747
ANKRD32	154.6894	ANKRD32	131.1475
ANKRD34A	19.0824	ANKRD34A	18.5087
ANKRD35	47.097	ANKRD35	197.779
ANKRD36BP1	87.2919	ANKRD36BP1	162.348
ANKRD36B	23.1425	ANKRD36B	41.248
ANKRD36	155.5014	ANKRD36	152.3004
ANKRD37	53.7921	ANKRD37	98.2655
ANKRD39	164.8396	ANKRD39	118.4558
ANKRD40	2114.4945	ANKRD40	3029.614
ANKRD42	203.4105	ANKRD42	195.6637
ANKRD43	8.9322	ANKRD43	30.1428
ANKRD44	24.7665	ANKRD44	114.2253
ANKRD45	7.7142	ANKRD45	8.99
ANKRD46	375.0995	ANKRD46	619.9048
ANKRD49	202.1924	ANKRD49	180.3279
ANKRD50	4699.5534	ANKRD50	987.3083
ANKRD52	1301.2586	ANKRD52	1374.4051
ANKRD53	6.0901	ANKRD53	66.1026
ANKRD54	518.0674	ANKRD54	231.6235
ANKRD56	45.879	ANKRD56	107.3506
ANKRD57	779.1311	ANKRD57	622.422
ANKRD58	10.5562	removed	removed
ANKRD5	298.0106	ANKRD5	272.3427
ANKRD6	311.214	ANKRD6	287.6097
ANKRD9	105.5623	ANKRD9	61.872
ANKS1A	1035.7288	ANKS1A	1541.5124
ANKS1B	102.3143	ANKS1B	70.3332
ANKS3	274.868	ANKS3	175.5685
