gene_id	TCGA-BH-A1EN-01A-11R-A13Q-07	gene_id	TCGA-BH-A1EN-11A-23R-A13Q-07
NCRNA00116	85.7357	NCRNA00116	119.469
NCRNA00120	11.4314	NCRNA00120	39.823
NCRNA00152	234.9792	NCRNA00152	117.4041
NCRNA00164	6.3508	removed	removed
NCRNA00171	31.6587	NCRNA00171	30.9469
removed	removed	NCRNA00173	8.8496
NCRNA00174	38.4223	NCRNA00174	127.1386
removed	removed	NCRNA00176	6.4897
NCRNA00181	53.1148	NCRNA00181	99.5723
NCRNA00182	19.6874	NCRNA00182	57.5221
NCRNA00183	278.1646	NCRNA00183	255.7522
NCRNA00188	5598.538	NCRNA00188	8529.2035
NCRNA00201	323.7569	NCRNA00201	684.4749
removed	removed	NCRNA00204B	12.3894
NCRNA00219	160.3574	NCRNA00219	464.3068
NCS1	307.3782	NCS1	442.1829
NCSTN	4618.7987	NCSTN	2648.1357
NDC80	145.4331	NDC80	21.2389
NDE1	360.3311	NDE1	337.9351
NDEL1	927.5327	NDEL1	983.1858
NDFIP1	5033.6354	NDFIP1	3329.7935
NDFIP2	788.768	NDFIP2	649.8525
NDNL2	350.246	NDNL2	441.2979
NDN	142.8928	NDN	1497.0501
NDOR1	325.1604	NDOR1	326.2537
removed	removed	NDP	44.2478
NDRG1	2710.8343	NDRG1	8485.2507
NDRG2	835.4463	NDRG2	5425.0737
NDRG3	1676.9258	NDRG3	837.4631
NDRG4	12.0665	NDRG4	573.7463
NDST1	3744.7427	NDST1	5869.6165
NDST2	525.2103	NDST2	625.9587
removed	removed	NDST3	6.1947
NDUFA10	2957.88	NDUFA10	1723.3038
NDUFA11	1193.9483	NDUFA11	1028.3186
NDUFA12	852.5934	NDUFA12	563.7168
NDUFA13	3839.8807	NDUFA13	1712.6962
NDUFA1	2872.7794	NDUFA1	1178.7611
NDUFA2	1406.6998	NDUFA2	732.7434
NDUFA3	964.6849	NDUFA3	461.9469
NDUFA4L2	162.5802	NDUFA4L2	592.0354
NDUFA4	7302.4547	NDUFA4	2617.4041
NDUFA5	2685.1136	NDUFA5	1232.1534
NDUFA6	2115.7654	NDUFA6	830.3835
NDUFA7	692.8711	NDUFA7	334.5133
NDUFA8	741.1371	NDUFA8	729.2035
NDUFA9	1879.516	NDUFA9	1019.764
NDUFAB1	1380.6615	NDUFAB1	680.236
NDUFAF1	368.3458	NDUFAF1	293.2153
NDUFAF2	215.6093	NDUFAF2	134.8083
NDUFAF3	711.9234	NDUFAF3	834.2183
NDUFAF4	205.7656	NDUFAF4	242.4779
NDUFB10	1663.9067	NDUFB10	932.4484
NDUFB11	2365.0338	NDUFB11	876.1062
NDUFB1	1037.0838	NDUFB1	565.4867
NDUFB2	2845.779	NDUFB2	923.5959
NDUFB3	1363.8319	NDUFB3	481.1209
NDUFB4	3404.3404	NDUFB4	1287.6106
NDUFB5	1415.9084	NDUFB5	1516.2242
NDUFB6	963.7322	NDUFB6	513.5693
NDUFB7	1227.29	NDUFB7	935.6932
NDUFB8	2023.6789	NDUFB8	1346.2566
NDUFB9	4472.5463	NDUFB9	1707.0826
NDUFC1	797.9766	NDUFC1	461.0619
NDUFC2	33075.2267	NDUFC2	2185.2507
NDUFS1	3683.7752	NDUFS1	1517.1091
NDUFS2	4075.3013	NDUFS2	1848.9676
NDUFS3	2037.8412	NDUFS3	983.4248
NDUFS4	650.9559	NDUFS4	733.9233
NDUFS5	2008.7546	NDUFS5	1671.0914
NDUFS6	1158.0664	NDUFS6	499.115
NDUFS7	472.3558	NDUFS7	543.1475
NDUFS8	1635.3282	NDUFS8	775.5162
NDUFV1	2681.3031	NDUFV1	1804.1298
NDUFV2	1965.2517	NDUFV2	1279.056
NDUFV3	1062.8045	NDUFV3	674.0413
NEAT1	1287.3049	NEAT1	7603.8348
NEBL	4628.455	NEBL	1486.4307
removed	removed	NEB	14.4543
NECAB1	11.4314	NECAB1	205.0147
NECAB2	10.4788	NECAB2	46.9027
NECAB3	849.418	NECAB3	268.4366
NECAP1	1346.0497	NECAP1	673.7463
NECAP2	750.0282	NECAP2	1450.7375
NEDD1	282.6101	NEDD1	509.7345
NEDD4L	1453.3781	NEDD4L	1394.6903
NEDD4	383.2701	NEDD4	719.174
NEDD8	3261.4477	NEDD8	1556.0472
NEDD9	2244.0513	NEDD9	1863.1268
NEFH	6.6683	NEFH	28.3186
removed	removed	NEFM	17.9941
NEGR1	95.8969	NEGR1	820.649
NEIL1	70.4938	NEIL1	102.9499
NEIL2	236.2494	NEIL2	460.472
NEIL3	44.4555	removed	removed
removed	removed	NEK10	186.7257
NEK11	145.1155	NEK11	229.2035
NEK1	178.4572	NEK1	584.9558
NEK2	299.7572	NEK2	13.8643
NEK3	57.4746	NEK3	276.4012
NEK4	553.1537	NEK4	425.0737
removed	removed	NEK5	7.9646
NEK6	1277.7787	NEK6	733.6283
NEK7	1537.526	NEK7	2907.9646
NEK8	26.6733	NEK8	56.3422
NEK9	1384.7895	NEK9	3052.5074
NELF	267.0507	NELF	616.2242
removed	removed	NELL2	61.6519
NENF	1453.0605	NENF	1035.6932
NEO1	1512.7579	NEO1	1458.7021
NES	518.5419	NES	6136.5782
NET1	3682.8225	NET1	3142.4779
NETO2	53.3466	NETO2	120.944
NEU1	1454.0131	NEU1	981.7109
NEU3	110.1862	NEU3	90.5605
NEURL1B	1135.2035	NEURL1B	3376.9912
NEURL2	13.6447	NEURL2	17.9469
removed	removed	NEURL3	25.6637
NEURL4	295.3117	NEURL4	497.9145
removed	removed	NEURL	8.2596
removed	removed	NEUROG2	10.0295
NEXN	161.9451	NEXN	917.1091
NF1	766.2227	NF1	2217.1091
NF2	1527.0472	NF2	965.4867
NFAM1	97.4846	NFAM1	173.7463
NFASC	25.7779	NFASC	761.9617
NFAT5	765.5876	NFAT5	2393.5103
NFATC1	173.3765	NFATC1	614.7493
NFATC2IP	638.5718	NFATC2IP	763.1268
NFATC2	17.7822	NFATC2	154.8673
NFATC3	504.2526	NFATC3	1095.8702
NFATC4	1189.1852	NFATC4	779.351
NFE2L1	2789.9016	NFE2L1	9995.8702
NFE2L2	2169.4295	NFE2L2	3217.7552
NFE2L3	166.7082	NFE2L3	286.4307
removed	removed	NFE2	5.3097
NFIA	1368.9126	NFIA	2995.2802
NFIB	2088.457	NFIB	6012.9794
NFIC	1253.6457	NFIC	1326.2537
NFIL3	369.2984	NFIL3	640.413
NFIX	815.1238	NFIX	4702.9499
NFKB1	856.0864	NFKB1	1637.7581
NFKB2	782.4172	NFKB2	759.292
NFKBIA	1037.4014	NFKBIA	2274.6313
NFKBIB	214.0216	NFKBIB	264.3068
NFKBID	8.256	NFKBID	29.7935
NFKBIE	228.3109	NFKBIE	194.1003
NFKBIL1	195.6043	NFKBIL1	356.9322
NFKBIL2	215.2917	NFKBIL2	51.8968
NFKBIZ	76.8445	NFKBIZ	614.7493
NFRKB	324.2078	NFRKB	742.4779
NFS1	737.6441	NFS1	457.5221
NFU1	493.7738	NFU1	813.5693
NFX1	2067.8169	NFX1	1297.0501
NFXL1	200.5992	NFXL1	191.2271
NFYA	1039.6242	NFYA	786.4307
NFYB	660.4821	NFYB	986.4307
NFYC	600.0797	NFYC	898.3628
NGDN	442.3325	NGDN	481.1209
NGEF	11.1139	NGEF	53.6873
NGFRAP1	3185.2382	NGFRAP1	1346.3127
NGFR	85.4181	NGFR	1432.1534
removed	removed	NGF	29.7935
NGLY1	481.0723	NGLY1	597.3451
NGRN	2653.9947	NGRN	2750.4484
removed	removed	NHEDC1	6.4897
NHEDC2	53.9817	NHEDC2	281.1209
NHEJ1	231.9054	NHEJ1	309.7345
NHLRC1	51.4414	NHLRC1	89.3805
NHLRC2	400.0997	NHLRC2	161.3569
NHLRC3	405.4979	NHLRC3	900
removed	removed	NHLRC4	34.2183
NHP2L1	3280.8176	NHP2L1	1962.2419
NHP2	2256.4353	NHP2	920.944
NHSL1	196.8745	NHSL1	460.472
NHSL2	74.6218	NHSL2	166.0767
NHS	94.3092	NHS	337.7581
NICN1	106.0582	NICN1	355.5369
NID1	1667.695	NID1	5661.8466
NID2	818.2992	NID2	1071.3864
NIF3L1	705.8902	NIF3L1	359.292
NINJ1	1595.3182	NINJ1	1174.0413
NINJ2	91.7689	NINJ2	173.5015
NINL	7.9385	NINL	241.8879
NIN	1421.9417	NIN	1433.6283
NIP7	406.768	NIP7	500.59
NIPA1	572.8412	NIPA1	395.5752
NIPA2	1699.7887	NIPA2	765.4867
NIPAL1	28.261	NIPAL1	19.764
NIPAL2	927.2152	NIPAL2	265.1917
NIPAL3	1643.2667	NIPAL3	997.3451
NIPBL	2145.2965	NIPBL	2352.8024
NIPSNAP1	2356.4603	NIPSNAP1	764.6018
NIPSNAP3A	248.9509	NIPSNAP3A	774.3363
NIPSNAP3B	11.4505	NIPSNAP3B	475.587
NISCH	976.7513	NISCH	2339.528
NIT1	558.8821	NIT1	639.3746
NIT2	609.9933	NIT2	617.9941
removed	removed	NKAIN1	10.3245
removed	removed	NKAIN2	21.5339
removed	removed	NKAPL	49.5575
NKAP	452.8113	NKAP	334.8083
NKD1	287.6907	NKD1	27.4336
NKD2	31.7539	NKD2	41.2979
NKG7	14.9244	NKG7	207.6696
NKIRAS1	324.2078	NKIRAS1	294.9853
NKIRAS2	879.5843	NKIRAS2	839.823
removed	removed	NKPD1	25.0737
NKRF	284.8329	NKRF	274.3363
NKTR	808.773	NKTR	2052.8024
NKX3-1	57.4746	NKX3-1	136.8732
NKX3-2	7.6209	removed	removed
removed	removed	NKX6-1	9.4395
NLE1	129.2386	NLE1	361.0619
removed	removed	NLGN1	48.3776
NLGN2	185.443	NLGN2	682.3009
NLGN3	20.9576	NLGN3	43.0678
NLGN4X	176.2344	NLGN4X	256.3422
NLK	184.1729	NLK	429.4985
NLN	572.5236	NLN	282.3009
NLRC3	36.8346	NLRC3	128.0236
NLRC4	47.3134	NLRC4	63.4218
NLRC5	177.187	NLRC5	1005.6047
NLRP12	7.3034	NLRP12	10.9145
NLRP1	208.6234	NLRP1	885.2507
NLRP2	922.4521	NLRP2	122.7139
NLRP3	30.4838	NLRP3	89.3805
removed	removed	NLRP5	10.0295
NLRP7	7.9385	removed	removed
NLRP8	9.2086	removed	removed
NLRX1	160.675	NLRX1	675.5162
NMB	50.1712	NMB	495.5752
NMD3	1446.0747	NMD3	1146.3127
NME1-NME2	36.4853	NME1-NME2	32.4159
NME1	1863.7692	NME1	494.885
NME2P1	69.8587	NME2P1	41.0029
NME2	5641.3074	NME2	4743.7906
NME3	314.0465	NME3	331.5634
NME4	2199.2782	NME4	1401.7699
removed	removed	NME5	34.5133
NME6	295.6292	NME6	184.6608
NME7	191.7176	NME7	192.5133
NMI	197.8271	NMI	384.0708
NMNAT1	116.8545	NMNAT1	351.3274
NMNAT2	6.3508	NMNAT2	798.5251
NMNAT3	6.0332	NMNAT3	215.0442
NMRAL1	844.3374	NMRAL1	387.9056
NMT1	1565.787	NMT1	3166.3717
NMT2	173.3765	NMT2	1172.5664
removed	removed	NMUR1	185.5457
NNAT	12.0665	NNAT	540.118
NNMT	1115.8336	NNMT	4000.885
NNT	2017.9632	NNT	1526.5487
NOB1	589.3532	NOB1	1135.3982
NOC2L	1163.22	NOC2L	1336.1504
NOC3L	322.6201	NOC3L	455.4572
NOC4L	196.5569	NOC4L	158.9971
NOD1	341.3549	NOD1	728.3186
NOD2	315.3167	NOD2	46.6077
removed	removed	NODAL	10.9145
NOL10	1210.7779	NOL10	652.5074
NOL11	1328.2675	NOL11	907.6696
NOL12	210.5414	NOL12	192.2714
NOL3	369.2984	NOL3	371.0914
removed	removed	NOL4	5.8997
NOL6	1730.9075	NOL6	973.7463
NOL7	747.4879	NOL7	572.2714
NOL8	718.5918	NOL8	867.2566
NOL9	139.7174	NOL9	220.649
NOLC1	3875.569	NOLC1	1945.1327
NOM1	863.3898	NOM1	478.1711
NOMO1	5762.7059	NOMO1	2880.236
NOMO2	3508.1758	NOMO2	1803.2448
NOMO3	3665.3579	NOMO3	1051.6224
NONO	9098.4579	NONO	5814.7493
NOP10	1083.1271	NOP10	841.2979
NOP14	1635.5504	NOP14	985.0295
NOP16	381.0473	NOP16	164.0118
NOP2	858.9442	NOP2	583.1858
NOP56	1829.3448	NOP56	1734.5133
NOP58	1625.1669	NOP58	947.7876
NOS1AP	46.6783	NOS1AP	62.2419
removed	removed	NOS1	8.2596
NOS2	8.8911	NOS2	7.9646
NOS3	160.3924	NOS3	772.9381
NOSIP	700.492	NOSIP	558.9971
NOSTRIN	1032.9558	NOSTRIN	1182.8909
NOTCH1	477.2618	NOTCH1	2041.0029
NOTCH2NL	644.9766	NOTCH2NL	498.7286
NOTCH2	3027.4211	NOTCH2	6848.3776
NOTCH3	3353.5341	NOTCH3	4860.177
NOTCH4	427.0906	NOTCH4	2544.8378
NOVA1	21.5927	NOVA1	666.6667
NOVA2	28.5786	NOVA2	136.8732
NOV	66.0482	NOV	558.9971
NOX4	207.0357	NOX4	374.0413
NOX5	9.2086	NOX5	6.4897
NOXA1	35.2469	NOXA1	36.2832
NOXO1	8.5736	removed	removed
NPAS1	15.877	removed	removed
NPAS2	1459.0938	NPAS2	231.5634
NPAS3	9.2086	NPAS3	85.2507
NPAT	292.7714	NPAT	517.4041
NPC1L1	422.9625	NPC1L1	16.2242
NPC1	628.5535	NPC1	1182.8378
NPC2	3223.978	NPC2	3449.8525
NPDC1	1828.7097	NPDC1	1293.2153
NPEPL1	455.6691	NPEPL1	576.4012
NPEPPS	1412.4155	NPEPPS	2012.3894
removed	removed	NPFFR2	8.2596
removed	removed	NPFF	16.2242
NPHP1	87.0058	NPHP1	97.0501
NPHP3	87.3265	NPHP3	672.5664
NPHP4	111.4563	NPHP4	211.5044
NPIPL3	253.9935	NPIPL3	907.9617
NPIP	158.8459	NPIP	774.1711
NPLOC4	2121.7986	NPLOC4	2344.5428
NPL	180.6799	NPL	121.2389
NPM1	14733.513	NPM1	7992.6254
NPM2	5.0806	NPM2	19.174
NPM3	241.9651	NPM3	182.5959
NPNT	322.6201	NPNT	597.9351
NPR1	141.9401	NPR1	4968.7316
NPR2	86.0532	NPR2	835.1032
NPR3	23.4979	NPR3	160.472
NPRL2	572.8412	NPRL2	285.4926
NPRL3	627.458	NPRL3	645.1327
NPTN	2945.8135	NPTN	2510.9145
removed	removed	NPTX1	36.2832
NPTX2	34.2943	NPTX2	50.4425
NPTXR	1590.2376	NPTXR	624.1888
removed	removed	NPY1R	670.5015
removed	removed	NPY2R	177.2861
removed	removed	NPY5R	73.7463
NQO1	1316.8361	NQO1	1357.8171
NQO2	992.6283	NQO2	922.7139
NR1D1	120.611	NR1D1	1010.8053
NR1D2	1297.7837	NR1D2	2439.528
NR1H2	1274.6034	NR1H2	1341.8879
NR1H3	677.9467	NR1H3	1198.5251
NR1I3	18.4395	NR1I3	10.4189
NR2C1	297.2169	NR2C1	455.7522
NR2C2AP	327.4308	NR2C2AP	278.8555
NR2C2	932.0323	NR2C2	1436.4336
NR2F1	104.788	NR2F1	513.2743
NR2F2	959.9218	NR2F2	2838.3481
NR2F6	1304.7696	NR2F6	474.0413
NR3C1	2842.6132	NR3C1	4286.7257
NR3C2	155.5943	NR3C2	632.4484
NR4A1	1033.5909	NR4A1	635.3982
NR4A2	2175.4628	NR4A2	194.3953
NR4A3	84.783	NR4A3	65.1917
NR5A2	60.015	NR5A2	293.8053
NR6A1	6.9859	NR6A1	5.3097
NRARP	102.8828	NRARP	472.8614
NRAS	1213.6358	NRAS	1159.587
NRBF2	706.2077	NRBF2	634.5133
NRBP1	2768.944	NRBP1	2189.9705
NRBP2	325.7955	NRBP2	927.4336
NRCAM	79.3849	NRCAM	20.059
NRD1	2649.8667	NRD1	2897.9351
NRF1	282.6101	NRF1	431.8584
removed	removed	NRG1	144.5428
removed	removed	NRG2	87.9056
removed	removed	NRG3	7.3746
NRG4	10.1613	removed	removed
NRGN	59.3799	NRGN	79.646
NRIP1	2475.8551	NRIP1	2667.5516
NRIP2	40.645	NRIP2	183.4808
NRIP3	19.6874	NRIP3	75.2212
NRK	8.8911	NRK	105.6047
NRL	13.9717	NRL	19.469
NRM	387.3981	NRM	235.9882
removed	removed	NRN1L	6.1858
NRN1	96.532	NRN1	1927.4336
NRP1	1839.506	NRP1	8560.767
NRP2	695.7289	NRP2	1457.5221
NRSN2	762.7298	NRSN2	619.469
NRTN	21.5927	NRTN	6.4897
removed	removed	NRXN1	81.7109
NRXN2	35.2469	NRXN2	62.2419
NRXN3	205.1305	NRXN3	51.6224
NSA2	2190.3871	NSA2	1741.2979
NSD1	2624.4636	NSD1	2249.5575
NSDHL	1010.4105	NSDHL	451.3274
NSFL1C	2352.0147	NSFL1C	1642.4779
NSF	1615.0056	NSF	918.2891
NSL1	621.1072	NSL1	588.4956
NSMAF	477.2618	NSMAF	836.8732
NSMCE1	775.1138	NSMCE1	782.5959
NSMCE2	505.5228	NSMCE2	233.6283
NSMCE4A	397.8769	NSMCE4A	600.885
NSUN2	2029.0771	NSUN2	1147.1976
NSUN3	119.3948	NSUN3	105.0147
NSUN4	398.512	NSUN4	571.6814
NSUN5P1	46.9958	NSUN5P1	60.472
NSUN5P2	88.3014	NSUN5P2	165.7788
NSUN5	744.63	NSUN5	333.6283
NSUN6	100.3425	NSUN6	176.9912
removed	removed	NSUN7	65.7817
NT5C2	4029.2581	NT5C2	1332.7434
NT5C3L	793.2135	NT5C3L	573.7463
NT5C3	339.7672	NT5C3	400.59
NT5C	117.4896	NT5C	284.3658
NT5DC1	448.3657	NT5DC1	749.8525
NT5DC2	781.7631	NT5DC2	630.7227
NT5DC3	319.7622	NT5DC3	571.3864
NT5E	344.5303	NT5E	1640.118
NT5M	84.783	NT5M	44.8378
NTAN1	455.034	NTAN1	842.7729
removed	removed	NTF3	28.6136
removed	removed	NTF4	31.8289
NTHL1	306.4256	NTHL1	141.0029
NTM	327.7007	NTM	260.472
NTN1	815.7588	NTN1	653.0973
NTN4	375.6492	NTN4	4254.5723
removed	removed	NTN5	10.0295
removed	removed	NTNG1	11.2094
NTNG2	6.9859	NTNG2	15.9292
removed	removed	NTRK1	13.2743
NTRK2	209.576	NTRK2	5914.4543
removed	removed	NTRK3	107.0796
removed	removed	NTS	135.6932
NUAK1	446.778	NUAK1	1781.4159
NUAK2	570.3009	NUAK2	72.8614
NUB1	2198.8845	NUB1	2000.4484
NUBP1	394.5999	NUBP1	408.6667
NUBP2	640.7946	NUBP2	477.2861
NUBPL	321.0324	NUBPL	383.7758
NUCB1	7693.3458	NUCB1	7615.0442
NUCB2	10005.503	NUCB2	1839.9587
NUCKS1	6064.0509	NUCKS1	9238.9381
NUDCD1	500.1246	NUDCD1	440.118
NUDCD2	334.6866	NUDCD2	332.4484
NUDCD3	4174.6912	NUDCD3	2804.7198
NUDC	1125.6774	NUDC	1711.2094
NUDT10	8.8911	NUDT10	31.2684
NUDT11	19.0524	NUDT11	54.2773
NUDT12	596.0215	NUDT12	368.7316
NUDT13	38.1047	NUDT13	49.8525
NUDT14	94.3092	NUDT14	228.3186
NUDT15	399.6425	NUDT15	422.5251
NUDT16L1	422.0099	NUDT16L1	270.7965
NUDT16P1	225.7705	NUDT16P1	75.8112
NUDT16	714.7813	NUDT16	1129.2035
NUDT17	59.3799	NUDT17	28.9086
NUDT18	58.4273	NUDT18	139.823
NUDT19	644.2875	NUDT19	323.5988
NUDT1	187.0307	NUDT1	128.3186
NUDT21	1332.3955	NUDT21	2517.6991
NUDT22	389.767	NUDT22	228.7257
NUDT2	260.3823	NUDT2	388.7906
NUDT3	535.3715	NUDT3	396.4602
NUDT4	650.6383	NUDT4	953.6873
NUDT5	830.6483	NUDT5	497.1534
NUDT6	84.2972	NUDT6	80.4277
NUDT7	28.8961	NUDT7	133.0383
NUDT8	154.0066	NUDT8	85.2507
NUDT9	802.4222	NUDT9	552.2124
NUF2	122.8878	NUF2	8.2596
NUFIP1	139.7174	NUFIP1	212.0944
NUFIP2	1322.5518	NUFIP2	2471.0914
NUMA1	4083.6494	NUMA1	9837.0708
NUMBL	177.8221	NUMBL	492.6254
NUMB	1432.1029	NUMB	1816.2242
NUP107	455.034	NUP107	847.1976
NUP133	1456.2359	NUP133	1420.649
NUP153	1403.2068	NUP153	1442.1829
NUP155	911.3382	NUP155	496.4602
NUP160	624.6001	NUP160	1099.115
NUP188	845.29	NUP188	1207.6696
NUP205	1637.2334	NUP205	1022.4189
NUP210	946.5851	NUP210	419.174
NUP214	1082.1744	NUP214	1571.6814
NUP35	396.2892	NUP35	236.5782
NUP37	226.0881	NUP37	248.3776
NUP43	529.6558	NUP43	624.1888
NUP50	1673.1154	NUP50	1238.9381
NUP54	605.8653	NUP54	924.1888
NUP62CL	26.9909	NUP62CL	11.7994
NUP62	1588.5387	NUP62	1114.6283
NUP85	336.9094	NUP85	548.9676
NUP88	899.0336	NUP88	642.0029
NUP93	449.6359	NUP93	706.7847
NUP98	1292.3856	NUP98	2720.944
NUPL1	1155.8436	NUPL1	830.6785
NUPL2	455.3516	NUPL2	317.9941
NUPR1	1611.1952	NUPR1	2730.0885
NUS1	1028.1927	NUS1	1186.1357
NUSAP1	671.2784	NUSAP1	49.2625
NUTF2	1142.8245	NUTF2	1112.6844
NVL	895.7788	NVL	374.9263
NWD1	92.404	NWD1	25.9587
NXF1	533.1487	NXF1	1397.9351
removed	removed	NXNL1	6.4897
NXN	1186.3274	NXN	762.2419
NXPH1	10.1613	NXPH1	9.1445
NXPH3	25.7207	NXPH3	224.7788
NXPH4	11.4314	NXPH4	31.2684
NXT1	235.9318	NXT1	204.1298
NXT2	780.8295	NXT2	349.2625
NYNRIN	3466.5782	NYNRIN	1393.8053
OAF	330.8761	OAF	1838.6431
OAS1	5053.3228	OAS1	652.8024
OAS2	437.5694	OAS2	906.4897
OAS3	1037.4014	OAS3	902.9499
OASL	16.1945	OASL	92.6254
OAT	5539.1582	OAT	3052.5074
OAZ1	7324.0474	OAZ1	7625.3687
OAZ2	1539.7488	OAZ2	2127.7286
OAZ3	263.9515	OAZ3	29.0029
OBFC1	1566.7396	OBFC1	819.764
OBFC2A	366.123	OBFC2A	315.0442
OBFC2B	647.4629	OBFC2B	414.1593
removed	removed	OBP2B	14.7493
OBSCN	30.6616	OBSCN	566.2684
OBSL1	735.1038	OBSL1	1128.0236
removed	removed	OCA2	11.5044
OCEL1	102.8828	OCEL1	215.0442
OCIAD1	2741.9532	OCIAD1	2384.6608
OCIAD2	3435.1418	OCIAD2	339.233
OCLN	507.1105	OCLN	143.9528
OCRL	2609.2217	OCRL	1133.3333
ODC1	524.8927	ODC1	1115.6342
ODF2L	228.9459	ODF2L	482.8909
ODF2	534.7364	ODF2	711.5044
ODF3B	64.143	ODF3B	123.8938
removed	removed	ODF3L1	7.6696
ODZ1	6.0332	ODZ1	48.6726
removed	removed	ODZ2	313.5693
ODZ3	182.9027	ODZ3	813.8643
ODZ4	361.6774	ODZ4	195.2802
OFD1	810.6782	OFD1	632.4484
removed	removed	OGDHL	8.5546
OGDH	2853.4095	OGDH	3256.6372
OGFOD1	823.0623	OGFOD1	835.1032
OGFOD2	183.3663	OGFOD2	182.6283
OGFRL1	71.7639	OGFRL1	589.6755
OGFR	351.1986	OGFR	730.0885
OGG1	200.7357	OGG1	338.6873
OGN	133.3666	OGN	3895.2802
OGT	1390.5053	OGT	3421.8289
OIP5	39.2638	OIP5	5.9912
OLA1	3044.5682	OLA1	1324.4838
OLFM1	40.9626	OLFM1	937.7581
OLFM2	279.4347	OLFM2	1253.0973
removed	removed	OLFM4	842.1829
OLFML1	156.2294	OLFML1	1020.944
OLFML2A	551.8836	OLFML2A	2315.3392
OLFML2B	1007.2351	OLFML2B	847.4926
OLFML3	474.4039	OLFML3	2333.6283
OLR1	246.0931	OLR1	26.2537
OMA1	173.3765	OMA1	291.4454
OMD	204.1779	OMD	736.5782
OPA1	1923.654	OPA1	1707.3746
OPA3	495.044	OPA3	551.3274
removed	removed	OPCML	13.5693
OPHN1	595.0689	OPHN1	412.3894
OPLAH	533.7838	OPLAH	301.7699
OPN1SW	5.3982	removed	removed
OPN3	996.5626	OPN3	246.2832
removed	removed	OPN4	14.1593
OPRL1	19.0524	OPRL1	55.4572
OPTN	505.5228	OPTN	3589.3805
removed	removed	OR2A1	8.5546
OR2A4	42.8678	OR2A4	45.1327
OR2A7	340.0848	OR2A7	241.2979
OR2A9P	74.3042	OR2A9P	392.9204
removed	removed	OR2W3	5.8997
OR51E1	33.3416	OR51E1	131.8584
OR51E2	8.8911	OR51E2	10.6195
OR7E91P	46.9958	removed	removed
ORAI1	341.3549	ORAI1	340.118
ORAI2	1457.9983	ORAI2	802.4277
ORAI3	388.6683	ORAI3	542.4779
ORAOV1	120.0299	ORAOV1	231.8584
ORC1L	70.1762	ORC1L	17.1091
ORC2L	628.7281	ORC2L	458.1121
ORC3L	265.7805	ORC3L	567.2566
ORC4L	605.5477	ORC4L	464.8968
ORC5L	839.8918	ORC5L	320.059
ORC6L	76.8445	ORC6L	14.1593
ORM1	316.5868	ORM1	9.7345
ORM2	139.3998	ORM2	5.6047
ORMDL1	695.4114	ORMDL1	588.2006
ORMDL2	1018.8634	ORMDL2	438.9499
ORMDL3	635.714	ORMDL3	5975.8112
OS9	9269.9292	OS9	7289.3805
OSBP2	206.4006	OSBP2	90.8555
OSBPL10	1095.8286	OSBPL10	577.5811
OSBPL11	348.9759	OSBPL11	519.174
OSBPL1A	1655.6507	OSBPL1A	2858.9971
OSBPL2	1565.152	OSBPL2	1098.5251
OSBPL3	984.0548	OSBPL3	228.0236
OSBPL5	821.157	OSBPL5	902.9499
OSBPL6	25.4032	OSBPL6	81.4159
OSBPL7	166.7082	OSBPL7	156.6372
OSBPL8	1682.6415	OSBPL8	2469.9115
OSBPL9	1070.1079	OSBPL9	2077.2861
OSBP	1602.9391	OSBP	2268.7316
OSCAR	27.6259	OSCAR	27.4336
OSCP1	120.9825	OSCP1	175.2212
OSGEPL1	196.2394	OSGEPL1	151.6224
OSGEP	232.1213	OSGEP	329.4985
OSGIN1	100.3425	OSGIN1	174.9263
OSGIN2	426.4555	OSGIN2	824.7788
OSMR	433.4413	OSMR	1863.4218
OSM	10.7963	OSM	9.4395
OSR1	51.4414	OSR1	337.7581
OSR2	289.2784	OSR2	364.0118
OST4	4604.6332	OST4	1694.3923
OSTBETA	7.6209	removed	removed
OSTCL	6.9859	removed	removed
OSTC	1956.3606	OSTC	1094.6903
OSTF1	950.3956	OSTF1	823.5988
OSTM1	583.6375	OSTM1	1104.1298
OSTalpha	12.0665	OSTalpha	11.5044
removed	removed	OTC	13.2743
OTOA	10.4788	OTOA	5.0147
removed	removed	OTOF	19.469
OTUB1	1164.0996	OTUB1	1110.6195
OTUB2	260.3823	OTUB2	42.4779
OTUD1	270.8612	OTUD1	587.6106
OTUD3	107.0108	OTUD3	335.1032
OTUD4	1080.2692	OTUD4	1393.8053
OTUD5	1033.9085	OTUD5	1379.646
OTUD6B	269.9085	OTUD6B	225.9587
OTUD7A	11.4314	OTUD7A	20.944
OTUD7B	1482.5917	OTUD7B	1135.1032
OTX1	17.4647	removed	removed
OVCA2	647.047	OVCA2	348.059
OVGP1	595.3865	OVGP1	47.7876
OVOL1	114.9493	OVOL1	39.528
OVOL2	468.0531	OVOL2	77.2861
OXA1L	2273.9	OXA1L	2490.5605
OXCT1	330.8761	OXCT1	1866.6667
removed	removed	OXER1	32.7434
removed	removed	OXGR1	15.6342
OXNAD1	304.2028	OXNAD1	201.7699
OXR1	1383.8369	OXR1	1580.236
OXSM	211.4813	OXSM	161.9469
OXSR1	911.0207	OXSR1	1376.6962
OXTR	198.1446	OXTR	3138.3481
removed	removed	P2RX1	23.3038
P2RX4	280.0698	P2RX4	366.0767
