gene_id	TCGA-BH-A1EN-01A-11R-A13Q-07	gene_id	TCGA-BH-A1EN-11A-23R-A13Q-07
ACTR5	250.2211	ACTR5	184.6608
ACTR6	552.5186	ACTR6	528.6136
ACTR8	486.1529	ACTR8	479.941
ACVR1B	1136.1562	ACVR1B	1051.0324
removed	removed	ACVR1C	3931.5634
ACVR1	1077.0938	ACVR1	1350.1475
ACVR2A	667.1504	ACVR2A	553.9823
ACVR2B	307.0606	ACVR2B	396.1652
ACVRL1	328.9709	ACVRL1	2187.6106
ACY1	1311.4379	ACY1	706.4897
removed	removed	ACY3	12.3894
ACYP1	32.0715	ACYP1	47.4926
ACYP2	161.9451	ACYP2	143.9528
ADAL	241.33	ADAL	216.5192
ADAM10	1403.8419	ADAM10	1748.3776
removed	removed	ADAM11	10.3245
ADAM12	1488.3074	ADAM12	535.9882
ADAM15	16712.7363	ADAM15	4714.4543
ADAM17	543.6275	ADAM17	655.1622
ADAM19	177.5046	ADAM19	223.5988
ADAM22	16.8296	ADAM22	54.2773
ADAM23	9.8437	ADAM23	78.1711
ADAM28	288.6434	ADAM28	109.1445
removed	removed	ADAM32	13.8643
ADAM33	13.0191	ADAM33	854.8732
ADAM5P	10.4788	removed	removed
ADAM6	162.3738	ADAM6	16114.7493
ADAM8	895.1437	ADAM8	93.2153
ADAM9	15067.2469	ADAM9	2282.3009
ADAMDEC1	6.6683	removed	removed
ADAMTS10	45.4081	ADAMTS10	176.4012
ADAMTS12	478.2144	ADAMTS12	266.6667
ADAMTS13	10.1613	ADAMTS13	58.1121
ADAMTS14	56.522	ADAMTS14	14.4543
ADAMTS15	8.256	ADAMTS15	419.764
ADAMTS16	26.6733	ADAMTS16	268.4366
ADAMTS17	14.6068	ADAMTS17	24.1888
removed	removed	ADAMTS18	400.295
ADAMTS1	378.507	ADAMTS1	3864.6018
ADAMTS2	536.9592	ADAMTS2	780.531
ADAMTS3	12.0665	ADAMTS3	282.0059
ADAMTS4	266.0981	ADAMTS4	257.5221
ADAMTS5	180.6799	ADAMTS5	2293.5103
ADAMTS6	31.1189	ADAMTS6	61.0619
ADAMTS7	111.1388	ADAMTS7	129.7935
removed	removed	ADAMTS8	76.4012
ADAMTS9	237.202	ADAMTS9	1462.5369
ADAMTSL1	180.3624	ADAMTSL1	550.1475
ADAMTSL2	77.7972	ADAMTSL2	93.8053
ADAMTSL3	55.2519	ADAMTSL3	492.6254
ADAMTSL4	27.3084	ADAMTSL4	1220.649
ADAMTSL5	9.5262	ADAMTSL5	27.4336
ADAP1	453.8083	ADAP1	82.3628
ADAP2	275.9418	ADAP2	224.1888
ADARB1	285.1504	ADARB1	1110.3245
ADAR	9910.7238	ADAR	6893.8053
ADAT1	228.9459	ADAT1	253.9823
ADAT2	78.7498	ADAT2	159.882
ADAT3	11.749	ADAT3	7.3746
ADA	94.9443	ADA	147.7876
ADCK1	213.7041	ADCK1	144.8378
ADCK2	1224.4321	ADCK2	570.2065
ADCK4	720.497	ADCK4	398.2301
ADCK5	89.5461	ADCK5	64.6018
ADCY1	98.1197	ADCY1	297.9351
ADCY2	231.8038	ADCY2	97.9351
ADCY3	615.3438	ADCY3	2028.9204
ADCY4	81.2901	ADCY4	1064.6018
ADCY5	5.0806	ADCY5	666.3717
ADCY6	1753.7704	ADCY6	3465.1917
ADCY7	401.0523	ADCY7	547.1976
removed	removed	ADCY8	7.6696
ADCY9	387.0806	ADCY9	908.8496
ADCYAP1R1	8.256	ADCYAP1R1	55.4572
ADCYAP1	11.4314	ADCYAP1	23.0088
ADC	78.1147	ADC	94.9853
ADD1	5307.9895	ADD1	7658.1121
ADD2	20.6401	ADD2	117.1091
ADD3	1051.3731	ADD3	3604.4248
removed	removed	ADH1A	562.5074
ADH1B	61.9202	ADH1B	73106.7847
removed	removed	ADH1C	426.2537
removed	removed	ADH4	22.4189
ADH5	1832.8377	ADH5	4330.0885
ADHFE1	8.8911	ADHFE1	624.7788
ADI1	3691.7136	ADI1	1687.0206
ADIPOQ	155.2768	ADIPOQ	57259.882
ADIPOR1	8580.8686	ADIPOR1	2141.2979
ADIPOR2	2208.1693	ADIPOR2	5228.3186
ADK	542.6749	ADK	305.6047
ADM2	479.8021	ADM2	46.0177
ADM	48.5835	ADM	1556.9322
ADNP2	614.4388	ADNP2	648.6726
ADNP	3684.0927	ADNP	2574.9263
ADORA1	22.2278	ADORA1	483.4808
ADORA2A	37.4697	ADORA2A	95.8702
ADORA2B	434.394	ADORA2B	58.1121
ADORA3	231.1687	ADORA3	138.6431
ADO	629.6807	ADO	607.6696
ADPGK	862.4244	ADPGK	746.941
ADPRHL1	92.0864	ADPRHL1	63.1268
ADPRHL2	352.7863	ADPRHL2	507.9646
ADPRH	134.6367	ADPRH	607.9646
removed	removed	ADRA1A	42.4779
ADRA1B	6.6683	ADRA1B	51.9174
removed	removed	ADRA1D	20.944
ADRA2A	60.9676	ADRA2A	2213.2743
removed	removed	ADRA2B	41.8879
ADRA2C	70.8113	ADRA2C	181.7109
ADRB1	31.4364	ADRB1	102.0649
ADRB2	15.2419	ADRB2	476.9912
ADRBK1	2454.58	ADRBK1	1475.2212
ADRBK2	153.6891	ADRBK2	3987.3156
ADRM1	1559.4362	ADRM1	1156.0472
ADSL	1141.5543	ADSL	759.292
ADSSL1	147.0208	ADSSL1	201.1799
ADSS	2830.2291	ADSS	1196.7552
AEBP1	11835.0129	AEBP1	14635.9882
AEBP2	451.5411	AEBP2	742.4779
AEN	991.0406	AEN	384.3658
AES	8766.3116	AES	5035.9882
AFAP1L1	202.9077	AFAP1L1	1566.0767
AFAP1L2	99.3898	AFAP1L2	951.6224
AFAP1	2319.9337	AFAP1	1706.7758
AFF1	1594.6831	AFF1	3268.4366
AFF2	6.9859	AFF2	64.0118
AFF3	355.9617	AFF3	768.4366
AFF4	4506.8374	AFF4	3015.0442
AFG3L1	65.0956	AFG3L1	229.4985
AFG3L2	1027.4021	AFG3L2	1240.3481
AFMID	161.9451	AFMID	374.0413
removed	removed	AFP	23.8938
AFTPH	3109.6638	AFTPH	1305.8997
AG2	69.2236	AG2	339.233
removed	removed	AGAP11	451.3304
AGAP1	1410.8278	AGAP1	441.2979
AGAP2	28.3594	AGAP2	133.5133
AGAP3	1133.2983	AGAP3	1348.6726
AGAP4	96.532	AGAP4	233.9233
AGAP5	27.5878	AGAP5	59.7876
AGAP6	51.1239	AGAP6	118.2891
removed	removed	AGAP7	5.0147
AGAP8	15.5594	AGAP8	30.0885
AGA	792.896	AGA	445.7227
AGBL3	6.9859	AGBL3	8.2596
