gene_id	TCGA-BH-A0AU-01A-11R-A12P-07	gene_id	TCGA-BH-A0AU-11A-11R-A12P-07
HTATIP2	708.4838	HTATIP2	392.7669
HTATSF1	2395.3069	HTATSF1	1773.5125
HTR1D	12.1841	removed	removed
removed	removed	HTR1F	27.4775
removed	removed	HTR2A	31.1143
HTR2B	52.7978	HTR2B	16.9714
HTR7P1	451.2635	HTR7P1	196.3835
HTR7	20.3069	HTR7	19.3959
HTRA1	8231.0469	HTRA1	2658.4503
HTRA2	287.9829	HTRA2	554.4641
HTRA3	1187.7256	HTRA3	512.375
HTT	4199.4585	HTT	3183.7559
HUNK	32.0397	HUNK	227.0936
HUS1	342.0578	HUS1	284.8773
HUWE1	10480.1444	HUWE1	9202.5457
HVCN1	55.5686	HVCN1	93.7873
HYAL1	27.9783	HYAL1	118.3958
HYAL2	885.8303	HYAL2	768.5625
HYAL3	110.3791	HYAL3	55.6824
HYDIN	78.9711	HYDIN	212.1426
HYI	251.2139	HYI	507.4614
HYLS1	116.426	HYLS1	153.9549
removed	removed	HYMAI	7.7543
HYOU1	3970.2166	HYOU1	2927.5684
IAH1	646.2094	IAH1	390.7465
IARS2	8669.6751	IARS2	2504.0913
IARS	4491.8773	IARS	2680.2707
IBTK	1859.2058	IBTK	1523.7903
ICA1L	333.935	ICA1L	133.3468
ICA1	501.8051	ICA1	766.138
ICAM1	1006.769	ICAM1	548.7423
ICAM2	124.7292	ICAM2	420.1677
ICAM3	478.7906	ICAM3	278.412
removed	removed	ICAM4	10.102
removed	removed	ICAM5	34.3469
ICK	613.7184	ICK	1332.6599
ICMT	3104.2419	ICMT	1532.276
ICOSLG	231.9495	ICOSLG	515.2036
ICOS	46.4801	ICOS	11.7184
ICT1	441.3357	ICT1	235.1753
ID1	142.148	ID1	601.6769
ID2	687.7256	ID2	893.4236
ID3	455.7762	ID3	565.3096
ID4	92.509	ID4	2342.8629
IDE	1492.7798	IDE	545.9137
IDH1	1744.5848	IDH1	1904.8389
IDH2	2038.8087	IDH2	1075.2601
IDH3A	1276.1733	IDH3A	667.9463
IDH3B	1509.9278	IDH3B	1417.921
IDH3G	686.3718	IDH3G	739.8727
IDI1	642.509	IDI1	653.5812
IDI2	46.9314	IDI2	66.6734
IDO1	166.9675	IDO1	12.5265
IDS	5223.7139	IDS	4056.8542
IDUA	105.9928	IDUA	275.1793
IER2	1267.5993	IER2	3614.1024
IER3IP1	1196.2996	IER3IP1	823.5175
IER3	1004.0614	IER3	1064.3499
IER5L	152.5271	IER5L	108.6978
IER5	479.2419	IER5	865.9461
IFFO1	121.8412	IFFO1	162.0366
IFFO2	462.5451	IFFO2	2181.6345
IFI16	1381.3177	IFI16	1671.2799
IFI27L1	22.1119	IFI27L1	68.6938
IFI27L2	95.6679	IFI27L2	193.5549
IFI27	739.1697	IFI27	404.4853
IFI30	2595.1038	IFI30	520.0525
IFI35	898.4657	IFI35	314.7793
IFI44L	1062.2744	IFI44L	236.7916
IFI44	412.4549	IFI44	237.1957
IFI6	10060.9206	IFI6	222.2447
IFIH1	771.2094	IFIH1	629.9626
IFIT1	2790.6137	IFIT1	395.5955
IFIT2	763.0866	IFIT2	429.5383
IFIT3	1112.8159	IFIT3	426.3057
IFIT5	943.5921	IFIT5	505.5056
IFITM1	6074.4585	IFITM1	1181.9376
IFITM2	2529.3321	IFITM2	1512.476
IFITM3	12097.0217	IFITM3	3723.6084
IFNAR1	1402.0758	IFNAR1	2140.0141
IFNAR2	297.2789	IFNAR2	370.0333
removed	removed	IFNE	10.5061
IFNGR1	749.5487	IFNGR1	1974.3408
IFNGR2	1015.343	IFNGR2	1404.9904
IFRD1	298.2852	IFRD1	922.9215
IFRD2	681.8592	IFRD2	681.8184
IFT122	1782.491	IFT122	1276.4926
IFT140	1192.2383	IFT140	958.4807
IFT172	800.5415	IFT172	1079.705
IFT20	279.3863	IFT20	333.1488
IFT27	331.6787	IFT27	559.6525
IFT46	527.5271	IFT46	750.7829
IFT52	1039.7112	IFT52	671.583
IFT57	999.0975	IFT57	684.9177
IFT74	274.3682	IFT74	439.6404
IFT80	573.8222	IFT80	572.9872
IFT81	560.0181	IFT81	383.4731
IFT88	370.0361	IFT88	339.4282
IGBP1	922.3827	IGBP1	1864.4308
IGDCC3	18.5018	IGDCC3	10.9102
IGDCC4	120.9386	IGDCC4	69.9061
IGF1R	8067.2383	IGF1R	6118.1938
IGF1	844.7653	IGF1	728.1544
removed	removed	IGF2AS	5.6571
IGF2BP2	23.0144	IGF2BP2	191.1304
IGF2BP3	12.6354	removed	removed
IGF2R	3296.0289	IGF2R	3758.7635
IGF2	2824.7338	IGF2	3116.8805
IGFALS	28.4296	IGFALS	8.0816
removed	removed	IGFBP1	29.902
IGFBP2	2650.722	IGFBP2	1272.8558
IGFBP3	1573.1047	IGFBP3	1873.7246
IGFBP4	43214.3502	IGFBP4	16675.2197
IGFBP5	16134.9278	IGFBP5	8971.4113
IGFBP6	110.1083	IGFBP6	413.3751
IGFBP7	3198.9801	IGFBP7	1636.933
IGFL2	77.6173	removed	removed
IGHMBP2	362.8159	IGHMBP2	520.4566
IGJ	2951.7148	IGJ	14568.7443
IGLON5	7.6715	removed	removed
IGSF10	147.1119	IGSF10	605.3137
IGSF11	19.8556	IGSF11	9.2939
IGSF1	45.5776	IGSF1	1379.1292
IGSF21	7.6715	IGSF21	55.7632
IGSF22	10.3971	IGSF22	22.7983
IGSF3	1446.2996	IGSF3	2068.8958
IGSF5	18.0505	IGSF5	23.8408
IGSF6	100.6318	IGSF6	48.4897
IGSF8	1676.444	IGSF8	1124.9621
IGSF9B	53.2491	IGSF9B	54.551
IGSF9	655.6859	IGSF9	431.9628
IKBIP	314.9819	IKBIP	227.4977
IKBKAP	1083.0325	IKBKAP	1411.0516
IKBKB	995.0361	IKBKB	1742.3982
IKBKE	250.4513	IKBKE	194.3631
IKBKG	305.5054	IKBKG	342.6609
IKZF1	366.426	IKZF1	284.4732
IKZF2	271.6606	IKZF2	308.7181
IKZF3	37.0036	IKZF3	42.8326
IKZF4	280.2347	IKZF4	315.5874
IKZF5	707.5812	IKZF5	891.4032
IK	1223.3755	IK	2108.0917
IL10RA	484.657	IL10RA	359.2282
IL10RB	479.8511	IL10RB	655.6501
IL10	20.7581	removed	removed
IL11RA	88.8989	IL11RA	539.0443
IL11	23.917	IL11	8.4857
removed	removed	IL12A	28.2857
IL12B	11.7329	removed	removed
IL12RB1	38.8087	IL12RB1	19.8
IL12RB2	18.0505	IL12RB2	11.3143
IL13RA1	2793.3213	IL13RA1	2345.6915
IL15RA	106.0469	IL15RA	154.7631
IL15	27.5271	IL15	46.4693
IL16	677.3466	IL16	627.9422
removed	removed	IL17B	37.5796
IL17D	21.3718	IL17D	6.8047
IL17RA	215.704	IL17RA	404.4853
IL17RB	123.1949	IL17RB	1508.0311
IL17RC	589.3502	IL17RC	972.6235
IL17RD	483.7545	IL17RD	2566.3198
IL17RE	168.7726	IL17RE	440.0444
IL18BP	278.0957	IL18BP	282.4083
IL18R1	55.5054	IL18R1	31.1143
removed	removed	IL18RAP	23.0326
IL18	86.1913	IL18	84.8571
IL1B	32.9422	IL1B	27.4775
IL1R1	1016.6968	IL1R1	1478.1291
IL1R2	6.769	removed	removed
removed	removed	IL1RAPL1	8.0816
removed	removed	IL1RAPL2	21.8204
IL1RAP	140.343	IL1RAP	355.5915
IL1RL1	16.6968	removed	removed
removed	removed	IL1RL2	79.604
IL1RN	144.8556	IL1RN	97.7877
IL20RA	676.444	IL20RA	1428.8312
IL20RB	9.4765	IL20RB	11.3143
IL20	95.6679	removed	removed
IL21R	104.9143	IL21R	11.0112
IL22RA1	27.9783	IL22RA1	43.6408
removed	removed	IL22RA2	69.0979
IL23A	9.9278	IL23A	5.6571
IL24	21.6922	IL24	6.4411
IL27RA	222.4729	IL27RA	543.4892
IL28RA	96.1191	IL28RA	273.1589
IL2RA	37.0036	IL2RA	6.8694
IL2RB	546.4801	IL2RB	379.4323
IL2RG	537.9061	IL2RG	272.3507
IL32	434.1155	IL32	441.6608
IL33	134.4765	IL33	695.0197
IL34	26.6245	IL34	438.024
IL3RA	75.8123	IL3RA	122.0325
IL4I1	156.5704	IL4I1	26.4673
IL4R	666.9675	IL4R	1796.9492
IL6R	152.9783	IL6R	310.7385
IL6ST	5689.9819	IL6ST	7468.2291
IL6	13.5379	IL6	18.5877
IL7R	167.87	IL7R	286.4936
IL7	9.9278	IL7	33.9428
IL8	7.6715	IL8	5.6571
IL9R	8.1227	removed	removed
ILDR1	347.9242	ILDR1	242.8528
ILDR2	5.8664	removed	removed
ILF2	3306.8592	ILF2	2973.2296
ILF3	8247.2924	ILF3	5880.1899
ILKAP	298.7365	ILKAP	368.118
ILK	2020.3069	ILK	1999.798
ILVBL	1293.7726	ILVBL	865.542
IMMP1L	54.0794	IMMP1L	74.3954
IMMP2L	101.9856	IMMP2L	141.4284
IMMT	2597.0217	IMMT	1538.3372
IMP3	908.3935	IMP3	934.2358
IMP4	834.8375	IMP4	565.7137
IMP5	5.8664	removed	removed
IMPA1	483.3032	IMPA1	246.8936
IMPA2	181.4079	IMPA2	276.3916
IMPACT	1076.2635	IMPACT	1506.4148
IMPAD1	3933.213	IMPAD1	1868.0675
IMPDH1	1846.5704	IMPDH1	703.9095
IMPDH2	2497.7437	IMPDH2	7427.4169
IMPG1	5.4152	IMPG1	14.1428
IMPG2	6.769	removed	removed
INADL	1457.5812	INADL	2999.0908
INCA1	11.2816	INCA1	22.6285
INCENP	756.3177	INCENP	360.4404
INE1	22.1119	INE1	56.9755
INE2	22.5406	INE2	11.7709
INF2	932.3105	INF2	1341.9537
ING1	281.9359	ING1	347.825
ING2	223.3755	ING2	164.8651
ING3	134.0253	ING3	352.3588
ING4	606.4982	ING4	973.8357
ING5	267.148	ING5	890.1909
removed	removed	INHA	17.3755
INHBA	567.6895	INHBA	18.9918
INHBB	298.7365	INHBB	1719.7697
INHBE	6.3177	removed	removed
INMT	52.7978	INMT	192.6215
INO80B	66.4621	INO80B	264.0509
INO80C	109.657	INO80C	167.2896
INO80D	583.759	INO80D	1031.4739
INO80E	574.0659	INO80E	646.3885
INO80	666.9675	INO80	1152.4396
INPP1	155.6859	INPP1	378.22
INPP4A	706.2274	INPP4A	620.6688
INPP4B	885.8303	INPP4B	725.7299
INPP5A	441.3357	INPP5A	470.3505
INPP5B	264.8917	INPP5B	760.0768
INPP5D	421.0289	INPP5D	1269.2191
INPP5E	135.3791	INPP5E	282.8569
INPP5F	770.3069	INPP5F	674.4116
INPP5J	866.426	INPP5J	352.7629
INPP5K	540.6137	INPP5K	1050.2071
INPPL1	2512.1841	INPPL1	1802.6063
INSIG1	944.0433	INSIG1	914.8399
INSIG2	634.0253	INSIG2	631.5789
INSL3	6.3177	removed	removed
removed	removed	INSRR	8.4857
INSR	980.5957	INSR	3395.8986
INTS10	1294.6751	INTS10	1086.1703
INTS12	501.8051	INTS12	533.7913
INTS1	2349.7292	INTS1	2659.2585
INTS2	525.722	INTS2	395.1914
INTS3	4061.8231	INTS3	2996.6663
INTS4L1	24.3682	INTS4L1	24.649
INTS4L2	9.0253	INTS4L2	18.5877
INTS4	421.4801	INTS4	698.9999
INTS5	1025.2708	INTS5	931.8113
INTS6	1432.7617	INTS6	873.6236
INTS7	799.639	INTS7	454.9955
INTS8	1125.8123	INTS8	794.3954
INTS9	659.296	INTS9	431.9628
INTU	164.2599	INTU	326.0935
INVS	239.6209	INVS	301.0405
IP6K1	1412.9061	IP6K1	2081.4224
IP6K2	791.9675	IP6K2	2189.7161
IP6K3	103.7906	IP6K3	14.1428
IPCEF1	57.7617	IPCEF1	130.1142
IPMK	59.5668	IPMK	69.0979
IPO11	659.7473	IPO11	693.2821
IPO13	1403.8809	IPO13	770.5829
IPO4	1470.898	IPO4	1395.846
IPO5	4680.5054	IPO5	4112.3346
IPO7	7331.2274	IPO7	3751.086
IPO8	1680.5054	IPO8	1649.0555
IPO9	3418.3213	IPO9	1874.9369
IPPK	461.3222	IPPK	362.275
IPP	503.6101	IPP	318.0119
IPW	450.2978	IPW	550.795
IQCA1	128.1588	IQCA1	190.7263
IQCB1	345.6679	IQCB1	728.5584
IQCC	126.3538	IQCC	141.0243
IQCD	33.3935	IQCD	23.0326
IQCE	1692.6895	IQCE	917.6685
IQCG	443.1408	IQCG	459.8444
IQCH	38.926	IQCH	60.0263
IQCK	439.9819	IQCK	430.7506
IQGAP1	10257.6715	IQGAP1	8421.8608
IQGAP2	868.6823	IQGAP2	1480.1495
IQGAP3	864.1697	IQGAP3	9.6979
IQSEC1	3171.0289	IQSEC1	1977.5735
IQSEC2	893.5018	IQSEC2	423.073
IQSEC3	19.8556	IQSEC3	34.3469
IQUB	19.8556	IQUB	23.4367
IRAK1BP1	24.9819	IRAK1BP1	54.3408
IRAK1	3263.5379	IRAK1	1735.9329
IRAK2	163.3574	IRAK2	101.4244
IRAK3	128.6101	IRAK3	406.9098
IRAK4	625.4513	IRAK4	488.5342
IREB2	1912.4549	IREB2	1660.3697
IRF1	893.926	IRF1	745.3925
IRF2BP1	515.343	IRF2BP1	686.1299
IRF2BP2	8248.1949	IRF2BP2	6185.6753
IRF2	919.2238	IRF2	1005.3541
IRF3	710.0361	IRF3	902.2932
IRF4	127.2563	IRF4	167.2896
IRF5	475.1805	IRF5	147.8937
IRF6	1827.6173	IRF6	1693.1003
IRF7	1212.9964	IRF7	228.71
IRF8	303.7004	IRF8	152.3386
IRF9	2428.407	IRF9	689.3626
IRGQ	722.4729	IRGQ	745.5299
IRS1	2327.1661	IRS1	2678.6544
IRS2	429.1516	IRS2	1357.3088
removed	removed	IRS4	10.102
IRX1	20.3069	IRX1	1244.5702
IRX2	145.7581	IRX2	1630.8718
IRX3	759.0253	IRX3	1531.0637
removed	removed	IRX4	109.1019
IRX5	1532.9422	IRX5	926.5582
IRX6	14.8917	IRX6	46.4693
ISCA1P1	44.6751	ISCA1P1	69.502
ISCA1	570.0948	ISCA1	784.7257
ISCA2	240.0722	ISCA2	269.1181
ISCU	1358.3032	ISCU	1309.6272
ISG15	1038.3574	ISG15	105.4652
ISG20L2	1167.4188	ISG20L2	833.6196
ISG20	172.8339	ISG20	200.0202
ISLR2	27.5271	ISLR2	95.7672
ISLR	4664.7112	ISLR	1974.7449
ISM1	269.4043	ISM1	1070.4112
removed	removed	ISM2	11.3143
ISOC1	613.2671	ISOC1	694.6156
ISOC2	672.3827	ISOC2	314.7793
ISPD	57.3105	ISPD	49.2979
ISY1	566.787	ISY1	681.685
ISYNA1	1671.9314	ISYNA1	971.4113
ITCH	1005.8664	ITCH	1461.1577
ITFG1	1723.3755	ITFG1	904.7379
ITFG2	338.8989	ITFG2	828.7706
ITFG3	3265.6182	ITFG3	1653.9085
ITGA10	73.1047	ITGA10	644.1055
ITGA11	1898.4657	ITGA11	493.3832
ITGA1	630.4152	ITGA1	914.9288
ITGA2B	10.8303	ITGA2B	11.3143
ITGA2	333.935	ITGA2	2539.2464
ITGA3	2031.1372	ITGA3	2953.0256
ITGA4	297.8971	ITGA4	293.2539
ITGA5	2156.1372	ITGA5	936.2562
ITGA6	1024.8195	ITGA6	7292.8579
ITGA7	188.6282	ITGA7	641.2769
ITGA8	116.8773	ITGA8	29.0938
ITGA9	118.231	ITGA9	325.6895
ITGAD	23.0144	removed	removed
ITGAE	215.2527	ITGAE	217.3957
ITGAL	486.9134	ITGAL	439.6404
ITGAM	231.9495	ITGAM	191.5345
ITGAV	4618.6823	ITGAV	2283.463
ITGAX	315.8845	ITGAX	160.4202
ITGB1BP1	771.2094	ITGB1BP1	681.2809
ITGB1	12064.0794	ITGB1	11066.9765
ITGB2	1480.5957	ITGB2	726.4411
ITGB3BP	112.3646	ITGB3BP	271.1385
ITGB3	55.0542	ITGB3	207.6977
removed	removed	ITGB4	6110.5162
ITGB5	4786.5523	ITGB5	4073.9469
ITGB6	78.0686	ITGB6	1238.5089
ITGB7	172.8339	ITGB7	101.0203
ITGB8	289.2599	ITGB8	1739.9737
ITGBL1	1070.3971	ITGBL1	715.6278
removed	removed	ITIH2	1072.0275
removed	removed	ITIH3	15.7592
ITIH4	8.1227	ITIH4	111.5264
ITIH5L	304.6029	ITIH5L	157.5917
ITIH5	254.5126	ITIH5	1685.4228
ITK	119.1336	ITK	85.6652
ITM2A	281.5884	ITM2A	1476.9169
ITM2B	9252.2563	ITM2B	10658.8544
ITM2C	1032.491	ITM2C	1530.6597
ITPA	397.1119	ITPA	496.6158
ITPK1	1714.3502	ITPK1	922.9215
ITPKA	6.3177	removed	removed
ITPKB	1212.9964	ITPKB	1426.0026
ITPKC	1827.1661	ITPKC	831.5992
ITPR1	1523.0144	ITPR1	4489.7464
ITPR2	890.343	ITPR2	6588.5443
ITPR3	1135.1218	ITPR3	2225.7279
ITPRIPL1	11.2816	ITPRIPL1	153.9549
ITPRIPL2	2678.7004	ITPRIPL2	1107.1825
ITPRIP	521.2094	ITPRIP	417.82
ITSN1	862.3646	ITSN1	1124.154
ITSN2	1481.9495	ITSN2	1141.5294
IVD	1833.935	IVD	2059.602
IVNS1ABP	1286.1011	IVNS1ABP	3049.601
IWS1	1056.8592	IWS1	1069.1989
IYD	62.2744	removed	removed
JAG1	769.8556	JAG1	2138.8019
JAG2	166.5162	JAG2	1444.1863
JAGN1	629.9639	JAGN1	687.3422
JAK1	4215.704	JAK1	5959.7939
JAK2	432.7617	JAK2	468.7342
JAK3	227.8881	JAK3	212.5467
JAKMIP1	46.4801	removed	removed
JAKMIP2	10.5866	JAKMIP2	14.1428
JAKMIP3	42.4188	JAKMIP3	63.8448
JAM2	127.2563	JAM2	451.3587
JAM3	757.6715	JAM3	1066.3703
JARID2	376.3538	JARID2	788.7665
JAZF1	355.1444	JAZF1	296.9997
JDP2	247.7437	JDP2	358.8241
JHDM1D	508.1227	JHDM1D	1015.052
JKAMP	760.3791	JKAMP	786.7461
JMJD1C	1313.3168	JMJD1C	3416.9916
JMJD4	747.9377	JMJD4	457.1532
JMJD5	111.9134	JMJD5	121.6284
JMJD6	510.3791	JMJD6	431.9628
JMJD7-PLA2G4B	240.0722	JMJD7-PLA2G4B	1024.3459
JMJD8	3044.8782	JMJD8	1212.7407
JMY	420.5776	JMY	1259.1171
JOSD1	1026.6245	JOSD1	1514.4964
JOSD2	125.4513	JOSD2	103.4448
JPH1	107.852	JPH1	95.7672
JPH2	14.4404	JPH2	240.0242
JPH3	7.6715	removed	removed
JPH4	9.0253	JPH4	56.1673
JRKL	251.3538	JRKL	579.0484
JRK	399.3682	JRK	1209.8192
removed	removed	JSRP1	8.0816
JTB	3153.8809	JTB	1560.1576
JUB	443.5921	JUB	1101.5254
JUNB	1296.0289	JUNB	1815.5369
JUND	1645.7581	JUND	1556.9249
JUN	2158.8448	JUN	7985.8572
JUP	10201.2635	JUP	8510.3546
removed	removed	KAAG1	6.0046
KAL1	243.6823	KAL1	450.9546
KALRN	155.6859	KALRN	494.1913
KANK1	434.1155	KANK1	2361.0466
KANK2	2601.9856	KANK2	1273.664
KANK3	36.1011	KANK3	214.9712
KANK4	678.2491	KANK4	491.7668
KARS	1209.3863	KARS	3243.1559
KAT2A	1836.1913	KAT2A	1643.8024
KAT2B	300.0903	KAT2B	511.5668
KAT5	996.417	KAT5	1266.7542
KATNA1	137.1841	KATNA1	393.9792
KATNAL1	371.3899	KATNAL1	441.6608
KATNAL2	80.7762	KATNAL2	71.5224
KATNB1	287.9061	KATNB1	456.2077
KAZALD1	87.8475	KAZALD1	49.3181
KAZ	495.9477	KAZ	850.3768
KBTBD10	24.1877	KBTBD10	40.6263
KBTBD11	437.7256	KBTBD11	122.4366
removed	removed	KBTBD12	41.6204
KBTBD2	1211.1913	KBTBD2	1210.6273
KBTBD3	84.3863	KBTBD3	157.9958
KBTBD4	909.1922	KBTBD4	485.9117
KBTBD6	518.9531	KBTBD6	934.6399
KBTBD7	314.9819	KBTBD7	423.8812
KBTBD8	38.3574	KBTBD8	30.3061
KCMF1	1538.8087	KCMF1	1083.7458
KCNA1	22.5632	KCNA1	42.8326
removed	removed	KCNA2	6.8694
KCNA3	35.1986	KCNA3	44.0449
KCNA5	6.769	KCNA5	6.0612
KCNA6	26.6245	KCNA6	29.0938
KCNAB1	83.0325	KCNAB1	128.4978
KCNAB2	370.0361	KCNAB2	202.0406
removed	removed	KCNAB3	21.0122
KCNB1	13.0866	KCNB1	75.9673
KCNC1	9.4765	removed	removed
removed	removed	KCNC2	346.7017
KCNC3	627.2563	KCNC3	151.1264
KCNC4	54.1516	KCNC4	368.118
KCND1	131.3177	KCND1	71.1183
KCND2	194.9458	KCND2	34.3469
KCND3	53.7004	KCND3	195.1712
removed	removed	KCNE1L	5.2531
KCNE1	18.9531	KCNE1	549.5505
removed	removed	KCNE2	8.4857
KCNE3	71.2996	KCNE3	100.2121
KCNE4	2842.9603	KCNE4	352.7629
KCNF1	54.6029	KCNF1	35.5591
KCNG1	78.5199	KCNG1	41.6204
KCNG3	5.4152	removed	removed
KCNH1	77.6173	KCNH1	11.7184
KCNH2	54.1516	KCNH2	29.4979
KCNH3	26.6245	KCNH3	47.6816
KCNH4	7.2202	KCNH4	5.2531
removed	removed	KCNH8	81.6244
removed	removed	KCNIP1	8.8898
KCNIP2	44.6751	KCNIP2	397.2118
KCNIP3	87.0939	KCNIP3	127.2856
KCNIP4	23.0144	KCNIP4	34.3469
KCNJ10	21.2094	removed	removed
KCNJ11	486.9134	KCNJ11	211.3345
KCNJ12	23.4657	KCNJ12	42.4285
KCNJ14	16.6968	KCNJ14	72.3305
KCNJ15	18.0505	KCNJ15	9.2939
removed	removed	KCNJ16	30.7102
KCNJ2	80.3249	KCNJ2	331.3466
removed	removed	KCNJ3	6.4653
KCNJ5	46.4801	KCNJ5	39.6
KCNJ8	94.7653	KCNJ8	390.7465
KCNK13	18.5018	KCNK13	17.3755
KCNK15	189.9819	KCNK15	15.7592
removed	removed	KCNK17	35.1551
KCNK1	527.9783	KCNK1	133.3468
KCNK2	9.4765	KCNK2	217.7998
KCNK3	16.2455	KCNK3	73.1387
KCNK5	83.0325	KCNK5	302.6568
KCNK6	794.2238	KCNK6	320.8405
removed	removed	KCNK7	7.6775
removed	removed	KCNMA1	751.9952
KCNMB1	27.0758	KCNMB1	681.2809
removed	removed	KCNMB2	14.5469
KCNMB3	99.7292	KCNMB3	86.4734
KCNMB4	73.556	KCNMB4	56.1673
KCNN1	18.9531	KCNN1	8.0816
KCNN2	5.4152	KCNN2	11.7184
KCNN3	21.2094	KCNN3	23.4367
KCNN4	134.4765	KCNN4	2100.8183
KCNQ1OT1	78.0686	KCNQ1OT1	270.7344
KCNQ1	123.6462	KCNQ1	240.0242
KCNQ3	11.7329	KCNQ3	9.2939
removed	removed	KCNQ4	54.955
KCNQ5	11.2816	KCNQ5	26.6694
removed	removed	KCNRG	15.0763
removed	removed	KCNS1	43.2367
KCNS3	189.5307	KCNS3	396.4037
KCNT2	13.9892	KCNT2	6.8694
KCTD10	1655.6859	KCTD10	1672.0881
KCTD11	376.8051	KCTD11	541.4688
KCTD12	1916.065	KCTD12	3907.8695
KCTD13	376.8051	KCTD13	239.6202
KCTD14	37.0036	KCTD14	639.6606
KCTD15	743.6823	KCTD15	409.7384
KCTD16	8.1227	KCTD16	7.2735
KCTD17	196.7509	KCTD17	85.6652
KCTD18	422.3827	KCTD18	553.1872
removed	removed	KCTD19	5.6571
KCTD1	525.2708	KCTD1	896.2521
KCTD20	1504.0614	KCTD20	1717.7493
KCTD21	572.2022	KCTD21	375.7955
KCTD2	1716.6065	KCTD2	1293.464
KCTD3	4889.8917	KCTD3	2391.3527
removed	removed	KCTD4	7.6775
KCTD5	662.0036	KCTD5	467.522
KCTD6	278.8809	KCTD6	212.9508
KCTD7	473.7635	KCTD7	677.6442
KCTD9	1226.9856	KCTD9	1035.2561
KDELC1	238.2671	KDELC1	117.5876
KDELC2	1172.3827	KDELC2	675.6238
KDELR1	4712.5451	KDELR1	3174.8661
KDELR2	6060.4693	KDELR2	3243.964
KDELR3	634.9278	KDELR3	265.4814
KDM1A	1888.0866	KDM1A	1941.6103
KDM1B	348.3755	KDM1B	605.7177
KDM2A	4458.935	KDM2A	4215.3753
KDM2B	690.2933	KDM2B	797.6442
KDM3A	1662.0036	KDM3A	1923.4266
KDM3B	2056.8592	KDM3B	3986.2612
KDM4A	1798.2852	KDM4A	1512.872
KDM4B	3388.9892	KDM4B	2487.524
KDM4C	398.0144	KDM4C	851.8032
removed	removed	KDM4DL	8.0816
KDM4D	50.9928	KDM4D	59.3999
KDM5A	2313.6282	KDM5A	2533.9933
KDM5B	3740.0722	KDM5B	2963.9358
KDM5C	3694.4946	KDM5C	3362.7639
KDM6A	1171.4801	KDM6A	1384.7863
KDM6B	689.9819	KDM6B	1221.9416
KDR	636.7329	KDR	1225.5783
KDSR	1741.426	KDSR	1965.4511
KEAP1	3316.787	KEAP1	1297.5048
KEL	5.8664	KEL	8.0816
KERA	37.4549	KERA	18.5877
removed	removed	KGFLP1	10.5061
KGFLP2	36.1011	KGFLP2	185.4207
KHDC1	35.4558	KHDC1	31.8497
KHDRBS1	4073.1047	KHDRBS1	3891.3022
KHDRBS3	63.1769	KHDRBS3	228.3059
KHK	176.1597	KHK	133.8196
KHNYN	1532.2247	KHNYN	3147.2068
KHSRP	1796.4801	KHSRP	2064.451
KIAA0020	431.4079	KIAA0020	788.3625
KIAA0040	4067.2383	KIAA0040	1572.28
removed	removed	KIAA0087	18.9918
KIAA0090	1693.1408	KIAA0090	1159.7131
KIAA0100	7306.7193	KIAA0100	5039.3009
KIAA0101	314.0794	KIAA0101	10.9102
KIAA0114	958.935	KIAA0114	751.5911
KIAA0125	8.574	KIAA0125	33.9428
KIAA0141	605.5957	KIAA0141	1933.9327
KIAA0146	1213.4477	KIAA0146	1150.8233
KIAA0174	1411.5523	KIAA0174	3334.0741
KIAA0182	2049.1877	KIAA0182	2506.9199
KIAA0195	2079.63	KIAA0195	2019.699
KIAA0196	4536.5523	KIAA0196	1459.9454
KIAA0226	1077.1661	KIAA0226	788.7665
KIAA0232	2980.1444	KIAA0232	1767.8553
KIAA0240	735.1083	KIAA0240	1580.7657
KIAA0247	1782.0397	KIAA0247	2617.2341
KIAA0284	828.0686	KIAA0284	1322.1538
KIAA0317	625.4513	KIAA0317	903.1215
KIAA0319L	3716.6065	KIAA0319L	3063.7438
KIAA0319	26.6245	removed	removed
KIAA0355	721.5704	KIAA0355	1270.8354
KIAA0368	3226.5343	KIAA0368	3791.09
KIAA0391	607.6354	KIAA0391	492.9144
KIAA0406	1746.3899	KIAA0406	748.7625
KIAA0408	22.5226	KIAA0408	91.4355
KIAA0415	444.4946	KIAA0415	456.2077
KIAA0427	761.2816	KIAA0427	1028.3867
KIAA0430	2191.3357	KIAA0430	4228.71
KIAA0467	954.9955	KIAA0467	1930.2111
KIAA0494	4748.5108	KIAA0494	4570.0172
KIAA0495	799.639	KIAA0495	1040.1051
KIAA0513	301.444	KIAA0513	234.3671
KIAA0528	1434.1155	KIAA0528	1444.5904
KIAA0556	1215.704	KIAA0556	916.4562
KIAA0562	1115.0722	KIAA0562	964.946
KIAA0564	971.5704	KIAA0564	1038.0847
KIAA0586	333.935	KIAA0586	524.9015
KIAA0649	499.0975	KIAA0649	797.2522
KIAA0652	2762.1841	KIAA0652	2091.1203
KIAA0664P3	29.3321	KIAA0664P3	129.306
KIAA0664	1618.231	KIAA0664	2130.3162
KIAA0748	37.4549	KIAA0748	14.1428
KIAA0753	407.0397	KIAA0753	658.2483
KIAA0754	139.4404	KIAA0754	416.6077
KIAA0776	964.8014	KIAA0776	1184.7661
KIAA0802	254.9639	KIAA0802	195.5753
KIAA0831	540.6137	KIAA0831	1099.505
